SA4_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
313,9350,12431,15455,11747,13300,10074,8061,13080,1720,95216
314,11498,18951,14170,11554,15872,9494,5736,7950,1456,96668
315,5338,4694,5266,3728,3567,1951,3762,4725,736,33765
316,18051,28965,24380,18474,19240,16936,7500,15808,2293,151648
317,7188,13014,9997,7597,9124,6301,4321,8035,805,66386
318,11109,18396,15687,14587,13515,9718,8485,10902,1517,103917
319,12313,14357,14314,12572,11487,10235,8216,14746,1625,99867
397,13,8,9,0,7,7,0,6,4,60
399,264,446,392,349,226,182,300,825,97,3087
401,19890,43772,14071,14418,18067,12262,3992,9293,1937,137691
402,17143,28159,26685,23161,25671,18346,14746,23158,3108,180185
403,18506,36570,23184,21456,23715,16683,7310,14826,2248,164500
404,11685,22342,13653,12937,15578,10243,6112,10476,1651,104681
405,8395,5990,6473,4931,4840,3801,3790,7057,702,45980
406,5069,4828,5396,4094,3561,2976,3594,4457,689,34650
407,13332,9316,10568,8572,8056,7409,5880,13377,1165,77675
497,0,3,0,0,0,0,0,0,0,3
499,54,103,112,53,57,49,85,212,11,734
501,9627,11123,14275,8006,8444,7338,7131,10508,1206,77663
502,3444,4997,7370,4371,4197,3816,4017,4249,654,37124
503,13733,33830,6732,7693,9545,6135,1637,4465,1260,85035
504,12859,21724,20043,13673,17394,11155,9593,11529,2024,119988
505,30547,56777,42306,28728,37235,25315,13900,22965,4167,261941
506,23323,45975,36665,24664,31819,20642,18731,22562,3712,228089
507,21505,41163,30504,20560,25043,17175,12358,16594,3132,188023
509,12721,7199,8719,5751,6208,4320,5244,7959,935,59053
510,4445,6729,10817,4090,4556,2168,6587,5161,994,45541
511,7036,7402,9528,5194,5849,4179,6881,6121,979,53172
597,11,78,87,3,10,0,35,100,9,334
599,104,235,349,162,114,90,276,386,58,1773
601,11212,22388,13110,12690,14567,9641,4487,9097,1704,98883
602,7504,10293,8171,7005,7013,6108,4373,7045,947,58458
603,2265,1997,2230,1701,1630,1133,1098,2273,287,14607
604,5471,6040,6686,5333,4958,4512,3817,6701,823,44336
697,3,14,9,9,0,0,3,15,0,47
699,17,49,38,33,27,14,20,54,3,247
701,8798,13762,12336,8862,10396,5201,4239,6290,1475,71357
702,3682,6777,3740,5232,3673,1783,1578,3230,1050,30752
797,0,4,8,0,0,0,0,13,0,28
799,41,108,104,84,34,32,63,104,15,574
801,32758,62658,19620,21657,34637,13941,4684,10337,5123,205419
897,0,0,0,0,0,0,0,0,0,0
899,21,57,14,34,28,12,8,20,6,202
901,340,236,379,298,249,130,160,295,51,2151
997,0,3,0,0,0,0,0,4,0,6
999,0,3,0,4,0,0,3,0,0,11
