SA4_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
111,2856,2235,1922,1115,367,81,11119,79,766,1030,1018,1317,612,145,39,5003,2561,11207,9468,6300,5594,3200,1179,303,39820,1531,4362,5245,5536,4910,2892,1219,397,26094,5840,11492,10110,11238,9373,6197,2996,1022,58264,909,688,662,562,506,304,93,30,3762,498,657,945,1316,1550,1367,594,192,7127,7248,12842,11717,13112,11433,7867,3683,1242,69150,141,269,300,363,453,504,253,112,2398,2490,2559,2328,3010,3402,3776,3549,2973,24083,14135,34461,32954,31582,29027,19961,10398,5139,177661
112,1000,1098,1222,779,193,46,4971,32,325,685,755,994,526,112,23,3449,667,3815,5401,4625,4616,2692,909,270,22995,587,2140,3085,3761,4035,2505,948,305,17358,2819,5802,6578,7338,7362,4544,2040,661,37147,509,442,400,462,450,247,58,16,2590,275,480,644,954,1178,891,402,145,4975,3603,6723,7616,8751,8992,5681,2507,828,44712,69,122,165,223,345,373,209,82,1588,2696,2189,2600,3361,4150,3797,3119,2169,24085,7689,15918,20555,22580,24360,16344,7992,3725,119152
113,550,524,440,228,68,21,2292,33,274,337,334,377,133,37,6,1534,706,3212,2930,1968,1624,853,350,97,11731,420,1518,1688,1762,1631,975,387,119,8513,2907,5110,4268,4498,3852,2042,793,230,23703,405,359,315,365,255,153,33,7,1890,209,353,368,590,612,406,154,58,2745,3522,5820,4948,5452,4714,2602,980,291,28337,58,129,80,96,162,164,86,30,806,2148,1962,1969,2130,2418,2232,1837,994,15689,6925,13350,12505,12269,11365,7194,3739,1558,68893
114,612,683,835,740,264,43,3553,36,242,325,417,610,415,109,15,2161,359,1809,2327,2167,2568,2067,844,201,12342,367,1138,1785,2231,2424,2050,884,225,11101,2048,4096,3933,4578,4551,3532,1776,486,24998,329,285,261,290,292,204,63,9,1732,158,252,384,591,794,824,367,110,3474,2528,4631,4581,5460,5632,4561,2205,604,30210,32,83,91,140,239,308,127,61,1084,1550,1346,1398,1771,2119,2725,2136,1286,14333,4890,9617,11128,12871,14425,12869,6567,2422,74787
115,4347,3433,2287,1037,280,52,14188,49,401,924,986,932,443,98,23,3864,2768,7451,9638,7740,5779,3054,899,239,37562,1165,2509,4172,4842,3635,2299,798,284,19696,2383,3867,4737,5555,4012,2665,1175,349,24738,234,200,351,331,266,179,41,12,1617,234,338,634,994,1073,826,301,107,4510,2852,4403,5728,6880,5346,3675,1514,463,30860,83,191,310,417,432,378,194,69,2064,1332,1076,1356,1678,1557,1580,1141,1061,10787,8442,18581,26465,25973,19977,12465,4928,2197,119030
116,5206,2164,1294,503,94,27,14288,85,717,996,609,407,172,28,0,3019,3081,12487,11320,6731,4526,2043,456,113,40752,2090,6147,5864,4513,2883,1183,360,101,23144,3911,8038,7838,7026,5021,2591,1072,264,35759,599,630,653,550,441,137,35,11,3051,455,830,1146,1141,960,538,170,37,5280,4961,9501,9634,8717,6427,3272,1275,313,44089,179,507,588,528,441,266,97,22,2625,3257,3764,3460,3067,2779,2369,1468,673,20831,13939,37832,37074,26318,18753,9810,3778,1246,148750
117,8552,4643,2990,1393,331,66,32323,203,2022,1676,1223,904,405,73,7,6514,10476,34857,16131,8014,4835,2462,805,200,77782,2834,7954,5579,3788,2371,1262,516,148,24451,2225,6048,3824,3386,2250,1321,618,181,19849,279,382,338,278,202,97,25,8,1607,323,749,714,762,667,422,148,51,3843,2828,7184,4880,4430,3114,1835,793,243,25306,387,737,437,370,304,217,108,23,2583,6396,11415,5877,4185,3361,2413,1664,887,36208,23980,77660,43136,26653,17876,9994,4290,1580,205159
118,7089,4864,2998,1881,559,162,25442,94,1256,1441,1044,872,485,173,38,5393,5842,21791,14781,9527,6171,3662,1392,562,63723,1138,4296,4346,3759,2748,1870,835,346,19337,1214,4019,3075,2919,2204,1764,969,451,16612,163,228,217,227,165,118,44,11,1172,254,545,572,748,724,625,265,162,3900,1627,4800,3865,3891,3092,2505,1285,623,21682,227,485,405,375,402,358,208,104,2558,3414,6193,4255,3336,2668,2673,2121,1522,26180,12784,46255,36184,26807,18947,13437,6562,3362,164327
119,8052,4107,2331,960,268,63,28145,179,1368,1439,1181,967,404,105,32,5680,8003,27964,17386,11295,7503,3430,1349,359,77283,3707,10571,9823,8518,5530,2592,1098,376,42214,4570,9711,10013,9909,7259,4739,2709,1079,49992,575,731,845,837,567,287,80,37,3958,616,1212,1787,2184,1884,1214,493,212,9597,5768,11658,12640,12933,9707,6235,3281,1330,63548,433,1092,894,938,858,566,309,127,5214,5246,6856,5249,5163,4677,4135,3650,2879,37849,24117,71092,55493,44136,31561,18319,10053,5158,259934
120,7459,4817,3297,1642,394,92,27752,124,1305,1623,1382,1165,530,114,33,6271,5913,21234,15014,9930,6314,3196,1093,336,63032,1743,5197,5056,4642,3259,1742,630,256,22532,1655,4031,3684,4041,2934,1914,1061,387,19700,219,275,291,341,240,131,38,27,1558,260,526,723,971,897,623,227,128,4345,2128,4829,4698,5357,4073,2664,1326,543,25602,220,525,429,520,489,330,132,77,2722,2726,4681,3352,2799,2462,2010,1483,1030,20547,13382,47286,37637,29451,21049,12119,5171,2360,168461
121,13136,9872,6429,3843,1378,341,45185,102,1658,2455,2446,1862,1215,404,97,10244,5750,24399,24800,19508,13118,8016,3613,1299,100500,1358,4759,6125,6994,5509,4274,2309,970,32292,1742,3763,3750,4122,3180,2396,1286,561,20795,235,225,306,378,358,266,127,35,1930,262,491,810,1241,1386,1395,716,367,6670,2235,4485,4867,5730,4925,4059,2137,960,29395,163,477,667,709,697,720,450,236,4120,2414,3909,3507,3070,2764,2611,2187,2104,22565,12401,49496,55553,48339,35301,24740,12471,6013,244299
122,4349,3668,2114,1240,415,103,14614,60,621,1223,1201,1062,572,157,40,4938,2310,10046,12591,9664,6084,3511,1422,491,46103,969,3693,5185,5519,3884,2768,1327,485,23826,1956,4535,5067,5478,3974,2755,1550,552,25866,219,227,323,378,273,215,69,35,1729,222,418,772,1213,1137,1047,523,242,5574,2398,5175,6166,7073,5377,4014,2141,826,33170,73,229,394,450,465,438,258,140,2454,1580,2015,2268,2215,2022,2153,1982,1777,16012,7500,24380,32181,29781,21014,14700,7704,3862,141119
123,2159,1249,843,356,96,18,6894,82,511,561,489,497,189,36,5,2367,1767,6323,5591,3609,2663,1276,330,80,21634,1578,4253,4242,3852,2866,1315,318,93,18520,4342,8639,7939,7175,5956,3234,1175,260,38730,574,579,545,467,391,173,32,14,2762,388,636,910,1019,1016,645,169,42,4831,5299,9853,9390,8662,7361,4050,1381,319,46322,140,291,347,338,354,251,90,27,1845,2651,2421,2373,2337,2316,2211,1490,1023,16826,11673,25673,24670,20536,16904,9653,3742,1568,114410
124,2137,1798,1697,919,240,32,9170,77,572,813,851,1019,501,93,11,3937,1944,6666,6645,4912,4417,2423,771,181,27968,1656,4567,4870,4561,3913,2148,785,191,22705,5446,10809,9205,8928,6931,3856,1474,389,47029,636,661,607,485,411,223,58,21,3091,453,708,987,1097,1282,944,295,121,5890,6526,12173,10798,10514,8618,5020,1829,528,56007,132,254,347,345,424,373,162,66,2096,2899,3292,2961,2948,2954,2799,1922,968,20754,13445,29662,28567,25940,23054,14181,5802,1988,142630
125,8870,3540,2160,848,223,40,28235,151,1381,1322,896,756,333,93,17,4942,5818,25636,15729,8723,5738,2798,1080,271,65791,2805,8636,7311,5787,3908,1995,818,249,31495,3432,7657,7055,6366,4971,3130,1637,597,34850,494,609,588,552,422,197,68,19,2946,418,975,1236,1365,1180,780,335,124,6406,4336,9234,8878,8272,6572,4109,2045,742,44205,289,1062,826,653,648,482,213,92,4258,4532,7755,5458,4254,3552,2869,2294,1576,32277,18502,65673,48404,32119,23334,13424,6756,2994,211214
126,5315,3498,2364,1182,348,89,19112,64,638,815,795,732,384,116,23,3570,3659,11400,9168,6691,4847,2580,1069,398,39816,1111,2337,2793,3064,2359,1528,719,373,14289,1048,1965,2056,2443,1979,1294,823,369,11975,139,140,158,193,158,118,59,16,983,158,230,373,626,621,528,282,148,2967,1344,2333,2584,3263,2756,1938,1170,537,15927,128,286,312,331,332,290,165,77,1916,1207,1505,1209,1118,1132,1032,1101,1160,9460,7825,24510,22197,18769,14531,8939,4687,2650,104102
127,2147,1215,820,315,56,14,7844,135,587,581,394,318,148,27,0,2200,4179,11364,8067,4998,3458,1517,395,74,34050,2809,6741,6482,5276,3148,1269,416,88,26234,4365,9027,8520,8347,5689,3254,1345,332,40890,613,779,828,736,443,165,25,12,3598,486,946,1333,1496,1093,585,190,65,6192,5467,10747,10683,10581,7234,4008,1562,410,50682,208,564,568,637,516,256,120,29,2902,4345,4530,4248,4175,3862,2990,1976,937,27065,17487,37470,32782,27272,19365,10498,4555,1547,150970
128,2233,1881,1485,713,201,51,8525,54,589,805,751,907,383,75,15,3582,2337,7250,7264,5220,4263,2048,721,258,29366,1106,3548,4618,4639,3617,2032,740,269,20571,2607,5686,6119,6242,5014,3337,1873,744,31625,237,255,325,357,327,209,70,29,1813,233,427,763,1039,1196,1035,427,191,5324,3078,6368,7211,7641,6546,4577,2369,970,38758,87,188,258,345,460,403,232,92,2066,1179,1491,1541,1565,1652,1621,1510,1278,11839,7960,21277,23929,22047,18931,11779,5855,2932,114699
197,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,4,0,6,5,3,7,3,0,3,35,0,8,0,3,6,13,3,0,31,4,4,9,11,8,20,3,3,61,0,0,0,0,0,3,0,0,3,3,0,0,3,4,0,0,0,8,5,4,7,11,11,23,3,3,74,0,0,0,0,0,0,0,0,3,7,7,6,6,13,21,14,0,69,8,30,15,24,43,60,25,3,212
199,85,39,31,20,12,0,365,3,31,23,23,26,11,0,0,120,199,494,197,146,110,88,16,4,1247,75,146,99,99,128,100,14,3,663,154,314,226,252,265,169,18,3,1416,42,23,22,12,15,11,0,0,126,33,33,29,26,49,23,4,0,195,232,363,277,290,333,205,23,7,1738,11,21,14,13,10,15,5,0,83,448,798,701,670,495,283,90,29,3513,989,2023,1392,1284,1142,722,150,41,7741
201,836,858,816,460,130,10,3831,39,466,712,780,767,387,91,11,3249,935,3498,3493,2554,2238,1465,457,130,14773,587,1685,2053,2352,2068,1468,512,137,10860,2567,4693,4213,4509,3849,2407,982,286,23506,382,339,296,240,217,100,19,4,1605,167,294,376,398,417,297,131,40,2121,3114,5331,4884,5152,4479,2810,1129,334,27231,41,74,83,123,151,167,75,33,752,1748,1390,1497,1933,2201,2429,1741,913,13842,6533,13086,13563,13739,12723,9189,4136,1562,74538
202,798,816,709,513,122,28,3619,51,465,812,800,820,425,86,12,3457,828,3352,3562,2585,2337,1475,516,136,14790,476,1487,1876,2146,2158,1548,574,186,10447,2475,4547,4010,4409,3917,2300,1023,274,22956,316,317,268,262,223,105,14,7,1518,172,322,350,397,464,344,122,52,2221,2958,5191,4630,5073,4606,2753,1153,331,26699,47,101,97,102,158,163,86,46,804,1810,1644,1661,1962,2217,2277,1789,1128,14487,6256,12776,13438,13479,13008,9161,4335,1862,74307
203,1972,1491,1263,802,205,37,7571,100,995,1275,1206,1209,626,146,31,5580,2110,7948,7586,5162,4465,2774,934,254,31233,1307,3777,4379,4347,4065,2884,1118,404,22287,4374,8404,7561,7970,6494,4100,1861,586,41349,521,471,415,375,323,195,55,11,2364,300,527,645,726,768,628,266,107,3970,5198,9398,8623,9072,7586,4925,2173,713,47685,85,189,209,192,254,257,188,84,1459,2795,2629,2595,2889,3095,3385,2795,1732,21917,11728,26619,26638,24355,21940,15636,7557,3256,137730
204,531,583,613,359,77,16,2647,41,396,582,674,713,414,101,12,2924,536,2570,2981,2240,2529,1561,523,154,13098,588,1867,2298,2689,2666,1902,684,207,12899,2801,5166,5004,5599,5053,3111,1146,365,28246,439,333,319,301,281,159,32,18,1878,205,327,451,513,559,475,163,64,2749,3440,5826,5775,6414,5887,3740,1342,445,32880,43,95,106,144,170,180,120,42,895,2057,1547,1803,2262,2761,2871,2031,1145,16473,6748,12728,14075,15010,15338,11026,4877,2026,81819
205,728,713,875,581,147,31,3706,67,597,794,872,1030,615,111,13,4102,911,4044,3871,3093,3713,2445,783,200,19063,811,2715,3124,3604,3758,2908,1072,308,18297,4225,8821,7776,9151,8241,5545,2314,630,46694,573,585,500,439,449,244,57,13,2868,302,551,636,733,900,761,258,89,4239,5098,9958,8915,10322,9590,6544,2628,736,53802,69,161,168,201,244,335,174,79,1440,3280,2786,2921,3770,4509,5027,3667,1814,27766,10288,20851,20518,22574,23721,18457,8586,3182,128181
206,14566,8823,5965,3317,833,198,59176,445,5875,4880,3885,3226,1357,264,46,19976,18925,64478,30743,17188,11141,6135,2040,691,151340,5044,13179,8543,6670,5042,3100,1202,454,43230,4560,11232,6612,5778,3961,2188,1111,502,35947,645,676,498,386,246,157,37,15,2671,591,1286,1099,1164,935,595,271,114,6048,5793,13188,8206,7334,5146,2941,1420,633,44671,639,1143,686,507,440,432,208,86,4135,9197,16318,8794,6434,5422,4300,2981,1817,55257,41728,137973,76414,50845,36380,21573,8949,3929,377787
207,7704,6547,4506,2536,844,243,31107,162,1579,2307,2909,2442,1212,371,109,11086,7054,19613,17074,15308,10573,6067,2784,1053,79540,2296,4316,4380,5672,4651,3771,2071,874,28032,2276,3528,3018,4405,3295,2497,1796,723,21545,326,214,203,314,238,155,71,27,1557,264,378,528,902,824,705,446,273,4321,2863,4123,3754,5616,4364,3366,2315,1025,27417,181,401,415,472,449,439,324,167,2854,2536,2714,2211,2599,2403,2700,2729,2086,19966,15712,40846,37845,39116,29393,20093,11441,5558,200005
208,7572,6075,3796,2034,583,170,27943,159,1727,2740,3144,2429,1135,299,80,11699,6034,19238,20313,16201,10693,5531,2241,883,81134,1879,5510,6762,7334,5662,3942,1832,773,33693,2689,5730,5621,6979,5285,3265,1897,929,32395,375,275,383,381,287,205,73,23,1996,284,539,827,1159,1083,916,414,268,5506,3356,6546,6829,8525,6657,4381,2382,1222,39892,174,431,498,536,470,467,307,198,3070,2622,3341,3222,3440,3226,3198,3030,2486,24569,14725,44004,47932,45245,32928,20698,10673,5809,222014
209,6431,3579,2420,1200,321,44,21847,215,2142,2735,2344,1889,753,143,27,10240,5457,20275,17087,10090,6957,3394,1024,290,64577,3093,9469,8985,7358,5158,2825,962,289,38142,5792,12658,11246,11451,8232,4688,2173,676,56917,708,693,714,603,444,204,42,16,3428,534,1055,1289,1426,1180,745,268,102,6590,7033,14412,13246,13476,9860,5628,2485,792,66934,221,609,582,483,439,372,177,78,2949,4409,5337,4572,4491,4160,4048,3102,1889,32014,20937,59583,53634,41826,30882,18223,8208,3404,236708
210,3403,1663,999,408,77,20,10835,174,1254,1450,1163,853,317,86,13,5320,3324,12485,10000,5719,3680,1536,460,136,37342,2287,6717,6260,5274,3258,1669,649,170,26285,4478,9502,8307,8572,5876,3362,1705,507,42306,584,595,525,503,329,130,38,7,2709,429,879,979,1072,777,495,206,87,4924,5494,10975,9815,10152,6978,3983,1944,598,49939,167,506,403,334,313,231,102,64,2125,3628,4198,3624,3573,3221,3247,2513,1355,25356,15339,40127,34949,27882,19300,11409,5835,2362,157191
211,5378,3591,2569,1315,370,77,18524,190,1832,2627,2385,2227,1073,281,48,10659,4440,16827,16742,11400,8527,4763,1609,445,64758,2955,7776,8760,8973,7283,4796,1813,586,42933,6483,13264,12547,14855,11238,6658,3294,927,69272,741,639,689,641,513,334,93,26,3681,484,845,1144,1531,1586,1213,555,205,7558,7714,14741,14380,17029,13339,8205,3941,1158,80511,154,360,447,533,567,586,322,132,3094,3235,3346,3506,3958,4067,4208,3573,2431,28321,18953,49826,51839,47869,38573,24938,11913,4874,248796
212,9153,4740,2753,1318,431,90,29779,336,2186,2503,2262,1695,824,219,33,10061,8616,27948,21683,13388,8620,4309,1706,460,86728,5472,14905,13513,10810,7228,4080,1731,520,58251,9732,18761,17159,17278,12054,6990,3554,916,86435,1186,1212,1114,979,668,333,74,25,5592,855,1567,1910,2078,1725,1177,524,176,10012,11766,21542,20185,20336,14443,8495,4151,1119,102039,441,1071,974,877,792,572,335,114,5183,7287,7678,6697,6636,6196,5884,4865,3034,48268,34552,85989,74711,59056,41721,25480,13430,5371,340313
213,10123,3821,2022,762,142,18,28895,288,2793,3245,2165,1443,457,93,14,10499,7126,30976,24965,11874,6698,2744,670,164,85211,4718,15396,13178,9373,5770,2388,668,187,51675,8817,19035,16964,15267,10684,5507,2099,624,79003,1109,1221,1115,904,599,242,51,6,5252,859,1833,2232,1977,1494,812,207,77,9502,10786,22088,20309,18152,12782,6566,2359,712,93748,338,1122,986,682,594,401,147,58,4329,7659,10263,8604,7154,6343,5525,3593,1920,51074,31569,93990,81408,53208,35645,18841,7678,3078,325426
