SA4_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
111,143301,152388,295691,60461,34507,94967,17753,39232,56979,3764,4738,8499,7095,5301,12396,89068,83775,172839,46687,60472,107162,8,6.3,7.2,62.2,55,58.5,57.2,51.5,54.3,5535,5586,11119,1777,3228,5003,16526,23292,39820,10822,15273,26094,40095,18170,58264,1281,2482,3762,2541,4585,7127,43913,25235,69150,137250,142911,280158,25038,26505,51538,93466,97178,190643,62679,66542,129221
112,95176,103343,198521,31821,18866,50688,14248,26008,40251,2585,2898,5482,4021,3259,7281,52676,51037,103710,34192,43562,77746,7.6,6.4,7,55.3,49.4,52.2,51.1,46.2,48.6,2299,2669,4971,1207,2245,3449,9079,13914,22995,6297,11060,17358,25055,12089,37147,891,1701,2590,1742,3229,4975,27693,17018,44712,87582,92595,180171,16085,17798,33885,59104,61905,121011,40397,44668,85066
113,61810,63034,124846,28691,15524,44216,6121,15054,21173,1970,2087,4060,2049,1782,3827,38829,34450,73276,17939,23602,41545,5.3,5.2,5.2,62.8,54.7,58.7,59.5,51.8,55.6,1103,1188,2292,501,1035,1534,4290,7442,11731,3148,5364,8513,15885,7820,23703,643,1248,1890,935,1809,2745,17465,10871,28337,57901,58930,116836,10619,11190,21809,39993,40157,80151,25075,26772,51846
114,59435,63242,122671,20607,11154,31760,7322,14562,21887,1523,1727,3252,1844,1548,3392,31294,28998,60287,23735,29666,53399,5.9,5.3,5.6,52.7,45.9,49.1,49.6,43.4,46.4,1779,1775,3553,737,1425,2161,5069,7277,12342,4314,6787,11101,17427,7579,24998,534,1196,1732,1180,2291,3474,19141,11071,30210,54733,57725,112455,9748,10597,20345,36335,37819,74156,25774,28236,54010
115,88161,92620,180785,47349,27373,74727,11290,24556,35844,2094,2659,4746,2765,2558,5320,63501,57143,120642,21295,31766,53064,4.4,4.5,4.4,72,61.7,66.7,68.9,58.9,63.8,7737,6452,14188,1501,2363,3864,17118,20450,37562,8273,11427,19696,17644,7096,24738,457,1153,1617,1672,2835,4510,19775,11087,30860,92511,95123,187633,12866,13339,26200,63745,65363,129109,37753,39233,76986
116,129170,133145,262316,64494,38753,103247,14887,26725,41615,3777,4045,7820,5947,6051,12002,89100,75574,164680,33524,50831,84353,6.7,8,7.3,69,56.8,62.8,64.4,52.2,58.2,7389,6898,14288,1280,1744,3019,17770,22985,40752,10624,12514,23144,23373,12386,35759,1028,2021,3051,2160,3114,5280,26570,17521,44089,132217,135149,267361,21915,21836,43754,86934,89056,175995,58466,59310,117777
117,145631,139665,285297,69335,50914,120248,19527,26892,46416,3585,4213,7794,5519,5065,10583,97966,87079,185043,30454,38286,68742,5.6,5.8,5.7,67.3,62.3,64.9,63.5,58.7,61.1,16010,16305,32323,2783,3736,6514,37408,40375,77782,11861,12592,24451,13532,6322,19849,708,903,1607,1718,2124,3843,15956,9348,25306,101333,96985,198317,36902,37914,74821,53029,50792,103821,82621,81481,164100
118,108747,117535,226282,52430,39147,91581,13555,24710,38264,2450,3575,6029,3316,3284,6600,71758,70720,142479,27260,36427,63687,4.6,4.6,4.6,66,60.2,63,62.9,57.4,60,12630,12816,25442,2063,3330,5393,29067,34656,63723,7735,11605,19337,11661,4955,16612,422,749,1172,1494,2404,3900,13577,8108,21682,89117,95997,185116,23809,25894,49706,52174,57432,109609,57125,61009,118137
119,227488,236840,464334,95574,58320,153900,32987,47230,80217,6677,6614,13292,10500,9220,19722,145736,121392,267126,68652,101932,170586,7.2,7.6,7.4,64.1,51.3,57.5,59.4,47.4,53.3,14531,13615,28145,2298,3383,5680,36405,40886,77283,18685,23531,42214,34318,15676,49992,1344,2611,3958,3682,5920,9597,39334,24210,63548,220438,227277,447717,38395,38163,76559,147594,154033,301626,99378,99648,199033
120,118885,128189,247072,57772,41773,99543,16439,27336,43771,2988,3817,6799,4475,4262,8740,81668,77187,158859,29245,42903,72147,5.5,5.5,5.5,68.7,60.2,64.3,64.9,56.9,60.8,13400,14353,27752,2397,3871,6271,29130,33903,63032,9847,12682,22532,13333,6369,19700,597,968,1558,1673,2671,4345,15603,10002,25602,103820,111413,215236,25217,25924,51143,63626,69630,133250,60713,63318,124032
121,156196,174176,330375,81848,55345,137197,20223,39902,60125,3441,4962,8406,4874,4881,9752,110384,105090,215480,37797,60224,98024,4.4,4.6,4.5,70.7,60.3,65.2,67.6,57.5,62.3,23662,21520,45185,3898,6342,10244,47340,53160,100500,13107,19183,32292,13680,7116,20795,670,1264,1930,2327,4348,6670,16677,12722,29395,148745,161221,309966,30707,33339,64043,92245,101279,193528,80779,87355,168132
122,97849,105173,203023,50932,30356,81286,13404,29260,42657,2510,3233,5739,2365,2274,4642,69209,65116,134320,23376,34169,57546,3.4,3.5,3.5,70.7,61.9,66.2,68.3,59.8,63.9,7599,7016,14614,1803,3135,4938,21308,24790,46103,9648,14179,23826,18510,7353,25866,618,1108,1729,2040,3535,5574,21179,11995,33170,97140,101663,198799,16113,16923,33034,63812,67137,130944,45259,47467,92725
123,98925,105160,204085,51150,29511,80656,10828,23922,34744,3015,3385,6403,3895,4264,8152,68886,61078,129960,24683,38193,62868,5.7,7,6.3,69.6,58.1,63.7,65.7,54,59.7,3363,3533,6894,850,1522,2367,8789,12843,21634,7463,11052,18520,26211,12515,38730,839,1925,2762,1817,3012,4831,28871,17449,46322,101559,105199,206754,16324,17024,33353,67785,69840,137622,43922,46480,90401
124,118630,126160,244791,60457,35762,96218,13537,30218,43755,3321,4044,7359,4221,4206,8431,81535,74230,155762,30653,45193,75849,5.2,5.7,5.4,68.7,58.8,63.6,65.2,55.5,60.2,4260,4912,9170,1343,2592,3937,11112,16854,27968,9172,13526,22705,31309,15724,47029,990,2100,3091,2243,3649,5890,34542,21468,56007,118206,123555,241759,18527,19356,37879,81269,84452,165720,49284,52811,102103
125,182276,177642,359916,79065,46019,125082,24271,32268,56538,5114,4710,9825,9396,7948,17344,117843,90947,208788,53046,75936,128990,8,8.7,8.3,64.7,51.2,58,59.5,46.7,53.2,14959,13281,28235,2076,2865,4942,31621,34166,65791,14446,17057,31495,23704,11146,34850,1060,1887,2946,2647,3765,6406,27408,16798,44205,169029,169077,338107,36632,32675,69310,104505,107458,211955,90339,83374,173714
126,72914,78304,151220,34840,23004,57844,9570,17238,26814,1714,2223,3940,2997,2738,5737,49127,45210,94336,20711,29795,50507,6.1,6.1,6.1,67.4,57.7,62.4,63.3,54.2,58.6,9874,9236,19112,1386,2188,3570,18912,20906,39816,6115,8177,14289,8213,3764,11975,341,637,983,1050,1919,2967,9610,6323,15927,68155,71977,140136,14580,15153,29735,43505,46482,89986,36141,37473,73606
127,156827,163744,320571,65999,38418,104417,17910,28995,46906,4604,4293,8900,7944,7006,14949,96457,78716,175172,50770,75537,126305,8.2,8.9,8.5,61.5,48.1,54.6,56.4,43.8,50,3699,4141,7844,800,1398,2200,14947,19100,34050,11235,14997,26234,27686,13204,40890,1177,2419,3598,2473,3718,6192,31338,19346,50682,159816,164560,324370,23651,24248,47896,109875,112953,222831,64135,66572,130709
128,85021,91312,176329,45400,26084,71489,10209,25489,35705,2277,2970,5249,2068,2045,4116,59958,56588,116552,21607,31124,52733,3.4,3.6,3.5,70.5,62,66.1,68.1,59.7,63.8,4311,4220,8525,1305,2276,3582,12745,16622,29366,8672,11900,20571,23241,8380,31625,571,1242,1813,1856,3472,5324,25664,13088,38758,87505,92020,179521,11091,11645,22732,62060,65256,127311,32815,34886,67706
197,157,220,374,28,25,48,7,18,25,22,26,49,0,3,4,61,72,130,77,110,185,0,4.2,3.1,38.9,32.7,34.8,36.3,31.4,32.6,0,4,5,0,0,4,11,25,35,13,20,31,42,22,61,0,3,3,3,11,8,41,33,74,138,182,322,14,21,43,105,139,245,43,61,104
199,6958,4590,11545,1322,653,1977,531,520,1047,189,116,301,583,358,941,2623,1646,4272,2178,1876,4062,22.2,21.7,22,37.7,35.9,37,29.3,28.1,28.8,193,177,365,51,67,120,574,673,1247,294,374,663,1063,351,1416,64,60,126,104,92,195,1231,504,1738,1571,849,2420,3356,2845,6200,1027,548,1571,3734,3027,6765
201,61973,66545,128519,25019,12929,37943,7821,17470,25289,1842,2323,4163,2685,2211,4899,37366,34928,72295,20434,27111,47546,7.2,6.3,6.8,60.3,52.5,56.3,56,49.2,52.4,1798,2035,3831,1108,2148,3249,5798,8977,14773,4321,6534,10860,15745,7765,23506,542,1064,1605,864,1254,2121,17148,10079,27231,59138,62006,121143,10069,11098,21165,39746,41308,81054,26433,28892,55322
202,60173,64603,124780,24362,12921,37281,7868,17199,25072,1816,2276,4089,2293,1969,4258,36341,34364,70699,19377,25455,44834,6.3,5.7,6,60.4,53.2,56.7,56.6,50.1,53.2,1611,2005,3619,1150,2310,3457,5738,9047,14790,4248,6202,10447,15479,7482,22956,509,1010,1518,834,1391,2221,16820,9874,26699,57367,60075,117440,9340,10494,19836,38527,39790,78318,24961,27811,52770
203,109156,117970,227122,46911,24134,71046,14171,32555,46725,3236,4016,7254,4252,3661,7917,68573,64364,132944,34029,46601,80628,6.2,5.7,6,62.8,54.6,58.5,58.9,51.5,55,3736,3837,7571,1829,3756,5580,12890,18341,31233,9256,13029,22287,27576,13774,41349,828,1534,2364,1550,2425,3970,29953,17732,47685,103470,109547,213017,19243,20812,40059,68296,72257,140552,49071,53404,102475
204,68406,71384,139788,29114,15012,44130,8092,18379,26463,2396,2549,4947,2075,1936,4011,41676,37878,79553,21406,28044,49448,5,5.1,5,60.9,53.1,56.9,57.9,50.3,54,1163,1485,2647,949,1971,2924,4717,8379,13098,5036,7860,12899,19284,8960,28246,617,1264,1878,1068,1686,2749,20974,11906,32880,64542,66406,130950,10956,11487,22442,44803,45736,90544,27365,29032,56394
205,108772,114826,223600,41439,20090,61524,12472,28799,41270,3670,4020,7691,4638,3591,8227,62216,56497,118717,37898,49170,87069,7.5,6.4,6.9,57.2,49.2,53.1,52.9,46.1,49.4,1667,2037,3706,1267,2832,4102,6939,12130,19063,6990,11307,18297,32432,14264,46694,904,1966,2868,1641,2600,4239,34975,18829,53802,102364,106120,208482,16238,17982,34221,71447,72955,144401,41889,46182,88074
206,251741,272543,524285,119443,92903,212343,35368,58323,93688,6015,8112,14131,11350,11299,22651,172179,170631,342809,56412,78287,134697,6.6,6.6,6.6,68.4,62.6,65.4,63.9,58.5,61.1,27734,31444,59176,7174,12803,19976,70640,80698,151340,19828,23402,43230,23643,12307,35947,1139,1532,2671,2519,3528,6048,27302,17371,44671,185332,198279,383611,65977,72691,138663,101111,109623,210739,144608,156238,300846
207,142342,158013,300350,62491,38111,100607,21198,39513,60717,3091,4189,7278,6110,5395,11510,92899,87209,180109,42862,63493,106357,6.6,6.2,6.4,65.3,55.2,60,61,51.8,56.1,16481,14633,31107,4128,6958,11086,37326,42210,79540,12270,15763,28032,14545,6996,21545,579,976,1557,1546,2772,4321,16667,10747,27417,133496,145352,278852,26726,28532,55258,90873,99935,190807,65072,69784,134859
208,156447,173391,329844,76525,45552,122078,21473,45852,67328,3707,5070,8777,5780,5341,11121,107488,101815,209300,40624,62452,103073,5.4,5.2,5.3,68.7,58.7,63.5,65,55.6,60.1,14017,13932,27943,4145,7552,11699,37525,43611,81134,14518,19170,33693,22123,10268,32395,705,1286,1996,2078,3421,5506,24915,14982,39892,150094,162620,312711,28158,30217,58372,100229,109512,209741,72046,77560,149605
209,194224,205282,399503,91122,49400,140525,25767,53242,79008,5336,6740,12070,8515,7710,16224,130741,117089,247829,52882,76794,129675,6.5,6.6,6.5,67.3,57,62,62.9,53.3,58,10991,10855,21847,3498,6739,10240,28522,36059,64577,16747,21396,38142,39089,17829,56917,1212,2217,3428,2538,4053,6590,42836,24097,66934,190958,197657,388623,32201,33203,65404,128757,134387,263142,83715,86363,170084
210,141503,147096,288599,62946,33536,96484,17950,33189,51140,4274,4504,8778,6855,5808,12659,92027,77036,169060,40967,61442,102406,7.4,7.5,7.5,65,52.4,58.6,60.2,48.4,54.2,5549,5286,10835,1783,3538,5320,16410,20930,37342,11543,14743,26285,29299,13010,42306,971,1734,2709,1959,2968,4924,32233,17707,49939,140410,143883,284295,23784,23764,47546,95213,98977,194191,60343,60503,120847
211,196894,211158,408056,98259,51744,150004,25863,59645,85509,5407,6810,12212,7105,6461,13566,136634,124661,261299,51695,77065,128760,5.2,5.2,5.2,69.4,59,64,65.8,56,60.7,9295,9227,18524,3782,6870,10659,28146,36611,64758,17994,24937,42933,48093,21176,69272,1290,2392,3681,2781,4774,7558,52170,28338,80511,199529,208604,408133,26577,28457,55027,143751,149743,293489,74036,79323,153364
212,299248,305863,605115,136838,72063,208894,39185,70639,109820,8162,8813,16975,14344,13661,28003,198523,165170,363697,84506,124571,209080,7.2,8.3,7.7,66.3,54,60.1,61.5,49.5,55.5,15526,14252,29779,3689,6367,10061,39438,47296,86728,25984,32273,58251,58121,28318,86435,2034,3560,5592,3891,6115,10012,64041,37994,102039,289283,293615,582901,56065,55343,111410,186474,190881,377358,142530,142027,284551
213,283202,289288,572482,133547,74036,207579,36416,64847,101264,8364,9011,17373,15184,14864,30051,193504,162754,356265,72404,109123,181525,7.8,9.1,8.4,68.3,56.3,62.2,63,51.1,57,14786,14110,28895,3734,6768,10499,38034,47174,85211,23345,28324,51675,52494,26505,79003,2008,3243,5252,3949,5555,9502,58451,35302,93748,276733,281571,558308,50826,51044,101870,176932,181669,358603,131688,132796,264484
214,113561,123705,237269,50967,26154,77116,14050,32650,46697,3181,3909,7083,3981,3869,7856,72181,66576,138757,34231,49335,83566,5.5,5.8,5.7,63.6,53.8,58.5,60.1,50.7,55.2,2827,3118,5942,1684,3348,5033,10934,16026,26959,9987,14783,24769,31756,14720,46482,847,1754,2608,1847,3005,4851,34452,19486,53938,109195,115909,225109,18243,19272,37512,73110,76820,149925,49308,53834,103139
215,60891,62466,123356,25061,12612,37677,6448,15121,21576,2006,2125,4131,2244,1653,3891,35764,31506,67272,19918,25724,45638,6.3,5.2,5.8,58.7,50.4,54.5,55,47.8,51.4,543,776,1319,510,1244,1755,3152,6259,9412,3314,5598,8918,14605,7157,21761,585,1101,1684,823,1257,2077,16010,9516,25523,57508,58263,115769,8526,9181,17711,41355,41421,82774,21530,23193,44727
216,51868,53639,105507,21565,11004,32563,5434,12972,18407,1823,1915,3734,1811,1496,3306,30626,27380,58011,16972,21867,38841,5.9,5.5,5.7,59,51,55,55.6,48.3,51.8,633,802,1428,521,1197,1717,2881,5250,8129,2874,4998,7873,13185,6304,19492,403,848,1249,692,1046,1736,14273,8195,22470,49784,50486,100272,7648,8167,15810,35147,35251,70391,19561,20747,40309
217,49132,51535,100676,21323,10212,31542,6188,14070,20253,1827,1987,3812,1489,1218,2711,30828,27490,58316,14526,20163,34686,4.8,4.4,4.6,62.7,53.3,57.9,59.7,51,55.2,729,904,1633,551,1228,1777,3343,6039,9383,2965,5053,8012,12771,6266,19040,447,857,1307,698,1071,1769,13912,8203,22119,47733,48860,96594,6934,7417,14351,34611,35090,69704,17620,18844,36462
297,27,4,25,16,0,16,0,0,0,3,0,3,0,0,0,23,0,23,0,4,4,0,0,0,85.2,0,92,70.4,0,76,0,0,0,0,0,0,3,0,3,0,0,3,12,0,12,0,0,0,0,0,0,12,0,12,13,0,12,12,0,11,12,0,7,16,0,13
299,3942,2883,6825,811,384,1194,317,326,641,115,81,193,367,251,613,1610,1038,2647,1119,1175,2291,22.8,24.2,23.2,40.8,36,38.8,31.5,27.4,29.7,133,106,238,30,60,91,344,449,792,190,219,404,540,242,777,25,36,60,45,52,101,602,327,932,810,544,1354,2095,1859,3954,534,315,849,2233,1988,4223
301,86776,92945,179726,42753,25883,68634,10388,23937,34326,2316,2853,5172,3782,3169,6948,59235,55838,115073,23247,32715,55960,6.4,5.7,6,68.3,60.1,64,63.9,56.7,60.2,2803,2832,5636,1159,2172,3330,9459,13464,22923,7629,10832,18465,24670,11305,35973,736,1313,2051,1408,2397,3808,26813,15016,41832,84442,88098,172538,16109,17146,33252,54540,56875,111415,42404,45156,87562
302,81219,88246,169465,40758,27120,67876,10429,21159,31587,2171,2979,5147,3708,3094,6802,57060,54352,111419,19953,29171,49123,6.5,5.7,6.1,70.3,61.6,65.7,65.7,58.1,61.7,4030,4172,8202,1567,2571,4141,13000,17445,30446,7490,9396,16894,18076,8841,26919,729,1022,1753,1194,1730,2924,19997,11592,31593,75389,80122,155511,16546,17414,33963,47281,50874,98155,41025,43388,84411
303,136193,143334,279522,63276,41003,104283,20656,35076,55731,3321,4373,7692,7254,6218,13472,94514,86667,181178,34378,49524,83905,7.7,7.2,7.4,69.4,60.5,64.8,64.1,56.1,60,11301,10893,22195,2735,4569,7307,27677,33603,61283,11826,14017,25843,22657,10662,33311,985,1449,2434,1677,2539,4223,25318,14654,39969,122165,127417,249585,31306,32172,63473,74954,79450,154400,72444,74276,146713
304,69686,75348,145038,33399,20265,53661,9894,20344,30233,1685,2318,4000,3460,3036,6494,48437,45958,94395,18144,25833,43978,7.1,6.6,6.9,69.5,61,65.1,64.5,57,60.6,8240,6785,15020,1870,3208,5073,16623,19643,36268,6145,7592,13739,9954,5121,15077,458,694,1150,837,1308,2145,11257,7125,18378,66138,69800,135939,15099,15681,30784,41896,44703,86601,36647,38112,74758
305,106851,108640,215485,53817,38391,92215,15793,26477,42270,2481,3305,5781,4970,4293,9267,77064,72467,149531,20509,27606,48117,6.4,5.9,6.2,72.1,66.7,69.4,67.5,62.8,65.1,10869,10450,21316,2934,4750,7684,28505,32048,60553,8772,9909,18681,13133,6700,19834,644,842,1489,1153,1541,2696,14935,9080,24017,78552,79392,157946,32004,32966,64966,41385,42773,84155,66648,67311,133963
306,94652,97882,192534,39277,25892,65170,11566,23283,34849,3050,3074,6124,5106,3925,9031,59001,56172,115176,26118,32585,58707,8.7,7,7.8,62.3,57.4,59.8,56.9,53.4,55.1,1935,2404,4340,921,1959,2879,7569,12734,20298,6572,9794,16362,25961,11817,37775,1071,1605,2677,1473,2243,3716,28505,15662,44164,85402,86110,171516,19238,20650,39880,54720,54140,108866,44973,48079,93050
307,50315,50080,100396,23193,11905,35093,4912,11523,16429,1683,1653,3336,1721,1478,3199,31508,26554,58062,14107,19238,33346,5.5,5.6,5.5,62.6,53,57.8,59.2,50.1,54.6,468,586,1060,278,684,966,2552,5166,7720,2689,4279,6964,12166,6049,18220,548,915,1463,818,1150,1968,13536,8122,21654,47763,46795,94558,8857,9267,18128,32259,31125,63385,21154,21910,43061
