SOS_CODE_2016,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,389,27,0,415,479,73,16,18,582,103,22,119,707,61,0,772,16109,2039,339,226,18714,623,122,748,19459,1119,21,20599,2695,474,87,55,3318,139,42,176,3494,1063,11,4567,14,6,0,7,26,0,0,0,26,4,25,55,18816,2515,421,292,22051,765,159,921,22976,2186,61,25224,3514,422,69,19,4028,121,26,146,4172,322,4,4497,2574,480,42,13,3103,89,16,99,3209,294,3,3506,126,25,41,0,195,7,0,6,200,19,0,217,37,4,3,48,91,4,0,5,96,11,3,116,6254,930,152,80,7419,212,46,259,7681,643,10,8333,80,22,0,3,102,23,3,22,125,16,0,142,86,25,0,3,109,14,10,25,133,26,0,165,168,43,0,4,214,36,11,51,263,45,0,310,6415,973,155,89,7632,249,56,304,7939,690,10,8638,1178,244,36,30,1491,71,28,98,1593,692,0,2286,8,0,0,0,10,0,0,0,10,0,8,20,7607,1219,188,119
SOS31,34,3,0,37,40,15,0,4,57,14,4,11,72,6,0,74,1309,168,41,30,1548,39,10,51,1594,119,0,1719,224,46,4,11,275,15,3,18,292,103,0,397,3,0,0,0,3,0,0,0,3,0,0,5,1532,209,44,44,1825,56,9,63,1890,217,4,2115,224,24,4,0,251,12,0,8,263,23,0,283,173,31,9,0,210,10,3,11,220,26,0,245,5,3,4,0,15,0,0,0,15,0,0,16,3,0,0,3,3,0,0,0,3,4,0,5,407,57,18,3,485,19,3,24,500,53,0,558,3,0,0,0,3,3,0,3,3,0,0,4,7,0,0,0,7,0,0,0,7,0,0,4,9,0,0,0,9,3,0,3,10,3,0,10,417,57,18,3,491,22,3,26,516,57,0,569,61,10,6,0,80,3,0,3,86,38,0,124,0,0,0,0,0,0,0,0,0,0,0,0,483,64,20,5
SOS32,4,0,0,4,5,0,0,0,10,0,0,0,10,0,0,7,182,29,3,3,218,8,9,10,230,19,0,246,25,3,0,3,30,0,0,0,35,17,0,45,0,0,0,0,0,0,0,0,0,0,0,0,205,31,4,7,243,5,9,11,262,35,0,295,30,4,0,0,32,0,0,0,36,3,0,38,25,7,0,0,33,0,0,0,30,5,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,11,0,0,66,6,0,6,65,9,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,54,11,0,0,66,5,0,5,67,9,0,78,14,3,0,0,18,3,0,3,20,13,0,30,0,0,0,0,0,0,0,0,0,0,0,0,71,11,0,0
SOS33,9,7,0,18,21,0,0,0,21,4,0,4,19,9,0,25,1046,142,19,18,1218,27,0,25,1244,89,0,1337,154,34,7,3,199,12,0,11,213,71,0,284,0,0,0,0,3,0,0,0,3,0,3,4,1202,172,30,17,1419,36,4,35,1454,161,8,1623,205,22,5,0,236,0,0,0,237,23,0,261,167,33,6,0,208,3,0,7,212,15,0,229,6,3,3,0,14,0,0,0,14,0,0,10,3,0,0,8,11,0,0,0,11,0,0,11,377,62,19,12,462,8,0,4,473,38,0,509,3,0,0,0,4,0,0,0,4,0,0,4,6,3,0,0,4,0,0,0,7,0,0,7,8,4,0,0,13,0,0,0,17,0,0,17,390,65,19,12,479,5,0,4,484,38,0,524,58,9,5,0,79,7,0,7,82,38,0,120,0,0,0,0,0,0,0,0,0,0,0,0,449,75,20,12
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,178,16,0,194,199,64,6,3,271,55,16,68,339,33,0,369,7358,1126,165,97,8743,250,48,300,9043,613,9,9662,1154,302,33,39,1531,68,25,97,1624,769,7,2397,9,0,0,8,16,3,0,3,16,0,11,29,8517,1425,201,146,10291,320,76,393,10683,1382,25,12088,1675,252,26,12,1961,61,9,69,2030,187,0,2222,1665,329,36,9,2034,44,7,59,2090,168,0,2261,59,14,33,0,106,6,0,6,110,21,0,130,20,5,0,22,42,0,0,0,42,3,0,46,3416,590,90,44,4144,113,23,133,4278,383,6,4661,33,14,3,0,47,14,3,20,65,12,0,76,39,16,0,0,52,5,7,10,63,10,0,76,68,29,3,0,101,22,7,28,127,26,0,147,3487,623,95,44,4245,128,26,156,4399,404,6,4812,589,171,22,17,802,52,18,71,865,547,3,1419,0,0,0,0,0,0,0,0,0,4,5,10,4073,794,115,65
SOS41,25,0,0,23,25,3,0,0,28,6,0,6,34,0,0,40,973,150,35,11,1167,20,11,32,1197,89,0,1281,139,20,5,0,167,3,0,5,168,60,0,230,0,3,0,0,0,0,0,0,0,0,0,6,1106,168,43,14,1336,27,11,35,1367,143,3,1516,160,16,3,0,176,3,0,0,184,17,0,194,135,21,3,0,165,0,3,3,165,14,0,188,3,0,4,0,8,0,0,0,8,0,0,8,0,0,0,3,3,0,0,0,3,0,0,3,300,43,14,3,357,4,3,4,361,33,0,392,9,0,3,0,8,3,0,3,10,0,0,16,4,0,0,0,5,0,3,3,6,0,0,5,10,0,3,0,14,3,3,8,18,0,0,22,310,43,11,3,370,6,7,9,377,36,0,411,60,13,3,0,70,4,0,4,73,24,0,102,0,0,0,0,0,0,0,0,0,0,0,0,365,53,15,3
SOS42,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,3,146,27,4,3,179,0,0,0,178,13,0,195,18,3,0,0,19,0,0,0,23,10,0,37,0,0,0,0,0,0,0,0,0,0,3,0,162,26,4,3,197,3,0,3,206,28,3,233,18,0,0,0,19,0,0,0,18,0,0,23,31,8,0,0,33,0,0,0,38,0,0,38,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,47,5,0,0,56,3,0,4,60,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,5,0,0,54,3,0,4,61,0,0,60,3,0,0,0,4,0,0,0,4,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,49,9,0,0
SOS43,7,0,0,7,11,0,0,0,19,3,0,3,20,3,0,22,614,79,18,12,724,3,0,10,730,37,3,766,75,16,0,5,94,0,0,0,93,32,0,124,3,0,3,0,5,0,0,0,5,0,0,5,688,96,19,15,819,3,0,11,831,66,0,903,104,11,0,0,115,0,0,0,115,9,0,127,90,29,3,0,125,0,0,0,125,7,0,136,6,0,3,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,209,40,6,3,256,0,0,0,256,22,0,274,5,0,0,0,5,0,0,0,8,0,0,8,4,0,0,0,4,0,0,0,4,0,0,4,10,0,0,0,11,0,0,0,11,0,0,11,212,40,6,3,264,0,0,0,262,22,0,286,34,6,0,0,36,0,0,0,36,12,0,50,0,0,0,0,0,0,0,0,0,0,0,0,243,42,11,3
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,310,18,0,325,438,56,16,3,511,100,13,106,621,41,0,664,11344,1547,265,173,13329,547,71,620,13951,753,21,14723,2271,418,89,51,2839,151,29,177,3017,673,3,3690,9,0,3,6,26,0,0,0,27,4,15,47,13626,1967,360,235,16192,702,100,801,16991,1427,44,18457,2414,296,39,11,2756,121,26,149,2907,233,0,3136,2279,460,55,20,2804,95,20,113,2919,231,0,3157,82,23,50,0,162,7,0,7,168,12,0,182,31,6,3,38,78,4,0,4,88,4,4,93,4805,785,141,73,5808,224,47,269,6075,485,7,6567,76,14,3,0,92,34,3,38,132,13,0,146,107,17,0,0,133,17,10,24,149,13,0,165,186,36,4,4,226,52,12,58,286,25,0,307,4988,818,149,77,6029,279,55,333,6359,508,9,6873,986,222,52,32,1289,67,20,86,1378,488,0,1860,4,0,0,8,13,0,0,0,13,3,3,22,5976,1040,199,117
SOS51,10,0,0,10,7,0,0,0,12,0,0,3,12,0,0,13,392,62,16,13,487,13,3,23,507,29,3,534,85,15,3,0,107,3,0,3,107,20,0,128,0,0,0,0,0,0,0,0,0,0,0,3,479,78,22,11,591,19,7,26,618,44,4,669,61,3,0,0,62,0,0,0,62,6,0,68,46,11,0,0,56,0,0,3,58,3,0,61,3,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,4,0,0,0,4,0,0,4,112,14,0,3,131,0,0,3,132,5,0,136,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,4,0,0,7,113,14,0,3,131,0,0,3,135,9,0,142,23,0,0,0,28,0,0,0,29,5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,135,13,0,3
SOS52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,7,3,0,82,3,0,3,89,10,0,95,9,4,3,0,16,3,0,3,18,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,79,14,9,0,101,4,0,4,105,14,0,119,7,0,0,0,7,0,0,0,8,0,0,8,12,3,0,0,14,0,0,0,14,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,3,0,19,0,0,0,19,3,0,27,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,16,3,3,0,24,0,0,0,27,3,0,27,3,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,22,6,3,0
SOS53,9,0,0,10,10,0,0,0,6,3,0,7,12,0,0,15,413,59,11,4,484,11,0,11,494,16,0,516,70,8,4,0,80,0,0,0,88,16,0,97,0,0,0,0,0,0,0,0,0,0,4,3,487,63,13,4,571,10,0,15,585,35,4,621,69,16,4,0,83,0,0,0,83,9,0,94,69,9,0,0,83,5,0,5,86,4,0,86,0,0,7,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,137,25,13,0,170,5,0,5,171,9,0,187,4,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,8,0,0,0,3,0,0,4,141,24,13,3,178,5,0,3,183,12,0,195,28,6,3,0,33,3,0,3,40,10,0,46,0,0,0,0,0,0,0,0,0,0,0,0,164,28,9,3
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,20,3,0,22,21,5,0,0,24,0,0,5,27,4,0,34,827,119,17,12,974,13,3,17,991,77,0,1074,90,30,7,7,130,5,0,6,131,84,0,218,0,3,0,0,3,0,0,0,3,0,0,4,917,154,21,18,1109,16,3,21,1127,163,3,1294,138,21,6,0,169,4,3,8,173,20,0,190,141,28,0,0,165,0,0,3,166,22,0,182,8,0,4,0,9,0,0,0,9,3,0,10,4,0,0,3,4,0,0,0,4,0,0,4,284,49,8,3,350,4,7,10,358,43,0,395,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,5,0,4,3,0,0,0,5,0,0,0,5,5,0,13,287,52,8,3,349,3,7,11,365,40,0,407,49,13,3,0,62,5,0,4,71,53,0,120,0,0,0,0,0,0,0,0,0,0,0,0,341,66,13,3
SOS61,6,0,0,10,8,7,0,0,15,4,0,8,22,0,0,23,600,108,16,7,724,17,9,28,753,53,3,804,99,19,7,3,127,11,0,11,135,77,0,212,3,0,0,0,3,0,0,0,3,0,3,4,692,124,22,10,854,30,9,32,894,130,3,1024,81,18,6,0,104,0,0,0,106,8,0,110,79,20,4,0,97,0,0,0,103,10,0,110,3,0,0,0,9,0,0,0,9,0,0,9,0,0,0,3,3,0,0,0,3,0,0,3,164,33,9,3,211,3,0,4,218,16,0,233,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,3,167,38,9,3,216,3,0,4,217,16,0,238,27,12,0,0,39,0,0,0,45,27,0,75,0,0,0,0,0,0,0,0,0,0,0,0,196,51,10,7
SOS62,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,4,75,8,0,0,85,4,3,3,94,6,0,101,18,8,0,0,25,0,0,0,25,8,0,34,0,0,0,0,0,0,0,0,0,0,0,0,92,17,0,0,113,4,3,3,117,18,0,132,9,0,0,0,9,0,0,0,9,0,0,8,11,3,0,0,15,0,0,0,15,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,21,0,0,0,21,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,21,0,0,0,21,4,0,24,6,0,0,0,9,0,0,0,9,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,25,4,0,0
SOS63,8,0,0,8,8,0,0,0,8,0,0,0,4,3,0,9,364,65,5,7,439,5,0,9,448,44,0,484,51,8,0,4,68,0,0,0,68,31,0,94,3,0,0,0,3,0,0,0,3,0,0,4,416,73,10,7,505,5,0,9,515,70,0,585,49,3,0,0,52,0,0,0,53,4,0,59,34,4,3,0,44,0,0,4,49,3,0,57,3,0,0,0,5,0,0,0,5,0,0,5,0,0,0,3,6,0,0,0,6,0,0,6,87,12,3,7,111,3,0,3,111,12,0,125,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,3,7,0,0,0,7,0,0,0,7,0,0,3,94,12,3,7,112,3,0,3,117,12,0,130,14,3,0,0,17,0,0,0,22,16,0,39,0,0,0,0,0,0,0,0,0,0,0,0,107,20,3,7
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
