SOS_CODE_2016,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_more_15_19_yrs,M_3000_more_20_24_yrs,M_3000_more_25_34_yrs,M_3000_more_35_44_yrs,M_3000_more_45_54_yrs,M_3000_more_55_64_yrs,M_3000_more_65_74_yrs,M_3000_more_75_84_yrs,M_3000_more_85ov,M_3000_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,30,18,33,15,19,23,14,3,0,157,13,10,5,12,9,11,4,0,0,67,25,37,66,82,56,42,8,4,3,326,6,14,21,23,34,29,39,12,0,168,3,14,20,22,26,18,37,11,0,152,3,13,21,11,16,20,22,3,0,110,0,16,36,8,12,8,7,3,0,99,0,7,34,12,9,9,3,0,0,84,0,8,26,17,13,8,7,0,0,83,0,3,10,4,12,4,0,0,0,38,0,0,3,11,7,5,0,0,0,26,0,0,5,0,3,5,3,0,0,20,0,0,8,8,12,7,0,0,0,30,3,0,3,3,4,0,3,0,0,19,7,25,44,41,59,43,23,5,3,256,95,161,349,280,282,239,168,43,13,1627,22,15,23,19,15,26,3,3,0,119,10,8,6,3,10,18,4,0,0,55,23,13,26,35,35,27,9,0,0,179,3,4,23,17,23,19,32,3,3,138
SOS50,28709,8591,6704,4042,4267,5405,3317,1168,298,62496,11837,4454,1635,1038,1181,1860,1754,686,204,24649,5054,7256,5740,3635,3749,4741,5416,3092,869,39550,2264,4662,4201,2660,3190,4519,11176,8993,2584,44253,2146,4557,4598,2977,3154,4173,8517,5611,2054,37776,1998,5681,6090,3641,3585,4324,7263,3858,1135,37559,1124,6248,8772,5210,4707,4817,5289,2683,821,39677,655,6659,14664,9157,8357,7329,4966,1581,594,53968,300,5672,19999,13880,12313,10169,4985,1303,466,69092,92,2963,15751,12394,10612,7895,2969,626,211,53508,41,1636,14020,12591,11222,7763,2239,449,137,50100,18,815,9956,10891,9559,6401,1600,284,102,39622,20,990,16550,22133,19780,11927,2577,479,140,74594,47,366,6531,15917,16990,9651,2472,548,169,52701,4612,5381,13638,10630,9623,7553,6034,4378,2555,64404,58919,65921,148852,130795,122291,98533,70572,35729,12346,743945,24262,7598,18184,16878,12218,13407,5068,1722,607,99948,14576,4597,5092,5501,3928,4384,2679,1026,375,42163,6546,7815,8711,8023,6821,8294,7357,3863,1291,58724,2351,5541,7556,7174,6682,8220,14908,9879,3093,65401
SOS51,4587,790,671,562,614,923,539,158,68,8913,1978,293,202,173,206,344,336,107,33,3670,816,666,921,764,834,1107,1169,579,140,7008,460,428,547,609,779,1108,2874,1988,514,9316,551,492,521,500,699,1005,2009,1208,402,7396,575,837,775,638,735,1041,1473,719,209,7005,370,1206,1280,947,1024,1097,1140,507,174,7742,215,1224,2131,1595,1685,1653,881,250,76,9706,118,1025,2702,2422,2306,2006,884,205,84,11754,47,555,2163,2078,2017,1500,493,113,27,8997,25,480,2208,2225,2247,1646,377,67,19,9300,16,333,1912,2103,1976,1400,251,53,17,8050,19,427,3812,4655,4269,2565,381,58,22,16211,20,126,1647,2455,2222,1305,325,72,21,8197,1468,1194,3323,3024,3023,2477,1785,1137,590,18019,11274,10078,24811,24761,24641,21181,14920,7227,2384,141275,3734,699,2993,2335,1846,2372,738,206,108,15028,2483,384,1075,1072,698,813,407,141,53,7121,965,802,1757,1709,1440,1841,1363,621,199,10702,483,698,1631,1623,1577,1921,3516,1931,579,13963
SOS52,762,139,127,105,130,228,135,31,18,1675,228,58,61,73,61,89,91,23,8,698,137,259,422,315,311,377,304,144,33,2307,73,94,162,159,207,347,748,449,84,2328,60,62,116,117,179,319,537,278,89,1758,81,104,143,125,195,215,323,134,35,1347,62,143,180,159,183,252,241,120,27,1368,49,175,333,259,346,371,213,65,16,1829,20,135,396,374,427,435,187,41,20,2026,3,87,292,320,366,296,99,20,7,1489,10,57,285,281,361,319,67,16,3,1394,4,33,232,264,321,238,63,6,3,1166,4,49,470,539,626,409,81,8,4,2192,3,11,128,251,282,191,54,9,3,941,380,230,543,575,612,604,473,263,101,3788,1880,1632,3888,3914,4612,4709,3608,1612,445,26298,708,115,383,366,353,518,146,40,22,2658,251,84,188,174,153,160,87,31,16,1147,162,249,508,386,453,494,305,146,37,2738,82,143,380,328,357,532,800,399,76,3114
SOS53,2014,250,228,263,431,750,425,111,27,4502,716,142,98,91,164,284,258,79,15,1849,304,300,385,365,483,719,758,306,46,3671,223,176,190,240,394,731,1418,653,139,4163,264,190,227,246,453,687,1100,493,98,3765,244,313,332,328,517,771,852,343,60,3764,136,404,486,445,632,845,677,221,47,3897,86,459,712,705,1022,1009,621,133,34,4780,67,448,996,1050,1432,1268,596,135,34,6024,24,244,819,917,1158,948,367,83,21,4576,4,186,713,953,1251,888,290,60,19,4360,8,134,711,890,1055,753,194,38,7,3793,7,246,1904,2132,2330,1332,307,61,9,8330,8,113,1399,1754,1944,1126,307,67,7,6736,832,1058,3307,2939,2585,1841,1103,453,98,14221,4957,4662,12506,13329,15848,13957,9278,3230,659,78428,1638,238,741,955,1152,1352,461,121,28,6684,864,166,376,445,449,519,273,65,15,3174,342,354,671,811,790,991,783,273,47,5069,171,258,496,648,766,920,1393,478,108,5223
SOS57,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,10,0,3,3,3,0,0,0,0,0,17,0,0,4,3,4,3,0,0,0,14,0,0,10,6,3,3,3,0,0,27,0,0,7,6,6,3,0,0,0,24,0,4,40,20,17,6,0,0,0,90,0,0,27,59,40,14,0,0,0,140,0,3,27,21,23,6,0,0,0,78,0,17,124,120,94,43,8,3,3,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,34,39,69,49,47,45,17,6,0,293,13,15,12,14,27,17,10,0,0,104,15,45,88,109,125,74,38,0,0,503,7,13,35,52,56,66,63,19,0,313,0,19,26,23,39,37,70,12,3,225,0,21,26,16,13,25,43,3,0,153,0,19,53,16,21,27,23,0,0,162,0,9,51,35,34,28,14,3,0,184,0,11,55,38,24,19,11,3,0,160,0,3,39,25,24,19,3,0,0,112,0,8,32,29,23,15,5,0,0,106,0,3,35,20,19,16,3,0,0,91,0,8,62,52,48,28,14,0,0,204,0,3,38,35,33,19,3,0,0,130,15,43,149,95,114,96,59,14,0,590,84,254,773,606,638,540,375,58,12,3336,21,37,65,28,27,65,12,3,0,249,3,10,19,15,16,31,7,0,0,106,15,30,53,72,60,62,23,3,0,312,6,12,25,29,42,40,77,11,0,243
SOS60,2529,641,506,215,255,344,199,80,16,4791,1239,488,196,108,116,206,159,50,12,2577,573,1010,760,485,477,633,571,307,99,4921,192,471,585,451,528,774,1338,1034,310,5687,207,479,588,473,602,694,1089,751,329,5206,181,599,867,507,526,667,882,502,190,4923,95,677,1067,723,694,751,728,393,156,5285,42,593,1613,1087,1051,1065,704,292,100,6540,7,367,1659,1298,1254,1229,694,226,81,6814,3,133,1044,1084,1009,812,343,87,39,4558,3,44,771,1009,1027,837,225,68,28,4010,0,18,424,771,820,559,116,34,15,2763,3,13,465,1032,1210,796,200,54,24,3797,4,15,132,460,679,541,205,44,22,2098,455,455,984,822,844,837,723,489,230,5840,5540,6000,11661,10524,11089,10747,8176,4416,1652,69810,1991,536,764,528,491,875,319,115,36,5659,1489,434,314,307,278,453,287,88,33,3695,708,899,824,655,627,962,868,444,178,6161,233,585,786,709,756,1167,1923,1162,409,7720
SOS61,2775,492,304,234,300,502,264,96,41,5004,1298,344,154,129,163,279,202,85,17,2671,671,912,820,700,806,1073,1052,489,107,6621,240,464,494,509,737,1195,2702,1829,469,8639,303,499,514,517,774,982,1750,1131,468,6937,264,709,663,621,643,863,1202,592,195,5756,141,931,1179,912,1008,1013,802,402,143,6539,58,742,1771,1283,1461,1346,592,225,62,7544,22,419,1654,1446,1635,1390,559,149,47,7319,8,172,1096,1026,1089,810,226,52,24,4511,6,90,691,859,1016,731,151,44,16,3598,5,36,414,662,739,500,88,10,6,2472,0,10,386,745,815,538,114,28,10,2639,8,21,112,264,392,350,115,42,14,1318,609,485,823,765,961,978,1069,696,342,6726,6413,6309,11077,10680,12540,12560,10897,5865,1954,78296,2164,356,554,560,705,1114,327,93,53,5927,1558,328,372,382,414,515,287,100,32,3988,861,945,1084,1009,1056,1585,1161,544,163,8417,352,603,994,1026,1254,1851,3248,1815,526,11664
SOS62,394,34,34,36,46,124,64,18,5,747,129,33,16,21,31,68,45,10,0,357,70,69,82,84,132,212,237,96,16,1000,34,33,49,72,133,296,507,303,67,1492,38,44,61,86,135,226,387,201,53,1241,43,68,76,73,107,194,227,95,33,905,27,105,129,123,160,206,162,71,18,1002,14,86,199,199,221,260,139,27,7,1157,5,74,225,217,234,238,116,23,8,1143,0,30,161,163,177,153,55,14,0,754,0,16,97,131,161,141,29,3,3,577,0,4,60,108,136,86,17,0,0,412,0,8,70,121,159,112,38,13,0,524,0,3,25,46,68,76,14,10,3,248,113,45,92,118,190,233,239,135,52,1218,868,652,1369,1604,2091,2610,2280,1021,276,12777,296,29,98,104,139,254,63,15,7,1005,194,37,53,75,64,124,51,7,4,610,71,74,124,154,159,329,240,84,20,1255,32,62,126,167,222,321,575,248,68,1828
SOS63,1332,145,98,150,232,458,207,54,3,2690,537,118,61,81,139,285,184,41,0,1440,223,249,238,295,461,790,631,237,44,3175,137,127,147,247,488,820,1433,639,118,4139,155,173,216,258,488,708,998,430,89,3512,138,275,241,309,448,688,687,241,56,3074,96,334,426,442,680,726,489,181,15,3397,46,319,636,650,917,858,417,106,24,3976,24,176,655,794,1019,906,390,74,15,4054,0,88,406,558,683,594,181,26,6,2543,4,27,271,551,643,529,131,17,3,2179,0,15,161,324,437,324,71,13,0,1356,0,19,148,411,527,411,99,14,0,1629,3,4,52,170,280,226,119,18,7,878,415,195,332,452,644,776,635,273,66,3798,3108,2266,4095,5693,8089,9090,6675,2371,466,41846,1078,89,252,332,565,819,203,52,16,3399,727,137,161,282,343,433,186,36,11,2310,298,233,427,519,656,953,654,171,41,3951,142,172,372,458,675,1080,1405,469,86,4865
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,5,0,6,15,5,10,8,4,0,0,49,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,10,4,8,5,0,4,0,0,0,34,8,0,3,3,0,0,3,0,0,18,11,18,14,20,18,7,4,0,0,95,0,5,3,11,12,7,13,0,0,55,3,7,6,13,7,8,11,3,0,49,0,0,7,8,0,3,4,0,0,27,0,4,11,5,8,3,0,0,0,34,0,4,8,5,3,3,3,0,0,32,0,3,7,6,3,0,0,0,0,23,0,0,5,3,3,5,0,0,0,16,0,0,4,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,4,0,0,3,4,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,6,0,11,24,16,12,7,4,3,0,85,34,56,120,93,77,52,48,8,0,481,13,4,7,6,3,5,4,0,0,38,0,3,0,0,3,4,3,0,0,16,9,6,7,5,16,9,8,0,0,68,0,3,6,7,6,10,7,0,0,47
SOS70,1308,297,271,176,164,246,172,40,9,2696,530,92,73,50,56,65,75,22,3,966,271,195,220,154,146,165,208,104,12,1475,145,196,186,148,137,220,371,205,37,1640,113,184,248,164,151,188,318,150,48,1573,151,258,350,189,190,200,244,98,31,1705,116,363,527,310,254,269,213,64,13,2135,124,616,1015,679,528,408,220,53,11,3651,71,709,1687,1049,758,569,260,60,14,5173,18,464,1443,907,725,488,181,27,8,4260,18,246,1253,973,753,517,139,31,3,3931,0,86,844,872,784,455,107,10,3,3166,3,117,1566,1618,1383,839,171,24,5,5723,4,59,907,1102,996,613,140,22,4,3833,497,796,2269,1619,1304,888,464,175,52,8057,3362,4680,12865,9999,8332,6128,3296,1071,245,49980,1131,324,1122,790,456,477,192,49,16,4564,587,115,227,200,105,94,79,26,4,1437,310,223,354,286,237,246,250,92,16,2018,119,193,431,310,274,285,426,199,49,2286
