SOS_CODE_2016,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,12,11,29,4,5,3,0,0,3,3,66,0,0,0,0,0,0,0,0,0,3,3,12,0,3,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,26,75,11,23,7,10,10,22,5,178,0,0,0,0,0,0,0,0,0,0,5,14,3,4,7,3,4,0,0,37,7,9,14,8,0,0,3,8,0,62,24,17,139,17,12,9,27,48,5,288,0,0,5,0,0,3,3,0,0,13,0,0,0,5,0,0,5,3,0,18,0,7,4,0,0,0,0,0,0,12,6,3,10,3,0,0,7,11,12,48,88,178,189,67,30,30,63,97,21,761,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,8,3,18,3,4,7,0,0,3,0,40,0,0,0,0,0,0,0,0,0,3
SOS30,157,491,19,19,45,25,4,7,11,768,1019,8153,126,71,160,55,39,62,68,9757,8788,18722,1360,1165,2463,1275,676,1009,463,35908,316,823,52,44,120,59,30,38,23,1491,1887,6132,398,540,659,241,160,178,90,10292,849,1444,167,212,328,89,38,45,43,3223,24055,68946,8633,7257,9592,6351,3176,5124,1695,134817,81,74,124,94,47,36,37,69,19,580,5994,6987,4870,2573,1993,1593,1430,1426,401,27270,9602,8692,8952,6625,4567,3563,2888,3427,686,49020,24308,9417,105688,12048,9881,11050,20347,22620,3389,218745,649,478,1105,887,557,984,1070,1734,98,7558,1697,1186,1849,1461,874,1334,1936,1955,224,12526,823,1380,1016,464,349,374,573,735,162,5868,1373,1440,2712,929,619,960,1991,2260,1643,13934,81595,134372,137075,34391,32263,27989,34390,40674,9007,531756,128,783,18,42,94,30,4,7,8,1113,621,6149,83,98,272,47,5,29,33,7340,5225,22063,513,1950,4002,1227,55,636,364,36044,235,1184,24,95,175,45,0,35,23,1821
SOS31,12,56,3,4,0,3,0,0,0,82,85,578,14,7,26,7,3,7,3,723,714,1607,131,112,114,56,46,71,16,2871,36,86,7,4,11,0,5,8,0,157,238,886,104,114,66,14,24,25,13,1488,118,177,44,46,41,11,8,20,3,460,2500,8585,1271,1069,702,390,419,654,150,15735,18,8,12,28,5,5,5,19,3,103,899,1147,956,608,236,193,271,258,49,4621,1680,1333,1735,1447,580,400,630,556,133,8499,6279,2128,35858,2634,1963,2451,9563,7020,948,68854,163,133,336,210,97,317,422,688,29,2399,394,193,470,313,131,242,716,582,51,3094,111,171,213,53,50,45,181,231,18,1077,398,273,966,238,115,259,949,1002,434,4638,13642,17357,42136,6880,4129,4407,13269,11147,1856,114809,12,120,0,9,15,3,0,0,0,164,41,433,5,14,20,5,0,3,3,532,443,2379,56,174,224,57,5,66,16,3435,29,169,3,6,19,3,0,3,3,239
SOS32,0,4,0,0,0,0,0,0,0,6,13,73,0,0,0,0,0,0,3,94,91,180,8,12,15,3,4,5,3,330,3,10,0,0,3,0,0,0,0,22,47,134,6,18,5,7,7,10,3,227,13,29,7,10,5,0,0,0,0,62,371,998,138,156,102,44,49,67,26,1955,7,5,0,3,0,3,0,3,0,22,158,197,123,105,41,29,45,44,10,750,232,206,211,226,86,50,110,99,26,1245,1156,387,5134,416,327,293,1608,1281,161,10756,35,26,39,39,15,36,63,133,6,395,72,47,85,35,20,33,108,100,12,509,23,25,23,8,3,7,38,27,3,161,93,59,185,52,38,49,232,252,105,1071,2314,2385,5970,1080,666,555,2262,2021,359,17606,0,12,0,0,5,0,0,0,0,22,16,65,0,5,9,0,0,0,0,96,106,351,11,26,27,13,0,3,0,537,3,11,0,3,0,0,0,0,0,21
SOS33,10,34,6,0,3,0,0,0,0,52,85,335,12,3,13,0,0,11,3,455,487,773,63,40,91,26,22,32,15,1548,23,33,4,7,4,3,0,0,0,73,184,372,43,35,28,11,12,14,9,698,58,69,20,16,12,3,4,6,5,201,2150,3779,554,375,354,184,169,327,86,7983,18,9,11,7,0,3,3,7,4,58,1037,689,433,214,127,97,198,155,52,3005,1341,665,785,461,269,192,304,327,68,4428,6572,1031,16717,965,866,991,4987,4254,551,36933,217,57,149,70,30,109,188,294,12,1120,543,110,249,138,65,112,397,326,37,1977,130,65,96,34,18,30,92,102,20,591,684,149,544,103,74,152,596,581,260,3131,13527,8172,19694,2459,1962,1911,6981,6434,1117,62252,14,56,0,3,11,0,0,0,0,83,57,325,3,8,16,4,0,0,3,421,340,1286,20,75,135,22,8,30,13,1918,17,87,3,5,14,0,0,0,0,122
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,21,5,17,4,3,0,0,3,6,0,39,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,7,30,82,6,24,11,6,11,66,0,243,0,0,3,0,0,0,0,0,0,3,7,10,4,3,3,0,8,7,3,43,5,15,8,9,3,0,5,16,0,69,40,20,208,25,17,11,70,106,17,512,0,0,7,5,0,0,3,5,0,18,4,0,4,3,0,0,5,5,0,18,0,3,0,3,0,0,5,3,4,26,0,3,16,9,0,3,10,10,11,58,95,180,264,79,37,29,113,234,41,1070,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,7,9,25,0,9,0,0,0,7,0,49,0,0,0,0,0,0,0,0,0,0
SOS40,40,214,8,21,15,8,3,6,4,310,426,3477,62,45,77,25,20,33,21,4177,2810,6001,610,653,925,506,438,639,128,12712,106,291,14,17,35,9,16,15,6,509,729,2224,132,190,298,84,45,85,31,3818,323,454,65,69,96,24,12,21,12,1077,7703,24596,3068,3024,3425,2127,1361,2378,500,48188,34,32,40,24,13,14,15,17,3,191,2029,2678,1633,1242,823,577,485,486,153,10113,3139,3066,2933,1961,1526,1033,841,974,210,15690,7381,3138,32697,4533,3643,3573,5832,6566,1031,68406,278,173,417,379,242,394,410,675,48,3024,641,474,627,668,388,488,545,574,89,4495,283,497,384,184,161,120,217,300,75,2208,467,484,845,337,228,315,583,677,466,4416,26390,47788,43545,13355,11901,9298,10823,13447,2782,179338,56,349,3,20,44,9,0,5,3,487,266,2502,35,57,94,16,0,13,13,2998,1686,7209,244,1132,1339,422,21,402,131,12579,84,431,5,48,56,21,0,9,8,655
SOS41,7,27,0,0,3,0,0,0,0,37,56,323,0,8,13,4,0,4,0,408,293,640,39,32,54,24,6,32,15,1138,12,29,0,0,3,0,0,3,0,52,116,348,33,29,20,14,8,15,7,592,45,77,8,10,12,3,0,3,3,164,1110,3491,337,343,277,187,111,301,56,6214,4,9,9,8,0,3,0,0,0,29,426,543,253,312,138,100,101,116,36,2026,639,516,500,379,230,198,159,188,42,2855,2382,750,10483,1220,739,989,2543,2572,367,22047,99,43,135,89,45,135,174,298,13,1035,183,107,171,171,81,118,233,272,20,1345,63,50,83,32,32,28,56,112,12,481,189,101,300,100,56,108,285,418,148,1703,5638,7054,12354,2728,1700,1911,3681,4340,722,40133,12,73,0,5,4,0,0,3,0,91,33,235,3,10,11,0,0,0,3,300,212,957,21,66,94,15,0,14,13,1384,12,71,0,3,7,0,0,0,0,95
SOS42,0,4,0,0,0,0,0,0,0,7,6,33,0,0,0,0,0,0,0,41,31,68,3,4,5,0,0,0,3,116,0,3,0,0,0,0,0,0,0,4,16,65,9,4,7,7,0,3,0,107,11,3,0,0,8,0,0,6,3,27,153,393,49,48,35,16,14,48,5,764,0,0,0,0,0,0,0,0,0,8,91,73,35,41,19,17,12,12,3,298,110,70,72,57,22,23,31,38,5,428,589,142,1851,167,103,125,496,543,59,4073,25,13,22,6,9,13,30,40,0,155,47,20,35,23,15,24,44,51,8,249,11,5,6,6,0,4,10,16,0,57,67,27,53,16,8,26,70,63,26,367,1168,908,2143,370,226,254,701,814,107,6702,0,9,0,0,3,0,0,0,0,9,7,24,0,0,0,0,0,0,0,29,26,111,0,9,12,4,0,3,0,165,3,6,0,0,0,0,0,0,0,14
SOS43,9,11,0,0,0,0,0,0,0,24,62,177,4,0,3,0,0,10,0,257,154,224,10,19,23,11,9,6,4,455,8,17,0,0,0,0,0,0,0,24,86,144,9,16,16,0,3,14,0,292,28,32,3,0,5,0,0,3,0,71,1021,1316,150,119,140,72,50,177,38,3096,4,0,0,3,0,0,0,0,0,18,455,265,135,101,60,45,51,67,13,1200,613,246,212,114,73,73,79,121,14,1547,2777,371,4697,339,254,343,1162,1488,147,11582,143,23,59,28,16,32,67,138,4,512,313,51,75,55,26,36,108,158,15,839,74,24,46,10,5,8,29,57,8,255,356,53,176,29,24,53,170,195,76,1135,6104,2968,5586,827,638,676,1731,2440,323,21303,4,27,0,3,3,0,0,0,0,38,31,162,5,0,9,0,0,0,0,210,131,391,3,20,46,8,0,6,3,612,3,44,3,0,3,0,0,0,3,50
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,6,17,0,3,3,0,0,14,0,53,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,0,0,8,0,3,4,0,3,0,3,4,0,18,6,0,58,7,7,10,18,27,3,127,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,0,0,4,0,8,0,0,0,0,0,0,3,0,0,8,4,0,3,0,0,0,8,9,4,27,23,50,65,11,9,9,36,65,7,279,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SOS50,130,345,19,30,39,14,3,18,7,602,725,4837,86,61,105,29,42,40,49,5977,5621,11243,1096,811,1656,767,704,671,268,22834,257,546,37,37,76,28,33,22,10,1055,1389,3958,287,262,441,151,120,97,63,6776,487,705,91,187,160,35,23,29,30,1739,16807,44055,6786,4522,6215,3912,3102,3793,1079,90267,51,38,99,49,22,25,44,44,8,389,4279,4930,4169,1721,1430,1036,1358,1091,309,20324,4767,4625,6267,2627,1986,1719,2063,1858,389,26313,12017,5182,66927,5667,5087,4526,12157,10540,2215,124323,335,223,743,562,287,496,604,957,68,4289,922,692,1349,851,464,541,1116,948,126,7002,637,962,821,257,262,214,390,456,98,4091,760,941,1599,517,399,458,1176,1134,813,7793,49183,83267,90372,18168,18627,13957,22954,21702,5542,323766,120,634,11,44,101,16,0,12,3,938,370,3494,67,74,155,34,6,25,27,4259,2775,11215,431,1287,2331,783,62,458,216,19560,163,872,20,49,157,48,0,12,22,1349
SOS51,9,26,0,4,5,0,0,0,0,47,32,250,7,6,8,3,3,0,0,307,361,727,85,41,67,27,48,57,10,1422,25,50,0,5,4,3,0,0,0,84,143,471,29,47,24,10,17,19,8,764,52,81,29,24,18,5,3,5,0,211,1376,4017,721,420,320,189,293,428,84,7848,9,9,20,11,3,0,3,4,0,54,577,642,548,296,144,108,225,174,41,2749,725,634,906,451,214,185,306,278,50,3748,2675,1086,17932,1086,884,909,4155,2862,626,32220,96,81,198,94,47,136,217,335,19,1233,186,141,298,128,52,90,351,280,33,1566,66,71,100,35,21,24,106,109,12,545,172,103,392,117,56,114,493,387,227,2052,6506,8390,21266,2764,1868,1797,6220,4931,1115,54851,14,72,3,7,6,0,0,0,0,101,14,128,3,3,15,3,0,7,3,175,214,901,34,105,123,46,3,42,7,1478,13,106,0,4,10,0,0,0,0,134
SOS52,0,3,0,0,0,0,0,0,0,7,7,16,0,0,0,0,0,0,0,27,38,61,4,10,3,3,6,5,0,124,0,3,0,3,0,0,0,0,0,10,21,63,0,9,4,0,3,0,0,106,9,12,4,8,0,0,0,0,0,36,228,423,88,59,20,26,31,44,13,926,0,0,0,0,0,0,0,0,0,6,118,71,60,56,8,5,30,29,3,383,92,61,110,84,31,21,54,32,6,487,489,195,2350,156,110,90,698,507,87,4688,16,12,28,21,4,5,16,51,5,161,36,23,51,22,13,8,46,48,7,264,16,10,17,4,0,4,14,14,3,74,50,27,98,31,13,20,118,103,41,504,1122,970,2809,464,218,188,1010,839,170,7794,3,8,0,0,0,0,0,0,0,17,3,19,0,0,0,0,0,0,0,21,41,101,0,15,17,3,0,4,0,185,4,6,0,3,0,0,0,0,0,13
SOS53,3,6,3,0,3,0,0,0,0,17,36,109,3,3,4,0,0,3,0,163,184,294,38,11,30,3,16,17,9,608,16,14,0,0,0,0,0,0,0,31,71,152,14,17,11,4,10,11,3,285,15,30,7,5,3,0,3,0,0,71,1338,1803,332,125,142,80,163,220,46,4253,9,9,9,0,0,0,4,3,0,35,562,312,298,92,65,52,138,110,19,1644,550,269,397,149,75,68,189,160,35,1890,2499,478,8595,383,283,281,2249,1781,289,16842,90,31,92,32,19,33,99,159,5,556,263,52,118,47,34,43,166,118,18,857,61,40,45,10,8,16,33,66,6,284,312,61,158,37,26,28,235,187,71,1127,6014,3664,10113,922,698,598,3308,2844,503,28667,5,28,0,3,3,0,0,0,0,51,34,108,3,0,7,3,0,3,0,167,132,333,10,28,55,15,3,15,10,599,9,33,0,0,9,0,0,3,0,53
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,16,3,0,0,0,0,7,0,25,0,0,0,0,0,0,0,0,0,0,0,20,9,0,3,0,0,5,0,32,0,11,0,0,0,0,3,0,0,17,3,11,59,0,0,0,9,35,3,121,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,5,76,69,0,5,0,21,50,9,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,4,15,0,0,0,0,4,6,5,31,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,55,9,12,6,4,13,24,4,136,0,0,0,0,0,0,0,0,0,0,3,10,3,0,0,0,5,8,3,26,0,8,10,6,3,0,9,8,0,40,17,7,216,12,13,4,69,52,12,409,0,3,0,0,0,0,4,8,0,18,3,0,3,5,0,0,7,5,0,21,0,3,0,0,0,0,6,0,0,13,3,0,4,0,0,0,7,7,0,29,42,109,245,36,27,17,117,123,25,740,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,13,3,8,0,0,0,3,0,27,0,0,0,0,0,0,0,0,0,0
SOS60,12,38,0,0,0,0,0,0,0,54,88,724,17,10,21,3,0,3,9,871,400,896,66,82,121,45,37,46,21,1709,10,58,4,3,8,0,0,0,0,88,122,392,23,37,52,9,7,7,4,654,75,117,4,26,32,0,0,0,4,267,1128,3825,401,451,535,222,109,198,82,6945,0,4,3,3,0,0,4,0,0,17,283,350,201,111,147,62,32,43,20,1257,439,409,342,243,246,145,77,93,38,2034,1290,480,4938,804,629,509,702,808,168,10333,33,26,49,62,37,75,35,109,7,436,75,53,82,111,61,50,48,74,14,577,36,60,38,22,19,9,24,20,5,236,73,56,131,67,43,48,89,91,63,666,4060,7490,6310,2031,1950,1184,1175,1501,443,26146,5,53,0,5,9,0,0,0,0,67,52,611,10,8,38,0,0,6,6,741,284,1329,34,166,211,52,4,36,30,2142,14,59,0,3,15,0,0,0,3,98
SOS61,3,25,0,3,3,0,0,0,0,31,17,277,3,0,7,0,3,3,3,315,165,449,44,20,47,18,5,17,9,769,11,23,5,3,0,0,0,0,0,42,60,214,11,15,23,3,7,0,6,335,39,67,8,32,17,3,0,0,0,168,637,2410,224,227,203,99,66,124,39,4042,3,3,0,7,0,3,0,3,0,21,244,301,201,104,121,48,34,58,21,1136,349,361,317,229,166,115,85,107,23,1755,1816,489,6484,706,585,681,1472,1311,216,13766,40,25,75,66,38,67,83,178,5,575,83,47,91,121,44,54,99,114,16,663,30,50,26,13,11,15,22,32,8,206,86,58,174,62,38,59,191,187,100,958,3571,4793,7653,1608,1304,1177,2090,2141,455,24787,4,33,0,3,5,0,0,0,0,40,19,166,5,7,19,0,0,0,3,217,113,689,15,44,71,21,0,12,6,964,3,37,0,3,5,0,0,0,0,55
SOS62,5,0,0,0,0,0,0,0,0,3,7,44,4,0,0,0,0,0,3,57,33,72,3,6,10,0,0,3,0,132,3,7,0,0,0,0,0,0,0,13,13,28,6,3,4,0,3,3,0,53,0,6,0,0,0,0,0,0,0,14,120,325,38,30,38,11,6,14,0,594,3,0,0,0,0,0,0,0,0,3,39,56,37,23,14,9,7,14,0,207,65,49,44,22,24,18,9,22,5,266,326,83,1051,82,56,73,274,245,43,2228,10,4,17,4,6,10,11,20,0,81,24,17,12,13,7,5,22,34,3,131,5,7,8,3,0,4,0,7,0,42,35,16,43,13,0,10,43,52,20,228,684,721,1270,206,155,139,374,421,80,4055,3,5,0,0,0,0,0,0,0,9,3,40,0,0,5,0,0,0,0,54,33,122,0,9,13,0,0,0,0,176,0,3,0,0,0,0,0,0,0,6
SOS63,0,9,0,0,0,0,0,0,0,11,32,171,0,0,9,0,0,0,4,222,104,201,10,14,18,0,6,5,3,367,3,10,0,3,0,0,0,0,0,22,37,130,10,12,5,0,0,3,0,203,21,31,6,11,11,0,0,0,3,76,577,1048,146,111,99,39,22,92,28,2155,3,0,3,0,0,0,0,0,0,12,333,206,142,59,40,25,34,42,13,888,319,190,175,105,70,47,50,66,11,1028,1657,251,3634,314,284,240,829,936,158,8291,47,11,38,23,14,10,37,67,0,253,80,42,62,50,17,23,44,74,3,398,28,24,23,11,10,5,11,21,0,132,152,40,140,33,16,35,113,145,63,735,3397,2364,4381,733,584,436,1144,1456,296,14790,0,21,0,0,0,0,0,0,0,20,29,134,3,4,11,3,0,0,0,192,82,410,5,17,40,5,4,10,5,588,6,22,0,0,3,0,0,0,0,33
