SOS_CODE_2016,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,1261,58,54001,2288,7685,547,34,8261,4,10561,68,904,1062,7,1977,4,2046,19,45,10,37,92,0,112,2374,8632,1624,71,10332,13,12720,48,7,0,0,7,40,98,55104,9858,1645,95,11603,105,66809,18239,394,10,3,402,17,18659,828,4017,306,16,4342,0,5173,41,580,707,4,1292,0,1335,13,11,3,13,32,0,39,876,4610,1020,34,5665,3,6546,3,8,0,0,8,4,15,19120,5010,1026,38,6077,27,25224,7550,156,4,0,154,7,7713,353,1913,174,12,2094,0,2451,13,307,432,3,741,0,753,0,10,0,3,14,0,17,369,2220,608,16,2848,0,3221,4,3,0,0,3,6,11,7926,2379,608,16,3005,13,10941,415087,12142,162,131,12438,535,428061,21468,73031,4146,355,77529,102,99096,518,8415,7256,85,15756,18,16289,216,386,45,266,697,7,931,22201,81833,11446,711,93990,128,116321,520,110,9,3,127,586,1230,437809,94091,11619,842,106550,1250,545608
SOS31,175,32,14630,324,775,25,5,805,0,1129,10,52,60,0,106,0,115,4,9,0,3,12,0,12,336,830,83,5,919,0,1257,26,0,0,0,0,15,41,14790,1002,83,11,1097,49,15926,1838,20,0,0,20,3,1862,61,156,7,0,160,0,218,6,17,9,0,25,0,32,3,0,0,0,0,0,3,67,166,16,0,185,0,250,3,0,0,0,0,3,5,1903,190,16,0,206,6,2115,604,3,0,0,3,0,613,21,51,0,0,50,0,70,0,3,5,0,5,0,5,0,0,0,0,0,0,0,21,52,5,4,59,0,81,4,0,0,0,0,0,4,631,52,5,4,61,0,694,116631,1614,22,19,1656,289,118576,3115,7517,245,21,7779,13,10902,96,477,399,3,879,0,977,49,62,0,44,104,0,149,3253,8058,639,68,8766,13,12029,255,9,0,0,9,227,493,120139,9675,665,88,10432,524,131097
SOS32,34,9,2264,48,125,3,0,129,0,180,4,3,6,0,7,0,14,3,0,0,4,4,0,4,56,129,8,3,137,0,199,0,0,0,0,0,6,14,2283,157,13,7,172,15,2470,266,0,0,0,0,0,274,10,18,0,0,18,0,24,0,0,3,0,3,0,3,0,0,0,0,0,0,0,5,18,3,0,19,0,24,0,0,0,0,0,0,0,275,17,3,0,19,0,295,95,3,0,0,3,0,96,5,4,0,0,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,10,0,15,0,0,0,0,0,0,0,102,9,0,0,8,0,111,17639,205,4,8,211,66,17918,458,1873,58,11,1944,0,2401,16,32,51,0,91,0,103,8,19,0,20,42,0,52,487,1927,115,36,2073,0,2561,37,0,0,0,0,50,90,18158,2133,115,40,2289,116,20563
SOS33,109,9,9428,168,215,8,0,224,0,393,7,17,9,0,34,0,37,3,0,0,3,0,0,4,180,233,18,4,255,0,434,25,0,0,0,0,14,41,9506,337,24,3,368,22,9899,1478,26,0,0,31,3,1513,35,56,0,0,56,0,87,5,8,4,0,8,0,15,0,4,0,0,3,0,3,38,66,4,0,71,0,106,0,0,0,0,0,0,4,1522,90,6,0,94,8,1623,581,15,0,0,15,0,592,16,39,0,0,39,0,48,0,3,0,0,3,0,0,0,0,0,0,0,0,0,16,36,0,0,36,0,57,0,0,0,0,0,0,0,596,55,0,0,52,0,650,66048,760,9,5,780,128,66961,1399,1662,51,4,1716,3,3114,39,108,74,0,177,0,221,14,21,0,8,31,0,45,1452,1791,121,13,1920,4,3379,165,5,0,3,11,122,300,67664,2563,134,20,2717,257,70640
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,509,13,17031,752,3743,253,20,4012,3,4770,23,580,762,3,1338,0,1367,3,20,3,10,38,0,37,780,4345,1020,27,5387,3,6173,20,0,0,0,0,11,36,17312,4835,1029,37,5904,29,23243,7751,253,0,3,258,3,8013,367,2463,166,7,2628,3,3000,19,387,625,8,1017,3,1041,3,11,0,0,10,0,13,390,2854,796,9,3662,5,4056,6,3,0,0,4,9,22,8149,3113,797,13,3924,15,12088,3951,115,0,0,115,0,4072,192,1208,107,3,1321,0,1512,8,231,404,0,636,0,650,0,3,0,0,5,0,3,196,1449,513,7,1967,0,2170,0,3,0,0,4,0,4,4152,1565,514,6,2087,0,6239,125819,4427,85,46,4560,149,130529,6624,36925,1972,194,39093,17,45738,142,5108,4827,34,9960,14,10117,66,195,35,112,336,0,410,6839,42226,6834,337,49397,32,56266,173,63,3,3,63,216,455,132825,46720,6918,390,54022,396,187249
SOS41,76,14,5753,99,236,3,0,246,0,344,0,26,46,0,74,0,74,3,3,0,0,4,0,5,102,273,48,0,321,0,427,18,0,0,0,0,9,26,5789,348,53,0,401,19,6207,1353,17,0,0,14,0,1372,18,88,3,0,91,0,104,0,12,14,0,23,0,23,0,0,0,0,3,0,3,18,99,18,0,116,0,137,4,3,0,0,3,3,7,1379,116,19,0,138,5,1516,444,12,0,0,12,3,460,11,19,0,0,21,0,35,0,7,6,0,16,0,16,0,0,0,0,0,0,0,16,27,11,0,37,0,54,0,0,0,0,0,0,0,459,40,11,0,49,3,513,41468,546,6,10,560,72,42111,965,2096,74,10,2184,0,3151,16,239,251,3,493,0,513,9,16,7,0,22,0,35,995,2354,331,15,2704,0,3694,112,6,0,0,11,84,202,42579,2910,343,21,3271,160,46009
SOS42,4,4,943,7,31,0,0,35,0,46,0,0,4,0,3,0,3,0,0,0,0,0,0,0,9,33,4,0,42,0,55,4,0,0,0,0,0,4,954,40,4,0,46,4,1006,212,0,0,0,0,0,212,3,12,0,0,12,0,14,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,15,0,0,13,0,18,0,0,0,0,0,0,0,217,15,0,0,13,0,233,69,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,69,6990,46,0,6,54,30,7072,105,443,13,0,460,0,563,0,10,26,0,41,0,41,7,4,0,0,3,0,7,109,458,36,3,501,0,606,25,0,0,0,0,15,39,7126,509,36,10,554,42,7715
SOS43,33,16,3524,56,109,4,0,113,0,165,0,21,10,0,30,0,29,0,0,0,3,3,0,3,59,129,15,3,144,0,201,9,3,0,0,3,5,17,3538,164,15,3,180,23,3740,801,9,0,0,5,0,804,15,46,4,0,48,0,65,0,7,17,0,22,0,22,0,0,0,4,4,0,4,15,54,17,4,73,0,93,3,0,0,0,0,0,5,821,60,21,4,79,0,903,292,3,0,0,3,0,293,4,24,0,0,24,0,29,0,3,5,0,6,0,6,0,0,0,0,0,0,0,4,28,5,0,30,0,34,0,0,0,0,0,0,0,293,30,5,0,34,0,329,23179,226,5,12,239,68,23482,422,742,38,10,791,3,1211,7,102,71,0,176,0,184,3,3,0,17,13,0,19,435,852,112,25,985,3,1417,55,3,0,0,3,93,155,23668,1077,120,29,1230,163,25060
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,821,19,29195,1524,6985,336,35,7351,5,8880,58,824,904,7,1732,3,1793,14,34,4,19,55,0,74,1596,7841,1241,56,9138,4,10744,33,0,0,0,0,11,39,29980,8648,1249,70,9959,39,39981,11815,357,3,6,371,11,12191,724,4088,220,16,4319,0,5051,15,553,588,5,1147,0,1165,10,21,3,8,34,0,44,754,4659,809,24,5501,0,6253,14,3,0,0,3,3,20,12575,5026,816,29,5868,9,18457,5328,175,0,0,180,0,5508,341,2126,103,9,2233,0,2579,8,319,319,0,643,0,652,0,17,0,3,18,0,20,350,2457,423,15,2891,0,3243,3,0,0,0,0,3,11,5681,2634,421,15,3070,6,8763,219597,7602,91,62,7758,234,227587,15063,65929,2568,308,68807,53,83924,374,7563,5806,50,13425,9,13808,138,369,47,151,566,3,714,15580,73861,8418,515,82801,66,98446,319,93,4,10,112,256,683,235490,81557,8518,583,90662,554,326707
SOS51,97,9,5978,177,629,13,3,639,0,816,5,44,30,0,73,0,79,0,5,0,0,5,0,4,180,673,38,4,718,0,896,10,0,0,0,0,7,19,6059,766,42,3,811,18,6896,522,11,0,0,11,0,529,22,96,0,0,96,0,121,0,7,6,0,15,0,15,0,0,0,0,0,0,0,22,104,12,0,115,0,135,0,0,0,0,0,0,3,541,109,12,0,123,0,669,126,9,0,0,9,0,129,4,33,0,0,33,0,36,0,0,0,0,4,0,7,0,0,0,0,0,0,0,4,33,0,0,36,0,41,0,0,0,0,0,0,0,128,43,0,0,40,0,176,49337,796,6,9,805,88,50239,1857,5252,67,19,5339,22,7220,40,292,202,3,500,0,539,22,30,5,27,63,0,84,1915,5568,277,52,5900,26,7834,117,5,5,7,9,88,210,51368,6374,287,58,6717,194,58285
SOS52,11,0,791,14,89,0,0,88,0,105,0,3,0,0,3,0,3,3,0,0,0,3,0,3,16,94,4,0,96,0,112,0,0,0,0,0,0,3,800,99,5,0,106,6,902,100,4,0,0,4,0,103,5,12,0,0,12,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,12,0,16,0,0,0,0,0,0,0,105,16,0,0,16,0,119,27,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,3,0,0,3,0,36,7512,97,4,0,100,30,7642,199,1121,39,3,1165,3,1360,6,29,32,0,58,0,64,3,10,4,16,28,0,33,208,1162,74,20,1252,3,1460,23,0,0,3,3,40,71,7745,1259,76,21,1352,70,9169
SOS53,47,7,2884,59,111,5,3,117,0,181,3,10,14,0,20,0,25,0,0,0,0,0,0,4,61,116,20,4,145,0,202,11,0,0,0,0,3,13,2903,163,20,5,188,15,3107,557,7,0,0,7,0,564,7,28,0,0,27,0,34,0,0,6,0,11,0,11,0,0,0,0,0,0,0,7,28,10,3,43,0,45,0,0,0,0,0,3,3,568,33,10,3,44,3,621,212,3,0,0,3,0,218,3,10,0,0,12,0,18,0,0,0,0,4,0,4,0,0,0,0,0,0,0,3,16,3,0,18,0,20,0,0,0,0,0,0,0,217,19,3,0,20,0,239,21420,359,0,4,367,76,21862,681,1195,54,12,1265,7,1962,10,60,77,3,138,0,152,3,3,0,17,20,0,22,701,1257,135,29,1424,7,2132,77,0,0,0,0,53,125,22195,1621,134,31,1788,141,24116
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,56,3,3035,54,181,13,0,200,0,250,0,21,55,3,77,0,77,4,0,0,0,0,0,4,54,205,70,3,280,0,338,3,0,0,0,0,3,3,3035,260,72,6,333,4,3371,1105,7,0,0,7,0,1112,23,93,4,0,102,0,129,0,8,38,0,55,0,55,0,0,0,0,0,0,0,23,100,45,0,152,0,176,0,0,0,0,0,0,0,1130,115,45,0,162,0,1294,420,12,0,0,12,0,427,8,56,5,0,61,0,68,0,6,25,0,29,0,29,0,0,0,0,0,0,0,8,59,31,0,91,0,103,0,0,0,0,0,0,0,427,69,31,0,98,0,529,22412,448,4,3,458,24,22893,675,1852,104,9,1966,3,2638,17,229,312,3,536,0,554,7,0,0,0,0,0,7,696,2079,411,14,2501,3,3202,18,0,0,0,0,31,54,23125,2528,413,17,2959,65,26151
SOS61,32,12,3489,71,102,3,0,106,0,182,0,22,55,0,77,0,83,0,0,0,0,0,0,0,73,131,55,0,189,0,262,10,0,0,0,0,9,16,3528,160,55,0,222,17,3764,924,7,0,0,7,3,930,21,25,0,0,25,0,45,0,10,34,0,40,0,40,0,0,0,0,0,0,0,20,38,34,0,68,0,93,3,0,0,0,0,0,3,949,44,34,0,73,3,1024,255,7,0,0,7,5,269,11,10,0,0,14,0,21,0,6,15,0,20,0,20,0,0,0,0,0,0,0,11,14,15,0,30,0,38,0,0,0,0,0,0,0,265,24,15,0,40,5,309,25920,249,0,3,258,64,26245,516,904,38,8,949,3,1473,11,148,415,0,568,0,577,9,3,0,3,4,0,10,535,1059,457,10,1523,3,2060,63,3,0,0,3,37,106,26521,1312,457,19,1782,111,28415
SOS62,4,0,545,3,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,9,3,0,0,0,0,4,5,543,9,0,0,9,4,558,121,0,0,0,0,0,123,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,125,0,0,0,0,0,132,37,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,40,4078,43,0,4,47,10,4134,75,72,3,0,78,0,155,3,5,0,0,5,0,12,0,0,0,0,0,0,0,79,78,3,0,83,0,164,18,0,0,0,0,10,27,4175,124,3,4,131,19,4319
SOS63,18,7,2283,24,26,0,0,26,0,51,0,0,4,0,4,0,4,0,0,0,0,0,0,0,26,26,3,0,29,0,55,7,0,0,0,0,4,9,2293,40,7,0,44,9,2355,562,3,0,0,3,0,566,8,11,0,0,11,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,8,0,18,3,0,0,0,0,3,3,571,11,0,0,14,3,585,145,0,0,0,0,0,149,5,5,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,9,0,11,0,0,0,0,0,3,4,154,11,0,0,11,3,162,15584,108,3,5,120,53,15753,318,251,0,0,255,5,574,6,6,5,0,9,0,16,12,0,7,0,7,0,15,327,258,12,0,270,5,605,52,0,0,0,0,24,82,15963,370,18,7,394,87,16440
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
