SOS_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6
SOS29,0,0,0,3,3,33,0,0,0,0,0,0,0,0,5,38,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,308,64,60,23,11,26,21,69,105,55,738,142,61,115,23,41,41,59,106,174,61,823,38,6,17,3,6,9,29,45,88,45,292,0,0,0,0,0,0,0,0,0,11,10,179,68,138,27,41,54,92,147,264,120,1127,0,3,0,0,0,0,0,3,0,132,147,486,138,195,49,54,81,109,221,375,305,2011
SOS30,0,0,0,138,312,36012,1670,1145,157,178,146,148,139,75,1715,41391,8509,283,181,24,19,21,14,27,11,1009,10104,2565,56,27,14,6,7,3,6,0,284,2967,1487,76,47,15,10,8,7,0,4,217,1872,34,0,0,0,0,0,0,0,3,37,80,4086,128,69,28,15,15,12,5,6,543,4912,104,3,3,0,0,0,0,0,0,184,294,12703,413,256,49,33,37,24,35,22,1734,15310,250129,58256,71888,14305,14134,11523,9884,9451,5751,13308,458641,94061,41270,75861,13948,16028,17795,18477,18451,11476,8220,315577,16182,4561,8235,1912,2552,3852,3890,5149,5019,4540,55888,867,301,513,92,108,136,113,168,106,274,2679,111110,46128,84608,15951,18693,21776,22480,23768,16598,13025,374144,631,91,165,27,31,37,47,51,54,1503,2633,361875,104476,156656,30291,32860,33340,32409,33264,22407,27839,835416
SOS31,0,0,0,36,67,8347,240,156,20,31,21,18,19,12,405,9270,1823,53,29,6,0,4,8,0,0,228,2154,474,10,3,0,0,0,3,0,0,59,548,227,0,3,0,0,0,0,0,0,37,272,14,0,0,0,0,0,0,0,0,4,17,713,11,3,0,0,0,3,0,0,105,835,15,0,0,0,0,0,0,0,0,37,54,2551,64,30,6,0,4,9,0,0,365,3045,49135,7101,9226,2045,1997,1553,1208,1120,597,2681,76666,8237,2827,8679,1650,2059,1746,1780,1725,915,1102,30717,990,264,728,153,276,262,364,746,447,701,4918,120,19,56,13,22,17,16,13,16,43,334,9345,3105,9459,1814,2353,2027,2160,2482,1382,1842,35972,140,15,22,4,7,3,6,9,20,319,547,58629,10216,18714,3861,4356,3582,3376,3612,1998,4840,113185
SOS32,0,0,0,5,10,1309,25,18,0,0,6,3,0,3,54,1421,178,3,8,0,0,0,0,0,0,18,207,58,3,0,0,0,0,0,0,0,5,71,16,0,0,0,0,0,0,0,0,7,26,0,0,0,0,0,0,0,0,0,0,0,82,5,0,0,0,0,0,0,0,9,99,6,0,0,0,0,0,0,0,0,0,3,263,6,5,0,0,0,0,0,0,26,307,9161,1042,1172,149,177,147,114,129,72,469,12627,1310,275,497,95,94,91,93,95,48,149,2756,108,5,28,0,7,13,9,31,30,35,270,20,3,0,0,0,5,0,0,0,4,43,1437,288,527,96,107,109,111,125,81,180,3064,31,0,3,0,0,0,4,3,3,51,100,10633,1331,1700,252,279,257,224,260,150,699,15782
SOS33,0,0,0,7,24,3269,89,48,8,5,5,8,9,4,137,3583,476,8,7,0,4,3,0,3,3,38,539,162,3,0,0,0,0,0,0,0,0,164,46,3,3,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,203,6,4,0,0,0,0,0,0,3,216,3,0,0,0,0,0,0,0,0,4,8,682,15,11,0,4,3,0,7,3,44,762,26932,3622,3322,591,509,391,351,311,174,1416,37630,4424,951,1541,273,314,291,329,340,214,389,9058,442,71,131,25,29,29,44,95,102,167,1131,46,11,15,3,0,0,3,3,0,22,91,4910,1029,1681,304,345,318,373,437,316,569,10280,91,3,3,0,0,0,0,0,3,286,388,31928,4650,5003,893,860,718,726,752,490,2273,48299
SOS37,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,3,0,0,0,0,0,8,22,8,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,23,0,3,3,0,0,0,0,0,9,40
SOS39,0,0,0,0,0,71,0,3,0,0,0,0,0,3,3,88,5,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,1034,135,120,24,31,36,33,173,245,124,1958,144,37,69,16,21,39,84,177,213,74,869,10,4,8,0,5,5,26,54,50,58,224,3,0,0,0,0,0,0,0,5,4,19,152,44,82,19,30,45,115,231,263,139,1112,3,5,0,0,0,0,0,0,7,70,84,1191,182,203,46,56,84,154,401,514,338,3157
SOS40,0,0,0,78,201,26148,317,240,65,34,35,39,32,25,967,27902,5599,40,20,0,8,0,4,0,0,469,6146,3045,15,13,4,0,0,0,0,0,195,3278,2398,29,36,3,0,8,3,0,0,218,2692,53,0,0,0,0,0,0,0,0,19,70,5495,48,51,9,3,4,6,0,0,430,6046,58,0,0,0,0,0,0,0,0,87,146,11153,86,69,9,11,7,9,4,0,984,12336,97406,9303,13502,2419,2719,2012,1836,1855,1159,3637,135843,50465,14218,34776,6090,7037,7958,8169,9172,5027,3310,146221,13798,2155,4472,1176,1575,2096,2163,2754,2689,2023,34904,541,110,213,37,41,54,49,72,58,128,1306,64809,16480,39469,7299,8646,10101,10384,11999,7772,5465,182427,350,30,43,3,3,4,10,9,15,505,969,162562,25814,53004,9721,11368,12118,12229,13864,8940,9611,319239
SOS41,0,0,0,10,49,5219,44,37,6,9,6,7,6,3,239,5575,1394,8,11,0,0,0,0,0,0,123,1541,317,0,0,0,0,0,0,0,0,28,351,80,0,0,0,0,0,0,0,0,24,104,3,0,0,0,0,0,0,0,0,0,3,401,0,0,0,0,0,0,0,0,58,458,12,0,0,0,0,0,0,0,0,12,23,1802,8,13,0,0,0,0,0,0,186,2024,24357,1579,2163,301,430,292,251,228,113,1052,30765,3410,746,2249,431,554,567,481,474,189,337,9442,441,93,309,75,133,123,150,245,136,216,1923,39,5,22,4,5,9,4,9,3,15,111,3890,842,2587,516,690,702,639,729,334,567,11480,101,7,3,3,0,0,0,0,0,146,266,28343,2433,4756,820,1118,985,886,952,443,1766,42501
SOS42,0,0,0,0,7,619,3,4,0,0,0,0,0,0,26,652,135,3,0,0,0,0,0,0,0,14,155,26,0,0,0,0,0,0,0,0,0,26,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,165,3,3,0,0,0,0,0,0,17,191,3862,200,289,38,42,32,33,20,17,181,4717,373,63,135,23,34,42,39,60,23,40,831,52,13,22,0,6,3,6,22,5,26,156,3,0,0,0,0,0,0,0,0,0,8,427,80,153,23,40,43,49,80,28,69,990,15,0,0,0,0,0,0,0,0,7,16,4303,279,442,60,83,78,88,94,51,256,5724
SOS43,0,0,0,4,11,1464,9,3,3,0,0,0,0,0,68,1544,216,0,3,0,0,0,0,0,0,8,221,79,0,0,0,0,0,0,0,0,5,82,44,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,123,0,3,0,0,0,0,0,0,5,127,0,0,0,0,0,0,0,0,0,0,0,335,0,3,0,0,0,0,0,0,12,352,9609,730,791,127,129,104,83,52,42,471,12131,1818,215,359,100,68,71,85,62,53,118,2958,459,36,61,21,14,17,28,42,21,52,748,14,3,8,0,0,0,0,3,0,9,35,2292,258,426,119,82,89,105,102,69,183,3735,24,0,0,0,0,0,0,0,0,125,150,11928,989,1216,248,215,191,193,161,113,779,16025
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
SOS49,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,10,172,10,21,3,8,7,5,31,30,18,304,21,15,31,5,3,4,23,41,40,16,197,8,0,6,0,0,6,8,10,20,3,64,0,0,0,0,0,0,0,3,0,0,4,28,15,37,5,3,16,26,49,60,23,267,0,0,0,0,0,0,0,0,0,33,33,204,26,54,12,9,16,34,82,91,71,605
