SOS_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,5,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,3,21,8,12,4,7,3,0,58,9,28,11,6,3,3,0,0,58,28,111,54,54,48,38,10,0,348,20,59,38,29,21,9,4,0,175,0,19,13,7,9,3,0,0,50,5,31,18,7,7,0,0,0,70,4,11,9,7,19,6,0,0,53,28,80,49,30,18,13,3,0,223,12,41,22,18,24,9,0,0,128,4,28,20,13,3,0,0,0,63,12,19,20,18,9,0,0,0,73,0,0,0,0,0,0,0,0,3,3,6,10,6,3,0,0,0,35,177,314,350,244,145,70,16,3,1329,297,769,620,444,313,166,39,3,2654,15,23,11,0,7,4,0,0,60,3,6,4,3,0,0,0,0,23,8,15,11,3,0,0,0,0,43,6,6,3,4,0,0,0,0,21,9,12,3,3,0,0,0,0,27,28,57,21,25,29,10,0,0,176,11,28,21,16,17,14,0,0,107,54,96
SOS30,1885,4716,4461,3997,3200,2422,848,228,21765,4064,9998,10020,5471,2535,791,112,6,33002,13385,39791,39263,40737,35648,26552,12776,3643,211796,6575,20138,17977,16302,13719,9381,4650,1283,90031,1260,3098,3991,3364,2424,1494,631,169,16426,2664,9469,8963,8022,5839,3189,1484,508,40143,759,4050,5179,5399,5691,4118,1643,380,27215,11391,28548,28484,24409,16867,10159,3339,888,124096,7455,13479,12556,10481,8049,5216,1895,438,59566,4566,6856,4539,2853,1937,1180,497,120,22543,4381,8055,7048,5317,3192,2159,778,198,31134,606,294,163,190,216,221,197,88,1986,769,2058,2353,2239,1620,1004,489,198,10723,18577,21493,18408,17180,13942,11455,7894,4445,113392,78325,172048,163417,145961,114880,79349,37240,12602,803823,2262,5899,5056,3501,2158,1100,316,105,20400,916,2701,2934,1783,906,320,50,4,9611,1280,4160,3581,2733,1851,1180,906,437,16129,856,2606,1946,1339,657,292,83,28,7816,773,1826,1840,1136,687,234,50,22,6566,9740,28932,24915,23584,19227,10555,4681,1609,123236,3546,15770,19962,19304,16845,9988,3725,1024,90163,19703,48570
SOS31,89,433,526,468,495,412,153,35,2613,522,825,786,465,334,176,29,3,3140,5015,13442,12776,12818,11642,8873,4278,973,69820,1598,4239,4018,3814,4312,3071,1436,303,22800,470,1151,1329,1243,942,562,288,72,6063,328,1396,1504,1574,1293,708,320,73,7202,171,1052,1309,1450,1542,1143,406,78,7148,1403,2833,3276,3258,2693,1641,561,152,15812,1004,1550,1653,1610,1433,1011,357,70,8686,344,487,388,341,329,267,106,22,2289,1079,1823,1683,1398,1004,736,281,64,8072,108,70,47,49,68,94,81,28,553,188,382,516,587,413,300,167,44,2599,5893,6524,6079,6241,5693,4931,3516,1540,40418,18217,36193,35887,35324,32204,23920,11990,3457,197201,190,658,637,516,362,177,68,10,2625,157,232,288,224,177,76,9,0,1161,368,875,699,580,383,327,214,72,3529,84,267,194,173,76,53,13,3,865,326,661,635,385,227,84,32,8,2363,1707,5054,4556,5340,5163,2984,1366,439,26608,1157,4329,5224,4804,3836,2444,997,263,23048,3973,9023
SOS32,24,48,87,89,87,93,36,4,458,46,64,79,68,54,28,0,3,350,623,1572,1718,2169,2265,1984,684,114,11128,260,594,734,774,978,706,248,32,4322,101,231,308,299,294,151,60,14,1448,31,117,208,230,233,125,43,4,994,33,111,197,228,288,211,62,13,1140,131,251,412,455,474,281,77,23,2110,120,188,252,283,259,215,56,7,1381,48,52,79,85,82,61,22,5,446,132,208,258,231,241,155,55,9,1283,10,8,7,3,9,19,14,3,77,28,47,68,115,91,57,23,5,432,1199,1044,1133,1286,1230,1260,617,186,7950,2780,4539,5540,6319,6587,5334,2002,416,33520,17,72,125,100,80,39,15,0,456,16,19,38,37,29,20,8,0,162,45,94,97,128,92,64,33,5,558,16,28,36,43,18,9,6,0,149,81,129,137,127,75,27,3,0,572,197,517,713,915,1094,608,216,35,4293,183,633,760,807,844,455,144,26,3865,496,1082
SOS33,70,149,261,367,405,330,100,16,1698,181,218,300,302,220,75,15,0,1311,2244,5019,6517,7966,7732,5128,1614,270,36491,750,1817,2325,2713,2825,1824,607,79,12943,485,945,1387,1601,1225,609,238,43,6533,92,280,533,726,773,462,133,32,3026,52,237,456,658,875,647,163,21,3116,473,887,1370,1737,1519,914,232,42,7171,359,448,671,723,775,632,158,16,3776,168,184,199,233,253,194,48,8,1293,345,531,664,734,585,420,92,12,3377,36,20,15,25,52,52,23,9,234,76,134,239,325,276,200,70,17,1337,3458,3363,3622,4360,4143,3358,1547,355,24203,8780,14236,18556,22469,21657,14854,5036,922,106510,83,257,457,447,325,175,52,6,1802,52,65,138,136,110,55,3,0,566,122,295,362,424,297,147,73,15,1744,47,125,135,141,87,42,10,0,582,444,669,820,626,343,134,37,3,3082,662,1794,2445,3382,3352,1737,545,96,14026,313,1413,2431,2950,2909,1595,423,80,12122,1384,3041
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,9,3,3,8,3,3,10,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7
SOS39,6,28,7,3,7,16,0,0,73,11,13,9,15,9,6,0,0,57,44,164,106,146,212,207,43,7,930,21,79,52,53,81,86,18,0,387,11,26,17,18,18,17,3,0,111,12,35,21,21,23,8,0,0,115,0,9,3,10,29,24,9,0,87,47,74,45,45,60,50,6,0,331,35,55,28,21,24,33,3,0,194,16,37,15,7,8,5,0,0,81,15,36,25,17,27,21,0,0,142,0,3,0,0,3,0,0,0,9,8,3,6,3,12,10,3,0,48,166,355,336,299,265,187,54,9,1657,391,925,669,647,771,673,135,14,4223,15,15,5,9,6,0,0,0,53,3,9,3,4,5,0,0,0,21,8,23,7,3,10,11,7,0,62,3,9,3,3,3,0,0,0,27,4,13,6,8,4,3,0,0,44,42,95,38,62,115,75,8,0,426,10,31,24,29,55,39,4,0,197,65,140
SOS40,572,2064,2007,1735,1573,1190,460,127,9734,1054,3827,3499,1866,1084,335,43,6,11712,4363,13611,13344,14765,12988,10431,5688,1987,77175,2495,5399,3932,4132,3743,2778,1700,564,24754,494,1363,1293,1159,821,462,187,80,5860,855,3514,3249,2800,2451,1474,617,279,15237,340,1695,1680,1757,2696,2198,661,197,11225,2821,10105,10221,8443,6505,4186,1548,505,44343,1958,5123,4684,4175,3725,2552,850,276,23345,1122,2370,1672,1077,845,502,172,45,7811,1217,2766,2136,1735,1155,761,301,83,10159,141,71,68,67,79,83,100,39,646,242,758,820,725,600,397,205,96,3837,4824,5731,5064,5124,4471,3797,3090,1829,33927,22509,58398,53671,49561,42737,31141,15624,6118,279761,797,2382,2081,1419,990,484,165,66,8384,162,1149,1028,633,345,104,25,3,3438,443,1482,1257,1041,709,566,492,272,6260,385,970,634,471,251,123,38,9,2880,303,726,575,392,227,88,37,3,2344,3350,11599,9287,9038,8654,4361,1973,859,49129,1109,5313,5419,5221,6214,4532,1519,634,29960,4906,15619
SOS41,41,215,291,280,280,254,73,19,1446,142,332,298,211,149,74,9,0,1210,1435,3558,3541,4209,3993,3457,1831,545,22563,599,1244,942,1031,1077,924,521,147,6486,231,572,651,556,480,319,150,73,3044,98,371,490,570,581,298,118,49,2576,76,427,441,437,704,652,190,42,2979,383,1028,1364,1498,1271,970,340,80,6946,315,696,749,771,782,579,185,42,4111,138,212,190,191,155,119,57,16,1073,328,657,646,492,351,263,101,32,2866,20,25,15,19,27,29,28,19,190,66,129,140,193,125,137,56,25,876,1714,1719,1675,1821,1781,1728,1400,727,12551,5580,11174,11434,12286,11762,9801,5055,1812,68909,58,240,296,218,137,94,29,11,1086,24,68,87,70,57,36,13,0,351,100,213,231,200,153,154,99,56,1203,36,72,89,50,42,25,9,3,323,120,255,255,212,128,60,9,3,1048,585,1797,1803,2314,2580,1504,653,228,11464,375,1495,1515,1313,1620,1354,430,149,8236,1052,2734
SOS42,3,26,30,35,42,32,8,6,184,15,25,34,21,17,10,0,0,122,243,630,628,739,842,699,259,56,4096,75,208,164,221,246,174,73,21,1184,52,141,154,127,124,87,38,14,740,15,47,62,91,90,52,14,3,368,11,71,72,81,126,115,33,4,510,46,109,149,171,201,138,37,14,872,43,82,81,99,131,93,26,3,554,16,29,24,29,34,21,4,5,166,39,76,91,86,82,53,22,0,449,0,3,0,0,7,5,3,4,21,5,20,21,34,33,29,8,0,158,297,255,276,361,398,397,239,123,2347,866,1717,1790,2107,2368,1904,769,249,11778,10,34,32,34,24,9,4,0,137,6,6,16,12,8,3,0,0,56,8,30,44,47,27,22,13,15,210,3,9,11,21,9,8,0,0,57,25,55,62,55,31,19,0,0,242,86,278,295,447,524,265,112,30,2037,63,252,244,224,300,216,87,33,1416,118,363
SOS43,29,103,126,174,213,182,34,6,871,51,70,65,86,74,28,0,0,381,642,1415,1774,2351,2382,1619,526,86,10799,258,416,457,621,660,429,155,38,3035,300,645,908,908,633,335,71,18,3814,50,72,153,228,316,160,44,18,1045,25,84,151,163,368,291,53,12,1149,95,264,483,664,632,386,86,22,2630,103,169,205,276,352,245,59,4,1418,39,58,60,73,107,70,14,3,428,81,164,195,238,205,115,32,4,1034,0,7,3,7,10,7,8,0,54,14,35,64,89,82,57,24,4,369,996,872,1027,1294,1294,998,392,91,6962,2694,4374,5681,7173,7319,4924,1499,310,33980,46,106,179,150,122,59,15,3,674,4,19,38,34,40,11,0,0,155,31,83,106,118,67,61,35,8,511,23,36,37,40,24,10,5,0,181,144,258,358,312,169,66,16,0,1321,258,702,884,1344,1575,668,156,27,5605,106,450,706,763,1038,692,142,23,3928,314,879
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,4,0,5,3,0,0,0,14,0,5,3,0,0,0,0,0,9,18,56,32,28,40,39,10,5,220,3,21,10,14,10,13,3,0,75,0,6,7,7,4,8,0,0,31,3,9,0,8,6,0,0,0,19,0,5,3,6,3,7,0,0,25,7,23,6,9,7,5,0,3,66,6,18,8,7,8,4,0,0,50,3,3,6,5,0,3,0,0,24,3,14,7,0,4,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,19,58,68,90,100,66,35,6,3,414,114,236,165,190,151,111,20,11,994,3,6,3,3,0,0,0,0,17,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,0,6,0,0,5,0,0,0,10,0,17,10,22,18,3,0,0,73,0,3,0,3,10,7,0,0,28,6,35
SOS50,1345,3824,3693,3459,2641,1829,567,169,17527,1882,5897,5651,2961,1349,403,48,8,18187,10518,32547,30571,29182,24171,16221,7463,1913,152574,4256,11585,8563,8110,6423,4578,2637,670,46821,583,1925,1977,1708,1234,836,390,106,8765,1248,5224,4855,4262,3115,1803,810,279,21609,453,2106,2540,2877,3397,2207,996,270,14839,4802,16685,15912,13857,9550,6026,2139,570,69533,3037,7156,6228,5262,4474,2880,995,271,30298,2101,3616,2420,1536,1168,641,254,76,11824,1502,4910,3685,2975,1891,1125,456,114,16650,291,155,135,131,125,130,129,45,1145,361,1191,1234,1240,845,509,279,105,5769,9399,13985,11127,9971,7917,6303,4873,2574,66148,41773,110807,98589,87531,68287,45496,22027,7179,481685,1973,5023,4133,2742,1600,680,204,80,16426,416,1942,1710,1075,556,172,38,0,5906,1027,3668,2982,1845,1147,630,600,270,12175,614,1768,1194,813,405,136,36,12,4988,499,1491,1376,825,418,164,56,15,4857,5580,17976,14301,13174,10848,6217,2990,955,72048,2536,9854,11480,11873,10380,5593,2272,647,54634,8551,27810
SOS51,90,353,391,297,248,185,60,14,1641,232,363,300,162,67,29,7,0,1162,2487,6883,6577,5952,4787,2921,1168,285,31068,891,2153,1748,1667,1486,912,450,96,9413,287,557,724,678,503,317,169,41,3276,95,555,674,671,539,259,93,31,2914,72,414,610,643,733,411,156,21,3057,353,1120,1453,1295,1030,638,194,55,6140,298,661,737,663,548,318,108,31,3357,151,263,220,169,157,94,33,13,1101,270,744,807,700,409,235,89,28,3280,38,25,31,17,26,29,23,11,202,51,181,233,238,180,81,47,13,1020,2687,3488,3256,3149,2648,1917,1265,585,18995,8004,17770,17756,16295,13361,8355,3857,1232,86627,101,481,496,272,147,56,17,4,1572,45,143,164,85,76,22,9,0,542,183,489,384,230,133,81,79,46,1613,60,166,144,98,47,22,3,0,534,181,377,424,268,156,43,16,8,1467,705,2436,2299,2142,2255,1284,603,165,11894,490,2071,2604,2276,1797,919,359,91,10600,1616,3842
SOS52,13,38,54,44,27,30,12,3,225,23,38,25,25,18,7,0,0,142,310,898,876,947,927,639,235,47,4889,96,204,204,245,250,179,86,23,1278,63,146,149,151,147,91,38,7,788,7,61,67,104,93,40,6,5,390,15,71,66,98,107,70,19,3,452,35,120,116,162,162,90,30,4,725,39,112,82,87,79,61,21,4,487,18,21,22,21,25,28,4,0,129,19,79,102,116,84,57,17,3,479,5,8,3,6,6,9,4,0,49,3,32,33,33,37,9,10,0,164,620,615,593,664,687,517,317,109,4117,1270,2445,2399,2705,2668,1825,794,210,14319,12,51,43,40,25,8,0,0,180,10,19,25,17,12,3,3,0,87,23,53,54,32,25,17,13,5,225,7,19,18,15,9,3,0,0,70,51,121,85,60,39,12,7,0,371,83,289,269,317,385,254,112,25,1725,111,327,327,365,318,174,70,20,1711,218,438
SOS53,41,172,209,194,192,145,35,4,1000,79,97,104,98,59,26,10,0,475,1151,3246,3266,3822,3127,1776,463,79,16930,283,767,694,825,760,457,154,24,3966,232,501,671,679,620,394,139,29,3259,38,142,238,297,290,128,59,5,1200,18,110,152,266,368,239,58,10,1218,138,400,554,699,536,414,87,15,2841,108,196,215,257,286,218,56,12,1341,78,91,98,85,86,81,14,0,536,73,207,301,306,199,126,24,6,1249,20,5,4,11,11,19,6,0,76,23,66,98,129,80,42,23,3,472,1869,3339,2950,2649,1890,1157,530,100,14488,4152,9348,9548,10303,8519,5226,1658,289,49052,62,165,274,204,142,46,7,3,899,12,20,44,63,37,24,0,0,197,59,175,185,145,90,61,21,6,736,12,55,49,51,34,12,0,0,219,139,332,389,329,162,53,16,3,1421,224,689,862,1165,1246,706,207,36,5140,142,573,934,1240,1277,616,136,23,4937,390,1013
SOS57,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,43,49,38,16,3,0,0,156,0,15,0,3,3,0,0,0,22,0,0,3,0,0,0,0,0,5,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,5,6,4,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,27,22,17,8,0,0,0,77,7,100,95,77,33,4,3,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,4,10,13,6,7,0,0,0,38,3,15,8,3,5,3,0,0,37,34,144,79,107,106,73,9,3,556,13,54,44,17,36,17,0,0,184,7,11,10,5,14,11,0,0,59,3,15,6,5,9,6,0,0,49,3,8,4,3,13,3,0,0,37,8,30,26,18,17,17,4,0,126,12,32,10,14,9,5,0,0,83,6,10,7,3,3,4,0,0,35,3,18,15,14,8,3,0,0,67,0,3,0,0,0,0,0,0,3,4,5,7,11,4,4,3,0,37,93,232,221,250,133,77,14,3,1018,188,588,450,459,369,233,35,4,2331,4,21,0,5,0,0,0,0,33,0,3,3,0,5,0,0,0,7,4,14,5,8,4,3,0,0,42,0,9,3,0,0,0,0,0,16,3,13,6,3,3,0,0,0,27,11,47,21,19,30,16,3,0,153,8,21,11,8,31,23,3,0,103,25,74
SOS60,105,379,392,385,346,245,84,39,1975,222,728,449,264,140,55,11,4,1871,477,1402,1427,1663,1715,1399,839,275,9202,368,940,741,783,788,491,301,118,4531,67,227,269,249,218,85,48,22,1177,90,443,419,412,400,225,117,48,2148,33,260,309,288,429,359,143,38,1857,378,1255,1130,1146,970,650,264,97,5900,301,764,734,702,712,502,159,48,3915,121,337,270,218,152,125,46,16,1285,201,477,433,312,192,111,44,14,1780,30,23,10,13,16,22,17,6,126,41,106,137,117,119,70,34,17,648,898,1018,880,913,875,784,596,254,6222,3329,8357,7583,7470,7074,5119,2710,997,42641,131,439,407,286,175,100,36,17,1596,45,94,115,79,43,28,5,0,415,57,158,165,138,107,87,70,36,816,23,85,91,54,41,7,0,0,305,48,113,124,119,75,28,11,3,516,388,1310,1147,1291,1260,849,425,164,6840,116,750,882,928,1261,829,412,153,5321,787,2101
SOS61,38,122,157,164,145,132,40,16,814,174,362,233,164,98,45,9,0,1082,856,2006,1962,2259,2347,1882,1007,297,12607,541,1145,739,886,930,690,411,93,5427,132,321,305,317,222,129,81,18,1534,88,311,335,359,394,204,97,34,1815,42,239,295,310,410,329,122,34,1783,289,749,836,862,744,491,182,56,4205,203,373,412,481,438,316,118,24,2367,93,172,182,117,121,109,40,18,854,258,431,429,359,293,207,88,16,2079,17,8,18,13,23,27,20,9,137,24,86,87,125,108,85,37,11,572,1128,908,857,1113,1116,1262,881,370,7640,3883,7250,6835,7526,7395,5908,3136,1004,42929,24,138,178,112,77,53,19,3,603,11,51,69,57,54,26,7,0,271,47,92,169,149,106,102,50,29,754,57,75,55,48,33,11,4,4,280,57,125,129,88,54,30,9,3,496,440,1216,1019,1219,1377,958,409,167,6805,167,853,988,998,1055,758,482,135,5448,800,1802
SOS62,3,25,24,33,46,39,20,3,189,14,23,36,22,17,4,0,0,120,113,304,331,417,512,403,159,46,2277,57,140,118,169,192,145,64,15,891,42,67,82,76,59,52,13,3,393,6,22,48,59,66,43,21,11,269,4,30,39,55,81,78,32,7,327,29,61,90,109,137,107,27,5,565,17,35,59,69,88,80,31,8,383,6,21,22,12,30,23,14,5,137,21,50,78,69,65,31,25,0,339,0,0,3,0,7,3,4,0,17,3,8,17,21,18,15,12,3,91,182,119,129,218,250,270,173,65,1398,482,901,1073,1332,1572,1311,577,156,7407,11,25,40,30,23,14,8,0,144,0,9,3,12,18,8,3,0,56,7,16,23,27,20,21,13,3,119,4,7,8,15,9,3,0,0,52,9,19,32,22,23,8,0,0,121,42,124,128,185,255,142,65,17,961,14,86,143,135,213,161,86,19,853,79,211
SOS63,16,49,108,144,178,155,41,6,701,47,72,86,88,83,29,6,0,412,395,862,1255,1705,1815,1153,379,61,7627,219,428,418,630,732,374,138,13,2954,152,332,487,486,339,193,71,13,2080,13,58,134,187,250,130,40,9,824,5,54,120,171,283,217,55,11,909,53,195,327,415,450,291,56,6,1799,49,90,167,251,292,235,48,4,1135,32,62,89,81,122,109,29,0,515,77,137,193,177,159,84,20,3,854,9,0,7,4,15,23,10,4,70,12,29,45,76,73,54,12,3,306,619,412,540,778,898,709,348,79,4368,1710,2785,3971,5197,5685,3760,1242,218,24557,11,92,137,135,113,53,7,3,550,3,7,39,24,31,17,0,0,127,14,49,86,94,80,45,33,3,399,3,22,28,32,27,8,0,0,132,87,141,204,198,107,34,9,0,775,135,431,518,845,1004,492,163,26,3620,44,279,509,569,756,517,135,28,2829,233,659
