SOS_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,3,38,12,3,5,0,0,0,0,0,5,5,26,0,0,0,0,0,0,0,0,0,0,0,41,3,7,0,3,0,0,0,3,11,66,0,0,0,0,0,0,0,0,0,25,25,111,8,13,0,3,3,0,0,3,40,182,83,3,3,0,0,0,0,4,0,6,103,20,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,3,3,34,0,0,0,0,0,0,0,0,0,3,3,105,9,3,0,0,0,0,4,3,13,136,24,0,0,0,0,0,0,0,0,4,25,5,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
SOS30,237,231,183,185,130,540,27193,4414,847,922,233,256,362,313,339,288,684,8669,178,26,20,5,0,3,4,4,3,29,268,25393,3526,2888,516,499,597,505,527,423,1254,36132,84,6,10,0,0,0,0,3,0,97,209,80388,9059,7149,1179,1080,1061,867,846,598,2824,105053,51638,2353,1873,310,277,233,209,200,118,1324,58528,14687,664,533,103,99,85,86,104,54,362,16769,3525,389,565,130,140,147,125,157,145,329,5658,188,9,3,0,0,0,0,0,0,33,235,18398,1061,1105,237,238,237,213,259,199,728,22665,141,9,9,0,0,0,0,0,0,83,241,70171,3413,2986,551,518,465,419,455,317,2133,81429,24927,1170,742,100,105,76,72,71,38,1068,28358,7761,204,181,18,31,35,33,19,13,295,8587,3063,283,219,34,43,45,41,47,27,202,4000,103,3,3,0,3,0,0,0,0,16,130,10923,493,405,58,76,71,78,65,36,510,12720,164,9,4,0,0,0
SOS31,27,33,20,20,19,95,2625,138,17,41,5,15,20,21,25,27,43,358,25,0,3,3,0,0,0,0,0,4,34,1946,307,337,47,45,54,43,42,41,147,3017,25,0,0,0,0,0,0,0,0,19,58,13285,1182,1040,179,183,140,91,100,70,530,16811,13167,447,351,42,50,48,44,25,18,447,14649,1851,60,71,12,15,13,6,13,4,60,2114,165,20,16,6,4,7,6,9,11,28,278,36,0,0,0,0,0,0,0,0,7,41,2059,81,87,14,24,16,19,20,20,100,2426,36,0,0,0,0,0,0,0,0,20,64,15259,529,439,64,75,62,64,45,34,563,17136,6590,207,125,18,20,19,11,15,7,277,7283,1408,20,16,3,3,3,6,3,4,68,1544,288,7,10,3,4,0,0,0,4,22,348,23,0,0,0,0,0,0,0,0,4,23,1720,30,34,4,6,3,10,3,8,98,1914,34,0,0,0,0,0
SOS32,0,3,0,0,0,19,411,26,0,0,0,0,0,0,0,4,0,33,3,3,0,0,0,0,0,0,0,0,5,330,42,31,5,0,5,3,3,4,27,453,11,0,0,0,0,0,0,0,0,4,14,2757,206,129,19,16,12,4,14,4,121,3285,2838,81,64,10,0,6,5,3,4,79,3096,363,6,10,0,0,4,0,0,0,15,400,15,0,3,0,0,0,0,0,0,8,29,4,0,0,0,0,0,0,0,0,0,5,384,6,12,0,0,4,0,0,0,21,436,5,0,0,0,0,0,0,0,0,6,15,3229,88,77,10,0,11,5,5,8,105,3546,1072,19,21,0,0,6,3,0,3,42,1161,200,7,0,0,0,0,0,0,0,11,213,27,0,0,0,0,0,0,0,0,0,31,3,0,0,0,0,0,0,0,0,0,4,232,4,0,0,0,0,0,0,0,9,247,6,0,0,0,0,0
SOS33,6,15,6,8,4,49,1351,96,17,12,3,0,3,6,6,0,13,152,17,3,3,0,0,0,0,0,0,0,17,1158,132,104,15,9,20,9,10,4,58,1520,21,0,0,0,0,0,0,0,0,38,55,8619,603,365,56,35,33,34,34,12,408,10210,7168,190,112,13,15,15,7,16,3,254,7794,1167,22,38,3,3,4,3,0,3,35,1278,85,3,8,0,0,0,0,3,0,8,113,14,0,0,0,0,0,0,0,0,3,18,1267,25,49,3,3,4,4,3,3,47,1409,31,0,0,0,0,0,0,0,4,20,50,8464,217,162,18,21,18,17,18,8,317,9260,2487,67,37,3,5,9,0,9,3,95,2718,650,11,6,3,0,0,0,0,0,22,697,112,5,5,0,0,0,0,0,0,6,132,7,0,0,0,0,0,0,0,0,0,11,769,20,11,3,0,0,7,0,4,30,840,16,0,0,0,0,0
SOS37,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,8,8,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,5,51,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,38,3,4,0,0,0,0,0,3,9,58,0,0,0,0,0,0,0,0,0,11,17,368,23,16,3,3,4,3,5,3,42,473,371,26,10,0,0,3,0,3,4,25,447,31,0,0,0,0,0,0,0,0,0,37,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,9,12,409,29,10,0,0,5,0,3,4,31,498,50,0,0,0,0,0,0,0,3,6,64,15,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
SOS40,58,70,42,50,42,257,12213,2623,429,549,177,197,172,195,207,183,326,5056,104,6,3,4,0,0,3,0,0,18,141,13209,1110,1026,256,252,243,236,254,223,602,17407,43,3,0,0,0,0,0,0,0,30,77,37552,1863,1559,336,326,302,273,292,251,1168,43921,23480,226,243,36,39,55,28,45,10,494,24655,10664,155,107,30,16,28,11,27,21,250,11314,2550,224,281,73,75,86,75,101,80,219,3771,131,3,3,0,0,0,0,0,0,15,148,13349,380,396,106,90,113,87,130,100,484,15238,77,0,0,0,0,0,0,0,0,42,120,36898,603,640,143,123,161,120,172,114,1020,40005,13584,162,75,18,4,14,6,12,0,426,14304,8178,43,39,10,7,0,4,5,7,233,8529,4138,115,120,35,24,18,25,10,23,220,4734,119,0,0,0,0,0,0,0,0,18,142,12443,158,166,46,25,26,29,19,23,468,13406,119,0,0,0,0,0
SOS41,14,17,3,3,6,21,792,61,13,32,13,10,9,4,9,7,10,164,8,0,0,0,0,0,0,0,0,3,11,683,63,85,25,22,24,8,16,7,33,965,24,0,0,0,0,0,0,0,0,11,36,6689,250,200,34,39,44,20,15,18,251,7561,6719,66,59,11,16,15,9,9,3,198,7111,865,9,20,4,3,3,5,0,0,23,931,96,3,21,3,0,0,3,6,0,4,143,13,0,0,0,0,0,0,0,0,0,17,971,11,33,10,5,4,10,8,3,30,1085,18,0,0,0,0,0,0,0,0,7,28,7708,79,95,18,16,14,19,16,5,236,8221,4180,38,32,3,4,8,4,8,3,173,4444,832,0,3,3,0,0,0,0,0,32,871,167,0,4,0,0,0,0,0,0,18,191,12,0,0,0,0,0,0,0,0,7,14,1006,6,5,4,0,0,0,0,0,51,1076,42,0,0,0,0,0
SOS42,0,0,0,0,0,3,105,10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,95,13,5,0,0,0,0,0,0,3,124,0,0,0,0,0,0,0,0,0,0,0,1159,33,31,4,0,0,0,0,0,40,1273,1155,19,21,0,0,0,0,0,0,41,1232,102,0,0,0,0,0,0,0,0,4,107,13,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,113,5,0,0,0,0,0,0,0,4,123,3,0,0,0,0,0,0,0,0,0,3,1269,19,21,0,0,0,0,0,0,50,1357,528,3,4,0,0,0,0,0,0,19,559,71,0,0,0,0,0,0,0,0,0,80,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,88,5,0,0,0,0,0
SOS43,0,0,0,0,0,17,516,115,4,4,4,0,4,0,3,0,4,144,0,0,0,0,0,0,0,0,0,0,7,572,33,18,11,0,3,4,3,0,19,667,9,0,0,0,0,0,0,0,0,18,28,3623,120,70,13,9,8,9,8,3,155,4020,2685,35,13,11,0,4,0,4,3,92,2843,461,5,3,0,0,0,0,0,0,19,489,88,3,3,0,0,3,0,0,0,3,103,4,0,0,0,0,0,0,0,0,0,4,556,10,4,0,0,5,0,0,3,24,592,3,0,0,0,0,0,0,0,0,15,18,3243,42,16,11,5,5,3,4,6,130,3455,1023,9,0,0,0,0,0,0,0,47,1076,325,0,0,0,0,0,0,0,0,11,340,105,0,3,0,0,0,0,0,0,5,113,4,0,0,0,0,0,0,0,0,0,4,435,0,3,0,0,0,0,0,0,18,452,10,0,0,0,0,0
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,6,6,62,0,14,0,0,0,0,0,0,15,92,43,3,0,0,0,0,0,0,0,0,45,4,0,0,0,0,0,0,0,0,0,7,5,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,48,3,3,0,0,0,0,0,0,3,61,7,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
SOS50,236,220,151,157,103,419,22338,3191,572,696,175,245,207,206,212,249,515,6278,137,11,12,0,3,3,3,3,0,19,196,20420,2615,2405,417,482,430,364,372,356,958,28807,62,3,0,0,3,0,3,0,0,88,155,70610,6233,5487,978,983,811,617,600,464,2108,88892,43986,1242,1136,214,204,145,148,143,69,902,48197,13724,423,369,68,74,72,82,58,55,329,15258,2872,266,374,86,99,92,89,100,111,261,4347,126,5,5,0,0,0,0,0,0,20,155,16720,699,744,160,178,167,163,154,171,603,19762,121,0,3,0,0,0,0,0,0,87,204,60825,1943,1886,374,383,309,318,302,240,1589,68168,22295,769,571,70,55,55,59,53,19,802,24751,7655,166,130,19,20,20,32,27,7,246,8318,3038,170,175,18,32,29,21,32,22,188,3718,108,0,0,0,0,0,0,0,0,27,135,10797,330,304,42,44,44,55,56,32,461,12175,153,3,0,0,0,0
SOS51,39,15,18,16,11,53,1337,68,9,37,7,3,9,3,9,21,12,178,18,0,0,0,0,0,0,0,0,7,25,896,139,246,49,42,19,22,25,29,67,1539,12,0,3,0,0,0,0,0,0,23,45,7558,628,806,162,164,63,56,53,44,308,9839,6387,179,182,33,32,34,21,15,16,198,7091,791,28,38,11,3,4,12,10,3,19,929,71,0,11,3,3,3,0,3,6,7,114,7,0,0,0,0,0,0,0,0,0,6,872,29,47,9,8,10,9,17,16,31,1045,10,0,0,0,0,0,0,0,0,9,23,7275,214,229,47,38,42,28,26,28,236,8164,3144,74,59,8,14,5,3,0,0,154,3466,501,10,5,7,5,3,0,3,0,26,560,89,3,5,0,0,0,0,3,0,17,110,10,0,0,0,0,0,0,0,0,3,12,596,12,9,7,5,3,3,7,0,44,683,24,0,3,0,0,0
SOS52,3,8,3,4,0,10,194,9,0,0,0,0,0,0,0,3,0,13,3,0,0,0,0,0,0,0,0,0,3,138,14,20,4,3,6,3,3,5,11,209,4,0,0,0,0,0,0,0,0,0,3,1522,93,77,14,15,17,6,12,7,81,1854,1428,24,27,3,3,3,0,0,3,54,1548,146,0,8,0,0,0,0,0,0,3,161,6,0,0,0,0,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,152,0,8,3,0,0,0,0,3,4,175,5,0,0,0,0,0,0,0,0,0,5,1585,32,37,9,3,3,0,0,3,63,1727,634,19,0,3,0,0,0,3,0,28,686,71,3,4,0,0,0,0,0,0,8,89,12,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,83,3,4,0,0,0,0,0,3,8,100,11,0,0,0,0,0
SOS53,9,10,13,6,3,14,648,51,6,6,0,3,3,3,3,0,6,82,3,0,0,0,0,0,0,0,0,0,6,561,46,53,9,12,7,12,10,3,18,735,14,3,0,0,0,0,0,0,0,70,80,5147,300,261,46,47,29,31,19,16,261,6152,3750,88,63,8,6,12,3,14,3,123,4076,526,18,10,0,4,0,4,0,0,9,570,38,4,0,0,0,0,3,0,0,3,50,8,0,0,0,0,0,0,0,0,0,8,566,21,10,0,3,0,9,0,0,10,622,7,0,0,0,0,0,0,0,0,22,29,4325,109,74,11,13,11,12,16,3,158,4725,1262,41,16,3,0,8,3,3,3,35,1373,207,3,4,0,0,0,3,0,0,8,219,41,0,3,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,250,3,7,0,0,0,3,0,0,12,277,11,0,0,0,0,0
SOS57,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,4,3,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,9,3,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,13,13,163,13,12,4,9,3,3,5,4,33,251,132,0,3,0,0,0,0,0,0,4,147,13,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,17,3,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,12,9,145,3,6,0,0,0,0,0,0,18,176,16,0,0,0,0,0,0,0,0,0,22,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
SOS60,10,4,3,3,3,21,733,70,22,42,18,14,26,12,5,13,10,229,11,3,0,0,0,0,0,0,0,0,8,668,80,84,23,21,31,12,9,14,34,976,0,0,0,0,0,0,0,0,0,6,7,2988,180,141,39,27,34,14,15,20,80,3538,2680,40,22,3,0,3,0,0,0,79,2835,639,18,6,3,0,0,0,0,3,6,686,69,6,18,5,6,7,6,4,0,12,134,9,0,0,0,0,0,0,0,0,0,12,718,27,26,6,9,7,4,6,3,23,824,7,0,0,0,0,0,0,0,0,8,17,3402,71,42,9,7,11,10,8,8,103,3679,1616,12,10,0,0,0,3,7,0,63,1711,489,3,8,0,0,0,0,0,0,17,521,86,6,6,5,3,8,6,0,6,5,134,6,0,0,0,0,0,0,0,0,0,9,583,15,13,5,3,8,6,0,6,24,662,12,0,0,0,0,0
SOS61,6,0,4,0,0,17,464,27,3,17,11,0,8,11,0,4,8,86,3,0,0,0,0,0,0,0,0,3,4,378,44,44,15,6,16,10,0,3,28,552,9,0,0,0,0,0,0,0,0,3,10,2728,120,107,21,17,20,16,10,3,109,3145,3342,35,27,3,3,3,3,3,0,75,3506,375,0,6,0,3,3,4,0,0,9,403,21,3,11,0,3,8,4,9,3,9,73,4,0,0,0,0,0,0,0,0,0,4,404,3,21,6,6,10,10,5,6,10,484,19,0,0,0,0,0,0,0,0,9,25,3767,42,51,10,8,11,14,12,5,97,4008,1966,24,6,3,0,0,3,0,3,80,2092,302,0,0,0,0,0,0,0,0,9,317,24,3,3,6,3,8,3,0,0,3,47,0,0,0,0,0,0,0,0,0,0,3,328,0,4,5,3,8,3,0,0,18,370,11,0,0,0,0,0
SOS62,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,53,4,4,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,659,30,21,4,3,3,0,0,0,16,739,788,14,8,0,0,0,0,0,0,26,831,62,3,0,0,0,0,0,0,0,0,68,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,64,3,0,0,0,0,0,0,0,3,73,0,0,0,0,0,0,0,0,0,0,0,853,14,14,0,0,0,0,0,0,27,908,351,3,0,0,0,0,0,0,0,7,364,52,0,0,0,0,0,0,0,0,0,54,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,62,0,0,0,0,0,0,0,0,0,59,3,0,0,0,0,0
SOS63,0,0,0,0,0,4,272,9,0,3,0,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,0,4,227,24,20,3,0,3,0,0,0,4,288,4,0,0,0,0,0,0,0,0,3,7,2315,99,92,6,6,5,4,6,0,67,2611,2259,38,18,3,0,4,3,3,0,87,2420,212,10,0,0,0,0,0,0,0,3,224,12,0,0,3,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,220,10,0,3,0,0,0,0,0,5,244,3,0,0,0,0,0,0,0,0,3,7,2489,47,18,4,0,7,3,3,3,96,2668,827,13,10,0,3,0,0,0,3,37,886,119,0,0,0,0,0,0,0,0,8,125,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,122,0,0,0,0,0,0,0,0,8,136,3,0,0,0,0,0
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
