SOS_CODE_2016,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,3,4,0,11,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,16,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,3,4,0,11,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,15,3,25
SOS29,30,102,49,180,44,286,121,447,104,638,308,1052,68,395,345,813,61,326,248,628,51,275,140,460,29,202,54,283,10,51,20,72,0,11,0,9,388,2279,1280,3942,30,112,43,178,67,280,105,453,110,489,196,795,67,258,149,479,40,216,89,347,51,223,77,352,27,140,31,204,6,29,11,49,0,17,15,28,392,1770,719,2883,53,213,84,357,108,567,224,898,218,1126,504,1848,135,661,498,1295,97,544,337,975,97,500,212,816,57,339,84,482,12,77,30,121,0,23,15,38,781,4045,1993,6825
SOS30,18567,79113,8147,105828,16824,93207,9674,119713,29457,187438,19692,236588,37236,166177,16235,219655,38109,153788,15306,207203,27974,129905,12388,170272,23090,93810,10418,127322,9486,44998,7137,61621,1469,16142,4024,21640,202218,964595,103019,1269829,22487,72947,7367,102797,23225,87966,8667,119862,40734,187654,17517,245900,56306,161318,13937,231564,50569,156772,13494,220836,35846,136477,12007,184335,29953,96888,10947,137788,11502,52928,9700,74134,1891,28580,8335,38799,272514,981534,101966,1356018,41055,152065,15518,208634,40049,181174,18339,239568,70187,375099,37206,482484,93546,327496,30176,451215,88680,310559,28797,428041,63829,266386,24392,354606,53043,190706,21361,265108,20992,97925,16836,135751,3356,44721,12361,60437,474729,1946127,204985,2625846
SOS31,4535,19606,2853,26987,3156,19255,2616,25026,7062,39780,5946,52787,9936,36424,5414,51776,10306,39020,5510,54832,9099,37987,5051,52136,8232,30455,4475,43155,3531,15956,3094,22580,486,5154,1347,6985,56336,243625,36311,336271,5157,17807,2653,25611,3994,18469,2137,24610,10889,39760,4510,55156,15059,34547,3991,53602,13449,39066,4365,56880,11918,37461,4268,53652,10821,29216,4442,44485,4716,16912,3758,25389,796,8681,2182,11661,76805,241921,32323,351044,9683,37413,5508,52606,7151,37729,4758,49633,17951,79534,10462,107945,24998,70965,9410,105374,23758,78082,9878,111716,21015,75446,9322,105789,19051,59673,8916,87643,8248,32868,6856,47969,1282,13838,3533,18647,133139,485546,68636,687318
SOS32,728,2885,600,4213,456,2531,470,3458,1113,4827,879,6826,1696,5539,943,8177,2025,7194,1088,10303,2095,7864,1041,11000,1796,6716,1122,9644,643,2689,568,3900,97,682,175,956,10647,40927,6893,58466,792,2564,563,3922,606,2435,355,3399,1693,4906,624,7224,2560,5215,661,8436,2676,6769,835,10279,2669,7312,878,10853,2215,5406,905,8532,738,2212,563,3516,117,837,186,1134,14077,37655,5565,57294,1521,5449,1164,8132,1068,4964,828,6856,2810,9736,1504,14049,4254,10751,1608,16612,4705,13958,1920,20584,4765,15172,1918,21853,4018,12128,2030,18174,1384,4906,1132,7421,205,1517,361,2085,24723,78584,12462,115759
SOS33,2715,9316,1917,13950,1583,7577,1374,10530,3028,14210,3127,20361,5945,17332,3295,26572,7642,23707,3864,35217,7100,24931,3676,35710,5299,18893,3150,27336,1660,7173,1540,10373,178,1606,387,2170,35143,124746,22326,182219,3090,7920,1540,12551,1825,6440,864,9128,4649,13100,1800,19550,9444,15039,2373,26852,10119,21339,3014,34470,8339,21301,2880,32520,5829,14119,2448,22396,1554,5209,1140,7908,175,1549,410,2140,45036,106018,16458,167514,5802,17237,3462,26495,3409,14015,2235,19656,7676,27309,4926,39910,15388,32368,5665,53426,17763,45047,6880,69689,15440,46232,6557,68226,11122,33018,5596,49736,3217,12383,2679,18283,356,3162,794,4307,80183,230763,38786,349730
SOS37,0,0,0,3,3,0,0,3,0,3,0,4,0,9,3,7,3,8,0,10,0,8,0,7,4,10,0,13,0,5,0,7,0,0,0,0,8,43,6,65,0,5,0,5,0,5,0,4,0,3,0,6,0,4,3,3,3,10,0,7,0,17,6,19,0,16,4,16,0,7,0,7,0,0,3,0,8,62,14,81,0,6,0,11,3,5,3,11,0,8,0,11,0,8,3,14,5,12,0,24,0,25,5,30,4,24,7,33,0,11,0,16,0,0,3,4,18,109,21,144
SOS39,33,133,46,212,56,380,123,559,151,794,351,1288,79,559,329,964,96,596,282,975,117,772,260,1147,124,816,188,1120,21,163,42,225,4,13,3,19,673,4222,1610,6509,31,134,40,203,76,377,118,576,147,637,223,1005,91,289,132,514,83,457,145,688,147,884,195,1224,85,598,119,798,15,104,38,153,3,13,5,18,680,3484,1014,5179,65,268,84,408,135,752,244,1133,295,1427,574,2293,171,852,461,1485,178,1058,424,1663,268,1659,446,2373,208,1410,304,1916,32,266,83,381,3,22,11,44,1353,7707,2624,11693
SOS40,6111,27536,2282,35928,6550,32846,2327,41723,11244,65573,5078,81894,13416,57432,4433,75281,14321,56990,4378,75689,11980,50864,3769,66615,11354,35636,3344,50334,4950,19807,2688,27452,923,8996,1472,11384,80843,355677,29773,466302,7367,25261,2002,34631,8458,29997,2079,40535,14089,65281,4407,83779,18348,53940,3543,75838,17194,57519,3674,78384,14530,54646,3697,72874,13904,39162,3878,56946,5684,25384,3657,34727,1227,16344,2744,20318,100810,367535,29684,498030,13477,52791,4287,70554,15007,62843,4401,82252,25333,130850,9485,165670,31766,111372,7982,151122,31512,114507,8048,154069,26506,105515,7470,139495,25262,74795,7221,107279,10632,45194,6352,62177,2150,25342,4215,31706,181654,723214,59458,964327
SOS41,1851,6684,878,9410,1442,6405,685,8526,2950,12556,1524,17027,4097,11754,1422,17270,4878,13737,1473,20091,4746,13807,1472,20016,5206,11013,1500,17721,2423,6293,1196,9911,440,2554,613,3606,28031,84802,10758,123591,2184,5947,766,8897,1710,5927,536,8171,3901,12364,1068,17335,6016,11079,1006,18108,6031,13750,1266,21044,5707,13961,1412,21080,6472,11338,1623,19438,2900,7195,1535,11631,569,4448,1013,6035,35486,86021,10231,131734,4034,12629,1645,18310,3149,12327,1220,16700,6857,24916,2589,34361,10111,22833,2425,35374,10907,27487,2745,41134,10452,27770,2877,41101,11682,22357,3125,37156,5323,13491,2727,21546,1006,7003,1629,9636,63517,170825,20985,255330
SOS42,374,915,191,1476,247,920,85,1251,657,1781,181,2619,848,1746,217,2815,1075,2366,288,3739,1277,2694,329,4299,1200,2158,371,3722,480,1069,229,1781,88,391,104,575,6245,14039,1994,22281,412,847,149,1412,259,785,93,1141,795,1667,203,2661,1129,1569,216,2917,1230,2244,242,3719,1397,2429,282,4108,1395,1760,303,3456,560,992,234,1789,122,667,197,982,7303,12966,1910,22179,784,1762,340,2891,513,1707,181,2392,1449,3453,385,5278,1986,3313,430,5731,2310,4614,534,7452,2674,5122,608,8402,2595,3917,669,7180,1038,2062,465,3567,207,1055,303,1559,13548,27006,3909,44462
SOS43,1292,2725,592,4608,825,2370,357,3554,1460,4144,777,6383,2760,4855,923,8533,3899,7317,1104,12316,3677,8231,1092,12995,2746,5728,896,9364,744,2110,412,3263,86,557,113,754,17483,38040,6253,61775,1358,2312,481,4147,755,1856,214,2823,1758,3688,406,5851,3684,4047,548,8278,4339,6301,791,11439,3815,6842,866,11525,2670,4269,657,7601,667,1657,319,2649,94,597,107,796,19139,31567,4404,55110,2652,5037,1070,8754,1577,4227,571,6381,3220,7823,1187,12234,6445,8904,1467,16817,8237,13620,1895,23752,7488,15072,1960,24519,5413,9997,1552,16965,1411,3770,730,5909,182,1157,220,1555,36623,69609,10653,116882
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3
SOS49,15,62,16,95,26,105,36,161,39,243,73,349,29,165,80,280,26,152,102,282,33,143,63,239,13,121,36,168,3,36,3,43,0,9,0,13,179,1043,411,1627,15,47,14,80,12,70,13,99,35,136,41,209,22,77,38,140,17,133,49,192,28,116,28,164,18,67,15,97,0,18,0,21,0,5,0,7,145,670,203,1016,22,111,37,173,34,177,54,266,70,379,108,556,56,245,124,421,42,283,147,474,56,261,85,403,32,185,51,271,3,46,4,59,0,21,3,22,321,1712,614,2648
SOS50,11760,42989,4171,58919,9726,51199,4990,65921,18128,117659,13067,148852,21726,99018,10051,130795,22487,90986,8815,122291,15221,76366,6947,98533,12171,52848,5553,70572,5346,26210,4174,35729,886,9203,2260,12346,117441,566480,60029,743945,14379,38304,3759,56441,12851,45927,4331,63114,24492,114675,10758,149926,32280,92602,7785,132670,28697,89357,7146,125204,18752,80142,6493,105395,14642,54784,5987,75422,6453,31439,5816,43707,1159,15914,4490,21571,153717,563154,56574,773447,26133,81293,7930,115359,22578,97131,9319,129031,42619,232329,23831,298774,54007,191619,17832,263462,51190,180347,15959,247498,33972,156514,13438,203928,26815,107635,11542,145991,11793,57644,9998,79433,2049,25122,6751,33920,271155,1129636,116602,1517390
SOS51,2134,7756,1389,11274,1327,7615,1136,10078,3545,18057,3207,24811,5142,16704,2914,24761,5271,16547,2824,24641,3974,14854,2352,21181,3309,9900,1713,14920,1394,4696,1138,7227,239,1668,483,2384,26322,97802,17150,141275,2378,6915,1255,10550,1601,7058,984,9641,5336,18091,2519,25948,7774,15053,2179,25005,6382,15673,2204,24259,4892,14310,1976,21179,4108,9198,1624,14930,1784,5188,1404,8381,287,2739,779,3803,34548,94218,14915,143683,4506,14676,2643,21827,2921,14674,2117,19714,8881,36145,5726,50764,12918,31754,5088,49760,11655,32215,5027,48895,8862,29164,4328,42357,7419,19096,3336,29846,3179,9886,2544,15608,520,4407,1254,6189,60871,192021,32071,284961
SOS52,288,1259,337,1880,262,1175,190,1632,735,2636,515,3888,935,2466,516,3914,1065,2988,564,4612,1031,3092,584,4709,861,2288,455,3608,373,950,298,1612,71,276,100,445,5618,17122,3559,26298,316,1099,288,1697,318,1141,192,1649,1075,2574,509,4162,1282,2156,436,3873,1271,2838,460,4562,1157,2861,468,4486,951,1790,402,3135,450,905,300,1654,84,344,140,561,6894,15707,3190,25786,602,2356,629,3579,579,2315,387,3277,1812,5213,1028,8045,2217,4621,951,7790,2334,5821,1022,9179,2189,5953,1052,9195,1818,4076,851,6744,820,1853,595,3265,157,615,235,1011,12514,32825,6751,52084
SOS53,1039,3156,761,4957,666,2974,1021,4662,1769,7531,3214,12506,2921,7588,2822,13329,3750,9659,2438,15848,3113,9157,1680,13957,2345,5873,1066,9278,647,2118,464,3230,78,469,105,659,16325,48526,13570,78428,1079,2465,574,4125,686,2067,371,3124,2038,4686,929,7644,3861,4843,955,9668,4221,7090,1163,12472,3342,7167,1079,11581,2154,4236,779,7171,579,1545,333,2457,54,471,104,633,18014,34566,6291,58873,2115,5626,1338,9078,1351,5041,1392,7782,3803,12215,4138,20155,6780,12428,3776,22994,7965,16747,3603,28322,6454,16324,2764,25541,4500,10104,1846,16447,1229,3660,799,5691,141,942,207,1288,34344,83094,19867,137303
SOS57,0,0,0,0,0,15,3,17,5,89,26,124,19,88,18,120,15,64,17,94,4,31,5,43,0,4,0,8,0,0,0,3,0,0,0,3,48,286,71,408,0,0,0,0,0,4,0,3,0,6,3,6,0,6,0,3,0,3,3,8,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,20,8,26,0,0,0,0,0,18,3,20,7,92,24,127,20,87,18,127,20,65,15,105,4,33,5,43,0,4,0,8,0,0,0,3,0,0,0,3,54,306,73,434
SOS59,15,48,26,84,31,167,57,254,68,486,215,773,61,330,214,606,56,335,244,638,40,373,121,540,34,259,78,375,6,38,11,58,0,10,0,12,315,2047,970,3336,10,39,19,65,44,139,64,242,82,309,148,534,49,148,101,305,30,194,101,325,60,296,82,442,42,165,49,254,7,21,10,37,0,6,5,11,323,1325,577,2220,25,88,41,151,72,302,121,503,154,792,368,1306,110,483,317,910,87,532,347,957,105,676,202,977,79,427,132,633,17,62,21,98,0,13,3,23,645,3368,1547,5559
SOS60,966,4182,394,5540,1023,4542,431,6000,1908,8813,944,11661,2198,7581,750,10524,2422,7894,767,11089,2268,7695,783,10747,1980,5521,678,8176,831,3102,479,4416,129,1307,221,1652,13728,50638,5445,69810,1231,3727,384,5343,1231,4349,348,5926,2351,9025,707,12079,3031,7853,624,11514,2975,8302,652,11935,2661,8576,762,12000,2434,6228,761,9417,995,3950,696,5643,196,2377,424,2999,17099,54391,5357,76850,2197,7908,779,10883,2255,8894,785,11926,4258,17838,1649,23740,5230,15433,1376,22036,5401,16202,1417,23022,4933,16274,1544,22751,4408,11750,1436,17594,1827,7055,1182,10056,327,3683,642,4651,30833,105028,10797,146664
