RA_CODE_2016,D_15_17_FPEAW_MPEFT,D_15_17_FPEAW_MPEPT,D_15_17_FPEAW_MPEAW,D_15_17_FPEAW_MPEHNS,D_15_17_FPEAW_MPET,D_15_17_FPEAW_MPULFTW,D_15_17_FPEAW_MPULPTW,D_15_17_FPEAW_MPUT,D_15_17_FPEAW_MPTLF,D_15_17_FPEAW_MPNLF,D_15_17_FPEAW_MPLFSNS,D_15_17_FPEAW_T,D_15_17_FPHNS_MPEFT,D_15_17_FPHNS_MPEPT,D_15_17_FPHNS_MPEAW,D_15_17_FPHNS_MPEHNS,D_15_17_FPHNS_MPET,D_15_17_FPHNS_MPULFTW,D_15_17_FPHNS_MPULPTW,D_15_17_FPHNS_MPUT,D_15_17_FPHNS_MPTLF,D_15_17_FPHNS_MPNLF,D_15_17_FPHNS_MPLFSNS,D_15_17_FPHNS_T,D_15_17_FPET_MPEFT,D_15_17_FPET_MPEPT,D_15_17_FPET_MPEAW,D_15_17_FPET_MPEHNS,D_15_17_FPET_MPET,D_15_17_FPET_MPULFTW,D_15_17_FPET_MPULPTW,D_15_17_FPET_MPUT,D_15_17_FPET_MPTLF,D_15_17_FPET_MPNLF,D_15_17_FPET_MPLFSNS,D_15_17_FPET_T,D_15_17_FPULFTW_MPEFT,D_15_17_FPULFTW_MPEPT,D_15_17_FPULFTW_MPEAW,D_15_17_FPULFTW_MPEHNS,D_15_17_FPULFTW_MPET,D_15_17_FPULFTW_MPULFTW,D_15_17_FPULFTW_MPULPTW,D_15_17_FPULFTW_MPUT,D_15_17_FPULFTW_MPTLF,D_15_17_FPULFTW_MPNLF,D_15_17_FPULFTW_MPLFSNS,D_15_17_FPULFTW_T,D_15_17_FPULPTW_MPEFT,D_15_17_FPULPTW_MPEPT,D_15_17_FPULPTW_MPEAW,D_15_17_FPULPTW_MPEHNS,D_15_17_FPULPTW_MPET,D_15_17_FPULPTW_MPULFTW,D_15_17_FPULPTW_MPULPTW,D_15_17_FPULPTW_MPUT,D_15_17_FPULPTW_MPTLF,D_15_17_FPULPTW_MPNLF,D_15_17_FPULPTW_MPLFSNS,D_15_17_FPULPTW_T,D_15_17_FPUT_MPEFT,D_15_17_FPUT_MPEPT,D_15_17_FPUT_MPEAW,D_15_17_FPUT_MPEHNS,D_15_17_FPUT_MPET,D_15_17_FPUT_MPULFTW,D_15_17_FPUT_MPULPTW,D_15_17_FPUT_MPUT,D_15_17_FPUT_MPTLF,D_15_17_FPUT_MPNLF,D_15_17_FPUT_MPLFSNS,D_15_17_FPUT_T,D_15_17_FPTLF_MPEFT,D_15_17_FPTLF_MPEPT,D_15_17_FPTLF_MPEAW,D_15_17_FPTLF_MPEHNS,D_15_17_FPTLF_MPET,D_15_17_FPTLF_MPULFTW,D_15_17_FPTLF_MPULPTW,D_15_17_FPTLF_MPUT,D_15_17_FPTLF_MPTLF,D_15_17_FPTLF_MPNLF,D_15_17_FPTLF_MPLFSNS,D_15_17_FPTLF_T,D_15_17_FPNLF_MPEFT,D_15_17_FPNLF_MPEPT,D_15_17_FPNLF_MPEAW,D_15_17_FPNLF_MPEHNS,D_15_17_FPNLF_MPET,D_15_17_FPNLF_MPULFTW,D_15_17_FPNLF_MPULPTW,D_15_17_FPNLF_MPUT,D_15_17_FPNLF_MPTLF,D_15_17_FPNLF_MPNLF,D_15_17_FPNLF_MPLFSNS,D_15_17_FPNLF_T,D_15_17_FPLFSNS_MPEFT,D_15_17_FPLFSNS_MPEPT,D_15_17_FPLFSNS_MPEAW,D_15_17_FPLFSNS_MPEHNS,D_15_17_FPLFSNS_MPET,D_15_17_FPLFSNS_MPULFTW,D_15_17_FPLFSNS_MPULPTW,D_15_17_FPLFSNS_MPUT,D_15_17_FPLFSNS_MPTLF,D_15_17_FPLFSNS_MPNLF,D_15_17_FPLFSNS_MPLFSNS,D_15_17_FPLFSNS_T,D_15_17_FPT_MPEFT,D_15_17_FPT_MPEPT,D_15_17_FPT_MPEAW,D_15_17_FPT_MPEHNS,D_15_17_FPT_MPET,D_15_17_FPT_MPULFTW,D_15_17_FPT_MPULPTW,D_15_17_FPT_MPUT,D_15_17_FPT_MPTLF,D_15_17_FPT_MPNLF,D_15_17_FPT_MPLFSNS,D_15_17_FPT_T,D_18_20_FPEFT_MPEFT,D_18_20_FPEFT_MPEPT,D_18_20_FPEFT_MPEAW,D_18_20_FPEFT_MPEHNS,D_18_20_FPEFT_MPET,D_18_20_FPEFT_MPULFTW,D_18_20_FPEFT_MPULPTW,D_18_20_FPEFT_MPUT,D_18_20_FPEFT_MPTLF,D_18_20_FPEFT_MPNLF,D_18_20_FPEFT_MPLFSNS,D_18_20_FPEFT_T,D_18_20_FPEPT_MPEFT,D_18_20_FPEPT_MPEPT,D_18_20_FPEPT_MPEAW,D_18_20_FPEPT_MPEHNS,D_18_20_FPEPT_MPET,D_18_20_FPEPT_MPULFTW,D_18_20_FPEPT_MPULPTW,D_18_20_FPEPT_MPUT,D_18_20_FPEPT_MPTLF,D_18_20_FPEPT_MPNLF,D_18_20_FPEPT_MPLFSNS,D_18_20_FPEPT_T,D_18_20_FPEAW_MPEFT,D_18_20_FPEAW_MPEPT,D_18_20_FPEAW_MPEAW,D_18_20_FPEAW_MPEHNS,D_18_20_FPEAW_MPET,D_18_20_FPEAW_MPULFTW,D_18_20_FPEAW_MPULPTW,D_18_20_FPEAW_MPUT,D_18_20_FPEAW_MPTLF,D_18_20_FPEAW_MPNLF,D_18_20_FPEAW_MPLFSNS,D_18_20_FPEAW_T,D_18_20_FPHNS_MPEFT,D_18_20_FPHNS_MPEPT,D_18_20_FPHNS_MPEAW,D_18_20_FPHNS_MPEHNS,D_18_20_FPHNS_MPET,D_18_20_FPHNS_MPULFTW,D_18_20_FPHNS_MPULPTW,D_18_20_FPHNS_MPUT,D_18_20_FPHNS_MPTLF,D_18_20_FPHNS_MPNLF,D_18_20_FPHNS_MPLFSNS,D_18_20_FPHNS_T,D_18_20_FPET_MPEFT,D_18_20_FPET_MPEPT,D_18_20_FPET_MPEAW,D_18_20_FPET_MPEHNS,D_18_20_FPET_MPET,D_18_20_FPET_MPULFTW,D_18_20_FPET_MPULPTW,D_18_20_FPET_MPUT,D_18_20_FPET_MPTLF,D_18_20_FPET_MPNLF,D_18_20_FPET_MPLFSNS,D_18_20_FPET_T,D_18_20_FPULFTW_MPEFT,D_18_20_FPULFTW_MPEPT,D_18_20_FPULFTW_MPEAW,D_18_20_FPULFTW_MPEHNS,D_18_20_FPULFTW_MPET,D_18_20_FPULFTW_MPULFTW,D_18_20_FPULFTW_MPULPTW,D_18_20_FPULFTW_MPUT,D_18_20_FPULFTW_MPTLF,D_18_20_FPULFTW_MPNLF,D_18_20_FPULFTW_MPLFSNS,D_18_20_FPULFTW_T,D_18_20_FPULPTW_MPEFT,D_18_20_FPULPTW_MPEPT,D_18_20_FPULPTW_MPEAW,D_18_20_FPULPTW_MPEHNS,D_18_20_FPULPTW_MPET,D_18_20_FPULPTW_MPULFTW,D_18_20_FPULPTW_MPULPTW,D_18_20_FPULPTW_MPUT
RA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,28,4,0,3,36,0,0,0,36,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,3,36,0,0,0,36,0,0,40,4,0,0,0,4,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,3,41,0,0,0,42,0,0,49,3,0,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,566,101,147,4,821,20,3,19,838,52,3,889,223,33,5,259,524,25,3,25,549,35,7,596,38767,4621,723,548,44661,1024,163,1191,45848,2221,44,48112,597,110,11,27,739,151,16,169,905,88,7,1002,776,149,12,30,962,70,21,92,1057,84,0,1139,1372,259,24,55,1703,221,34,263,1965,169,7,2143,40133,4878,748,604,46364,1249,201,1449,47818,2390,43,50255,7306,1199,186,207,8903,381,67,452,9351,2063,22,11435,44,3,0,22,69,3,0,3,71,8,82,164,47492,6085,935,829,55333,1636,273,1906,57239,4463,153,61850,8246,819,125,41,9234,271,50,317,9549,556,11,10114,6537,1048,86,52,7721,221,44,261,7985,422,10,8414,219,37,92,0,344,3,3,5,352,26,0,377,95,9,0,104,204,4,0,7,209,24,9,240,15098,1909,303,200,17506,494,94,590,18102,1030,24,19151,189,33,12,6,236,61,3,65,304,31,0,328,277,38,6,10,331,29,18,47
RA31,178,37,60,5,278,16,0,19,293,29,0,322,69,13,0,119,197,3,0,3,197,23,6,228,11579,1396,290,249,13511,357,62,418,13932,806,13,14750,174,37,4,12,223,62,7,68,296,39,0,333,258,31,7,4,298,19,9,28,321,30,0,360,432,66,11,11,526,82,14,97,621,72,0,693,12011,1459,302,262,14033,437,74,513,14544,877,13,15442,2167,388,87,69,2706,139,25,165,2874,791,12,3683,27,8,0,3,32,0,0,0,32,6,34,70,14200,1851,387,329,16774,582,101,675,17456,1677,65,19189,917,102,22,8,1051,17,3,24,1071,74,3,1149,809,132,11,10,965,18,7,19,984,79,0,1064,43,4,15,0,56,0,0,0,62,8,0,68,17,0,3,8,28,3,0,3,33,6,3,36,1782,236,50,32,2096,38,12,49,2148,157,4,2309,18,3,0,6,32,3,0,6,35,3,0,42,29,8,0,3,38,3,4,8
RA32,113,15,43,0,179,6,0,6,180,21,0,199,59,11,0,70,143,5,3,10,144,12,0,158,7956,964,230,161,9311,227,42,263,9580,508,10,10101,116,15,9,0,143,58,0,58,207,34,0,235,123,18,0,3,149,18,3,22,171,16,0,193,243,37,6,9,293,80,3,81,378,49,0,430,8205,999,233,168,9608,305,45,348,9954,556,10,10528,1213,160,53,56,1480,83,14,89,1573,469,8,2051,7,0,0,5,13,0,0,0,14,0,23,41,9421,1163,292,231,11105,386,58,440,11545,1029,39,12617,695,66,11,4,773,25,7,29,804,34,0,841,470,64,9,7,544,17,3,20,563,39,0,604,25,3,11,0,35,0,0,0,39,4,0,39,3,0,0,7,15,0,0,0,18,3,0,18,1193,125,30,20,1372,46,11,51,1420,72,3,1497,13,3,0,3,13,17,0,17,31,4,0,33,7,5,0,0,14,0,0,0
RA33,6,3,4,0,11,0,0,0,11,3,0,14,4,0,0,9,15,0,0,0,15,0,0,16,588,60,18,18,687,10,0,10,697,24,0,720,7,0,0,0,7,12,0,12,19,3,0,19,6,3,0,3,11,3,0,3,18,0,0,18,18,3,0,3,19,15,0,15,37,4,0,38,605,61,17,19,709,21,0,21,731,26,0,757,127,7,8,6,149,6,0,6,153,34,0,185,0,0,0,0,0,0,0,0,0,0,0,0,728,67,25,28,852,29,0,29,884,64,3,952,15,0,0,0,14,0,0,0,14,0,0,20,13,3,0,0,19,0,0,0,20,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,7,4,0,33,0,0,0,32,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
RA34,9,3,0,0,6,0,0,0,6,0,0,6,3,0,0,12,15,0,0,0,15,0,0,16,246,41,6,11,309,10,0,16,326,26,3,352,3,0,0,0,3,3,0,3,10,3,0,10,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0,0,9,4,0,4,10,3,0,16,255,43,6,11,317,17,0,23,337,29,3,368,53,17,4,0,74,9,3,14,90,41,0,127,0,0,0,0,0,0,0,0,0,3,4,4,311,58,9,11,388,30,4,30,424,75,4,502,5,0,0,0,10,0,0,0,9,0,0,13,6,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,17,0,0,0,21,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,212,40,63,3,317,5,0,11,325,24,0,347,80,13,3,72,176,5,3,4,178,22,3,205,15082,2161,306,186,17732,410,77,481,18214,943,11,19171,218,43,5,3,269,71,8,83,354,36,0,384,286,58,7,3,355,42,21,61,414,32,0,450,502,107,13,5,631,112,23,139,771,66,0,834,15586,2269,316,189,18358,524,99,622,18980,1010,12,20002,2648,559,61,70,3340,187,49,234,3571,1279,12,4862,24,5,0,5,38,0,0,3,38,0,29,65,18257,2829,373,269,21737,711,146,861,22593,2284,55,24932,3668,454,64,23,4204,106,19,124,4330,305,0,4636,3806,646,69,28,4551,96,17,108,4660,282,10,4948,108,24,40,0,171,3,3,3,178,15,0,196,53,7,0,46,108,3,0,3,109,6,0,116,7633,1131,172,103,9041,205,40,244,9283,609,6,9902,94,25,3,3,123,35,5,39,166,23,0,191,116,33,5,0,157,19,6,31
RA41,63,11,21,3,94,0,0,0,96,8,0,104,18,3,0,25,43,0,0,0,45,3,0,54,3100,424,70,50,3640,64,9,73,3712,174,6,3894,27,13,0,5,41,11,0,11,53,8,0,63,41,7,0,3,57,9,0,9,64,3,0,65,69,20,0,5,98,17,0,17,116,9,0,125,3172,437,75,55,3738,84,9,91,3833,189,6,4026,493,105,18,15,625,28,3,31,654,141,0,793,3,0,0,0,7,0,0,0,7,0,12,19,3669,542,92,66,4371,112,10,121,4493,330,14,4842,415,39,8,5,472,3,3,6,478,34,0,508,419,84,12,3,516,3,3,6,524,39,0,565,25,3,6,0,38,0,0,0,38,5,0,42,3,3,0,5,15,0,0,0,15,0,0,15,866,132,31,20,1042,6,5,13,1046,74,3,1125,6,0,0,0,12,3,0,3,14,0,0,15,20,3,0,0,24,0,0,0
RA42,30,6,12,0,45,3,0,3,50,8,0,62,9,3,3,14,35,0,0,0,35,6,0,38,2176,258,65,47,2544,52,14,61,2611,134,6,2751,12,8,0,0,29,17,0,20,44,9,0,51,28,4,0,0,31,3,3,7,39,0,0,41,43,8,3,0,62,21,3,19,83,9,0,92,2221,266,71,50,2605,73,12,82,2692,146,8,2842,339,52,15,16,422,19,3,24,447,184,0,631,3,5,0,0,5,0,0,0,5,0,3,9,2560,327,83,58,3032,85,24,107,3141,323,13,3483,126,9,4,3,137,0,0,0,138,9,0,145,151,34,3,0,183,3,0,6,187,14,0,206,3,5,0,0,8,0,0,0,8,0,0,8,3,0,0,0,7,0,0,0,7,0,0,7,281,44,9,3,335,3,4,4,340,25,0,360,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3
RA43,3,0,5,0,9,0,0,0,13,0,0,14,4,0,0,6,6,0,0,0,6,0,0,14,552,74,16,9,654,5,4,5,663,30,0,699,3,0,0,0,4,0,0,0,5,3,0,8,0,0,0,0,3,0,0,0,7,0,0,7,7,3,0,0,11,3,0,3,12,3,0,11,560,79,16,9,666,3,4,13,677,33,0,710,52,9,3,0,65,0,3,5,68,25,0,94,0,0,0,0,0,0,0,0,0,0,0,3,613,84,19,13,732,4,6,16,745,59,6,803,24,3,0,0,26,0,0,0,29,0,0,29,32,3,0,0,42,0,0,0,42,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,5,0,0,66,0,0,0,66,0,0,69,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0
RA44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,77,19,3,0,96,3,0,3,103,7,0,110,4,0,0,0,4,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,5,0,0,5,83,19,3,0,104,3,0,3,109,7,0,112,3,0,0,0,6,0,0,0,6,20,0,26,0,0,0,0,0,0,0,0,0,0,0,3,85,22,3,3,109,3,0,9,113,23,0,143,0,0,0,0,3,0,0,0,4,0,0,4,9,0,0,0,9,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,0,0,0,13,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,344,43,103,3,494,22,0,27,520,21,0,544,163,36,6,162,371,9,0,5,379,32,5,417,24570,3068,529,357,28521,1016,145,1163,29686,1294,25,31007,422,50,19,14,498,143,12,155,650,49,0,708,638,92,28,15,779,100,16,117,896,64,3,963,1062,146,45,27,1277,243,30,272,1548,115,4,1669,25628,3208,576,387,29798,1256,175,1435,31232,1412,31,32672,5545,775,189,138,6646,366,74,440,7087,1258,18,8365,35,4,3,26,69,0,0,0,69,4,35,108,31209,3992,763,548,36515,1624,251,1876,38390,2674,80,41140,5436,604,74,31,6149,231,34,267,6414,344,4,6758,5496,874,106,50,6522,209,29,236,6767,342,5,7113,157,29,75,0,261,11,0,11,275,21,0,294,54,16,3,88,162,11,0,11,176,19,7,193,11149,1523,252,171,13102,461,65,523,13622,719,17,14358,222,19,7,0,253,60,8,62,315,22,0,338,222,38,4,4,269,44,6,45
RA51,43,9,19,0,64,0,0,0,65,3,0,69,21,0,0,22,39,0,0,0,39,0,4,44,2812,384,110,52,3351,82,7,88,3438,158,7,3603,22,5,0,0,39,8,0,8,41,3,0,52,73,9,8,0,85,10,4,10,90,4,0,101,96,15,8,6,117,17,4,15,134,10,0,151,2906,400,116,51,3470,97,10,104,3574,166,3,3746,548,75,38,17,679,20,7,28,705,104,0,810,9,0,0,3,11,0,0,0,14,0,7,20,3461,474,150,72,4154,122,12,133,4287,271,17,4576,169,16,7,0,190,7,0,7,197,13,0,208,196,47,7,0,251,3,0,3,254,13,0,269,9,0,0,0,12,0,0,0,12,0,0,11,0,0,0,3,6,0,0,0,6,0,0,3,375,65,20,6,456,11,0,11,471,26,0,498,3,0,0,0,3,0,0,0,3,0,0,3,7,0,0,0,7,0,0,3
RA52,33,9,20,3,57,0,0,0,57,0,0,64,15,4,0,25,40,0,0,0,40,0,0,45,2136,275,81,50,2542,51,8,57,2597,112,3,2714,19,3,0,0,22,10,0,10,30,7,0,32,24,3,0,0,28,3,0,0,31,3,0,32,42,4,0,0,46,12,0,7,56,6,0,65,2180,280,82,50,2588,55,10,65,2653,120,3,2776,350,54,15,11,428,13,3,16,452,97,3,548,4,0,0,0,8,0,0,0,8,0,0,7,2533,332,91,65,3027,75,13,86,3108,218,10,3331,94,10,3,0,106,3,0,3,104,0,0,108,86,16,3,0,104,0,3,3,109,4,0,114,3,0,4,0,3,0,0,0,3,0,0,9,0,0,0,3,3,0,0,0,3,0,0,3,182,23,12,8,218,3,3,8,226,9,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA53,16,3,11,0,23,0,0,0,30,0,0,30,6,0,0,14,21,0,0,0,21,0,0,24,873,98,21,19,1015,10,3,14,1032,26,0,1055,15,3,0,0,16,9,0,9,26,0,0,26,3,0,3,3,6,5,0,7,17,0,0,16,20,3,3,3,26,17,0,15,41,0,0,44,893,100,28,22,1040,29,3,28,1073,27,0,1095,152,12,3,8,174,6,0,6,186,31,0,211,6,0,0,0,6,0,0,0,6,0,6,6,1044,113,33,30,1225,33,7,38,1260,53,5,1320,21,4,0,0,25,0,0,0,31,3,0,32,18,7,0,0,22,0,0,0,22,0,0,26,3,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,46,5,0,3,54,3,0,3,55,4,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA54,8,0,5,0,10,0,0,0,10,0,0,10,0,0,0,11,10,0,0,0,10,4,0,12,247,32,9,8,297,8,0,8,308,27,0,330,5,0,0,0,9,8,0,11,21,3,0,24,3,0,0,0,4,0,0,0,4,0,0,4,8,3,3,0,11,8,0,11,26,3,0,28,250,40,13,8,310,20,0,21,335,28,0,359,46,6,0,5,54,21,0,23,77,65,0,142,0,0,0,3,3,0,0,0,3,0,3,5,295,45,13,18,373,39,3,40,413,89,8,511,9,0,0,0,15,0,0,0,15,0,0,15,3,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,77,10,29,4,120,0,0,0,120,13,0,136,22,3,0,16,42,0,0,0,41,0,0,43,4229,691,99,54,5078,62,16,82,5159,308,8,5471,29,9,0,0,39,19,0,19,58,10,0,64,58,15,0,0,67,7,6,15,83,10,0,96,88,21,0,0,108,24,6,35,145,14,0,158,4317,712,95,55,5182,88,27,117,5298,322,10,5626,668,137,26,30,857,34,14,55,909,327,0,1236,10,0,0,0,12,0,0,0,12,0,4,14,4992,853,121,83,6053,125,43,170,6218,648,8,6881,679,78,17,6,776,8,6,15,786,51,0,843,728,128,10,7,874,11,3,10,884,68,4,953,27,13,5,0,48,0,0,0,50,3,0,52,12,0,0,12,20,0,0,0,20,3,0,24,1445,219,32,22,1720,22,6,27,1745,128,4,1871,9,4,0,0,15,6,0,6,17,3,0,21,18,4,0,0,20,0,3,3
