RA_CODE_2016,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
RA23,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,49,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,7,0,0,7,0,365,0,15,0,0,15,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,11,3,0,0,0,0,4,8,361,18,0,0,18,3,383
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,1176,57,50048,2061,7127,524,30,7679,3,9740,56,842,957,7,1806,4,1865,16,49,10,30,83,0,102,2132,8011,1489,71,9569,7,11707,51,11,0,0,11,41,93,50995,9160,1508,83,10750,103,61850,17696,388,10,3,395,14,18107,774,3853,298,13,4169,0,4941,40,554,674,4,1230,0,1273,13,13,3,15,31,0,45,821,4423,979,28,5435,0,6262,4,8,0,0,8,8,19,18529,4817,987,36,5836,24,24389,7320,154,4,0,151,3,7482,345,1861,165,9,2034,0,2378,13,291,408,3,705,0,721,0,10,0,3,14,0,17,361,2157,575,16,2745,0,3110,4,3,0,0,3,6,11,7682,2315,579,16,2902,11,10597,384028,11505,147,110,11757,489,396273,19660,67728,3879,340,71948,94,91700,472,7717,6498,81,14298,18,14785,192,353,44,225,620,8,826,20328,75798,10424,646,86865,115,107313,473,103,9,4,121,539,1128,404832,87413,10573,758,98744,1148,504717
RA31,180,31,17876,339,745,32,6,783,0,1122,6,72,56,0,132,0,137,3,7,0,5,10,0,8,348,826,88,6,924,0,1270,32,0,0,0,0,14,50,18036,996,94,13,1102,50,19189,2591,32,0,0,31,7,2636,78,177,9,0,185,0,260,12,21,18,0,41,0,50,3,0,0,3,3,0,6,91,199,26,3,223,0,318,7,0,0,0,0,0,8,2690,231,24,3,258,10,2959,893,14,0,0,12,0,902,22,61,3,0,60,0,81,0,4,14,0,16,0,16,0,0,0,0,0,0,3,19,60,11,4,80,0,99,4,0,0,0,0,0,4,917,73,15,4,92,0,1002,129170,1466,18,22,1508,302,130983,2977,6863,253,17,7130,8,10115,86,652,457,3,1113,0,1198,30,51,3,33,87,7,119,3096,7567,710,47,8329,14,11437,250,11,0,0,15,200,462,132513,9049,732,72,9848,516,142881
RA32,192,19,11188,391,756,29,3,784,0,1180,21,64,117,0,180,0,203,4,6,0,3,11,0,11,412,826,144,7,978,0,1388,20,0,0,0,0,16,36,11414,1007,144,14,1167,30,12617,1472,24,0,0,24,4,1503,69,197,7,3,206,0,276,3,27,33,0,59,0,61,0,0,0,0,0,0,0,73,224,41,5,262,0,332,0,0,0,0,0,0,0,1545,245,41,5,288,7,1837,594,9,0,0,9,0,602,29,74,7,3,90,0,116,3,15,17,0,34,0,32,0,0,0,0,0,0,0,31,92,28,3,122,0,155,0,0,0,0,0,0,0,625,98,28,3,132,0,756,87011,1501,32,30,1565,199,88768,3357,6613,289,24,6934,10,10301,101,625,757,6,1384,0,1479,44,33,0,57,97,0,134,3499,7275,1043,86,8403,10,11913,209,14,0,0,13,172,402,90717,8788,1076,123,9983,382,101083
RA33,15,0,848,36,54,0,0,58,0,91,0,0,0,0,0,0,0,3,0,0,0,0,0,3,38,59,0,0,57,0,98,0,0,0,0,0,0,0,871,73,0,3,74,0,952,41,3,0,0,3,0,45,3,7,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,5,0,10,0,0,0,0,0,0,0,44,4,0,0,4,0,51,12,0,0,0,0,0,12,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,12,4,0,0,4,0,16,9689,149,0,0,150,18,9851,264,724,4,3,731,3,997,0,18,3,3,25,0,27,10,7,0,3,9,0,18,275,746,11,5,765,3,1040,35,0,0,0,0,18,56,9995,893,13,6,914,35,10945
RA34,7,0,355,9,111,6,0,117,0,125,0,0,7,0,11,0,11,0,0,0,4,4,0,4,13,116,14,4,127,0,140,0,0,0,0,0,9,9,367,118,14,4,130,9,502,16,0,0,0,0,0,16,0,8,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,13,0,0,0,0,0,0,0,12,8,0,0,8,0,26,11,0,0,0,0,0,11,0,9,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,4,0,0,0,0,0,0,0,12,9,0,0,9,0,15,5511,102,3,3,108,18,5639,170,2153,70,10,2236,0,2408,3,29,66,0,93,0,97,14,38,0,25,61,0,73,193,2214,142,37,2391,0,2582,21,0,0,0,0,52,69,5718,2318,146,36,2497,70,8286
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,544,16,18580,797,3813,255,20,4086,3,4888,23,592,762,3,1359,0,1383,3,20,3,14,39,0,39,823,4434,1029,27,5485,3,6312,26,0,0,0,0,14,41,18866,4958,1040,37,6029,33,24932,8393,260,4,3,267,3,8667,377,2501,163,7,2671,3,3049,19,393,639,8,1033,3,1057,3,11,0,4,17,0,18,400,2902,808,11,3723,5,4128,9,3,0,0,4,9,18,8803,3166,807,21,3992,15,12814,4230,126,0,0,129,0,4361,201,1218,107,3,1339,0,1539,8,232,411,0,649,0,655,0,3,0,0,5,0,3,207,1458,522,7,1988,0,2199,0,3,0,0,4,0,4,4443,1587,518,6,2117,0,6565,136295,4644,88,51,4784,156,141242,6945,37382,1996,194,39571,17,46540,155,5174,4869,34,10078,14,10247,69,202,35,112,349,0,419,7170,42756,6898,340,49998,32,57201,199,63,3,3,63,231,491,143664,47459,6993,395,54848,419,198933
RA41,40,14,4550,53,135,7,0,143,0,194,0,16,42,0,57,0,55,0,0,0,0,0,0,3,55,155,45,0,196,0,250,27,3,0,0,3,6,35,4575,190,45,4,238,20,4842,1211,12,0,0,12,0,1225,20,70,0,0,68,0,88,0,9,19,0,22,0,22,0,0,0,0,0,0,0,20,76,18,0,98,0,118,7,3,0,0,3,0,11,1240,90,18,0,109,0,1356,436,3,0,0,3,5,445,4,21,0,0,19,0,27,0,6,8,0,14,0,14,0,0,0,0,0,0,0,6,28,8,0,38,0,45,0,0,0,0,0,0,0,443,31,8,0,39,5,485,31405,312,3,5,323,63,31783,570,1169,51,4,1225,0,1797,8,145,203,3,354,0,363,9,8,0,3,11,0,20,592,1322,256,9,1584,0,2177,107,12,0,0,12,40,156,32107,1644,261,19,1920,101,34121
RA42,37,11,3240,58,125,3,0,132,0,187,0,23,16,0,35,0,35,3,3,0,0,4,0,4,62,149,16,4,167,0,226,6,0,0,0,0,0,7,3262,185,16,4,205,14,3483,419,4,0,0,4,0,426,3,25,4,0,32,0,38,0,3,5,0,7,0,7,0,0,0,0,0,0,0,3,32,11,0,42,0,48,0,0,0,0,0,0,0,424,37,11,0,47,3,471,83,0,0,0,0,0,86,0,15,0,0,15,0,12,0,3,4,0,3,0,3,0,0,0,0,0,0,0,0,15,4,0,16,0,18,0,0,0,0,0,0,0,86,12,4,0,15,0,103,22285,198,4,12,213,66,22569,406,1055,43,8,1103,0,1506,3,123,87,0,212,0,213,5,7,0,6,19,0,21,412,1190,130,18,1330,0,1745,40,4,0,0,3,65,115,22739,1391,133,31,1555,137,24426
RA43,9,0,778,8,15,0,0,15,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,15,0,24,0,0,0,0,0,0,0,778,20,0,0,20,3,803,78,0,0,0,0,0,78,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,77,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,6218,65,0,0,68,33,6314,132,216,0,3,216,6,354,3,8,0,0,8,0,10,3,0,0,0,0,0,4,140,222,0,3,226,6,365,16,0,0,0,0,23,33,6367,285,0,3,287,56,6717
RA44,0,0,107,3,23,0,0,23,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,3,0,31,0,32,0,0,0,0,0,0,0,108,25,3,0,29,0,143,8,0,0,0,0,0,8,0,8,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,9,0,0,0,0,0,0,0,8,8,0,0,8,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1252,25,0,0,25,3,1285,57,394,14,3,411,0,466,0,9,14,0,29,0,26,0,0,0,5,3,0,3,58,406,29,6,440,0,501,3,0,0,0,0,52,53,1319,432,29,6,469,55,1839
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,838,26,30255,1550,7045,338,36,7422,5,8971,58,830,908,3,1744,3,1808,14,34,4,19,55,0,74,1620,7909,1248,59,9221,4,10844,31,0,0,0,0,11,45,31045,8734,1255,71,10057,37,41140,12148,367,3,6,371,11,12534,734,4115,216,16,4349,0,5082,15,553,597,5,1153,0,1166,10,21,3,8,34,0,44,761,4692,817,26,5537,0,6292,14,3,0,0,3,3,20,12919,5054,818,33,5912,9,18841,5461,180,0,0,179,0,5637,348,2132,102,9,2249,0,2597,8,318,319,0,644,0,651,0,17,0,3,18,0,20,359,2467,421,15,2906,0,3262,3,0,0,0,0,3,11,5817,2647,425,15,3089,6,8911,226390,7724,94,66,7883,255,234526,15275,66332,2590,321,69241,57,84580,378,7596,5840,52,13487,9,13873,144,375,47,158,571,3,714,15802,74302,8475,529,83303,68,99174,326,93,4,10,112,257,687,242513,82124,8573,604,91294,581,334385
RA51,71,8,4195,95,243,3,0,247,0,341,0,14,11,0,22,0,23,5,0,0,0,0,0,3,98,255,13,0,268,0,363,13,0,0,0,0,4,16,4228,322,17,0,338,13,4576,522,9,0,0,9,0,529,16,51,0,0,51,0,62,0,4,3,0,9,0,9,0,0,0,0,0,0,0,16,51,7,0,64,0,76,0,0,0,0,0,3,3,534,63,7,0,70,3,608,187,8,0,0,8,0,191,0,24,0,0,24,0,25,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,23,0,0,25,0,29,0,0,0,0,0,0,0,185,29,0,0,30,0,221,29747,458,7,0,469,85,30301,938,2059,32,4,2096,8,3036,17,122,62,0,183,0,202,4,0,3,8,16,0,22,967,2184,92,16,2293,8,3268,92,3,0,0,0,41,140,30804,2643,97,19,2767,134,33704
RA52,38,9,2941,79,252,5,3,260,0,336,0,24,21,0,46,0,49,0,3,0,0,5,0,5,77,279,30,3,311,0,383,9,0,0,0,0,0,11,2976,315,30,3,346,12,3331,243,0,0,0,0,0,244,16,30,0,0,30,0,43,0,3,6,0,8,0,8,0,0,0,0,0,0,0,16,38,6,0,42,0,58,0,0,0,0,0,0,0,261,36,6,0,45,0,302,43,0,0,0,0,0,41,0,10,0,0,10,0,16,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,12,0,0,17,0,19,0,0,0,0,0,0,0,41,14,0,0,12,0,60,23854,320,0,11,325,50,24231,824,2161,33,7,2203,7,3036,17,127,153,0,279,0,298,8,32,5,3,40,0,50,854,2317,189,12,2518,13,3385,56,3,0,0,3,44,105,24775,2636,189,21,2850,106,27728
RA53,13,3,1088,40,159,0,0,157,0,204,3,12,0,0,15,0,18,0,0,0,0,0,0,0,47,169,4,0,175,0,217,0,0,0,0,0,9,11,1121,182,3,0,191,13,1320,54,0,0,0,0,0,59,3,21,0,0,17,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,17,0,20,0,0,0,0,0,0,0,55,17,0,0,17,3,79,8,0,0,0,0,0,12,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,8,4,0,0,4,0,16,12174,183,3,0,183,36,12395,483,1227,3,4,1238,13,1731,14,42,11,3,54,0,71,7,4,0,8,9,0,12,504,1272,13,14,1304,13,1818,38,0,0,7,6,33,80,12719,1453,17,24,1494,80,14291
RA54,9,0,369,11,114,4,0,123,0,130,0,0,5,0,6,0,6,0,0,0,0,0,0,0,10,118,3,0,130,0,137,0,0,0,0,0,3,4,376,129,3,0,137,4,511,19,3,0,0,3,0,19,0,6,0,0,6,0,6,0,0,3,0,4,0,4,0,0,0,0,0,0,0,0,9,3,0,5,0,5,0,0,0,0,0,0,0,19,10,3,0,13,0,27,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5695,170,0,0,170,10,5874,274,1718,65,9,1798,5,2073,4,52,65,0,116,0,123,3,9,0,29,35,0,37,278,1776,133,40,1949,5,2232,21,0,0,3,3,53,75,5994,1942,131,40,2118,67,8181
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,85,13,6296,116,274,17,0,290,0,405,0,46,112,3,154,0,160,4,0,0,0,0,0,4,117,316,125,4,451,0,564,11,0,0,0,0,9,14,6325,399,128,3,533,18,6881,2059,20,0,0,20,0,2075,48,124,4,0,131,0,177,0,21,72,0,97,0,97,5,0,0,0,0,0,5,51,144,79,0,221,0,274,3,0,0,0,0,0,6,2108,162,79,0,241,0,2359,718,15,0,0,15,3,732,18,71,4,0,74,0,92,0,15,37,0,52,0,52,0,0,0,0,0,0,0,18,83,42,0,124,0,144,0,0,0,0,0,0,0,735,98,42,0,142,3,878,45883,701,9,12,716,85,46685,1178,2688,139,24,2844,4,4035,31,369,719,3,1098,0,1124,10,3,0,3,3,0,20,1222,3066,861,22,3947,4,5181,68,0,0,0,0,67,135,47175,3764,863,37,4660,162,51996
RA62,22,4,2975,38,44,0,0,44,0,86,0,0,5,0,5,0,4,0,0,0,0,0,0,0,38,44,4,0,52,0,87,10,0,0,0,0,12,25,3002,58,4,0,70,19,3085,650,3,0,0,3,3,655,10,10,0,0,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,11,0,21,3,0,0,0,0,3,3,658,11,0,0,11,5,676,138,3,0,0,3,0,141,7,5,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,5,0,11,0,0,0,0,0,3,4,143,7,0,0,7,6,155,20994,137,3,10,149,68,21205,378,359,6,0,362,3,745,5,12,12,0,23,0,30,9,0,7,0,8,0,16,395,373,19,0,393,3,787,84,4,0,0,4,46,129,21467,507,23,10,542,112,22126
