RA_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
RA23,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,66,0,3,0,0,0,0,0,0,3,73,82,0,0,0,0,0,0,0,0,0,82,12,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,3,0,0,0,93,36,0,0,0,0,0,0,0,0,4,43,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,3,38,12,3,5,0,0,0,0,0,5,5,26,0,0,0,0,0,0,0,0,0,0,0,41,3,7,0,3,0,0,0,3,11,66,0,0,0,0,0,0,0,0,0,25,25,111,8,13,0,3,3,0,0,3,40,182,83,3,3,0,0,0,0,4,0,6,103,20,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,3,3,34,0,0,0,0,0,0,0,0,0,3,3,105,9,3,0,0,0,0,4,3,13,136,24,0,0,0,0,0,0,0,0,4,25,5,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
RA30,212,220,168,168,111,516,25643,4326,814,879,209,242,340,285,328,271,656,8340,171,26,22,5,0,3,4,4,3,31,262,24221,3334,2670,469,457,562,460,496,382,1197,34242,85,10,10,0,0,0,0,3,0,87,196,76240,8650,6730,1110,1004,1008,811,800,550,2659,99563,49264,2290,1820,303,273,229,210,194,115,1252,55948,13958,624,505,106,92,76,83,97,54,330,15927,3417,379,542,121,126,140,116,139,135,317,5429,169,4,3,0,0,0,0,0,0,23,211,17546,1007,1057,224,219,216,202,235,183,676,21578,124,6,9,0,0,0,0,0,0,81,223,66937,3310,2879,532,495,445,404,426,297,2015,77739,23826,1139,718,96,100,72,69,73,36,1029,27157,7386,191,169,20,31,31,28,10,13,275,8163,2912,275,210,23,42,43,43,39,25,185,3797,99,3,3,0,3,0,0,0,0,15,127,10400,468,383,44,72,74,74,52,41,481,12082,158,9,4,0,0,0
RA31,27,28,31,17,18,73,2746,138,30,36,13,18,23,22,23,24,33,355,30,3,3,0,0,0,0,0,0,0,32,2057,357,331,59,41,52,49,38,43,113,3133,27,0,0,0,0,0,0,0,0,44,73,15822,1361,1047,174,167,124,99,86,59,624,19563,15680,492,396,48,50,51,47,33,21,505,17316,1978,67,80,7,15,14,11,11,4,58,2238,119,24,15,12,11,4,8,9,6,26,233,35,0,0,0,0,0,0,0,0,3,42,2136,86,92,14,29,19,13,18,17,92,2514,49,0,0,0,0,0,0,0,0,30,84,17865,584,487,65,77,74,64,46,34,627,19913,7288,242,143,18,19,19,13,20,3,276,8033,1238,35,20,7,7,0,4,0,0,64,1364,144,11,14,7,4,0,3,0,4,9,198,13,0,0,0,0,0,0,0,0,8,21,1395,50,34,11,7,3,4,4,4,76,1590,37,0,0,0,0,0
RA32,33,29,19,18,18,105,2876,191,36,53,22,22,24,30,28,27,45,472,25,0,3,0,0,0,0,0,0,3,33,2323,300,320,41,50,55,43,47,44,154,3382,23,0,0,0,0,0,0,0,0,27,59,11778,946,798,131,125,102,79,96,67,520,14643,8938,261,181,17,26,25,21,27,15,306,9810,1950,61,61,10,8,10,5,9,3,75,2185,243,13,36,13,4,13,11,15,13,26,386,34,0,0,0,0,0,0,0,0,5,45,2232,69,92,16,15,21,19,24,20,112,2620,33,0,0,0,0,0,0,0,0,17,52,11204,334,276,40,38,41,32,51,34,429,12480,3657,89,61,5,5,10,3,6,4,154,4006,1312,20,17,0,0,0,10,5,4,59,1418,413,10,9,4,4,0,4,7,0,29,479,14,0,0,0,0,0,0,0,0,0,15,1740,28,28,9,5,3,7,10,0,87,1912,23,0,0,0,0,0
RA33,4,3,0,4,0,5,198,7,3,0,0,3,0,0,0,0,10,21,0,0,0,0,0,0,0,0,0,0,3,136,16,33,3,10,5,3,3,0,11,221,4,0,0,0,0,0,0,0,0,0,6,822,60,79,15,21,9,10,8,8,52,1081,644,16,10,6,0,3,0,0,0,27,709,135,0,4,0,0,0,0,0,0,3,142,8,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,142,0,4,0,0,0,3,0,0,6,156,6,0,0,0,0,0,0,0,0,0,9,788,15,19,6,0,3,3,0,3,37,871,223,0,3,0,0,0,0,3,0,9,236,74,4,0,0,0,0,0,0,3,0,80,20,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,96,5,0,0,0,0,0,0,3,3,102,0,0,0,0,0,0
RA34,0,3,0,3,0,11,112,18,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,4,96,10,11,3,0,3,0,3,0,12,139,0,0,0,0,0,0,0,0,0,0,3,385,26,29,7,5,8,3,12,3,37,499,275,9,0,0,3,0,0,0,0,4,287,47,0,0,0,0,0,0,0,0,3,55,4,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,13,69,3,0,0,0,0,0,0,0,4,0,4,330,5,5,0,3,0,0,0,4,16,363,89,0,0,0,0,0,0,0,0,5,91,18,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,3,26,0,0,0,0,0,0
RA35,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,8,8,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,5,51,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,38,3,4,0,0,0,0,0,3,9,58,0,0,0,0,0,0,0,0,0,11,17,368,23,16,3,3,4,3,5,3,42,473,371,26,10,0,0,3,0,3,4,25,447,31,0,0,0,0,0,0,0,0,0,37,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,9,12,409,29,10,0,0,5,0,3,4,31,498,50,0,0,0,0,0,0,0,3,6,64,15,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
RA40,60,70,42,46,42,272,12464,2693,432,557,177,197,174,194,206,187,331,5148,104,6,3,4,0,0,3,0,0,18,139,13494,1121,1035,258,258,246,237,254,225,623,17754,55,3,0,0,0,0,0,0,0,30,88,39905,1936,1601,345,330,308,281,299,251,1234,46487,25337,243,257,43,36,55,34,48,11,527,26598,10965,154,110,30,16,26,11,27,21,263,11633,2602,227,281,73,75,86,75,101,80,216,3821,128,3,3,0,0,0,0,0,0,15,151,13696,388,395,106,90,116,87,130,100,495,15607,76,0,0,0,0,0,0,0,0,45,125,39114,628,658,146,126,171,120,178,116,1071,42329,14774,166,80,18,9,14,4,11,8,463,15541,8362,43,39,10,7,0,4,5,7,239,8724,4196,115,120,35,24,18,25,10,23,224,4797,121,0,0,0,0,0,0,0,0,18,148,12688,158,166,46,25,26,29,19,23,484,13663,130,0,0,0,0,0
RA41,8,9,0,3,0,12,596,67,5,22,6,3,5,0,4,3,8,125,5,0,0,0,0,0,0,0,0,0,4,560,44,55,15,8,10,0,3,4,17,728,10,0,0,0,0,0,0,0,0,3,17,5217,189,167,18,22,25,10,12,10,186,5853,5142,63,54,18,10,12,4,12,3,166,5481,555,6,7,0,3,5,0,0,0,10,588,51,0,14,3,0,3,3,0,0,0,80,8,0,0,0,0,0,0,0,0,0,7,621,10,20,4,3,3,4,3,0,17,682,12,0,0,0,0,0,0,0,0,3,18,5770,76,72,18,10,12,14,11,3,189,6183,2705,46,26,5,5,4,4,3,0,123,2913,495,0,0,3,0,0,0,0,0,16,515,61,3,4,0,0,0,0,0,0,0,71,7,0,0,0,0,0,0,0,0,0,8,559,3,4,4,0,0,0,0,0,15,594,24,0,0,0,0,0
RA42,4,11,3,3,3,12,442,42,12,14,7,4,5,3,7,0,3,89,3,0,0,0,0,0,0,0,0,3,11,398,42,28,16,9,16,3,5,3,25,539,13,0,0,0,0,0,0,0,0,28,33,3065,107,69,21,20,20,8,5,3,149,3473,2820,23,19,4,0,7,3,3,0,102,2982,417,3,12,0,3,0,3,0,3,16,457,70,3,6,3,0,0,0,0,0,6,91,4,0,0,0,0,0,0,0,0,0,6,493,10,19,0,3,0,3,0,3,22,553,10,0,0,0,0,0,0,0,0,13,18,3319,34,37,7,6,7,7,0,3,135,3556,1511,0,3,0,0,0,0,0,0,69,1587,449,3,3,0,0,0,0,0,0,18,477,135,0,0,0,0,0,0,0,0,7,148,9,0,0,0,0,0,0,0,0,4,9,592,4,6,0,0,0,0,0,0,33,631,20,0,0,0,0,0
RA43,3,0,0,0,0,6,82,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,68,4,6,3,3,0,0,0,0,6,86,3,0,0,0,0,0,0,0,0,3,3,644,21,24,5,4,3,3,0,0,31,733,604,8,7,0,0,0,0,0,0,23,642,78,0,0,0,0,0,0,0,0,4,87,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,3,96,0,0,0,0,0,0,0,0,0,3,3,685,6,8,0,0,0,0,3,0,33,736,276,0,0,0,0,0,0,0,0,7,291,60,0,0,0,0,0,0,0,0,0,61,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,72,3,0,0,0,0,0
RA44,0,0,0,0,0,0,47,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,42,4,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,192,6,6,0,3,3,0,0,0,9,223,138,0,0,0,0,0,0,0,0,3,139,79,0,3,0,0,0,0,0,0,3,85,18,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,98,0,3,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,230,0,3,0,0,0,0,0,0,9,242,50,0,0,0,0,0,0,0,0,0,49,45,0,0,0,0,0,0,0,0,7,46,9,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,3,57,0,0,0,0,0,0,0,0,7,61,0,0,0,0,0,0
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,6,6,62,0,14,0,0,0,0,0,0,15,92,43,3,0,0,0,0,0,0,0,0,45,4,0,0,0,0,0,0,0,0,0,7,5,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,48,3,3,0,0,0,0,0,0,3,61,7,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
RA50,237,220,153,157,100,425,22592,3223,578,699,175,245,210,212,212,249,518,6321,137,11,12,0,3,3,3,3,0,24,193,20666,2626,2419,423,478,431,370,372,353,964,29108,64,3,3,0,3,0,3,0,0,85,165,72261,6330,5583,996,996,816,633,607,466,2161,90846,45193,1278,1185,221,207,155,155,145,76,928,49549,13943,424,372,68,78,77,82,62,55,331,15501,2888,272,374,93,104,92,89,100,111,261,4372,126,5,5,0,0,0,0,0,0,20,155,16966,704,746,163,179,165,163,161,171,614,20026,117,0,3,0,0,0,0,0,0,84,209,62277,1983,1934,384,391,323,316,307,241,1630,69787,22739,787,586,74,55,55,63,53,24,842,25269,7752,167,136,19,20,20,32,27,7,252,8426,3073,170,173,19,32,29,21,32,22,187,3755,108,0,0,0,0,0,0,0,0,28,139,10929,336,311,46,51,44,55,59,32,468,12315,161,3,0,0,0,0
RA51,6,4,5,8,4,30,709,22,3,11,4,0,5,0,7,12,8,61,5,0,0,0,0,0,0,0,0,3,7,515,80,81,22,3,7,5,13,17,40,779,11,0,0,0,0,0,0,0,0,69,86,5790,440,362,67,59,27,23,26,18,297,7106,5271,137,115,18,11,22,13,10,14,160,5765,623,29,20,7,0,0,3,11,0,13,702,42,0,0,3,3,4,0,3,4,0,65,10,0,0,0,0,0,0,0,0,0,10,672,29,21,7,6,5,10,14,3,16,776,17,0,0,0,0,0,0,0,0,24,37,5963,168,132,28,13,27,17,20,15,193,6577,2332,58,47,3,7,7,7,5,0,90,2560,347,11,7,4,0,0,0,4,0,19,393,57,3,0,0,0,0,0,0,0,9,73,9,0,0,0,0,0,0,0,0,0,9,414,13,8,4,0,0,0,4,0,22,467,10,0,0,0,0,0
RA52,20,12,9,3,0,30,640,35,12,17,4,3,3,6,3,7,7,97,6,0,0,0,0,0,0,0,0,0,12,459,58,111,23,26,10,11,9,12,35,756,11,0,0,0,0,0,0,0,0,11,25,4257,255,328,70,71,32,22,23,16,179,5263,3861,81,65,13,16,8,3,10,3,144,4202,422,17,20,4,0,0,3,0,0,9,476,34,0,7,0,0,6,0,0,0,4,55,3,0,0,0,0,0,0,0,0,0,3,460,19,25,3,0,4,3,0,3,14,532,7,0,0,0,0,0,0,0,0,8,17,4327,96,94,17,13,15,10,7,3,163,4757,1842,45,18,3,6,3,4,0,0,76,1995,260,4,0,0,3,0,0,0,0,10,285,32,0,3,0,0,0,0,3,0,3,48,7,0,0,0,0,0,0,0,0,0,5,302,6,5,0,3,0,0,3,0,15,335,21,0,0,0,0,0
RA53,9,6,4,5,0,8,300,17,0,0,0,0,0,0,0,8,3,25,3,0,0,0,0,0,0,0,0,0,3,173,34,68,6,12,6,4,5,10,13,332,0,0,0,0,0,0,0,0,0,3,3,1328,121,201,37,36,21,21,18,12,64,1851,749,25,26,3,7,4,0,4,0,33,855,90,3,11,0,0,0,3,0,0,4,114,4,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,4,100,3,6,0,0,0,3,0,4,7,132,3,0,0,0,0,0,0,0,0,0,3,852,21,36,3,12,4,3,4,6,39,988,285,7,3,0,3,0,0,0,0,13,319,51,3,3,0,0,0,0,0,0,0,58,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,55,3,4,0,0,0,0,0,0,3,69,5,0,0,0,0,0
RA54,12,13,3,5,3,3,267,30,3,3,0,4,0,0,0,0,0,41,7,0,0,0,0,0,0,0,0,3,9,205,15,44,4,12,11,9,7,3,10,318,4,3,0,0,0,0,0,0,0,3,8,1193,107,164,33,41,29,21,19,12,52,1674,475,18,14,3,3,4,3,0,0,19,540,97,0,7,3,3,0,3,0,0,4,121,15,0,0,0,0,0,0,4,0,3,22,0,0,0,0,0,0,0,0,0,0,0,113,0,3,3,3,0,3,4,0,6,145,0,0,0,0,0,0,0,0,0,0,0,592,16,20,11,9,6,7,4,0,18,681,131,0,0,0,0,0,0,0,0,6,138,24,0,0,0,0,0,0,0,0,4,34,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,34,0,3,0,0,0,0,0,0,4,39,0,0,0,0,0,0
RA55,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,4,3,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,9,3,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,13,13,163,13,12,4,9,3,3,5,4,33,251,132,0,3,0,0,0,0,0,0,4,147,13,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,17,3,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,12,9,145,3,6,0,0,0,0,0,0,18,176,16,0,0,0,0,0,0,0,0,0,22,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
RA61,10,7,3,3,3,32,1138,91,26,55,22,15,35,13,5,14,22,302,15,3,0,0,0,0,0,0,0,0,18,1000,113,128,41,25,44,21,14,20,53,1464,13,0,0,0,0,0,0,0,0,10,20,5464,295,244,62,33,58,33,22,25,148,6378,5304,75,39,11,8,4,6,0,8,152,5596,982,20,13,0,0,0,5,5,3,18,1054,88,12,31,3,7,13,10,7,4,16,198,10,0,0,0,0,0,0,0,0,0,15,1082,30,43,9,13,18,15,13,8,37,1271,18,0,0,0,0,0,0,0,0,14,29,6410,107,86,17,18,21,18,16,11,199,6898,3049,33,14,6,3,0,3,7,7,118,3242,755,3,6,0,0,0,0,3,0,26,800,110,12,9,10,3,12,5,0,4,4,177,8,0,0,0,0,0,0,0,0,4,13,866,12,20,8,7,12,5,3,4,36,986,18,0,0,0,0,0
