RA_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
RA23,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,9,0,9,..,46,3,55,0,55,..,8,3,7,113,125,1410,57,4,64,113,1586,1332,..,..,..,..,1332,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,6,5,0,5,..,0,0,0,0,0,..,3,6,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
RA25,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,3,3,18,7,0,7,3,28,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
RA29,0,5,0,5,..,20,0,20,0,20,..,31,3,28,0,28,..,9,0,10,0,10,..,3,0,3,0,3,..,20,3,24,0,21,..,27,11,39,0,39,..,115,30,151,5,154,..,532,158,687,15,698,..,21,4,28,1236,1261,2372,555,162,714,1245,4331,1835,..,..,..,..,1835,..,0,0,0,0,0,..,22,21,41,0,41,..,0,0,0,0,0,..,27,9,36,0,36,..,84,37,124,0,124,..,8,9,19,0,19,..,124,57,177,0,177,..,0,0,0,0,0,..,3,0,3,0,3,..,14,0,14,0,14,..,13,0,13,0,18,..,15,3,18,0,18,..,6,0,6,0,6,..,4,3,4,0,4,..,9,0,12,0,12,..,3,0,3,0,3,..,3,0,7,0,7,..,6,0,6,0,6,..,34,5,44,0,44,..,24,7,28,0,30,..,4,0,5,0,5,..,8,6,17
RA30,60,1087,9,1100,..,9020,365,9386,77,9458,..,7791,900,8694,79,8776,..,2128,194,2320,18,2335,..,1510,331,1843,10,1855,..,834,108,944,9,950,..,8198,2808,11006,64,11072,..,32691,6508,39196,890,40086,..,177790,29709,207503,2182,209684,..,3467,454,3922,86119,90039,1147060,181259,30167,211427,88298,1446788,1187391,..,..,..,..,1187391,..,4218,57,4270,33,4301,..,4240,1219,5458,57,5513,..,369,10,385,10,394,..,9386,2750,12133,60,12197,..,26538,8313,34855,181,35032,..,1488,581,2068,15,2083,..,37409,11648,49050,253,49309,..,1561,217,1777,20,1799,..,2606,53,2659,25,2683,..,4659,240,4899,43,4944,..,5676,176,5850,60,5914,..,4224,501,4727,52,4779,..,1249,168,1422,3,1425,..,7518,443,7966,75,8039,..,5543,818,6365,78,6443,..,2243,145,2390,13,2405,..,1664,239,1899,14,1915,..,5054,472,5526,43,5563,..,23273,2285,25564,227,25790,..,5893,662,6555,92,6647,..,6307,1288,7595,48,7639,..,5971,2745,8710
RA31,16,182,0,185,..,2265,108,2369,26,2400,..,535,27,569,0,566,..,275,90,362,0,361,..,227,32,258,3,262,..,106,14,117,0,120,..,344,204,544,3,551,..,3952,933,4883,111,4997,..,17921,2822,20746,296,21042,..,1236,84,1319,35804,37121,408223,19156,2906,22063,36095,466384,419858,..,..,..,..,419858,..,1192,18,1208,12,1221,..,479,146,626,7,635,..,248,8,261,7,266,..,340,121,462,5,470,..,1181,580,1762,22,1789,..,76,50,123,0,121,..,1598,754,2352,33,2383,..,118,9,129,0,134,..,652,22,678,5,678,..,625,33,657,9,664,..,1393,45,1435,19,1455,..,177,15,188,7,199,..,210,26,230,3,238,..,482,23,501,3,503,..,405,63,465,10,469,..,290,21,312,3,314,..,134,13,149,0,152,..,550,65,623,3,626,..,2070,212,2278,18,2302,..,648,61,714,8,726,..,387,91,477,8,482,..,267,141,408
RA32,6,115,4,126,..,1745,78,1820,18,1837,..,518,58,572,13,579,..,196,23,216,3,224,..,275,50,321,4,327,..,45,6,56,0,56,..,351,124,470,6,477,..,4654,997,5645,155,5800,..,20082,3340,23426,418,23845,..,968,84,1055,32257,33313,279685,21051,3428,24479,32676,336841,274999,..,..,..,..,274999,..,678,8,682,0,688,..,157,35,193,0,193,..,1142,75,1216,77,1290,..,441,132,579,3,576,..,1052,428,1476,13,1489,..,52,24,74,0,82,..,1545,589,2129,19,2148,..,136,18,149,4,153,..,436,19,457,3,460,..,617,50,663,3,666,..,1296,45,1342,11,1348,..,352,58,408,7,415,..,84,6,90,0,90,..,355,19,378,0,381,..,780,160,938,14,955,..,186,9,200,4,202,..,97,9,105,0,110,..,438,286,722,0,722,..,1940,492,2431,21,2454,..,2212,351,2563,49,2611,..,1470,338,1805,11,1813,..,528,307,838
RA33,3,16,0,16,..,249,11,258,3,259,..,46,3,49,0,49,..,22,0,22,0,22,..,19,0,19,0,19,..,4,0,4,0,4,..,15,0,15,0,15,..,467,73,540,22,563,..,2155,212,2368,69,2444,..,123,16,135,4765,4901,30544,2277,229,2509,4839,37888,27426,..,..,..,..,27426,..,102,0,107,0,111,..,0,0,0,0,0,..,572,22,599,31,633,..,12,6,21,0,21,..,45,36,82,0,83,..,3,4,5,0,5,..,61,49,111,0,109,..,11,0,11,0,11,..,14,0,14,0,14,..,47,10,49,0,49,..,70,0,66,0,70,..,15,0,15,0,15,..,4,0,3,0,3,..,47,3,47,0,47,..,19,3,24,0,24,..,17,3,25,0,25,..,10,0,14,0,14,..,28,3,30,0,30,..,123,17,138,0,138,..,106,18,118,3,121,..,33,16,47,0,47,..,18,8,25
RA34,0,7,0,7,..,64,3,65,0,65,..,18,0,18,0,18,..,8,0,8,0,8,..,8,3,10,0,10,..,0,0,0,0,0,..,41,16,62,0,62,..,807,187,999,31,1029,..,4650,775,5424,219,5640,..,98,48,146,2301,2445,18897,4753,821,5566,2515,26985,17751,..,..,..,..,17751,..,22,0,22,0,22,..,9,0,9,0,9,..,3687,446,4131,175,4310,..,4,3,6,0,10,..,21,7,22,0,25,..,0,0,0,0,0,..,24,8,32,3,38,..,3,0,3,0,3,..,22,0,22,0,22,..,11,0,11,0,11,..,38,0,38,0,38,..,4,0,4,0,4,..,0,0,0,0,0,..,23,0,23,0,23,..,10,0,10,0,10,..,3,0,3,0,3,..,10,0,10,0,10,..,4,0,10,0,10,..,47,0,51,0,51,..,14,0,14,0,11,..,11,0,11,0,10,..,8,3,7
RA35,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,6,6,56,7,0,7,6,66,56,..,..,..,..,56,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0
RA39,0,3,0,11,..,15,0,19,0,24,..,28,3,30,0,30,..,0,0,0,0,0,..,3,0,5,0,5,..,0,0,0,0,0,..,4,3,13,0,13,..,117,15,131,9,136,..,512,115,619,16,636,..,20,6,29,1515,1542,4759,530,118,650,1532,6937,3934,..,..,..,..,3934,..,4,0,4,0,4,..,7,0,6,0,6,..,11,0,11,0,11,..,20,4,26,0,24,..,78,50,129,0,131,..,3,7,10,0,10,..,101,59,163,3,161,..,0,0,0,0,0,..,27,0,26,0,26,..,46,7,56,0,56,..,37,3,39,0,40,..,3,0,4,0,4,..,0,0,0,0,0,..,10,0,11,0,11,..,6,0,6,0,6,..,7,0,7,0,7,..,0,0,0,0,0,..,4,0,4,0,4,..,25,0,29,0,29,..,21,3,27,0,27,..,11,5,12,0,19,..,10,13,25
RA40,37,685,5,691,..,4209,217,4425,38,4467,..,2295,226,2515,32,2544,..,1205,144,1347,12,1354,..,417,99,521,7,523,..,259,24,289,3,291,..,6295,2217,8511,62,8571,..,17066,4954,22016,484,22498,..,100692,19317,120011,1356,121367,..,1601,291,1892,28433,30326,449762,102289,19615,121905,29792,601460,468399,..,..,..,..,468399,..,840,16,855,8,858,..,3281,964,4245,39,4287,..,342,18,363,12,372,..,3653,1133,4790,30,4827,..,11504,3288,14789,74,14863,..,793,293,1093,3,1097,..,15957,4719,20672,111,20783,..,1221,193,1416,23,1433,..,1071,16,1091,13,1101,..,1173,62,1236,12,1252,..,2706,95,2799,27,2827,..,9042,1836,10877,116,10998,..,988,111,1093,8,1101,..,3085,249,3330,24,3349,..,3332,510,3845,40,3879,..,1142,81,1221,7,1226,..,1108,159,1265,11,1282,..,3757,1153,4909,36,4943,..,13399,2265,15660,121,15781,..,11864,2409,14276,183,14461,..,985,129,1111,9,1117,..,1390,454,1841
RA41,9,39,0,39,..,351,22,376,3,379,..,56,6,66,0,62,..,13,9,17,0,17,..,23,5,37,0,37,..,21,5,26,0,26,..,188,123,307,0,314,..,636,217,852,19,869,..,3675,752,4426,68,4495,..,265,21,282,6050,6338,95027,3938,773,4714,6118,105861,97820,..,..,..,..,97820,..,125,3,127,0,127,..,53,5,60,0,66,..,87,0,87,0,87,..,42,9,56,0,53,..,194,174,371,7,376,..,15,20,36,0,37,..,253,204,453,6,460,..,47,4,50,0,49,..,202,0,206,0,203,..,123,6,130,0,132,..,474,11,489,8,496,..,157,26,184,4,188,..,19,0,19,0,24,..,47,6,53,0,54,..,59,13,71,0,69,..,24,3,28,0,28,..,26,3,33,0,33,..,18,4,16,0,16,..,192,32,216,5,220,..,415,54,473,3,474,..,89,6,99,3,104,..,18,6,31
RA42,3,30,0,30,..,359,19,380,8,383,..,46,6,50,6,49,..,56,11,65,0,65,..,26,4,33,0,34,..,36,3,37,3,37,..,61,32,87,3,95,..,575,297,880,25,898,..,3452,670,4122,82,4201,..,261,20,275,6832,7106,76187,3705,692,4393,6914,87501,75100,..,..,..,..,75100,..,152,0,155,0,155,..,20,11,29,3,30,..,190,7,197,4,202,..,36,11,54,0,53,..,132,93,225,7,228,..,12,4,20,0,20,..,184,112,293,4,298,..,60,8,67,0,67,..,79,3,85,0,85,..,43,0,44,0,44,..,184,10,193,0,193,..,419,110,528,10,539,..,27,4,37,0,37,..,66,3,69,0,69,..,223,69,289,4,293,..,18,0,21,0,21,..,24,3,32,0,32,..,24,6,28,0,28,..,381,82,468,4,474,..,344,53,400,7,407,..,24,5,30,0,30,..,19,13,27
RA43,0,3,0,3,..,71,0,72,0,72,..,25,0,30,0,30,..,4,0,4,0,4,..,8,0,8,0,8,..,0,0,3,0,3,..,5,3,10,0,10,..,89,21,107,3,114,..,573,57,630,13,640,..,57,11,65,1906,1965,19749,626,61,691,1916,22353,18757,..,..,..,..,18757,..,41,0,41,0,41,..,0,3,0,0,0,..,13,0,13,0,10,..,5,3,7,0,7,..,30,12,39,0,39,..,0,0,0,0,0,..,31,13,49,0,49,..,26,8,30,0,30,..,17,0,17,0,17,..,27,3,29,0,29,..,47,0,52,0,51,..,22,6,27,0,27,..,0,0,0,0,0,..,3,0,3,0,3,..,19,0,19,0,19,..,6,3,8,0,8,..,0,0,0,0,0,..,8,0,8,0,12,..,39,4,46,0,43,..,37,3,40,0,40,..,6,0,6,0,6,..,0,0,5
RA44,0,0,0,0,..,18,3,14,0,14,..,4,0,4,0,4,..,8,0,8,0,8,..,3,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,65,7,72,0,75,..,1196,220,1415,20,1435,..,36,10,45,860,906,4745,1233,231,1462,886,7091,4041,..,..,..,..,4041,..,3,0,3,0,3,..,0,0,0,0,0,..,893,160,1048,33,1078,..,0,0,0,0,0,..,6,0,8,0,8,..,0,0,0,0,0,..,5,0,9,0,9,..,13,4,18,0,18,..,0,0,0,0,0,..,6,0,7,0,7,..,27,0,27,0,27,..,38,10,44,0,44,..,6,0,6,0,6,..,3,0,3,0,3,..,9,0,9,0,9,..,21,0,25,0,25,..,6,0,6,0,6,..,0,0,0,0,0,..,41,3,48,0,48,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3
RA45,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,4,4,0,4,0,6,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
RA49,0,3,0,3,..,4,0,6,0,6,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,3,10,0,14,..,31,9,39,3,40,..,142,39,187,12,196,..,22,0,22,351,375,1167,169,39,208,364,1734,769,..,..,..,..,769,..,0,0,0,0,0,..,3,0,3,0,3,..,13,0,13,0,12,..,0,0,5,0,5,..,8,14,20,0,20,..,0,3,0,0,0,..,11,19,33,0,33,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,11,0,11,0,11,..,6,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,4,0,4,..,0,0,0,0,0,..,0,3,6,0,6,..,0,0,0,0,0,..,11,3,13,0,13,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3
RA50,168,2764,19,2785,..,15584,791,16377,138,16511,..,4166,391,4552,36,4584,..,3095,296,3390,34,3425,..,1381,214,1600,25,1625,..,728,138,867,10,872,..,6630,2377,9011,70,9084,..,30628,6015,36644,752,37396,..,161730,24669,186396,2010,188409,..,2501,378,2878,58975,61856,698216,164233,25044,189276,60984,948475,709595,..,..,..,..,709595,..,5622,82,5703,36,5742,..,5111,1296,6409,74,6480,..,352,12,362,13,377,..,7795,2205,10003,45,10047,..,18335,5867,24197,136,24336,..,1787,412,2202,10,2220,..,27921,8482,36406,194,36598,..,2415,347,2753,19,2778,..,2260,60,2312,28,2344,..,4247,169,4410,48,4463,..,3825,119,3946,44,3984,..,2052,256,2307,28,2336,..,1303,167,1466,10,1484,..,4308,408,4717,23,4744,..,4449,662,5112,47,5159,..,2133,147,2277,11,2290,..,1814,277,2095,24,2122,..,4911,600,5511,39,5551,..,18920,2271,21186,153,21342,..,11977,1764,13745,204,13945,..,2688,489,3175,18,3199,..,2274,1046,3323
RA51,7,112,0,112,..,915,40,954,5,961,..,157,9,165,6,171,..,46,0,46,0,46,..,57,13,63,0,63,..,7,3,9,0,9,..,74,37,113,0,109,..,814,161,977,32,1012,..,5290,676,5967,95,6062,..,331,26,349,11442,11795,91483,5618,703,6319,11534,109338,92932,..,..,..,..,92932,..,555,6,558,3,559,..,65,20,85,0,85,..,52,0,52,0,52,..,74,26,96,0,96,..,290,141,436,0,436,..,19,7,23,0,23,..,386,171,559,0,563,..,36,6,42,0,42,..,241,11,246,3,249,..,214,4,217,4,219,..,391,9,397,0,401,..,54,6,59,3,65,..,26,4,30,0,30,..,51,6,56,0,56,..,74,14,96,0,96,..,43,3,49,0,49,..,37,4,40,0,40,..,69,10,79,3,84,..,298,49,353,3,350,..,697,98,789,15,810,..,114,18,130,0,138,..,77,41,110
RA52,56,323,3,329,..,1168,109,1276,13,1283,..,91,8,97,0,98,..,55,3,57,0,61,..,77,6,86,0,89,..,15,0,15,0,15,..,83,31,109,3,113,..,1027,293,1322,40,1364,..,5160,711,5868,94,5967,..,259,20,282,8670,8956,77727,5419,730,6150,8767,92652,76614,..,..,..,..,76614,..,571,13,580,3,585,..,29,8,41,0,41,..,173,8,186,0,185,..,55,15,63,0,63,..,204,122,327,4,336,..,8,3,14,0,14,..,266,142,408,4,410,..,44,0,43,0,43,..,158,9,160,3,165,..,136,8,141,0,141,..,316,8,321,8,327,..,17,0,19,0,22,..,26,0,24,0,25,..,91,11,107,0,108,..,60,10,75,0,76,..,38,0,38,0,38,..,35,9,46,0,46,..,63,6,68,0,67,..,316,40,352,3,359,..,364,42,410,6,416,..,48,3,54,0,54,..,11,3,15
RA53,13,180,3,179,..,786,46,832,12,837,..,51,6,57,0,57,..,30,3,35,0,35,..,69,11,79,0,78,..,10,0,10,0,10,..,32,3,34,0,38,..,494,63,551,14,569,..,3098,262,3362,68,3432,..,146,34,177,5525,5701,34799,3248,292,3536,5593,43934,31535,..,..,..,..,31535,..,204,3,212,3,216,..,21,4,24,0,24,..,418,14,431,26,458,..,37,10,44,0,45,..,143,41,184,0,187,..,3,0,4,0,4,..,177,54,233,3,237,..,18,0,21,0,21,..,49,0,50,0,55,..,90,8,96,0,100,..,157,3,165,4,165,..,18,3,17,0,17,..,21,10,29,0,29,..,55,9,63,3,64,..,15,5,22,0,22,..,37,8,39,0,39,..,28,4,32,0,32,..,61,9,64,3,73,..,220,41,254,6,262,..,75,9,87,0,87,..,38,6,43,0,42,..,34,9,38
RA54,4,52,0,52,..,504,19,523,3,526,..,82,4,82,0,82,..,48,0,48,0,48,..,35,3,36,0,37,..,4,0,4,0,4,..,107,63,167,0,167,..,634,66,700,17,719,..,5986,673,6660,220,6883,..,160,18,178,6793,6973,26234,6145,690,6840,7012,40080,17777,..,..,..,..,17777,..,62,0,61,0,61,..,7,3,11,0,11,..,3596,399,3998,190,4190,..,34,0,34,0,35,..,102,34,136,0,137,..,7,0,11,0,11,..,137,37,175,0,178,..,23,3,24,4,29,..,44,3,40,0,40,..,53,3,51,0,57,..,103,4,103,6,105,..,15,0,15,0,17,..,0,0,0,0,0,..,20,0,22,0,22,..,9,0,12,0,12,..,18,0,18,0,18,..,3,0,3,0,3,..,13,0,17,0,17,..,71,4,75,0,75,..,41,5,47,6,49,..,21,6,31,0,31,..,19,3,22
RA55,0,0,0,0,..,12,3,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,8,0,8,0,8,..,48,3,51,0,51,..,0,0,0,64,64,288,50,3,55,64,408,14,..,..,..,..,14,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
RA59,0,4,0,4,..,19,4,24,0,24,..,12,0,10,0,10,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,5,3,8,0,8,..,57,9,65,4,63,..,251,54,300,9,305,..,19,3,16,951,970,2258,263,55,319,958,3532,1559,..,..,..,..,1559,..,3,0,3,0,3,..,4,0,4,0,4,..,11,0,11,0,14,..,8,5,11,0,11,..,29,16,48,4,47,..,6,0,6,0,6,..,42,21,61,4,62,..,0,0,0,0,0,..,7,4,15,0,15,..,22,3,21,0,21,..,26,0,26,0,26,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,14,0,14,0,14,..,10,3,12,0,12,..,7,3,3,0,3,..,4,0,3
