RA_CODE_2016,A0_14_SEO_B00,A0_14_SEO_00_05,A0_14_SEO_06_10,A0_14_SEO_11,A0_14_SEO_12,A0_14_SEO_13,A0_14_SEO_14,A0_14_SEO_15,A0_14_SEO_16,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_SOLSE_VWW_B00,A0_14_SOLSE_VWW_00_05,A0_14_SOLSE_VWW_06_10,A0_14_SOLSE_VWW_11,A0_14_SOLSE_VWW_12,A0_14_SOLSE_VWW_13,A0_14_SOLSE_VWW_14,A0_14_SOLSE_VWW_15,A0_14_SOLSE_VWW_16,A0_14_SOLSE_VWW_YNS,A0_14_SOLSE_VWW_T,A0_14_SOLSE_NWNAA_B00,A0_14_SOLSE_NWNAA_00_05,A0_14_SOLSE_NWNAA_06_10,A0_14_SOLSE_NWNAA_11,A0_14_SOLSE_NWNAA_12,A0_14_SOLSE_NWNAA_13,A0_14_SOLSE_NWNAA_14,A0_14_SOLSE_NWNAA_15,A0_14_SOLSE_NWNAA_16,A0_14_SOLSE_NWNAA_YNS,A0_14_SOLSE_NWNAA_T,A0_14_SOLSE_PinE_NS_B00,A0_14_SOLSE_PinE_NS_00_05,A0_14_SOLSE_PinE_NS_06_10,A0_14_SOLSE_PinE_NS_11,A0_14_SOLSE_PinE_NS_12,A0_14_SOLSE_PinE_NS_13,A0_14_SOLSE_PinE_NS_14,A0_14_SOLSE_PinE_NS_15,A0_14_SOLSE_PinE_NS_16,A0_14_SOLSE_PinE_NS_YNS,A0_14_SOLSE_PinE_NS_T,A0_14_SOLSE_T_B00,A0_14_SOLSE_T_00_05,A0_14_SOLSE_T_06_10,A0_14_SOLSE_T_11,A0_14_SOLSE_T_12,A0_14_SOLSE_T_13,A0_14_SOLSE_T_14,A0_14_SOLSE_T_15,A0_14_SOLSE_T_16,A0_14_SOLSE_T_YNS,A0_14_SOLSE_T_T,A0_14_L_PinE_NS_B00,A0_14_L_PinE_NS_00_05,A0_14_L_PinE_NS_06_10,A0_14_L_PinE_NS_11,A0_14_L_PinE_NS_12,A0_14_L_PinE_NS_13,A0_14_L_PinE_NS_14,A0_14_L_PinE_NS_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B00,A0_14_T_00_05,A0_14_T_06_10,A0_14_T_11,A0_14_T_12,A0_14_T_13,A0_14_T_14,A0_14_T_15,A0_14_T_16,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B00,A15_24_SEO_00_05,A15_24_SEO_06_10,A15_24_SEO_11,A15_24_SEO_12,A15_24_SEO_13,A15_24_SEO_14,A15_24_SEO_15,A15_24_SEO_16,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_SOLSE_VWW_B00,A15_24_SOLSE_VWW_00_05,A15_24_SOLSE_VWW_06_10,A15_24_SOLSE_VWW_11,A15_24_SOLSE_VWW_12,A15_24_SOLSE_VWW_13,A15_24_SOLSE_VWW_14,A15_24_SOLSE_VWW_15,A15_24_SOLSE_VWW_16,A15_24_SOLSE_VWW_YNS,A15_24_SOLSE_VWW_T,A15_24_SOLSE_NWNAA_B00,A15_24_SOLSE_NWNAA_00_05,A15_24_SOLSE_NWNAA_06_10,A15_24_SOLSE_NWNAA_11,A15_24_SOLSE_NWNAA_12,A15_24_SOLSE_NWNAA_13,A15_24_SOLSE_NWNAA_14,A15_24_SOLSE_NWNAA_15,A15_24_SOLSE_NWNAA_16,A15_24_SOLSE_NWNAA_YNS,A15_24_SOLSE_NWNAA_T,A15_24_SOLSE_PinE_NS_B00,A15_24_SOLSE_PinE_NS_00_05,A15_24_SOLSE_PinE_NS_06_10,A15_24_SOLSE_PinE_NS_11,A15_24_SOLSE_PinE_NS_12,A15_24_SOLSE_PinE_NS_13,A15_24_SOLSE_PinE_NS_14,A15_24_SOLSE_PinE_NS_15,A15_24_SOLSE_PinE_NS_16,A15_24_SOLSE_PinE_NS_YNS,A15_24_SOLSE_PinE_NS_T,A15_24_SOLSE_T_B00,A15_24_SOLSE_T_00_05,A15_24_SOLSE_T_06_10,A15_24_SOLSE_T_11,A15_24_SOLSE_T_12,A15_24_SOLSE_T_13,A15_24_SOLSE_T_14,A15_24_SOLSE_T_15,A15_24_SOLSE_T_16,A15_24_SOLSE_T_YNS,A15_24_SOLSE_T_T,A15_24_L_PinE_NS_B00,A15_24_L_PinE_NS_00_05,A15_24_L_PinE_NS_06_10,A15_24_L_PinE_NS_11,A15_24_L_PinE_NS_12,A15_24_L_PinE_NS_13,A15_24_L_PinE_NS_14,A15_24_L_PinE_NS_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B00,A15_24_T_00_05,A15_24_T_06_10,A15_24_T_11,A15_24_T_12,A15_24_T_13,A15_24_T_14,A15_24_T_15,A15_24_T_16,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B00,A25_34_SEO_00_05,A25_34_SEO_06_10,A25_34_SEO_11,A25_34_SEO_12,A25_34_SEO_13,A25_34_SEO_14,A25_34_SEO_15,A25_34_SEO_16,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_SOLSE_VWW_B00,A25_34_SOLSE_VWW_00_05,A25_34_SOLSE_VWW_06_10,A25_34_SOLSE_VWW_11,A25_34_SOLSE_VWW_12,A25_34_SOLSE_VWW_13,A25_34_SOLSE_VWW_14,A25_34_SOLSE_VWW_15,A25_34_SOLSE_VWW_16,A25_34_SOLSE_VWW_YNS,A25_34_SOLSE_VWW_T,A25_34_SOLSE_NWNAA_B00,A25_34_SOLSE_NWNAA_00_05,A25_34_SOLSE_NWNAA_06_10,A25_34_SOLSE_NWNAA_11,A25_34_SOLSE_NWNAA_12,A25_34_SOLSE_NWNAA_13,A25_34_SOLSE_NWNAA_14,A25_34_SOLSE_NWNAA_15,A25_34_SOLSE_NWNAA_16,A25_34_SOLSE_NWNAA_YNS,A25_34_SOLSE_NWNAA_T,A25_34_SOLSE_PinE_NS_B00,A25_34_SOLSE_PinE_NS_00_05,A25_34_SOLSE_PinE_NS_06_10,A25_34_SOLSE_PinE_NS_11,A25_34_SOLSE_PinE_NS_12,A25_34_SOLSE_PinE_NS_13,A25_34_SOLSE_PinE_NS_14,A25_34_SOLSE_PinE_NS_15,A25_34_SOLSE_PinE_NS_16,A25_34_SOLSE_PinE_NS_YNS,A25_34_SOLSE_PinE_NS_T,A25_34_SOLSE_T_B00,A25_34_SOLSE_T_00_05
RA23,..,0,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,3,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA25,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,..,0,3,5,0,3,0,0,13,0,20,..,0,10,3,0,0,0,0,3,5,29,..,0,0,0,0,0,3,0,29,7,42,..,0,0,0,0,0,0,0,0,3,3,..,0,10,3,0,0,4,3,36,13,69,..,0,0,0,0,0,0,0,0,0,0,..,0,14,8,0,7,5,3,48,11,94,4,18,8,0,4,7,9,28,31,9,104,0,11,19,3,21,21,23,37,76,22,234,0,0,0,0,0,3,8,15,19,12,66,0,0,0,0,0,0,0,0,0,3,3,0,11,16,9,21,28,33,52,94,36,305,0,3,0,0,0,0,0,3,0,7,22,8,33,24,7,20,32,37,80,122,55,430,21,10,23,5,8,10,11,40,50,17,194,20,28,53,10,14,11,30,58,71,24,319,3,0,3,0,0,0,12,24,27,10,85,0,0,0,0,0,0,0,0,0,0,0,26,30
RA30,..,2965,12366,3241,3527,2996,2465,2329,1192,1581,32670,..,1085,6783,2059,2341,2492,2298,1866,892,871,20693,..,17,101,63,164,378,574,1048,1221,467,4033,..,7,40,16,19,19,29,37,34,35,242,..,1108,6920,2137,2531,2891,2896,2952,2153,1373,24972,..,3,33,7,10,10,12,21,26,74,199,..,4079,19326,5387,6067,5901,5378,5300,3371,3031,57839,6547,12429,11618,1773,1815,1605,1589,1790,1461,1458,42092,2562,5832,9420,2177,2887,4003,5088,6009,4571,1874,44416,26,133,170,115,180,422,659,1074,1244,801,4830,22,47,41,16,16,21,16,35,31,40,297,2614,6007,9637,2311,3081,4445,5767,7125,5842,2716,49539,12,15,26,8,4,5,8,9,14,188,285,9164,18447,21281,4086,4906,6055,7363,8922,7316,4359,91916,16823,7917,13037,3457,3450,2897,2565,2424,1448,1659,55675,8525,8903,24590,4338,5257,6264,6777,6423,3626,1913,76623,100,414,1597,481,730,1107,1062,1346,1078,903,8818,46,59,173,17,21,45,36,48,14,28,489,8671,9372
RA31,..,485,1635,444,442,398,295,216,113,191,4218,..,104,972,265,354,406,374,334,145,113,3070,..,4,10,7,15,30,82,143,128,49,462,..,0,5,0,0,0,3,4,7,0,26,..,104,989,270,370,432,463,482,284,160,3562,..,0,3,0,5,0,4,0,7,6,28,..,586,2631,718,817,835,763,700,406,360,7806,626,1390,1324,187,208,185,131,189,131,169,4547,88,405,1006,260,279,319,327,402,328,162,3560,0,3,24,11,25,26,37,102,117,101,442,0,3,6,0,5,3,0,0,3,4,29,87,404,1031,268,312,350,362,504,446,273,4031,3,0,0,0,0,0,0,0,3,60,64,716,1800,2358,455,516,527,495,693,581,500,8642,1902,801,1360,324,359,261,219,236,105,235,5797,351,503,2214,419,576,643,619,639,390,214,6567,8,41,183,31,118,109,119,273,140,168,1202,3,7,18,4,7,3,4,10,7,11,58,359,549
RA32,..,330,1189,353,353,299,254,205,142,210,3327,..,98,787,243,270,290,221,270,105,85,2373,..,0,14,10,20,49,67,125,87,89,473,..,0,7,0,0,0,0,8,0,4,22,..,99,813,250,290,344,288,399,195,183,2862,..,0,5,0,0,0,0,3,9,8,28,..,431,2010,602,638,642,541,607,344,399,6216,580,962,956,170,188,158,179,235,223,179,3824,164,460,1030,219,217,265,352,387,284,201,3589,5,19,13,6,22,41,45,111,98,139,496,0,4,6,0,3,0,4,3,3,0,31,169,482,1050,233,244,311,400,499,385,344,4111,0,3,0,0,3,0,0,3,4,22,41,755,1451,2013,402,434,463,573,736,609,540,7977,1714,754,1504,429,396,357,331,321,196,242,6250,519,519,2361,471,607,643,638,658,328,284,7033,15,50,164,57,82,115,155,259,132,223,1242,7,5,15,5,9,8,11,3,3,13,72,542,576
RA33,..,11,103,36,48,19,21,15,19,28,307,..,3,40,18,40,27,24,11,8,16,177,..,0,0,0,3,0,0,9,9,0,20,..,0,0,0,0,0,0,0,0,0,0,..,3,40,18,43,27,20,12,10,19,201,..,0,0,0,0,0,0,0,0,0,0,..,13,148,53,91,43,45,32,31,44,506,32,66,56,20,28,29,33,40,37,16,366,3,18,51,23,18,21,31,28,19,31,248,0,0,0,0,0,3,3,10,3,23,33,0,0,0,0,0,0,0,0,0,0,3,3,17,51,23,18,24,30,37,23,50,282,0,3,0,0,0,0,0,0,0,0,3,40,87,112,37,47,54,65,78,62,70,650,163,69,189,77,71,56,39,44,24,31,768,32,39,197,68,68,63,69,69,41,31,664,3,0,8,0,0,4,4,19,3,29,80,0,0,0,0,3,0,0,0,0,0,5,34,42
RA34,..,4,21,14,4,3,8,4,3,11,68,..,0,17,7,11,5,16,9,3,5,77,..,0,0,0,0,3,5,3,0,6,13,..,0,0,0,0,0,0,0,0,0,0,..,0,17,7,11,7,19,8,9,13,94,..,0,0,0,0,0,0,0,0,3,3,..,4,45,23,15,10,26,13,10,19,168,20,15,19,5,3,4,12,18,9,13,112,9,3,21,3,9,5,14,22,13,9,90,0,0,0,0,0,0,12,9,5,0,23,0,0,0,0,0,0,0,0,0,0,0,6,3,21,3,9,6,26,24,19,9,123,0,0,0,0,0,0,4,0,0,0,4,27,16,36,11,10,8,34,43,27,25,241,79,27,59,34,23,31,19,34,6,18,322,18,13,72,20,26,23,38,32,17,11,265,0,0,6,0,0,4,6,6,3,0,25,0,0,0,0,0,0,0,0,0,0,7,21,13
RA35,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,..,3,3,0,0,5,0,0,12,8,36,..,0,3,0,3,3,0,4,4,0,22,..,0,0,0,0,0,0,0,5,5,8,..,0,0,0,0,0,0,0,4,0,4,..,0,3,0,3,3,0,5,17,5,35,..,0,0,0,0,0,0,0,0,0,0,..,3,6,0,3,16,3,5,28,15,72,11,25,7,0,0,3,16,78,120,24,283,0,4,11,0,3,10,24,74,72,25,221,0,0,0,0,0,0,3,5,23,10,51,0,0,0,0,0,0,0,0,0,0,3,0,3,8,0,3,13,29,82,93,41,272,0,0,0,0,0,0,0,0,3,9,14,13,26,20,0,9,16,49,161,217,71,571,42,15,31,10,8,9,9,83,95,18,318,10,15,31,11,11,18,61,97,114,31,400,0,3,3,3,0,3,26,44,16,25,115,0,0,0,0,0,0,0,0,0,0,4,10,20
RA40,..,719,2720,606,815,618,608,554,298,239,7184,..,419,3632,1083,1181,1456,1207,1213,541,351,11089,..,7,43,30,89,249,360,654,940,222,2595,..,3,20,8,8,14,9,24,12,9,103,..,433,3700,1119,1278,1718,1574,1889,1491,583,13793,..,8,9,0,0,0,3,7,12,15,57,..,1158,6427,1724,2091,2339,2190,2457,1798,847,21029,1372,2491,2701,356,321,255,289,328,335,285,8732,863,2478,5538,1288,1503,2031,2633,3183,1921,725,22158,9,47,134,70,129,316,505,720,625,300,2864,3,17,28,3,7,8,11,20,16,20,133,875,2543,5696,1360,1650,2364,3149,3923,2568,1046,25160,0,10,9,0,0,0,3,0,0,42,63,2249,5038,8412,1719,1966,2614,3433,4248,2903,1371,33959,4360,1268,2079,526,583,482,414,437,282,346,10782,3183,3798,12533,1963,2390,2719,2907,3220,1697,652,35063,32,187,887,257,442,514,503,589,441,189,4039,36,33,68,13,15,11,18,18,13,8,234,3254,4013
RA41,..,73,317,47,78,57,49,37,18,23,702,..,12,177,41,42,81,61,44,20,30,513,..,0,3,0,0,17,12,14,20,14,84,..,0,0,0,0,0,0,0,0,3,5,..,14,184,41,44,91,75,65,42,48,602,..,0,0,0,0,0,0,0,0,0,0,..,88,495,89,116,149,124,105,61,69,1306,139,233,260,25,34,12,11,23,19,29,792,23,44,185,30,30,58,50,44,22,28,523,0,0,11,5,0,11,14,34,18,22,112,0,0,3,0,0,0,0,0,0,0,4,23,47,198,39,32,66,64,80,39,48,638,0,0,0,0,0,0,0,0,0,7,9,163,285,465,69,62,83,81,98,57,85,1438,344,120,187,44,50,38,24,29,19,36,889,63,81,287,51,66,71,94,91,31,37,885,0,7,38,12,18,16,45,102,40,62,337,0,0,3,0,0,3,0,0,3,0,11,68,88
RA42,..,25,111,25,27,17,14,19,4,26,282,..,8,106,28,33,47,47,64,9,29,373,..,0,0,0,3,3,3,9,12,8,41,..,0,0,0,0,0,0,0,0,0,0,..,8,109,28,36,54,52,70,23,32,417,..,0,0,0,0,0,0,0,0,0,0,..,38,219,61,66,72,68,89,32,62,704,30,81,76,13,11,10,13,15,17,24,281,9,35,85,37,31,34,32,49,34,24,374,0,0,6,0,4,3,9,19,11,16,70,0,0,0,0,0,0,0,3,0,3,8,7,34,96,41,36,37,42,66,50,42,448,0,0,0,0,0,0,0,0,0,8,8,38,116,171,47,46,51,53,89,68,69,746,152,51,105,37,32,24,30,22,8,28,486,37,55,314,62,84,88,86,80,45,48,910,0,7,31,4,13,21,31,59,17,29,215,0,0,3,0,0,0,0,0,0,0,11,39,67
RA43,..,11,51,7,16,19,8,5,11,9,138,..,0,25,17,10,12,4,7,9,0,89,..,0,0,0,0,0,0,9,4,3,11,..,0,0,0,0,0,0,0,0,0,0,..,0,21,17,10,12,4,13,13,3,99,..,0,0,0,0,0,0,0,0,0,0,..,14,74,23,25,33,17,24,18,9,235,11,21,32,3,8,3,8,3,0,3,83,0,3,12,3,8,3,7,9,3,3,49,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,5,0,3,12,3,8,5,5,9,7,14,63,0,0,0,0,0,0,0,0,0,0,0,10,23,42,4,14,8,12,10,9,16,147,42,18,54,10,19,8,11,9,7,3,188,11,16,54,25,19,19,9,19,4,7,189,0,0,0,0,5,0,0,7,0,7,22,0,0,0,0,0,0,0,0,0,0,0,11,16
RA44,..,0,6,5,6,0,3,3,3,0,29,..,0,10,3,3,0,0,3,4,0,21,..,0,0,0,0,0,0,0,0,3,8,..,0,0,0,0,0,0,0,0,0,0,..,0,9,3,3,3,0,3,4,3,33,..,0,0,0,0,0,0,0,0,0,0,..,0,15,7,8,6,3,8,3,3,62,3,3,6,0,0,3,0,0,0,0,18,4,0,9,3,3,3,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,3,4,3,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,3,3,9,7,4,7,5,0,0,0,43,11,3,18,6,6,3,9,4,0,3,59,3,6,40,7,10,12,4,8,6,0,97,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,6
RA45,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,..,0,0,0,3,0,0,0,0,0,6,..,0,0,0,0,0,0,0,4,0,5,..,0,0,0,0,3,0,0,4,0,6,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,5,0,0,11,0,15,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,3,5,0,0,7,0,20,4,3,3,0,0,0,3,10,9,3,41,0,0,3,3,0,0,8,20,16,4,60,0,0,0,0,0,0,3,3,5,3,18,0,0,0,0,0,0,0,3,0,0,3,0,0,5,3,0,0,10,24,22,4,75,0,0,0,0,0,0,0,0,0,9,7,6,5,6,3,0,3,17,32,37,13,122,4,0,3,4,0,6,4,19,13,3,61,0,9,13,3,3,0,7,17,10,9,74,0,0,0,0,0,3,6,11,9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,9
RA50,..,2086,9893,3022,3647,2790,2161,1751,896,1035,27281,..,818,6927,2144,2876,2756,2287,1973,871,658,21317,..,12,74,56,142,300,512,904,829,355,3185,..,6,40,5,16,23,20,34,29,30,200,..,835,7044,2207,3037,3072,2824,2909,1723,1047,24699,..,3,14,0,7,10,9,16,19,46,114,..,2931,16947,5235,6691,5870,4998,4667,2638,2126,52097,4291,9109,10356,1722,1954,1408,1291,1234,833,995,33199,1622,4440,9721,2227,2672,2880,3352,4190,2827,1091,35025,13,78,139,80,142,274,451,702,592,351,2828,16,28,72,16,20,18,13,23,24,12,253,1653,4545,9930,2323,2838,3177,3817,4918,3436,1457,38103,5,12,12,3,3,3,11,0,6,123,174,5957,13661,20306,4044,4793,4588,5121,6157,4276,2573,71474,15218,5434,11512,4374,5047,3437,2412,1947,934,1284,51608,6695,8048,22334,4368,5504,5803,5638,5039,2826,1430,67683,74,362,1510,435,680,908,905,1071,667,505,7113,39,53,132,29,47,44,34,22,22,29,445,6806,8465
RA51,..,162,665,162,212,167,117,113,19,65,1683,..,22,244,80,78,130,97,82,20,29,773,..,0,4,0,5,10,9,20,26,7,83,..,0,0,0,0,0,0,4,3,0,4,..,24,251,78,80,141,103,105,47,34,864,..,0,0,0,0,0,3,0,0,3,11,..,187,911,245,290,305,226,217,67,103,2556,190,500,564,80,90,70,47,60,31,63,1684,19,92,300,55,63,55,53,83,45,46,815,0,0,3,3,9,11,4,30,22,32,111,0,0,0,0,0,0,3,0,3,0,10,19,94,308,54,71,61,63,115,70,81,938,0,0,0,0,0,0,0,0,0,101,101,215,594,872,136,162,133,112,169,103,242,2729,757,282,627,162,196,138,131,88,40,92,2502,96,122,520,132,164,210,224,185,102,88,1833,0,12,27,8,14,22,42,79,54,68,323,0,0,6,0,0,0,3,3,3,4,19,92,127
RA52,..,83,448,129,162,112,88,65,24,43,1154,..,23,299,119,118,129,66,96,38,40,929,..,0,10,0,0,19,11,20,22,23,105,..,0,0,0,0,0,0,3,0,3,10,..,20,314,119,120,141,83,117,62,63,1047,..,0,4,0,0,0,0,3,3,0,10,..,107,767,243,278,254,166,191,96,111,2215,141,246,321,89,94,45,53,50,35,58,1137,13,85,353,89,92,64,74,90,39,60,962,0,3,19,4,3,8,13,33,20,12,117,0,0,4,3,0,0,0,0,5,0,8,13,92,374,95,94,73,80,132,61,80,1092,0,0,0,0,0,0,0,0,0,17,18,153,332,697,186,182,119,139,178,101,148,2249,524,227,536,201,218,102,98,76,32,73,2095,96,105,532,159,179,183,153,155,77,62,1695,0,7,36,13,18,25,25,32,27,36,212,0,0,4,0,0,4,0,0,3,0,16,94,113
RA53,..,30,161,47,73,71,43,34,18,38,520,..,6,105,36,53,58,72,63,27,16,438,..,0,0,0,5,4,10,15,19,3,53,..,0,0,0,3,0,0,0,0,0,3,..,6,105,39,64,58,87,77,48,18,501,..,0,6,0,0,0,0,0,0,3,6,..,36,274,85,137,134,127,109,60,61,1035,51,76,148,35,35,35,47,43,20,37,530,10,33,134,27,32,47,49,74,55,29,488,0,0,0,0,0,3,3,6,9,6,33,0,0,0,0,0,0,0,0,0,0,8,10,33,138,27,36,50,53,83,57,36,522,0,0,0,0,0,4,0,0,0,0,9,58,110,290,61,71,84,104,125,85,68,1062,330,139,434,145,176,116,98,61,24,74,1604,66,83,374,104,115,120,127,127,72,51,1245,0,4,7,0,9,10,13,40,5,16,104,0,0,3,0,0,0,0,0,0,3,9,66,89
RA54,..,8,76,18,42,30,30,18,20,14,247,..,0,46,7,9,34,21,19,10,4,158,..,0,0,0,0,0,0,12,10,6,32,..,0,3,0,0,0,0,0,0,0,3,..,0,48,7,10,34,26,37,21,7,191,..,0,0,0,0,0,0,3,0,0,3,..,8,121,21,55,62,52,59,37,26,442,48,57,66,18,29,30,24,30,24,21,357,4,20,56,16,27,21,21,26,29,23,243,0,0,0,0,0,0,4,3,9,11,27,0,0,0,0,0,0,0,0,0,0,3,4,20,56,16,27,26,26,33,40,32,269,0,0,0,0,0,0,0,0,0,0,0,53,78,120,36,55,60,48,63,65,49,629,334,132,447,212,203,101,74,60,31,52,1645,91,88,294,86,112,91,82,86,49,38,1015,0,0,10,3,5,6,10,19,11,17,76,0,0,0,0,0,3,0,0,0,0,5,89,86
RA55,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,8,0,7,3,4,0,4,0,0,0,24,0,0,4,0,9,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,..,0,3,0,3,0,0,0,10,5,20,..,0,0,0,0,0,3,0,3,0,5,..,0,0,0,0,0,0,0,3,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,4,0,6,5,15,..,0,0,0,0,0,0,0,0,0,0,..,0,3,0,3,0,4,0,15,4,30,5,8,11,7,3,3,11,21,16,7,90,0,0,4,6,0,6,10,22,21,14,81,0,0,0,0,0,0,0,3,6,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,11,31,24,16,100,0,0,0,0,0,0,0,0,0,6,6,5,14,16,11,8,8,22,51,44,27,200,30,9,28,11,13,11,13,26,35,13,193,9,10,23,4,4,8,23,42,41,14,182,0,0,3,0,0,0,8,3,4,10,34,0,0,0,0,0,0,0,0,0,4,3,8,10
RA61,..,138,459,98,79,72,117,81,34,54,1137,..,51,284,102,99,197,143,104,54,46,1078,..,0,5,7,7,56,66,86,144,72,452,..,0,3,0,0,0,7,6,3,6,20,..,48,292,104,104,254,214,192,203,121,1545,..,0,0,0,0,0,0,0,0,0,7,..,189,751,212,184,326,335,274,247,174,2691,230,366,240,45,50,42,48,70,72,49,1221,75,235,480,148,186,292,362,459,401,105,2747,3,5,15,9,19,40,80,90,106,43,406,0,0,4,3,0,0,6,7,4,3,30,80,247,496,156,197,330,448,552,511,152,3179,0,0,0,0,0,0,0,0,0,11,13,314,616,739,203,247,379,498,624,585,212,4410,680,181,343,98,86,104,88,95,52,70,1796,213,350,1127,241,362,380,438,457,251,93,3919,3,8,78,33,47,72,95,91,72,47,544,3,0,0,0,0,0,0,3,0,3,18,221,358
