RA_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
RA23,13,0,0,0,13,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,36,13,3,0,46,0,0,0,46,6,0,58,11,3,0,0,14,0,0,0,14,0,0,14,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,28,0,0,0,28,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,28,0,0,0,28,0,0,28,5,3,0,0,5,0,0,3,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,0,34,0,0,3,36,3,0,37,16,0,0,0,17,0,0,0,17,0,0,17,7,4,0,3,13,0,0,0,13,0,0,20
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,13536,570,128,698,14230,2601,40,16868,80,12,0,49,145,3,0,3,149,14,219,378,59614,7524,1015,1072,69229,2012,385,2398,71625,5184,338,77142,13764,1531,143,101,15538,356,58,413,15949,857,20,16829,14548,1883,208,107,16749,340,54,396,17145,682,16,17851,387,76,104,8,569,6,3,9,583,35,0,618,164,35,4,186,384,20,0,16,407,30,11,449,28863,3517,460,405,33242,726,117,841,34083,1611,47,35742,527,90,3,20,631,117,4,128,755,71,0,827,694,131,13,29,860,76,28,102,962,61,0,1024,1216,213,21,45,1493,196,29,225,1720,128,0,1856,30077,3730,479,446,34740,924,144,1065,35803,1738,46,37595,6321,1001,163,197,7679,325,58,389,8063,1724,28,9820,44,7,0,38,96,6,0,6,96,12,108,214,36448,4738,645,682,42509,1254,206,1457,43966,3473,184,47625,19702,1980,263,135,22085,534,102,636,22720,1195,15,23933,18271,2503,313,148,21232,452,58,510,21744,935,19,22696
RA31,4359,282,46,325,4677,1249,17,5942,20,4,0,10,39,3,0,3,46,3,45,95,17873,2372,501,392,21135,767,131,894,22032,2277,96,24402,4094,421,67,32,4622,128,16,145,4768,269,4,5043,4774,667,112,38,5595,113,16,129,5722,318,9,6056,137,32,42,3,208,11,0,12,220,14,0,237,65,3,0,70,140,3,0,3,141,17,3,159,9065,1123,224,142,10561,256,33,288,10856,620,17,11492,143,19,5,3,173,58,3,62,236,41,0,271,199,39,7,8,248,40,12,50,303,23,0,327,338,55,17,8,421,98,19,115,540,65,0,598,9408,1181,240,154,10984,355,53,409,11391,683,17,12093,1912,363,68,54,2394,154,29,183,2575,816,4,3399,19,0,0,10,33,3,0,3,34,3,42,80,11338,1542,314,216,13409,510,86,596,14005,1501,63,15569,5605,527,99,52,6294,159,37,199,6487,362,0,6851,5726,819,128,70,6745,179,22,201,6946,394,3,7342
RA32,2539,173,27,206,2740,795,16,3554,24,3,0,3,30,0,0,0,33,7,54,97,12350,1615,342,302,14613,551,94,640,15252,1484,100,16830,3087,341,55,23,3509,82,5,85,3598,189,3,3791,3061,437,93,47,3635,80,5,88,3717,179,6,3904,93,14,30,0,139,0,0,5,146,15,0,155,45,3,5,58,109,0,0,7,114,7,3,126,6288,792,183,135,7392,159,17,182,7570,393,16,7976,94,19,3,9,120,39,3,45,160,27,0,192,119,21,0,9,152,21,5,26,175,18,0,193,209,37,5,12,267,62,11,66,339,44,0,389,6499,827,188,146,7659,223,24,245,7912,442,18,8366,1064,153,50,49,1309,92,18,117,1427,530,9,1970,17,0,0,7,23,0,0,0,23,5,38,64,7582,981,241,199,8995,317,47,360,9363,977,59,10401,4180,393,84,36,4700,125,19,142,4841,230,8,5079,3604,540,99,53,4297,95,18,114,4408,245,4,4661
RA33,314,18,3,18,332,81,0,420,4,0,0,0,4,0,0,0,8,3,10,18,1414,131,31,31,1604,49,6,53,1658,130,13,1805,244,15,0,3,272,6,0,6,275,13,0,291,277,38,3,9,324,4,0,4,320,11,0,338,7,0,3,0,17,0,0,0,17,0,0,13,3,0,0,8,10,0,0,0,10,0,0,7,533,55,7,13,612,8,0,8,616,33,0,653,18,0,0,0,15,14,0,14,26,0,0,27,12,0,0,0,20,6,0,8,22,0,0,27,26,0,3,0,31,16,0,15,50,3,0,52,561,58,12,14,645,22,0,25,670,36,0,702,110,13,0,8,126,8,0,13,146,58,0,200,0,0,0,0,0,0,0,0,3,3,0,4,672,73,11,22,780,31,7,41,816,89,3,911,310,20,5,4,336,5,0,5,347,13,0,356,273,37,9,9,320,4,0,4,326,9,0,335
RA34,255,37,8,41,293,148,9,443,7,0,0,10,8,0,0,0,8,0,17,28,870,149,25,44,1083,78,14,92,1170,249,25,1445,173,14,3,4,199,4,0,11,211,13,0,222,81,27,0,4,116,0,0,0,119,8,0,131,4,3,3,0,10,0,0,0,10,3,0,12,3,0,0,4,10,3,0,3,8,4,0,14,268,52,5,12,335,6,0,8,348,33,0,377,10,3,0,5,15,7,0,11,25,7,0,30,4,0,0,0,4,0,0,4,3,4,0,6,9,3,0,5,20,12,3,14,32,10,0,33,280,52,5,18,352,21,4,23,377,34,0,415,79,26,3,6,112,20,3,23,139,52,0,192,0,0,0,0,0,0,0,0,0,3,8,11,364,79,8,19,468,41,4,47,518,92,5,609,161,21,8,3,188,7,0,11,197,14,3,215,77,17,0,0,96,7,0,8,102,16,0,114
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,4686,275,66,344,5024,1431,14,6467,26,11,0,18,56,3,0,3,56,5,62,122,21053,3206,369,352,24977,936,189,1122,26095,2397,99,28589,4310,554,61,29,4955,128,25,153,5104,289,4,5398,6256,871,67,31,7228,135,33,172,7400,287,3,7689,161,20,46,3,227,4,0,4,228,15,0,247,50,3,0,54,111,0,3,8,118,13,0,135,10779,1454,171,115,12524,276,63,332,12857,610,10,13478,156,41,6,3,209,50,5,55,268,20,0,286,236,44,4,13,298,36,8,38,336,25,0,366,396,90,9,16,510,83,12,100,604,42,0,651,11173,1544,189,127,13029,362,72,434,13464,651,10,14122,2202,412,59,72,2740,147,46,195,2931,923,10,3862,14,3,0,10,28,3,0,3,29,0,36,65,13385,1962,242,204,15801,514,117,628,16427,1578,52,18052,6713,846,91,36,7690,215,37,250,7939,449,3,8391,8079,1257,141,70,9552,186,37,215,9767,446,4,10222
RA41,907,22,10,34,933,194,0,1134,4,5,0,0,10,0,0,0,10,0,15,25,4135,672,111,79,4996,106,19,124,5120,371,17,5513,884,98,14,6,994,13,6,21,1019,60,0,1080,1298,195,26,13,1529,17,3,19,1556,56,3,1613,33,5,13,0,57,0,3,3,60,0,0,63,17,0,5,18,41,0,0,0,42,7,0,45,2232,299,55,43,2626,34,13,51,2674,125,3,2802,27,7,0,0,30,5,0,5,39,3,0,43,28,3,3,0,37,0,0,0,39,7,0,40,58,11,3,0,70,8,0,8,78,8,0,88,2285,311,56,41,2696,45,13,58,2753,138,3,2891,400,89,14,7,514,12,4,16,530,128,0,660,6,7,0,0,10,0,0,0,10,0,7,22,2699,403,68,51,3219,58,17,70,3289,266,12,3567,1339,164,14,10,1522,31,6,36,1556,68,0,1629,1680,244,38,13,1978,35,3,40,2015,94,3,2112
RA42,593,44,10,47,642,209,3,850,3,3,0,0,14,0,0,0,10,0,6,22,3037,404,86,76,3599,105,16,127,3727,359,14,4101,645,56,11,8,718,8,0,12,727,41,0,767,979,114,20,10,1118,18,3,25,1140,47,0,1196,37,3,12,0,53,0,0,0,55,4,0,56,6,0,0,16,25,0,0,0,24,0,0,29,1666,177,46,34,1922,30,3,38,1952,90,0,2046,14,3,0,0,21,6,0,12,28,6,0,34,27,3,0,0,28,3,0,5,38,3,0,37,44,3,0,0,49,14,0,16,68,12,0,75,1708,178,46,34,1968,47,5,53,2018,104,0,2128,269,49,3,6,332,18,0,27,355,132,0,494,5,3,0,0,11,0,0,0,11,0,3,12,1981,232,47,43,2312,62,11,73,2382,234,7,2629,968,76,14,12,1072,19,5,29,1096,42,0,1145,1165,179,36,15,1391,29,8,33,1428,78,6,1507
RA43,127,5,0,5,133,24,0,161,3,0,0,0,3,0,0,0,3,0,8,6,839,102,27,14,982,17,4,20,1001,55,9,1067,176,25,3,0,201,8,0,8,202,7,0,213,291,44,0,7,342,5,0,5,343,15,0,362,5,0,3,0,14,0,0,0,14,0,0,14,7,0,0,12,11,0,0,0,11,0,0,17,480,69,10,17,564,11,0,11,575,22,0,599,4,3,3,0,6,4,0,4,11,0,0,13,10,0,0,0,13,0,0,0,14,0,0,14,12,4,3,0,16,4,0,4,17,0,0,24,490,69,7,17,581,10,0,9,595,25,3,625,46,12,3,0,61,0,0,0,62,13,0,84,0,0,0,0,0,0,0,0,0,0,0,0,538,80,17,17,644,13,0,12,658,41,4,703,236,25,7,3,267,0,0,0,269,17,0,285,313,45,5,0,367,5,3,3,376,18,0,393
RA44,28,3,3,5,38,39,0,75,0,0,0,0,0,0,0,0,0,0,21,21,163,41,4,3,218,27,4,31,248,58,21,321,41,6,0,0,51,6,0,6,50,6,0,61,42,12,0,3,63,3,0,3,66,6,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,5,0,0,3,92,23,0,4,115,9,0,10,121,14,0,139,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,3,3,0,0,3,93,23,0,4,116,8,3,12,129,14,0,139,3,4,4,0,13,3,0,4,15,13,0,26,0,0,0,0,0,0,0,0,0,0,5,5,93,26,3,6,129,9,3,11,142,27,5,173,44,9,0,0,49,0,0,0,50,3,0,59,29,11,0,0,39,0,0,0,45,7,0,46
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,10106,541,92,631,10732,1561,31,12320,49,4,0,34,91,0,0,3,94,23,111,228,37703,4586,869,687,43838,1800,266,2070,45913,2955,184,49055,7005,786,126,37,7947,338,45,387,8332,413,9,8761,10056,1244,182,94,11573,323,38,367,11940,382,4,12323,243,44,70,0,356,15,0,15,370,10,0,383,95,16,5,112,233,9,3,6,236,19,10,271,17394,2091,381,249,20113,686,85,774,20882,827,28,21740,359,36,8,4,409,94,10,100,504,30,0,535,600,93,20,16,731,77,17,99,823,42,0,864,960,126,31,18,1132,169,24,196,1330,67,3,1397,18351,2212,417,262,21248,855,108,970,22214,896,33,23141,4557,605,144,110,5418,300,49,352,5765,985,17,6771,37,3,0,26,64,3,0,3,73,10,62,143,22942,2821,566,406,26728,1158,164,1321,28051,1892,111,30056,10854,1232,191,68,12351,479,69,548,12900,677,3,13585,13202,1752,231,119,15308,512,71,582,15889,554,12,16460
RA51,1082,46,11,62,1141,178,3,1315,4,0,3,4,7,0,3,3,12,0,7,25,4337,529,184,91,5152,196,23,217,5368,330,22,5730,785,82,26,5,905,23,11,32,932,59,0,987,1266,190,37,13,1505,29,4,31,1536,66,0,1601,35,4,10,0,49,0,0,0,54,0,0,52,12,3,0,19,27,0,0,0,27,0,3,33,2091,280,78,34,2485,49,11,60,2547,121,3,2674,25,3,3,3,29,19,0,19,49,3,4,55,64,4,3,0,69,7,4,15,83,0,0,87,91,8,8,3,101,28,4,31,135,8,4,148,2183,286,84,37,2585,80,14,91,2683,129,6,2815,511,63,26,13,617,35,8,41,650,94,0,744,0,0,0,0,3,0,0,0,5,0,10,11,2696,350,109,51,3207,111,16,129,3337,226,10,3575,1149,136,32,13,1327,38,4,41,1365,68,4,1439,1604,242,54,18,1917,42,7,52,1962,82,0,2050
RA52,776,44,10,54,825,164,5,993,5,7,0,0,9,0,3,3,11,0,11,25,3504,455,123,91,4175,129,18,141,4320,321,18,4660,709,75,14,10,805,19,3,21,823,29,3,858,939,135,21,7,1104,18,6,23,1125,49,0,1174,25,4,13,0,45,0,0,0,49,3,0,51,14,7,0,22,39,0,0,0,39,5,0,49,1688,222,48,39,1993,41,6,47,2043,79,4,2127,14,0,0,4,21,11,0,11,29,5,0,32,29,3,0,0,33,3,0,9,39,8,0,42,41,0,0,3,53,11,0,18,65,10,0,78,1733,224,48,39,2046,54,9,66,2110,91,4,2202,323,64,19,15,423,12,0,12,432,118,0,557,0,0,0,0,0,0,0,0,5,0,12,18,2055,286,70,54,2467,69,8,73,2547,215,18,2778,989,102,22,12,1119,34,6,38,1155,47,3,1203,1093,167,41,12,1317,15,4,19,1337,67,0,1403
RA53,393,12,0,15,405,64,3,473,11,3,0,0,11,0,0,0,11,0,14,26,1866,173,56,46,2135,55,7,67,2202,108,20,2328,342,32,8,3,383,11,3,13,394,16,0,410,339,35,11,5,397,9,0,9,405,6,0,409,8,3,4,0,18,0,0,0,16,0,0,16,4,0,0,9,11,0,0,0,11,0,0,14,692,69,21,19,800,19,3,24,826,28,0,854,10,0,0,0,11,11,0,11,25,0,0,26,5,0,0,0,5,4,0,9,14,0,0,19,20,0,0,0,21,17,0,14,37,3,0,40,708,69,23,21,823,36,6,43,864,30,0,892,152,15,7,8,174,11,3,11,190,28,4,219,3,0,0,0,3,0,0,0,3,0,8,12,862,89,32,22,1004,50,6,55,1061,59,9,1128,481,43,7,4,530,8,3,8,539,18,0,553,372,55,7,4,433,3,0,3,438,7,0,448
RA54,179,50,5,56,236,176,6,415,3,0,0,3,5,0,0,0,5,3,24,37,727,133,37,37,931,89,13,104,1040,251,33,1322,149,27,3,3,177,8,0,8,185,24,0,210,103,36,6,3,151,0,0,0,147,11,0,164,7,4,3,0,12,0,0,0,12,3,0,19,5,0,0,6,15,0,0,0,15,0,0,15,271,62,10,13,351,11,0,11,366,39,0,404,14,0,0,0,14,7,0,11,24,4,0,24,0,0,0,0,3,5,0,7,10,0,0,10,12,0,0,0,17,13,3,15,32,6,0,34,281,67,13,13,372,19,3,25,391,45,0,441,59,13,4,3,78,23,4,23,102,122,0,227,0,0,0,0,0,0,0,0,0,0,15,18,339,79,13,13,447,43,6,53,500,170,13,680,156,18,3,0,181,5,0,5,185,14,0,201,77,20,3,0,103,3,0,3,102,10,0,113
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
