RA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
RA23,8,12,17,192,246,439,0,0,0,19,21,34,3,7,10,147,178,326,0,0,3,5,4,6,0,3,3,0,0,0,97,77,176,0,3,6,0,3,4,3,9,10,46,45,93,3,3,5,4,3,6,173,177,343,39,42,81,0,0,0,733,814,1546,6,3,7,0,0,0,0,0,3,0,0,0,0,0,0,0,7,8,3,7,8,642,483,1126,6,4,13,3,0,5,657,493,1149,180,148,331,1586,1471,3059
RA25,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,3,0,3,28,4,29
RA29,77,76,156,216,206,416,0,0,3,29,32,62,3,0,3,508,440,947,3,4,11,44,42,90,10,8,14,12,9,20,10,16,23,8,0,8,22,12,27,30,38,69,64,56,122,7,3,9,11,10,19,66,58,125,82,73,149,0,0,0,1125,999,2129,66,35,99,137,113,247,10,6,15,3,0,4,13,6,19,13,20,35,24,28,54,1410,1106,2512,23,17,46,9,18,34,1441,1142,2591,1451,838,2289,4331,3238,7565
RA30,23281,31960,55243,189963,221812,411771,45,40,86,27681,30981,58662,666,721,1385,294881,334362,629244,1783,2258,4040,13335,14254,27596,6256,7958,14217,7885,8582,16463,12323,15049,27371,1307,1246,2549,7294,8239,15529,21556,25218,46769,37907,42241,80153,2778,3753,6534,4610,5443,10051,56497,72721,129220,42501,48711,91214,2944,3350,6295,732206,846932,1579142,20100,18370,38472,20260,18377,38634,1799,1811,3610,153,149,297,7962,6262,14226,4598,6318,10918,12710,12728,25443,487258,437591,924851,5541,4404,9941,2448,3730,6183,495247,445726,940968,141192,134321,275506,1446788,1510223,2957012
RA31,3329,4662,7989,80747,90368,171114,6,7,8,8763,9725,18486,597,549,1150,94426,103028,197454,1643,1866,3510,929,930,1862,2671,3454,6124,1216,1333,2547,9645,10908,20554,92,77,172,2370,2577,4948,5875,6830,12708,16259,16730,32986,1583,2077,3654,1667,2041,3706,28797,34634,63428,14917,16608,31522,1292,1386,2677,273500,305118,578623,2142,1837,3977,2138,1700,3841,177,204,385,126,114,244,555,441,995,1300,1976,3279,1975,2531,4511,129970,113167,243140,1432,1183,2618,735,1091,1824,132137,115443,247578,50979,43952,94930,466384,475452,941836
RA32,2727,3953,6680,52945,55959,108903,0,0,0,4017,4336,8356,68,72,134,80310,84801,165110,326,404,724,1279,1358,2634,1614,2168,3777,546,712,1259,3032,3305,6338,126,78,204,1282,1360,2642,4308,5230,9534,10818,10860,21681,840,1083,1922,1478,1757,3236,17352,20305,37658,8146,8903,17056,493,508,992,188975,203194,392166,1606,1459,3067,1144,995,2140,191,157,349,118,106,226,1129,993,2119,978,1339,2315,2219,2429,4652,95698,81245,176942,991,781,1772,479,616,1095,97168,82643,179814,42798,35958,78756,336841,330793,667628
RA33,222,235,458,6439,6166,12603,0,0,0,457,461,921,12,16,24,9387,8873,18259,19,12,30,61,58,121,169,221,392,80,58,137,916,896,1820,0,0,0,315,299,615,547,583,1130,1107,965,2078,71,96,167,106,146,255,1955,2051,4002,840,782,1626,23,28,58,22512,21729,44236,160,111,273,73,60,134,10,10,14,23,17,40,40,22,62,57,85,140,118,124,244,8932,6795,15731,78,46,124,58,47,102,9067,6886,15956,5719,4295,10012,37888,33441,71327
RA34,100,137,241,6785,6865,13655,0,0,0,547,522,1067,192,201,395,5454,5294,10746,22,24,51,32,35,65,188,219,407,42,41,87,109,156,266,0,0,3,89,92,187,1048,1166,2216,715,677,1392,46,60,110,75,80,155,1706,1836,3541,780,782,1555,17,29,43,17856,18078,35940,56,42,101,38,32,66,10,8,18,214,228,441,9,5,20,44,59,104,271,292,563,5495,4427,9917,46,25,69,33,29,62,5576,4474,10051,3081,2669,5749,26985,25740,52723
RA35,0,0,0,11,10,27,0,0,0,3,3,6,0,0,0,13,27,44,0,0,0,0,3,5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,0,0,0,0,3,4,0,0,0,0,0,0,37,55,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,33,0,0,0,0,0,0,20,16,33,8,12,22,66,87,150
RA39,93,82,179,854,785,1639,0,0,0,81,69,149,0,0,3,884,768,1651,7,12,19,17,18,37,31,30,61,22,17,41,48,44,86,0,0,0,29,28,61,57,65,118,177,150,329,23,18,41,21,20,44,229,232,462,183,197,380,6,9,15,2682,2458,5143,33,27,65,41,20,69,6,10,12,6,3,7,7,7,13,23,33,60,34,45,82,2148,1665,3817,21,19,39,28,25,44,2191,1707,3905,1846,1220,3063,6937,5572,12510
RA40,12548,15520,28063,53544,66235,119776,3,0,3,9541,11074,20614,240,274,514,111259,126546,237797,1350,1896,3240,18576,19469,38045,1783,2277,4060,1079,1323,2406,10392,13093,23487,844,831,1673,2338,2727,5066,6362,7615,13980,4946,5836,10780,1099,1541,2639,888,1047,1931,29475,40007,69480,15526,18226,33750,1384,1546,2931,270641,321549,592187,11556,10498,22056,14576,12480,27059,442,470,909,86,82,167,4262,3695,7953,2519,3163,5676,6865,6941,13803,228222,206788,435003,2284,1911,4197,923,1436,2358,231432,210130,441561,53404,51254,104656,601460,628829,1230284
RA41,799,1040,1832,10750,12592,23342,0,0,0,1713,1848,3557,103,104,202,12792,14139,26937,402,515,914,521,470,988,413,572,990,198,232,433,7411,8489,15895,17,14,35,382,387,765,1227,1457,2684,1528,1710,3237,284,327,613,175,185,365,9140,11264,20404,3353,3775,7119,318,344,657,50732,58419,109145,194,155,354,230,181,410,46,47,96,17,20,38,83,68,151,293,476,768,389,562,955,42479,37940,80420,342,272,615,205,316,519,43026,38531,81561,10444,9717,20161,105861,108653,214510
RA42,425,538,964,8651,9688,18338,0,0,0,883,912,1792,28,32,59,13357,14499,27848,256,313,576,921,854,1774,250,346,591,119,147,266,4390,4797,9186,7,3,14,293,299,587,712,863,1575,1626,1684,3318,289,404,696,143,187,333,9686,11367,21056,1880,1934,3811,140,131,273,43634,48454,92090,211,178,381,640,285,927,7,6,16,20,41,64,344,306,652,159,257,416,525,603,1132,31859,26571,58429,259,208,469,95,129,225,32216,26908,59128,9835,7936,17766,87501,84907,172404
RA43,118,162,274,2294,2475,4768,0,0,0,205,210,412,6,3,3,3189,3326,6509,43,66,108,82,63,139,66,99,162,30,23,51,1003,1123,2126,0,0,0,52,57,112,286,383,672,169,152,321,58,64,122,47,44,90,2681,3060,5738,530,549,1081,15,18,36,10747,11714,22459,50,35,87,42,26,72,3,4,6,3,4,7,19,11,29,27,52,83,49,69,116,8568,6780,15348,67,56,125,27,40,70,8657,6878,15541,2679,2055,4741,22353,20950,43300
RA44,43,53,99,654,576,1228,0,0,0,31,32,67,17,15,32,891,746,1639,7,16,25,162,76,242,4,6,18,11,12,22,463,478,941,0,0,0,23,25,44,46,55,99,55,50,102,16,11,22,12,11,27,691,742,1435,322,342,662,3,0,4,3415,3201,6610,11,11,20,30,20,48,0,0,3,102,98,199,7,8,10,10,10,18,117,112,234,2289,1766,4053,14,7,21,12,11,21,2313,1784,4101,1162,1014,2173,7091,6188,13278
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
RA49,28,21,48,122,89,209,0,0,0,14,13,27,0,0,0,157,135,295,0,3,3,14,6,23,3,3,5,10,3,14,28,31,57,0,3,3,0,5,8,16,6,22,15,7,23,8,0,5,0,0,0,69,53,121,52,51,101,3,3,5,517,410,927,14,13,27,20,14,31,0,3,3,0,3,5,9,3,12,6,12,19,16,13,31,654,394,1047,5,3,14,9,6,14,674,407,1074,475,249,722,1734,1129,2863
RA50,20654,26783,47436,120590,142951,263539,18,11,27,15304,17164,32470,597,604,1200,201506,222708,424217,2156,2830,4985,10858,11522,22381,3423,4440,7860,2426,2801,5233,2543,3075,5618,1323,1309,2631,5737,6554,12297,9937,11598,21533,16759,18566,35321,1343,1823,3165,1982,2536,4517,16568,22591,39162,30206,35040,65249,1262,1440,2703,444531,509572,954100,19422,17216,36640,25218,22128,47348,2503,2663,5169,111,103,217,6327,5137,11457,3538,4634,8178,9971,9879,19854,327086,289020,616108,3415,2533,5950,1364,1997,3361,331867,293549,625423,94303,86579,180886,948475,968373,1916847
RA51,822,1202,2025,18949,21719,40663,0,0,0,1571,1705,3273,79,82,167,19683,21030,40714,354,473,828,274,299,571,656,847,1509,352,380,730,320,405,724,10,12,26,454,475,930,610,702,1309,1780,1865,3645,225,301,524,307,366,672,2737,3640,6378,3103,3494,6595,120,150,267,51586,57950,109541,329,277,608,449,385,838,53,69,127,15,16,27,122,100,221,291,487,778,422,604,1027,40187,35628,75814,372,316,682,157,250,405,40713,36187,76901,14953,11020,25972,109338,107703,217037
RA52,606,925,1528,15050,16505,31557,0,0,0,2033,2099,4133,117,92,211,16578,17761,34338,343,414,759,203,179,385,445,661,1107,217,258,472,362,472,834,20,18,43,458,518,971,738,842,1582,1772,1790,3561,203,282,486,396,470,861,3032,3726,6760,2878,3283,6158,103,125,229,44943,49493,94433,376,322,702,783,656,1439,37,25,60,20,20,42,75,68,142,231,440,671,325,528,851,33352,28182,61541,316,235,554,150,230,384,33822,28653,62476,11763,9929,21687,92652,90535,183178
RA53,370,572,946,6011,5867,11872,0,0,0,610,620,1236,105,99,204,8543,8398,16934,147,158,306,93,100,192,200,226,423,104,127,223,201,222,426,8,3,13,172,186,354,374,435,814,621,578,1198,63,84,143,185,190,378,1261,1363,2624,1232,1305,2541,70,69,136,19997,20025,40015,241,206,445,394,343,735,10,9,25,52,39,98,25,20,42,89,118,204,167,177,346,15663,12692,28349,116,75,191,46,64,114,15822,12831,28653,6931,5514,12443,43934,39672,83602
RA54,454,337,789,3837,2669,6506,0,3,3,519,409,934,5,4,9,7672,5655,13332,265,325,588,104,64,171,79,78,160,74,47,119,158,139,304,7,3,15,961,971,1935,439,472,911,592,359,949,27,27,55,335,345,684,849,765,1616,1566,1409,2980,35,31,67,17546,13771,31315,225,81,304,181,63,244,23,13,30,404,328,727,21,11,33,94,71,168,516,415,925,12559,7866,20418,82,35,119,30,34,66,12671,7930,20604,8472,4665,13141,40080,27279,67357
RA55,12,0,17,40,3,42,0,0,0,6,0,6,0,0,0,81,0,81,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,10,0,8,9,3,11,0,0,0,159,6,172,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,7,141,4,0,4,0,0,0,130,7,146,85,7,92,408,26,434
RA59,58,33,88,342,268,611,0,0,0,42,27,62,0,0,0,457,294,747,11,3,18,5,0,8,17,16,31,16,8,26,8,11,21,5,0,5,11,16,34,21,26,42,56,46,106,3,4,9,4,5,7,74,71,145,78,66,144,4,0,4,1155,870,2027,16,18,32,30,16,47,13,9,19,3,0,3,0,0,3,13,12,27,14,14,31,1142,754,1898,20,14,31,7,8,17,1169,784,1949,1087,678,1761,3532,2415,5950
RA61,1320,1751,3068,30705,37682,68389,0,0,0,1933,2310,4244,322,325,650,25787,30201,55988,310,383,693,990,990,1974,517,719,1236,469,535,1001,376,495,869,100,91,188,697,819,1515,1665,1971,3633,3075,3680,6754,411,599,1016,276,323,598,4415,6510,10926,3620,4280,7906,203,303,501,75877,92220,168092,1219,1122,2340,1221,1090,2315,94,103,202,18,20,46,243,226,471,511,691,1201,769,945,1711,68581,63565,132152,658,522,1180,240,352,590,69483,64437,133921,16420,15939,32363,166403,177606,344005
RA62,360,558,915,15703,17379,33083,0,0,0,1516,1712,3224,328,361,692,10293,11339,21631,90,124,216,108,94,203,346,443,793,273,288,560,207,220,430,9,4,10,314,332,646,768,900,1662,1534,1636,3175,190,282,479,177,209,383,3592,4332,7923,2216,2384,4598,90,85,168,37751,42123,79872,87,110,194,98,72,166,18,23,43,15,11,20,9,8,15,232,355,590,260,371,627,29980,26352,56334,246,187,429,96,154,248,30317,26696,57015,8350,7622,15965,77235,77566,154807
RA63,23,19,41,867,866,1732,0,0,0,38,31,77,0,3,7,693,711,1403,0,0,3,10,4,10,6,15,18,0,0,3,15,10,24,0,0,0,19,18,31,12,11,22,93,79,173,11,16,25,0,4,7,164,154,316,113,114,230,0,3,4,2042,2046,4081,11,7,19,3,3,12,0,0,0,0,3,3,0,0,0,9,15,22,9,13,26,1400,1176,2576,15,14,23,8,9,20,1416,1206,2624,464,417,883,3969,3711,7681
RA64,3,8,7,245,254,495,0,0,0,12,10,25,0,0,0,143,175,325,0,0,0,0,0,4,0,0,0,0,0,0,4,3,6,0,0,0,0,3,3,0,0,3,20,29,48,0,0,0,5,9,13,87,65,153,22,24,42,0,0,0,547,569,1115,0,0,0,3,3,3,3,0,3,3,0,3,0,0,0,3,3,5,11,5,13,595,462,1064,0,3,5,0,3,5,600,470,1076,136,136,264,1298,1189,2487
RA65,0,0,0,7,3,10,0,0,0,0,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,22,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,35,0,0,0,0,0,0,22,17,37,4,0,4,49,21,68
RA69,10,9,14,63,60,119,0,0,0,3,8,10,0,0,0,45,43,89,0,0,0,0,3,3,0,0,0,0,0,4,0,0,3,0,0,0,3,4,4,3,7,5,5,5,13,0,0,4,0,0,0,13,9,21,11,15,28,0,0,0,155,149,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,204,157,363,4,3,9,7,0,3,211,160,372,137,71,209,524,393,912
RA72,1645,2119,3764,5928,5934,11863,0,0,0,871,915,1791,3,3,6,14666,14843,29509,74,76,144,2147,1927,4069,189,239,431,150,160,308,459,539,996,52,53,107,320,376,693,697,812,1515,880,857,1743,99,134,238,174,200,381,2108,2308,4420,1505,1567,3069,41,30,70,30370,30973,61344,1626,1376,3007,1131,892,2024,43,32,79,47,50,91,257,188,440,208,258,468,509,494,1003,24553,20285,44839,235,174,411,91,116,208,24879,20577,45458,11688,8473,20161,71889,64939,136828
RA73,245,362,599,1806,1900,3707,0,0,0,434,524,965,3,0,3,4633,4866,9500,16,13,31,48,26,83,38,40,80,118,106,223,639,796,1437,21,23,49,213,236,453,311,367,681,300,268,563,38,39,71,54,83,141,608,745,1351,533,593,1131,23,32,54,9843,10668,20514,233,202,437,121,101,221,14,21,31,163,157,320,94,84,174,84,111,188,338,346,683,7100,6307,13412,62,40,106,31,29,67,7193,6387,13582,4712,3842,8556,22707,21919,44625
RA74,64,99,164,1690,1724,3408,0,0,0,1090,1216,2308,3,3,11,3154,3263,6420,8,9,17,31,20,56,15,23,34,31,41,76,1693,1861,3549,6,7,11,685,732,1411,261,324,586,116,93,207,15,12,23,45,58,106,3579,3508,7087,487,473,961,8,8,15,12906,13367,26269,71,49,118,44,23,65,4,3,4,1374,1319,2694,7,6,12,16,23,37,1403,1344,2749,4346,3858,8209,26,16,36,28,15,43,4391,3891,8281,3710,3461,7171,22585,22235,44819
RA75,3,0,3,4,0,3,0,0,0,0,0,0,0,0,0,16,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,19,7,24,0,0,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,11,0,0,0,0,0,0,11,4,11,8,3,10,61,14,70
RA79,10,8,18,133,117,243,0,0,0,20,19,37,0,0,0,215,192,402,0,4,6,3,0,3,0,0,0,3,3,5,6,10,19,0,0,0,10,6,16,10,13,19,18,23,47,3,3,9,3,0,3,53,69,120,21,15,34,0,0,5,501,471,968,5,6,9,8,3,8,0,0,0,0,0,0,0,0,0,4,4,13,4,4,13,383,323,706,7,7,13,4,0,3,390,331,724,411,336,749,1332,1157,2489
