RA_CODE_2016,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
RA23,22,25,5,57,18,20,9,50,39,63,11,106,69,53,15,136,80,107,24,212,140,144,32,306,114,155,26,295,46,86,18,147,4,38,8,50,536,678,140,1356,27,31,8,67,14,25,3,40,34,41,10,88,81,56,17,148,102,76,14,201,130,142,15,283,110,129,11,255,45,65,17,128,20,32,7,59,557,601,103,1260,49,58,18,121,31,51,12,90,76,106,15,199,149,104,26,286,187,183,35,404,264,282,43,597,224,282,41,545,87,152,33,274,25,65,19,109,1091,1282,241,2617
RA25,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,3,4,0,11,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,16,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,3,4,0,11,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,15,3,25
RA29,30,102,49,180,44,286,121,447,104,638,308,1052,68,395,345,813,61,326,248,628,51,275,140,460,29,202,54,283,10,51,20,72,0,11,0,9,388,2279,1280,3942,30,112,43,178,67,280,105,453,110,489,196,795,67,258,149,479,40,216,89,347,51,223,77,352,27,140,31,204,6,29,11,49,0,17,15,28,392,1770,719,2883,53,213,84,357,108,567,224,898,218,1126,504,1848,135,661,498,1295,97,544,337,975,97,500,212,816,57,339,84,482,12,77,30,121,0,23,15,38,781,4045,1993,6825
RA30,16849,71640,7014,95504,15021,84099,8101,107224,25989,170351,16971,213307,33927,152660,14208,200790,34623,141317,13348,189288,25345,118948,10806,155096,21310,86864,9292,117461,8761,41608,6433,56804,1345,14889,3689,19928,183175,882364,89852,1155389,20315,66217,6381,92917,20895,79498,7510,107900,36290,170164,15393,221846,51391,147237,12213,210843,46179,143690,11884,201754,32705,125088,10608,168401,27701,89698,9770,127169,10448,48482,8700,67632,1734,26061,7583,35376,247660,896137,90041,1233837,37163,137858,13400,188422,35916,163597,15610,215122,62281,340513,32362,435151,85318,299896,26425,411637,80803,285010,25231,391040,58047,244035,21414,323496,49011,176555,19058,244625,19214,90092,15129,124432,3078,40947,11269,55303,430835,1778504,179890,2389230
RA31,5363,21847,3126,30341,3587,20114,2666,26368,6921,38600,5558,51079,10452,38614,5557,54624,12050,44847,5966,62869,11287,45427,5643,62354,10418,37121,5194,52733,4103,17873,3391,25369,567,5444,1451,7455,64752,269890,38558,373191,6257,19631,2799,28694,4403,18804,1927,25134,10344,38747,3780,52869,16333,37185,4028,57552,16305,45089,4712,66106,14686,44864,4780,64331,12852,34783,5032,52664,4980,18374,3930,27286,748,8590,2371,11715,86907,266066,33369,386341,11623,41476,5931,59029,7988,38915,4591,51504,17265,77348,9336,103947,26778,75801,9590,112172,28355,89935,10679,128979,25967,90290,10426,126681,23271,71899,10226,105399,9088,36252,7319,52655,1320,14036,3816,19169,151655,535955,71926,759537
RA32,3697,15010,2760,21466,2851,15413,2746,21008,6082,31143,5677,42898,8361,29174,5015,42550,9235,31988,5329,46559,7875,30809,4675,43362,5786,22194,3851,31829,2130,9853,2172,14156,277,2898,703,3873,46292,188480,32930,267703,4338,13314,2399,20048,3657,14195,2033,19887,8938,30838,4182,43947,12950,27605,3942,44501,11890,30472,4200,46565,9518,28334,3895,41740,7160,18553,3400,29115,2669,9287,2236,14188,419,4503,1044,5971,61547,177092,27331,265964,8033,28315,5166,41515,6505,29608,4787,40900,15015,61975,9855,86851,21317,56776,8960,87046,21128,62463,9532,93121,17393,59145,8571,85107,12947,40747,7246,60941,4801,19136,4406,28349,695,7397,1750,9844,107834,365574,60266,533673
RA33,368,1315,332,2014,277,1621,390,2289,898,3707,992,5597,1196,2980,755,4927,1223,3334,771,5328,966,3273,697,4934,582,2239,535,3357,202,895,203,1300,21,212,52,285,5728,19577,4739,30040,357,1076,280,1710,390,1471,336,2200,1367,3186,676,5231,1611,2265,483,4357,1345,2711,571,4628,1070,2464,473,4009,696,1505,344,2540,242,671,190,1096,34,273,72,378,7114,15615,3417,26150,722,2387,610,3727,670,3091,724,4487,2261,6895,1672,10827,2808,5243,1242,9287,2572,6043,1339,9954,2035,5737,1173,8948,1277,3737,883,5900,446,1569,391,2403,53,485,124,665,12845,35188,8153,56190
RA34,265,1111,284,1664,280,1322,231,1830,769,2462,450,3683,876,2044,357,3280,948,2213,355,3515,804,2232,334,3371,326,1467,294,2082,120,581,138,841,20,147,35,201,4401,13581,2477,20462,251,1001,262,1510,314,1351,215,1878,1032,2483,424,3933,1089,1821,294,3207,1095,1981,334,3408,803,1800,273,2873,409,1108,196,1712,170,456,117,741,36,219,47,299,5196,12214,2159,19573,516,2113,543,3176,591,2670,446,3706,1805,4945,872,7617,1966,3866,652,6482,2045,4197,687,6925,1606,4029,610,6249,732,2574,490,3795,297,1038,247,1583,52,363,86,502,9605,25800,4637,40039
RA35,0,0,0,3,3,0,0,3,0,3,0,4,0,9,3,7,3,8,0,10,0,8,0,7,4,10,0,13,0,5,0,7,0,0,0,0,8,43,6,65,0,5,0,5,0,5,0,4,0,3,0,6,0,4,3,3,3,10,0,7,0,17,6,19,0,16,4,16,0,7,0,7,0,0,3,0,8,62,14,81,0,6,0,11,3,5,3,11,0,8,0,11,0,8,3,14,5,12,0,24,0,25,5,30,4,24,7,33,0,11,0,16,0,0,3,4,18,109,21,144
RA39,33,133,46,212,56,380,123,559,151,794,351,1288,79,559,329,964,96,596,282,975,117,772,260,1147,124,816,188,1120,21,163,42,225,4,13,3,19,673,4222,1610,6509,31,134,40,203,76,377,118,576,147,637,223,1005,91,289,132,514,83,457,145,688,147,884,195,1224,85,598,119,798,15,104,38,153,3,13,5,18,680,3484,1014,5179,65,268,84,408,135,752,244,1133,295,1427,574,2293,171,852,461,1485,178,1058,424,1663,268,1659,446,2373,208,1410,304,1916,32,266,83,381,3,22,11,44,1353,7707,2624,11693
RA40,6557,29158,2453,38172,6868,34272,2424,43560,11701,67868,5243,84811,14253,60040,4669,78963,15532,60292,4650,80476,13000,54081,4066,71153,12297,37906,3579,53782,5310,21004,2846,29159,986,9412,1555,11948,86499,374044,31484,492027,7901,26618,2145,36661,8879,31233,2158,42267,14654,67638,4563,86855,19740,56444,3730,79911,18667,60811,3921,83392,15707,57841,3963,77507,15022,41386,4136,60549,6077,26733,3860,36666,1309,16997,2843,21144,107949,385689,31317,524955,14462,55779,4599,74835,15746,65507,4578,85827,26359,135506,9808,171668,33992,116487,8396,158874,34191,121106,8568,163868,28702,111921,8030,148655,27319,79291,7713,114326,11381,47733,6708,65826,2288,26410,4399,33097,194447,759737,62795,1016978
RA41,1440,4477,678,6605,1037,4218,391,5644,1900,7815,823,10532,3064,7986,854,11899,3891,9802,967,14659,3858,10321,1024,15197,4069,8055,1039,13166,1650,4047,731,6427,260,1532,335,2129,21155,58262,6846,86263,1752,4094,569,6415,1242,3708,321,5268,2558,7576,601,10733,4459,7483,711,12650,4862,9786,872,15520,4601,10039,1007,15645,4673,7822,1014,13511,1795,4141,892,6828,316,2553,485,3357,26260,57195,6478,89935,3193,8572,1252,13015,2280,7926,711,10913,4459,15392,1418,21265,7522,15465,1564,24550,8751,19586,1845,30179,8456,20364,2032,30844,8746,15878,2061,26681,3448,8183,1624,13258,580,4088,825,5489,47420,115455,13324,176195
RA42,1181,3356,589,5123,849,3110,453,4409,1855,6120,1044,9018,2719,5789,1075,9587,3392,7950,1140,12477,3514,8543,1096,13158,3134,6671,1110,10909,1255,3358,723,5334,229,1201,325,1754,18125,46099,7543,71763,1252,2907,483,4644,783,2765,286,3834,2280,5850,584,8715,3598,5149,566,9317,3862,7213,835,11907,3816,7811,909,12529,3619,5852,1056,10527,1509,3571,808,5889,281,2000,580,2861,21004,43118,6106,70229,2428,6268,1066,9764,1628,5876,742,8243,4134,11968,1630,17734,6316,10940,1643,18902,7252,15157,1975,24391,7327,16352,2006,25686,6754,12520,2167,21438,2767,6933,1528,11222,513,3198,899,4615,39130,89213,13650,141991
RA43,378,641,161,1176,227,668,134,1025,649,1645,300,2595,836,1445,251,2534,1081,1784,322,3186,1020,2028,319,3364,858,1447,276,2577,332,703,164,1197,48,304,74,421,5422,10663,1991,18083,361,557,141,1059,214,615,83,911,833,1417,200,2447,1115,1157,189,2462,1125,1535,205,2866,1074,1727,257,3064,955,1212,190,2353,393,676,157,1222,89,464,120,667,6152,9349,1531,17036,743,1199,301,2238,436,1288,216,1938,1480,3063,499,5039,1953,2605,439,4992,2206,3319,522,6051,2098,3755,574,6424,1811,2656,461,4927,717,1382,320,2417,140,762,189,1088,11571,20015,3527,35115
RA44,72,212,64,345,87,265,57,409,211,610,150,966,255,519,140,918,280,584,174,1037,286,618,152,1060,157,455,102,711,48,175,62,284,12,51,12,75,1398,3498,918,5810,61,190,69,317,70,250,65,391,222,511,145,872,268,412,118,800,284,474,134,891,253,462,123,841,171,265,65,497,39,111,38,187,13,46,43,101,1380,2727,793,4902,128,403,135,663,159,515,127,799,430,1119,295,1845,526,933,263,1721,561,1060,309,1926,536,1084,277,1897,326,725,168,1210,88,286,100,475,24,94,55,173,2780,6219,1708,10711
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3
RA49,15,62,16,95,26,105,36,161,39,243,73,349,29,165,80,280,26,152,102,282,33,143,63,239,13,121,36,168,3,36,3,43,0,9,0,13,179,1043,411,1627,15,47,14,80,12,70,13,99,35,136,41,209,22,77,38,140,17,133,49,192,28,116,28,164,18,67,15,97,0,18,0,21,0,5,0,7,145,670,203,1016,22,111,37,173,34,177,54,266,70,379,108,556,56,245,124,421,42,283,147,474,56,261,85,403,32,185,51,271,3,46,4,59,0,21,3,22,321,1712,614,2648
RA50,12041,44160,4316,60519,9882,52203,5080,67166,18401,119379,13278,151056,22170,100896,10266,133321,23113,93436,9077,125620,15630,78488,7166,101287,12547,54384,5772,72697,5444,26821,4321,36584,898,9355,2312,12571,120125,579116,61583,760820,14708,39333,3894,57931,13095,46865,4421,64380,24918,116387,10935,152238,33069,94381,7969,135417,29524,91714,7374,128616,19323,82227,6692,108248,15025,56069,6173,77265,6555,31955,5935,44440,1172,16121,4581,21876,157394,575049,57977,790414,26746,83496,8211,118451,22977,99069,9501,131547,43317,235762,24206,303287,55236,195272,18233,268741,52636,185150,16449,254234,34958,160713,13857,209530,27573,110447,11943,149970,12001,58774,10255,81028,2072,25475,6900,34447,277515,1154161,119559,1551233
RA51,1372,4706,850,6932,705,4087,878,5670,1576,8738,2185,12500,2915,9289,2088,14284,3372,10431,1851,15651,2852,10102,1460,14416,2680,7436,1227,11340,969,3272,753,4991,147,1026,262,1431,16582,59083,11552,87218,1586,4029,744,6359,889,3586,445,4925,2484,8825,952,12259,4634,8622,1072,14329,4373,10119,1176,15664,3567,9994,1216,14784,3049,6735,1106,10888,1150,3442,866,5456,172,1613,410,2188,21910,56962,7989,86853,2961,8738,1595,13294,1601,7671,1324,10599,4061,17562,3135,24762,7551,17911,3154,28613,7748,20549,3022,31319,6417,20099,2676,29202,5720,14168,2337,22225,2120,6714,1618,10453,322,2634,670,3621,38492,116045,19534,174076
RA52,1150,3921,719,5787,751,3614,549,4914,1833,7385,1436,10648,2704,7049,1333,11093,3335,8334,1452,13124,2934,8561,1383,12872,2466,6104,1070,9637,1018,2900,712,4634,164,975,282,1418,16363,48839,8942,74140,1232,3397,621,5249,798,3008,411,4219,2630,7144,1010,10781,4063,6282,986,11333,3991,7867,1091,12955,3405,7844,1162,12413,2793,5230,954,8985,1190,2851,786,4827,174,1411,412,1996,20287,45038,7436,72758,2376,7319,1343,11041,1545,6626,965,9135,4467,14524,2439,21432,6770,13334,2316,22425,7331,16197,2546,26077,6337,16409,2544,25285,5265,11332,2026,18622,2205,5755,1505,9464,342,2382,696,3416,36641,93877,16372,146896
RA53,421,1454,396,2269,371,1550,348,2266,1301,4636,1170,7102,1713,3956,1009,6676,1697,3808,961,6471,1229,3305,724,5263,647,1726,411,2781,246,654,182,1086,54,203,60,312,7678,21287,5256,34222,419,1156,320,1894,385,1466,307,2159,1846,4285,919,7050,2287,3063,713,6064,1797,2990,697,5487,1208,2543,524,4280,679,1229,317,2224,299,566,184,1050,48,250,76,376,8966,17550,4061,30578,838,2612,710,4160,754,3014,653,4428,3151,8919,2082,14149,4003,7018,1721,12741,3495,6798,1654,11957,2441,5856,1251,9540,1328,2955,728,5011,546,1219,371,2135,104,449,133,688,16649,38837,9312,64799
RA54,233,916,371,1524,269,1509,487,2262,1067,5752,1944,8756,1218,4596,1604,7421,1057,4173,1302,6526,692,3015,836,4539,344,1257,308,1909,74,327,107,504,17,70,26,105,4965,21602,6983,33549,206,871,305,1382,289,1274,287,1848,1053,3391,904,5356,1149,2301,624,4068,883,2260,641,3786,635,1866,419,2918,313,745,230,1296,76,259,79,415,16,84,34,128,4620,13046,3521,21189,438,1788,680,2900,559,2779,775,4111,2117,9138,2849,14109,2366,6893,2229,11491,1934,6438,1934,10312,1327,4876,1252,7458,658,2005,545,3202,154,582,181,917,30,148,57,233,9580,34646,10507,54730
