RA_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
RA23,3,15,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,15,62,3,7,11,0,0,3,0,98,0,0,0,0,0,0,0,0,0,0,3,14,0,5,6,0,0,3,0,29,3,4,0,8,10,4,0,3,0,37,15,3,9,31,11,9,3,5,0,83,3,0,0,3,4,3,0,0,0,12,5,0,0,5,3,5,0,0,0,21,0,0,0,0,0,0,0,0,0,4,3,0,0,4,0,0,0,0,0,8,51,111,16,71,49,23,3,13,0,335,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,13,0,3,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,5,18,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,5,28,83,5,14,11,4,0,3,0,148,0,0,0,0,0,0,0,0,0,0
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
RA29,3,19,0,3,3,0,0,0,0,30,0,3,0,3,0,0,0,0,0,3,14,103,11,42,34,18,3,21,0,248,0,0,0,0,0,0,0,0,0,3,4,3,0,11,6,4,0,7,0,27,0,15,0,23,13,4,0,8,3,62,7,0,16,27,13,10,5,7,0,95,0,4,0,3,0,0,0,0,0,6,0,4,3,6,3,0,0,3,0,15,0,4,0,0,0,0,0,0,0,6,0,9,3,5,0,0,0,3,4,26,39,189,37,118,83,41,8,46,13,572,0,0,0,0,0,0,0,0,0,3,4,23,0,0,0,0,0,0,0,22,19,50,4,9,9,0,0,6,3,114,0,0,0,0,0,0,0,0,0,6,3,25,3,9,7,0,3,0,0,46,0,3,0,3,0,0,0,0,0,5,39,176,17,61,44,23,10,41,7,428,0,0,0,0,0,0,0,0,0,3
RA30,1694,10857,208,1838,1776,321,21,151,117,16984,781,3630,51,204,692,113,6,38,41,5559,16016,90247,3396,13552,21690,7341,465,3528,1424,157663,81,131,51,360,207,90,16,52,17,1008,3736,7836,1143,5503,6701,2216,191,928,315,28560,6877,8493,2763,17727,16025,5710,462,2206,671,60923,6879,6092,10857,27323,24864,10937,1526,5844,906,95243,669,511,426,1823,2808,2093,190,990,80,9594,1333,1193,634,4102,4982,2384,255,1140,173,16197,479,1127,263,744,1368,575,61,406,98,5108,861,1668,479,2013,2236,1470,212,1198,1146,11271,45257,159665,20870,77205,87651,34540,3463,17140,5390,451194,274,1146,42,66,136,49,9,16,19,1749,1516,12986,196,148,404,103,41,78,104,15569,13303,38274,1755,2887,6155,2401,708,1504,790,67767,517,1835,68,124,281,96,27,73,45,3074,3487,16514,588,2308,2398,552,163,314,201,26528,1587,4969,196,405,1004,199,46,80,83,8566,38901,154115,11379,20046,30769,13370,3400,8266,3023,283271,153,195,164,448,252,132,54,115,34,1545
RA31,345,2463,52,457,324,57,8,33,27,3767,137,781,16,53,137,11,0,3,8,1148,2599,20502,613,2398,3288,780,84,801,189,31262,22,54,17,97,54,23,0,11,3,272,922,2251,278,1615,1401,404,51,309,74,7307,1646,2059,661,4803,3566,976,140,630,126,14605,2258,1877,4010,10179,8204,3496,564,2492,265,33335,282,146,208,730,1016,830,86,524,26,3847,403,299,235,1444,1211,669,81,480,51,4870,82,236,55,188,228,91,16,125,23,1041,359,495,203,836,668,585,63,577,350,4132,9792,35180,6417,23036,20462,8005,1097,6046,1176,111211,41,204,10,17,22,5,0,0,0,293,238,1681,32,27,60,16,0,17,8,2071,1454,5001,212,313,446,136,63,194,42,7869,82,305,14,22,29,9,4,3,5,471,653,3519,160,586,400,78,42,71,43,5553,270,1006,70,95,191,22,13,26,15,1710,5706,30590,1999,3491,4176,1261,509,1532,382,49634,35,68,36,118,58,27,3,39,12,388
RA32,265,1832,30,371,220,59,8,27,11,2828,96,541,9,40,83,11,0,6,4,787,2377,16235,514,2175,2701,832,99,754,163,25851,22,22,9,68,27,16,0,5,0,169,788,1586,197,1219,1049,355,50,225,60,5526,1341,1444,422,3496,2702,852,124,517,107,11005,1790,1344,2791,6653,6136,2390,564,1663,202,23544,217,112,147,518,733,565,70,374,17,2747,324,203,162,1036,891,443,86,335,26,3521,100,170,45,190,198,93,11,89,14,914,305,398,164,629,485,490,72,554,253,3347,8203,27120,4557,16616,15566,6183,1093,4628,893,84866,15,184,4,3,5,4,0,5,0,227,171,1396,23,29,41,4,8,11,3,1685,1213,3627,171,298,424,135,37,130,52,6100,48,246,12,10,29,6,0,9,0,358,490,2554,95,460,272,77,34,49,22,4056,189,680,39,68,105,16,5,12,10,1126,4970,23655,1583,3295,3401,1262,502,1365,314,40350,45,29,24,88,31,16,6,12,6,264
RA33,36,153,7,35,18,3,0,4,0,258,5,50,0,9,4,0,0,0,0,70,370,1349,68,205,231,53,23,83,8,2388,3,0,0,8,5,0,0,0,0,21,141,119,23,101,97,27,11,29,4,544,180,133,38,268,203,53,28,86,7,998,204,138,282,549,543,193,108,219,29,2272,38,10,15,59,65,47,12,58,9,310,55,28,15,75,57,31,6,48,7,320,7,8,11,11,14,6,8,19,0,87,64,45,25,73,68,45,6,77,32,424,1162,2242,493,1409,1330,467,199,625,103,8024,0,13,0,0,3,0,0,0,0,14,10,37,0,0,0,0,0,3,5,53,113,284,22,28,31,12,4,12,3,518,7,11,0,3,0,0,0,0,0,21,53,206,9,45,22,3,0,4,0,342,16,59,7,17,4,0,3,0,0,99,682,1935,182,294,266,73,57,148,19,3665,6,0,4,8,6,0,0,0,0,26
RA34,36,109,0,23,13,3,3,3,0,188,12,38,0,3,3,0,0,0,0,55,288,913,30,118,159,25,4,47,8,1604,3,3,0,6,3,0,0,5,0,22,122,82,12,85,42,3,5,23,3,378,141,98,19,209,172,29,15,39,10,735,180,129,137,442,387,124,49,190,20,1663,42,17,7,70,64,27,4,56,3,299,30,15,13,50,45,24,7,33,0,221,5,13,0,9,3,3,3,4,3,55,55,42,18,88,58,27,17,65,23,391,972,1598,239,1127,981,275,114,472,79,5842,0,8,0,0,0,0,0,0,0,9,12,12,0,0,6,0,0,0,0,28,100,181,9,25,12,3,0,5,0,345,6,13,0,0,0,0,0,0,0,20,46,143,3,25,18,3,3,3,3,250,21,43,0,7,6,0,0,0,0,77,460,1264,75,187,201,41,17,80,16,2339,4,8,0,12,3,0,0,5,0,33
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,10,0,3,3,3,0,0,0,18,0,4,0,0,0,0,0,0,0,8,29,122,3,54,23,16,0,120,5,371,0,0,0,0,0,0,0,0,0,0,7,18,4,5,0,3,0,4,4,50,6,15,4,36,16,5,0,24,0,100,14,18,31,38,41,16,5,25,3,184,0,0,0,5,0,0,0,3,0,17,3,4,0,5,4,6,0,9,0,27,3,0,0,3,0,0,0,7,0,12,0,10,0,7,4,0,0,12,12,45,74,226,44,162,96,58,12,209,21,894,0,4,0,0,0,0,0,0,0,4,0,21,3,0,0,0,0,0,0,25,14,46,0,11,4,0,3,15,0,89,0,0,0,0,0,0,0,0,0,7,3,13,0,3,3,0,0,0,0,26,3,7,0,0,0,0,0,0,0,13,55,207,14,79,30,25,15,179,8,613,0,0,3,0,0,0,0,0,0,3
RA40,768,4681,98,809,706,126,10,54,47,7297,323,1111,25,124,235,25,0,5,11,1855,5651,36953,1477,6347,7683,2764,140,1587,556,63148,25,57,10,159,45,32,0,8,7,349,1544,4221,447,3042,2790,748,45,387,129,13352,2237,3047,943,6504,4707,1330,93,599,220,19685,2557,2259,4742,11421,9678,4030,363,2146,405,37605,313,217,203,816,1353,971,49,510,48,4476,488,446,312,1762,2062,811,69,380,54,6387,156,502,122,371,484,190,15,157,41,2042,295,633,218,908,846,565,57,477,390,4390,16567,65203,8896,33554,32165,12065,871,6739,2063,178125,97,600,9,49,61,21,3,9,9,861,755,6327,102,105,186,46,23,40,37,7623,4721,13899,872,1821,2324,938,461,1044,268,26350,201,766,23,69,89,27,20,23,19,1233,1537,7043,244,1007,1011,218,57,144,83,11334,667,1588,86,194,336,55,17,28,22,2998,13788,62798,4660,9473,11223,4961,1526,4031,1079,113538,62,93,46,185,61,47,15,27,12,554
RA41,118,581,17,130,67,18,3,11,0,950,43,167,3,15,30,8,0,3,0,256,741,4509,180,644,687,223,13,228,39,7255,13,9,3,29,9,3,0,10,0,68,344,782,86,552,443,143,18,88,16,2468,405,515,129,1221,731,218,22,138,22,3409,613,450,1029,2512,1873,859,101,667,68,8168,77,42,56,175,334,257,24,173,6,1150,134,89,94,430,353,175,24,127,14,1433,31,53,14,39,62,23,3,43,3,276,121,121,54,218,179,120,23,172,67,1073,2834,8283,1672,6029,4883,2053,236,1668,246,27892,7,55,0,7,4,0,0,3,0,82,78,447,10,5,17,5,4,13,3,581,401,1033,27,71,123,29,8,42,11,1734,18,69,4,4,8,0,0,0,0,107,218,820,41,149,102,33,12,31,11,1404,75,222,10,21,38,10,0,7,3,380,1763,6760,410,877,900,371,94,495,78,11742,15,11,9,28,9,3,0,10,0,84
RA42,77,341,12,85,35,5,3,5,4,568,19,118,0,9,16,0,0,0,3,161,529,3246,65,291,369,79,9,150,30,4772,3,9,0,31,4,3,0,0,0,49,305,485,32,402,240,59,15,61,12,1609,291,332,61,900,439,116,16,95,22,2279,527,353,643,1921,1303,593,85,482,58,5971,85,37,46,166,246,155,11,129,12,875,104,43,41,342,208,122,10,100,6,976,21,34,9,37,36,13,0,23,3,179,109,113,28,161,113,123,9,146,65,869,2143,5520,954,4369,3046,1265,169,1204,222,18882,8,37,0,0,0,0,0,0,0,51,31,96,0,5,5,0,0,0,0,142,148,487,11,26,34,8,3,14,5,746,5,37,0,0,0,0,0,0,0,44,133,475,22,106,42,9,8,12,4,809,33,142,3,18,15,0,0,3,3,219,1113,4461,192,410,462,119,59,299,58,7167,10,9,3,31,5,3,0,0,0,64
RA43,21,127,3,35,16,0,0,5,0,207,5,24,0,3,0,0,0,0,0,35,173,824,26,112,136,40,12,45,8,1371,0,3,0,0,4,0,0,0,0,6,88,125,19,98,75,22,6,15,4,448,74,79,30,225,125,35,9,24,7,611,178,88,198,426,370,163,15,123,15,1579,21,5,5,40,54,24,9,29,0,188,33,18,16,64,62,37,3,24,4,266,11,4,3,11,24,8,0,10,0,68,25,18,14,49,36,36,8,35,15,234,656,1436,314,1068,907,370,51,311,64,5192,0,19,0,0,0,0,0,0,0,18,16,45,0,0,6,0,0,0,0,65,43,142,10,15,17,7,5,3,3,241,0,10,0,0,0,0,0,0,0,15,38,165,3,39,17,0,0,8,0,270,15,32,3,3,0,0,0,3,0,51,375,1215,81,141,164,52,22,81,19,2151,0,3,0,3,4,0,0,0,0,13
RA44,4,35,0,6,3,0,0,0,0,48,3,3,0,0,0,0,0,0,0,9,48,247,6,36,43,10,0,11,3,397,0,0,0,0,0,0,0,0,0,5,20,41,0,32,13,6,0,4,0,121,38,31,7,56,32,8,0,10,0,181,48,24,30,99,71,30,4,36,7,350,13,0,3,11,10,9,0,8,0,54,13,3,3,16,14,4,0,10,3,62,0,0,0,3,4,0,0,0,0,10,13,22,3,29,11,5,3,8,5,96,202,431,48,302,200,76,15,86,23,1385,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,25,44,3,5,5,3,0,0,3,84,0,0,0,0,0,0,0,0,0,0,5,44,0,10,3,0,0,0,0,61,6,3,0,0,0,0,0,0,0,16,95,346,18,52,47,14,8,20,3,614,0,0,0,0,0,0,0,0,0,5
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,21,0,3,10,0,0,19,0,65,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,5,0,15,0,3,0,8,3,0,0,7,0,22,3,3,11,3,3,0,0,7,0,31,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,5,11,45,12,21,23,12,0,43,0,168,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,12,0,15,0,0,0,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,14,43,3,9,16,3,0,33,0,116,0,0,0,0,0,0,0,0,0,0
RA50,1250,8045,212,1175,1136,244,14,104,94,12288,413,1966,40,154,336,41,3,14,18,2984,10037,59638,2980,9513,14067,5224,434,2741,955,105592,57,72,35,200,122,59,12,24,22,596,2220,6340,1122,4125,5080,1585,181,813,198,21668,3289,4487,2014,9212,7810,2870,305,1297,318,31609,3560,3391,7396,16531,12782,5495,994,2985,577,53709,493,314,290,1269,2047,1363,145,624,60,6608,876,777,564,2928,3767,1410,188,730,117,11347,333,857,198,703,1053,406,60,314,69,4002,537,1206,409,1676,1780,1088,185,785,679,8350,26557,103497,15789,48961,52737,20682,2589,10952,3379,285132,259,994,35,74,141,34,3,26,12,1567,1117,8394,154,139,269,60,49,66,86,10322,8491,22664,1535,2113,4006,1551,768,1139,489,42760,427,1437,53,87,235,81,39,32,31,2431,2657,12044,503,1445,1577,395,141,207,158,19134,896,2675,131,345,494,79,29,50,48,4739,27073,104135,9838,14086,20328,9165,3571,6564,2055,196813,108,115,136,249,140,84,60,69,28,997
RA51,84,668,14,96,72,23,5,17,3,981,29,169,3,12,16,3,0,0,0,239,776,4422,181,579,763,268,30,319,59,7404,5,8,3,20,10,7,0,8,0,52,272,640,127,443,470,145,31,115,8,2259,342,373,225,967,651,247,37,180,33,3048,582,425,1055,2380,1798,808,180,610,74,7911,93,41,52,223,336,264,33,154,7,1206,145,75,87,407,416,189,29,126,11,1480,40,56,17,61,73,25,5,48,0,329,131,116,74,245,221,183,23,181,68,1239,2656,7648,1864,5492,4904,2194,374,1784,283,27198,16,62,0,6,5,4,0,0,0,101,32,254,14,3,14,0,0,5,3,331,299,790,45,69,82,41,23,66,14,1430,20,89,4,4,8,0,0,3,0,128,168,913,25,117,88,31,10,38,6,1395,54,204,12,24,31,4,3,3,0,348,1719,6723,559,796,923,406,162,639,100,12033,6,15,7,21,7,7,3,9,0,79
RA52,102,596,7,72,74,7,3,16,3,884,27,129,3,11,14,0,0,0,4,189,723,3642,104,457,555,149,37,208,40,5910,5,7,0,20,9,9,0,3,0,60,331,553,74,358,364,79,19,92,18,1885,303,345,105,764,552,190,59,116,23,2450,537,349,742,1830,1378,586,143,459,48,6084,95,25,34,165,287,199,23,116,10,955,141,57,53,316,299,130,19,137,8,1156,37,53,12,58,63,23,7,33,9,300,161,97,64,202,179,125,36,165,72,1092,2590,6408,1210,4287,3851,1523,356,1356,237,21823,6,56,4,3,8,0,0,0,0,72,34,220,3,7,12,10,0,3,0,292,271,719,48,61,82,22,27,24,7,1263,13,47,0,4,3,0,0,0,0,74,184,821,13,93,81,9,15,24,7,1245,52,168,11,17,18,0,0,0,3,277,1606,5374,371,612,667,218,167,369,75,9447,18,13,12,26,9,9,0,11,0,93
RA53,60,266,8,53,37,0,0,12,0,441,15,75,3,7,7,0,0,0,0,103,465,1798,82,248,416,118,25,114,26,3293,0,3,0,9,5,0,0,0,0,32,167,221,44,136,172,52,22,41,3,854,192,181,56,355,345,78,33,58,8,1307,288,184,347,633,632,208,110,179,35,2614,55,30,19,84,138,76,12,57,9,479,70,26,29,110,164,69,23,44,3,538,21,13,3,19,24,11,3,19,3,120,75,57,31,81,103,73,19,80,39,552,1500,3135,639,1777,2091,700,250,618,132,10839,8,16,0,3,3,0,0,0,0,26,26,53,3,0,9,0,0,4,0,94,168,372,35,40,59,22,12,21,8,724,8,33,0,7,11,0,0,5,0,59,98,356,22,67,38,4,6,11,0,605,39,89,15,13,7,0,0,0,0,157,1002,2633,295,339,500,166,96,210,55,5298,3,6,7,11,5,3,8,0,0,42
RA54,28,148,3,32,18,3,6,0,0,243,15,38,0,3,6,0,0,0,0,65,248,1059,62,159,197,53,39,100,16,1929,0,3,0,4,0,0,3,3,0,15,85,103,25,64,66,19,31,28,7,422,107,93,49,153,154,39,45,50,3,696,152,95,195,311,364,96,170,168,28,1563,23,29,9,79,82,27,12,47,6,311,28,30,20,65,78,19,22,43,3,313,10,15,3,12,10,5,10,4,3,74,32,39,30,68,59,28,23,69,40,382,792,1829,407,961,1065,290,355,518,104,6325,3,5,3,0,3,0,0,0,0,9,16,38,3,0,0,0,0,0,0,52,142,332,34,33,51,10,17,19,6,630,9,22,0,4,4,0,0,0,0,31,60,234,17,33,28,3,14,7,0,386,18,62,8,4,6,0,3,3,0,106,596,1979,288,254,275,68,162,182,35,3837,7,6,5,4,4,0,3,4,0,31
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,17,3,0,0,0,0,7,0,34,0,0,0,0,0,0,0,0,0,0
