RA_CODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
RA23,0,0,0,4,8,0,0,7,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,20,0,3,3,3,0,0,0,9,3,3,6,6,5,4,0,31,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,7,6,8,11,9,4,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,7,5,8,13,9,4,0,43,0,3,3,3,4,0,0,26,0,0,0,0,0,0,0,0,10,12,18,18,14,4,0,68,0,4,3,4,7,0,0,17
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,994,2191,1808,1426,2137,728,379,9676,231,611,467,393,499,184,71,2457,31,62,48,37,35,16,19,239,40,69,41,42,60,9,7,269,1303,2927,2363,1899,2732,936,477,12640,111,205,179,135,164,41,32,871,53,107,69,49,41,15,10,329,161,311,248,180,205,55,38,1203,1465,3243,2613,2086,2934,992,518,13838,557,927,668,509,598,168,114,3540,29,62,40,31,19,9,8,191,2046,4231,3324,2630,3545,1170,638,17577,2793,6583,5619,4306,6655,2587,1252,29796,4859,9586,6420,4123,5374,1639,746,32744,660,499,284,207,263,94,61,2065,167,312,186,142,177,67,29,1077,8474,16982,12507,8778,12473,4389,2081,65688,702,1402,816,467,616,161,83,4256,1114,1908,903,543,544,147,65,5217,1817,3303,1716,1008,1166,312,148,9471,10297,20290,14223,9790,13639,4699,2229,75159,12898,11899,6115,3779,4170,1303,707,40867,203,254,150,91,73,19,7,798,23396,32437,20490,13651,17888,6020,2947,116818,3789,8774,7428,5731,8792,3319,1627,39474
RA31,291,648,536,413,662,94,31,2674,73,210,180,151,150,16,10,790,11,29,28,12,20,0,0,99,25,15,18,14,27,0,0,106,399,902,762,591,857,109,44,3668,75,135,130,79,110,8,5,543,13,66,39,29,26,4,0,179,86,203,171,107,128,10,11,719,490,1107,936,702,989,124,51,4385,304,517,324,269,260,32,13,1723,21,45,29,17,7,0,0,116,812,1671,1285,978,1258,158,64,6231,641,1646,1534,1167,1724,262,99,7079,1661,3409,2240,1515,1846,183,80,10930,175,170,96,53,83,10,7,592,58,102,65,37,73,13,8,352,2539,5322,3941,2772,3723,472,190,18955,331,722,428,245,281,37,9,2058,465,809,408,264,198,22,3,2183,798,1531,835,514,486,65,14,4233,3332,6854,4772,3287,4207,530,208,23190,6216,5501,2744,1628,1615,200,87,17994,110,87,66,34,40,3,3,342,9656,12448,7584,4948,5860,732,298,41528,937,2292,2071,1580,2388,357,128,9753
RA32,248,531,437,345,467,66,19,2117,62,157,121,93,113,9,10,567,11,20,15,6,15,0,0,72,24,17,17,13,11,3,0,85,349,727,592,459,602,83,32,2839,55,140,84,52,53,7,0,390,14,57,31,12,6,0,0,123,70,193,113,67,67,7,3,519,414,919,703,527,670,84,32,3356,205,401,231,154,175,33,12,1209,18,26,12,15,5,0,0,77,641,1339,949,698,853,117,48,4638,686,1576,1191,978,1369,249,113,6159,1141,2298,1492,938,1158,156,69,7248,116,105,57,51,83,14,3,425,44,59,58,47,56,0,0,265,1982,4039,2804,2014,2666,413,189,14103,189,482,276,206,193,13,8,1366,325,511,250,163,136,10,3,1398,518,992,526,368,329,23,8,2762,2496,5033,3322,2383,2991,442,194,16863,4089,3674,1700,1066,903,137,46,11604,69,83,50,44,29,0,0,273,6652,8792,5070,3483,3927,578,236,28741,937,2106,1625,1324,1839,316,130,8280
RA33,28,56,41,34,47,0,0,205,8,8,4,6,9,0,0,30,4,0,0,0,3,0,0,5,0,3,0,0,3,0,0,7,36,70,49,43,54,0,0,252,0,6,9,8,6,0,0,30,0,4,3,0,3,0,0,18,3,9,12,7,11,0,0,41,36,82,55,53,64,0,0,294,26,37,27,15,12,0,0,128,0,4,3,0,0,0,0,12,64,129,90,69,80,0,0,433,70,152,118,72,75,9,5,505,85,167,105,69,67,0,0,499,7,11,0,8,3,0,0,27,5,18,6,3,7,0,0,36,168,350,234,145,148,8,3,1056,29,35,14,9,12,0,0,100,32,39,21,9,6,0,0,118,58,74,42,21,17,0,0,216,228,421,277,167,167,8,3,1276,473,352,180,103,55,3,0,1159,16,10,9,6,0,0,0,49,711,782,464,276,229,13,4,2488,98,211,160,107,119,10,5,708
RA34,17,42,29,10,18,4,0,113,3,12,8,4,10,0,0,46,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,4,22,63,44,18,23,3,0,167,3,13,10,6,4,0,0,39,3,0,3,0,0,0,0,12,11,13,11,6,4,0,0,43,34,75,54,25,29,5,3,211,39,48,23,15,4,0,0,124,6,10,3,7,0,0,0,23,74,127,82,43,36,5,3,368,101,188,97,57,56,0,0,495,80,181,96,54,50,0,0,456,16,15,11,7,0,0,0,45,10,10,8,3,0,0,0,35,206,392,205,120,104,0,0,1027,34,51,25,17,6,0,0,140,27,23,9,3,3,0,0,68,64,74,37,18,12,0,0,202,264,467,243,141,112,0,0,1230,599,506,253,140,76,3,0,1579,31,25,21,12,4,0,0,86,897,997,521,290,191,3,0,2900,117,228,122,66,68,4,0,612
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,305,706,609,489,847,399,215,3566,124,273,206,166,234,91,56,1144,14,35,16,7,18,3,8,101,16,22,13,15,13,7,3,96,463,1026,842,679,1105,503,285,4902,48,104,72,47,69,31,18,393,18,47,40,31,24,13,8,182,64,154,111,76,91,46,24,572,526,1184,957,757,1199,549,305,5478,266,427,327,262,346,134,82,1833,23,34,13,8,0,0,0,81,817,1642,1298,1023,1548,677,386,7385,746,1863,1566,1299,2434,1292,720,9919,1957,3784,2590,1818,2505,1005,537,14183,308,173,115,71,129,57,40,885,64,91,68,41,52,25,10,353,3077,5906,4327,3225,5122,2375,1304,25345,198,492,278,214,266,110,40,1586,400,696,390,204,240,85,37,2047,597,1182,666,417,507,194,76,3634,3672,7093,4993,3638,5628,2568,1381,28981,5640,5142,2592,1772,2048,842,459,18488,97,119,67,42,40,14,9,377,9410,12353,7656,5445,7714,3430,1840,47847,1056,2566,2168,1789,3276,1691,938,13483
RA41,43,125,113,127,176,46,17,648,8,42,53,37,43,8,5,194,0,3,3,3,9,3,0,25,3,8,3,0,0,3,0,15,60,177,169,161,230,60,21,879,16,21,23,10,21,3,0,86,5,7,3,0,10,0,0,23,21,23,25,13,33,3,0,114,78,200,199,175,256,64,21,993,52,87,49,45,55,22,3,305,10,3,3,4,6,0,0,20,131,293,253,225,316,82,28,1327,83,273,256,225,389,106,43,1374,306,786,566,374,503,124,46,2708,46,40,22,17,25,8,3,156,8,13,11,3,18,3,0,56,443,1114,857,621,934,236,92,4298,25,68,51,41,33,10,0,225,62,100,66,28,38,12,6,309,87,170,108,71,73,17,5,539,525,1285,967,694,1009,257,98,4835,913,820,455,282,307,64,19,2853,28,18,7,7,3,0,0,66,1463,2121,1428,980,1320,318,120,7754,130,405,370,351,562,145,59,2025
RA42,40,86,79,81,127,18,5,429,14,54,53,31,38,7,0,200,0,7,6,0,3,0,0,16,0,3,3,5,3,0,0,14,58,152,137,114,168,24,5,661,12,30,16,19,27,3,0,106,4,17,15,6,7,0,0,47,12,51,32,24,34,3,0,156,74,196,170,141,201,29,3,815,60,107,66,59,68,6,0,360,3,8,3,3,3,0,0,18,132,314,246,194,273,29,5,1193,81,215,172,152,250,37,8,913,245,530,393,259,373,58,7,1877,36,29,15,18,7,0,0,109,10,16,3,4,12,0,0,44,368,791,586,438,640,98,15,2940,25,85,60,28,39,8,0,244,67,111,70,40,43,0,3,328,94,193,129,64,81,8,3,566,458,981,711,504,723,107,21,3504,1060,922,494,312,264,43,10,3097,17,43,15,13,8,0,0,94,1539,1944,1221,831,991,151,32,6704,112,297,253,233,373,51,10,1339
RA43,11,28,20,18,30,3,0,103,4,10,9,7,5,0,0,42,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,13,36,33,25,40,3,0,151,3,4,6,0,6,0,0,18,0,3,0,0,0,0,0,4,3,5,5,3,6,0,0,31,20,42,41,27,43,3,0,178,7,12,8,0,8,5,0,43,0,3,0,0,0,0,0,3,28,60,48,35,50,10,0,235,10,48,50,47,70,5,3,237,59,116,97,62,76,11,0,424,8,0,0,3,7,0,0,19,3,3,3,3,0,0,0,10,85,169,151,117,150,15,3,683,3,13,8,3,3,0,0,44,11,15,12,11,6,3,0,66,17,34,19,15,12,3,0,108,100,201,169,128,166,20,5,791,166,145,61,51,51,9,3,483,0,0,3,0,0,0,0,3,270,348,238,181,214,28,7,1278,24,75,71,63,95,9,3,343
RA44,8,4,8,7,4,0,0,27,3,6,3,4,6,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,14,8,12,0,0,50,0,3,3,0,3,0,0,13,0,0,0,0,0,0,0,0,0,3,3,0,3,4,0,14,9,12,14,8,10,4,0,59,3,4,3,5,4,0,0,20,0,5,3,0,0,0,0,14,16,24,25,18,16,4,0,92,14,19,15,11,11,0,0,61,19,41,22,17,23,0,0,120,5,7,3,3,0,0,0,12,5,3,0,3,0,0,0,7,35,64,37,34,30,0,0,207,6,9,3,0,0,0,0,21,3,3,0,0,0,0,0,8,9,13,4,0,5,0,0,29,45,76,38,39,38,0,0,236,74,75,52,26,19,3,0,240,9,7,10,3,0,0,0,23,126,158,100,65,53,7,0,505,16,25,22,17,12,0,0,91
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,451,985,908,785,1276,532,299,5238,151,321,239,207,255,114,60,1345,27,30,43,25,44,9,11,185,23,20,22,27,40,5,7,144,658,1355,1212,1040,1602,662,380,6914,81,164,136,82,140,49,17,669,25,45,57,34,18,3,3,188,113,210,193,120,154,50,16,858,765,1568,1398,1155,1759,717,397,7767,277,461,306,225,258,97,70,1697,23,30,22,13,5,3,0,98,1069,2057,1731,1391,2021,821,469,9564,1310,3123,2577,2207,3741,1711,917,15591,2614,5531,3750,2513,3506,1241,622,19770,308,227,136,109,169,60,47,1063,90,136,75,56,84,46,20,510,4325,9013,6533,4882,7505,3056,1611,36929,324,757,466,337,435,154,74,2548,623,1218,661,362,377,102,52,3402,955,1976,1121,699,819,257,128,5953,5277,10992,7662,5585,8325,3314,1735,42886,7598,6770,3344,2104,2331,799,471,23411,154,166,98,62,33,7,5,525,13030,17922,11096,7751,10685,4117,2217,66820,1764,4114,3480,2995,5016,2241,1221,20826
RA51,65,114,127,117,153,24,6,598,8,51,44,30,43,7,3,177,0,5,7,3,10,0,0,25,3,0,0,3,4,0,0,6,72,169,175,155,210,28,5,809,5,26,13,17,15,3,0,83,6,18,9,5,5,0,0,46,12,44,24,20,18,7,0,121,83,212,193,175,224,34,9,933,37,76,44,39,57,3,3,258,0,6,8,0,0,0,0,20,123,293,246,213,284,34,9,1208,81,293,308,273,411,58,17,1448,317,814,574,368,497,55,19,2648,47,49,35,17,21,3,4,172,4,7,8,11,13,3,0,50,447,1163,925,674,949,122,44,4317,24,87,55,46,46,11,3,279,65,159,63,37,44,3,0,374,88,254,119,82,97,12,3,654,536,1415,1041,755,1040,135,43,4969,1108,917,448,304,271,18,9,3075,11,26,6,5,6,3,0,57,1653,2350,1499,1070,1322,156,53,8098,146,405,430,386,568,83,26,2041
RA52,35,96,88,90,141,12,3,467,12,36,48,31,26,4,0,151,0,9,7,9,3,0,3,28,0,3,0,0,3,0,0,5,48,141,142,127,170,14,6,658,5,16,23,23,17,0,0,85,3,14,7,3,7,3,0,35,13,25,28,25,21,3,0,120,60,172,173,158,191,16,6,777,49,81,52,43,35,4,0,273,4,3,9,7,0,0,0,22,113,252,231,207,228,21,6,1074,105,275,271,222,295,37,10,1217,256,576,425,270,307,25,5,1867,30,41,25,11,22,0,0,133,19,18,12,9,16,3,0,74,414,912,727,520,641,62,16,3290,22,83,45,32,34,7,0,223,43,114,64,38,32,7,0,287,58,199,109,67,69,10,0,517,476,1104,834,586,715,72,22,3809,1042,930,435,248,207,19,10,2883,44,33,30,9,5,0,0,116,1557,2072,1297,843,923,86,24,6802,142,370,359,317,439,43,15,1688
RA53,39,73,49,51,56,0,0,261,12,14,21,11,6,0,0,56,3,3,0,0,7,0,0,12,0,7,0,0,4,0,0,11,52,87,69,63,73,0,0,342,0,7,5,3,4,0,0,26,0,4,0,3,0,0,0,9,0,17,4,6,4,0,0,30,49,101,74,72,77,0,0,373,20,30,27,10,6,0,0,94,6,9,6,3,4,0,0,27,77,145,106,82,83,0,0,496,75,175,130,98,98,4,0,579,112,191,93,67,63,0,0,531,10,7,6,4,4,0,0,32,9,9,3,3,3,0,0,20,207,379,230,171,164,4,0,1163,14,24,19,14,10,3,0,85,31,41,22,9,7,4,0,103,50,63,36,26,16,3,0,188,249,443,266,199,181,7,0,1357,434,369,174,88,87,0,0,1147,15,23,10,6,0,0,0,47,700,833,450,292,261,9,0,2553,117,245,175,145,151,4,0,837
RA54,9,34,36,24,21,4,0,121,3,17,5,9,5,0,0,33,4,8,4,3,0,0,0,13,0,0,0,0,0,0,0,3,20,55,47,36,28,4,0,173,8,12,8,5,8,0,0,42,0,3,0,0,0,0,0,9,10,19,10,10,9,0,0,56,24,66,59,40,33,4,0,226,22,42,32,24,16,0,0,143,16,8,9,4,0,0,0,42,66,116,98,71,51,4,0,416,80,142,100,49,44,8,0,420,80,130,79,54,40,0,0,383,4,7,9,0,3,0,0,24,10,6,5,3,4,0,0,24,172,278,190,107,85,10,0,846,21,44,24,20,7,0,0,111,20,44,24,11,13,0,0,110,41,83,44,35,19,0,0,222,216,363,240,141,110,10,0,1072,484,439,261,140,71,6,3,1395,30,32,14,12,3,0,0,93,727,835,512,289,183,9,4,2559,93,175,132,76,62,11,0,542
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
