RA_CODE_2016,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
RA23,0,0,0,0,4,0,0,0,4,0,0,8,29,0,0,0,33,0,0,0,33,0,0,39,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,37,8,0,0,44,0,0,0,47,4,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,42,3,0,0,49,0,0,0,44,4,0,52,30,10,0,3,43,0,0,0,43,5,0,49,3,0,0,0,3,0,0,0,3,0,0,3,71,15,0,3,93,0,0,3,95,11,0,100,13,0,0,0,17,0,0,0,20,0,0,21,62,3,5,0,69,0,0,0,69,3,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,5,5,0,88,0,0,0
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,20806,2564,311,168,23851,600,149,749,24604,1401,25,26025,40254,4837,490,322,45902,636,124,759,46666,1136,42,47841,10114,1054,940,80,12191,164,15,174,12366,308,8,12684,609,74,14,437,1140,23,4,29,1166,53,50,1264,71782,8527,1755,1015,83075,1432,285,1720,84798,2897,119,87818,1241,235,27,31,1533,300,23,317,1854,125,5,1984,2238,384,28,53,2699,241,56,294,3000,117,6,3120,3475,615,54,83,4234,535,78,618,4853,236,10,5098,75262,9145,1813,1096,87315,1965,365,2332,89645,3141,128,92911,35191,5226,986,951,42351,1802,336,2133,44484,4448,105,49037,163,31,3,129,323,4,0,7,331,26,318,678,110610,14404,2797,2169,129989,3774,700,4474,134460,7617,549,142625,30440,3722,375,198,34737,917,228,1144,35881,1960,36,37877,46952,5352,493,379,53177,887,175,1058,54239,1480,52,55773,1967,247,291,19,2526,52,4,54,2578,114,3,2698,486,80,8,528,1110,37,9,41,1145,74,49,1270,79845,9400,1170,1133,91547,1887,417,2305
RA31,4493,586,83,32,5190,140,27,162,5352,380,3,5738,10209,1222,171,92,11687,201,30,231,11922,390,13,12327,2246,232,276,22,2774,56,8,60,2831,61,0,2897,126,22,11,105,271,12,4,15,284,17,7,312,17073,2063,546,249,19921,404,68,473,20396,850,23,21271,287,46,12,4,349,90,12,106,453,67,0,527,564,81,12,25,691,94,20,109,794,37,3,838,858,129,25,31,1039,182,33,214,1250,110,3,1367,17928,2189,567,277,20961,585,100,683,21648,958,27,22632,9980,1580,400,301,12265,882,142,1027,13290,1833,24,15150,56,7,3,16,81,3,0,3,86,10,118,211,27962,3780,971,593,33305,1476,243,1718,35021,2802,171,37989,7838,951,136,59,8985,240,52,289,9272,569,5,9846,13239,1581,265,160,15243,317,36,360,15599,626,26,16247,610,93,127,9,835,16,11,25,863,50,0,917,149,19,4,162,330,19,3,20,354,21,5,382,21830,2646,531,395,25391,597,95,694
RA32,4065,487,99,27,4676,113,28,146,4821,310,7,5139,7759,889,128,90,8874,145,26,177,9049,276,7,9336,1845,210,242,22,2317,22,8,26,2345,71,0,2420,111,16,0,90,225,6,0,6,227,18,3,248,13779,1606,475,231,16091,297,62,358,16454,670,19,17138,227,31,3,3,268,84,3,89,355,33,0,383,442,64,3,12,519,68,22,89,607,21,3,632,664,97,11,12,789,152,20,175,963,51,4,1021,14452,1699,484,243,16883,444,85,535,17413,725,20,18157,7101,1048,317,234,8696,569,96,666,9358,1140,36,10536,63,4,3,17,86,3,0,5,88,8,90,187,21614,2757,803,493,25661,1018,181,1203,26864,1868,153,28878,6532,721,140,62,7458,186,45,230,7679,466,5,8152,9553,1082,203,109,10944,202,20,223,11164,387,12,11565,405,62,78,0,539,16,3,18,558,36,0,592,121,14,0,160,297,11,3,18,312,24,10,345,16607,1883,420,327,19237,414,65,479
RA33,577,42,8,7,631,3,3,3,632,26,0,658,911,82,12,5,1007,16,0,16,1023,30,0,1055,202,13,31,5,249,0,0,0,249,3,0,257,18,0,0,18,35,0,0,0,35,3,3,38,1710,139,49,30,1923,21,3,23,1947,61,4,2009,17,3,0,0,23,15,0,15,32,10,0,38,45,3,0,0,48,11,4,11,61,9,0,70,65,4,0,0,71,17,4,23,94,10,0,108,1773,139,48,30,1995,44,10,47,2041,79,4,2118,1089,94,46,26,1258,68,22,93,1351,152,11,1513,3,0,0,0,3,0,0,0,7,3,17,27,2867,231,91,62,3253,106,32,138,3394,237,30,3653,895,44,7,7,953,6,3,12,970,44,3,1012,1115,92,12,17,1242,16,8,19,1262,41,0,1300,48,8,11,0,69,0,0,0,69,3,0,68,19,0,0,23,40,0,0,0,40,4,0,44,2079,144,31,52,2307,27,12,34
RA34,507,45,8,12,564,18,3,23,585,63,3,649,490,57,10,7,565,10,0,14,578,36,0,616,142,9,25,0,176,0,0,0,178,3,0,183,11,3,3,7,26,0,0,0,26,0,0,33,1146,115,48,28,1334,29,3,34,1367,104,3,1478,13,6,0,0,19,38,3,44,66,7,0,69,16,0,0,0,20,6,6,11,30,10,0,38,33,8,0,0,42,48,10,58,97,17,0,110,1185,115,48,31,1377,73,13,85,1464,126,3,1591,539,121,12,36,709,81,40,127,830,335,6,1170,4,0,0,3,4,0,0,0,7,5,19,30,1722,242,54,69,2088,158,54,215,2304,459,27,2786,732,55,5,9,804,19,3,26,823,63,3,890,512,89,14,19,638,15,0,20,660,49,0,711,33,3,14,0,51,3,0,3,48,0,3,52,12,6,0,10,31,3,0,7,34,8,0,45,1284,154,37,44,1522,44,6,47
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,5697,985,99,37,6813,175,41,217,7029,545,0,7573,16900,2360,231,104,19590,287,60,345,19942,597,10,20549,4257,578,488,46,5367,65,7,75,5439,115,3,5556,206,49,3,159,420,12,3,11,436,18,17,464,27059,3971,818,341,32191,536,114,648,32843,1272,27,34139,401,100,9,11,522,145,18,158,681,51,5,739,802,167,9,11,995,89,30,125,1118,56,4,1179,1205,266,20,23,1515,238,46,284,1800,112,6,1920,28262,4234,842,371,33709,769,166,935,34637,1381,40,36061,12312,2519,370,291,15494,973,189,1157,16654,2625,43,19322,77,15,3,32,135,3,0,3,137,11,137,283,40652,6772,1216,697,49338,1742,348,2097,51433,4023,217,55665,8713,1389,111,64,10282,289,78,367,10652,690,3,11352,19137,2405,232,135,21908,333,90,425,22331,649,20,23000,775,139,179,13,1108,13,3,17,1124,38,4,1172,150,38,3,188,379,8,3,10,390,18,6,418,28783,3972,528,398,33680,639,176,824
RA41,808,144,13,16,974,13,0,15,994,71,0,1066,2878,344,32,21,3271,26,0,32,3306,75,0,3379,628,77,69,8,778,11,0,11,788,21,0,809,52,14,0,20,91,0,0,0,91,6,5,96,4363,576,115,59,5112,54,6,61,5176,166,7,5354,32,3,0,0,40,11,0,11,51,7,0,56,93,12,0,7,117,11,3,13,128,9,0,132,130,15,3,4,153,21,3,21,174,11,0,190,4490,593,118,67,5269,77,13,86,5355,182,7,5545,2242,396,92,49,2773,123,18,142,2917,287,0,3208,16,3,0,0,23,0,0,0,23,0,19,44,6752,993,210,113,8066,198,30,223,8298,470,27,8791,1533,243,20,18,1820,36,14,49,1868,132,5,2007,3760,481,61,36,4339,45,5,53,4392,115,5,4514,168,27,50,3,239,0,0,0,246,8,0,251,25,3,0,29,61,3,0,3,59,6,0,68,5490,759,127,82,6462,83,18,105
RA42,538,77,14,4,632,12,5,15,651,52,0,703,2133,216,27,9,2387,33,4,37,2426,74,3,2505,442,54,79,6,574,3,0,6,580,15,0,599,31,5,0,22,57,0,0,0,55,0,0,63,3139,351,120,45,3656,53,14,63,3718,139,9,3863,27,4,3,3,42,11,0,11,53,4,0,62,71,11,3,0,86,15,5,20,102,9,0,115,101,15,3,3,127,25,5,30,154,20,0,174,3240,370,124,47,3777,77,15,92,3868,156,6,4038,1729,275,69,51,2119,147,21,163,2288,305,5,2602,6,3,0,0,10,0,0,0,10,0,20,33,4974,645,198,95,5910,217,37,258,6172,462,40,6671,1112,130,19,8,1272,23,3,28,1301,59,0,1362,2693,317,53,31,3096,43,3,44,3136,106,7,3253,124,15,42,3,184,7,0,7,189,18,0,202,25,3,3,34,56,0,0,0,56,0,0,58,3952,465,120,73,4610,64,5,78
RA43,192,21,6,0,220,7,0,9,227,14,0,240,729,94,6,3,829,3,3,6,832,20,3,863,140,7,18,0,173,0,0,0,169,5,0,178,22,0,3,12,29,0,0,0,29,3,0,35,1089,120,29,10,1252,4,3,15,1264,49,3,1310,7,0,0,0,7,0,0,0,9,0,0,9,30,0,3,0,32,0,0,0,31,0,0,31,34,0,3,0,40,0,0,3,41,0,0,40,1123,124,32,10,1291,9,7,11,1306,45,3,1354,518,57,12,20,613,19,0,23,631,41,0,674,3,0,0,0,3,0,0,0,3,0,7,12,1641,183,49,28,1906,25,5,33,1939,96,8,2038,332,30,0,3,373,3,0,3,370,25,0,397,872,96,24,9,1004,5,4,14,1012,19,0,1035,38,8,16,0,52,0,0,0,52,0,0,52,8,0,0,8,13,3,0,3,18,8,0,25,1250,137,33,23,1438,13,4,17
RA44,74,5,0,0,75,3,0,3,77,12,0,94,130,32,0,5,167,3,0,3,172,13,3,182,23,3,4,0,31,0,0,0,31,3,0,36,3,0,0,4,5,0,0,0,10,0,0,10,232,35,5,5,283,7,0,4,287,26,3,317,0,0,0,0,0,5,0,5,9,3,0,13,3,0,0,0,3,4,0,3,3,0,0,3,3,0,0,0,5,13,0,12,19,3,0,24,235,42,5,5,286,18,3,21,309,35,3,339,97,27,6,7,135,3,0,4,135,84,3,220,0,0,0,0,0,0,0,0,0,0,21,20,329,70,14,18,420,21,4,23,443,116,25,588,98,10,0,3,114,5,0,5,117,18,0,127,161,23,3,0,187,0,0,0,187,20,0,203,9,3,4,0,16,0,0,0,16,3,0,22,0,0,0,3,3,0,0,0,7,0,0,7,270,37,5,5,322,4,0,4
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,9265,1462,179,81,10991,477,89,571,11562,795,17,12371,26779,3021,445,226,30474,566,69,638,31107,619,17,31751,5759,614,680,56,7101,151,19,171,7270,155,13,7431,316,54,15,254,640,22,0,29,665,29,19,712,42120,5151,1317,618,49204,1219,183,1398,50603,1594,62,52259,898,141,21,14,1075,181,18,190,1272,84,4,1354,2006,232,65,43,2339,215,27,247,2587,85,3,2674,2908,371,84,56,3418,393,48,435,3858,163,4,4025,45029,5521,1403,671,52621,1609,226,1838,54456,1760,66,56282,28742,3510,984,681,33917,1800,237,2041,35955,2952,80,38987,103,21,3,65,196,9,4,14,212,34,227,474,73871,9047,2387,1419,86728,3422,469,3888,90622,4748,373,95744,13646,1997,231,114,15982,631,141,773,16759,1098,17,17869,31721,3370,467,255,35814,830,87,920,36737,813,31,37582,1138,157,214,22,1525,38,0,44,1570,47,7,1621,304,45,5,274,632,19,3,21,651,36,21,708,46803,5573,914,668,53957,1528,235,1761
RA51,646,107,22,6,776,23,6,28,806,60,3,871,2692,327,82,29,3135,62,8,68,3199,62,3,3267,417,54,61,5,539,8,3,11,554,14,0,561,43,9,3,24,81,0,0,0,81,3,3,82,3803,496,173,59,4527,95,16,108,4638,137,12,4787,43,7,4,0,58,25,0,23,81,6,0,91,158,26,0,5,193,17,0,17,206,18,0,228,203,32,5,5,247,40,0,41,287,28,4,319,4009,526,177,60,4777,131,19,155,4924,160,13,5104,2921,377,187,77,3572,182,11,196,3762,259,3,4023,6,4,0,3,15,0,0,0,20,0,17,38,6940,909,367,148,8357,314,35,343,8703,418,37,9164,1290,195,35,13,1526,46,18,70,1595,91,0,1686,3743,480,132,46,4398,95,10,105,4504,114,3,4616,119,13,45,0,173,3,3,3,181,4,0,182,34,3,3,30,68,0,0,0,68,0,0,68,5178,687,213,92,6169,144,28,174
RA52,746,93,16,3,853,16,0,22,875,63,0,937,2282,222,53,23,2574,30,4,34,2607,64,3,2672,449,43,79,0,568,6,0,6,570,4,0,576,33,4,0,28,67,0,0,0,65,0,0,67,3502,357,147,53,4058,56,5,59,4122,131,3,4256,43,11,3,0,59,7,0,12,69,12,0,73,90,13,3,0,109,9,6,16,120,8,0,135,138,23,4,0,163,15,6,26,192,20,0,206,3639,382,150,57,4223,69,16,83,4314,146,3,4463,2601,305,146,71,3123,163,39,194,3320,273,8,3598,14,0,0,3,21,4,0,4,25,0,20,42,6254,692,297,129,7374,231,53,284,7656,418,35,8107,1325,155,30,19,1529,39,12,50,1578,103,0,1688,3127,347,74,35,3583,50,8,57,3644,86,3,3733,102,27,46,0,174,5,0,9,181,5,0,186,42,7,0,43,90,3,0,3,98,3,0,98,4599,531,147,100,5380,98,20,118
RA53,547,52,13,0,615,12,0,18,636,42,0,672,1324,95,38,13,1471,8,0,8,1476,29,0,1509,246,30,38,13,330,3,0,3,332,9,0,336,25,3,0,11,40,3,0,3,42,0,6,48,2153,175,90,36,2452,30,0,31,2486,79,6,2565,30,4,0,0,35,9,0,9,40,3,3,43,68,5,4,3,76,4,0,3,81,0,3,91,97,9,4,3,107,12,0,17,127,7,3,135,2244,182,92,41,2562,46,0,50,2613,81,13,2705,1662,109,85,39,1897,48,9,58,1954,100,8,2061,21,0,0,0,24,0,0,0,24,0,15,41,3930,288,180,85,4482,95,8,107,4586,179,37,4807,911,107,15,7,1040,24,3,28,1064,39,3,1105,1643,111,34,20,1815,19,0,17,1837,39,0,1884,71,0,32,0,103,3,0,3,108,8,0,118,18,0,0,21,42,0,0,0,42,3,0,48,2651,220,81,52,2999,51,3,51
RA54,306,53,7,4,368,9,0,8,381,55,0,434,498,56,21,6,577,10,0,9,586,30,3,614,113,12,20,6,147,4,0,4,149,5,0,154,7,0,0,13,15,0,0,0,15,3,0,24,921,116,51,27,1114,18,3,18,1132,93,3,1226,11,0,0,0,14,29,0,32,41,6,0,52,35,5,3,0,42,7,3,11,53,0,0,52,47,5,3,0,55,36,6,43,95,6,0,102,964,118,54,27,1167,50,10,61,1221,101,3,1327,788,98,51,20,952,107,17,127,1077,392,11,1484,3,0,0,0,8,3,0,3,12,4,52,71,1756,219,106,43,2129,166,20,188,2318,499,66,2876,552,67,9,9,631,13,0,16,647,51,0,702,615,96,35,13,757,12,3,11,769,35,0,804,22,10,16,0,44,3,0,3,44,3,0,51,14,0,0,19,33,0,0,0,33,0,0,35,1208,168,49,40,1468,29,3,29
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
