RA_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
RA23,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,4,0,21,0,0,0,7,5,6,4,3,0,28,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,3,4,0,3,0,6,0,0,11,21,0,5,0,0,0,36,10,3,27,87,0,3,4,0,0,130,0,0,0,5,3,0,0,0,0,9,3,3,4,11,3,3,0,0,0,17,3,6,5,9,5,0,3,0,0,27,0,0,5,15,0,0,0,0,0,27,0,0,17,18,6,4,8,0,0,58,0,0,0,9,0,0,0,0,0,11,0,0,13,18,3,0,0,0,0,37,0,0,0,5,0,0,0,0,0,8,0,0,12,27,0,0,0,0,0,42,0,0,0,0,0,0,0,3,0,7,0,0,0,3,3,0,0,0,0,8,0,0,0,3,0,0,0,0,0,4,0,0,10,4,0,0,0,0,0,12,0,3,0,8,0,3,12,0,0,29,3,7,24,101,34,31,15,0,0,219,0,0,0,7,0,0,3,0,0,7,0,0,0,9,0,0,0,0,0,11
RA30,5,49,70,248,228,446,789,742,276,2851,93,408,2161,3440,1192,1540,589,224,40,9690,777,2548,4610,25180,3310,1981,1366,653,261,40684,89,382,824,2307,710,559,503,299,140,5813,62,551,579,3403,670,385,216,82,32,5983,77,287,284,999,370,192,54,30,10,2302,89,643,433,3689,1240,888,927,546,264,8731,28,148,296,1282,674,1155,2015,1889,923,8409,143,698,1291,4541,1636,620,403,139,72,9546,216,1033,2778,8629,1862,686,290,122,13,15620,8,35,36,357,323,248,192,78,24,1296,146,586,2240,4416,2079,1750,1013,377,89,12689,0,14,18,82,114,334,610,289,77,1533,3,36,89,320,214,250,201,75,34,1215,10,125,411,1187,350,257,159,71,31,2608,22,134,881,2624,114,49,12,7,0,3848,24,169,244,1100,979,1450,2811,1545,628,8942,1677,14238,20264,54833,27678,21375,12507,4633,1437,158638,13,92,113,735,562,513,705,357,91,3173,109,463,540,2191,367,185,86,26,3,3969
RA31,0,4,7,21,23,28,40,35,10,172,0,29,115,176,79,73,19,16,5,500,78,338,436,2396,306,148,160,87,36,3965,12,43,54,218,79,83,98,59,30,677,0,31,28,153,29,22,28,11,4,308,44,118,20,195,40,11,3,3,0,443,9,100,60,370,188,174,210,139,38,1293,4,18,30,144,81,163,295,274,131,1147,11,40,103,287,70,32,28,5,5,582,16,57,146,621,40,18,8,0,0,909,0,5,0,16,18,13,11,3,3,71,16,56,80,424,241,198,89,26,9,1132,0,0,3,18,29,118,267,100,39,576,3,3,5,30,29,25,30,15,0,150,0,8,27,151,31,15,16,11,7,265,3,33,78,429,16,16,0,0,0,583,0,42,58,226,297,606,1135,563,180,3111,121,1237,1639,6103,4735,4705,3323,1061,247,23162,0,5,0,80,109,115,167,109,15,599,27,66,61,224,30,19,12,3,0,446
RA32,0,4,3,17,24,40,64,86,22,264,3,17,91,229,64,77,27,13,0,515,77,296,368,2471,408,223,128,72,21,4056,8,62,55,252,91,76,89,56,25,712,4,11,13,102,21,22,16,7,0,199,9,11,11,46,6,10,3,3,0,94,9,81,53,416,169,134,150,70,32,1120,11,25,89,289,156,343,832,932,502,3176,27,153,164,1222,411,99,55,13,7,2141,33,74,261,1159,93,31,10,3,0,1667,0,0,0,10,15,13,15,3,0,45,16,25,80,300,218,172,75,44,3,933,0,0,8,8,23,83,148,65,25,363,0,12,5,43,27,32,27,16,9,166,3,11,31,166,35,21,15,4,0,280,13,141,186,225,13,6,0,0,0,585,3,25,43,259,189,365,559,235,62,1745,114,922,1264,4693,3436,3357,1823,537,102,16259,0,19,13,73,72,71,93,45,3,389,7,28,16,122,12,19,5,4,0,219
RA33,0,0,0,3,0,3,4,3,0,10,0,0,0,11,5,0,0,0,0,15,3,15,14,185,13,11,12,6,0,271,0,11,10,37,7,7,5,0,0,78,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,4,4,52,17,10,20,6,3,112,0,0,5,23,3,16,42,44,34,176,0,0,23,49,0,3,3,0,0,82,0,0,23,43,4,0,0,0,0,73,0,0,0,0,0,0,0,0,0,3,0,0,0,15,11,4,6,0,0,39,0,0,0,0,3,0,4,3,0,17,0,0,0,8,7,0,0,0,0,18,0,0,0,12,0,0,0,0,0,16,0,3,6,26,3,0,0,0,0,37,0,3,3,12,14,20,36,11,5,107,22,164,219,654,341,328,146,38,9,1914,0,0,0,11,3,4,7,3,0,24,0,4,0,15,0,0,0,0,0,22
RA34,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,7,0,4,7,74,12,4,5,0,0,110,0,0,0,3,9,0,0,0,0,16,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,29,6,9,11,0,0,48,0,0,3,8,0,3,3,3,0,25,3,0,4,9,0,0,0,0,0,18,0,0,4,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,11,8,7,0,0,0,24,0,0,0,0,0,3,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,13,0,0,0,14,8,21,21,6,0,73,0,15,46,204,160,125,71,20,0,641,0,0,0,4,0,0,3,0,0,5,0,0,0,3,0,0,0,0,0,10
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,3,3,0,0,7,0,0,5,15,0,0,0,0,0,17,3,0,9,38,3,0,5,0,0,62,0,0,5,7,4,0,8,0,0,24,0,0,0,3,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,10,0,0,27,19,4,3,3,0,0,45,0,0,23,29,3,0,4,0,0,60,0,0,8,23,0,0,3,0,0,28,0,0,5,33,3,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,4,0,0,0,26,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,9,0,0,0,0,0,7,0,0,10,18,8,12,34,3,3,88,3,8,33,146,89,153,133,11,0,567,0,0,3,8,0,0,3,0,0,18,0,0,0,9,0,0,0,0,0,10
RA40,0,57,92,282,462,1317,2232,2631,835,7913,38,109,1214,1175,243,391,191,64,6,3425,599,2553,2462,16363,1942,955,712,369,170,26130,65,170,226,948,173,133,132,70,23,1947,61,465,617,2184,505,311,174,85,33,4439,25,134,242,618,251,120,46,12,3,1459,17,179,114,707,383,443,431,376,155,2796,24,66,148,606,1032,2759,4891,5327,2297,17149,31,96,219,660,206,67,59,22,9,1372,49,403,677,1732,458,121,31,15,0,3494,17,39,92,368,269,315,217,105,50,1477,99,430,1608,2758,863,720,650,187,57,7376,0,0,4,42,78,286,500,260,91,1265,0,3,12,84,27,24,16,12,7,191,3,147,268,676,136,59,27,20,9,1336,53,403,695,1566,49,30,11,5,0,2814,10,68,89,314,318,951,1647,780,356,4525,90,549,786,3019,1820,1695,951,345,115,9373,3,33,45,201,306,366,462,234,77,1724,172,655,483,1605,217,79,33,22,0,3256
RA41,0,0,5,5,13,39,63,45,11,184,0,5,19,36,4,10,0,5,0,79,17,33,46,251,44,42,42,28,15,523,0,7,7,33,11,14,13,12,3,96,0,3,7,21,9,0,3,0,0,44,0,0,0,10,0,4,0,0,0,11,3,10,11,44,48,45,51,54,11,275,0,3,4,12,44,135,228,216,73,724,0,19,8,43,20,3,3,0,0,99,0,14,17,39,3,0,3,0,0,71,0,3,0,9,9,3,3,3,0,35,0,16,18,77,46,41,16,9,0,214,0,0,0,3,6,32,29,9,3,81,0,5,0,8,3,3,3,0,0,12,0,13,38,108,29,19,13,7,0,223,0,0,3,17,3,0,0,0,0,16,0,13,10,56,86,286,493,184,59,1191,18,91,133,450,397,339,223,74,16,1742,0,3,4,13,28,49,60,36,6,199,0,4,6,24,3,3,0,0,0,49
