LGA_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA22250,823,640,349,100,4314
LGA22310,10926,6500,3144,1770,79099
LGA22410,1682,1146,515,206,8605
LGA22490,1744,1054,323,81,10027
LGA22620,8453,5746,2860,1301,51904
LGA22670,6604,4531,2462,1001,60571
LGA22750,17689,12520,6333,2861,114020
LGA22830,4200,2760,1331,558,26983
LGA22910,1863,1358,548,211,8220
LGA22980,467,274,157,84,2304
LGA23110,5924,3159,1578,738,43370
LGA23190,1508,929,460,246,8676
LGA23270,9319,4946,2087,607,78335
LGA23350,1767,1195,471,181,8283
LGA23430,10584,6684,3764,1825,76491
LGA23670,11739,6883,3462,1468,75640
LGA23810,5766,3801,1957,738,33720
LGA23940,722,504,238,88,3304
LGA24130,4275,3057,1103,384,23544
LGA24210,9419,6951,4210,1644,60419
LGA24250,899,762,279,88,4367
LGA24330,3938,1668,802,482,44164
LGA24410,7851,5267,2811,1234,55473
LGA24600,5836,3800,1474,782,90605
LGA24650,6198,3222,1064,281,56997
LGA24780,3676,2378,1224,526,22696
LGA24850,2837,1788,759,264,18349
LGA24900,2226,1752,988,363,12418
LGA24970,12009,8032,5187,2369,96233
LGA25060,8124,4641,2406,1062,60956
LGA25150,2407,1625,552,220,14473
LGA25250,8085,3976,2458,1368,86119
LGA25340,13444,11926,6526,2483,77580
LGA25430,2252,1682,759,287,10540
LGA25490,1421,894,354,155,7583
LGA25620,1477,1202,429,134,6949
LGA25710,6140,3471,1123,312,32028
LGA25810,965,761,350,126,4963
LGA25900,7609,4712,1766,712,67794
LGA25990,763,599,196,85,3436
LGA26080,390,453,239,85,1759
LGA26170,2693,2101,865,296,13415
LGA26260,1411,960,453,242,7296
LGA26350,7665,5702,3030,1274,67371
LGA26430,1079,854,410,169,4952
LGA26490,2873,2066,808,268,15810
LGA26610,1444,937,470,217,8690
LGA26670,622,475,190,63,2920
LGA26700,2469,1693,850,475,13482
LGA26730,2474,1670,884,402,15618
LGA26810,3740,2492,1165,412,20366
LGA26890,298,217,101,55,1593
LGA26980,11531,7815,4890,2326,86615
LGA27070,9135,4987,2101,625,83939
LGA27170,2771,1710,712,283,18217
LGA27260,9530,4788,1731,577,99216
LGA27350,5554,3608,1256,426,57818
LGA27450,12338,8121,3121,1127,73041
LGA27630,568,399,207,150,2854
LGA29399,59,43,15,0,545
LGA29499,526,263,61,19,4580
LGA29799,10,0,0,0,25
LGA30250,40,12,0,0,255
LGA30300,262,146,59,21,1698
LGA30370,816,391,209,48,5503
LGA30410,170,109,56,8,1102
LGA30450,17,11,0,0,95
LGA30760,133,78,40,8,685
LGA30900,36,4,5,0,167
LGA31000,75346,44024,20792,9839,610388
LGA31750,35,10,3,0,164
LGA31820,7268,5615,2872,946,39307
LGA31900,1135,806,395,147,6658
LGA31950,37,14,0,0,164
LGA32080,12046,6783,2599,815,76829
LGA32250,126,82,26,3,748
LGA32260,2472,1529,717,191,12362
LGA32270,1540,583,211,48,12060
LGA32310,741,544,260,66,4469
LGA32330,26,3,0,0,229
LGA32450,193,87,29,12,1350
LGA32500,437,286,79,20,2209
LGA32600,32,9,0,0,130
LGA32750,22,5,0,0,138
LGA32770,26,3,3,0,213
LGA32810,1206,720,317,94,6277
LGA33100,55,47,9,0,290
LGA33200,82,61,21,10,542
LGA33220,8803,7702,3636,1050,45433
LGA33360,4011,1893,714,194,27378
LGA33430,39409,28086,13185,5597,276431
LGA33610,664,420,211,64,4262
LGA33620,4331,3343,1392,440,21579
LGA33800,909,615,358,117,4486
LGA33830,34,20,8,0,330
LGA33960,10348,5788,2655,799,81434
LGA33980,1021,348,83,24,9523
LGA34420,33,6,0,0,226
LGA34530,3119,1938,843,335,16916
LGA34570,21,11,0,0,225
LGA34580,2506,1741,691,219,16094
LGA34590,17574,10813,4009,1207,125686
LGA34710,302,142,74,36,1665
LGA34770,7897,4034,1856,627,50912
LGA34800,54,21,10,3,350
LGA34830,21,4,3,0,104
LGA34860,737,365,180,66,5365
LGA34880,1777,1278,508,125,10117
LGA35010,28434,20010,8624,3558,192629
LGA35250,50,23,3,0,382
LGA35300,944,393,125,28,8343
LGA35600,279,108,74,30,1606
LGA35670,15,5,0,0,165
LGA35740,5556,4566,1981,749,27364
LGA35760,728,556,310,96,4201
LGA35780,115,28,9,0,919
LGA35790,64,11,5,0,496
LGA35800,134,65,31,10,601
LGA36070,13,10,0,0,180
LGA36150,41,26,10,3,288
LGA36250,12104,8159,3744,1688,69937
LGA36300,44,24,10,3,309
LGA36370,4961,2717,1532,703,33184
LGA36510,3408,2528,1079,287,18293
LGA36580,1967,1376,515,110,10210
LGA36630,2511,1961,903,267,13309
LGA36660,2679,2184,1014,362,14389
LGA36720,24662,18607,9116,3671,146541
LGA36820,2356,1843,852,255,11433
LGA36910,11327,7401,3811,1722,72904
LGA36950,224,69,10,3,1703
LGA36960,178,61,11,0,1642
LGA37010,12222,6899,2858,919,86453
LGA37300,193,46,4,0,1914
LGA37310,1941,1205,569,202,13872
LGA37340,2562,1624,592,185,16453
LGA37400,69,75,32,9,458
LGA37550,38,9,0,0,246
LGA37570,12,0,0,0,86
LGA37600,60,18,3,0,605
LGA39499,1426,1050,215,24,7409
LGA39799,15,15,6,3,71
LGA40070,1511,1300,494,243,14023
LGA40120,4388,2925,930,274,20810
LGA40220,2529,2418,1073,407,12612
LGA40250,98,29,11,7,721
LGA40310,2033,1298,538,246,10801
LGA40430,194,183,94,37,992
LGA40520,782,520,245,109,4196
LGA40700,4437,3500,1719,904,24783
LGA40910,3266,2346,1486,541,23970
LGA41010,235,134,43,34,1388
LGA41060,7750,4978,2585,1155,52665
LGA41140,852,599,222,82,4096
LGA41190,121,76,27,24,691
LGA41330,156,132,61,6,872
LGA41560,1123,984,487,206,5831
LGA41750,99,41,21,13,407
LGA41830,154,97,44,14,719
LGA41960,104,82,19,18,509
LGA42030,1645,1094,611,273,9995
LGA42110,375,255,113,20,1668
LGA42250,620,398,133,40,3670
LGA42600,3613,2632,1331,787,19684
LGA42750,482,338,142,53,2197
LGA43080,71,61,23,9,384
LGA43220,57,33,26,11,380
LGA43360,175,151,74,30,948
LGA43650,1127,587,202,58,6323
LGA43710,447,272,94,44,2501
LGA43790,808,570,270,132,4506
LGA43920,598,340,89,34,3427
LGA44000,5,0,0,0,47
LGA44060,6673,4099,2077,1096,43940
LGA44210,797,651,253,61,3795
LGA44340,5965,4375,2088,1068,35287
LGA44550,2732,1788,675,260,16216
LGA44620,1568,1094,602,263,10527
LGA44830,305,193,75,25,1230
LGA45040,1269,940,443,157,8313
LGA45090,501,341,156,84,3266
LGA45120,374,249,96,58,1867
LGA45290,2983,2032,986,497,19703
LGA45340,12565,8954,3842,1546,77038
LGA45400,82,53,31,13,371
LGA45540,168,93,49,19,591
LGA45680,4168,2406,1461,531,32463
LGA45890,7408,4426,2188,1149,55696
LGA46090,995,642,246,95,6018
LGA46300,993,646,341,123,5999
LGA46450,1120,761,402,144,6508
LGA46510,1803,882,311,168,10899
LGA46670,618,473,218,123,3702
LGA46860,135,102,40,25,693
LGA46970,188,25,5,3,1850
LGA47140,6943,4581,2307,794,54083
LGA47290,125,78,48,16,775
LGA47490,185,91,38,16,839
LGA47630,428,255,124,90,2691
LGA47700,7189,5179,2452,815,46106
LGA47800,341,271,112,34,1966
LGA47910,204,151,67,44,1037
LGA47980,3574,2363,989,738,21559
LGA48050,1311,1639,884,391,7013
LGA48130,466,326,134,64,2556
LGA48260,773,596,313,148,4294
LGA48340,858,550,248,147,4575
LGA48410,3476,2167,1382,941,29248
LGA48540,1406,923,578,177,9120
LGA48640,72,35,14,16,431
LGA48750,641,537,183,50,2494
LGA48830,975,899,382,156,4476
LGA49399,323,153,52,16,1766
LGA49499,247,159,30,10,1595
LGA49799,0,0,0,0,3
LGA50080,3141,2160,1060,459,17181
LGA50210,4587,2902,1295,451,36072
LGA50250,896,119,10,0,8179
LGA50280,1266,757,311,110,7335
LGA50350,1086,667,324,146,7548
LGA50420,4370,2748,1464,756,34341
LGA50490,2267,1361,812,339,20526
LGA50560,180,134,86,14,790
LGA50630,122,81,34,3,794
LGA50770,148,117,47,14,702
LGA50840,514,425,151,36,2281
LGA50910,58,64,29,25,387
LGA50980,1160,439,120,29,8054
LGA51080,93,41,31,3,460
LGA51120,66,50,29,5,368
LGA51190,2547,1590,762,301,15108
LGA51260,2890,2281,1124,435,17522
LGA51310,2537,1470,924,488,15537
LGA51330,5998,3769,1760,726,46305
LGA51400,1200,678,184,43,7773
LGA51470,47,24,11,3,221
LGA51540,412,228,95,33,2447
LGA51610,103,67,21,3,625
LGA51680,464,301,126,16,2492
LGA51750,996,821,538,292,6159
LGA51820,6379,3368,1600,667,51012
LGA51890,632,436,194,68,3664
LGA51960,202,99,39,3,1445
LGA52030,103,82,17,0,431
LGA52100,76,40,26,18,436
LGA52170,937,611,260,124,4820
LGA52240,89,58,34,9,453
LGA52310,62,69,22,9,383
LGA52380,24,17,3,0,91
LGA52450,97,54,24,9,541
LGA52520,75,43,18,9,539
LGA52590,303,206,94,13,1455
LGA52660,908,548,342,162,6169
LGA52730,672,595,244,61,3134
LGA52800,434,175,36,15,3092
LGA52870,624,431,173,59,2806
LGA52940,43,35,12,3,240
LGA53010,55,29,17,0,267
LGA53080,79,44,10,3,339
LGA53150,849,454,214,102,4362
LGA53220,591,105,6,0,5988
LGA53290,995,606,328,123,6218
LGA53360,214,136,27,9,1432
LGA53430,2827,1778,806,316,17042
LGA53570,483,418,163,37,2312
LGA53640,92,48,10,8,496
LGA53710,86,54,18,8,409
LGA53780,6321,3824,1918,642,51981
LGA53800,2605,1505,764,228,16946
LGA53920,152,58,18,3,1291
LGA53990,1909,1225,487,118,11722
LGA54060,306,268,121,28,1573
LGA54130,87,45,26,3,481
LGA54170,13906,8056,2839,1062,79000
LGA54200,4194,3119,1578,456,27066
LGA54280,1751,646,230,55,13234
LGA54310,1042,250,42,7,10857
LGA54340,263,160,104,47,1651
LGA54410,79,53,42,21,490
LGA54480,33,33,7,0,227
LGA54550,134,91,44,26,822
LGA54620,63,33,12,0,334
LGA54690,25,13,12,4,138
LGA54760,36,29,17,9,296
LGA54830,1795,1022,499,141,17790
LGA54900,86,40,15,6,499
LGA54970,94,21,8,0,610
LGA55040,85,34,6,3,744
LGA55110,5817,4996,2952,1009,36701
LGA55180,752,495,258,71,3843
LGA55250,77,33,3,3,542
LGA55320,8998,5949,3254,1725,54062
LGA55390,36,12,0,0,229
LGA55460,222,106,56,27,1297
LGA55530,38,16,3,0,182
LGA55600,158,94,33,14,928
LGA55670,59,22,19,6,284
LGA55740,805,670,297,118,5215
LGA55810,45,44,6,0,232
LGA55880,22,17,5,0,174
LGA55950,34,15,6,6,204
LGA56090,3515,2492,965,298,19943
LGA56160,14,0,0,0,72
LGA56230,1213,1024,536,129,7044
LGA56300,157,139,43,8,628
LGA56370,51,36,18,13,262
LGA56460,416,256,133,47,2263
LGA56580,2324,1676,757,324,12442
LGA56620,59,41,9,0,519
LGA56730,907,591,267,98,4966
LGA56790,341,254,108,34,1479
LGA56860,17,9,4,0,87
LGA56930,180,108,71,23,896
LGA57000,44,15,7,6,296
LGA57080,1413,898,363,86,15710
LGA57140,113,74,31,10,451
LGA57210,480,344,145,48,2315
LGA57280,772,197,46,17,7286
LGA57350,97,64,39,9,410
LGA57420,152,129,38,9,786
LGA57490,7113,4410,2374,823,56365
LGA57630,12,11,3,0,50
LGA57700,1488,805,278,80,11914
LGA57770,74,76,18,7,465
LGA57840,3751,2352,1077,655,24891
LGA57910,14111,9177,5379,2335,112988
LGA57980,1660,1332,665,254,12420
LGA58050,7590,4157,1881,657,59082
LGA58190,21,12,3,0,144
LGA58260,37,32,3,9,232
LGA58330,536,433,135,16,2171
LGA58400,31,15,9,5,141
LGA58470,18,8,0,0,99
LGA58510,2162,1266,757,672,20650
LGA58540,55,36,21,7,359
LGA58570,2336,1109,487,253,21215
LGA58610,164,108,49,21,719
LGA58680,35,18,3,0,181
LGA58760,9238,5433,2630,962,83406
LGA58820,307,225,153,61,1811
LGA58890,59,27,10,10,296
LGA59030,22,10,7,0,145
LGA59100,50,29,13,4,264
LGA59170,76,42,18,3,399
LGA59250,45,15,3,0,400
LGA59310,93,59,18,12,514
LGA59320,28,17,7,0,160
LGA59330,35,34,20,15,210
LGA59340,496,188,40,6,3291
LGA59350,33,7,4,0,187
LGA59360,72,40,17,13,524
LGA59370,380,345,148,36,1702
LGA59499,633,368,58,13,3820
LGA59799,31,4,3,0,338
LGA60210,703,573,210,71,2768
LGA60410,920,547,226,68,5972
LGA60610,1290,853,498,160,7861
LGA60810,1911,1272,660,220,9513
LGA61010,181,156,49,12,859
LGA61210,556,291,138,35,2991
LGA61410,4668,3265,1722,720,26401
LGA61510,728,503,252,52,3866
LGA61610,1796,1368,759,319,10443
LGA61810,540,411,189,61,2601
LGA62010,122,94,31,6,474
LGA62210,512,439,195,40,2691
LGA62410,482,509,192,73,2154
LGA62610,2969,1838,1175,468,19107
LGA62810,4829,3255,1445,715,29618
LGA63010,1629,1140,429,99,7673
LGA63210,553,395,121,44,2729
LGA63410,173,99,60,19,770
LGA63610,3466,2440,1081,341,18399
LGA63810,904,727,341,93,4755
LGA64010,4637,3323,1613,691,29221
LGA64210,1581,1126,524,186,8433
LGA64610,1056,808,393,85,5497
LGA64810,1226,792,314,105,6444
LGA65010,464,281,99,38,2316
LGA65210,305,260,106,41,1207
LGA65410,1163,797,424,109,5881
LGA65610,329,200,97,10,1665
LGA65810,2211,1588,738,257,11079
LGA69499,78,50,10,0,517
LGA69799,5,7,0,0,44
LGA70200,2108,846,255,81,12872
LGA70420,313,128,30,0,2163
LGA70540,5,0,0,0,35
LGA70620,120,36,6,0,889
LGA70700,151,115,23,5,677
LGA71000,5745,2880,893,218,43289
LGA71300,295,81,16,0,2301
LGA72200,701,334,130,21,5078
LGA72300,2004,871,181,37,13530
LGA72330,276,80,27,0,2614
LGA72800,1587,570,205,55,15824
LGA73600,257,115,25,5,2007
LGA74050,76,18,3,4,523
LGA74550,144,66,17,3,1113
LGA74560,69,38,5,3,267
LGA74660,217,58,9,0,2077
LGA74680,68,18,3,0,763
LGA79399,544,203,24,6,3833
LGA79499,284,173,22,0,1635
LGA79799,3,0,3,0,60
LGA89399,30129,19523,8580,3555,219307
LGA89499,57,17,3,0,339
LGA89799,0,0,0,0,0
LGA99399,416,232,97,26,2337
LGA99499,4,4,0,0,31
LGA99799,0,0,0,0,4
