SUA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
1035,39,1950,588,330,1673,0.8,1347,2.6
2000,46,1300,553,200,1367,0.8,1086,2.4
2001,37,1600,652,270,1708,0.8,1427,2.7
2002,44,1300,559,240,1262,0.7,985,2.3
2003,38,1350,590,250,1490,0.8,1158,2.4
2004,38,1387,609,250,1451,0.8,1176,2.4
2005,42,1270,577,215,1399,0.8,1055,2.3
2006,45,1419,604,250,1431,0.8,1148,2.4
2007,39,1560,617,290,1629,0.8,1288,2.5
2008,41,1950,757,350,2137,0.8,1872,2.8
2009,41,1200,621,200,1412,0.7,1102,2.3
2010,36,1820,674,350,1833,0.9,1547,2.7
2011,33,1500,602,280,1466,0.8,1312,2.8
2012,40,1235,554,211,1336,0.8,1064,2.4
2013,44,1083,484,170,1225,0.8,872,2.2
2014,45,1200,534,200,1345,0.7,1050,2.2
2015,40,1300,605,240,1543,0.7,1162,2.3
2016,38,1300,586,225,1399,0.8,1145,2.5
2017,39,1285,604,200,1407,0.8,1098,2.3
2018,40,1257,567,200,1442,0.7,1097,2.3
2019,44,1300,584,220,1355,0.7,1026,2.3
2020,41,1500,583,260,1460,0.8,1192,2.5
2021,40,1430,619,250,1506,0.8,1184,2.4
3000,42,1500,560,218,1369,0.8,1152,2.5
3001,35,1885,709,360,1842,0.8,1581,2.7
3002,43,1387,507,265,1226,0.8,993,2.4
3003,37,1668,697,300,1613,0.8,1339,2.5
3004,31,2000,873,230,2134,0.8,1884,2.8
3005,34,1993,722,250,2031,0.8,1690,2.6
3006,39,1911,649,390,1614,0.8,1359,2.5
3007,42,1300,499,255,1164,0.7,953,2.4
3008,48,1500,477,290,1103,0.7,914,2.3
3009,37,1300,573,240,1343,0.7,1099,2.4
3010,36,1950,716,280,1791,0.8,1448,2.5
3011,45,1222,471,240,1129,0.8,919,2.3
3012,31,1900,1008,265,2390,0.9,2141,2.6
3013,35,1560,643,270,1599,0.8,1310,2.5
3014,43,1800,618,380,1488,0.8,1265,2.5
3015,37,1560,662,290,1607,0.8,1305,2.5
3016,33,1733,710,300,1723,0.8,1442,2.6
3017,41,1300,538,245,1261,0.7,1007,2.4
3018,42,1900,635,305,1622,0.8,1293,2.4
4000,45,1192,568,180,1361,0.8,1089,2.4
4001,39,1517,616,285,1586,0.8,1260,2.5
4002,40,1196,599,195,1416,0.8,1087,2.3
4003,40,1170,516,220,1182,0.8,934,2.3
4004,39,1213,600,180,1365,0.8,1101,2.3
4005,40,1317,615,220,1434,0.8,1125,2.3
4006,43,1000,476,170,1198,0.7,875,2.2
4007,58,1236,481,250,1054,0.7,833,2.1
4008,40,1235,498,177,1393,0.7,989,2.3
5000,41,1517,686,170,1573,0.8,1307,2.5
5001,43,1600,611,280,1509,0.7,1198,2.4
5002,34,2593,983,300,2226,0.9,1939,2.6
5003,38,1733,668,312,1732,0.7,1436,2.5
5004,42,1863,653,350,1581,0.7,1301,2.5
5005,41,1733,668,250,1696,0.8,1333,2.4
5006,38,1733,666,270,1701,0.8,1366,2.5
5007,33,1800,970,290,2377,0.8,2082,2.7
5008,31,2500,1318,260,2963,0.9,2643,2.8
5009,36,2000,728,360,1957,0.8,1642,2.6
5010,31,2600,1361,200,3000,0.9,2578,2.7
5011,35,2037,660,350,1677,0.7,1451,2.7
6000,46,1165,510,200,1255,0.8,990,2.3
6001,43,1100,508,200,1247,0.8,942,2.3
6002,43,1203,517,220,1229,0.8,958,2.3
6003,40,1419,642,265,1590,0.8,1244,2.4
6004,40,1300,575,230,1416,0.8,1086,2.3
6005,47,1200,519,210,1271,0.8,964,2.3
7000,30,2037,450,75,1207,1.3,1509,3.4
7001,35,1950,1002,350,2259,0.9,1937,2.6
7002,33,2171,1055,420,2382,0.9,2177,2.7
8000,36,2412,767,260,2766,0.8,2457,2.9
8001,35,2055,990,375,2425,0.8,2043,2.5
9000,42,1400,712,140,1568,0.9,1377,2.6
