SUA_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
1010,20,3,103,60,169,37,401,4,0,5,8,46,9,64,4,3,41,37,351,14,452,3,0,6,15,90,0,115,17,3,117,103,1425,36,1714,0,0,26,15,148,10,203,10,6,97,90,500,29,730,4,0,62,71,357,31,527,3,4,36,57,256,22,387,3,3,17,25,56,4,111,5,5,53,41,35,3,154,3,4,26,39,75,9,155,50,32,223,79,111,13,506,3,0,35,35,178,12,263,42,35,176,160,235,9,660,81,60,324,67,91,14,638,120,32,352,164,240,24,921,5,0,20,15,66,6,109,10,4,39,24,364,22,469,12,3,39,41,246,50,395,398,207,1808,1159,5042,363,8975,17,0,67,45,59,30,227,0,0,0,4,3,0,5,0,0,13,31,49,4,103,0,0,4,7,11,0,16,6,3,25,61,96,13,201,0,0,14,23,34,4,82,8,4,108,161,459,51,792,0,11,94,145
1011,4,3,28,18,83,11,143,3,0,12,10,96,0,125,27,4,65,43,304,26,470,5,0,14,25,77,0,123,3,0,26,34,757,22,847,4,3,27,18,147,11,210,28,3,52,34,282,25,425,13,0,51,43,114,7,234,4,3,24,19,168,19,241,3,3,13,7,26,0,50,4,3,34,31,21,3,97,0,0,15,15,40,3,69,27,20,116,30,77,16,289,0,3,11,12,76,4,114,36,24,118,110,179,13,482,49,36,157,27,62,4,332,61,23,152,77,136,14,459,0,3,11,9,60,3,90,10,0,19,15,277,11,336,6,0,11,12,118,33,179,287,133,963,593,3118,227,5308,3,0,21,7,11,0,49,0,0,4,3,8,0,11,8,3,43,19,45,5,123,3,0,16,4,20,0,41,3,0,18,26,56,8,101,3,0,13,8,44,6,74,15,3,67,71,255,33,437,9,0,30,63
1012,0,0,3,3,21,3,35,0,0,0,3,21,0,25,0,0,0,0,79,3,85,3,0,9,8,44,0,63,0,0,8,19,341,21,392,0,0,3,4,10,0,18,7,0,12,18,137,17,183,0,0,17,35,120,19,191,0,0,3,12,45,9,68,0,0,3,0,0,0,9,0,0,5,18,7,0,29,0,0,4,0,25,0,33,9,3,48,15,18,7,86,0,0,5,8,46,3,59,8,5,31,34,45,5,128,11,12,62,13,18,5,123,23,3,61,36,57,3,180,0,0,5,3,13,3,25,6,0,9,12,88,0,121,0,0,3,11,43,15,75,68,36,295,244,1172,109,1931,0,0,0,4,7,0,8,0,0,0,0,0,0,0,0,0,0,3,21,3,24,3,0,3,4,17,3,27,0,0,0,3,18,0,28,0,0,0,0,3,0,10,3,3,17,43,107,29,198,4,3,19,25
1013,0,0,11,14,48,7,79,0,0,4,12,50,4,70,3,0,19,19,184,12,226,4,3,9,12,47,3,70,0,4,12,29,447,21,511,0,0,4,11,47,10,66,7,0,27,22,140,7,204,5,3,23,14,71,8,117,0,0,7,14,144,13,188,0,0,3,3,18,0,28,4,0,8,16,6,0,31,3,0,3,9,26,3,45,6,12,51,13,21,4,104,3,0,10,10,40,9,70,29,23,62,121,239,14,486,31,15,84,20,29,4,188,30,5,64,62,81,3,244,0,3,4,6,13,0,29,3,4,8,12,136,4,167,5,0,5,14,78,13,116,136,69,424,423,1866,133,3055,0,0,8,3,10,0,31,0,0,0,0,4,0,4,3,0,7,18,29,4,56,0,0,0,3,0,0,0,0,0,7,7,15,0,33,0,0,5,3,14,0,20,0,3,22,47,122,14,211,3,3,19,31
1014,3,0,8,9,34,7,64,0,0,0,0,9,3,9,0,0,4,7,111,11,139,0,0,3,11,41,3,59,0,3,24,8,250,11,300,0,0,0,4,26,0,28,0,0,7,17,124,15,168,0,0,4,8,62,5,81,0,0,8,11,67,13,100,0,0,3,3,12,0,22,0,0,12,10,6,0,26,0,0,8,8,25,0,38,7,0,32,10,15,0,65,0,0,5,4,40,5,60,21,10,56,58,145,7,293,13,5,57,20,26,9,121,17,9,57,36,98,7,228,0,0,0,0,17,3,29,3,5,11,6,108,0,136,3,0,0,9,45,4,64,67,34,297,243,1258,110,2007,0,0,10,3,22,0,36,0,0,0,0,0,0,0,0,0,5,6,24,3,43,0,0,3,3,6,0,13,0,0,10,3,21,3,45,0,0,0,3,11,0,13,4,0,10,25,118,20,182,0,0,4,22
1015,9,0,52,34,111,19,217,0,0,0,0,7,0,10,26,6,79,60,339,49,558,3,0,3,7,64,3,76,3,0,12,11,344,11,381,0,0,14,8,68,6,90,3,0,26,17,136,8,193,4,0,12,9,48,5,80,0,0,5,5,54,8,75,0,0,3,3,14,0,19,3,0,10,10,3,0,26,0,0,5,3,11,0,22,4,5,58,15,16,0,99,0,0,6,0,28,0,37,12,3,35,50,63,6,168,12,7,52,15,15,3,112,18,5,52,26,36,0,139,0,0,3,4,9,0,17,3,0,4,7,142,8,159,5,0,7,14,68,33,129,103,37,435,297,1574,164,2616,7,0,26,20,16,11,80,0,0,0,0,0,0,0,15,6,58,40,82,37,237,3,0,6,4,6,0,22,0,0,3,4,18,3,27,0,0,0,6,12,3,24,3,3,20,34,136,12,209,0,0,10,14
1016,0,0,3,3,25,3,41,0,0,0,0,6,0,6,0,0,3,11,97,9,115,0,0,0,0,24,0,29,0,3,13,14,204,13,237,0,0,0,0,29,3,31,0,0,3,14,111,3,133,0,0,5,3,41,5,54,0,0,3,5,66,8,86,0,0,0,0,3,0,3,0,0,0,0,10,0,11,0,0,0,0,9,3,12,3,3,20,8,8,0,46,0,0,0,7,24,6,38,7,4,13,19,86,11,137,0,6,34,7,28,0,83,13,4,36,24,55,4,130,0,0,0,0,11,0,12,0,0,4,0,67,6,76,0,0,0,3,44,14,65,30,21,143,123,938,89,1337,0,0,3,0,10,4,16,0,0,0,0,0,0,0,0,0,4,7,22,0,34,0,0,0,3,4,0,5,0,0,10,7,23,5,40,0,0,0,0,3,0,4,0,0,12,20,84,11,121,0,0,4,8
1017,3,3,17,14,63,4,112,0,0,4,0,22,0,25,0,0,17,23,204,12,253,0,0,5,10,46,3,67,5,0,17,11,455,7,500,0,0,4,10,61,0,73,3,6,38,45,249,11,357,3,0,27,19,114,3,171,3,0,6,13,113,13,142,0,0,5,3,18,3,29,3,3,13,20,17,0,60,0,0,9,4,24,0,46,15,8,98,22,30,3,180,3,0,17,12,44,5,88,0,8,57,58,128,11,265,68,32,192,29,47,10,379,46,17,160,66,143,7,434,4,0,12,3,17,0,41,0,3,27,11,183,4,229,4,3,13,15,93,22,143,171,88,743,392,2077,131,3600,0,0,16,5,24,0,42,0,0,0,0,0,0,0,0,3,23,22,63,6,112,0,0,3,0,3,0,11,0,0,7,6,24,3,49,0,0,5,4,15,0,28,10,3,59,49,203,22,343,0,3,33,30
1018,0,0,0,0,10,0,11,0,3,9,41,239,6,296,0,0,4,9,99,4,118,0,0,6,23,71,0,107,4,0,3,6,132,9,155,3,0,3,3,22,0,29,0,3,13,10,67,7,98,0,0,4,12,42,0,62,0,0,7,3,59,3,71,0,0,0,3,4,0,10,0,0,8,3,5,0,18,0,0,0,0,17,0,20,3,0,19,4,20,0,52,0,0,3,0,25,0,36,7,5,16,21,95,4,153,8,4,17,4,11,0,49,9,3,21,15,16,3,63,0,0,0,0,11,0,11,0,3,8,3,60,0,71,0,0,3,0,50,17,74,41,25,148,170,1045,59,1496,0,0,0,0,0,0,3,0,0,4,3,6,0,12,0,0,4,3,9,3,20,0,0,3,0,4,0,8,0,0,3,6,13,0,26,0,0,5,8,9,3,21,4,0,13,18,62,10,103,0,0,7,9
1019,0,0,7,9,20,3,41,0,0,4,18,104,5,134,12,6,42,48,248,8,359,0,3,8,26,64,0,95,8,0,30,38,546,19,638,3,0,9,19,47,3,78,8,0,16,25,128,11,181,4,0,13,18,48,3,81,3,0,12,24,126,10,173,0,4,10,11,32,0,57,6,0,14,10,22,0,50,3,0,10,6,23,3,43,21,7,62,22,45,7,163,3,3,5,9,66,11,96,7,5,30,49,66,4,166,68,13,83,28,40,3,232,25,10,85,39,70,6,234,0,0,6,5,22,0,37,15,3,26,12,121,4,184,3,0,14,16,85,24,154,189,58,484,427,1924,127,3201,0,0,5,3,14,0,22,0,0,3,0,7,0,9,3,3,19,34,47,10,117,0,0,3,0,10,3,22,0,0,18,22,46,4,81,0,3,3,3,15,4,26,3,0,28,46,117,20,215,0,3,11,15
1020,0,0,6,9,37,10,59,4,12,72,66,404,25,579,3,0,12,8,53,3,81,0,0,3,3,16,0,26,0,0,3,8,222,8,234,0,0,4,4,26,3,47,0,0,7,12,75,9,102,0,0,6,3,41,3,66,0,0,3,0,34,7,46,0,0,4,8,11,0,15,0,0,5,0,0,0,7,0,0,4,4,18,4,24,4,4,30,10,10,0,63,0,0,0,4,15,4,20,0,4,23,34,36,0,98,10,4,43,6,14,0,77,5,0,31,8,23,0,66,3,0,0,0,13,0,15,0,0,10,8,102,3,122,0,0,3,0,19,8,38,43,31,262,190,1151,91,1770,0,0,9,6,5,7,25,8,0,23,8,17,3,55,0,0,14,7,23,4,48,0,0,0,0,3,0,5,0,0,6,8,20,3,36,0,0,0,5,11,0,17,4,0,22,25,80,19,149,3,0,7,30
