SUA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
2018,10840,508,663,50,33,12096,2324,330,403,18,11,3084,366,39,70,4,17,498,13533,882,1132,69,60,15676
2019,4875,591,33,17,11,5523,1235,410,27,11,3,1683,220,58,4,3,3,289,6335,1054,64,28,20,7495
2020,9433,331,426,65,35,10288,1515,211,268,65,4,2059,269,26,28,5,7,334,11215,567,725,130,45,12676
2021,8541,990,329,49,45,9954,1648,494,242,27,8,2420,239,56,76,0,6,379,10419,1542,646,79,62,12751
3000,184140,4427,4544,3761,1584,198456,45444,2169,2890,2045,464,53007,6765,357,523,733,414,8796,236350,6960,7957,6536,2464,260262
3001,513320,62490,81507,2462,1808,661586,52757,13317,14988,1504,350,82917,11664,2806,2900,301,650,18323,577732,78614,99398,4274,2811,762826
3002,17561,1308,1059,248,57,20234,3880,804,619,185,22,5506,577,114,71,28,27,819,22018,2229,1747,469,97,26555
3003,31309,3695,7016,293,208,42520,3782,1332,2092,142,68,7411,871,200,404,55,114,1639,35959,5229,9505,488,387,51574
3004,3116,249,282,25,34,3707,294,44,80,6,4,434,75,15,10,3,3,106,3488,307,370,37,43,4248
3005,11411,717,850,87,24,13088,1380,227,346,35,3,1995,238,25,52,7,0,327,13032,971,1249,128,28,15404
3006,116997,38186,33734,1500,705,191132,11366,7576,7927,893,158,27924,2969,1502,1588,153,290,6502,131332,47267,43257,2545,1151,225556
3007,5473,331,126,42,10,5986,1362,199,143,33,12,1743,174,31,15,5,3,227,7007,558,283,74,32,7965
3008,13523,1564,523,279,107,15990,2489,792,238,172,25,3708,389,89,45,35,70,624,16397,2442,806,476,200,20325
3009,2720,133,155,24,8,3049,557,67,100,15,3,745,76,14,13,4,0,104,3353,211,273,37,16,3896
3010,19449,2217,1110,160,103,23029,2908,960,451,82,34,4435,499,127,71,44,53,795,22850,3304,1636,283,188,28255
3011,6946,295,186,88,26,7542,1755,339,142,56,4,2300,239,43,28,13,9,324,8936,678,358,158,39,10166
3012,3822,661,239,44,34,4799,650,213,90,20,9,985,134,27,21,5,14,203,4610,908,349,67,57,5992
3013,19074,1174,686,89,77,21095,3804,696,408,52,16,4976,576,101,57,22,36,789,23447,1964,1151,159,135,26863
3014,74021,11683,11160,866,408,98145,7108,3285,2582,515,144,13643,1595,538,504,93,94,2833,82727,15509,14252,1476,653,114615
3015,32731,4296,1584,128,154,38890,4810,1833,777,50,35,7512,745,237,89,7,101,1171,38291,6363,2453,187,288,47572
3016,42269,4507,3649,241,113,50776,5458,1966,898,106,27,8458,1026,260,174,15,33,1507,48750,6739,4719,365,178,60746
3017,3850,321,63,26,24,4279,1038,237,53,19,3,1352,121,31,8,3,0,164,5008,585,119,47,30,5794
3018,4573,246,416,64,33,5333,653,149,221,43,9,1079,106,5,29,15,3,168,5332,399,667,130,47,6577
4000,71962,1526,696,845,497,75515,18187,1279,675,394,150,20691,2089,139,87,96,77,2492,92241,2936,1462,1337,729,98701
4001,307856,61544,28326,921,1068,399709,47356,18794,8735,372,234,75477,6814,2642,1216,65,177,10909,362021,82979,38273,1352,1470,486101
4002,7015,837,541,32,24,8454,1538,530,344,3,12,2431,182,49,40,0,11,281,8740,1409,924,39,50,11159
4003,4371,419,24,27,37,4874,1266,369,18,13,19,1686,163,40,3,0,0,212,5802,823,44,47,52,6771
4004,2894,324,125,22,23,3391,882,270,143,25,8,1328,112,43,14,9,0,184,3892,640,286,48,34,4908
4005,3915,390,168,33,18,4524,772,252,122,14,4,1161,98,36,10,0,7,153,4787,678,302,44,32,5841
4006,3382,360,40,6,21,3807,1178,389,70,14,4,1660,110,39,10,9,3,161,4671,786,112,27,28,5631
4007,7866,515,105,56,30,8576,1679,275,98,33,7,2089,237,35,7,4,3,285,9772,833,214,93,36,10945
4008,3960,2066,189,21,21,6256,815,1205,175,9,8,2216,96,147,25,3,4,269,4870,3417,392,34,27,8742
5000,66581,1676,655,1411,589,70909,15378,1131,458,673,166,17802,2284,191,80,222,153,2935,84246,2998,1188,2299,908,91646
5001,8898,526,25,109,50,9601,1811,424,19,66,6,2327,251,59,3,10,3,325,10959,1020,46,182,64,12261
5002,2812,276,224,219,61,3592,450,85,76,94,34,740,94,18,18,26,13,171,3353,377,316,347,104,4497
5003,18949,1862,492,146,47,21495,2488,774,333,105,3,3707,443,93,45,11,11,596,21871,2734,866,264,57,25798
5004,9821,712,17,292,37,10874,1247,358,16,121,4,1738,225,51,4,30,6,318,11290,1116,35,436,55,12940
5005,2999,196,52,28,32,3318,588,159,14,7,12,777,105,32,0,0,4,147,3688,388,67,44,53,4239
5006,9347,877,134,168,29,10553,1647,496,100,85,11,2341,261,50,24,22,12,366,11256,1422,255,276,51,13261
5007,6805,1138,112,112,26,8190,999,358,79,46,10,1480,160,57,12,9,14,253,7965,1554,200,161,48,9924
5008,3679,348,148,49,12,4236,344,121,25,10,0,496,84,17,3,0,0,105,4103,487,179,65,17,4845
5009,461595,87773,36190,1388,1122,588060,48503,19000,7767,651,174,76100,10004,3270,1456,140,288,15156,520098,110051,45413,2183,1587,679322
5010,2665,252,403,40,22,3376,400,69,88,10,5,576,110,11,24,21,7,170,3178,335,513,70,30,4124
5011,3357,68,5,10,10,3453,390,12,0,0,0,402,70,3,0,0,3,75,3820,87,5,10,17,3935
6000,42480,478,405,350,228,43938,11682,443,325,179,75,12697,1408,49,49,35,34,1573,55571,971,778,561,338,58214
6001,7347,442,118,26,19,7949,2053,375,66,16,6,2513,229,44,7,5,4,288,9631,861,185,51,28,10759
6002,7970,556,67,39,20,8654,2018,530,113,38,7,2694,248,63,9,6,0,326,10230,1146,191,86,26,11679
6003,54725,3472,4998,227,155,63583,9832,1313,2019,66,24,13247,1342,194,243,20,32,1833,65902,4974,7258,316,210,78662
6004,21948,1901,1745,94,81,25766,4133,861,932,25,23,5963,595,126,111,8,14,853,26679,2884,2783,119,117,32582
6005,3851,237,24,42,11,4170,1025,275,36,29,4,1356,114,37,5,0,3,161,4990,545,60,71,15,5685
7000,9614,654,651,527,189,11643,4210,353,312,282,66,5217,673,76,73,167,33,1024,14496,1081,1044,973,291,17882
7001,4212,1638,208,372,39,6474,654,416,86,111,8,1272,176,78,17,31,19,319,5042,2133,308,511,71,8059
7002,20836,3589,8210,481,150,33271,2030,869,1434,118,30,4481,688,176,375,85,38,1357,23557,4636,10022,687,213,39116
8000,247,7,0,3,0,258,22,5,0,0,0,26,4,0,0,0,0,4,271,14,0,3,0,291
8001,94546,23957,20548,121,234,139404,7422,3317,2587,64,38,13432,1851,760,623,25,32,3295,103815,28041,23754,211,299,156131
9000,900,63,86,7,10,1070,188,18,21,6,4,236,43,3,8,3,0,60,1130,87,115,12,16,1360
