SUA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
3014,6762,1556,8393,49698,17422,2031,69160,164168,19230,252559
3015,2280,809,3118,21064,7831,962,29854,65375,8829,104061
3016,1871,316,2214,28661,9963,1322,39949,85306,13003,138259
3017,329,53,391,2264,854,115,3228,7844,937,12010
3018,349,62,418,2841,1069,131,4044,9199,1433,14671
4000,5097,1306,6509,38111,17071,1836,57024,138823,20688,216532
4001,28881,4676,33963,202584,83552,8111,294240,693237,67183,1054657
4002,604,100,723,4710,2029,230,6966,14353,1680,23002
4003,408,67,478,2323,1063,122,3503,9538,1477,14526
4004,205,36,245,1814,921,106,2841,6391,1698,10931
4005,343,41,393,2452,1081,156,3688,7657,1283,12625
4006,356,62,421,1892,839,83,2824,7739,990,11548
4007,1088,232,1323,2750,1803,161,4717,15755,1809,22274
4008,342,77,429,3362,1403,170,4935,11046,1577,17567
5000,2797,778,3642,42903,15784,2278,60967,140403,34061,235436
5001,812,198,1014,4985,1838,263,7083,17318,2618,27017
5002,33,8,44,2227,590,148,2968,6147,1609,10726
5003,1122,200,1333,12632,4282,563,17482,34597,5128,57207
5004,630,218,851,6273,2014,300,8589,17849,2714,29151
5005,204,43,247,1743,693,97,2533,5912,1266,9712
5006,484,134,620,5868,2182,263,8309,18013,3315,29636
5007,110,34,153,5343,1294,248,6885,13281,2812,22980
5008,5,0,7,3259,559,146,3962,6160,1568,11688
5009,26972,6985,34331,322353,108923,12280,443553,979428,121611,1544598
5010,16,10,32,2499,494,94,3081,5668,1780,10528
5011,62,91,150,2287,624,80,2989,4977,1077,9046
6000,2088,453,2604,21733,8788,930,31449,82274,11962,125680
6001,575,105,683,3919,1559,179,5647,14413,1727,21788
6002,666,153,822,4321,1821,198,6341,15715,1977,24032
6003,4260,719,5044,31609,13543,1586,46736,108241,12394,167374
6004,1855,351,2226,12840,5071,539,18448,45010,5657,69119
6005,304,71,383,1959,851,112,2921,7940,908,11766
7000,114,44,171,11745,7375,2229,21357,28620,10858,60830
7001,131,26,164,3741,1198,243,5186,11613,2763,19560
7002,493,94,603,19978,5474,727,26177,59263,13530,98970
8000,7,0,7,213,81,13,305,789,198,1284
8001,5221,1339,6678,73248,25278,2894,101409,226025,23687,351131
9000,48,9,58,612,212,31,853,2164,748,3773
