SUA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
1010,12132,6992,6774,7287,8398,9247,7405,4377,1930,64552,17,14,18,19,13,14,10,11,7,119,323,429,425,327,443,579,608,284,95,3516,27,17,53,33,32,151,381,158,17,875,67,74,100,66,77,143,142,29,4,700,3,5,5,3,10,24,47,20,0,121,6,3,14,8,12,16,17,10,0,78,4,0,4,6,10,8,53,5,0,94,0,9,3,3,0,0,0,0,0,16,7,0,3,4,3,17,49,27,0,111,0,0,0,0,0,3,0,0,0,4,440,545,599,456,589,948,1298,526,119,5521,458,555,620,471,602,959,1304,541,134,5640,12591,7549,7393,7756,9002,10210,8713,4921,2061,70191
1011,7427,4264,4852,4081,4140,3843,2731,1769,746,33844,10,4,7,8,3,3,4,9,3,48,291,427,367,308,321,337,254,144,51,2509,17,11,33,39,33,64,100,24,0,335,42,10,40,27,23,35,29,0,0,209,3,3,3,5,10,16,31,11,0,87,0,0,3,4,4,7,13,0,0,37,0,0,0,4,4,3,19,0,0,34,0,0,0,4,0,3,0,0,0,3,0,6,0,4,4,4,3,0,0,28,0,0,0,0,0,0,0,0,0,0,350,466,451,388,400,477,453,186,57,3235,358,474,456,395,404,480,459,192,63,3284,7789,4734,5304,4469,4541,4323,3193,1959,809,37124
1012,2536,1539,1342,1581,2059,2888,3520,2451,1172,19100,5,3,3,4,6,0,13,6,0,40,76,98,85,86,112,156,212,102,53,965,0,0,8,9,7,56,93,42,3,214,0,9,3,9,4,27,11,0,3,61,0,0,0,0,0,5,9,7,4,26,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,5,5,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,7,0,26,0,0,0,0,0,0,0,0,0,0,80,101,98,99,133,260,332,155,61,1318,82,108,98,102,140,263,341,155,64,1357,2619,1652,1443,1687,2196,3153,3866,2611,1236,20456
1013,4028,2559,2808,2620,2844,2684,2176,1322,636,21679,10,3,4,0,0,4,5,4,0,27,93,144,300,206,182,115,70,46,22,1180,8,3,13,13,3,14,26,11,3,86,7,3,8,3,10,6,3,3,0,42,0,0,0,0,6,3,4,0,0,17,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,3,4,0,0,11,0,0,0,0,0,0,0,0,0,3,3,10,14,7,6,7,0,0,0,51,0,0,0,0,0,0,0,0,0,0,101,158,335,232,219,152,112,64,24,1397,113,165,337,234,219,156,117,65,24,1424,4134,2718,3147,2859,3055,2843,2295,1386,664,23104
1014,3389,1932,1877,1961,2130,2284,1995,1363,691,17628,4,12,0,6,7,4,3,5,0,46,97,165,116,92,129,139,83,47,27,879,0,0,0,0,3,11,21,10,4,49,16,19,29,22,26,27,9,4,0,147,0,0,0,0,6,0,3,0,0,6,0,0,0,0,0,0,0,0,0,4,3,0,4,0,0,3,4,5,0,22,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,115,181,156,110,165,185,121,66,28,1127,117,194,160,115,173,187,124,70,28,1168,3506,2126,2033,2085,2304,2472,2124,1434,716,18793
1015,3855,2164,2658,2215,2228,1982,1375,1081,566,18126,0,12,10,3,0,6,3,3,4,47,54,110,147,78,110,120,40,35,15,704,4,13,22,15,21,29,9,0,0,119,7,0,8,7,15,10,6,0,0,52,0,3,13,3,4,3,4,0,0,35,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,3,4,3,0,9,0,0,0,0,0,0,0,0,0,0,0,5,7,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,66,131,195,106,156,161,68,34,13,942,66,149,208,112,153,170,71,39,19,989,3924,2313,2860,2327,2384,2151,1445,1118,585,19113
1016,2803,1628,1535,1510,1697,1906,1612,899,467,14063,14,11,8,0,9,7,0,4,3,56,67,80,91,63,57,69,67,23,11,521,0,0,3,0,3,3,10,0,0,14,5,16,6,8,12,8,4,0,0,52,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,69,90,102,73,75,88,79,23,12,605,86,103,106,72,83,92,86,30,11,661,2884,1732,1645,1582,1780,2005,1696,921,484,14723
1017,4925,3493,3082,3166,3539,3620,2570,1633,923,26953,10,9,6,7,4,3,0,4,4,55,124,233,195,131,123,155,128,83,54,1228,0,5,3,0,6,5,8,0,0,35,15,50,66,30,30,40,11,3,0,249,0,9,0,0,5,0,4,0,0,17,0,0,0,0,3,3,0,0,0,10,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,143,302,269,164,171,208,159,94,55,1552,152,310,278,172,169,214,164,100,54,1611,5074,3805,3362,3342,3710,3829,2731,1730,977,28557
1018,2064,1378,1437,1338,1523,1627,1475,922,360,12133,3,3,6,4,4,0,0,3,0,32,48,76,67,41,43,60,30,17,11,390,3,0,0,3,0,5,0,0,0,13,3,3,3,4,3,3,9,0,0,26,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,54,81,78,51,50,70,38,16,10,441,60,81,83,55,53,67,38,18,10,469,2125,1460,1520,1397,1576,1698,1520,941,372,12605
1019,3884,2612,2210,2355,2843,2994,2727,1887,859,22365,3,6,7,3,3,4,3,3,0,40,59,160,104,61,60,70,78,40,20,650,0,8,3,0,0,0,3,0,0,19,5,29,0,3,6,3,5,3,0,60,0,3,3,0,0,0,0,0,0,3,0,7,0,0,0,0,4,4,0,17,0,4,0,0,0,0,3,0,0,8,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,58,220,119,62,71,84,91,49,20,774,68,228,125,69,75,90,97,52,22,811,3948,2840,2334,2422,2914,3081,2828,1934,881,23184
1020,2519,1186,1520,1375,1431,1183,945,658,287,11093,0,0,3,3,0,0,3,3,0,18,48,90,97,87,113,91,91,33,10,659,0,0,0,3,0,5,5,0,0,18,0,0,4,5,9,11,0,4,0,38,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,8,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,51,96,104,104,127,114,104,33,10,745,53,96,109,102,128,117,104,33,13,757,2569,1284,1623,1479,1560,1294,1048,692,300,11850
1021,2696,1380,1759,1488,1583,1216,805,417,130,11483,3,9,3,3,3,5,0,0,0,23,48,85,136,78,74,84,34,6,0,551,0,0,0,0,3,3,0,0,0,9,10,3,12,7,8,9,3,0,0,53,0,0,0,0,0,3,0,0,0,5,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,100,145,82,90,101,41,11,0,626,64,107,153,84,95,98,41,12,0,652,2758,1482,1911,1574,1674,1319,848,428,133,12135
1022,3976,2422,1836,2558,3171,3538,4062,2356,947,24867,5,12,3,4,6,6,3,10,0,53,119,132,159,115,157,257,279,154,33,1409,7,4,16,7,8,35,76,25,0,183,5,15,7,10,11,29,14,3,0,95,0,3,0,0,0,8,15,3,0,30,0,0,0,3,0,3,13,0,0,17,0,0,0,0,0,9,5,0,0,19,0,0,0,0,0,0,0,0,0,3,4,7,3,9,3,14,3,9,0,52,0,0,0,0,0,0,0,0,0,0,131,158,193,146,193,360,403,199,36,1809,142,166,198,149,196,361,402,212,37,1862,4112,2586,2030,2710,3366,3902,4466,2565,984,26731
1023,84157,56214,57271,55320,56767,53726,41710,23394,10884,439430,77,96,61,63,56,59,55,51,22,547,1787,2973,2627,1850,1770,1708,1282,817,484,15291,14,33,67,77,87,82,55,19,3,439,53,77,113,119,148,158,103,31,5,801,7,10,19,16,16,40,34,9,0,141,13,15,21,30,33,35,23,7,3,182,0,3,4,0,4,17,23,7,0,62,0,8,13,8,3,7,7,0,0,36,5,14,16,7,8,29,21,3,0,109,0,0,0,0,0,0,0,0,0,0,1878,3138,2865,2105,2077,2071,1549,891,492,17076,1961,3236,2931,2164,2136,2126,1599,939,522,17615,86115,59447,60207,57487,58905,55853,43310,24333,11402,457047
1024,6660,4133,4103,3800,4139,4301,3661,2024,870,33683,14,18,9,0,6,4,4,3,0,61,161,270,257,182,189,181,118,90,55,1497,0,6,11,7,16,16,6,3,0,72,12,13,12,11,16,6,6,0,0,77,3,3,3,5,5,0,0,0,0,15,0,0,12,13,4,3,0,0,0,37,0,0,0,0,3,7,3,0,0,10,0,0,0,0,0,0,0,0,0,3,0,5,9,10,13,21,0,3,0,65,0,0,0,0,0,0,0,0,0,0,172,299,298,225,252,235,138,98,63,1781,187,315,305,231,259,238,140,101,63,1840,6847,4451,4416,4025,4397,4547,3797,2130,930,35524
1025,8024,4408,4919,4628,4494,4118,3125,2009,855,36570,18,12,4,3,6,3,8,3,3,58,210,461,351,280,290,247,138,83,36,2103,6,16,12,10,21,13,14,3,0,92,3,23,18,18,26,13,23,0,0,118,0,0,0,3,0,0,0,0,0,7,3,3,8,9,5,3,0,0,0,27,0,0,5,0,0,5,0,0,0,10,0,0,0,0,3,3,0,0,0,5,0,20,4,0,3,6,5,0,0,41,0,0,0,0,0,0,0,0,0,0,220,515,401,323,350,293,184,88,36,2409,238,530,403,327,358,296,191,84,44,2467,8262,4936,5320,4955,4844,4415,3313,2090,902,39042
1026,2217,1285,1198,1118,1275,1237,934,679,333,10269,5,3,0,3,0,0,3,0,0,24,53,72,68,57,51,53,42,22,9,418,0,3,3,3,7,22,30,6,3,79,4,3,10,6,11,12,8,4,0,52,0,0,0,0,0,4,4,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,55,76,78,66,71,96,83,31,13,573,59,80,79,73,75,93,88,31,13,593,2274,1365,1276,1186,1347,1332,1017,710,341,10864
1027,7385,4142,4021,4606,5374,5540,5933,3943,1892,42839,7,6,5,4,0,10,6,9,0,52,172,270,294,218,323,360,451,251,83,2413,22,16,16,29,31,75,156,75,16,419,27,24,44,31,43,49,38,13,7,267,0,0,3,3,3,3,24,12,0,47,0,3,6,0,8,10,3,8,0,35,0,0,0,0,4,23,24,3,0,55,0,4,5,0,0,0,0,0,0,18,3,0,10,3,3,19,37,6,0,81,0,0,0,0,0,0,0,0,0,0,224,326,372,287,410,531,735,360,110,3344,227,329,374,286,413,534,743,372,110,3393,7613,4474,4396,4896,5790,6075,6675,4312,2004,46238
