SOSR_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SOSR214,709,15,11,0,8,743,587,10,4,0,0,595,516,14,10,0,0,543,1162,24,16,0,0,1199,1576,22,19,3,7,1634,3711,68,26,3,7,3824,3051,58,20,0,14,3134,2505,35,10,3,3,2559,816,16,4,0,4,837,512,9,3,0,3,532,301,3,0,3,0,311,767,11,10,0,0,793,16213,294,127,22,49,16697
SOSR215,1298,18,12,6,9,1344,1021,8,12,6,4,1057,1037,12,18,10,7,1076,2039,26,16,14,7,2102,2643,25,33,10,17,2727,6085,62,48,33,32,6258,5232,48,14,20,17,5326,4585,26,10,26,5,4656,1484,3,6,0,7,1502,940,5,3,12,9,970,502,4,0,3,5,515,1390,12,8,12,14,1439,28259,269,175,147,129,28977
SOSR221,468,0,0,4,0,475,442,0,0,3,0,447,385,3,0,4,0,389,736,11,0,8,3,749,830,3,0,5,0,841,1805,5,5,9,11,1836,1458,4,0,0,4,1470,1188,4,4,8,7,1208,386,3,0,0,0,391,264,0,3,3,0,266,123,4,0,3,0,131,465,0,0,5,3,472,8550,35,13,59,30,8686
SOSR222,296,3,0,3,5,306,333,0,0,3,0,341,269,4,0,3,5,280,486,3,4,3,0,495,594,4,3,5,3,607,1181,5,7,11,4,1203,840,0,4,3,8,858,652,4,3,9,8,673,224,3,0,3,0,230,122,0,0,0,3,125,88,0,0,0,3,94,260,0,0,5,5,277,5340,32,19,47,43,5488
SOSR231,3823,11,3,24,32,3897,1760,3,5,22,16,1804,1553,3,0,12,10,1581,2857,4,0,26,19,2905,3701,9,3,26,34,3768,9218,16,6,43,51,9341,8486,30,9,19,48,8600,9307,35,17,37,66,9459,3928,9,0,12,25,3971,3512,3,0,19,20,3555,2517,7,0,17,19,2561,3515,6,7,16,24,3565,54173,136,51,277,368,55003
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,10306,557,643,16,24,11546,4119,287,226,7,5,4643,3563,271,234,13,7,4095,6304,513,420,11,5,7249,8737,718,639,14,12,10117,27646,2489,2133,30,53,32354,37848,3173,3009,53,68,44154,55216,3047,3551,51,88,61954,27751,976,1391,26,46,30192,21820,645,1006,31,37,23535,12806,331,638,16,33,13829,8595,385,409,19,19,9431,224715,13392,14297,296,402,253106
SOSR302,2103,482,325,3,0,2916,814,227,120,0,5,1163,616,222,112,0,3,957,1174,399,249,8,6,1841,1657,579,350,9,11,2600,5005,1971,1140,6,19,8141,6813,2457,1230,4,21,10533,13114,1905,1145,9,27,16206,7246,575,365,8,14,8200,5120,356,318,7,9,5814,2900,194,214,0,17,3320,2206,385,262,0,9,2866,48766,9752,5827,59,141,64548
SOSR303,2901,229,201,0,10,3345,1312,159,108,3,4,1592,1156,122,105,0,3,1387,2300,226,218,19,9,2774,3171,359,344,13,19,3902,10329,1064,796,23,32,12240,13517,857,723,21,28,15148,16990,542,564,15,35,18149,6952,142,194,11,14,7311,4670,102,162,14,14,4961,2348,49,107,10,14,2532,2529,159,111,9,6,2808,68189,4012,3634,130,190,76157
SOSR311,1099,37,16,0,8,1155,596,39,12,3,0,641,506,26,7,4,0,544,1043,45,16,0,7,1110,1551,74,30,6,3,1664,4779,189,70,10,21,5074,5402,159,63,7,6,5633,5434,101,55,5,8,5604,2223,26,22,4,4,2277,1390,14,18,3,0,1427,589,7,8,3,6,613,970,28,11,3,3,1023,25568,763,321,51,62,26772
SOSR312,234,3,0,0,0,238,128,4,3,0,0,135,157,0,3,0,0,164,271,5,7,0,0,287,420,10,5,0,0,436,1131,26,7,0,0,1169,1103,16,16,0,0,1140,1286,24,9,0,0,1312,607,7,4,0,0,621,395,3,7,0,0,402,172,0,0,0,0,171,231,0,0,0,0,234,6136,101,56,3,9,6311
SOSR313,656,34,13,3,3,707,385,27,12,0,0,429,350,19,5,0,0,370,676,24,24,4,0,726,1087,39,19,7,6,1153,2960,126,66,18,9,3184,3509,107,50,10,11,3688,3824,55,50,5,11,3946,1378,17,14,3,3,1416,792,11,12,3,0,822,379,8,3,3,3,396,646,10,16,0,4,682,16639,473,282,56,59,17507
SOSR314,591,12,14,8,3,621,346,3,10,0,0,361,317,0,4,3,0,331,602,12,21,4,4,639,959,16,23,12,3,1013,2781,53,53,13,3,2903,3217,51,25,20,8,3319,3846,39,28,5,7,3926,1770,8,3,8,7,1798,1020,9,3,9,4,1047,361,3,4,6,3,376,733,11,10,10,3,759,16546,220,198,92,46,17097
SOSR315,1116,15,16,12,4,1159,760,8,7,8,4,788,725,13,3,4,0,754,1322,24,19,11,0,1372,1858,21,32,3,3,1923,4688,74,45,27,11,4836,5073,71,38,13,13,5207,5768,56,25,11,22,5881,2244,14,10,4,3,2269,1270,18,4,0,8,1306,511,9,0,6,4,528,1114,9,12,15,3,1153,26450,332,205,110,77,27176
SOSR321,543,0,3,3,5,554,387,0,0,3,4,397,370,0,0,3,3,380,715,3,8,12,9,748,849,8,3,7,8,867,2225,15,7,11,15,2270,1978,11,0,13,16,2016,2066,6,5,7,10,2093,913,3,0,8,10,932,564,0,0,9,3,576,246,4,5,9,3,263,511,3,3,7,7,534,11369,46,36,91,95,11629
SOSR322,271,0,0,4,6,276,201,7,0,3,0,207,168,3,0,0,0,171,352,3,0,6,0,365,445,10,4,3,0,456,892,7,0,7,10,920,718,12,0,6,3,738,648,9,0,3,8,666,285,0,0,0,0,291,185,0,0,0,3,189,95,0,0,3,0,103,267,4,0,7,9,280,4517,62,11,49,38,4668
SOSR331,3605,15,7,49,37,3718,1501,4,0,18,9,1541,1288,0,0,26,14,1326,2311,10,3,43,20,2387,3060,13,3,42,19,3131,7799,19,10,65,47,7944,7752,11,9,68,56,7896,9846,35,5,69,63,10021,5084,6,5,29,24,5152,4210,15,3,17,28,4267,2693,3,5,24,30,2756,3253,7,9,44,28,3339,52409,133,58,500,368,53469
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,6877,991,247,9,20,8143,4025,537,168,5,5,4744,3576,509,161,5,0,4247,6537,966,322,5,8,7832,8657,1267,502,6,13,10443,24841,3480,1501,29,56,29910,26857,3531,1112,25,78,31605,26633,3585,643,18,96,30983,10188,1288,191,16,33,11722,7720,927,125,5,29,8814,4744,563,93,8,15,5433,4443,502,143,8,14,5098,135098,18144,5217,145,376,158975
SOSR412,381,63,3,0,3,450,245,97,7,0,0,352,261,97,8,0,0,362,588,218,17,0,0,826,858,229,21,8,4,1112,2232,316,18,3,11,2578,1946,91,6,3,7,2045,1418,43,0,0,3,1467,404,5,3,0,0,414,228,8,0,3,0,241,99,8,0,0,0,105,318,49,3,0,0,365,8976,1220,85,19,26,10325
SOSR413,679,27,0,3,3,716,475,28,3,0,5,507,463,24,5,0,0,500,896,50,12,8,9,967,1131,50,6,3,5,1193,2784,72,8,5,8,2879,2316,51,0,3,11,2373,1950,34,3,4,3,1989,711,7,0,0,3,718,528,6,0,0,0,537,300,7,0,0,0,308,424,17,0,0,4,448,12649,381,37,22,53,13139
SOSR414,144,7,0,0,0,150,121,0,0,0,0,125,98,0,0,0,0,105,204,4,0,0,3,215,320,8,0,0,0,330,735,12,3,0,0,757,631,0,0,0,0,639,404,5,0,0,3,415,78,0,0,0,0,74,66,0,0,0,0,62,36,0,0,0,0,38,87,4,0,0,0,95,2930,39,10,3,11,3004
SOSR415,742,18,3,0,12,780,624,15,0,3,3,648,589,18,0,4,3,616,1158,33,3,4,0,1204,1502,30,3,7,3,1538,3133,47,11,9,9,3205,2652,22,0,6,6,2692,2083,9,5,4,3,2105,643,3,0,0,9,647,322,0,0,3,0,333,155,3,0,3,4,167,495,8,4,0,3,509,14111,196,30,48,58,14444
SOSR421,254,7,0,5,0,268,254,3,0,3,0,257,238,3,0,0,0,247,451,6,0,3,3,457,528,5,0,0,5,539,983,10,3,4,7,1003,807,13,0,8,3,828,559,0,0,0,3,565,214,0,0,0,4,215,115,0,0,0,0,115,58,0,0,3,0,60,181,0,0,4,3,191,4635,41,8,31,25,4742
SOSR422,160,0,0,0,7,168,217,0,0,0,0,222,183,0,0,3,0,183,315,0,3,6,3,324,317,0,0,3,3,319,584,3,0,4,3,591,333,0,0,0,0,337,260,0,0,3,3,266,84,0,0,3,0,88,54,0,0,7,0,60,15,0,0,3,0,19,129,0,0,0,0,128,2652,3,5,30,16,2712
SOSR431,1521,0,0,15,9,1545,792,3,0,7,3,804,695,0,0,5,7,705,1233,0,0,14,13,1254,1522,0,0,5,10,1540,3323,4,0,20,21,3372,2607,4,3,10,14,2641,2683,4,0,10,21,2719,1106,3,0,7,4,1124,1007,6,0,7,3,1018,677,0,0,4,0,683,901,0,0,7,3,912,18066,22,14,110,117,18326
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,10898,1422,363,8,14,12708,4110,580,137,9,12,4838,3679,455,119,4,8,4264,6453,866,255,12,6,7587,8381,1144,325,13,15,9866,25187,3702,1254,23,41,30207,33054,5395,1650,38,57,40197,59235,7793,1973,45,92,69141,34645,3575,867,18,65,39174,27013,2849,689,23,58,30636,17670,1723,459,19,51,19917,8766,954,242,7,16,9989,239091,30444,8332,227,433,278529
SOSR511,386,26,6,0,3,417,179,10,0,0,0,194,153,11,0,0,0,169,312,15,3,3,0,336,447,28,3,3,0,476,1370,105,6,0,0,1488,1970,83,9,0,3,2076,2754,52,9,0,3,2819,1037,20,3,0,0,1065,600,23,4,0,0,631,277,8,0,0,0,285,339,12,6,0,0,358,9841,393,48,11,11,10308
SOSR512,517,23,0,0,3,539,282,14,0,0,0,295,263,24,0,3,0,288,494,24,5,8,0,532,714,42,0,10,0,773,2209,112,5,7,8,2339,2638,120,11,6,3,2776,3486,113,4,6,3,3619,1437,39,0,9,3,1494,896,22,3,9,4,930,411,15,0,3,0,431,524,17,3,0,0,550,13881,576,26,53,33,14569
SOSR513,112,8,3,0,0,121,37,0,0,0,0,43,45,0,0,0,0,49,70,3,7,0,0,77,116,6,5,3,0,137,326,17,0,6,0,360,364,18,8,4,0,401,629,27,13,3,0,668,419,9,8,4,3,447,558,11,3,3,4,585,374,7,0,4,3,391,159,3,0,0,0,164,3212,121,57,30,19,3433
SOSR514,219,3,0,0,0,217,124,0,0,0,0,129,96,0,0,0,0,105,205,4,0,0,3,211,260,5,0,0,0,265,676,19,3,0,3,701,851,21,0,0,0,868,1291,26,3,0,9,1327,613,10,0,0,3,626,335,4,0,0,0,334,124,4,0,0,0,132,227,3,0,0,0,228,5020,104,3,5,20,5152
SOSR515,349,0,0,7,0,358,276,3,3,0,0,282,241,7,3,0,3,257,475,9,0,0,3,490,525,9,3,0,9,545,1521,23,5,6,3,1561,1441,9,3,9,3,1460,1628,4,5,7,7,1652,636,4,3,3,3,653,476,3,0,0,0,479,240,3,3,3,0,254,325,5,0,4,0,333,8138,71,32,34,37,8319
SOSR521,256,0,0,4,0,257,212,0,0,0,3,215,194,3,0,0,0,198,347,0,0,3,0,356,409,3,0,3,3,413,824,5,0,10,6,848,725,0,0,3,3,740,843,3,0,4,8,853,381,0,0,0,0,383,385,0,0,0,3,391,155,0,0,0,0,167,207,0,0,0,0,211,4937,26,8,29,32,5035
SOSR522,114,0,0,4,0,124,110,0,0,0,0,112,101,0,0,0,0,106,169,0,0,0,0,173,146,0,0,0,0,151,259,0,0,0,0,265,220,0,0,0,0,219,251,0,0,4,0,262,112,0,0,0,3,116,83,0,0,0,0,84,35,0,0,3,0,38,69,0,0,3,3,73,1677,3,3,26,16,1723
SOSR531,1322,0,0,19,21,1366,422,0,0,8,7,431,335,0,0,14,3,348,554,0,0,14,0,566,729,0,0,15,5,753,1972,3,4,24,6,2009,1941,0,3,33,15,1991,3080,10,4,44,23,3162,1855,4,0,18,15,1901,2022,3,0,28,18,2068,1332,7,3,19,13,1366,970,0,0,18,13,1000,16536,28,21,238,140,16953
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,1185,42,56,7,0,1281,726,19,28,0,0,776,618,29,31,0,0,679,1233,61,52,0,3,1347,1661,74,117,3,3,1854,4544,161,206,9,6,4932,4474,134,139,5,3,4753,3701,85,75,11,7,3875,1226,38,26,0,0,1295,924,31,15,0,0,971,525,20,14,0,0,563,645,17,31,0,0,694,21462,702,793,39,29,23020
SOSR611,390,20,19,0,0,423,301,19,11,0,0,333,266,6,9,0,0,286,614,24,21,0,0,660,944,39,37,0,3,1024,2385,80,65,3,3,2542,1800,52,19,3,3,1881,1094,33,10,4,6,1147,323,17,8,0,0,345,231,9,6,0,0,250,126,4,0,0,0,133,284,10,4,0,0,305,8756,320,211,15,23,9327
SOSR612,116,5,0,0,0,123,106,5,0,0,0,114,107,3,3,0,0,114,181,6,0,0,0,184,318,15,3,0,0,331,821,13,0,0,0,828,487,3,0,0,0,488,252,3,0,0,0,261,56,0,0,0,0,58,38,0,0,0,0,38,20,0,0,0,0,20,76,3,0,0,0,80,2578,50,6,3,3,2638
SOSR613,214,8,0,0,0,219,153,0,0,0,0,156,189,3,0,0,0,191,359,7,3,0,0,369,511,14,0,0,0,523,1149,7,3,4,3,1165,628,7,0,0,0,632,339,0,0,0,0,338,96,0,0,0,0,99,65,0,0,0,0,66,21,0,0,0,0,29,123,0,0,0,0,124,3839,48,15,6,3,3912
SOSR614,67,0,0,0,0,67,60,0,0,0,0,60,64,3,0,0,0,66,102,0,0,0,0,109,193,0,0,3,0,197,425,0,3,0,0,424,211,0,0,0,0,218,91,0,0,0,3,103,18,0,0,0,0,18,14,0,0,0,0,14,7,0,0,0,0,10,32,0,0,0,0,32,1288,13,3,9,3,1317
SOSR615,364,7,3,3,0,376,370,7,3,3,5,385,322,0,3,4,4,330,660,7,6,3,0,677,882,15,3,0,0,895,1998,15,11,4,3,2032,1581,14,5,5,6,1612,956,12,0,3,3,974,226,3,0,0,0,227,127,0,0,0,0,128,54,0,0,3,0,57,263,0,3,0,0,266,7795,76,45,23,19,7962
