SOSR_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
SOSR179,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,9,11,0,11,..,0,0,0,0,0,..,19,15,36,0,36,..,0,0,0,12,15,119,25,15,39,12,171,154,..,..,..,..,154,..,0,0,0,0,0,..,0,3,0,0,0,..,0,0,0,0,0,..,0,3,5,0,5,..,3,10,11,0,11,..,0,0,3,0,3,..,3,14,16,0,16,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3
SOSR199,0,3,0,3,..,39,0,39,0,39,..,43,7,57,3,55,..,9,0,9,0,9,..,13,4,19,0,19,..,14,3,19,0,19,..,34,9,40,0,40,..,140,19,159,6,161,..,823,166,986,10,997,..,24,3,25,2154,2181,4175,840,168,1010,2165,7351,3038,..,..,..,..,3038,..,0,0,0,0,0,..,29,15,48,0,48,..,4,0,10,0,10,..,42,10,53,0,51,..,103,41,145,0,145,..,3,4,10,0,10,..,152,57,206,0,211,..,4,0,4,0,4,..,13,0,13,0,13,..,32,3,38,4,41,..,23,0,23,0,23,..,18,0,19,0,19,..,7,3,9,0,9,..,20,0,20,0,20,..,4,0,4,0,4,..,0,0,0,0,0,..,8,3,15,0,15,..,13,0,18,0,18,..,55,6,65,0,65,..,24,3,21,0,26,..,6,3,9,0,9,..,12,7,20
SOSR201,173,2968,26,2992,..,23925,1033,24955,188,25140,..,13888,1564,15453,176,15627,..,11949,1186,13137,119,13259,..,2750,671,3422,30,3453,..,12308,2325,14637,154,14790,..,34255,12140,46401,367,46759,..,84709,20344,105054,2061,107121,..,575730,105682,681408,7133,688543,..,4991,1279,6269,110840,117112,1250438,580720,106961,687680,117975,2056095,1288155,..,..,..,..,1288155,..,2135,28,2159,11,2174,..,30080,6794,36873,406,37280,..,119,3,122,0,122,..,29920,10199,40126,227,40352,..,74550,25955,100506,553,101060,..,6968,2856,9825,57,9879,..,111440,39018,150459,833,151295,..,7393,1321,8716,106,8819,..,3106,98,3206,39,3242,..,8628,346,8973,69,9045,..,7752,240,7995,94,8090,..,43650,11009,54654,508,55163,..,4393,433,4824,32,4859,..,21459,1413,22867,175,23044,..,19300,2901,22201,222,22425,..,16211,1188,17402,128,17529,..,7868,1173,9042,90,9132,..,12940,1454,14396,89,14482,..,82166,8561,90723,745,91469,..,43542,8861,52399,658,53058,..,5042,889,5929,51,5982,..,5510,2234,7749
SOSR203,4,63,3,64,..,371,7,381,5,389,..,158,26,184,0,185,..,108,0,112,0,112,..,46,17,66,0,65,..,106,29,139,0,139,..,187,66,251,4,257,..,1706,518,2220,57,2276,..,8432,1481,9911,142,10052,..,194,29,224,4300,4526,61063,8630,1505,10133,4438,75635,66024,..,..,..,..,66024,..,49,0,49,0,49,..,203,56,263,3,263,..,11,0,11,0,11,..,163,25,186,0,191,..,615,171,782,12,799,..,32,8,45,0,45,..,809,200,1014,14,1032,..,793,189,987,7,991,..,189,0,193,6,198,..,147,8,151,3,155,..,322,12,330,3,336,..,257,55,309,7,319,..,43,9,56,0,56,..,189,6,192,0,194,..,276,38,318,3,321,..,93,10,102,0,102,..,67,9,85,0,85,..,129,7,137,3,141,..,800,81,880,9,887,..,801,173,968,14,984,..,104,7,114,0,114,..,57,11,71
SOSR211,3,64,0,64,..,640,26,666,8,674,..,313,33,351,3,351,..,98,3,102,0,103,..,71,15,88,3,90,..,108,14,126,0,126,..,184,74,257,5,258,..,2307,698,3002,60,3065,..,9429,1619,11045,150,11197,..,371,40,406,8346,8755,113119,9798,1656,11449,8500,133073,121321,..,..,..,..,121321,..,89,3,95,0,95,..,348,58,413,9,419,..,18,0,18,0,23,..,171,53,228,3,233,..,627,237,860,5,869,..,58,16,67,0,67,..,861,302,1159,8,1167,..,213,38,248,3,254,..,149,3,155,3,160,..,178,10,188,3,187,..,279,8,293,4,293,..,241,46,288,5,291,..,110,16,131,0,131,..,414,37,453,4,455,..,485,90,576,7,585,..,222,15,239,0,239,..,159,22,177,0,182,..,233,82,315,3,313,..,1627,264,1891,23,1907,..,387,38,420,7,430,..,123,13,134,0,132,..,68,19,90
SOSR212,30,98,0,100,..,325,43,368,0,369,..,85,19,99,0,101,..,76,12,96,0,96,..,64,25,92,0,93,..,308,118,426,4,428,..,104,59,171,3,168,..,1589,643,2230,47,2273,..,6870,1806,8678,120,8791,..,206,28,235,5774,6008,67461,7076,1833,8910,5893,82267,72471,..,..,..,..,72471,..,90,3,94,3,92,..,526,208,733,12,743,..,26,0,26,0,25,..,140,61,204,4,205,..,363,268,631,3,636,..,20,14,36,0,36,..,529,342,869,8,878,..,105,5,115,0,116,..,99,3,97,3,102,..,88,4,95,4,93,..,145,3,153,0,157,..,298,55,357,5,363,..,64,0,66,0,66,..,169,5,178,0,184,..,399,76,477,7,485,..,161,16,174,0,179,..,86,9,93,0,93,..,119,15,136,4,144,..,1001,124,1127,16,1146,..,885,171,1060,11,1069,..,79,13,99,0,99,..,50,30,76
SOSR213,9,52,0,52,..,411,30,443,0,442,..,139,17,156,0,151,..,49,12,60,0,60,..,53,12,64,4,68,..,39,11,54,0,54,..,118,36,157,3,164,..,937,251,1187,27,1216,..,5388,799,6189,106,6294,..,315,35,352,7695,8046,106441,5704,831,6534,7805,120784,114696,..,..,..,..,114696,..,107,0,107,3,107,..,133,31,160,3,165,..,14,0,14,0,19,..,102,20,123,0,125,..,311,151,458,4,463,..,30,15,42,0,42,..,442,180,625,12,636,..,136,15,149,0,152,..,233,4,238,5,247,..,146,7,151,0,151,..,347,11,360,5,365,..,232,41,276,9,284,..,37,0,37,0,37,..,117,12,127,0,127,..,203,26,231,0,232,..,101,5,111,0,111,..,51,0,51,0,54,..,90,8,97,0,97,..,587,63,650,3,656,..,868,184,1050,18,1066,..,80,9,89,0,89,..,29,4,30
SOSR214,6,16,0,23,..,166,9,174,0,178,..,83,5,92,0,92,..,36,3,40,3,40,..,25,8,35,0,35,..,31,4,33,0,33,..,34,6,39,0,39,..,405,103,502,15,514,..,2811,501,3306,58,3371,..,149,18,167,5375,5538,58337,2958,515,3471,5434,67240,62731,..,..,..,..,62731,..,51,0,51,0,51,..,108,24,128,3,136,..,9,0,9,0,9,..,45,20,64,0,64,..,191,122,310,3,316,..,25,13,45,0,45,..,257,160,422,3,418,..,51,3,53,0,53,..,105,0,108,0,108,..,79,5,83,3,88,..,175,6,178,3,184,..,132,17,153,7,157,..,7,3,7,0,7,..,66,5,67,0,67,..,113,23,137,0,139,..,27,6,35,0,35,..,34,9,40,0,38,..,32,4,35,0,35,..,278,44,323,3,323,..,448,68,514,7,525,..,44,4,47,0,47,..,24,0,28
SOSR215,3,43,0,39,..,217,14,226,5,234,..,140,11,147,3,150,..,26,21,44,0,46,..,62,16,72,0,73,..,65,16,81,0,89,..,92,59,145,0,152,..,756,178,931,28,955,..,3920,610,4533,86,4616,..,276,25,296,7230,7532,93213,4193,637,4826,7325,105368,98613,..,..,..,..,98613,..,52,0,52,0,52,..,60,9,69,0,67,..,17,0,17,0,17,..,77,31,109,0,109,..,201,100,306,3,305,..,7,10,21,0,21,..,289,145,437,3,440,..,79,14,93,0,93,..,227,4,234,3,238,..,146,6,153,3,151,..,358,5,364,4,372,..,194,25,218,3,222,..,17,0,23,0,23,..,71,5,75,0,78,..,93,24,114,4,117,..,44,5,49,0,46,..,17,3,20,0,20,..,60,7,72,3,69,..,305,46,357,6,364,..,659,101,765,14,776,..,59,8,71,0,71,..,22,5,22
SOSR221,0,3,0,3,..,38,0,33,0,33,..,37,3,42,3,44,..,4,0,4,0,4,..,17,3,17,0,17,..,12,3,15,0,15,..,11,0,11,0,11,..,148,30,172,6,178,..,859,82,938,20,962,..,74,6,79,2229,2312,26922,934,92,1022,2254,30195,27097,..,..,..,..,27097,..,10,0,12,0,12,..,15,6,15,0,14,..,3,0,3,0,3,..,8,0,8,0,8,..,44,9,56,0,56,..,4,0,4,0,4,..,59,8,67,0,64,..,21,0,19,0,22,..,33,0,35,0,39,..,32,0,31,0,31,..,84,0,88,0,87,..,53,6,61,0,59,..,0,0,0,0,0,..,11,0,11,0,11,..,11,4,13,0,13,..,4,0,4,0,4,..,0,0,0,0,0,..,7,0,7,0,7,..,24,4,35,0,35,..,86,4,91,0,93,..,14,0,14,0,14,..,5,0,6
SOSR222,3,7,0,7,..,45,4,46,0,46,..,36,7,36,0,36,..,0,0,0,0,0,..,3,3,4,0,4,..,4,0,4,0,4,..,10,3,9,0,8,..,94,23,120,3,121,..,538,87,619,10,627,..,60,0,61,1535,1594,16972,598,90,683,1539,19200,16704,..,..,..,..,16704,..,9,0,9,0,9,..,8,0,8,0,8,..,6,0,6,0,6,..,11,4,15,0,15,..,56,30,84,0,91,..,4,6,10,0,10,..,73,40,113,0,113,..,8,0,13,0,13,..,28,0,28,0,28,..,24,0,21,0,21,..,57,5,64,0,65,..,31,0,36,0,36,..,0,0,0,0,0,..,0,0,0,0,3,..,14,0,14,0,14,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,22,0,22,0,19,..,67,11,75,0,77,..,10,3,15,0,15,..,3,3,5
SOSR231,7,40,0,40,..,383,30,418,3,421,..,203,13,220,6,228,..,59,9,62,0,62,..,61,7,72,0,72,..,154,14,176,7,177,..,148,54,204,0,204,..,1218,209,1426,46,1474,..,8512,921,9429,160,9586,..,501,39,537,18747,19288,184983,9016,960,9970,18909,213864,175812,..,..,..,..,175812,..,153,3,157,0,157,..,164,7,176,9,184,..,45,3,49,0,50,..,91,17,116,3,119,..,365,140,506,10,516,..,25,4,25,0,25,..,483,166,647,10,659,..,222,39,266,0,266,..,394,10,401,7,404,..,260,5,272,0,270,..,626,21,648,6,655,..,447,67,518,12,532,..,25,0,27,0,27,..,168,10,182,0,182,..,238,54,296,0,297,..,96,9,103,4,108,..,23,6,29,0,29,..,52,5,53,0,53,..,613,81,693,6,701,..,1475,180,1653,26,1678,..,122,10,132,0,134,..,31,5,34
SOSR279,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,3,3,18,7,0,7,3,28,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
SOSR299,0,5,0,5,..,20,0,20,0,20,..,31,3,28,0,28,..,9,0,10,0,10,..,3,0,3,0,3,..,20,3,24,0,21,..,27,11,39,0,39,..,115,30,151,5,154,..,532,158,687,15,698,..,21,4,28,1236,1261,2372,555,162,714,1245,4331,1835,..,..,..,..,1835,..,0,0,0,0,0,..,22,21,41,0,41,..,0,0,0,0,0,..,27,9,36,0,36,..,84,37,124,0,124,..,8,9,19,0,19,..,124,57,177,0,177,..,0,0,0,0,0,..,3,0,3,0,3,..,14,0,14,0,14,..,13,0,13,0,18,..,15,3,18,0,18,..,6,0,6,0,6,..,4,3,4,0,4,..,9,0,12,0,12,..,3,0,3,0,3,..,3,0,7,0,7,..,6,0,6,0,6,..,34,5,44,0,44,..,24,7,28,0,30,..,4,0,5,0,5,..,8,6,17
SOSR301,51,925,10,934,..,7530,318,7846,59,7905,..,6111,767,6872,52,6925,..,1938,184,2127,16,2143,..,1011,237,1248,8,1258,..,552,75,628,7,635,..,7708,2693,10397,63,10458,..,26207,5600,31808,746,32554,..,143162,24930,168094,1765,169857,..,2388,368,2759,57171,59926,779244,145556,25295,170851,58935,1009029,800380,..,..,..,..,800380,..,2894,45,2942,22,2959,..,3528,1075,4610,50,4653,..,320,10,336,12,346,..,7984,2325,10303,50,10353,..,22157,6908,29067,129,29199,..,1235,482,1715,16,1729,..,31370,9713,41085,199,41278,..,979,143,1129,12,1134,..,1660,29,1684,19,1702,..,3009,163,3168,31,3197,..,3498,117,3610,37,3652,..,3339,414,3751,39,3787,..,1055,150,1208,3,1213,..,6753,396,7151,70,7222,..,4855,719,5574,71,5649,..,2028,135,2164,9,2177,..,1456,220,1675,15,1690,..,4276,411,4689,31,4718,..,20426,2044,22475,193,22664,..,4372,543,4914,73,4994,..,3294,576,3871,28,3897,..,4593,2107,6706
SOSR302,3,128,0,133,..,1169,37,1198,11,1211,..,1297,120,1411,24,1435,..,150,3,155,3,156,..,368,79,448,5,452,..,252,33,286,0,286,..,359,69,426,3,430,..,4840,642,5486,100,5586,..,26809,3962,30763,324,31093,..,648,59,703,18845,19552,211824,27455,4015,31473,19171,262469,221864,..,..,..,..,221864,..,788,8,792,0,792,..,633,126,759,8,767,..,29,0,26,0,27,..,1213,389,1603,12,1608,..,3892,1239,5129,36,5163,..,229,92,320,0,317,..,5334,1713,7047,44,7090,..,507,63,571,9,573,..,475,18,494,6,498,..,1096,58,1151,7,1155,..,1158,31,1190,17,1205,..,710,74,781,9,787,..,170,13,186,0,186,..,594,28,620,3,623,..,513,73,590,8,597,..,155,6,162,3,165,..,161,11,171,5,174,..,523,37,560,5,568,..,2123,178,2298,26,2316,..,1036,87,1116,10,1126,..,2637,668,3312,25,3331,..,1216,568,1785
SOSR303,7,147,4,149,..,1526,66,1595,20,1614,..,687,50,740,9,747,..,216,13,230,3,236,..,318,54,369,0,373,..,61,9,61,0,61,..,346,78,425,5,433,..,5562,1064,6627,144,6778,..,21941,3154,25093,350,25448,..,857,86,946,23222,24163,269971,22794,3246,26039,23572,319582,284528,..,..,..,..,284528,..,816,4,826,3,831,..,459,145,605,5,605,..,855,50,904,42,941,..,533,154,693,7,695,..,1333,438,1777,18,1796,..,83,37,120,0,115,..,1948,634,2586,25,2608,..,137,16,154,3,157,..,602,19,619,3,624,..,880,44,928,4,934,..,1578,52,1636,13,1646,..,388,50,444,8,454,..,140,6,149,0,152,..,477,24,498,3,505,..,640,103,748,13,758,..,284,17,307,0,308,..,122,8,136,0,132,..,779,309,1085,8,1094,..,2449,479,2926,31,2956,..,1219,97,1321,19,1341,..,1580,310,1886,10,1891,..,629,287,915
SOSR311,8,61,0,61,..,931,42,977,14,985,..,106,7,110,0,113,..,114,67,186,0,186,..,81,15,89,3,89,..,55,9,62,0,62,..,167,124,294,3,294,..,1165,336,1508,35,1536,..,5631,995,6627,96,6716,..,319,26,342,8595,8933,101431,5954,1015,6969,8688,117087,106688,..,..,..,..,106688,..,373,3,382,4,384,..,46,9,54,3,59,..,86,3,89,0,91,..,109,56,159,5,167,..,340,165,503,5,509,..,22,18,35,0,42,..,474,235,705,8,716,..,31,8,36,0,36,..,152,3,157,0,158,..,140,12,145,3,151,..,332,15,346,9,352,..,47,0,46,3,49,..,92,15,104,0,103,..,185,11,195,0,195,..,148,22,164,3,170,..,103,13,114,0,114,..,62,7,73,0,73,..,214,29,239,0,239,..,797,90,885,4,892,..,212,25,242,0,246,..,92,20,108,0,115,..,83,37,119
SOSR312,0,12,0,14,..,322,17,346,0,346,..,45,3,47,0,47,..,46,4,51,0,54,..,14,0,14,0,14,..,0,0,0,0,0,..,18,3,22,0,22,..,277,42,320,17,334,..,1422,144,1566,24,1590,..,67,9,72,2014,2084,24108,1488,145,1635,2041,27787,24171,..,..,..,..,24171,..,92,0,92,3,88,..,41,10,55,0,50,..,10,0,10,0,10,..,14,4,22,0,23,..,69,23,94,0,94,..,3,3,12,0,12,..,93,25,121,0,123,..,6,0,5,0,5,..,18,0,20,0,20,..,22,4,26,0,26,..,46,0,46,0,43,..,18,0,21,0,21,..,25,3,30,0,33,..,61,6,68,0,68,..,37,12,49,0,49,..,20,0,24,0,24,..,18,3,22,0,22,..,35,4,34,0,34,..,203,26,225,0,226,..,35,4,39,0,39,..,20,3,19,0,19,..,19,5,25
SOSR313,3,31,0,31,..,463,17,478,4,483,..,98,10,109,0,109,..,49,5,58,0,58,..,47,12,55,0,55,..,14,0,19,0,19,..,37,13,50,0,48,..,694,112,809,24,829,..,3003,337,3341,51,3393,..,219,22,247,5873,6119,68736,3222,360,3585,5931,78241,72516,..,..,..,..,72516,..,303,0,308,0,304,..,22,3,23,0,22,..,49,3,54,3,58,..,54,24,78,0,84,..,126,44,168,3,168,..,9,5,10,0,10,..,182,79,263,3,266,..,15,0,15,0,16,..,86,0,86,0,88,..,110,7,117,3,117,..,241,10,254,3,255,..,34,3,36,0,41,..,17,3,14,0,14,..,94,4,102,0,99,..,74,13,88,0,88,..,49,0,49,0,49,..,13,7,21,0,21,..,76,13,84,0,84,..,315,33,351,0,353,..,113,9,118,3,118,..,73,14,88,4,95,..,35,11,43
SOSR314,0,22,0,22,..,416,14,430,9,437,..,112,13,124,0,123,..,52,21,74,0,74,..,45,0,48,0,48,..,33,3,36,0,36,..,81,42,124,0,121,..,714,236,952,23,974,..,3941,997,4946,64,5011,..,217,20,239,6539,6776,66709,4161,1023,5178,6608,78499,68085,..,..,..,..,68085,..,260,6,266,0,266,..,61,26,89,0,89,..,91,0,95,4,96,..,103,19,117,0,117,..,290,264,555,11,566,..,5,9,14,0,15,..,396,295,691,10,703,..,21,5,26,0,26,..,100,6,108,0,107,..,114,14,126,0,131,..,231,8,232,3,240,..,63,3,70,0,69,..,13,7,18,0,18,..,65,5,65,0,65,..,252,55,308,4,311,..,39,3,45,0,45,..,24,0,30,0,27,..,70,19,84,0,86,..,464,84,545,9,550,..,519,118,639,12,652,..,123,43,171,0,171,..,67,72,140
SOSR315,9,51,0,51,..,504,36,542,8,554,..,149,10,156,3,159,..,30,0,30,0,30,..,52,11,67,0,71,..,4,0,8,0,8,..,81,39,124,0,124,..,1169,256,1427,50,1478,..,5660,943,6598,188,6786,..,364,40,402,11434,11835,106658,6022,982,7004,11622,125283,107599,..,..,..,..,107599,..,171,4,179,0,175,..,31,0,32,0,32,..,1529,143,1679,86,1765,..,51,23,71,0,71,..,223,121,348,0,348,..,14,11,25,0,25,..,287,151,437,0,441,..,37,0,38,0,37,..,155,8,164,0,167,..,183,10,191,0,196,..,363,10,374,3,372,..,74,8,83,0,83,..,9,0,15,0,15,..,83,14,95,0,95,..,110,15,123,0,122,..,24,5,30,0,30,..,27,3,29,0,29,..,45,8,52,0,52,..,295,38,338,0,336,..,452,107,559,14,571,..,126,33,156,5,164,..,76,84,161
SOSR321,0,4,0,4,..,81,4,89,0,89,..,46,4,51,0,47,..,3,0,3,0,3,..,18,4,27,0,24,..,0,3,3,0,3,..,12,4,12,0,12,..,440,107,547,14,564,..,2575,314,2888,85,2975,..,134,12,143,4359,4501,42461,2704,326,3036,4448,49939,42083,..,..,..,..,42083,..,63,0,65,0,65,..,6,0,6,0,6,..,1260,110,1371,44,1411,..,19,4,23,0,23,..,52,16,72,0,76,..,7,3,7,0,7,..,74,23,97,0,104,..,5,0,5,0,5,..,80,3,87,0,87,..,67,7,74,0,73,..,176,6,175,0,175,..,14,3,21,0,17,..,3,0,3,0,3,..,18,0,18,0,24,..,26,3,26,0,30,..,3,0,3,0,3,..,11,0,11,0,11,..,16,3,17,0,17,..,84,5,90,3,91,..,122,16,145,4,146,..,57,3,62,0,62,..,5,0,8
SOSR322,0,4,0,4,..,43,0,43,0,43,..,16,3,18,0,18,..,0,0,0,0,0,..,4,3,9,0,9,..,0,0,0,0,0,..,7,0,5,0,5,..,268,54,324,6,325,..,2012,329,2337,81,2415,..,80,23,104,1934,2040,18368,2094,349,2448,2010,22828,17476,..,..,..,..,17476,..,37,0,38,0,38,..,0,0,0,0,0,..,1484,193,1676,70,1752,..,0,0,5,0,5,..,12,7,19,0,24,..,0,0,0,0,0,..,14,8,23,0,23,..,9,0,9,0,9,..,18,0,18,0,18,..,17,0,17,0,17,..,53,0,53,0,53,..,7,0,7,0,7,..,3,0,3,0,3,..,3,0,3,0,3,..,16,3,14,0,20,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,26,3,24,0,31,..,95,11,110,3,111,..,12,8,15,0,15,..,4,3,3
