SOSR_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SOSR321,10659,9443,3568,353,24025,7477,932,32434,133,91,61,10,300,283,20,594,15,18,6,0,38,22,5,73,156,104,68,10,339,309,24,670,97,53,71,9,231,432,26,693,10,3,3,0,15,13,0,28,3,0,0,0,3,14,0,18,0,0,3,0,3,7,0,13,109,57,75,9,252,464,28,751,181,18,26,6,230,380,14,629,28,0,0,0,25,66,0,94,26,14,4,3,55,60,5,118,36,16,7,0,60,50,6,115,273,48,40,10,371,556,27,958,148,97,41,3,292,203,7,497,11347,9755,3794,382,25280,9007,1023,35309
SOSR322,5129,3735,1630,165,10659,4132,473,15265,82,43,41,4,166,124,16,303,16,6,7,0,30,23,0,54,92,56,41,3,192,146,14,355,52,15,28,4,102,226,8,335,3,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,15,28,4,109,227,8,346,105,10,4,0,121,244,7,373,24,3,0,0,31,44,4,78,13,3,5,0,21,19,3,48,36,21,7,0,66,37,0,103,175,36,17,0,231,350,15,594,56,24,14,0,97,95,11,202,5505,3867,1732,177,11286,4946,529,16758
SOSR331,48994,47564,11422,982,108957,25614,3502,138072,146,115,70,5,341,188,28,556,29,30,12,0,73,26,7,105,173,142,85,5,414,215,33,658,74,43,32,0,153,191,14,360,3,0,0,0,3,0,0,4,0,0,0,0,3,8,0,16,20,12,5,0,32,24,0,60,102,48,45,0,197,227,17,437,463,104,46,10,624,1272,67,1966,145,31,41,3,223,320,39,581,189,139,57,7,385,348,24,763,88,73,13,3,174,75,12,266,878,347,163,22,1407,2020,144,3577,423,407,113,10,949,504,46,1503,50574,48514,11817,1021,111931,28580,3737,144249
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,87541,114308,40275,3861,245989,67980,10838,324804,12361,7984,6815,876,28031,29028,2877,59934,5398,4299,2483,438,12618,6314,1840,20770,17755,12282,9295,1316,40647,35341,4713,80704,5244,3230,2049,418,10939,15743,1661,28344,794,396,191,83,1466,2060,433,3960,1499,400,237,124,2258,2600,761,5622,11,16,4,3,42,42,9,86,7547,4043,2483,627,14704,20451,2864,38014,76,26,13,0,106,193,5,313,49,11,13,0,75,144,6,223,3,4,5,0,17,19,0,40,107,108,57,15,285,145,57,487,234,146,84,14,478,508,73,1057,302,275,120,17,714,471,63,1254,113389,131056,52262,5837,302544,124747,18551,445836
SOSR412,6399,6789,2577,138,15902,4863,427,21196,1027,711,1047,59,2843,2990,211,6044,24,10,20,3,64,52,13,123,1049,718,1067,67,2907,3041,217,6166,174,54,110,16,360,986,55,1394,3,0,0,0,4,19,0,21,7,3,0,0,10,4,0,16,0,0,0,0,3,0,0,3,178,61,113,16,374,1010,55,1439,16,0,5,0,25,28,0,55,0,3,3,0,12,4,0,13,3,3,0,0,7,0,0,5,5,3,0,0,11,4,0,18,30,12,10,0,46,46,3,90,23,21,10,0,46,50,3,100,7677,7606,3775,218,19275,9007,707,28988
SOSR413,11062,9922,4091,277,25360,8634,841,34831,618,286,468,48,1411,2239,138,3784,74,54,26,0,161,86,10,260,696,336,494,45,1573,2325,147,4044,122,36,47,17,217,659,27,906,9,0,0,0,8,18,0,28,3,0,0,0,3,8,0,13,0,0,0,0,0,0,0,0,131,38,50,17,233,686,27,948,33,6,6,0,49,67,0,117,14,4,0,0,17,34,4,54,0,3,0,0,3,10,0,17,17,6,7,0,23,8,0,35,60,21,10,0,92,120,4,220,40,34,18,0,86,58,3,150,11991,10355,4660,335,27345,11817,1027,40190
SOSR414,3176,2074,876,62,6188,2460,240,8887,116,18,30,4,172,339,13,520,25,5,4,0,35,16,5,52,147,24,31,4,203,357,16,576,15,7,7,0,36,144,9,188,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,7,0,40,147,9,194,9,0,0,0,10,12,0,23,10,0,0,3,8,43,0,57,0,0,0,0,0,0,0,3,3,4,0,0,11,4,0,15,18,4,3,3,35,67,0,97,13,3,3,0,21,10,0,29,3372,2112,926,69,6476,3034,266,9781
SOSR415,12530,10483,4084,318,27418,10301,848,38575,520,105,198,18,842,1440,54,2335,12,12,8,0,30,33,3,66,538,112,206,18,873,1473,57,2397,183,45,38,8,274,844,28,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,45,38,8,272,844,27,1141,60,3,0,0,64,137,3,205,26,8,0,0,30,44,3,77,3,4,0,0,5,4,0,16,29,18,4,0,50,29,0,80,116,28,7,0,148,216,7,370,76,40,23,0,139,122,3,263,13439,10711,4363,346,28853,12956,943,42751
SOSR421,4068,3166,1084,81,8407,3302,262,11966,47,17,17,3,91,262,5,354,6,0,0,0,12,3,0,15,56,20,21,3,97,270,5,370,18,6,7,0,25,119,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,7,0,31,115,0,146,33,7,0,0,44,69,3,114,18,0,0,0,14,21,4,39,0,3,0,0,3,10,0,11,30,23,5,0,57,26,3,83,82,30,8,0,117,123,7,250,34,16,8,0,60,49,3,110,4255,3236,1128,88,8707,3863,279,12851
SOSR422,2603,1831,692,61,5195,2341,145,7677,5,7,0,3,15,67,3,87,0,0,0,0,0,0,0,0,5,7,0,3,15,67,3,87,10,7,3,0,18,39,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,3,0,21,39,0,59,8,0,0,0,8,29,0,39,0,0,0,0,0,7,0,7,0,0,0,0,0,21,0,24,24,13,11,3,45,27,3,76,34,14,11,3,60,86,4,143,20,12,3,0,34,25,3,68,2676,1858,717,67,5325,2552,157,8031
SOSR431,17365,16611,3308,307,37590,10381,894,48863,42,19,6,0,67,90,5,163,3,0,0,0,4,5,0,5,42,23,6,0,72,94,5,174,9,8,0,0,14,22,3,37,3,0,0,0,3,15,0,21,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,3,14,9,3,0,22,36,3,64,94,10,14,0,115,207,14,334,70,7,8,0,87,125,9,220,26,12,3,0,40,78,5,121,33,21,3,0,64,39,3,105,220,61,31,7,311,443,31,784,130,133,28,0,288,179,6,478,17771,16831,3373,309,38283,11139,933,50362
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,138070,204498,56261,6406,405242,87813,17006,510058,19434,13185,8506,1309,42443,34545,4180,81162,8484,5865,2578,542,17465,8821,2402,28687,27919,19048,11085,1848,59904,43363,6576,109846,3830,1523,1072,256,6678,9334,1087,17094,2981,923,516,228,4646,5768,992,11413,5618,1442,594,292,7944,7523,1359,16833,9,8,3,0,16,30,3,49,12436,3893,2183,773,19290,22661,3441,45387,222,23,38,3,283,594,21,907,144,27,32,3,200,343,18,560,15,9,5,0,20,22,0,50,118,131,53,9,313,128,37,476,499,189,119,11,817,1097,75,1986,371,328,104,20,824,584,88,1495,179297,227960,69756,9065,486080,155518,27183,668779
SOSR511,6461,7751,2611,171,16994,3874,592,21460,488,201,293,21,1003,1254,91,2347,142,49,39,0,233,129,27,391,631,253,336,23,1237,1377,120,2734,147,36,37,7,223,508,9,744,27,8,10,0,44,33,6,82,13,0,0,0,23,18,3,37,0,0,0,0,0,0,0,0,187,43,49,6,290,560,18,866,32,7,3,0,42,83,3,125,40,3,0,0,44,70,0,122,0,0,0,0,0,0,0,0,4,0,0,0,3,9,0,9,74,9,5,0,87,161,4,256,13,12,7,0,29,23,0,58,7365,8070,2999,197,18636,5999,737,25377
SOSR512,10336,11651,4157,360,26497,7422,1100,35022,885,431,393,44,1749,2400,144,4288,173,152,58,9,392,249,36,669,1059,578,444,55,2140,2645,174,4957,81,41,32,5,159,305,28,494,4,3,0,0,7,7,0,14,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,10,82,45,38,5,171,318,28,518,65,5,12,0,87,162,8,258,180,4,10,3,199,227,0,428,12,4,0,0,20,7,3,25,22,40,22,3,78,23,3,109,279,56,42,9,379,418,11,814,47,29,21,5,95,74,3,176,11808,12357,4693,431,29285,10877,1323,41485
SOSR513,3715,5516,1387,143,10764,2521,545,13831,222,153,145,28,546,607,45,1199,117,79,33,3,238,109,23,376,340,241,179,30,782,724,74,1578,259,113,64,10,445,425,55,921,23,3,0,0,26,26,0,56,30,14,0,0,41,50,6,97,0,0,0,0,0,3,0,4,313,130,61,12,516,501,63,1082,132,21,12,0,166,228,8,403,0,3,0,0,6,3,0,9,16,3,0,0,18,25,0,44,15,8,0,3,29,6,0,39,161,33,18,3,214,264,14,498,41,27,15,4,90,92,7,186,4566,5951,1657,189,12363,4099,703,17170
SOSR514,3311,3811,1423,81,8632,2518,354,11506,64,33,49,3,150,231,11,390,25,17,9,0,55,37,8,96,85,52,62,3,204,265,17,494,13,9,11,0,40,68,3,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,11,0,38,70,3,111,7,0,0,0,13,19,3,36,11,3,0,0,10,18,3,28,0,0,0,0,0,0,0,0,0,4,0,0,6,6,0,10,23,9,3,0,27,45,4,77,11,20,3,0,33,20,3,60,3448,3899,1505,85,8936,2921,383,12246
SOSR515,7932,8241,3000,247,19426,6336,707,26469,377,166,182,31,751,1057,67,1878,18,13,5,3,42,35,3,88,395,184,182,33,796,1094,77,1967,140,39,46,3,224,424,38,684,0,0,0,0,3,10,0,11,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,138,39,47,3,228,429,38,695,143,14,7,0,157,311,9,480,22,3,4,0,27,37,3,67,12,4,0,0,18,27,6,49,39,27,11,0,69,72,13,150,207,46,21,0,276,442,25,745,42,34,6,0,92,88,4,179,8731,8546,3259,284,20819,8393,847,30056
SOSR521,4368,4121,1583,150,10221,3738,371,14331,120,61,63,11,258,308,24,585,10,0,3,0,12,13,4,30,126,68,68,11,272,322,28,620,29,4,18,0,55,164,8,228,3,0,0,0,4,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,37,9,18,0,62,182,8,248,52,9,4,0,61,133,0,202,4,0,0,0,5,9,0,18,3,0,3,0,12,14,0,23,28,12,8,0,58,20,6,86,91,24,22,3,135,178,6,326,39,39,11,0,91,59,8,151,4654,4257,1702,165,10776,4481,422,15673
SOSR522,1933,1679,778,99,4486,1859,136,6482,21,3,14,4,43,93,4,145,0,0,0,0,0,3,0,3,21,3,12,4,46,95,4,151,8,5,6,0,20,30,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,6,0,20,34,0,52,31,5,0,0,37,72,4,108,0,0,0,0,0,3,0,3,0,5,0,0,5,17,3,19,20,9,3,0,30,17,3,49,49,13,4,0,68,109,6,182,14,6,4,0,32,40,3,75,2031,1716,802,105,4650,2133,155,6944
SOSR531,17049,16484,3238,336,37101,8694,861,46657,48,31,8,0,89,107,8,198,7,6,0,0,14,7,3,19,50,37,8,0,96,109,10,216,29,12,5,0,48,49,5,105,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,5,10,0,12,36,12,12,0,61,57,5,121,231,39,23,3,300,452,16,764,56,14,3,0,73,88,5,172,106,81,24,3,206,138,12,364,56,37,5,0,101,31,7,141,451,163,61,7,682,715,41,1441,214,132,33,9,384,203,15,598,17799,16830,3349,346,38326,9778,930,49039
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,15682,16788,7614,606,40694,14160,2035,56890,414,181,328,32,954,1688,170,2814,467,224,205,33,939,869,218,2021,885,408,538,66,1895,2556,380,4831,932,377,562,68,1946,3253,409,5603,194,41,38,18,296,527,110,927,134,34,21,10,199,368,65,623,14,11,4,0,26,36,3,62,1282,461,624,98,2457,4185,585,7225,9,3,4,0,16,17,0,31,14,3,3,0,23,29,3,57,0,0,0,0,0,12,0,14,30,33,13,0,79,39,17,141,58,40,19,0,118,95,19,240,38,28,18,0,84,77,17,178,17941,17725,8813,768,45248,21078,3034,69360
SOSR611,6433,6891,3179,282,16791,6132,877,23803,300,114,164,32,611,1297,115,2028,200,118,70,12,403,273,69,747,498,240,242,46,1015,1564,183,2769,371,132,228,19,755,1523,114,2395,15,3,8,0,26,75,15,109,4,3,3,0,14,110,3,124,7,11,8,0,27,47,6,79,404,142,245,22,814,1748,138,2704,0,3,0,0,3,5,0,9,0,0,0,0,0,4,0,8,0,3,0,0,6,3,0,6,19,8,9,3,34,30,8,72,16,16,9,3,43,38,8,91,17,17,9,0,38,52,9,97,7367,7303,3682,350,18710,9542,1216,29465
SOSR612,2269,2068,1188,54,5582,2201,225,8010,130,25,85,7,252,612,33,893,17,3,6,6,29,98,4,129,144,31,91,8,278,704,38,1026,29,11,8,3,45,132,3,176,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,29,11,8,3,45,136,5,187,4,0,0,0,4,5,0,14,13,0,0,0,18,32,3,49,0,0,0,0,0,3,0,3,3,3,3,0,7,0,0,9,21,5,3,0,27,45,5,70,11,3,0,0,12,3,5,15,2468,2111,1297,63,5941,3089,277,9308
SOSR613,3343,2882,1567,84,7885,3117,257,11259,122,26,87,9,239,797,20,1050,17,3,6,0,29,82,3,113,137,30,96,9,270,880,22,1166,11,5,18,0,34,109,3,145,0,0,0,0,3,30,0,38,10,0,3,0,13,42,3,63,0,0,0,0,0,3,0,3,24,7,23,0,53,184,4,245,11,0,3,0,17,38,0,59,4,3,0,0,9,18,0,25,0,0,0,0,0,0,0,0,6,5,0,0,10,10,3,28,25,11,5,0,38,64,0,106,4,4,4,0,12,21,0,34,3527,2933,1698,99,8258,4266,293,12810
SOSR614,1238,960,556,31,2784,1146,73,4009,43,13,15,3,72,239,4,315,5,0,3,0,8,29,0,39,48,14,21,3,83,264,4,353,6,7,15,0,29,52,3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,15,0,29,52,3,75,3,0,0,0,7,8,0,8,4,0,0,0,4,3,0,7,0,0,0,0,0,0,0,0,5,3,0,0,11,3,0,15,12,3,0,0,18,12,0,27,0,0,3,0,3,3,0,8,1300,985,599,40,2915,1475,91,4479
SOSR615,6915,5722,2660,162,15460,6250,486,22194,116,26,56,8,208,518,17,740,27,46,10,0,81,41,3,129,142,68,67,7,291,558,21,868,108,19,44,3,184,387,11,578,0,0,0,0,3,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,8,109,21,51,3,188,401,11,597,15,0,4,0,16,39,0,57,14,3,0,0,19,36,3,61,6,4,0,0,8,6,0,15,15,8,14,0,47,26,3,75,51,17,17,0,89,107,6,208,17,18,3,4,41,31,0,68,7237,5850,2797,182,16062,7350,530,23936
SOSR621,2444,1856,663,37,5002,1941,206,7148,18,5,13,0,39,105,5,148,3,0,0,0,3,0,0,3,19,9,12,0,41,105,5,152,11,9,4,4,29,74,3,107,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,4,4,33,78,3,112,7,0,0,0,8,21,0,35,3,0,0,0,3,3,3,10,0,0,0,0,0,0,0,0,17,18,9,0,39,15,0,57,23,20,8,0,52,42,3,94,9,3,4,0,20,17,0,38,2514,1890,692,41,5140,2184,216,7537
SOSR622,1558,1064,446,37,3099,1329,86,4513,19,5,7,0,31,61,3,98,0,0,0,0,0,0,0,0,19,5,7,0,31,61,3,98,6,3,0,0,5,41,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,3,0,0,11,46,0,49,0,0,0,0,4,3,0,10,3,0,0,0,3,11,0,15,0,0,0,0,0,3,0,4,11,3,0,0,17,7,0,20,16,0,0,0,23,28,0,46,9,4,3,0,20,13,0,40,1609,1085,456,38,3184,1474,88,4748
SOSR631,12704,11063,2757,202,26732,7720,729,35178,40,18,8,0,70,42,0,118,4,0,0,0,4,3,0,8,45,18,8,0,75,45,0,123,15,10,7,0,26,33,3,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,7,0,29,30,3,63,39,8,3,0,46,68,0,116,24,4,6,0,31,44,3,80,21,10,0,0,33,33,5,66,19,13,3,0,30,12,0,46,97,37,11,0,142,154,11,309,68,63,9,0,136,106,7,253,12928,11187,2798,204,27112,8063,747,35932
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,5578,9784,2635,269,18268,2711,1029,22004,633,506,305,44,1481,967,169,2621,564,503,190,27,1282,562,170,2018,1193,1011,499,66,2772,1530,337,4633,888,760,393,53,2104,1429,258,3797,553,318,115,22,999,561,191,1755,1524,753,189,46,2520,1427,506,4450,4,0,0,0,10,3,0,11,2976,1834,698,125,5631,3419,965,10017,183,26,13,0,230,173,12,409,26,11,0,0,39,48,4,88,5,3,0,0,11,12,3,24,36,34,12,3,82,35,13,131,254,78,27,3,357,268,30,660,47,40,11,3,101,85,9,188,10048,12738,3872,468,27131,8007,2370,37506
SOSR712,1269,1868,596,67,3789,742,260,4791,326,247,143,21,740,662,85,1484,129,146,60,10,344,249,48,645,458,392,203,30,1084,911,131,2124,45,18,21,4,91,175,18,281,3,0,0,0,6,10,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,24,21,4,94,186,26,307,31,3,0,0,35,81,0,115,4,0,0,0,4,14,0,20,3,4,3,0,8,8,0,17,56,97,37,0,191,86,19,298,98,101,39,0,240,187,19,441,10,7,6,0,17,41,0,60,1879,2390,863,101,5223,2073,432,7725
SOSR714,339,498,178,13,1029,227,65,1320,36,28,20,0,85,74,4,163,3,4,0,0,10,15,0,22,38,28,22,3,89,87,3,182,18,16,14,3,45,51,4,105,6,4,0,0,7,5,0,12,8,3,7,0,19,41,3,61,0,0,0,0,0,0,0,0,31,21,17,3,72,105,10,185,12,3,0,0,17,40,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,12,4,0,0,21,41,0,68,10,5,0,0,12,20,5,38,433,559,216,21,1227,479,81,1785
SOSR715,551,1237,463,111,2364,369,63,2793,87,147,57,15,310,88,7,407,0,0,0,0,3,4,0,7,91,148,57,15,314,94,7,415,29,22,14,8,65,111,3,186,12,5,4,3,24,55,11,85,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,43,29,21,7,93,169,10,273,9,0,0,0,9,8,4,23,0,0,0,0,0,0,0,3,10,4,0,0,14,17,0,29,3,0,0,0,4,3,3,9,24,4,3,0,30,33,7,65,7,7,4,0,17,12,0,26,713,1426,544,134,2813,675,87,3577
SOSR721,465,962,380,51,1857,281,44,2178,79,71,45,3,194,107,8,308,3,0,0,0,7,4,0,11,80,71,45,3,202,107,8,311,94,48,32,4,176,248,58,484,4,0,0,0,3,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,48,27,4,178,254,58,495,19,10,6,0,33,39,0,79,3,4,0,0,8,15,0,21,8,0,0,4,16,4,0,23,6,0,0,0,9,5,0,13,37,16,8,0,66,64,0,130,6,3,0,0,10,13,3,24,684,1095,461,64,2310,721,113,3141
