SOSR_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,10,4,0,0,0,0,0,14,0,0,3,5,0,4,6,0,0,18,4,6,9,44,23,28,24,0,0,136,0,0,3,3,0,0,0,0,0,4,0,3,0,7,0,0,0,0,0,8,0,0,0,4,0,3,0,0,0,10,0,0,4,24,5,11,0,3,0,52,0,0,3,4,0,0,0,0,0,10,0,0,3,7,0,5,3,3,0,25,0,0,0,3,3,0,0,0,0,9,3,3,0,14,0,6,9,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,5,27,0,0,0,0,0,38,0,0,10,13,0,0,0,0,0,24,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,5,9,13,5,6,0,0,0,37
SOSR201,13,135,388,1946,916,1023,684,367,194,5674,26,348,884,2264,555,348,156,96,50,4724,25,160,859,2597,114,78,23,11,3,3870,17,143,135,649,420,902,1665,1117,615,5665,663,3789,5243,15154,5619,4036,1794,668,269,37247,3,29,54,426,342,374,438,264,108,2049,299,979,864,4136,450,297,134,33,13,7201,5,23,68,456,301,136,41,12,3,1046,203,1299,2487,10952,4915,3739,1629,423,174,25827,0,44,107,1699,833,1669,1292,924,1041,7614,36,225,329,1695,1487,1803,1958,1303,571,9400,141,842,1755,2902,1058,892,475,135,40,8234,86,572,1397,4221,2325,1538,1065,479,185,11865,0,0,24,392,656,841,708,586,205,3418,213,1448,2066,10784,4242,3264,2125,1002,469,25620,44,115,568,3112,447,497,190,26,11,5004,135,676,1254,5161,1037,461,152,30,10,8918,7,49,172,1626,1673,2062,1695,848,201,8331,30,103,274,2079,2253,1205,793,359,93,7198,257,1023,1137,3230,1181,773,494,100,56,8256
SOSR203,0,0,3,16,3,0,3,0,0,29,3,5,38,92,27,21,16,0,0,202,0,0,9,31,3,0,0,0,0,43,0,3,7,21,10,65,176,122,68,474,10,36,75,279,152,113,45,16,9,741,0,3,6,17,22,34,34,22,3,145,5,33,29,58,3,3,3,0,0,132,0,0,0,21,13,3,0,0,0,43,12,35,59,223,119,103,63,7,8,617,0,0,0,37,20,33,36,38,52,206,3,12,16,52,49,96,108,100,20,454,0,16,18,28,20,22,12,0,0,114,3,11,30,65,56,25,26,17,3,231,0,0,0,12,28,51,52,51,18,203,3,11,19,79,12,17,9,0,3,157,3,0,5,17,3,4,4,0,0,38,9,81,63,94,28,11,3,3,0,289,0,0,3,39,39,83,77,53,13,301,0,0,5,15,12,7,9,0,0,54,6,26,29,82,23,18,14,5,3,204
SOSR211,0,0,5,36,15,15,3,0,0,78,0,21,55,151,49,21,10,12,0,317,3,21,24,39,4,3,0,0,0,89,0,3,3,22,15,87,193,113,40,483,36,181,199,492,241,220,115,47,15,1538,0,0,0,12,12,21,17,19,7,96,7,20,16,84,13,4,0,0,0,139,0,3,3,32,15,11,3,0,0,67,9,88,127,516,204,151,59,17,0,1172,0,0,3,21,23,24,25,11,24,134,0,8,8,44,66,122,152,83,24,516,3,7,14,28,17,19,6,0,0,94,3,16,37,105,45,28,27,7,3,268,0,0,0,5,17,21,36,12,10,109,0,27,27,147,33,24,22,12,4,295,0,0,4,49,13,6,0,0,0,73,17,93,93,140,46,16,3,3,0,419,0,0,0,23,9,18,16,3,0,75,0,0,0,18,11,10,6,4,0,47,5,33,20,93,36,30,23,3,3,252
SOSR212,0,3,0,14,0,0,0,0,0,26,0,3,0,7,3,0,0,0,0,16,0,0,7,16,0,0,0,0,0,23,0,0,4,15,9,50,126,63,28,292,16,89,109,353,198,134,71,31,8,1001,0,0,3,6,7,20,21,12,3,75,0,38,35,48,10,8,0,0,0,146,0,0,0,9,13,3,0,0,0,30,8,35,49,259,136,101,49,14,0,657,0,0,0,16,5,14,3,8,10,58,0,8,10,29,52,76,100,63,24,360,0,0,13,13,7,0,4,4,0,44,0,19,34,73,41,14,20,7,0,216,0,0,0,3,10,7,5,6,9,47,8,22,14,94,43,8,19,5,3,212,0,3,53,183,11,5,3,0,0,251,3,7,16,81,36,17,4,0,0,163,0,0,0,4,12,5,6,11,0,44,0,3,14,72,70,34,23,6,4,219,4,10,19,43,19,29,9,4,0,137
SOSR213,0,4,3,15,13,10,3,0,0,58,0,0,3,13,0,3,0,0,0,23,0,0,7,17,3,0,0,0,0,25,0,3,3,31,40,140,250,166,80,712,8,63,108,395,222,182,140,54,17,1189,0,0,0,16,20,32,40,23,6,135,3,8,9,22,6,0,3,0,0,54,0,4,0,24,17,8,11,7,0,66,5,48,79,343,179,153,84,13,3,904,0,0,3,25,11,29,20,20,33,134,0,8,12,52,80,137,208,144,53,690,0,3,7,24,12,9,3,3,0,64,3,31,38,124,54,45,34,12,4,334,0,0,0,3,8,24,21,8,6,65,4,20,11,70,13,9,7,3,0,146,0,3,17,80,3,0,0,0,0,103,0,9,12,67,23,13,3,0,0,133,0,0,0,4,7,3,8,3,0,25,0,0,0,9,8,3,3,3,0,28,4,25,22,100,43,50,28,10,5,295
SOSR214,0,0,0,4,5,3,4,0,0,28,0,0,0,13,0,0,0,0,0,19,0,0,4,17,0,0,0,0,0,17,0,8,3,17,7,59,140,62,41,340,3,48,65,201,158,149,93,49,15,784,0,0,0,10,14,12,16,16,3,64,3,4,0,15,3,0,0,0,0,34,0,6,0,18,8,7,6,0,0,47,0,11,25,158,76,56,21,8,0,357,0,0,4,8,4,4,11,8,11,43,0,4,3,27,44,82,110,57,18,343,0,5,9,19,3,10,0,0,0,49,0,14,18,44,25,24,20,10,0,156,0,0,0,0,0,3,11,9,8,35,0,0,3,27,6,5,8,3,3,63,0,0,16,66,0,0,0,0,0,88,0,5,12,50,15,13,5,0,0,99,0,0,0,4,4,9,5,0,0,17,0,0,0,3,0,0,0,0,0,11,3,10,6,42,24,22,32,3,0,138
SOSR215,0,0,0,14,9,12,3,3,0,48,0,0,7,23,8,11,0,0,0,52,0,0,3,23,0,0,0,0,0,29,0,5,9,30,36,118,213,131,57,596,10,60,80,363,255,233,144,55,28,1222,0,0,0,7,12,20,30,19,12,97,0,5,3,13,7,0,0,0,0,21,0,0,0,13,16,17,3,6,0,54,7,37,31,235,106,84,49,18,0,556,0,0,0,21,9,18,12,6,18,90,0,6,15,49,49,122,152,62,36,491,0,4,3,24,13,9,3,0,0,63,0,8,27,67,49,40,34,8,15,237,0,0,0,3,9,5,9,10,3,44,0,3,5,40,10,15,12,0,4,86,0,0,17,69,4,3,0,0,0,90,0,22,14,87,39,15,4,0,0,175,0,0,0,3,5,9,3,0,0,19,0,0,0,15,14,11,4,0,0,44,7,21,11,69,38,50,43,10,0,246
SOSR221,0,0,0,0,0,3,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,43,66,22,8,153,0,8,12,74,83,92,54,9,0,339,0,0,0,0,8,7,9,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,18,0,8,7,46,31,25,13,0,0,126,0,0,0,3,0,6,7,3,0,23,0,0,0,12,17,45,62,28,8,169,0,3,0,3,6,0,0,0,0,11,0,0,3,20,13,13,11,4,0,56,0,0,0,0,3,0,4,3,0,17,0,0,0,3,7,4,3,0,0,19,0,0,0,11,0,0,0,0,0,10,3,6,4,22,8,9,3,0,0,57,0,0,0,4,5,0,0,0,0,8,0,0,0,3,0,3,5,0,0,9,0,11,4,25,14,20,16,0,0,86
SOSR222,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,22,46,15,9,94,0,3,10,58,42,56,31,7,0,202,0,0,0,0,3,3,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,11,0,6,5,37,24,21,8,0,0,108,0,0,0,8,3,4,0,0,0,10,0,0,0,5,8,21,31,12,0,80,0,0,0,9,3,0,0,0,0,8,0,3,5,19,6,5,3,0,0,42,0,0,0,0,0,0,6,0,0,5,0,0,0,3,3,5,0,0,0,9,0,0,8,27,0,0,0,0,0,30,0,0,3,18,9,0,0,0,0,29,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,12,9,8,8,0,0,37
SOSR231,0,3,4,14,22,17,14,3,0,76,0,0,3,9,3,0,3,0,0,20,0,0,3,12,0,0,0,0,0,11,0,10,13,86,104,266,386,120,29,1004,19,139,171,645,594,511,248,55,9,2387,0,3,3,9,35,37,50,14,0,150,0,3,3,14,0,8,4,0,0,34,0,0,9,35,36,18,8,0,0,100,11,59,51,319,137,138,53,5,0,774,0,0,0,40,12,39,28,20,16,159,0,10,13,65,146,195,210,80,24,749,3,11,3,28,26,14,11,0,0,87,0,28,49,155,103,76,36,15,3,472,0,0,0,5,30,25,39,24,3,125,0,10,9,82,30,23,30,3,0,184,0,3,14,89,3,10,4,0,0,120,7,14,34,114,52,16,3,3,0,244,0,0,0,10,24,25,26,10,3,97,0,0,3,17,19,5,13,8,0,69,8,25,25,111,91,121,105,14,3,502
