SOSR_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,9104,3414,4764,1129,18419,3539,1227,1822,444,7040,2857,2209,4930,576,10569,1726,1508,5306,260,8800,15122,4991,8239,882,29233,8195,7175,13217,886,29472,39253,12160,14449,1607,67473,23882,19576,16374,2106,61931,30375,31246,17722,2554,81899,28846,35444,13650,2260,80206,19660,35353,10751,1508,67268,21864,36205,8308,1446,67819,46376,75082,11894,2384,135735,31666,56176,5017,1299,94154,19288,38123,2188,681,60283,13161,29396,2604,318,45475,27548,73968,2553,536,104597,23688,56952,15502,917,97057,7298,5488,3467,419,16673,373438,525687,162762,22218,1084106
SOSR203,182,55,106,13,349,98,39,68,3,205,103,47,222,15,388,53,37,276,13,374,742,148,517,33,1439,371,204,868,27,1472,2099,422,851,64,3435,1252,617,870,90,2827,1472,1064,879,88,3503,1370,1261,605,86,3322,833,1308,443,46,2631,926,1366,322,47,2664,1806,2712,385,59,4964,1114,1852,133,26,3119,543,1216,51,10,1821,315,713,66,3,1099,594,1521,57,9,2180,942,1852,669,33,3489,350,183,192,14,734,15148,16625,7579,677,40024
SOSR211,263,106,215,10,602,173,41,104,27,341,153,65,389,26,632,79,43,621,5,751,1058,239,1029,70,2399,654,332,1797,68,2845,3805,694,1829,130,6460,2197,1312,1753,117,5383,2717,2181,1587,169,6656,2626,2776,1152,123,6663,1668,2689,767,84,5198,1680,2576,521,68,4844,3128,4692,622,103,8539,1618,3123,203,42,4990,828,1807,70,16,2722,380,989,86,4,1457,683,1697,77,7,2468,1576,3096,1253,57,5985,602,316,336,30,1278,25880,28765,14418,1150,70220
SOSR212,211,83,95,14,407,112,28,57,13,208,86,76,227,11,399,60,43,338,5,444,716,185,585,33,1516,424,235,1006,36,1694,2392,440,1012,59,3901,1324,746,1007,74,3148,1694,1218,875,80,3872,1596,1487,637,65,3795,936,1566,427,37,2968,1087,1575,308,43,3015,1983,2961,384,54,5388,1174,2032,158,24,3393,526,1190,46,7,1772,281,700,57,5,1047,499,1288,44,8,1835,993,2069,714,48,3822,435,215,224,15,893,16539,18130,8213,627,43515
SOSR213,323,71,134,8,541,177,40,101,13,330,164,60,333,19,580,102,35,520,5,660,1262,186,859,35,2335,667,241,1431,31,2370,4040,551,1412,85,6095,2368,1066,1359,118,4907,2849,1921,1289,104,6167,2443,2330,869,120,5764,1479,2377,581,47,4482,1613,2391,431,44,4474,2911,4275,519,73,7776,1618,2940,180,30,4762,803,1673,50,12,2542,411,1013,79,0,1510,813,1776,70,11,2666,1651,3150,1035,40,5876,723,286,313,32,1361,26412,26375,11581,819,65189
SOSR214,188,34,53,5,282,135,23,63,5,217,104,36,177,3,330,58,19,297,0,379,872,102,496,24,1492,448,159,819,16,1448,2876,328,833,47,4087,1537,590,773,64,2956,1793,1085,662,40,3578,1525,1270,403,52,3251,829,1261,297,33,2424,869,1149,214,30,2266,1372,1972,231,32,3611,735,1313,78,10,2142,408,733,28,4,1161,158,443,45,0,652,334,725,26,3,1089,996,1671,633,25,3324,468,148,173,22,809,15703,13063,6309,430,35505
SOSR215,281,68,104,15,461,232,33,75,4,342,163,71,280,13,529,104,42,413,7,569,1231,165,684,31,2119,661,251,1139,27,2078,4059,506,1104,85,5760,2240,942,1069,105,4356,2718,1769,981,85,5554,2357,2032,690,78,5154,1301,1985,450,29,3760,1420,1969,327,34,3746,2451,3511,369,48,6380,1301,2299,115,31,3741,634,1207,46,7,1893,342,748,59,4,1149,592,1223,45,7,1866,1519,2827,951,33,5332,687,241,244,20,1189,24289,21878,9165,667,55993
SOSR221,83,13,27,4,128,66,17,15,0,91,44,19,61,3,129,42,6,123,0,176,412,65,195,7,681,256,55,280,9,605,1393,164,266,20,1843,664,321,287,30,1302,816,486,240,25,1566,705,597,171,12,1494,375,574,118,7,1074,380,533,63,6,986,645,883,71,15,1605,356,603,18,8,984,175,303,9,0,486,94,180,13,0,284,151,298,13,0,463,494,804,236,15,1547,230,80,75,8,384,7385,5988,2269,170,15822
SOSR222,59,18,27,0,106,44,6,8,0,61,39,8,49,3,103,30,3,54,0,86,246,30,113,6,399,142,57,202,3,408,750,101,191,13,1056,393,199,170,18,779,495,327,160,18,1001,420,378,91,6,896,255,365,74,5,697,270,331,47,5,649,422,589,43,4,1060,212,376,21,5,619,92,216,0,0,312,50,108,7,0,167,95,165,11,0,273,292,550,162,12,1015,126,34,42,4,211,4433,3862,1474,117,9884
SOSR231,890,282,184,19,1381,650,146,117,18,935,454,217,331,21,1025,224,109,412,8,747,2469,432,713,53,3663,1388,627,1080,48,3139,6318,1180,1186,84,8770,4253,2005,1180,135,7570,5236,3529,1134,118,10020,4788,4093,870,107,9861,2570,3692,562,47,6873,3186,3927,412,63,7587,5367,7040,565,73,13043,2959,4966,247,34,8210,1734,2997,96,12,4842,941,1922,94,8,2964,2333,4143,141,19,6645,3439,7575,1221,39,12273,1277,713,278,26,2294,50481,49588,10830,928,111828
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,2792,983,1679,278,5725,1227,393,688,165,2475,1160,616,2079,225,4077,760,423,2798,82,4055,5976,1653,4640,438,12707,4149,2322,8152,390,15008,19878,4228,8704,822,33632,13077,7451,9426,1050,31006,16795,12826,10461,1272,41349,16024,16246,7903,1131,41302,11148,16170,6120,788,34229,12362,17135,4584,737,34816,25582,36284,6462,1202,69534,16676,28444,2620,674,48413,10301,20138,945,326,31705,6604,14900,1213,142,22861,12380,34007,1084,237,47714,12632,26190,6867,401,46094,2565,1986,1502,170,6229,192084,242381,87943,10521,532930
SOSR302,827,285,514,69,1698,372,112,193,24,697,357,142,469,44,1011,259,118,657,16,1050,2060,383,1284,84,3818,1351,627,2504,77,4556,6727,1099,2723,173,10722,4087,2004,2933,210,9234,5344,3701,3068,274,12383,5212,4632,2275,273,12391,3365,4530,1633,169,9696,3854,4846,1183,128,10007,7040,9346,1525,225,18132,4069,6929,518,105,11631,2257,4370,212,43,6887,1283,2893,252,21,4446,2663,5692,211,34,8599,3617,6731,1979,76,12406,968,535,411,39,1956,55712,59002,24549,2068,141330
SOSR303,789,233,458,56,1538,422,114,243,43,815,422,154,755,46,1373,276,95,1058,28,1459,2510,450,1791,96,4849,1700,708,3372,113,5885,8607,1303,3583,201,13690,5535,2348,3654,304,11835,6970,4170,3752,341,15233,6718,5320,2684,315,15039,4200,5412,1955,195,11758,4492,5359,1275,170,11293,8548,10678,1640,258,21121,5110,7803,541,127,13580,2756,4870,203,45,7878,1585,3151,235,18,4987,3037,5596,179,28,8847,5512,8930,2423,112,16978,1145,609,601,60,2411,70331,67297,30400,2549,170583
SOSR311,279,89,147,15,530,206,32,84,14,337,199,73,353,28,648,92,36,521,4,650,1300,176,872,38,2387,728,280,1543,29,2576,4557,586,1550,109,6800,2200,998,1473,147,4823,2623,1651,1273,116,5659,2327,1856,885,106,5173,1374,1854,599,72,3899,1410,1819,439,55,3726,2593,3629,495,71,6785,1459,2496,175,35,4154,853,1605,56,21,2536,465,946,88,12,1509,895,1697,74,18,2682,2118,3521,851,46,6530,609,225,277,33,1151,26294,23569,11757,964,62582
SOSR312,66,21,53,6,143,50,16,24,3,93,45,21,88,3,154,24,6,130,0,158,276,61,256,14,611,160,71,358,9,607,883,156,361,29,1428,485,251,357,38,1121,520,372,260,31,1184,457,428,168,16,1081,272,385,110,11,776,284,391,69,11,754,611,895,101,11,1627,402,571,44,8,1026,245,374,10,8,638,171,336,26,0,540,287,558,24,3,870,426,724,201,21,1362,131,58,61,7,255,5794,5695,2701,229,14419
SOSR313,184,36,96,6,329,147,23,58,8,230,107,38,200,6,350,77,23,337,5,440,763,116,563,30,1466,508,176,1003,26,1710,3020,383,1020,65,4487,1485,633,929,76,3132,1728,1095,903,74,3795,1553,1370,559,66,3550,932,1272,359,35,2602,1038,1271,286,38,2635,1823,2463,319,47,4649,1077,1716,123,27,2944,699,1073,48,8,1826,379,676,47,0,1104,679,1183,45,15,1927,1282,2176,548,17,4024,392,147,184,13,737,17873,15869,7642,554,41945
SOSR314,193,40,98,3,339,123,32,54,3,210,94,40,156,8,306,60,28,284,6,380,672,109,481,18,1277,375,139,830,17,1364,2370,323,869,66,3622,1264,579,803,67,2717,1542,1005,742,72,3363,1495,1275,499,72,3343,936,1301,339,31,2611,1038,1355,236,38,2667,1872,2795,292,51,5010,1029,1962,102,22,3123,657,1204,44,12,1925,373,810,69,3,1251,680,1354,46,13,2092,1187,2297,563,36,4088,353,193,172,16,725,16328,16842,6688,552,40411
SOSR315,301,74,156,3,542,198,58,77,14,354,157,70,405,16,647,147,48,552,7,759,1414,263,894,60,2634,807,352,1462,51,2671,4632,657,1393,95,6770,2291,1119,1309,148,4872,2639,1768,1149,104,5659,2419,2159,809,88,5475,1457,2003,511,55,4025,1543,2162,321,43,4069,2720,3910,409,63,7109,1495,2613,150,28,4280,873,1460,59,8,2406,464,972,74,7,1520,742,1561,62,11,2373,1955,3366,884,49,6262,592,327,286,33,1232,26860,24931,10986,886,63659
SOSR321,153,26,51,7,240,114,22,52,3,194,98,47,187,3,337,48,24,222,8,297,677,146,323,42,1182,386,176,534,24,1119,2042,339,521,48,2950,1055,500,468,53,2077,1159,762,388,50,2359,1049,874,283,30,2237,566,767,190,23,1539,647,724,118,17,1499,1075,1397,158,23,2655,629,960,46,7,1642,331,607,12,4,954,171,346,26,3,546,290,543,17,3,855,915,1492,367,22,2796,280,132,119,8,544,11690,9873,4078,385,26029
SOSR322,85,16,25,3,129,50,15,25,0,93,58,25,104,3,189,27,19,112,0,157,336,59,171,12,586,194,75,239,14,514,1045,169,249,30,1494,508,215,219,28,966,609,355,183,18,1169,501,368,111,18,995,266,341,74,6,688,280,299,43,7,635,502,474,75,11,1064,236,353,23,5,612,121,189,9,4,320,65,82,3,0,156,128,217,12,0,353,471,614,180,18,1278,168,68,56,4,293,5652,3946,1915,173,11689
SOSR331,1013,299,236,23,1572,660,151,145,15,971,504,193,392,26,1114,290,120,540,10,951,2823,469,919,61,4271,1604,616,1357,50,3627,7346,1317,1438,101,10196,4213,2028,1389,148,7781,5272,3453,1358,141,10218,4672,3856,939,92,9572,2605,3511,615,62,6798,3156,3711,471,46,7382,5185,6754,617,58,12618,3083,4890,241,23,8236,1734,3057,108,8,4916,991,2012,112,13,3123,2180,4118,144,28,6465,4102,7820,1297,66,13281,1407,712,328,51,2497,52841,49083,12641,1026,115588
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,1614,689,871,151,3328,853,263,469,114,1704,753,471,1446,181,2849,432,322,1936,47,2737,4684,1397,3226,302,9608,2848,1875,5651,331,10710,16009,3357,5931,536,25832,9788,5438,6077,700,22007,11852,8875,6159,785,27670,10597,10331,4523,641,26097,6669,10069,3295,392,20423,6963,9979,2571,342,19863,13823,19731,3140,546,37235,8306,14730,1217,241,24491,4625,9675,465,114,14881,2602,6041,420,62,9130,4915,12889,470,64,18344,7346,14671,4777,196,26990,1665,966,1009,89,3730,116353,131777,53650,5837,307614
SOSR412,53,11,31,0,89,57,14,25,3,94,50,23,147,3,225,27,8,222,0,261,392,67,335,20,809,234,80,510,22,856,1305,184,489,22,2003,665,282,487,27,1470,815,505,391,24,1737,690,606,261,25,1582,481,665,164,16,1321,508,691,134,12,1347,872,1249,147,23,2291,484,916,57,3,1465,227,530,18,3,773,112,318,24,0,450,162,472,12,0,645,507,949,300,4,1760,173,59,110,4,344,7808,7632,3857,218,19521
SOSR413,100,17,61,4,183,94,19,35,5,151,66,21,145,6,245,55,8,225,7,292,583,100,361,24,1066,324,131,622,23,1105,2109,258,629,35,3034,1179,446,529,48,2203,1367,816,509,49,2739,1124,860,327,38,2351,656,774,242,16,1690,705,809,173,19,1701,1140,1541,172,27,2882,694,1086,59,13,1847,342,673,31,7,1049,197,440,23,0,658,353,874,25,5,1256,825,1442,450,18,2744,257,85,153,4,497,12174,10398,4775,341,27688
SOSR414,22,6,10,4,45,36,4,6,0,46,13,3,28,0,45,18,0,31,0,54,168,16,70,3,256,95,23,122,4,244,697,56,129,11,890,397,130,117,15,658,401,197,103,8,713,347,223,86,8,658,183,238,32,4,460,192,193,30,7,418,277,346,30,3,663,132,185,3,0,318,67,106,8,0,175,20,45,0,0,65,56,72,3,0,129,220,265,104,4,595,64,14,14,0,97,3407,2114,937,70,6527
SOSR415,101,30,33,3,161,104,21,40,5,167,67,20,150,8,251,43,15,207,5,272,687,88,336,22,1139,387,136,555,20,1101,2503,279,570,45,3395,1271,458,520,52,2301,1544,843,472,42,2900,1348,948,333,35,2671,669,952,209,26,1852,761,914,167,16,1857,1339,1730,192,31,3290,696,1229,53,4,1986,370,662,20,8,1062,177,360,33,4,568,334,598,20,0,952,917,1372,420,18,2724,281,89,119,11,491,13601,10748,4455,343,29146
SOSR421,35,7,12,3,59,30,9,20,0,56,25,15,33,0,68,24,3,50,0,76,237,25,81,0,345,136,48,168,3,355,771,80,142,7,1006,374,143,135,22,675,456,263,114,10,849,404,344,75,7,830,243,289,71,9,607,278,293,48,3,618,434,469,31,10,942,211,324,15,3,551,118,177,3,0,297,48,109,4,0,162,84,162,8,0,259,301,456,115,7,879,104,29,24,0,156,4300,3248,1153,91,8790
SOSR422,40,4,8,0,57,36,8,6,0,46,28,20,41,0,91,17,3,61,0,80,195,48,55,8,306,94,38,101,3,231,508,78,92,10,682,254,126,87,15,480,325,188,68,4,577,289,192,44,10,539,125,158,25,4,305,143,147,16,3,314,194,268,27,3,492,111,140,10,0,257,64,78,3,0,143,22,38,0,0,63,58,64,0,0,118,189,292,97,0,576,61,33,29,4,128,2737,1897,778,64,5480
