SOSR_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SOSR611,23803,58713,2028,3134,747,1536,2769,4664,2395,3645,109,161,124,148,79,131,2704,4079,9,11,8,9,6,21,72,131,91,169,97,186,29465,67815,3213,..,32683,67815
SOSR612,8010,19158,893,1270,129,165,1026,1437,176,249,0,0,6,7,0,0,187,260,14,17,49,71,3,3,9,21,70,119,15,47,9308,21012,1088,..,10392,21012
SOSR613,11259,26586,1050,1406,113,168,1166,1578,145,198,38,38,63,89,3,3,245,334,59,80,25,43,0,0,28,44,106,172,34,61,12810,28730,1520,..,14330,28730
SOSR614,4009,9354,315,433,39,56,353,492,75,131,0,0,0,0,0,0,75,131,8,13,7,11,0,0,15,37,27,59,8,20,4479,10048,439,..,4915,10048
SOSR615,22194,52034,740,1048,129,312,868,1361,578,852,10,12,0,0,8,18,597,880,57,83,61,86,15,35,75,185,208,386,68,157,23936,54815,4215,..,28149,54815
SOSR621,7148,16629,148,209,3,15,152,226,107,151,0,4,0,3,0,0,112,163,35,54,10,9,0,0,57,125,94,194,38,65,7537,17272,2691,..,10232,17272
SOSR622,4513,10141,98,154,0,0,98,154,48,65,0,0,0,0,6,5,49,74,10,23,15,18,4,8,20,43,46,89,40,83,4748,10533,1839,..,6583,10533
SOSR631,35178,87697,118,238,8,17,123,254,61,105,0,0,0,0,0,8,63,113,116,206,80,137,66,118,46,104,309,566,253,574,35932,89209,10673,..,46602,89209
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR703,22004,68630,2621,5579,2018,4681,4633,10260,3797,8077,1755,3682,4450,9544,11,32,10017,21333,409,811,88,164,24,55,131,325,660,1353,188,384,37506,101959,4990,..,42494,101959
SOSR712,4791,14073,1484,2958,645,1389,2124,4350,281,458,19,31,0,0,0,3,307,490,115,183,20,25,17,30,298,750,441,982,60,96,7725,19991,1288,..,9011,19991
SOSR714,1320,3950,163,313,22,32,182,351,105,198,12,24,61,89,0,0,185,312,59,105,0,0,0,3,3,10,68,118,38,69,1785,4801,191,..,1980,4801
SOSR715,2793,13532,407,1701,7,23,415,1723,186,326,85,153,0,0,4,8,273,481,23,37,3,3,29,56,9,22,65,111,26,68,3577,15923,907,..,4481,15923
SOSR721,2178,10481,308,925,11,16,311,939,484,935,16,16,0,0,0,3,495,960,79,157,21,37,23,62,13,31,130,286,24,40,3141,12714,617,..,3757,12714
SOSR722,2250,10035,109,339,0,0,107,340,68,129,0,0,0,0,6,5,73,142,79,160,9,17,34,111,10,30,134,310,31,59,2597,10888,520,..,3118,10888
SOSR731,7767,25050,67,186,0,0,66,188,23,41,0,0,0,0,3,4,23,52,404,807,62,106,185,482,21,57,671,1456,193,600,8721,27339,2206,..,10927,27339
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR802,95222,269340,13861,27753,11409,26420,25270,54169,4597,8056,7314,13208,9303,16159,191,330,21404,37754,26,39,104,167,9,11,45,139,184,356,271,519,142353,362142,12539,..,154896,362142
SOSR822,87,246,12,15,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,256,12,..,109,256
SOSR831,206,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,9,0,7,214,639,40,..,252,639
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR915,194,573,50,137,29,77,85,214,42,82,59,172,5,13,0,0,108,263,0,0,0,0,0,0,3,5,3,5,10,13,399,1068,85,..,485,1068
SOSR921,317,655,0,3,0,0,0,3,3,3,0,0,0,0,3,3,4,4,0,0,0,0,0,0,10,11,5,11,3,11,333,684,125,..,461,684
SOSR922,162,613,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,3,4,0,0,7,4,4,7,172,628,36,..,205,628
SOSR931,450,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,454,1091,132,..,585,1091
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
