SOSR_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SOSR214,51192,54962,106147,3916,4340,8254,307,344,646,3594,3970,7562,220,215,435,98,83,177,101,85,183,21,39,53,50,35,85,20,20,36,0,0,0,4406,4785,9193,322,326,651,120,99,222,8769,9554,18322,6494,6434,12927,66452,70947,137399
SOSR215,82476,86795,169266,5011,5657,10673,434,453,887,6038,6759,12795,291,319,615,111,95,214,137,171,310,38,51,93,74,81,162,23,33,55,0,0,0,7150,7970,15120,415,448,860,194,189,383,12771,14263,27040,8860,9411,18274,104107,110467,214577
SOSR221,23878,24055,47934,1049,1075,2121,96,119,221,1881,1881,3762,84,81,163,45,31,77,34,33,70,23,13,36,18,22,38,11,4,14,3,0,3,2191,2193,4380,84,101,184,54,70,117,3370,3430,6806,2663,2646,5305,29915,30127,60042
SOSR222,15199,14979,30178,541,598,1141,78,87,163,1081,1068,2150,66,62,129,30,24,52,20,30,55,8,6,19,15,15,37,6,0,9,3,0,4,1312,1292,2601,77,96,176,33,42,76,1967,2033,4004,1842,1799,3646,19015,18814,37826
SOSR231,170988,161640,332625,4696,4725,9422,823,761,1584,11713,11970,23682,657,533,1190,215,200,416,244,247,495,88,75,164,181,162,346,62,36,98,3,0,3,13988,13980,27966,711,758,1471,294,299,591,19687,19760,39452,21333,16991,38319,212004,198388,410393
SOSR279,13,0,12,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11,0,0,0,0,0,0,12,0,11,3,0,3,28,4,29
SOSR299,810,544,1354,300,188,486,94,89,185,1046,961,2005,103,111,216,28,24,54,57,42,106,16,15,31,10,15,28,5,11,18,0,3,3,1368,1270,2645,331,340,666,94,64,159,2095,1859,3954,1374,795,2164,4279,3200,7480
SOSR301,737282,767187,1504470,24967,26440,51409,6673,6847,13514,3211,3166,6377,117712,122970,240677,1100,1063,2155,1602,1491,3096,443,440,886,904,776,1684,677,660,1340,21,13,34,132342,137430,269773,18710,21058,39767,3004,2566,5571,179016,187504,366517,79843,78296,158134,996144,1032982,2029127
SOSR302,184766,195215,379987,8009,8613,16621,4108,4553,8660,1364,1409,2772,28721,31538,60259,353,349,702,549,566,1117,199,248,446,219,215,431,207,231,437,4,13,18,35720,39123,74840,4759,5389,10146,883,710,1593,49368,53839,103203,25356,26100,51450,259493,275149,534642
SOSR303,225194,239075,464271,10149,11140,21288,2650,2767,5415,1766,1781,3544,37874,41331,79208,512,555,1065,750,771,1526,272,284,555,643,573,1217,284,300,580,8,3,14,44754,48369,93128,3607,4119,7722,1031,921,1954,59546,64547,124086,31046,30189,61233,315785,333810,649590
SOSR311,85759,89724,175481,3057,3469,6526,672,734,1403,348,397,739,12791,14235,27023,100,96,198,190,181,371,76,83,160,100,98,193,42,36,75,7,3,9,14323,15855,30176,784,893,1677,407,381,786,18563,20601,39169,11409,10404,21810,115732,120724,236461
SOSR312,19955,19801,39758,1218,1336,2551,125,130,256,76,71,146,3110,3264,6376,34,27,65,43,59,100,17,19,38,27,22,46,7,3,17,0,0,0,3440,3596,7037,170,248,417,106,98,199,4926,5271,10197,2549,2396,4940,27431,27470,54902
SOSR313,56258,59537,115793,5559,6065,11619,457,516,969,174,191,362,6220,6734,12951,85,92,184,112,104,214,49,39,82,66,93,159,27,26,53,0,0,0,7194,7790,14982,398,497,900,242,223,462,13392,14579,27969,7546,7262,14809,77190,81374,158569
SOSR314,56317,57258,113569,5224,5720,10938,534,546,1083,224,247,473,5985,6467,12456,89,98,186,150,158,305,59,54,114,101,90,191,20,22,43,3,0,3,7174,7689,14862,751,841,1590,168,178,344,13316,14424,27743,7879,7533,15413,77510,79215,156728
SOSR315,90782,91446,182225,6218,6777,12995,787,862,1649,387,416,809,10370,10978,21349,163,129,291,239,239,480,63,81,142,160,162,325,38,40,77,0,0,3,12218,12912,25132,681,763,1446,439,372,809,19556,20824,40377,13383,11122,24504,123718,123395,247114
SOSR321,37846,37522,75371,1942,1983,3924,272,249,524,75,94,176,3601,3863,7461,39,31,72,86,97,186,23,24,43,59,57,120,12,18,32,0,0,0,4175,4446,8614,172,220,391,168,151,313,6454,6794,13247,5084,4136,9214,49376,48454,97835
SOSR322,17704,16941,34643,767,804,1571,106,105,210,38,44,85,1535,1490,3027,23,23,38,35,44,73,8,13,25,37,38,71,3,4,12,0,0,0,1780,1755,3533,65,79,143,121,100,227,2734,2740,5478,2148,1976,4121,22586,21665,44245
SOSR331,173764,161815,335576,5285,5430,10711,1054,1003,2055,363,403,766,15304,15151,30456,122,117,239,281,254,530,60,62,116,227,232,457,40,40,80,0,0,0,17444,17259,34708,872,915,1783,487,432,920,24085,24040,48120,24327,18892,43223,222174,204744,426924
SOSR379,52,57,102,0,0,0,3,0,5,0,0,0,4,4,12,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,21,0,6,3,0,0,0,6,17,22,6,17,21,66,84,152
SOSR399,1610,1127,2737,558,343,903,308,318,619,171,192,367,1677,1520,3196,48,57,106,161,146,306,28,35,59,54,41,100,7,14,25,3,0,3,2455,2331,4783,436,549,983,148,97,243,3598,3312,6907,1702,1098,2805,6908,5543,12454
SOSR401,443976,466846,910825,11669,12338,24001,1585,1692,3278,1604,1560,3161,1179,1208,2384,50204,52586,102798,673,549,1224,153,171,324,507,528,1032,249,205,455,3,8,9,56151,58509,114662,9185,10245,19426,1161,957,2123,78163,82045,160215,40883,40732,81617,563020,589627,1152650
SOSR412,28054,29213,57271,1883,2137,4022,91,99,193,147,166,310,114,120,232,2231,2457,4692,63,52,112,12,6,20,30,39,70,6,9,13,0,0,0,2695,2943,5637,132,151,282,99,87,182,4806,5311,10118,2866,3022,5893,35728,37556,73282
SOSR413,38887,41300,80184,2988,3357,6350,132,146,279,111,104,214,136,148,286,2626,2891,5517,109,104,219,18,12,33,67,71,137,3,8,8,0,0,0,3204,3489,6692,329,376,708,99,83,189,6631,7302,13939,4996,4313,9308,50510,52914,103424
SOSR414,9079,9743,18820,686,696,1382,33,30,64,67,38,108,33,43,72,656,796,1447,13,14,27,4,3,7,15,16,28,5,3,9,0,0,0,823,944,1769,64,100,170,23,15,44,1601,1758,3352,786,797,1578,11458,12299,23753
SOSR415,42064,43484,85552,2614,2887,5500,143,133,274,175,181,356,168,183,349,3247,3390,6641,94,103,201,24,21,50,71,70,142,4,9,10,0,0,0,3922,4095,8020,197,234,433,140,113,248,6876,7323,14200,4175,4225,8403,53118,55034,108147
SOSR421,13130,13217,26340,614,689,1300,43,33,79,35,37,74,49,48,96,927,943,1873,26,28,54,9,10,16,29,28,59,5,6,8,0,0,0,1118,1139,2255,63,78,141,30,34,62,1822,1934,3755,1262,1244,2507,16217,16394,32610
SOSR422,8601,8161,16762,299,315,612,27,19,43,31,33,59,25,27,51,578,525,1102,26,16,44,3,7,14,36,41,75,0,0,0,0,0,0,722,664,1384,17,16,39,22,12,38,1060,1011,2076,867,782,1647,10523,9962,20484
SOSR431,61352,55836,117183,1676,1615,3287,142,120,267,172,148,313,147,114,261,3564,3436,7003,124,109,232,21,27,39,69,76,150,11,15,23,0,0,0,4251,4034,8292,193,207,399,138,119,259,6254,5975,12237,6807,5069,11880,74416,66888,141306
SOSR479,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
SOSR499,366,183,552,144,83,221,35,26,64,25,30,58,54,52,102,461,380,839,21,15,44,8,6,12,13,13,30,0,0,0,0,0,0,618,528,1142,102,82,185,40,14,52,899,699,1592,466,238,700,1724,1122,2847
SOSR501,689936,710659,1400593,26884,27655,54540,1960,2019,3981,1861,1860,3723,1814,1801,3613,765,698,1464,93485,95718,189203,226,274,495,551,533,1078,194,220,414,32,28,61,100890,103149,204032,17122,18889,36016,1946,1784,3726,146843,151470,298308,78073,73650,151722,914855,935774,1850623
SOSR511,25981,27088,53063,1347,1500,2845,26,25,56,46,54,105,84,75,163,18,29,46,3101,3454,6553,16,17,26,26,27,57,0,3,4,4,3,10,3328,3687,7016,304,328,635,68,79,144,5049,5593,10641,3470,3020,6489,34493,35699,70189
SOSR512,41599,43018,84612,3164,3329,6494,101,114,214,95,105,194,160,159,318,73,67,138,4862,5090,9954,40,39,77,53,52,108,3,3,3,3,0,3,5386,5618,11006,383,466,852,166,163,331,9105,9579,18683,6250,5535,11788,56951,58132,115085
SOSR513,17229,16006,33236,3122,3119,6243,154,139,293,142,129,270,286,272,552,72,59,130,2169,2139,4308,31,34,72,79,73,147,9,8,12,4,3,13,2945,2854,5797,262,344,602,74,67,138,6400,6375,12777,3851,3309,7160,27481,25690,53170
SOSR514,12493,12743,25240,1156,1252,2406,37,41,80,31,46,77,32,38,68,13,14,31,1289,1387,2678,3,13,16,11,13,20,0,3,3,0,4,6,1425,1553,2983,176,218,391,42,30,80,2802,3054,5858,1741,1664,3405,17043,17460,34502
SOSR515,30556,30223,60778,2962,3034,5996,133,126,258,119,124,244,179,175,354,53,63,115,3140,3232,6369,31,36,67,62,67,129,13,12,18,3,0,3,3733,3822,7556,353,357,715,126,133,258,7174,7351,14523,5082,4716,9797,42811,42290,85097
SOSR521,16783,16438,33215,1046,1142,2187,35,39,73,28,19,45,51,46,96,27,21,47,1497,1497,2997,10,5,22,12,23,28,4,3,7,0,0,0,1656,1656,3314,134,166,297,118,107,222,2956,3068,6025,2364,2171,4538,22101,21681,43781
SOSR522,7812,7667,15484,405,418,828,22,21,49,26,27,55,35,29,65,15,10,27,627,701,1330,4,0,7,18,31,46,0,0,0,0,0,0,748,830,1580,62,70,136,191,184,370,1407,1502,2906,1276,1070,2347,10497,10233,20735
SOSR531,66186,55753,121940,2093,2021,4112,312,119,426,277,122,398,701,177,881,114,62,177,7297,5657,12950,39,22,58,91,64,151,9,5,16,4,0,7,8844,6221,15071,515,383,895,314,260,571,11765,8888,20652,14224,6963,21180,92176,71603,163774
SOSR579,259,11,272,0,0,0,3,0,3,3,0,3,4,0,6,0,0,0,45,7,53,0,0,0,0,0,0,0,0,0,0,0,0,62,8,69,11,0,15,0,0,0,73,12,84,71,8,80,408,26,434
SOSR599,814,434,1248,245,154,396,99,104,201,67,62,132,142,130,274,45,37,78,808,594,1395,15,15,22,32,17,52,4,7,13,0,0,0,1209,962,2166,189,195,387,44,36,84,1691,1346,3036,1020,617,1636,3518,2398,5915
SOSR603,65289,70578,135867,1968,2097,4063,384,445,833,559,593,1149,481,489,961,118,108,221,201,217,414,7132,7736,14874,65,66,131,56,66,124,0,0,3,8991,9724,18711,1049,1219,2276,208,155,364,12222,13197,25416,7408,7347,14754,84916,91121,176036
SOSR611,27119,29471,56583,762,915,1682,198,191,383,204,224,431,170,190,362,41,46,87,109,100,201,3310,3697,7014,31,31,58,16,10,21,0,0,0,4078,4487,8563,454,359,816,69,68,139,5362,5831,11193,3228,3413,6643,35708,38714,74421
SOSR612,8287,9409,17698,365,480,847,52,40,92,58,45,101,66,70,135,14,25,41,22,29,58,820,885,1703,3,7,9,0,3,4,0,0,0,1040,1108,2146,44,50,97,27,21,48,1471,1658,3138,960,1034,1992,10722,12105,22827
SOSR613,11769,12846,24621,389,460,848,56,59,117,59,57,114,79,91,167,24,21,44,27,26,55,1208,1344,2553,10,4,13,4,5,9,0,0,0,1468,1599,3065,42,41,88,37,42,74,1938,2142,4084,1168,1240,2407,14875,16238,31109
SOSR614,4106,4479,8583,262,307,570,19,8,28,21,17,30,22,21,46,0,3,8,3,14,18,284,301,583,3,0,3,0,0,3,0,0,0,348,365,720,8,13,28,15,9,23,639,697,1333,438,527,966,5181,5709,10892
SOSR615,22720,24142,46863,1315,1461,2777,138,156,296,140,158,296,205,235,439,27,38,64,107,108,219,1658,1829,3481,27,30,56,9,12,17,0,0,0,2309,2561,4873,94,102,199,51,62,113,3769,4195,7960,2423,2516,4939,28915,30846,59764
SOSR621,7421,7561,14988,391,407,800,68,66,131,67,66,125,70,84,157,9,11,23,51,40,90,423,487,909,10,4,15,0,3,3,3,3,4,696,756,1450,35,35,69,16,20,30,1134,1218,2350,776,786,1559,9329,9567,18894
SOSR622,4812,4691,9503,193,199,393,26,40,65,43,43,84,27,40,70,7,8,14,19,18,32,265,304,571,3,3,11,3,6,6,0,0,0,400,451,852,12,31,43,10,10,13,618,683,1304,523,495,1020,5945,5873,11821
SOSR631,41712,38838,80548,1154,1135,2291,262,251,510,186,183,372,328,320,647,93,78,170,173,176,344,2200,2358,4564,39,45,80,10,3,15,0,3,3,3284,3419,6703,158,170,324,84,79,160,4679,4801,9477,4137,3697,7840,50531,47337,97865
SOSR679,32,16,47,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,10,7,13,3,0,3,0,0,0,11,7,22,4,0,9,49,21,68
SOSR699,112,66,176,46,30,72,10,16,32,19,10,31,25,31,59,3,6,13,9,13,24,127,126,253,5,0,4,4,0,4,0,0,0,207,205,415,20,21,39,3,3,8,279,258,540,128,63,188,516,391,909
SOSR703,37872,35495,73365,1351,1274,2628,743,659,1399,725,664,1391,1398,1196,2599,418,394,806,743,647,1388,59,51,106,6696,6609,13308,93,87,180,4,3,4,10882,10305,21184,1424,1541,2961,238,192,434,13891,13316,27207,9354,6694,16046,61116,55502,116617
SOSR712,7718,7937,15655,309,364,669,74,104,180,117,130,248,139,148,285,120,126,250,51,68,119,10,14,16,959,1044,2000,13,19,36,0,0,0,1493,1650,3143,254,299,548,93,99,199,2153,2403,4559,1566,1586,3154,11433,11936,23367
SOSR714,1872,1765,3635,247,258,506,59,43,99,28,30,59,84,75,158,23,31,54,20,21,39,0,3,3,124,128,253,0,0,0,0,0,0,338,331,672,27,37,63,14,3,13,625,633,1256,671,626,1297,3171,3023,6190
SOSR715,7232,7080,14311,201,230,436,34,43,78,47,60,103,98,91,191,25,24,49,31,39,68,4,0,4,248,230,471,4,6,11,0,0,0,478,488,964,42,55,100,98,95,192,829,868,1697,871,680,1554,8931,8626,17563
SOSR721,5478,5590,11073,156,155,308,53,55,105,62,58,121,126,109,236,33,30,64,47,45,92,10,7,11,203,190,396,3,4,6,0,0,3,541,496,1034,43,65,110,103,114,214,841,825,1668,641,565,1207,6964,6979,13945
SOSR722,4787,5045,9830,134,121,253,24,25,51,27,21,48,50,57,111,25,25,46,22,29,46,0,0,3,188,200,389,0,0,3,0,0,0,337,353,692,11,17,26,58,72,127,541,563,1104,517,475,988,5836,6079,11917
SOSR731,12470,11109,23574,351,329,682,203,186,393,108,82,189,282,236,516,69,65,136,111,97,209,13,12,21,840,743,1584,13,10,24,0,0,0,1642,1424,3070,106,102,203,87,83,178,2194,1941,4133,3365,2247,5615,18025,15294,33322
SOSR779,45,10,52,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,7,10,4,19,61,14,70
SOSR799,370,269,639,92,73,167,73,73,145,64,68,126,114,105,215,27,18,46,56,60,116,4,8,8,118,109,222,3,4,7,0,0,0,452,450,900,34,64,94,9,6,21,588,591,1185,361,290,654,1321,1151,2476
SOSR802,143993,149617,293609,2801,2875,5682,4631,4941,9567,1229,1255,2480,1253,1322,2570,396,421,819,517,478,995,127,146,267,228,198,434,16734,17090,33826,17,15,34,25139,25859,50995,4554,4838,9394,384,326,713,32874,33907,66781,15356,14934,30287,192221,198460,390682
SOSR822,114,124,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,5,11,0,0,0,6,9,17,0,0,0,0,0,0,6,9,17,9,7,12,132,143,270
SOSR831,347,290,638,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,17,21,40,0,0,0,22,31,52,0,4,4,0,0,0,19,33,59,47,43,87,411,368,776
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,60,41,98,31,14,47,20,28,43,3,3,6,10,8,18,3,3,7,0,5,6,0,0,0,0,0,0,61,61,122,0,0,0,103,110,211,21,23,45,8,5,14,165,153,319,86,35,125,312,226,538
SOSR915,612,498,1112,23,23,45,10,3,12,4,3,11,10,3,13,3,3,8,29,25,51,0,0,0,10,3,15,10,5,11,3,0,3,76,52,123,11,10,21,0,3,3,109,85,193,168,112,280,883,702,1583
SOSR921,277,316,597,19,16,33,13,6,19,3,0,6,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,23,14,37,8,16,21,0,0,0,47,42,94,31,33,60,356,397,754
SOSR922,264,272,536,3,4,8,16,13,28,9,3,9,11,0,17,0,0,0,17,15,34,0,0,0,0,0,0,11,9,16,3,0,7,67,42,109,3,0,5,3,0,3,72,44,119,38,23,62,376,339,723
SOSR931,452,484,931,13,18,32,23,21,46,0,0,0,15,15,23,0,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,34,44,80,9,9,15,8,0,6,61,77,142,294,61,356,805,620,1423
SOSR979,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6
SOSR999,13,8,21,0,0,0,0,0,0,0,4,10,3,0,8,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,13,20,0,4,4,0,3,3,5,22,28,0,3,9,24,28,50
