SOSR_CODE_2016,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,11,0,0,0,0,3,5,0,0,13,0,0,4,6,7,18,5,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,10,7,18,5,0,41,0,0,0,0,0,0,0,0,0,3,0,0,0,3,11,6,0,26,3,11,12,11,12,34,13,3,92,0,3,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,3,3,9,4,0,0,25,0,4,0,3,4,8,3,0,20,0,4,0,3,8,3,0,0,22,0,0,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,11,4,4,0,3,7,4,3,0,33,0,0,0,0,0,0,0,0,0,0,3,0,3,10,14,8,0,47,8,17,6,17,29,33,12,0,122,0,3
SOSR199,6,92,43,19,14,11,4,0,193,0,13,3,12,15,7,0,0,51,91,214,89,69,55,43,5,3,574,30,70,45,39,44,53,5,0,294,108,229,179,178,200,149,16,0,1063,30,15,14,6,3,0,0,0,64,19,16,13,12,25,10,0,0,104,152,261,204,200,232,158,20,3,1231,4,11,6,7,5,4,0,0,50,253,510,509,478,331,170,51,9,2315,542,1168,909,814,700,456,87,23,4703,9,75,39,23,21,5,6,0,177,0,19,17,12,14,7,0,0,67,108,284,103,74,57,38,6,0,673,45,75,54,64,83,47,4,3,374,48,79,55,76,69,28,5,0,351,18,9,5,7,17,7,0,0,60,16,13,11,11,24,16,0,0,92,80,99,71,98,101,48,5,0,504,0,11,7,7,5,5,0,0,37,191,288,194,188,172,109,42,17,1196,440,848,485,472,448,262,64,21,3038,14,165
SOSR201,2089,34110,32202,20695,14042,8158,2569,608,114480,510,6125,7949,7276,6335,3100,750,165,32213,25688,93384,71025,47356,33125,18249,6771,2214,297807,12054,35626,30620,25714,19266,13105,5434,1862,143672,26200,59427,52563,55927,42867,28097,15981,5073,286141,2628,2326,1860,1460,915,533,199,38,9968,1831,3593,3893,4067,3717,2605,1265,447,21417,30661,65350,58314,61457,47502,31232,17441,5564,317520,1157,2851,2559,2069,1768,1443,883,335,13058,20402,27163,21269,18895,16153,14437,11230,5914,135460,92558,264606,223939,183462,138189,89726,45081,16668,1054215,3052,43210,32149,18283,11043,4917,1116,289,114061,1439,13292,14651,13035,9862,4224,1079,222,57799,35113,118723,88232,54357,33976,17135,6446,2117,356097,15671,41578,40180,36235,25212,14338,6117,2231,181553,18032,33154,28294,28046,17776,7787,2669,1123,136877,2993,3090,3361,3224,2404,1313,329,115,16827,2435,4667,6052,7265,5936,4191,1797,961,33299,23456,40918,37707,38534,26110,13294,4784,2197,187003,1150,2772,2439,2358,2322,2187,1203,601,15026,19462,25682,19561,18945,18561,19172,16644,12210,150237,99339,286168,234917,181747,127088,75266,37386,19861,1061779,5144,77319
SOSR203,51,585,552,461,352,208,57,12,2269,18,204,218,210,213,97,20,10,979,706,2101,1731,1110,973,527,189,65,7403,347,972,904,929,796,600,236,80,4866,1526,3082,2395,2522,2226,1554,854,297,14455,152,119,73,72,57,33,7,4,516,72,134,139,129,162,132,49,26,836,1749,3338,2603,2719,2445,1714,913,329,15808,29,71,69,42,55,46,37,17,371,864,763,699,799,750,757,640,372,5648,3757,8034,6777,6268,5586,3953,2093,875,37337,56,673,634,382,272,128,27,11,2182,51,461,477,433,366,155,46,11,1994,918,3139,2436,1546,1203,657,246,66,10215,518,1375,1439,1347,1170,645,286,150,6936,1275,1903,1474,1540,1050,439,130,53,7871,214,180,157,153,111,51,18,3,887,132,185,213,269,229,152,70,34,1281,1623,2270,1845,1959,1394,643,221,95,10038,32,78,42,59,67,77,50,22,433,829,732,639,788,898,987,1039,805,6725,4030,8716,7518,6515,5369,3291,1918,1154,38521,105,1255
SOSR211,35,545,637,574,465,332,99,13,2700,13,214,363,372,393,233,52,7,1653,640,2587,2316,1434,1236,805,248,70,9337,399,1504,1510,1412,1392,910,341,79,7554,2969,6225,4685,4481,4007,2759,1321,355,26806,338,234,164,124,90,50,11,5,1014,146,272,271,267,243,214,81,23,1512,3454,6730,5122,4875,4334,3020,1411,386,29335,48,102,97,97,89,109,64,17,627,1633,1505,1338,1352,1426,1401,1010,495,10152,6225,13193,11373,10131,9331,6809,3229,1074,61358,122,792,748,575,467,191,37,7,2945,75,681,809,729,631,266,69,6,3280,1119,4511,3582,2139,1773,991,372,116,14603,864,2293,2254,2175,1743,1084,420,153,10993,2376,4051,3046,2675,1928,722,180,80,15056,447,464,361,306,275,112,15,6,1988,238,433,453,437,465,272,114,48,2459,3063,4953,3858,3425,2671,1106,307,135,19505,46,100,90,103,130,132,76,42,719,1594,1470,1297,1426,1637,1821,1619,993,11852,6881,14799,12639,10569,9049,5593,2902,1458,63899,160,1338
SOSR212,22,236,311,281,242,114,29,3,1235,13,126,179,201,186,84,23,9,824,307,1360,1166,874,801,420,138,43,5103,234,811,859,904,782,525,213,56,4383,1708,3693,3046,3086,2563,1692,784,233,16790,193,127,106,58,65,25,6,7,577,82,132,157,174,160,124,56,12,903,1977,3949,3308,3318,2791,1834,845,252,18270,31,58,58,59,62,49,30,17,363,1010,994,878,1009,1037,1006,740,362,7040,3603,7529,6763,6639,5904,4029,2019,733,37220,61,372,356,253,199,69,18,3,1337,53,386,445,425,322,141,29,8,1809,643,2471,1991,1313,1063,508,220,61,8264,539,1448,1449,1420,1130,583,263,86,6930,1290,2180,1774,1707,1206,455,111,34,8762,249,268,183,180,149,77,12,5,1143,150,243,251,268,248,155,48,27,1385,1692,2691,2209,2155,1608,685,177,67,11286,30,82,73,61,65,83,34,23,451,989,971,859,992,1139,1290,1188,768,8196,4003,8417,7399,6627,5535,3357,1932,1009,38280,82,603
SOSR213,13,281,448,419,353,258,92,15,1882,15,162,251,271,350,234,48,3,1340,339,1684,1843,1307,1295,819,289,91,7671,283,1027,1304,1301,1410,1050,433,122,6923,2436,5402,4649,4862,4349,3129,1544,443,26822,209,185,140,95,80,64,22,4,798,112,219,209,206,247,242,109,44,1397,2760,5806,5006,5160,4673,3438,1675,495,29011,27,82,101,74,94,94,76,32,579,1320,1139,1225,1349,1433,1585,1239,621,9922,4752,10190,10176,9875,9618,7476,3850,1382,57325,55,540,630,406,326,185,32,7,2183,43,519,656,591,602,261,63,14,2759,678,3404,3147,2068,1809,1093,401,121,12720,647,1960,2139,2193,2006,1248,539,206,10928,1828,3271,2720,2666,1855,841,241,76,13489,334,325,299,266,248,136,31,12,1645,212,327,431,441,467,331,122,45,2364,2368,3918,3457,3367,2563,1303,386,132,17500,37,77,77,107,108,131,98,51,682,1260,1106,1113,1377,1709,2063,1901,1253,11794,5087,11521,11220,10117,9117,6285,3428,1788,58559,67,819
SOSR214,8,122,205,194,187,168,62,8,952,6,75,127,154,172,129,30,3,698,145,617,760,604,697,536,193,57,3595,108,398,565,667,670,686,280,72,3448,1115,2451,2310,2673,2544,2110,1070,347,14620,120,110,86,68,54,29,9,4,482,70,84,143,132,155,170,65,27,848,1303,2635,2540,2874,2760,2313,1148,379,15950,17,41,38,42,52,52,48,19,317,857,847,806,975,1007,1130,923,448,6985,2445,4739,5030,5506,5542,5014,2679,991,31942,16,191,269,227,250,136,32,4,1125,22,201,295,356,295,172,44,3,1389,312,1338,1482,1045,954,713,288,94,6228,288,908,1075,1123,1063,807,337,123,5732,825,1460,1340,1399,1099,558,158,58,6893,172,196,183,182,149,96,23,9,1001,85,187,227,225,276,212,75,42,1324,1083,1841,1742,1802,1526,871,251,111,9217,22,51,40,55,78,103,65,27,436,696,588,700,829,1088,1556,1367,870,7695,2442,5114,5599,5441,5261,4361,2384,1233,31824,23,315
SOSR215,18,164,311,292,351,294,90,25,1548,14,105,213,236,295,187,46,6,1100,231,994,1350,1049,1154,928,310,92,6109,185,754,976,970,1132,1014,429,114,5581,1848,4341,4151,4471,4102,3076,1448,424,23851,176,138,110,83,88,62,16,4,679,77,161,189,207,287,258,111,38,1330,2093,4645,4449,4753,4477,3392,1572,466,25856,19,47,44,72,82,118,86,25,501,1249,940,1001,1347,1597,1696,1339,637,9798,3809,7655,8336,8724,9082,7632,3877,1369,50489,32,333,454,394,382,225,40,8,1869,48,387,568,544,528,322,62,16,2467,503,2271,2484,1711,1712,1186,474,152,10493,494,1635,1707,1883,1799,1306,531,184,9544,1270,2452,2141,2147,1688,794,214,91,10787,232,298,280,254,223,151,36,13,1485,153,281,350,394,392,337,122,50,2087,1649,3032,2770,2799,2304,1280,375,149,14359,23,76,57,99,109,144,69,59,634,1167,891,1042,1319,1780,2093,1820,1196,11311,3909,8624,9092,8745,8617,6561,3365,1761,50670,48,498
SOSR221,3,29,62,80,101,124,32,3,427,8,30,60,66,92,72,9,3,338,39,208,293,270,314,283,72,20,1501,53,166,254,290,387,320,111,30,1608,456,1141,1152,1475,1453,1023,494,90,7284,46,32,27,33,37,26,3,0,202,20,43,40,63,79,96,29,7,373,523,1215,1223,1568,1569,1146,525,94,7860,9,7,21,27,25,43,17,4,152,321,245,305,400,557,612,328,166,2940,950,1907,2219,2692,3049,2597,1090,327,14832,6,62,118,106,128,69,21,0,511,13,113,139,147,159,83,19,0,676,110,531,625,509,528,354,109,29,2799,118,347,479,544,593,406,153,42,2686,325,643,610,707,530,236,58,26,3128,73,87,78,96,86,34,3,4,460,34,71,104,130,126,118,29,7,626,431,796,796,928,742,383,99,38,4213,7,15,15,21,37,45,21,15,176,302,229,317,410,596,657,445,279,3235,992,2089,2488,2662,2782,2006,861,411,14298,8,94
SOSR222,3,29,33,39,77,52,20,4,255,0,18,31,45,66,39,6,0,201,29,149,205,165,221,145,38,12,964,32,93,162,182,205,175,54,9,915,284,715,737,926,944,607,209,58,4490,32,20,19,22,14,14,4,0,125,12,33,27,47,58,47,13,0,233,333,765,783,995,1021,678,228,58,4849,9,10,8,19,21,10,6,0,82,238,178,208,315,346,341,184,88,1910,638,1240,1428,1764,1957,1440,529,175,9175,10,43,67,71,95,33,5,0,320,14,57,98,96,103,39,14,3,415,71,346,396,343,335,205,53,12,1769,64,237,310,335,340,207,69,29,1596,186,376,385,452,333,150,20,12,1910,31,43,54,51,65,19,3,0,271,23,44,52,78,94,61,7,3,369,242,466,490,584,484,228,35,10,2548,0,10,18,10,27,19,13,9,113,239,181,221,315,341,368,238,132,2032,645,1331,1604,1744,1740,1105,430,195,8784,9,67
SOSR231,29,253,502,704,879,708,223,32,3332,12,150,320,505,697,395,74,12,2168,484,1695,2475,2587,3041,2064,509,98,12940,461,1285,1990,2665,2947,2263,565,110,12284,3846,6692,8413,11585,10116,5951,1997,384,48998,307,204,193,193,223,116,22,5,1261,135,246,360,498,562,467,134,22,2421,4282,7144,8974,12279,10897,6533,2152,416,52678,51,68,122,176,217,211,85,14,948,3000,2745,3151,3865,3977,3583,1727,485,22535,8322,13344,17535,22774,22664,15765,5333,1158,106892,74,564,909,1029,1034,500,79,7,4189,68,633,1028,1253,1384,578,85,5,5034,954,3756,5240,4601,4423,2249,520,115,21858,900,2395,3434,4520,4094,2399,599,144,18487,2071,3433,3652,4446,3224,1220,205,80,18325,426,424,505,573,483,187,25,14,2635,284,398,643,849,865,549,116,32,3737,2778,4255,4800,5862,4568,1954,353,128,24699,44,80,135,193,257,276,74,31,1083,2507,1538,2127,3178,3759,3364,1646,569,18695,7326,13213,17672,20637,19520,11318,3356,1002,94049,101,820
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,5,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,5,63,27,14,17,4,0,0,133,0,10,14,5,4,0,0,0,30,33,162,60,39,31,18,3,0,344,24,61,36,30,30,13,9,0,190,52,141,110,90,81,45,11,0,540,10,6,5,3,0,0,0,0,25,7,11,12,7,3,6,0,0,45,71,157,128,105,85,56,13,0,602,0,3,6,3,0,3,0,0,20,167,320,352,254,151,75,19,3,1335,297,769,620,444,313,166,39,3,2654,9,51,30,9,3,9,0,0,106,0,26,4,12,11,3,0,0,60,91,204,63,40,39,21,3,0,449,42,61,40,33,23,15,0,0,219,55,70,44,36,30,7,0,0,242,12,8,6,3,3,0,0,0,36,3,16,10,6,12,3,0,0,52,70,100,59,44,41,12,3,0,327,3,5,5,0,0,3,0,0,16,142,200,148,89,85,45,16,10,742,348,640,356,230,211,95,23,16,1920,11,115
SOSR301,485,10266,12242,9530,6564,3624,1153,274,44132,297,2539,3283,3300,2469,1079,292,56,13313,10106,34711,29099,20678,13744,7987,2710,698,119732,5687,13016,14075,13724,10302,6058,2132,582,65575,18618,37760,32953,31275,25483,17240,8233,2366,173937,3102,1585,1085,709,452,286,98,20,7331,1324,1998,2188,1896,1822,1440,662,210,11548,23042,41345,36228,33886,27755,18973,8993,2594,192817,568,1162,1102,943,779,727,450,147,5868,10841,13062,10912,9990,8218,6904,4987,2767,67679,51029,116095,106934,92048,69836,45348,20714,7117,509123,761,13310,12231,8294,5070,2088,414,100,42268,698,5143,6044,5362,3769,1639,444,81,23176,14897,48608,39653,25126,15433,7847,2589,816,154953,8610,18783,19233,18051,12372,6534,2531,799,86910,15875,22152,18245,16727,11202,4189,994,383,89772,3496,2299,1777,1592,1234,671,135,61,11272,1745,2644,3332,3561,3290,2035,696,319,17630,21115,27093,23358,21886,15730,6897,1826,759,118677,532,1053,971,1141,1144,977,511,234,6564,9831,11607,9157,9006,8414,8122,7266,6211,69612,56455,125589,110644,88862,61925,34106,15574,8998,502158,1251,23574
SOSR302,132,1548,1726,1435,1050,706,244,36,6876,75,396,467,503,464,251,80,11,2253,1854,5935,5284,3828,3011,2186,801,229,23140,1488,3207,3804,3664,2800,1974,747,209,17903,4773,10267,10652,10352,8263,6584,3183,842,54914,605,326,251,172,142,92,44,10,1644,316,553,660,651,560,591,294,80,3703,5688,11153,11567,11172,8969,7264,3520,928,60258,120,255,290,263,269,274,167,65,1709,3172,3595,3228,3212,2911,2789,1974,1070,21951,12529,26085,26372,24074,19478,15451,7528,2550,134077,186,2164,2049,1398,1009,440,80,25,7360,159,921,1039,919,770,345,82,18,4253,3007,9489,8312,5279,3624,2008,690,181,32586,2583,5681,6190,5812,4159,2293,773,229,27719,4205,5806,5578,5301,3623,1772,455,172,26913,750,497,531,447,433,239,56,12,2970,533,785,1156,1181,1132,902,356,112,6155,5483,7087,7269,6928,5189,2908,864,302,36027,136,248,325,368,428,434,233,94,2253,3125,3531,3066,3271,3293,3303,2678,2145,24413,14672,29129,28246,23979,18473,11737,5404,2992,134625,321,3714
SOSR303,51,1154,1736,1689,1463,1020,410,57,7582,44,435,631,803,689,426,116,16,3154,1495,5911,5794,4806,3793,2723,1003,263,25791,817,2863,4071,4500,3670,2459,989,285,19655,6450,13753,12690,12745,11146,7655,3616,1013,69059,1119,533,347,256,180,119,65,8,2622,360,576,613,677,746,628,308,88,4000,7932,14854,13646,13679,12072,8398,3996,1112,75680,106,252,277,270,277,275,191,73,1715,4322,4388,3947,4103,3600,3247,2289,1139,27047,14766,29869,30104,29838,25565,18546,8996,2940,160623,101,1712,2132,1938,1416,625,127,18,8069,167,1140,1441,1551,1207,568,159,21,6243,2786,10779,9999,7418,5192,2872,1018,301,40363,1781,5234,6282,6398,4812,2812,1137,321,28778,5701,7859,6952,6710,4651,1856,444,161,34337,1313,812,662,568,500,267,59,19,4205,613,874,1043,1275,1179,896,341,117,6330,7629,9546,8661,8553,6335,3018,847,290,44879,131,250,289,363,363,391,255,81,2124,3709,3602,3461,3785,3759,3831,3286,2458,27898,16303,32264,32271,30008,23075,14114,6829,3492,158359,152,2872
SOSR311,13,266,351,335,285,158,33,5,1458,14,99,171,200,208,117,23,6,839,297,1523,1350,1114,938,535,195,46,5990,146,678,987,1145,1124,697,256,70,5084,2464,5450,4688,4916,4558,3312,1726,402,27525,454,221,170,96,61,49,12,4,1064,148,222,205,228,230,188,134,29,1384,3071,5895,5061,5240,4853,3547,1871,434,29974,40,74,82,106,93,110,67,23,591,1285,1519,1483,1745,1648,1458,1200,561,10905,4859,10053,9485,9882,9135,6623,3658,1142,54833,26,313,387,342,248,107,27,4,1460,55,313,383,423,307,118,39,0,1645,733,2966,2651,1938,1399,685,286,88,10745,407,1419,1618,1755,1436,758,320,80,7798,1990,3063,2533,2431,1778,696,175,43,12714,580,395,280,240,158,88,31,3,1769,192,313,367,413,368,274,101,34,2070,2754,3775,3184,3080,2310,1063,303,75,16547,46,80,73,91,118,110,61,36,613,1220,1132,1117,1337,1421,1664,1639,1025,10557,5254,9992,9409,8968,7243,4503,2685,1314,49377,44,579
SOSR312,4,59,87,68,60,22,5,4,308,3,21,47,50,52,14,4,0,190,65,333,342,248,195,106,29,8,1331,30,148,251,314,239,158,47,14,1199,692,1473,1337,1240,1080,678,335,79,6914,121,81,32,36,18,9,3,0,294,40,49,64,53,56,46,21,3,320,856,1602,1430,1324,1156,733,355,85,7533,12,32,36,27,30,23,8,0,165,326,347,389,390,348,272,222,80,2362,1287,2533,2578,2418,2079,1328,678,188,13090,0,88,110,54,37,12,0,0,314,8,59,68,84,58,32,4,0,310,153,681,530,352,232,129,58,5,2137,84,310,328,375,313,143,51,13,1617,534,840,642,581,361,123,29,0,3101,160,139,70,69,35,14,0,0,491,39,61,86,90,78,54,17,0,425,725,1040,801,739,476,188,46,0,4021,11,19,16,20,25,21,15,4,133,311,324,301,299,331,341,271,126,2310,1291,2525,2154,1921,1473,861,453,162,10847,5,151
SOSR313,6,132,202,200,195,134,49,13,928,8,84,108,125,142,68,24,5,554,178,894,848,691,598,449,158,39,3850,127,425,669,781,690,533,228,56,3506,1611,3656,3307,3164,2866,2152,1003,235,17993,325,167,99,68,49,32,8,0,757,77,149,142,144,142,151,85,24,906,2023,3971,3545,3376,3059,2334,1094,255,19662,28,43,64,57,42,51,51,18,352,1013,1019,997,1041,984,989,747,375,7164,3376,6570,6432,6271,5703,4559,2355,755,36023,16,235,267,242,210,90,24,0,1093,39,217,288,275,222,100,32,3,1178,489,1893,1647,1269,942,586,240,67,7118,295,919,1177,1242,1038,672,272,74,5685,1322,2117,1748,1641,1210,487,113,24,8663,370,286,194,151,153,79,24,7,1264,129,220,256,287,263,186,83,24,1461,1821,2622,2202,2083,1621,749,217,58,11388,21,40,50,60,66,86,51,12,398,895,868,805,945,986,1061,992,797,7357,3579,6804,6440,6108,5091,3348,1835,1007,34209,27,369
SOSR314,3,134,225,219,184,136,46,4,966,15,76,105,127,109,59,23,3,524,171,989,901,718,592,382,127,37,3916,152,584,787,878,669,428,163,45,3702,1541,3599,3446,3237,2703,1805,808,152,17292,257,120,104,80,49,29,9,4,651,87,132,156,156,169,122,55,15,893,1884,3857,3702,3478,2916,1961,873,170,18832,37,65,66,54,47,64,44,15,386,1143,1265,1094,1113,1044,1011,673,246,7593,3406,6964,6875,6593,5568,4042,1953,517,35911,31,248,252,216,157,79,15,6,1004,33,214,265,216,183,82,26,0,1028,487,2092,1861,1148,850,507,180,52,7181,330,1053,1231,1245,906,514,203,68,5548,1178,2032,1762,1552,1022,385,94,29,8045,348,224,206,158,118,55,9,7,1128,143,237,292,297,238,164,51,17,1437,1663,2501,2264,2000,1387,600,157,48,10615,33,69,48,63,53,67,38,11,396,1033,1129,998,1008,1090,1043,832,429,7562,3613,7308,6926,5901,4624,2888,1452,608,33319,33,381
SOSR315,3,137,233,242,252,216,69,11,1169,6,92,121,150,173,120,28,0,698,220,1021,1189,875,814,587,201,36,4945,197,664,1076,1246,1122,830,272,55,5467,2259,5305,5237,5127,4852,3434,1409,263,27889,387,237,174,132,93,66,22,0,1103,153,207,295,290,291,225,115,20,1603,2798,5752,5708,5550,5241,3720,1537,291,30592,34,68,69,78,104,104,48,7,519,2021,2340,2123,2017,2017,1791,1186,460,13950,5280,10077,10523,10157,9718,7370,3353,863,57339,9,255,384,357,282,182,30,9,1501,41,287,366,330,297,167,39,3,1523,624,2462,2201,1573,1346,861,270,65,9400,496,1620,1801,1967,1659,958,325,76,8900,1794,3008,2676,2538,1882,709,118,43,12771,514,408,320,285,194,112,20,3,1862,239,335,484,441,432,293,89,22,2330,2549,3746,3477,3265,2506,1120,228,72,16964,39,76,72,89,111,143,54,18,595,1691,1598,1389,1608,1761,1863,1333,781,12021,5450,10045,9677,9187,7959,5294,2274,1019,50902,13,393
