SOSR_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,5223,5826,4117,959,1561,373,18058,1215,1128,1121,201,478,32,4176,2299,2214,2101,478,1055,107,8250,1899,2165,1922,492,964,85,7537,2858,3575,3127,860,1554,150,12124,4038,5727,4230,1342,2128,233,17696,5507,9515,5484,1834,2591,272,25199,6936,12887,5910,2400,2825,352,31310,7606,16284,5625,2317,2493,369,34703,8751,18835,5794,2283,2338,413,38420,7153,15761,3921,1498,1390,314,30047,12796,28201,8724,2300,2346,556,54919,5517,11687,2588,825,720,165,21501,5155,10781,2510,663,584,162,19850,8005,16564,4332,1090,1005,257,31254,11085,25089,6994,1433,1312,357,46263,4192,10276,2873,578,552,143,18621,3337,9727,2675,611,515,126,16994,4511,8443,4540,1088,1636,366,20581,108070,214681,78587,23264,28044,4845,457493
SOSR203,165,153,104,33,41,6,503,79,29,37,6,29,0,186,136,107,84,32,63,4,426,108,94,75,31,43,5,358,177,218,172,54,102,9,738,273,307,197,90,129,13,1000,338,478,233,124,123,19,1311,437,722,229,135,122,21,1667,421,765,199,113,109,20,1627,442,880,224,93,76,12,1724,293,583,132,41,58,7,1108,400,863,239,58,59,16,1634,165,321,48,13,14,3,568,106,238,61,6,10,3,421,188,407,107,21,23,0,749,189,436,116,15,24,8,783,75,138,30,12,5,0,261,42,89,20,9,3,0,164,168,264,122,32,61,9,665,4208,7101,2443,930,1076,139,15892
SOSR211,254,196,135,39,64,13,698,147,71,70,21,38,11,354,278,157,140,50,98,10,737,231,166,136,54,102,6,697,403,372,264,125,190,13,1364,633,729,360,221,264,25,2227,781,1244,457,295,279,32,3090,1061,1814,473,332,319,37,4039,945,1717,408,239,195,31,3539,959,1807,442,210,149,18,3583,490,1147,234,93,67,15,2052,619,1254,363,112,70,13,2434,195,418,90,34,16,10,763,98,222,65,10,11,3,407,226,538,135,37,22,10,971,246,446,141,32,29,6,897,89,141,45,12,4,0,295,45,114,35,7,10,8,211,302,400,210,89,97,24,1114,7994,12958,4197,2013,2038,276,29471
SOSR212,189,147,81,24,40,4,480,72,54,27,9,26,0,193,158,93,84,24,47,7,409,130,109,65,39,54,6,399,285,254,176,108,107,9,934,373,516,266,158,153,15,1486,534,773,309,195,167,15,1992,611,977,358,196,143,19,2306,556,908,239,132,111,23,1966,520,1015,273,142,93,25,2059,258,623,167,52,44,8,1153,397,814,253,59,51,9,1586,118,280,64,19,18,4,502,61,171,55,7,7,3,295,168,356,117,19,16,3,681,144,315,117,21,14,4,616,49,101,40,3,4,0,200,36,59,28,4,3,0,132,202,294,118,43,47,14,715,4849,7856,2846,1244,1152,163,18111
SOSR213,307,172,146,38,54,9,720,121,67,53,16,41,0,300,285,147,147,54,78,6,720,240,184,139,58,80,3,713,451,431,285,141,175,16,1491,630,790,370,217,210,26,2251,754,1104,415,241,222,24,2759,847,1472,502,229,207,16,3280,701,1408,341,189,154,26,2814,716,1405,382,163,129,11,2806,378,958,210,81,43,14,1685,560,1309,351,72,60,19,2374,199,490,91,30,15,4,834,111,271,65,17,18,0,480,292,586,169,33,27,3,1100,257,596,160,33,28,6,1073,96,153,43,4,11,0,304,53,118,18,8,12,0,209,314,374,223,59,92,18,1083,7313,12043,4110,1678,1650,203,26991
SOSR214,164,66,62,22,34,6,351,82,32,26,6,24,0,176,153,90,72,33,52,0,402,124,86,74,36,37,0,363,317,255,125,75,100,3,872,400,421,203,123,117,6,1276,405,587,253,126,129,13,1506,406,733,225,153,103,12,1635,346,654,192,100,75,9,1374,336,685,187,77,47,12,1345,190,469,119,31,21,7,835,275,569,161,36,38,4,1084,90,247,41,16,7,0,394,58,134,23,3,3,0,224,162,270,79,19,21,3,551,137,249,82,8,22,3,503,48,70,35,6,4,0,167,46,39,24,3,3,0,119,191,219,111,38,49,5,609,3923,5880,2082,905,900,90,13778
SOSR215,258,133,99,31,33,13,563,144,78,51,16,44,5,338,298,163,116,68,88,4,738,311,184,121,72,98,8,795,507,485,261,161,175,8,1602,669,755,325,211,180,15,2155,650,1002,334,235,159,20,2397,719,1265,384,220,179,22,2785,580,1119,322,142,103,8,2276,572,1253,304,128,90,6,2352,395,808,171,64,59,9,1501,523,1097,263,72,52,7,2018,195,395,73,30,27,0,723,120,245,62,18,5,0,447,259,506,130,31,31,6,960,270,461,135,33,17,3,917,87,140,49,10,3,0,285,55,82,40,5,5,0,192,378,404,204,85,87,11,1174,6983,10583,3435,1622,1422,158,24208
SOSR221,93,45,28,7,14,0,188,59,21,18,5,12,0,120,127,57,47,26,34,7,299,103,79,49,24,22,3,281,193,158,68,57,58,5,539,219,220,95,60,61,6,655,222,290,123,57,58,3,754,219,346,102,33,46,7,753,149,320,81,43,25,0,623,198,355,83,32,14,0,694,129,229,44,15,7,0,425,149,264,75,14,16,3,520,43,96,20,8,0,0,173,35,56,18,9,3,0,112,77,136,40,12,3,0,263,83,114,33,5,4,0,240,24,24,11,3,3,0,64,16,23,6,0,3,0,50,123,141,52,22,27,5,359,2263,2971,988,440,409,40,7110
SOSR222,59,21,19,5,11,4,120,29,16,14,8,9,0,76,103,43,40,14,26,6,228,87,48,27,20,15,0,195,132,111,50,36,35,0,365,125,176,84,47,37,3,474,148,184,72,38,33,6,485,142,215,72,42,33,3,501,118,192,37,21,19,3,384,95,193,55,21,14,0,377,64,127,14,13,5,0,215,75,162,53,13,19,0,314,24,50,14,3,0,0,94,18,30,4,3,0,0,59,43,71,25,5,3,0,155,30,67,15,3,0,0,112,11,21,10,0,0,0,45,15,14,8,3,0,0,35,74,75,38,11,17,0,221,1386,1816,657,309,269,28,4461
SOSR231,1043,781,519,82,119,16,2560,267,122,120,23,44,3,582,599,308,300,74,93,10,1387,490,316,268,68,86,3,1235,877,693,508,142,166,11,2398,1104,1037,614,192,216,6,3165,1200,1443,730,250,206,14,3839,1290,1773,822,223,180,23,4309,1086,1706,621,172,152,16,3749,1098,1960,620,165,143,19,4001,774,1407,364,93,60,11,2701,1300,2279,750,130,127,11,4601,428,813,248,34,37,3,1564,338,592,202,38,17,3,1193,721,1333,410,58,55,7,2591,921,1700,564,85,96,7,3374,367,628,219,33,32,4,1282,331,570,218,35,31,5,1184,998,1055,696,128,157,24,3050,15226,20507,8780,2025,2020,219,48780
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,2703,2010,1476,358,534,144,7231,777,458,412,82,186,23,1938,1338,932,803,189,392,53,3706,1116,818,754,186,334,43,3256,1806,1577,1249,399,598,88,5718,2425,2482,1721,586,827,104,8142,3196,3884,2348,823,960,135,11342,4215,5816,2710,1171,1195,178,15280,4450,7136,2496,1206,1137,161,16587,5657,9405,2970,1341,1189,193,20755,4483,7973,2028,958,699,170,16301,7328,13211,4019,1252,1047,258,27120,3299,6582,1536,492,357,87,12365,2531,5088,1272,344,250,64,9558,4926,9975,2649,656,555,162,18928,5646,12123,3318,692,613,152,22548,1938,4162,1229,206,190,47,7768,1254,3043,937,174,126,36,5574,2099,3291,1620,430,496,150,8085,61201,99962,35551,11554,11686,2257,222207
SOSR302,760,352,331,102,145,19,1700,228,95,106,27,45,0,494,379,163,207,56,85,12,896,310,162,120,50,71,7,729,542,268,286,103,161,18,1372,704,514,386,157,234,21,2009,911,751,518,203,248,30,2659,1249,1215,636,312,339,27,3786,1147,1406,581,305,283,35,3760,1473,2021,744,373,318,45,4969,1154,1856,518,258,204,31,4029,2044,3339,1114,356,327,39,7221,903,1842,445,132,112,15,3459,648,1279,352,77,73,15,2444,1432,2706,816,203,158,29,5346,1527,2742,931,193,170,31,5588,536,841,327,62,57,14,1831,346,638,239,60,38,12,1339,749,828,486,138,187,28,2413,17030,23031,9141,3164,3257,437,56045
SOSR303,930,433,293,78,145,28,1911,292,100,104,23,42,0,567,513,240,206,70,133,13,1176,435,246,188,67,79,6,1030,824,538,363,162,197,19,2109,1046,852,501,226,275,34,2935,1348,1355,591,322,309,35,3954,1830,2145,795,470,417,54,5705,1742,2370,735,494,378,49,5765,2056,3091,897,496,383,49,6971,1528,2619,597,301,224,33,5302,2329,3655,1091,366,304,42,7792,928,1758,395,140,78,20,3328,608,1097,246,71,51,9,2080,1303,2473,628,191,127,24,4740,1363,2299,727,164,130,16,4709,420,660,226,44,28,3,1383,304,460,152,46,28,3,1000,741,826,371,124,154,35,2253,20556,27220,9108,3866,3487,476,64706
SOSR311,353,123,95,25,52,7,662,100,37,33,8,30,4,208,226,97,87,26,46,13,494,167,92,75,31,40,7,411,337,204,169,65,89,16,875,455,407,224,124,114,12,1330,564,622,274,143,116,10,1740,755,946,301,207,147,24,2378,679,1044,285,173,130,17,2331,706,1203,341,183,117,25,2575,488,857,221,74,51,8,1700,672,1192,321,114,60,12,2369,269,571,138,49,22,0,1050,175,321,61,25,17,0,600,392,787,210,58,50,12,1512,385,649,226,53,32,9,1349,122,171,50,11,10,0,362,70,98,40,11,10,0,227,305,274,139,63,60,15,855,7215,9695,3277,1456,1199,198,23034
SOSR312,58,36,24,15,6,0,133,25,5,10,0,0,0,42,46,13,21,8,8,0,87,52,26,24,6,13,0,124,95,52,48,18,17,0,227,110,107,61,23,32,3,337,129,184,76,41,34,0,464,166,213,56,38,30,4,520,140,229,63,34,18,4,481,160,238,53,30,15,0,504,81,197,36,12,17,5,346,167,274,54,19,21,3,545,58,150,28,13,4,0,253,58,94,15,5,7,0,179,98,213,49,16,10,0,385,107,204,43,15,9,0,381,26,60,11,3,8,0,110,12,30,4,0,0,0,53,61,56,38,11,16,5,185,1653,2385,708,304,272,35,5360
SOSR313,196,66,60,16,21,4,370,82,28,23,12,17,3,159,166,64,44,16,21,3,310,147,60,49,20,15,3,293,222,138,80,45,62,3,555,319,279,149,85,75,12,927,385,404,163,120,88,15,1171,452,583,180,119,91,12,1433,419,682,172,120,71,16,1475,493,819,222,120,67,16,1743,353,612,142,61,34,8,1206,499,856,201,69,63,11,1704,189,369,82,25,13,6,684,94,210,37,8,13,7,364,294,475,122,33,33,3,954,228,383,105,21,25,9,766,72,107,38,5,7,0,229,42,55,23,12,8,0,135,199,180,85,38,31,3,535,4854,6371,1981,946,747,125,15030
SOSR314,200,70,66,13,17,3,376,52,22,22,6,17,0,114,140,54,43,13,24,3,278,90,57,49,16,24,3,246,181,149,105,49,36,3,515,297,265,134,59,71,10,830,352,386,173,67,66,7,1053,414,556,204,99,98,13,1380,379,625,182,87,53,3,1318,422,807,178,103,60,9,1582,309,580,138,60,27,10,1126,475,883,257,73,35,8,1731,211,438,101,26,15,3,788,135,297,68,16,11,0,529,306,634,159,55,23,8,1176,312,500,142,21,20,11,1007,74,97,29,9,3,0,211,56,54,15,0,7,3,135,223,246,81,42,34,9,630,4621,6724,2135,816,636,103,15019
SOSR315,293,89,88,25,43,8,557,153,49,53,11,11,3,278,289,109,85,35,58,4,580,248,121,95,58,48,7,569,448,277,172,84,96,12,1087,585,463,219,130,106,14,1510,607,670,287,150,129,12,1849,751,915,315,159,127,25,2289,652,973,264,140,87,16,2125,709,1182,336,149,97,17,2485,504,929,221,84,58,8,1803,773,1245,339,110,82,10,2550,333,613,116,43,19,3,1122,190,356,85,30,17,3,683,423,747,187,66,34,5,1462,361,611,181,60,26,4,1244,102,157,45,11,4,0,325,55,70,28,10,3,0,173,340,291,158,71,67,13,935,7815,9864,3266,1418,1106,158,23629
