SOSR_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SOSR179,157,220,374,28,25,48,7,18,25,22,26,49,0,3,4,61,72,130,77,110,185,0,4.2,3.1,38.9,32.7,34.8,36.3,31.4,32.6,0,4,5,0,0,4,11,25,35,13,20,31,42,22,61,0,3,3,3,11,8,41,33,74,138,182,322,14,21,43,105,139,245,43,61,104
SOSR199,6958,4590,11545,1322,653,1977,531,520,1047,189,116,301,583,358,941,2623,1646,4272,2178,1876,4062,22.2,21.7,22,37.7,35.9,37,29.3,28.1,28.8,193,177,365,51,67,120,574,673,1247,294,374,663,1063,351,1416,64,60,126,104,92,195,1231,504,1738,1571,849,2420,3356,2845,6200,1027,548,1571,3734,3027,6765
SOSR201,1665995,1769632,3435626,776867,456627,1233494,223984,426019,649999,43831,52947,96783,75156,70411,145571,1119843,1006001,2125846,447271,660386,1107654,6.7,7,6.8,67.2,56.8,61.9,62.7,52.9,57.6,114480,114061,228537,32213,57799,90018,297807,356097,653905,143672,181553,325230,286141,136877,423020,9968,16827,26793,21417,33299,54715,317520,187003,504523,1561466,1632986,3194450,311766,324761,636531,1017526,1073172,2090698,778360,810395,1588758
SOSR203,61294,67932,129222,26055,14051,40106,8063,17958,26022,1753,2247,4002,2841,2376,5211,38704,36638,75345,18763,27051,45814,7.3,6.5,6.9,63.1,53.9,58.3,58.5,50.4,54.3,2269,2182,4452,979,1994,2971,7403,10215,17620,4866,6936,11798,14455,7871,22327,516,887,1404,836,1281,2117,15808,10038,25843,57098,61373,118467,11555,12568,24118,37738,40883,78621,27937,30371,58304
SOSR211,104666,115597,220263,45683,24406,70089,12840,29505,42339,3023,3908,6929,5007,4502,9509,66550,62318,128867,31084,45656,76734,7.5,7.2,7.4,63.6,53.9,58.5,58.8,50,54.2,2700,2945,5641,1653,3280,4931,9337,14603,23947,7554,10993,18545,26806,15056,41862,1014,1988,2998,1512,2459,3974,29335,19505,48839,99710,106450,206163,20176,22331,42511,63098,67037,130129,50529,55811,106341
SOSR212,65381,71969,137351,28819,15802,44625,7516,18257,25777,1908,2308,4211,3040,2540,5573,41278,38904,80186,19062,27586,46647,7.4,6.5,7,63.1,54.1,58.4,58.5,50.5,54.3,1235,1337,2569,824,1809,2632,5103,8264,13368,4383,6930,11311,16790,8762,25555,577,1143,1719,903,1385,2284,18270,11286,29556,62310,66640,128946,11140,12103,23245,42064,44818,86886,28054,30794,58846
SOSR213,96130,106887,203020,40796,20601,61396,11198,27799,38993,2964,3524,6486,3888,3265,7156,58840,55188,114026,30540,44281,74827,6.6,5.9,6.3,61.2,51.6,56.2,57.2,48.6,52.6,1882,2183,4072,1340,2759,4093,7671,12720,20386,6923,10928,17850,26822,13489,40307,798,1645,2442,1397,2364,3760,29011,17500,46508,92628,99400,192027,16287,18347,34628,60945,65212,126156,42748,47708,90457
SOSR214,54907,59991,114902,20128,10203,30329,6139,14080,20218,1710,1916,3627,1909,1630,3544,29888,27829,57723,20824,27368,48200,6.4,5.9,6.1,54.4,46.4,50.2,51,43.7,47.1,952,1125,2073,698,1389,2089,3595,6228,9822,3448,5732,9180,14620,6893,21513,482,1001,1484,848,1324,2169,15950,9217,25173,51192,54962,106147,8769,9554,18322,35154,37385,72534,21871,24510,46386
SOSR215,85067,92460,177528,33879,16637,50515,9756,22731,32489,2884,3231,6116,2837,2347,5192,49365,44943,94308,29340,40706,70044,5.7,5.2,5.5,58,48.6,53.1,54.7,46.1,50.2,1548,1869,3416,1100,2467,3568,6109,10493,16598,5581,9544,15125,23851,10787,34631,679,1485,2163,1330,2087,3415,25856,14359,40215,82476,86795,169266,12771,14263,27040,56414,58850,115269,34145,37713,71864
SOSR221,24722,25366,50085,9173,4293,13464,2770,6351,9123,840,890,1727,865,701,1566,13643,12236,25887,9093,11106,20199,6.3,5.7,6,55.2,48.2,51.7,51.7,45.5,48.5,427,511,941,338,676,1016,1501,2799,4301,1608,2686,4296,7284,3128,10415,202,460,662,373,626,994,7860,4213,12070,23878,24055,47934,3370,3430,6806,16885,16916,33797,9156,9536,18697
SOSR222,15723,15679,31400,6128,3001,9126,1820,3914,5734,569,570,1142,546,423,974,9063,7910,16973,5352,6477,11830,6,5.3,5.7,57.6,50.4,54.1,54.2,47.7,51,255,320,571,201,415,622,964,1769,2732,915,1596,2511,4490,1910,6399,125,271,398,233,369,601,4849,2548,7398,15199,14979,30178,1967,2033,4004,11027,10814,21837,5341,5502,10840
SOSR231,175653,163808,339459,79411,36785,116196,21672,47859,69533,6670,6808,13480,4618,3949,8566,112378,95403,207778,49817,56075,105890,4.1,4.1,4.1,64,58.2,61.2,61.3,55.8,58.7,3332,4189,7528,2168,5034,7201,12940,21858,34798,12284,18487,30773,48998,18325,67324,1261,2635,3894,2421,3737,6154,52678,24699,77376,170988,161640,332625,19687,19760,39452,129532,120272,249801,53635,54198,107831
SOSR279,27,4,25,16,0,16,0,0,0,3,0,3,0,0,0,23,0,23,0,4,4,0,0,0,85.2,0,92,70.4,0,76,0,0,0,0,0,0,3,0,3,0,0,3,12,0,12,0,0,0,0,0,0,12,0,12,13,0,12,12,0,11,12,0,7,16,0,13
SOSR299,3942,2883,6825,811,384,1194,317,326,641,115,81,193,367,251,613,1610,1038,2647,1119,1175,2291,22.8,24.2,23.2,40.8,36,38.8,31.5,27.4,29.7,133,106,238,30,60,91,344,449,792,190,219,404,540,242,777,25,36,60,45,52,101,602,327,932,810,544,1354,2095,1859,3954,534,315,849,2233,1988,4223
SOSR301,802321,849694,1652019,385134,241441,626569,104245,205503,309748,21172,26339,47508,41677,37246,78919,552221,510525,1062748,201645,289380,491021,7.5,7.3,7.4,68.8,60.1,64.3,63.6,55.7,59.6,44132,42268,86404,13313,23176,36492,119732,154953,274686,65575,86910,152484,173937,89772,263716,7331,11272,18607,11548,17630,29174,192817,118677,311494,737282,767187,1504470,179016,187504,366517,451730,471670,923400,425051,446475,871532
SOSR302,212260,230293,442549,94025,57785,151812,30051,59316,89365,5489,6537,12024,9863,9318,19179,139431,132951,272383,55938,79643,135580,7.1,7,7,65.7,57.7,61.5,61,53.7,57.2,6876,7360,14234,2253,4253,6509,23140,32586,55725,17903,27719,45623,54914,26913,81820,1644,2970,4609,3703,6155,9858,60258,36027,96288,184766,195215,379987,49368,53839,103203,105807,111216,217023,119583,129614,249190
SOSR303,255245,276031,531278,110300,69693,179998,32187,68436,100624,7239,8045,15278,13573,11536,25111,163303,157712,321015,71779,98595,170372,8.3,7.3,7.8,64,57.1,60.4,58.7,53,55.7,7582,8069,15654,3154,6243,9398,25791,40363,66154,19655,28778,48430,69059,34337,103402,2622,4205,6833,4000,6330,10331,75680,44879,120558,225194,239075,464271,59546,64547,124086,132769,139986,272752,140633,153377,294004
SOSR311,93700,99652,193346,37466,22227,59700,9785,21936,31721,2596,2697,5289,5980,4703,10685,55825,51567,107387,29871,41060,70929,10.7,9.1,9.9,59.6,51.7,55.5,53.2,47,50,1458,1460,2919,839,1645,2476,5990,10745,16732,5084,7798,12887,27525,12714,40232,1064,1769,2834,1384,2070,3452,29974,16547,46522,85759,89724,175481,18563,20601,39169,54394,55976,110374,45438,50004,95445
SOSR312,21954,22180,44133,9173,4643,13812,2065,4729,6795,661,562,1220,1758,1278,3039,13653,11207,24863,6590,9359,15950,12.9,11.4,12.2,62.2,50.5,56.3,54.2,44.8,49.5,308,314,625,190,310,503,1331,2137,3464,1199,1617,2812,6914,3101,10019,294,491,790,320,425,744,7533,4021,11549,19955,19801,39758,4926,5271,10197,12393,12167,24564,11234,11605,22836
SOSR313,61287,66289,127579,25763,14846,40609,6168,14644,20809,1946,1925,3876,3060,2661,5721,36938,34078,71013,19277,27273,46548,8.3,7.8,8.1,60.3,51.4,55.7,55.3,47.4,51.2,928,1093,2020,554,1178,1729,3850,7118,10971,3506,5685,9193,17993,8663,26657,757,1264,2019,906,1461,2371,19662,11388,31050,56258,59537,115793,13392,14579,27969,33608,35056,68669,32430,35329,67758
SOSR314,60910,63505,124412,27431,15218,42649,6278,14743,21023,2085,2100,4185,2933,2508,5441,38732,34569,73300,16630,23591,40221,7.6,7.3,7.4,63.6,54.4,58.9,58.8,50.5,54.5,966,1004,1964,524,1028,1543,3916,7181,11092,3702,5548,9249,17292,8045,25339,651,1128,1775,893,1437,2327,18832,10615,29444,56317,57258,113569,13316,14424,27743,34048,34139,68183,31590,33764,65356
SOSR315,98419,99429,197849,39183,21676,60862,9554,21660,31213,3090,3048,6136,4851,3984,8833,56683,50369,107053,32558,40936,73496,8.6,7.9,8.3,57.6,50.7,54.1,52.7,46.7,49.6,1169,1501,2674,698,1523,2222,4945,9400,14345,5467,8900,14362,27889,12771,40654,1103,1862,2963,1603,2330,3935,30592,16964,47553,90782,91446,182225,19556,20824,40377,57959,57315,115278,46106,48973,95084
SOSR321,39891,39421,79309,14757,8227,22983,4103,8851,12960,1316,1169,2490,2037,1652,3690,22220,19903,42119,14351,16516,30860,9.2,8.3,8.8,55.7,50.5,53.1,50.6,46.3,48.5,484,624,1107,334,633,970,1969,3924,5899,2240,3555,5794,11339,4954,16290,421,727,1143,649,936,1589,12409,6612,19022,37846,37522,75371,6454,6794,13247,25913,25315,51227,16153,16868,33024
SOSR322,18573,17874,36449,6597,3560,10160,1705,3589,5290,615,497,1115,1002,776,1778,9921,8423,18348,6859,7945,14803,10.1,9.2,9.7,53.4,47.1,50.3,48,42.8,45.4,171,234,409,100,253,354,772,1469,2239,824,1458,2282,5122,2150,7275,262,408,673,265,395,666,5649,2959,8611,17704,16941,34643,2734,2740,5478,12659,11971,24633,6680,6798,13475
SOSR331,182219,167514,349730,80828,41414,122246,18914,42289,61207,6259,5754,12014,6842,5436,12282,112853,94896,207751,52396,58660,111062,6.1,5.7,5.9,61.9,56.6,59.4,58.2,53.4,55.9,2797,3181,5970,1336,3089,4424,10491,19472,29967,10328,16387,26711,50902,20190,71096,1698,2954,4654,2956,4061,7022,55566,27200,82765,173764,161815,335576,24085,24040,48120,125643,114648,240287,64059,63429,127491
SOSR379,65,81,144,23,11,32,7,11,16,4,13,10,0,0,4,30,35,68,27,32,57,0,0,5.9,46.2,43.2,47.2,52.3,43.2,40.3,0,0,3,0,0,0,0,3,5,3,7,12,11,6,18,0,3,3,0,0,0,13,12,26,52,57,102,6,17,22,33,49,84,25,21,45
SOSR399,6509,5179,11693,1106,640,1749,428,552,978,205,149,354,612,375,986,2360,1712,4074,2632,2514,5145,25.9,21.9,24.2,36.3,33.1,34.8,26.7,25.9,26.3,143,123,266,48,71,118,448,701,1147,327,452,779,1395,508,1898,48,67,113,95,112,202,1534,683,2221,1610,1127,2737,3598,3312,6907,1044,637,1684,4011,3681,7693
SOSR401,466302,498030,964327,194763,112961,307724,63795,126298,190086,11712,15053,26765,25522,19866,45393,295793,274175,569969,147157,199769,346928,8.6,7.2,8,63.4,55.1,59.1,58,51.1,54.4,22223,21741,43965,7082,12249,19334,62722,81776,144499,36738,46773,83514,99939,51758,151690,5120,7659,12779,7414,10796,18204,112467,70215,182680,443976,466846,910825,78163,82045,160215,303918,319385,623304,198247,210705,408954
SOSR412,28909,30909,59823,12353,6331,18682,3059,7933,10991,837,942,1786,1732,1262,2996,17978,16472,34448,9211,12625,21831,9.6,7.7,8.7,62.2,53.3,57.6,56.2,49.2,52.6,393,424,813,220,422,641,1589,2797,4387,1555,2603,4153,8337,4321,12652,427,741,1173,449,730,1175,9211,5787,15000,28054,29213,57271,4806,5311,10118,19502,20063,39567,11924,13138,25061
SOSR413,41390,44145,85541,15374,8235,23608,5173,11152,16326,1146,1328,2472,2071,1502,3581,23765,22218,45988,15101,19287,34388,8.7,6.8,7.8,57.4,50.3,53.8,52.4,46.9,49.6,1032,1058,2093,525,967,1492,3388,5204,8594,2688,3812,6504,10001,5248,15248,571,879,1453,755,1061,1818,11323,7187,18508,38887,41300,80184,6631,7302,13939,26827,28085,54909,16851,18710,35555
SOSR414,9641,10485,20125,3535,1685,5223,1133,2479,3612,255,297,554,331,247,579,5258,4719,9976,3807,5132,8942,6.3,5.2,5.8,54.5,45,49.6,51.1,42.5,46.7,113,145,260,88,158,241,575,1022,1591,650,985,1637,2515,1375,3891,113,211,326,225,296,519,2851,1881,4731,9079,9743,18820,1601,1758,3352,5945,6369,12319,4321,4688,9010
SOSR415,43645,46197,89846,17323,8658,25979,4997,11574,16574,1458,1503,2962,1626,1374,3001,25407,23106,48514,15236,20066,35305,6.4,5.9,6.2,58.2,50,54,54.5,47,50.7,566,656,1216,336,783,1118,2630,4526,7156,2444,4126,6577,11400,5662,17060,515,890,1409,834,1131,1962,12745,7689,20429,42064,43484,85552,6876,7323,14200,29042,29649,58688,17483,18817,36299
SOSR421,13459,13767,27229,5380,2517,7894,1617,3700,5318,463,472,935,495,326,825,7956,7013,14966,4597,5822,10420,6.2,4.6,5.5,59.1,50.9,55,55.4,48.6,52,157,182,335,137,236,368,712,1386,2097,771,1308,2082,3651,1727,5374,146,260,405,240,328,575,4035,2311,6350,13130,13217,26340,1822,1934,3755,9410,9249,18657,4866,5179,10045
SOSR422,8818,8413,17234,3038,1449,4486,961,2001,2964,285,263,542,383,277,661,4668,3990,8652,3472,3825,7299,8.2,6.9,7.6,52.9,47.4,50.2,48.6,44.1,46.4,80,90,170,57,120,170,315,706,1026,364,690,1050,2325,1008,3329,97,163,258,171,190,360,2589,1359,3946,8601,8161,16762,1060,1011,2076,6438,5998,12431,2839,2787,5624
SOSR431,61775,55110,116882,28575,12532,41109,7536,16759,24298,2287,2188,4479,1798,1363,3160,40195,32852,73041,17192,18647,35839,4.5,4.1,4.3,65.1,59.6,62.5,62.2,57.1,59.8,977,1103,2082,530,1206,1735,3954,6861,10818,3659,5777,9433,15412,6575,21991,686,1120,1805,1145,1425,2567,17247,9119,26367,61352,55836,117183,6254,5975,12237,47486,42714,90198,17437,16657,34095
SOSR479,6,0,3,6,0,3,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,100,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,4,0,4,4,0,3
SOSR499,1627,1016,2648,266,131,404,139,107,250,60,27,82,199,106,301,669,367,1038,587,454,1040,29.7,28.9,29,41.1,36.1,39.2,28.6,26.1,27.8,38,26,59,7,17,24,99,111,219,65,82,145,305,102,402,16,11,25,22,28,47,345,137,482,366,183,552,899,699,1592,251,122,372,958,720,1680
SOSR501,743945,773447,1517390,350774,195679,546457,96837,199027,295861,23101,23777,46878,43225,35804,79030,513941,454290,968229,180141,271271,451409,8.4,7.9,8.2,69.1,58.7,63.8,63.3,54.1,58.6,36523,33037,69560,11610,20608,32213,111043,141561,252609,63043,79135,142184,169100,75605,244708,6499,11039,17541,10609,19288,29899,186211,105935,292146,689936,710659,1400593,146843,151470,298308,426457,442394,868845,375498,386260,761763
SOSR511,27292,28863,56161,12732,6073,18809,2794,7983,10776,1053,872,1931,1529,1280,2814,18112,16211,34326,7172,10722,17895,8.4,7.9,8.2,66.4,56.2,61.1,60.7,51.7,56.1,469,467,934,297,556,849,2034,3365,5395,1802,2625,4433,8119,4151,12275,329,671,999,448,845,1297,8892,5669,14564,25981,27088,53063,5049,5593,10641,16077,16565,32642,13387,14715,28107
SOSR512,45506,47056,92555,20545,11059,31606,4903,11823,16719,1720,1571,3286,2154,1604,3755,29322,26054,55372,12200,17299,29501,7.3,6.2,6.8,64.4,55.4,59.8,59.7,52,55.8,752,731,1481,412,921,1333,2880,5101,7979,2746,4286,7036,13113,5966,19078,603,1031,1640,689,1209,1897,14408,8208,22618,41599,43018,84612,9105,9579,18683,25571,26001,51576,22711,24279,46994
SOSR513,21358,19933,41292,11651,6559,18214,1802,4282,6086,1017,887,1906,786,668,1455,15261,12400,27659,3258,5090,8346,5.2,5.4,5.3,71.5,62.2,67,67.7,58.8,63.5,366,442,811,199,461,662,1598,2778,4383,1340,1964,3308,6550,2349,8898,263,505,768,352,502,858,7168,3359,10528,17229,16006,33236,6400,6375,12777,8124,7248,15375,13713,13392,27104
SOSR514,13218,13950,27168,5775,2816,8588,1491,3735,5231,524,507,1033,724,554,1273,8514,7608,16127,3467,5127,8597,8.5,7.3,7.9,64.4,54.5,59.4,58.9,50.6,54.7,188,201,390,103,239,335,991,1668,2653,850,1345,2195,3940,1799,5739,150,312,463,231,409,644,4324,2520,6844,12493,12743,25240,2802,3054,5858,6886,6857,13743,7319,7992,15312
SOSR515,33899,33880,67783,14695,7923,22614,3214,7407,10623,1616,1278,2899,1430,1123,2557,20955,17739,38693,9013,12621,21637,6.8,6.3,6.6,61.8,52.4,57.1,57.6,49,53.3,378,403,782,230,617,840,1891,3433,5325,1697,2781,4480,9589,4019,13603,445,817,1265,584,846,1433,10626,5673,16296,30556,30223,60778,7174,7351,14523,18414,17858,36274,16886,17568,34450
SOSR521,17817,17583,35400,7120,3615,10736,1603,3687,5283,812,629,1444,1024,668,1695,10556,8603,19156,5382,7258,12638,9.7,7.8,8.8,59.2,48.9,54.1,53.5,45.1,49.3,136,198,338,135,234,366,777,1509,2279,833,1349,2188,4649,1947,6597,162,352,512,279,435,710,5085,2737,7822,16783,16438,33215,2956,3068,6025,11196,10832,22030,7412,7600,15017
SOSR522,8480,8205,16688,3007,1622,4629,787,1500,2282,316,266,584,491,350,834,4597,3740,8330,2712,3491,6206,10.7,9.4,10,54.2,45.6,49.9,48.5,41.3,44.9,68,81,146,49,116,163,357,708,1065,362,546,910,1924,806,2726,114,199,313,151,189,339,2189,1187,3376,7812,7667,15484,1407,1502,2906,5364,5245,10615,3311,3352,6658
SOSR531,78428,58873,137303,37355,14837,52190,7483,15787,23271,3434,2264,5695,2390,1707,4095,50654,34596,85253,18457,18891,37357,4.7,4.9,4.8,64.6,58.8,62.1,61.5,55.9,59.1,1067,1031,2095,482,1282,1762,5204,7581,12781,4557,5987,10551,20856,6622,27478,723,1145,1866,1207,1660,2870,22790,9420,32210,66186,55753,121940,11765,8888,20652,45759,39447,85209,29136,22560,51693
SOSR579,408,26,434,286,17,301,20,3,23,15,0,18,0,0,0,322,17,341,11,6,20,0,0,0,78.9,65.4,78.6,78.7,76.9,78.8,9,0,9,0,0,0,31,3,31,52,4,55,130,4,134,3,0,5,13,0,13,139,4,145,259,11,272,73,12,84,143,9,147,187,18,206
