SOSR_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SOSR301,192084,382546,4036,23550,23201,108653,6560,30445,136726,529737,170529,692378,11560,48464,20878,71013,39413,125264,71854,244741,242381,937126,1259,6069,6171,22363,3191,11579,35477,95992,46102,136008,3569,11529,8971,20194,29292,63604,41840,95332,87943,231333,10521,22177,532930,1573180
SOSR302,55712,110742,884,4942,5393,24581,1830,8224,33065,126641,41170,164391,2723,11268,4964,16478,10147,31838,17833,59581,59002,223966,298,1373,1671,5792,826,2826,9842,25854,12644,35842,927,2897,2577,5659,8406,18001,11906,26557,24549,62399,2068,4300,141330,401405
SOSR303,70331,138255,1086,6088,6792,31224,2047,9304,39060,150826,48992,197444,2552,10389,5316,16986,10440,32127,18310,59510,67297,256951,386,1835,2277,8053,1204,4343,13399,36316,17261,50549,1012,3184,3017,6498,9110,19308,13141,28990,30400,79544,2549,5301,170583,480049
SOSR311,26294,51666,442,2510,2239,10265,853,3813,13275,51435,16809,68026,915,3680,1660,5191,4179,12906,6755,21780,23569,89804,158,761,841,3058,528,1928,5394,14951,6923,20706,364,1144,832,1805,3642,7710,4835,10660,11757,31363,964,1998,62582,174830
SOSR312,5794,11410,113,602,523,2455,200,928,3441,13334,4282,17322,200,832,351,1055,860,2655,1415,4539,5695,21857,27,128,191,680,104,369,1289,3547,1611,4720,69,217,200,413,823,1760,1093,2392,2701,7108,229,466,14419,40847
SOSR313,17873,35204,292,1656,1540,7181,579,2610,9358,36994,11772,48443,556,2257,943,2923,2598,8011,4105,13186,15869,61631,91,425,546,2012,348,1306,3707,10344,4693,14092,186,576,557,1197,2211,4663,2953,6441,7642,20538,554,1151,41945,118521
SOSR314,16328,32231,308,1726,1671,7692,616,2790,10061,39973,12658,52177,588,2354,986,3122,2616,8063,4187,13540,16842,65717,98,445,505,1843,280,1036,3194,9091,4079,12413,186,576,490,1033,1934,4126,2610,5732,6688,18146,552,1153,40411,117240
SOSR315,26860,53096,489,2836,2282,10858,1098,5337,14570,58485,18441,77513,839,3471,1434,4530,4222,13175,6498,21169,24931,98683,186,926,745,2745,584,2403,5266,15284,6782,21362,291,942,758,1626,3156,6932,4205,9501,10986,30863,886,1939,63659,184583
SOSR321,11690,23062,215,1228,969,4508,416,1981,5456,21764,7057,29483,341,1361,632,1957,1848,5765,2822,9078,9873,38561,54,262,238,887,216,829,1976,5786,2489,7765,83,273,267,561,1241,2667,1589,3505,4078,11269,385,828,26029,73725
SOSR322,5652,11083,90,520,290,1363,205,1006,2208,8907,2789,11794,117,475,228,690,808,2501,1156,3660,3946,15457,17,96,109,390,92,409,955,2780,1177,3679,37,113,130,272,568,1271,738,1655,1915,5337,173,387,11689,32262
SOSR331,52841,104278,1025,5615,5036,23257,1922,8746,24856,99574,32836,137193,2192,8885,3639,11436,10423,32191,16251,52522,49083,189707,169,769,895,3208,483,1755,5104,14285,6647,20023,361,1147,950,2049,4681,9959,5991,13157,12641,33178,1026,2167,115588,329326
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,116353,230378,1667,9480,12359,56948,2730,12200,70943,270410,87697,349037,7594,31627,12818,44046,23668,74648,44082,150326,131777,499360,617,2818,3751,13168,1502,5275,19720,51542,25600,72797,2544,8011,6352,14174,19153,40843,28055,63029,53650,135824,5837,12300,307614,877861
SOSR412,7808,15389,139,768,786,3617,233,1042,4117,16080,5278,21506,359,1469,610,1952,1384,4313,2351,7738,7632,29238,47,220,279,974,135,478,1776,4817,2242,6488,134,415,388,830,1096,2330,1617,3578,3857,10065,218,458,19521,55152
SOSR413,12174,23977,156,858,1049,4802,307,1332,5702,22211,7207,29202,457,1834,907,2959,1828,5598,3188,10396,10398,39599,61,301,363,1249,179,612,2037,5654,2642,7812,175,523,496,1109,1472,3102,2136,4724,4775,12540,341,717,27688,76830
SOSR414,3407,6715,29,155,200,946,49,215,1248,4876,1523,6195,76,319,157,511,356,1086,592,1917,2114,8108,20,62,91,308,27,97,374,980,515,1448,31,83,106,229,294,600,430,910,937,2354,70,143,6527,17318
SOSR415,13601,26783,181,991,1130,5152,286,1280,6046,23835,7649,31261,475,1927,836,2702,1789,5577,3101,10199,10748,41457,66,292,358,1237,153,559,1927,5202,2509,7290,171,544,421,904,1352,2834,1947,4284,4455,11576,343,715,29146,80525
SOSR421,4300,8488,49,244,353,1640,87,371,1789,7111,2280,9362,161,649,243,789,565,1719,974,3156,3248,12521,5,36,106,373,47,158,496,1303,656,1877,34,101,112,242,349,716,497,1054,1153,2932,91,185,8790,24123
SOSR422,2737,5428,24,141,178,840,70,332,1048,4220,1324,5534,81,321,133,420,351,1078,569,1820,1897,7354,7,31,65,223,38,147,336,933,444,1334,19,68,65,138,244,533,334,735,778,2071,64,156,5480,15009
SOSR431,18206,35828,344,1904,1785,8089,481,2100,8428,34009,11041,46106,919,3758,1514,4919,3445,10695,5884,19375,16923,65479,51,258,246,859,96,358,1285,3479,1681,4952,127,403,368,787,1337,2802,1834,3997,3519,8952,312,660,38965,110921
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,185788,364768,3455,19432,22013,101222,5574,24942,128730,490226,159770,635835,12368,50916,20205,68697,37558,117042,70135,236661,229904,872489,936,4460,5142,18030,2177,7806,27740,74313,36004,104610,3521,11232,8026,18018,24836,52877,36383,82127,72391,186737,9069,19270,497150,1443260
SOSR511,7525,14665,127,684,808,3615,285,1275,4746,18264,5969,23838,300,1192,576,1799,1264,3846,2136,6841,8109,30678,46,207,251,879,132,493,1408,3762,1837,5336,101,305,297,640,863,1801,1263,2748,3096,8084,199,415,18927,53841
SOSR512,12050,23519,251,1384,1181,5421,486,2224,7323,28524,9245,37557,453,1811,777,2438,1967,6035,3193,10281,12441,47843,80,389,369,1336,216,834,2158,6073,2825,8644,153,480,393,847,1474,3123,2020,4447,4848,13093,429,892,29768,85351
SOSR513,4684,9116,90,508,495,2274,189,860,4114,16020,4890,19663,158,633,295,891,651,1986,1100,3502,5985,23161,19,84,126,455,84,326,927,2615,1156,3479,29,93,113,227,451,973,586,1291,1744,4769,185,411,12604,37458
SOSR514,3525,6890,64,329,333,1484,131,600,2541,9664,3064,12075,113,453,194,615,534,1649,849,2710,3916,14786,13,63,132,481,55,195,753,2065,953,2803,41,108,125,271,424,903,593,1287,1542,4090,85,181,9068,25951
SOSR515,8879,17281,156,844,743,3457,305,1345,5534,21706,6738,27361,240,976,441,1349,1199,3649,1886,5973,8618,33333,41,202,256,912,175,677,1641,4685,2113,6476,76,233,255,546,935,1981,1263,2752,3381,9230,286,628,21165,60469
SOSR521,4792,9401,86,507,371,1695,195,936,2553,10087,3208,13228,147,587,221,664,755,2304,1119,3557,4326,16787,25,112,105,381,111,467,890,2546,1122,3508,28,89,96,195,574,1251,703,1542,1826,5049,169,388,11115,31627
SOSR522,2113,4153,30,210,144,669,106,560,1099,4493,1380,5924,55,215,82,232,279,866,412,1312,1793,7236,9,69,64,252,76,381,437,1301,596,2004,18,63,47,105,238,549,309,715,899,2720,100,240,4910,14350
SOSR531,18488,36212,318,1728,1732,7690,644,2907,8934,35537,11628,47864,828,3285,1223,3820,3357,10225,5413,17327,17041,65190,40,198,226,786,154,580,1462,4044,1882,5603,119,361,294,624,1314,2792,1731,3784,3615,9383,342,755,39485,111546
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,18285,36108,254,1415,1747,8035,425,1900,9953,38111,12377,49459,764,3114,1740,5772,2933,9067,5441,17949,17813,67409,101,434,714,2438,264,924,3866,10109,4947,13905,333,1031,1049,2242,2702,5704,4082,8980,9031,22885,774,1613,45900,128011
SOSR611,7483,14772,134,719,751,3473,192,832,4062,15719,5141,20743,331,1361,649,2137,1212,3739,2195,7235,7332,27978,40,188,292,1026,117,430,1595,4204,2049,5844,134,410,407,884,1165,2475,1709,3772,3758,9619,356,743,18924,53110
SOSR612,2493,4935,48,249,212,974,68,304,1100,4305,1426,5835,88,367,185,587,408,1251,689,2201,2114,8039,20,82,103,358,50,171,630,1716,804,2329,40,111,130,274,362,759,528,1147,1328,3472,63,134,6001,16577
SOSR613,3555,7037,34,210,337,1597,94,412,1542,5981,2008,8196,138,564,245,760,550,1712,930,3034,2943,11231,33,137,139,465,54,168,763,1990,977,2760,60,190,188,391,508,1048,751,1631,1730,4390,95,198,8328,22857
SOSR614,1311,2598,16,91,73,343,35,164,532,2084,655,2684,48,189,75,241,207,632,330,1064,986,3742,8,37,45,158,24,85,279,765,351,1045,28,91,53,109,183,386,259,585,615,1626,40,76,2948,8048
SOSR615,7331,14503,93,549,581,2669,206,929,3263,12745,4143,16896,224,907,437,1401,1054,3236,1727,5541,5867,22436,45,173,212,754,104,374,1299,3467,1661,4772,69,209,236,494,890,1856,1203,2558,2860,7332,180,373,16242,44641
SOSR621,2555,5016,27,155,199,877,67,301,1075,4141,1370,5473,67,266,145,448,322,984,530,1697,1899,7169,6,36,58,198,19,68,314,864,406,1162,29,79,64,133,212,445,309,660,716,1821,43,78,5207,14092
SOSR622,1629,3187,8,59,125,562,41,178,561,2174,734,2982,37,154,98,301,212,658,352,1107,1084,4086,10,37,32,109,18,57,182,478,239,683,19,48,42,99,165,335,225,481,464,1160,33,73,3213,8511
SOSR631,13201,25969,214,1158,1232,5672,346,1566,5665,22442,7460,30842,544,2197,953,3022,2276,7026,3774,12249,11233,43087,18,86,219,769,94,330,1149,3007,1476,4189,89,270,254,556,1105,2308,1449,3129,2927,7317,207,416,27569,76795
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,10522,20677,208,1153,1146,5308,377,1740,8279,31479,10016,39678,445,1791,803,2557,1632,5134,2878,9478,12891,49158,50,226,286,1046,166,618,1821,4936,2323,6828,122,373,359,761,1257,2720,1736,3857,4061,10685,470,1015,27949,81527
SOSR712,1963,3808,42,251,223,1049,99,459,1555,5923,1926,7677,60,234,130,402,307,946,496,1579,2424,9259,14,55,68,234,47,202,458,1315,585,1806,23,57,75,155,228,491,320,707,907,2515,99,216,5390,15806
SOSR714,456,893,9,33,51,245,24,133,377,1425,455,1835,9,38,26,84,71,214,108,336,566,2173,6,32,17,64,23,75,129,388,171,563,4,13,18,33,47,96,66,138,235,701,17,40,1271,3806
SOSR715,908,1931,63,493,142,829,223,1443,1205,5102,1630,7874,42,232,41,120,166,649,249,1003,1879,8872,21,131,44,182,136,812,440,1348,639,2471,15,60,38,77,217,654,271,795,911,3266,132,372,3829,14450
SOSR721,869,1804,38,295,93,490,162,1054,915,3832,1215,5676,9,53,38,123,157,597,200,769,1415,6445,14,107,29,142,106,600,376,1205,527,2054,3,16,11,36,182,536,199,588,727,2642,61,193,3077,11077
SOSR722,695,1511,26,195,79,431,171,1033,766,3293,1037,4959,8,47,26,81,112,415,152,542,1189,5500,18,94,25,132,92,489,355,1125,494,1836,8,32,13,27,163,459,186,516,676,2356,91,227,2654,9595
SOSR731,2732,5443,64,416,257,1220,210,1197,2084,8425,2616,11251,129,546,177,556,522,1676,826,2780,3445,14029,13,67,46,183,105,526,465,1432,631,2215,24,82,60,127,331,793,409,1000,1046,3211,143,361,7365,23053
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,38343,75633,543,3056,4411,19956,857,3767,28719,109508,34534,136285,2223,9096,4528,15234,6579,20373,13326,44711,47864,180996,174,800,1012,3461,366,1266,5360,13846,6912,19365,667,2046,1753,3818,4777,10130,7199,15999,14108,35364,1464,3049,101779,295041
SOSR822,34,64,0,16,4,26,0,6,17,76,25,118,0,0,3,9,8,22,10,32,40,145,0,0,0,5,0,0,0,0,0,5,0,0,0,0,4,4,0,5,6,13,0,4,75,227
SOSR831,62,122,6,19,4,25,3,18,61,249,73,310,4,27,10,40,12,30,27,94,106,402,0,0,0,5,0,0,6,25,12,30,0,0,0,4,3,11,9,19,18,47,0,0,184,572
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,107,204,3,20,13,57,3,19,102,417,125,519,3,18,5,12,26,80,37,116,156,628,0,3,5,11,0,0,7,18,16,33,0,0,9,10,19,29,20,42,35,77,4,13,303,928
SOSR921,116,216,0,0,6,24,3,6,42,158,51,193,0,0,5,13,6,14,10,36,58,228,0,0,0,6,0,3,17,38,19,43,0,3,7,14,8,22,17,38,32,85,0,0,209,528
SOSR922,72,145,0,7,3,25,7,26,56,220,69,283,4,10,4,12,27,82,29,103,103,382,0,0,0,4,0,0,12,27,9,32,0,8,0,0,0,4,8,16,15,48,0,3,190,582
SOSR931,150,298,0,0,14,51,10,36,72,273,92,359,3,11,9,32,10,28,23,65,108,424,0,9,6,13,5,29,25,64,33,106,0,7,3,14,23,59,32,72,65,185,4,10,327,914
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
