SOSR_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOSR179,0,0,0,3,4,3,0,0,0,10,0,0,3,0,3,3,0,0,0,14,0,0,3,4,0,7,0,0,0,17,0,0,0,3,3,0,0,0,0,3,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,4,3,4,0,10,17,25,11,4,78,12,9,32,34,50,74,108,42,10,374
SOSR199,3,61,179,89,80,80,34,6,0,533,0,23,95,63,45,31,16,4,0,277,5,9,77,47,37,30,6,3,0,219,0,7,61,25,27,15,4,0,0,136,0,0,64,75,34,15,3,5,0,210,0,0,19,49,20,5,12,0,0,111,110,265,641,427,392,338,220,74,24,2494,517,1358,2703,1900,1798,1722,1196,282,78,11545
SOSR201,713,18959,93128,61898,55990,40556,15872,5067,2171,294352,207,7030,67560,49570,41561,27756,9277,2470,1083,206516,174,2736,49286,46738,38460,24597,7100,1910,853,171858,79,1137,27891,35270,28772,17826,4702,1262,557,117486,148,985,35957,58800,45838,25911,7001,1913,844,177385,238,754,11175,38178,38229,20624,7286,2345,1092,119921,20217,23788,53910,41334,37572,31704,28718,23442,17656,278332,249943,316127,695698,601145,545587,439174,317529,185177,85254,3435626
SOSR203,17,722,2787,2149,2090,1685,641,233,121,10446,9,238,2105,1608,1417,1064,290,77,40,6842,11,101,1428,1434,1310,885,188,58,17,5433,3,42,752,1064,978,662,139,27,22,3684,6,17,781,1424,1366,866,182,43,24,4704,9,33,239,698,776,486,162,62,24,2492,916,876,1495,1337,1480,1384,1456,1276,1049,11269,9959,11931,21680,19552,19884,18465,14388,8763,4593,129222
SOSR211,46,1284,5067,3877,3774,3009,1040,313,148,18563,20,489,3378,2972,2729,1872,512,124,54,12149,3,156,2010,2389,2159,1523,331,71,23,8673,3,57,1089,1551,1582,1037,181,45,26,5571,6,45,1076,1763,1788,1198,230,72,26,6210,26,52,294,749,837,588,212,95,36,2888,1829,1647,3035,2548,2572,2643,2591,2069,1367,20295,17664,20098,38326,34284,33634,32117,24759,13422,5952,220263
SOSR212,24,773,2899,2283,2540,1991,707,211,95,11525,9,295,1938,1765,1683,1185,317,79,28,7299,0,125,1175,1415,1466,1027,200,45,21,5471,0,50,637,961,1072,755,110,34,11,3626,3,53,651,1192,1287,909,186,51,28,4361,13,31,257,508,662,447,150,71,23,2167,1189,1000,1915,1651,1881,1925,1899,1490,919,13855,11145,10899,22389,20807,22142,20504,15863,9362,4248,137351
SOSR213,47,977,3852,3208,3431,2927,1081,400,184,16117,9,316,2647,2478,2386,1727,551,132,56,10308,7,167,1723,2030,2178,1521,344,92,34,8095,4,48,913,1472,1500,1111,231,66,26,5367,4,47,959,1891,1953,1276,292,92,36,6558,23,35,331,828,987,698,256,104,59,3326,1592,1210,2211,2260,2510,2730,2957,2504,1722,19701,14987,13737,29330,30191,31934,32056,27053,16238,7501,203020
SOSR214,32,426,1559,1569,1980,1503,724,265,141,8195,11,165,1037,1106,1273,973,325,83,30,4997,0,68,695,943,1018,851,201,76,25,3878,0,24,372,656,761,453,112,40,12,2432,0,15,394,753,855,576,166,51,14,2829,5,13,139,329,368,324,129,81,35,1426,1038,598,1351,1381,1622,1819,2175,1827,1133,12937,8049,6762,13599,15094,17803,18934,18475,11053,5132,114902
SOSR215,45,776,2896,2765,3098,2677,1101,380,184,13918,7,250,1910,2006,1948,1627,505,152,56,8467,3,89,1182,1664,1681,1375,345,90,55,6481,4,41,627,1097,1224,850,200,56,30,4124,4,32,626,1323,1429,1042,248,84,34,4829,5,28,190,513,697,515,239,109,47,2351,1525,889,1787,1947,2343,2803,2997,2430,1630,18351,11821,10185,22188,24539,27995,30257,27228,15760,7560,177528
SOSR221,7,162,648,720,881,785,301,110,46,3667,3,58,442,467,585,457,142,32,7,2189,0,33,292,384,494,369,92,10,11,1677,0,3,146,284,301,241,54,10,4,1050,0,8,139,337,374,282,62,24,0,1232,10,7,48,142,177,167,57,28,8,638,412,210,470,570,755,967,1015,650,421,5461,3218,2410,5364,6731,8472,9647,8504,4133,1603,50085
SOSR222,11,111,449,475,589,576,191,41,23,2462,0,39,268,332,381,303,96,21,8,1450,0,13,153,249,325,268,49,11,14,1090,0,10,87,166,224,174,41,9,0,708,0,4,81,182,266,182,33,12,3,760,0,6,20,62,111,126,44,23,13,406,326,169,334,403,565,601,578,308,163,3445,2156,1563,3521,4284,5565,6392,4978,2095,847,31400
SOSR231,115,1404,4536,5131,6900,6079,2496,635,179,27467,32,532,2836,3654,4803,4066,1403,304,59,17682,11,231,1894,3068,4275,3288,952,250,65,14040,8,65,991,2063,2808,2186,632,145,48,8948,9,61,1070,2792,3890,2835,863,241,47,11798,45,81,469,1606,2579,2083,939,311,68,8176,3822,2003,4201,5171,6637,6884,5822,2734,895,38163,27043,19177,35251,47992,66424,69088,50347,18869,5266,339459
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,0,4,6,0,0,0,13,0,0,0,0,3,3,0,0,0,6,0,0,4,3,11,5,0,0,0,25
SOSR299,6,37,127,61,53,32,12,0,0,329,0,11,83,36,32,25,3,0,0,185,0,0,42,36,19,18,9,0,0,123,0,0,34,23,21,13,0,0,0,88,0,0,52,36,21,16,4,0,0,129,0,0,15,23,14,21,5,0,0,76,64,163,358,249,183,140,91,26,12,1283,357,898,1848,1295,975,816,482,121,38,6825
SOSR301,562,12332,42764,32819,29805,21285,7829,2131,844,150368,188,5376,31227,25637,22371,14456,4338,966,332,104896,105,2062,23898,25175,21875,13489,3095,665,263,90621,37,817,13688,17703,15399,8873,1929,451,165,59056,42,636,17051,28343,24754,12927,2722,666,271,87417,108,313,5271,16430,17425,9236,2680,844,345,52648,9866,12015,24528,19578,18048,14797,12526,9653,8471,129479,132888,159749,322012,291188,267570,214742,152218,76617,35022,1652019
SOSR302,133,2384,9706,8673,8379,6058,2638,746,304,39018,41,944,6378,6285,5587,3826,1347,296,123,24838,20,403,4458,5732,5288,3355,1052,266,84,20657,15,194,2582,3759,3379,2062,689,169,61,12907,13,158,2910,5238,4817,2759,923,240,90,17138,26,116,1065,2849,3108,2027,912,360,104,10570,3141,3443,6957,6102,6061,5531,5166,3873,3220,43494,33265,36525,75009,74505,72240,61812,51332,26359,11505,442549
SOSR303,250,3519,10907,9789,9966,7473,3015,928,374,46215,72,1743,7640,7310,7071,4920,1682,401,132,30971,29,681,5628,6789,6967,4457,1126,281,100,26061,11,244,2972,4381,4608,2838,694,183,83,16005,9,219,3552,5742,6290,3656,945,239,77,20725,40,93,1073,2963,3398,2268,914,267,123,11128,4033,4415,7991,7158,7480,6608,5958,4491,3526,51661,42475,43296,85464,85515,88232,78051,61558,32774,13909,531278
SOSR311,58,1103,3382,2960,3110,2535,941,314,123,14528,23,524,2255,2116,2202,1499,405,117,33,9171,9,255,1820,2010,2131,1480,246,69,20,8037,6,136,1112,1294,1393,963,162,44,9,5111,3,128,1680,2010,2107,1234,183,56,12,7416,19,39,486,919,1069,689,193,94,40,3541,1385,1305,2659,2434,2922,2764,2610,2082,1395,19562,15120,14232,29837,28189,31198,29454,24573,14865,5876,193346
SOSR312,30,293,685,590,637,450,145,52,18,2901,9,185,551,448,428,335,66,15,3,2042,3,106,453,433,452,283,60,12,3,1803,0,58,329,343,353,246,32,0,9,1369,0,62,609,693,708,362,35,16,4,2490,8,20,259,425,388,225,40,7,5,1389,333,306,638,649,631,592,500,358,149,4147,3434,3554,7487,7133,7334,6544,4843,2734,1063,44133
SOSR313,63,830,2108,1945,2024,1649,687,228,83,9615,19,394,1552,1358,1415,969,319,76,18,6121,10,217,1157,1213,1301,949,212,56,14,5139,8,143,827,987,983,631,143,31,7,3762,5,149,1480,1624,1570,916,185,42,20,5987,12,33,366,679,690,444,136,57,14,2435,1055,857,1876,1663,1830,1728,1637,1329,999,12979,9705,9296,19844,18984,20108,19369,16829,9558,3875,127579
SOSR314,48,783,2318,2077,2075,1633,594,209,58,9794,22,366,1590,1524,1470,1035,248,60,22,6337,10,183,1215,1473,1438,866,203,70,18,5477,5,110,748,1013,1015,614,150,25,9,3689,8,124,1218,1690,1618,912,174,50,19,5804,14,46,494,801,728,449,135,64,20,2748,1192,910,2234,1991,1982,1846,1720,1137,571,13584,9711,8927,20721,20412,20493,18387,14577,8041,3140,124412
SOSR315,91,1071,3180,3031,3388,2483,1008,247,85,14576,24,482,2120,2221,2256,1594,419,85,26,9226,18,242,1581,1971,2057,1413,300,66,24,7664,8,131,1031,1428,1334,916,167,27,6,5053,10,154,1560,2109,1987,1163,210,41,19,7257,17,39,533,873,788,556,190,68,23,3098,1887,1686,3606,3240,3254,3318,2967,1978,1150,23084,14625,13623,30056,30656,32585,32033,26810,12776,4690,197849
SOSR321,39,338,1000,1192,1357,1248,441,114,33,5763,14,158,686,784,981,690,210,37,12,3565,0,74,477,718,888,651,131,16,10,2964,3,27,291,494,561,359,67,11,3,1824,0,31,431,681,769,509,102,28,7,2554,4,25,131,304,336,253,101,28,10,1193,856,616,1127,1241,1393,1398,1326,669,233,8867,5785,4742,9781,11752,14264,14652,11988,4895,1457,79309
SOSR322,17,139,417,446,603,512,205,62,15,2409,3,73,267,327,366,334,95,17,0,1483,3,30,170,286,321,287,60,14,0,1171,3,16,130,196,208,158,41,8,0,756,0,13,152,284,325,232,50,20,3,1085,0,11,51,100,134,114,49,17,0,478,452,269,475,446,705,730,755,374,99,4307,2354,2112,4269,4859,6318,7203,6183,2524,626,36449
SOSR331,137,1521,4261,5283,6838,5471,2174,539,105,26325,47,687,2795,3814,4786,3641,1118,272,45,17206,19,324,2200,3607,4515,3095,760,148,44,14712,14,166,1309,2290,2844,2007,540,119,31,9318,9,157,1920,3705,4173,2640,709,159,26,13502,28,75,733,2068,2640,1777,779,228,46,8374,3666,2469,5256,6106,7681,7454,5950,2639,731,41962,26495,19656,39910,53426,69689,68226,49736,18283,4307,349730
SOSR379,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,3,0,0,0,7,0,0,4,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,7,0,0,0,0,0,0,0,3,0,5,0,3,0,0,0,4,8,0,0,24,11,11,11,14,24,30,33,16,4,144
SOSR399,3,50,160,92,72,102,47,12,0,535,0,20,63,49,62,50,15,0,0,264,0,3,85,52,52,32,16,0,0,242,0,3,26,28,28,22,3,0,0,122,0,0,51,47,46,33,4,0,0,185,0,10,20,22,28,14,10,4,0,109,72,230,495,331,332,424,297,73,17,2272,408,1133,2293,1485,1663,2373,1916,381,44,11693
SOSR401,150,4696,21591,17423,17634,13958,5653,1668,877,83654,58,1815,14386,12523,11979,8697,2984,699,328,53488,26,675,10586,11589,10783,7893,2015,484,268,44325,27,207,5612,8108,7938,5698,1355,352,165,29462,24,215,5574,10816,11037,7162,1797,473,206,37305,72,151,1576,5025,6304,4413,1769,609,340,20264,4863,4940,10360,8703,9097,8300,7928,6643,5540,66384,70554,82252,165670,151122,154069,139495,107279,62177,31706,964327
SOSR412,15,344,1038,974,1191,891,278,85,35,4852,3,150,739,663,798,575,119,25,3,3084,0,67,572,601,719,478,79,21,11,2551,0,31,357,494,549,318,44,4,4,1802,0,23,355,585,647,351,52,19,5,2037,4,12,89,198,181,134,52,22,10,706,429,306,602,551,746,684,695,630,349,4982,4783,4500,8983,8666,10367,9222,7052,4449,1795,59823
SOSR413,12,397,1280,1258,1387,1193,590,203,72,6387,5,177,863,812,961,781,278,49,24,3954,3,73,641,782,907,716,193,44,14,3361,0,30,340,613,700,498,138,23,14,2347,0,16,346,769,886,609,135,36,8,2797,3,11,126,367,480,329,154,41,16,1530,618,550,1180,1096,1062,1105,1110,882,604,8206,6175,5815,11523,12088,13597,13606,12793,6959,2992,85541
SOSR414,5,73,318,282,331,323,145,49,22,1552,0,27,184,218,210,160,73,16,7,894,0,14,121,127,155,145,33,22,4,617,0,4,60,77,96,80,27,4,3,345,0,0,59,92,126,93,19,12,5,407,0,3,16,25,39,37,11,11,7,161,118,46,162,135,167,208,317,279,286,1714,1209,1017,2443,2455,2754,3284,3720,2246,992,20125
SOSR415,24,387,1372,1361,1584,1390,514,192,84,6901,9,220,985,948,1026,813,278,57,16,4348,3,56,659,792,857,690,175,51,11,3294,7,39,418,590,651,468,87,21,10,2300,0,45,499,790,813,522,115,38,15,2837,6,14,127,296,317,248,97,46,32,1192,677,404,841,865,1057,1245,1332,1018,981,8429,6144,5360,11414,12170,14414,14987,13602,7891,3858,89846
SOSR421,12,94,404,418,517,504,162,61,25,2201,0,55,258,258,313,291,86,15,15,1291,3,16,176,249,282,222,60,17,8,1026,0,10,113,157,175,151,27,4,0,645,0,13,114,191,260,149,32,13,4,768,0,10,38,75,108,67,25,12,4,340,211,106,250,235,311,405,399,327,244,2494,1783,1438,3238,3530,4507,5062,4329,2242,1100,27229
SOSR422,11,57,199,235,299,288,116,26,11,1245,3,28,128,135,187,143,42,3,4,675,0,5,89,97,149,126,33,11,5,530,0,8,55,83,109,95,30,7,0,379,0,5,51,86,128,105,22,0,3,404,3,0,21,35,33,41,16,6,5,161,156,99,181,196,289,304,301,144,81,1752,1106,958,2040,2203,2952,3344,2850,1332,465,17234
SOSR431,40,437,1459,1854,2626,2359,913,200,45,9927,7,183,908,1244,1794,1400,480,96,17,6130,9,75,656,1109,1436,1226,320,67,21,4924,3,27,336,697,985,844,246,31,7,3169,3,36,463,997,1343,991,288,49,18,4187,16,17,126,490,781,744,318,78,20,2590,1170,607,1289,1541,2076,2190,1599,664,226,11366,8754,6381,12234,16817,23752,24519,16965,5909,1555,116882
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SOSR499,0,8,43,26,20,19,8,0,0,122,0,3,14,14,12,6,0,0,0,51,0,0,6,15,12,5,3,0,0,37,0,0,9,0,5,10,3,0,0,21,0,0,7,11,11,5,0,0,0,40,3,0,3,3,4,0,0,0,0,19,11,33,71,61,100,64,34,10,7,400,173,266,556,421,474,403,271,59,22,2648
SOSR501,435,10156,36639,25703,25188,19574,7834,2240,951,128712,121,5290,28266,21245,19831,14041,4538,977,353,94656,73,2418,23743,20470,19101,12831,3380,748,258,83017,33,1094,15688,16543,15211,9997,2367,476,200,61612,30,1208,22738,29958,27608,16649,3574,775,274,102803,82,470,8095,19724,20736,11732,3254,935,335,65359,8778,10196,25109,19163,17686,14874,12778,10690,8341,127619,115359,129031,298774,263462,247498,203928,145991,79433,33920,1517390
SOSR511,22,305,1022,928,922,703,264,85,31,4281,6,169,677,704,739,525,148,25,6,3003,4,101,591,649,702,551,107,23,5,2742,5,64,458,567,620,458,58,16,8,2244,0,46,674,1012,1057,603,90,9,8,3501,8,21,246,449,474,311,74,14,5,1609,442,323,816,815,879,702,660,478,270,5399,4639,3867,9274,9491,9712,8508,6174,3177,1316,56161
SOSR512,55,597,1493,1480,1652,1209,432,158,59,7145,22,315,1125,1154,1151,810,254,74,20,4913,10,209,1117,1134,1156,808,204,47,18,4710,3,123,841,911,945,660,131,26,7,3656,3,149,1266,1640,1640,1015,170,45,16,5946,3,44,339,644,732,443,142,50,19,2413,840,696,1631,1470,1525,1425,1139,1000,756,10485,7552,6503,14989,15092,15833,13991,10289,5848,2458,92555
SOSR513,49,335,940,730,629,444,156,28,12,3306,18,198,772,619,550,370,69,10,0,2613,6,153,764,617,587,379,61,10,0,2577,9,114,699,582,479,312,40,12,0,2242,9,150,1361,1313,1051,619,94,11,5,4615,10,64,797,947,662,339,84,20,7,2927,490,465,1538,1236,1113,783,396,160,87,6273,2907,3066,10295,8781,7377,5240,2375,933,319,41292
SOSR514,12,160,525,538,445,336,144,35,13,2208,6,71,335,371,291,212,66,25,3,1375,0,47,303,341,283,192,41,13,3,1223,0,23,194,281,240,154,26,4,3,927,0,34,336,497,452,261,38,3,0,1620,5,10,124,205,193,128,37,3,0,720,264,169,464,454,426,399,390,305,231,3109,1909,1726,4828,5086,4418,4007,3145,1460,589,27168
SOSR515,46,383,1064,934,1036,922,359,104,34,4882,17,249,793,726,828,561,179,28,18,3396,16,176,722,682,780,583,126,22,9,3115,7,106,540,631,611,444,86,19,11,2451,6,122,1074,1300,1237,758,116,34,11,4652,0,35,417,636,520,345,107,29,12,2106,766,584,1531,1332,1446,1312,1028,722,352,9086,4814,4562,11374,11307,11555,10612,7870,4189,1497,67783
SOSR521,14,156,465,482,548,506,194,52,27,2450,4,112,331,358,415,314,105,24,9,1664,5,60,316,294,415,346,67,14,0,1522,3,32,215,269,346,255,52,11,6,1192,3,48,397,502,582,368,64,13,4,1985,3,14,123,241,254,170,59,18,4,890,419,284,623,633,743,730,560,364,200,4554,2457,2159,5231,5345,6371,6244,4605,2242,742,35400
SOSR522,8,72,221,159,214,257,77,28,3,1048,3,43,144,146,183,136,44,7,3,704,3,35,122,112,155,128,36,9,3,587,0,14,108,87,119,90,23,3,0,448,0,11,180,164,209,163,38,5,0,779,0,3,30,82,90,71,19,10,0,315,256,181,470,407,380,402,322,184,52,2659,1123,1122,2819,2444,2809,2949,2141,1024,268,16688
SOSR531,95,676,1623,1795,2553,2176,905,209,40,10067,30,378,1273,1467,1920,1527,524,115,28,7264,11,224,1060,1407,1933,1366,438,81,20,6553,10,161,946,1195,1544,1118,279,62,12,5326,11,283,2263,2598,2995,1769,444,90,15,10472,12,122,1537,2022,2293,1372,412,99,18,7886,1460,1470,4271,4015,3859,3038,1937,807,211,21072,9078,7782,20155,22994,28322,25541,16447,5691,1288,137303
SOSR579,0,3,6,3,0,0,0,0,0,19,0,0,4,3,4,3,0,0,0,14,0,0,10,6,3,8,3,0,0,24,0,0,6,10,6,4,0,0,0,25,0,4,43,21,20,6,0,0,0,95,0,0,27,61,42,12,0,0,0,138,0,3,28,21,20,6,0,0,0,89,0,20,127,127,105,43,8,3,3,434
SOSR599,0,21,97,57,33,35,18,3,0,258,0,11,51,23,31,25,9,0,0,154,0,7,47,35,35,25,5,0,0,153,0,7,45,24,25,27,3,0,0,130,0,10,76,64,60,36,14,0,0,246,0,5,39,41,31,26,3,0,0,153,24,95,268,136,176,168,111,20,8,1007,151,503,1306,910,957,977,633,98,23,5559
