SOSR_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,88112,75241,38471,23798,34395,24743,13563,298323,20472,19556,10568,6323,8798,4948,2603,73272,20083,17496,8723,5275,7241,4133,2190,65137,95865,94558,52787,32800,43475,23218,11424,354130,1146,1096,585,308,336,164,83,3715,225675,207942,111134,68504,94249,57207,29867,794584,7312,10323,7216,5505,8824,6203,3827,49202,2900,4188,2834,2058,3001,1600,840,17418,1861,2826,1916,1344,2066,1117,661,11784,11928,17560,12034,8635,12027,5726,2939,70847,1262,1231,715,532,484,231,121,4579,25264,36127,24711,18072,26393,14883,8388,153834,250937,244070,135843,86578,120644,72089,38254,948411
SOSR203,1009,850,427,335,430,245,120,3415,517,495,293,193,283,129,58,1964,508,456,239,147,188,97,40,1680,5529,4890,2651,1652,2209,980,441,18347,54,36,15,14,10,3,0,131,7609,6727,3626,2354,3114,1446,663,25543,96,147,108,77,154,101,48,726,135,158,106,86,110,44,30,670,86,95,61,43,69,29,23,402,1128,1450,928,715,950,322,135,5619,60,83,47,17,36,16,4,266,1503,1925,1248,940,1323,503,238,7678,9112,8655,4878,3293,4436,1953,900,33224
SOSR211,1962,1694,874,512,676,304,114,6128,688,657,361,221,314,96,44,2376,755,647,288,182,253,86,27,2240,10811,9833,5254,3293,4365,1409,465,35430,64,77,51,34,22,9,8,258,14278,12906,6822,4232,5635,1901,657,46433,277,348,223,147,216,82,54,1347,224,271,184,136,203,60,36,1118,89,161,119,77,110,30,13,593,2924,3770,2258,1452,1987,600,195,13183,166,140,73,47,44,12,0,481,3684,4696,2861,1856,2555,780,298,16731,17965,17601,9682,6091,8188,2685,952,63164
SOSR212,1261,1198,673,392,582,207,78,4397,449,407,229,150,227,75,25,1556,402,369,184,128,183,82,21,1375,6055,5886,3242,2079,2935,902,277,21379,49,49,20,21,19,3,3,167,8216,7906,4348,2771,3946,1271,409,28872,126,152,104,93,131,42,20,678,127,147,98,78,95,35,10,591,60,106,63,58,66,27,6,387,1580,1993,1191,876,1262,315,106,7325,71,73,54,39,24,8,3,278,1973,2468,1513,1149,1576,427,146,9251,10184,10380,5858,3925,5528,1699,551,38127
SOSR213,787,725,410,251,382,140,54,2743,741,697,400,258,316,115,30,2558,696,666,279,185,234,101,44,2198,9866,9741,5231,3383,4428,1361,418,34430,59,58,23,29,20,11,3,204,12143,11893,6341,4105,5388,1728,549,42140,80,118,95,70,118,35,8,522,194,261,157,97,143,50,17,920,78,126,88,71,114,42,18,537,2219,2924,1791,1315,1756,471,117,10596,143,98,92,34,45,6,3,421,2713,3535,2211,1593,2182,605,159,12997,14857,15421,8551,5700,7565,2330,705,55136
SOSR214,407,360,208,134,170,60,22,1349,308,364,169,98,151,46,20,1163,316,312,157,96,129,34,11,1059,4705,4664,2754,1708,2258,639,174,16901,37,38,17,15,17,0,0,126,5772,5731,3312,2041,2726,789,228,20595,28,58,28,34,46,19,3,221,81,135,78,89,100,31,12,525,26,64,39,44,57,22,9,253,1170,1537,997,761,959,254,54,5729,52,65,40,29,25,8,0,218,1357,1863,1180,948,1193,328,69,6942,7128,7593,4486,2991,3917,1118,296,27538
SOSR215,492,498,284,184,263,98,34,1857,562,640,360,218,281,82,38,2186,587,593,283,182,237,78,29,1990,8241,8246,4589,2752,3673,988,305,28799,48,67,44,34,24,4,3,228,9942,10048,5560,3371,4491,1254,401,35064,42,74,62,38,78,25,8,340,125,235,134,106,152,37,12,804,68,120,108,50,96,22,16,474,1540,2275,1420,1009,1379,335,85,8037,86,86,54,41,35,3,3,316,1865,2802,1782,1243,1741,428,127,9980,11802,12853,7335,4616,6233,1678,531,45045
SOSR221,65,81,65,29,41,11,9,308,169,150,90,64,81,42,11,609,126,127,80,45,58,13,3,453,2121,2463,1337,833,1080,276,74,8188,14,19,11,3,0,0,0,46,2502,2845,1585,970,1263,344,100,9602,8,12,12,8,9,4,0,42,31,44,33,19,41,9,3,170,12,42,33,14,31,6,0,140,361,546,379,262,335,78,17,1978,12,25,8,4,12,0,0,63,425,668,462,312,418,94,26,2399,2928,3508,2052,1282,1678,441,123,12002
SOSR222,46,59,36,20,27,13,3,207,78,100,55,28,41,17,3,332,88,98,54,49,50,19,4,356,1344,1466,839,527,707,193,40,5120,15,21,13,8,3,0,0,54,1568,1743,1000,635,836,236,54,6073,6,5,10,6,3,3,0,35,35,35,21,13,24,9,3,130,7,17,8,10,9,9,0,63,219,384,220,174,214,51,6,1262,10,15,14,6,3,0,0,51,270,459,267,212,262,71,15,1545,1836,2202,1274,843,1098,303,64,7624
SOSR231,835,937,623,421,558,239,86,3701,810,1052,735,477,680,244,96,4094,949,1064,685,456,668,210,83,4113,14193,18054,11302,7441,10243,2957,906,65098,109,116,84,79,48,12,3,445,16894,21226,13434,8865,12192,3655,1172,77446,35,63,51,40,64,31,13,293,128,207,137,95,130,45,19,761,63,131,83,54,93,33,14,468,1534,2178,1584,1118,1558,382,141,8506,81,88,60,54,45,8,0,338,1841,2673,1913,1356,1888,502,186,10361,18738,23895,15348,10227,14079,4158,1365,87806
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,30026,28894,15996,10038,13756,6903,3438,109042,11223,10710,5620,3394,4200,1731,694,37575,10732,9779,4868,2919,3808,1546,664,34320,55582,55395,30488,18783,24360,9741,4087,198431,566,533,290,180,169,52,18,1801,108127,105307,57259,35321,46297,19973,8889,381166,3038,4381,3244,2367,3395,1815,952,19184,2269,3061,1932,1210,1611,526,275,10877,1416,2185,1410,935,1287,471,257,7969,10994,15232,9523,6339,8023,2503,1169,53785,705,735,421,243,255,63,30,2459,18420,25587,16534,11095,14574,5381,2687,94280,126548,130897,73793,46411,60871,25348,11577,475445
SOSR302,5866,6200,3622,2447,3289,1339,590,23347,3098,2823,1476,918,1200,379,139,10039,3088,2896,1455,857,1068,390,157,9916,12945,12717,7049,4283,5670,1774,722,45169,129,103,73,50,54,12,4,413,25133,24745,13670,8553,11280,3887,1614,88890,591,1093,835,659,977,366,217,4730,713,1009,563,389,508,150,68,3401,465,729,483,339,456,144,71,2690,2522,3696,2325,1637,2127,561,278,13144,157,182,103,63,56,11,3,570,4457,6714,4293,3089,4120,1229,635,24535,29585,31453,17964,11638,15406,5120,2252,113424
SOSR303,4649,4733,2876,1897,2483,720,291,17646,2431,2610,1510,914,1178,232,95,8967,2947,2788,1554,897,1179,244,99,9703,19712,20490,11404,7188,9068,1944,750,70561,158,151,84,58,46,10,9,510,29897,30766,17437,10956,13954,3138,1239,107391,448,777,588,461,686,220,117,3298,563,971,528,438,541,112,35,3187,397,785,462,336,508,82,48,2622,4942,7185,4472,3070,3734,649,297,24342,207,215,119,103,93,12,3,753,6553,9935,6173,4404,5566,1075,503,34202,36450,40698,23609,15359,19518,4220,1743,141598
SOSR311,1113,1138,723,448,604,134,48,4212,594,556,354,217,307,49,17,2091,700,665,356,216,276,35,18,2267,7942,8281,4579,2954,3740,540,138,28177,63,38,35,21,23,3,0,183,10407,10674,6040,3862,4951,768,222,36926,67,91,92,80,110,20,10,475,209,256,147,111,150,23,3,899,120,206,133,88,120,21,6,688,2590,3443,2130,1314,1567,187,62,11295,105,104,57,27,35,3,0,325,3085,4099,2562,1622,1975,253,89,13687,13497,14781,8602,5486,6932,1017,307,50613
SOSR312,384,409,208,121,158,20,5,1304,133,159,69,53,65,8,0,489,174,165,94,45,76,4,0,556,2059,1909,1101,756,857,58,29,6765,13,19,8,10,3,0,0,59,2772,2668,1486,978,1152,91,34,9177,27,49,23,17,25,0,4,139,52,54,21,24,36,0,0,185,27,35,23,20,25,3,0,136,636,776,434,308,363,29,8,2550,33,28,17,14,9,0,0,108,776,942,515,379,457,29,10,3127,3546,3609,2001,1361,1614,122,47,12301
SOSR313,664,746,434,306,396,66,15,2629,448,450,267,164,190,27,8,1551,531,463,220,147,182,23,11,1589,6082,5975,3331,2031,2424,256,91,20185,56,40,25,15,13,0,0,145,7785,7682,4282,2661,3204,365,128,26105,56,83,69,49,78,15,5,356,121,180,115,82,87,5,4,604,88,140,95,72,78,16,3,496,1842,2263,1416,905,986,96,39,7544,72,72,44,29,24,5,0,244,2179,2736,1743,1140,1256,142,57,9246,9959,10411,6026,3802,4458,505,189,35352
SOSR314,770,879,514,368,423,73,27,3056,481,530,285,173,230,24,13,1738,644,609,330,190,225,24,20,2033,6140,6471,3515,2109,2502,290,87,21123,42,42,34,24,19,0,3,176,8069,8529,4687,2865,3402,421,145,28121,47,121,91,66,83,10,3,422,101,145,107,54,76,20,4,509,97,157,81,52,78,17,3,488,1473,2057,1198,844,865,78,40,6554,73,82,47,30,15,3,0,249,1796,2558,1525,1045,1112,125,56,8221,9869,11084,6207,3908,4513,555,199,36337
SOSR315,695,881,564,356,407,77,30,3012,672,753,448,278,295,62,11,2517,766,779,415,254,301,54,17,2593,9776,10354,5516,3323,3691,474,167,33300,57,80,42,37,26,3,0,240,11963,12848,6990,4240,4722,660,229,41663,66,107,80,78,87,15,4,447,191,260,177,125,137,8,8,913,104,194,121,85,147,14,0,665,2738,3549,2118,1375,1426,149,39,11397,133,138,67,42,42,6,0,418,3240,4248,2564,1706,1836,194,56,13846,15206,17100,9558,5951,6558,857,286,55509
SOSR321,177,277,156,117,170,39,19,959,268,291,179,82,148,28,9,1000,278,271,162,106,110,21,5,946,3502,4045,2220,1334,1569,163,61,12892,32,28,25,9,12,0,0,108,4261,4908,2744,1647,2001,254,93,15907,20,21,29,17,30,5,0,122,63,72,59,47,40,4,0,280,37,75,35,35,35,4,0,224,1034,1340,763,493,478,42,16,4164,44,47,36,22,9,0,0,163,1202,1543,920,606,589,60,24,4952,5455,6452,3666,2252,2591,317,118,20857
SOSR322,50,61,52,34,35,0,4,228,69,70,42,35,37,9,0,262,115,120,53,30,34,3,3,357,1464,1772,942,505,571,54,13,5314,6,15,11,11,4,0,0,50,1700,2047,1102,604,678,61,26,6218,7,20,18,9,10,3,0,58,40,43,24,15,32,0,0,155,13,22,19,10,13,0,0,81,546,618,364,188,200,16,8,1948,29,30,16,8,9,0,0,84,632,735,438,228,258,20,13,2325,2334,2780,1533,831,939,81,40,8548
SOSR331,695,1147,888,574,787,209,105,4401,862,1196,815,526,647,144,51,4251,1204,1449,839,515,717,136,55,4918,14659,18334,11575,7031,8508,1265,471,61850,112,126,102,69,60,6,3,481,17541,22254,14214,8717,10720,1753,692,75896,46,106,98,75,100,26,6,462,204,283,176,132,162,23,15,995,124,203,139,95,167,29,9,765,2157,3154,2099,1397,1626,193,90,10716,90,110,69,52,45,3,0,376,2615,3858,2584,1753,2104,276,121,13309,20161,26115,16797,10465,12824,2031,811,89206
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,15458,13452,7333,4536,6572,4186,2234,53769,4001,3948,2327,1631,2264,1184,687,16034,4061,3570,1938,1223,1775,955,552,14073,31285,30302,16313,10249,13951,6483,3161,111754,240,252,133,87,77,24,10,827,55041,51518,28049,17731,24642,12836,6637,196459,1353,1842,1362,1073,1731,1130,670,9165,952,1245,833,626,989,440,256,5346,498,821,526,413,729,347,204,3538,6604,9070,5529,3887,5206,1987,996,33281,381,383,257,156,134,51,23,1381,9785,13361,8505,6158,8798,3958,2151,52713,64830,64879,36554,23884,33441,16792,8791,249171
SOSR412,254,269,180,134,205,70,17,1132,150,183,117,80,121,55,11,726,148,154,85,62,114,36,8,610,2631,2705,1500,957,1205,269,71,9344,22,14,12,14,3,3,0,66,3208,3328,1900,1250,1654,432,112,11883,29,35,48,27,41,16,5,201,42,69,56,30,57,11,7,276,14,36,39,37,54,23,4,209,894,1020,625,435,550,100,39,3655,34,44,26,9,14,0,3,138,1021,1209,784,537,716,150,55,4473,4237,4538,2682,1793,2363,573,165,16358
SOSR413,349,357,235,156,248,103,51,1491,234,286,163,87,159,52,24,1005,281,266,140,97,126,30,27,962,3531,3703,2055,1257,1663,404,161,12768,36,17,15,5,13,4,0,88,4420,4624,2611,1606,2208,589,263,16321,39,48,29,29,41,21,13,215,51,100,57,41,76,15,14,352,24,56,55,41,68,15,0,257,912,1262,790,551,732,155,53,4461,55,55,44,14,13,3,0,186,1077,1526,983,680,920,208,75,5471,5499,6152,3596,2281,3124,805,339,21794
SOSR414,60,90,43,19,27,13,0,254,38,52,31,24,31,8,0,181,61,59,28,21,14,4,3,186,763,826,449,256,342,79,20,2735,9,9,5,6,0,0,0,33,937,1035,559,326,415,101,17,3390,5,16,7,8,6,0,0,45,3,12,14,11,12,6,0,47,11,7,7,3,12,3,0,36,128,221,170,126,166,38,14,867,3,11,3,3,3,0,0,23,148,266,195,153,197,45,12,1017,1086,1300,751,474,609,148,36,4406
SOSR415,264,278,198,154,172,67,24,1156,217,270,161,109,166,41,12,974,245,266,133,90,143,31,11,914,4155,4085,2183,1443,1871,370,107,14213,24,16,15,11,17,0,0,81,4895,4918,2686,1809,2374,512,154,17341,12,39,42,19,36,7,7,160,54,71,54,56,74,19,6,335,32,48,53,35,38,18,10,237,767,1211,783,533,694,108,26,4120,28,64,36,21,15,4,0,166,897,1425,967,650,859,157,52,5013,5792,6340,3647,2459,3229,670,206,22356
SOSR421,58,86,48,33,51,27,3,294,75,81,35,26,52,14,4,281,54,53,42,27,28,11,9,221,1302,1269,698,443,570,120,45,4435,8,9,4,7,4,0,0,33,1492,1499,821,531,701,165,58,5268,0,0,4,10,9,3,0,30,26,24,15,12,13,7,0,96,3,11,14,8,12,4,0,58,197,275,205,153,175,33,7,1046,18,14,9,4,3,0,0,59,238,328,250,193,217,54,6,1282,1730,1820,1073,724,916,219,65,6548
