SOSR_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SOSR214,252,345,594,208,253,455,276,1078,1362,321,1994,2322,1398,4304,5704,1343,2132,3472,3969,1600,5572,2907,1567,4474,3521,1328,4851,3246,763,4008,2410,600,3008,2255,392,2651,3642,416,4061,2201,83,2285,1212,28,1234,664,189,856,1154,28,1179,3348,225,3570,794,1376,2171,35117,18702,53821
SOSR215,406,639,1044,313,425,747,467,1577,2043,500,2784,3275,1978,6283,8254,1898,2857,4754,5596,2255,7848,4236,2358,6592,5428,2143,7571,5107,1252,6362,3738,878,4611,3740,572,4312,6378,690,7066,3811,85,3897,1954,24,1977,1198,284,1484,2008,39,2042,5380,304,5685,1155,1811,2966,55280,27267,82548
SOSR221,114,220,335,91,104,192,114,493,606,156,767,922,641,1883,2528,553,745,1292,1800,649,2454,1275,724,1995,1542,588,2127,1470,303,1776,1072,224,1296,990,135,1125,1608,178,1787,998,21,1026,498,3,502,290,75,365,497,11,506,1561,90,1651,365,509,872,15635,7731,23363
SOSR222,94,111,204,60,68,129,97,348,440,75,457,525,372,1045,1420,367,415,780,1015,374,1387,757,435,1189,985,377,1366,908,198,1104,686,143,823,656,92,744,1056,100,1157,635,10,639,323,10,326,175,77,255,292,11,301,1019,56,1076,206,310,521,9761,4633,14393
SOSR231,1238,1100,2337,874,635,1510,894,2094,2988,617,2953,3563,3332,5749,9077,2820,2935,5756,8244,2785,11027,7172,3054,10227,9694,2720,12415,9608,1729,11335,6757,1281,8030,7489,844,8331,12902,1056,13964,8321,124,8447,4948,54,5001,3136,624,3765,7029,65,7090,12394,413,12800,2181,1834,4011,109645,32059,141696
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,4244,5610,9848,1986,2229,4213,3148,8042,11189,3005,12867,15870,10322,27886,38208,12313,16442,28748,29836,14129,43968,27865,16970,44837,38303,18824,57126,39086,14180,53262,33262,12203,45466,34255,8761,43020,69295,13413,82710,49671,3064,52735,33250,1719,34972,24060,5190,29254,51426,1577,53001,46843,7277,54122,5740,7278,13018,517911,197658,715565
SOSR302,1374,1675,3050,587,663,1249,839,2337,3176,817,3805,4622,3214,8746,11961,3814,5234,9042,9651,4674,14323,8442,5277,13716,11658,5340,16997,11768,3553,15327,9462,2851,12317,9782,2052,11832,18112,2820,20934,12017,700,12717,7319,333,7646,4809,1218,6030,9451,304,9757,12663,2022,14687,1826,2556,4380,137605,56151,193760
SOSR303,1314,1668,2987,723,787,1508,1131,3402,4530,1151,5500,6657,4236,12142,16381,5059,7291,12348,12741,6307,19049,11125,6847,17965,14587,6726,21310,14615,4709,19322,11613,3679,15295,11315,2578,13888,21323,3397,24723,13987,694,14678,8236,368,8602,5278,1263,6538,9496,343,9835,17183,2289,19478,2254,3245,5499,167357,73241,240599
SOSR311,466,591,1053,298,361,662,532,1590,2128,528,2616,3146,2089,5795,7883,2284,2786,5066,6425,2135,8558,4604,2258,6867,5514,2197,7706,5131,1404,6535,3877,1034,4907,3752,702,4456,6871,1044,7917,4281,185,4469,2671,84,2753,1567,360,1933,2856,102,2960,6616,566,7185,1097,1548,2650,61472,27362,88835
SOSR312,126,169,295,91,80,168,126,409,537,129,631,762,552,1273,1821,547,523,1070,1356,456,1811,1068,473,1539,1166,488,1652,1082,352,1439,785,279,1063,768,223,993,1628,329,1952,1052,40,1096,655,25,680,547,175,724,902,29,929,1378,139,1515,244,338,587,14199,6432,20639
SOSR313,292,358,651,213,216,426,299,910,1207,351,1550,1898,1279,3771,5054,1490,1890,3379,4241,1476,5714,2993,1446,4434,3712,1409,5120,3534,899,4430,2607,725,3335,2636,575,3209,4697,893,5592,3013,123,3137,1880,59,1937,1170,313,1482,2036,94,2132,4080,359,4440,699,1009,1703,41220,18066,59285
SOSR314,279,344,627,187,188,380,246,798,1044,316,1411,1727,1136,2991,4125,1192,1466,2656,3421,1291,4718,2581,1378,3960,3240,1275,4512,3263,848,4107,2569,623,3194,2609,468,3079,5040,812,5851,3235,126,3366,2007,88,2092,1306,280,1585,2247,101,2347,4126,351,4478,700,865,1560,39706,15710,55417
SOSR315,473,550,1024,321,316,633,470,1370,1840,563,2260,2820,2247,5288,7537,2230,2285,4507,6315,1904,8216,4536,2162,6696,5472,1946,7417,5390,1234,6627,3990,980,4967,4071,680,4752,7175,992,8166,4402,155,4557,2519,72,2597,1620,326,1946,2619,79,2700,6331,478,6811,1156,1445,2603,61885,24532,86419
SOSR321,203,263,464,163,160,324,258,700,956,222,988,1206,1030,2230,3255,947,926,1871,2744,795,3539,1948,846,2795,2289,797,3084,2222,467,2684,1555,321,1871,1511,229,1742,2682,332,3016,1691,43,1731,979,23,1002,576,145,724,943,16,954,2821,194,3007,510,566,1081,25280,10026,35309
SOSR322,111,133,243,79,71,152,132,380,509,111,552,667,491,1310,1798,435,432,862,1396,448,1846,905,473,1379,1114,378,1495,983,262,1250,691,159,848,651,127,775,1076,185,1265,635,19,658,347,7,350,171,59,232,378,17,389,1288,97,1389,281,375,653,11286,5473,16758
SOSR331,1359,1080,2439,859,627,1484,909,2278,3187,695,2748,3442,3706,6209,9912,3039,2764,5800,9244,2559,11808,7151,3046,10193,9584,2755,12337,9183,1666,10849,6661,1189,7850,7229,865,8091,12579,1098,13677,8449,172,8620,5111,64,5181,3326,592,3918,7062,104,7164,13468,587,14053,2325,1923,4250,111931,32318,144249
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,2630,4041,6669,1464,2015,3481,2375,8624,10999,2270,13049,15320,8576,25360,33939,9578,13348,22926,24379,11499,35880,21003,13184,34189,26976,13110,40079,25731,8387,34117,20366,6892,27253,19882,4806,24682,37504,5949,43451,25015,907,25926,15336,528,15863,9438,2344,11784,19181,417,19599,27276,3163,30435,3561,5683,9249,302544,143295,445836
SOSR412,85,180,269,87,147,238,205,785,985,221,1118,1343,748,2039,2785,788,922,1709,1951,746,2693,1425,836,2261,1704,731,2440,1572,478,2045,1327,380,1706,1340,262,1598,2304,280,2580,1480,20,1501,803,20,829,459,101,559,689,16,705,1777,109,1892,329,530,859,19275,9712,28988
SOSR413,167,257,426,135,155,293,220,876,1092,265,1391,1658,998,2819,3818,1006,1421,2424,2926,1118,4042,2153,1064,3219,2686,937,3620,2319,582,2904,1676,418,2098,1685,330,2011,2920,343,3266,1890,53,1939,1057,31,1089,679,147,833,1332,15,1352,2765,158,2925,477,714,1192,27345,12844,40190
SOSR414,36,45,83,47,41,89,42,195,232,46,318,366,241,816,1062,237,405,644,870,315,1183,640,294,928,697,242,941,656,141,803,457,112,573,413,54,466,673,71,741,338,18,358,180,14,192,73,19,91,131,7,141,591,34,623,100,176,272,6476,3306,9781
SOSR415,148,237,385,162,167,332,221,877,1092,249,1438,1684,1038,3346,4389,1014,1442,2461,3314,1109,4419,2244,1197,3444,2892,1038,3934,2659,632,3286,1848,432,2285,1854,322,2183,3281,405,3681,2017,49,2066,1098,23,1120,590,163,752,1000,25,1024,2753,149,2903,481,845,1320,28853,13895,42751
SOSR421,56,80,132,50,67,121,63,249,306,66,422,491,337,1009,1342,323,393,720,985,383,1369,669,329,996,830,335,1172,814,197,1013,595,132,730,623,83,703,945,90,1038,566,19,585,309,3,313,163,47,210,277,6,278,891,49,936,150,240,387,8707,4140,12851
SOSR422,50,55,100,42,46,85,59,199,258,58,292,356,259,645,897,206,259,461,650,210,866,453,230,688,566,195,758,544,122,665,311,76,395,315,63,377,503,91,592,263,7,268,155,3,159,71,35,103,121,3,127,581,27,608,118,155,273,5325,2708,8031
SOSR431,351,372,723,259,228,485,299,884,1180,212,1101,1317,1227,2319,3547,1048,1081,2129,3093,1058,4150,2663,1192,3858,3540,1083,4623,3556,627,4179,2439,454,2896,2704,298,2997,4445,385,4829,2791,48,2837,1676,11,1689,998,227,1226,2152,15,2162,4225,149,4373,623,547,1165,38283,12080,50362
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,4785,5726,10512,2205,2468,4678,3574,8733,12305,3113,12769,15883,10357,25894,36254,11063,14098,25163,27163,11729,38891,23427,14229,37656,32374,16609,48986,31859,12785,44641,27939,11083,39022,28908,8691,37592,62080,13686,75768,44724,2158,46880,30342,1367,31701,25138,5993,31129,55470,1603,57074,56051,6112,62166,5508,6972,12480,486080,182704,668779
SOSR511,133,160,291,83,75,164,127,349,475,157,578,733,494,1159,1654,553,613,1162,1407,494,1898,1076,582,1657,1308,554,1861,1361,399,1756,1186,330,1519,1230,245,1467,2399,408,2806,1677,63,1736,1052,35,1086,667,162,828,1189,37,1226,2298,172,2470,249,326,579,18636,6736,25377
SOSR512,231,269,505,133,165,297,225,625,846,259,1106,1368,715,2040,2757,835,1084,1924,2233,904,3137,1565,886,2448,2164,1041,3203,2103,696,2795,1789,630,2415,1883,530,2421,3608,764,4373,2526,107,2630,1725,56,1779,1148,264,1413,2079,86,2167,3561,302,3866,499,648,1149,29285,12197,41485
SOSR513,68,104,165,39,51,94,61,168,227,86,268,351,188,389,574,199,217,415,381,251,634,333,288,621,499,391,890,524,354,879,517,358,875,637,350,985,1622,652,2268,1272,70,1345,983,48,1031,1023,327,1351,2199,110,2305,1525,165,1690,217,234,457,12363,4809,17170
SOSR514,72,94,162,44,41,83,85,179,267,93,267,362,261,627,888,333,290,622,666,214,880,536,261,798,694,295,990,649,187,828,506,141,650,586,113,696,1121,210,1332,718,30,745,451,20,465,298,71,375,486,16,501,1204,108,1310,134,155,293,8936,3306,12246
SOSR515,153,245,396,111,127,237,164,507,669,176,775,953,664,1570,2237,613,703,1310,1757,643,2398,1172,702,1878,1455,674,2135,1403,535,1939,1122,483,1603,1203,396,1603,2552,756,3304,1702,64,1769,1123,39,1170,793,262,1051,1535,43,1574,2713,187,2899,419,529,941,20819,9244,30056
SOSR521,98,124,219,60,84,141,107,343,447,101,424,519,412,937,1347,344,358,702,996,316,1305,709,369,1077,783,381,1162,786,236,1024,605,229,839,636,193,838,1222,327,1545,794,33,823,452,15,465,382,117,494,618,16,636,1434,88,1521,250,323,575,10776,4901,15673
SOSR522,29,60,90,45,36,79,64,153,220,74,205,283,201,424,626,195,181,376,464,160,622,349,186,536,386,186,572,358,137,492,270,113,384,277,80,363,443,148,584,273,6,283,164,4,173,105,42,142,209,3,216,617,34,648,130,124,251,4650,2291,6944
SOSR531,482,446,926,283,207,488,331,640,972,225,877,1099,1168,1573,2745,913,910,1818,2382,844,3221,2140,982,3125,2789,985,3770,2766,652,3412,2043,513,2554,2373,389,2760,4414,547,4964,3030,54,3088,1965,34,2000,1494,285,1778,3376,36,3417,5425,200,5625,733,537,1273,38326,10710,49039
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,278,461,739,145,302,451,345,1272,1616,400,2119,2525,1239,4317,5564,1568,2473,4045,3526,2026,5551,3230,2196,5423,4076,2275,6350,3941,1460,5403,3090,1180,4274,2958,813,3770,5671,921,6590,3659,152,3811,2275,80,2356,1490,339,1832,2741,49,2791,4065,606,4668,548,1062,1612,45248,24109,69360
SOSR611,107,228,338,66,127,192,199,797,992,216,1024,1242,652,2192,2842,776,1137,1914,1890,947,2838,1437,978,2416,1846,874,2716,1729,542,2270,1323,424,1754,1226,271,1500,2151,295,2446,1298,42,1337,702,22,720,416,111,520,767,24,787,1635,231,1863,289,489,777,18710,10759,29465
SOSR612,36,52,83,22,39,59,52,228,283,56,402,460,282,835,1120,296,392,690,758,260,1016,543,280,823,676,248,923,583,138,724,408,97,509,339,76,412,564,49,607,300,3,300,172,0,174,94,29,127,136,6,142,539,36,575,100,191,287,5941,3363,9308
SOSR613,49,64,110,37,56,97,69,311,378,111,514,627,380,1172,1552,356,503,858,1060,384,1451,731,352,1082,879,320,1199,771,158,928,538,123,663,525,107,634,819,85,902,479,17,501,228,4,231,125,39,167,207,4,210,732,59,789,156,277,432,8258,4554,12810
SOSR614,14,28,43,18,23,36,32,119,145,30,218,248,129,434,566,145,174,323,410,117,527,299,112,407,316,90,401,279,48,329,191,31,217,162,23,182,280,21,299,144,3,145,74,0,74,29,13,43,54,0,54,261,14,277,60,94,156,2915,1562,4479
SOSR615,83,139,219,86,100,187,141,538,675,177,872,1053,675,2090,2764,690,814,1508,2101,609,2708,1334,705,2037,1640,528,2173,1588,338,1920,1087,228,1314,1064,139,1199,1709,142,1854,911,15,923,465,7,469,233,72,308,329,8,338,1446,93,1538,309,444,752,16062,7875,23936
SOSR621,39,53,88,24,17,42,38,148,179,45,265,310,208,580,782,208,219,426,570,187,761,402,215,614,492,174,663,468,95,564,342,99,444,313,71,390,542,70,607,319,6,328,186,7,190,112,28,135,177,7,187,545,33,575,107,142,249,5140,2397,7537
SOSR622,27,32,64,13,21,35,21,123,141,16,187,205,142,408,545,152,145,299,391,120,513,281,136,413,351,110,466,282,51,331,215,44,257,216,38,255,273,28,303,188,4,195,72,0,72,46,16,59,69,0,69,356,15,371,58,85,143,3184,1565,4748
SOSR631,204,219,422,169,136,308,213,726,943,180,901,1084,991,1856,2850,926,854,1784,2661,772,3429,2071,862,2929,2602,713,3314,2504,389,2888,1867,306,2172,1836,179,2012,3058,207,3266,1848,34,1882,1010,6,1019,578,100,675,1034,9,1046,2952,130,3081,405,421,823,27112,8816,35932
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,133,198,335,65,82,146,119,263,383,133,582,714,349,672,1025,365,435,803,673,477,1156,742,689,1432,1171,960,2136,1339,895,2237,1365,808,2173,1571,741,2309,3787,1231,5017,2989,265,3252,2361,205,2564,2082,599,2682,4428,328,4755,3089,544,3628,364,399,759,27131,10379,37506
SOSR712,29,54,84,16,25,35,26,71,96,23,138,167,87,162,246,69,144,213,144,155,299,158,207,367,235,256,494,267,229,498,283,210,492,339,172,513,800,238,1040,644,48,689,420,34,447,339,88,418,563,40,607,704,115,820,83,114,202,5223,2501,7725
SOSR714,4,10,16,6,11,20,11,13,24,10,49,62,23,36,61,21,24,47,50,37,87,51,37,90,58,46,108,88,65,149,71,41,111,74,46,118,178,57,230,147,6,158,93,4,100,53,11,68,77,8,84,181,18,199,29,36,66,1227,565,1785
SOSR715,9,6,21,31,15,47,78,30,110,30,29,56,106,24,131,104,22,127,129,33,162,180,61,243,202,74,284,189,67,263,148,81,231,157,73,227,284,111,388,231,7,245,150,11,159,96,21,114,190,5,199,414,16,425,95,58,151,2813,758,3577
SOSR721,12,12,24,14,4,12,46,36,77,20,26,48,82,33,120,65,30,93,102,80,180,135,87,224,131,109,243,136,98,236,111,66,175,111,79,193,227,91,319,157,11,161,131,5,138,80,24,109,173,7,178,280,14,292,290,35,323,2310,835,3141
SOSR722,9,17,21,37,15,44,69,64,130,29,50,76,117,52,176,89,27,120,152,32,183,160,40,197,188,67,249,169,64,229,120,34,153,107,46,149,165,54,218,98,0,102,53,0,58,31,9,38,59,4,61,272,10,277,61,52,110,1968,630,2597
SOSR731,53,71,125,42,32,73,69,115,182,35,145,180,221,177,399,120,114,234,282,131,414,301,171,475,365,172,539,404,170,580,291,123,417,324,93,418,813,147,968,612,25,640,519,17,532,368,66,432,844,19,868,852,58,910,208,124,336,6723,2000,8721
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,493,918,1410,239,453,694,449,1380,1824,457,2212,2667,1231,3521,4753,1377,2464,3838,2867,2515,5383,3204,3149,6353,4952,4015,8969,5580,3862,9448,5225,3760,8988,5508,2650,8155,13161,5447,18610,11324,759,12084,9097,450,9550,7615,1822,9433,17508,493,18003,9086,1379,10464,677,1045,1723,100059,42291,142353
SOSR822,0,0,0,0,0,0,0,0,0,0,3,3,0,6,7,0,3,3,3,0,3,3,0,3,3,3,7,4,0,4,3,0,3,3,3,10,5,0,10,9,0,9,3,0,3,4,0,4,20,0,20,14,0,11,0,0,3,78,24,99
