UCL_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
UCL121065,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,5,10,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,9,0,0,0,6,3,0,0,0,0,12,0,3,0,12,5,3,0,0,0,32,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,32,4,23,16,11,0,4,4,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,3,13,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
UCL121066,3,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,19,0,6,4,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,3,6,0,0,3,0,0,0,0,11,7,0,3,8,5,0,0,0,0,20,4,3,4,15,13,5,0,0,0,57,0,0,0,0,3,0,0,0,0,9,0,0,0,0,5,4,0,0,0,14,0,0,0,3,0,0,0,0,0,3,3,0,0,3,3,0,0,0,0,7,27,46,12,35,41,14,4,8,3,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,6,30,0,12,6,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0
UCL121067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,3,6,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,7,0,3,3,0,0,0,0,17,0,0,3,0,9,0,0,0,0,19,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,39,3,6,27,5,0,3,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,33,0,5,7,3,0,0,0,55,0,0,0,0,0,0,0,0,0,0
UCL121068,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,23,0,3,3,3,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,3,3,0,6,3,0,0,0,0,12,0,3,0,5,3,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41,3,19,17,8,0,0,0,106,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,6,8,4,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,31,0,6,6,3,0,0,0,71,0,0,0,0,0,0,0,0,0,0
UCL121069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,8,5,4,0,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,7,9,14,10,6,0,4,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
UCL121070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,9,0,4,3,7,0,0,0,3,0,23,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,16,4,20,7,3,0,3,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
UCL121071,0,3,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,6,19,7,6,3,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,14,0,4,0,6,0,0,0,0,0,13,0,3,3,5,5,3,0,3,0,20,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,35,16,21,13,6,0,9,0,113,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9,3,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,10,28,9,5,5,3,0,3,0,69,0,0,0,0,0,0,0,0,0,0
UCL121072,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,8,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,0,10,18,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,21,0,0,3,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
UCL121073,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,0,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,6,0,3,0,3,0,0,0,3,0,8,3,0,4,12,10,3,0,3,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,18,7,29,16,6,5,10,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,18,0,9,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
UCL121074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,5,0,4,0,0,0,10,0,4,6,3,3,0,0,3,0,23,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,6,19,12,19,11,5,0,7,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,0,0,0,3,0,25,0,0,0,0,0,0,0,0,0,0
UCL121075,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,23,3,3,7,3,0,3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,5,0,3,9,5,8,0,0,0,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,42,16,16,25,6,0,4,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,4,3,34,3,3,11,3,0,8,0,61,0,0,0,0,0,0,0,0,0,0
UCL121076,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,9,0,0,0,3,3,0,0,0,0,15,0,4,12,11,3,3,5,0,0,39,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,24,8,20,13,7,5,4,4,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,20,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
UCL121077,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,18,0,4,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,7,0,0,0,3,3,0,0,0,0,7,0,0,3,4,4,3,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,28,5,10,13,9,0,4,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,26,0,4,3,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
UCL121078,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,29,3,3,3,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,11,4,3,0,9,12,3,0,0,0,22,3,7,7,8,5,9,0,0,0,34,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,49,10,27,28,14,0,3,3,137,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,14,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,48,8,3,3,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0
UCL121079,0,3,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,21,0,0,4,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,3,0,3,7,0,0,0,0,10,0,3,0,3,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,40,0,12,18,3,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,7,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,7,32,0,0,4,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
UCL121080,0,6,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,26,3,5,6,3,0,0,0,48,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,16,0,3,0,3,5,0,0,0,0,12,3,4,3,12,5,3,0,0,0,37,0,0,0,0,3,0,0,0,0,3,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,15,47,9,39,28,8,0,4,3,150,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,7,10,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,14,41,3,7,7,4,0,0,0,73,0,0,0,0,0,0,0,0,0,0
UCL121081,0,0,0,3,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,3,6,19,0,11,3,6,0,0,0,55,0,0,0,0,0,0,0,0,0,0,3,7,0,3,3,0,0,0,0,14,0,3,0,3,0,0,0,0,0,7,0,3,4,4,11,3,0,3,0,32,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,0,0,0,0,5,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,17,51,10,29,21,15,0,3,0,142,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,12,3,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,0,16,36,3,9,4,5,0,0,0,81,0,0,0,0,0,0,0,0,0,0
UCL121082,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,13,0,4,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,13,0,3,0,4,3,0,0,0,0,18,0,0,3,3,12,4,0,0,0,17,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,16,33,4,12,30,6,0,3,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,12,24,0,3,3,3,0,0,0,52,0,0,0,0,0,0,0,0,0,0
UCL121083,0,3,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,13,33,0,4,9,3,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,7,0,3,0,3,6,0,0,0,0,15,3,0,3,4,11,3,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,61,4,14,34,12,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,10,11,0,0,0,0,0,0,0,24,0,3,0,0,0,0,0,0,0,3,0,4,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,22,57,0,4,8,3,0,0,0,108,0,0,0,0,0,0,0,0,0,0
UCL121084,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,16,0,3,0,3,0,0,3,4,0,11,3,9,11,10,0,0,0,0,0,31,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,23,13,19,8,9,7,11,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
UCL121085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,12,0,0,0,4,3,0,0,0,0,6,0,3,0,10,5,0,0,0,0,18,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,18,16,3,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
UCL121086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,10,3,0,0,4,3,0,0,0,0,9,0,3,8,9,6,7,0,0,0,39,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,9,18,9,17,15,12,3,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
UCL121087,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,23,0,0,3,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,5,0,0,0,18,4,0,0,5,5,0,0,0,0,15,0,0,3,6,7,0,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,49,4,18,21,11,4,4,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,9,32,0,11,4,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0
UCL121088,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,11,0,3,7,3,9,3,0,3,0,36,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,26,11,9,15,9,0,7,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,22,0,0,4,0,0,3,0,26,0,0,0,0,0,0,0,0,0,0
UCL121089,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,3,4,0,0,7,0,0,0,0,13,3,4,0,13,4,0,0,0,0,23,0,0,3,9,11,3,0,4,0,35,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,13,43,3,29,22,3,0,3,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,31,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,3
