UCL_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
UCL115130,8,0,0,0,8,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,19,3,3,0,25,0,0,0,24,5,0,26,4,3,0,0,9,0,0,0,9,0,0,9,7,4,0,0,12,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,18,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,18,0,0,0,18,0,0,18,6,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,7,0,0,19,0,0,0,23,0,0,23,6,0,0,0,6,0,0,0,6,3,0,9,9,0,0,0,12,0,0,0,10,0,0,10
UCL115131,11,0,0,0,11,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,48,11,0,6,70,0,0,0,68,7,0,76,21,3,0,0,21,0,0,0,21,0,0,21,19,0,0,0,20,0,0,0,20,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4,0,3,42,0,0,0,42,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4,0,3,43,0,0,0,43,3,0,44,3,4,0,0,11,0,0,0,11,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,40,6,0,6,54,0,0,0,54,7,0,60,14,6,0,3,23,0,0,0,23,0,0,21,22,3,0,0,27,0,0,0,27,3,0,34
UCL115132,4,0,0,0,4,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,28,12,0,0,47,0,0,0,48,6,0,51,9,0,0,0,15,0,0,0,15,3,0,13,7,0,0,0,12,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,21,0,0,0,23,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,25,0,0,0,25,3,0,31,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,29,0,0,0,30,3,0,32,7,0,0,0,7,0,0,0,7,6,0,12,13,3,0,0,18,0,0,0,18,3,0,19
UCL115133,13,0,0,0,13,3,0,22,0,0,0,0,0,0,0,0,0,0,0,3,66,8,0,0,71,0,0,0,70,5,0,78,11,4,0,0,17,0,0,0,17,3,0,16,15,0,0,0,15,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,0,34,0,0,0,34,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,0,34,0,0,0,34,4,0,32,3,0,0,0,7,0,0,0,7,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,0,32,0,0,0,32,9,0,42,15,0,0,0,10,0,0,0,10,0,0,18,22,0,0,0,27,0,0,0,27,0,0,27
UCL115134,25,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,83,4,0,3,88,0,0,0,88,3,0,94,10,0,0,0,12,0,0,0,12,0,0,15,27,0,0,0,24,0,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,4,46,0,0,0,46,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,4,46,0,0,0,46,0,0,43,5,3,0,0,9,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,42,8,0,4,52,0,0,0,55,0,0,58,21,0,3,0,25,0,0,0,25,0,0,25,23,0,0,0,30,0,0,0,30,0,0,26
UCL115135,5,0,0,0,5,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,37,0,0,0,37,3,0,38,7,0,0,0,7,0,0,0,7,0,0,7,11,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,18,0,0,0,18,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,18,0,0,0,18,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,16,0,0,0,19,0,0,16,6,0,3,0,11,0,0,0,11,0,0,11,8,0,0,0,14,0,0,0,14,0,0,14
UCL115136,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,16,0,0,0,16,0,0,16,3,0,0,0,3,0,0,0,3,0,0,4,3,4,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,13,0,0,0,13,3,0,15,3,0,0,0,3,0,0,0,3,0,0,4,4,0,0,0,6,0,0,0,6,0,0,6
UCL115137,8,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,34,0,0,0,40,0,0,39,3,0,0,0,3,0,0,0,3,0,0,6,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,17,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,18,0,0,0,18,0,0,14,3,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16,0,0,0,16,0,0,19,12,0,0,0,12,0,0,0,12,0,0,12,8,0,0,0,8,0,0,0,8,0,0,8
UCL115138,0,3,0,3,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,0,22,3,0,3,24,3,0,27,3,0,0,0,3,0,0,0,3,0,0,3,3,5,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,15,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,3,0,0,0,3,0,0,3,7,5,0,0,17,0,0,0,17,0,0,17,3,0,0,0,3,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,21,0,0,0,21,0,0,21,5,0,0,0,11,0,0,0,11,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4
UCL115139,9,0,0,0,9,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,32,4,0,0,42,0,0,0,40,0,0,43,3,0,0,0,3,0,0,0,9,0,0,5,11,3,0,0,12,0,0,0,13,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,16,3,0,3,15,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,16,3,0,3,15,0,0,22,0,0,0,0,7,0,0,0,5,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,20,3,0,4,25,6,0,30,17,3,0,0,17,0,0,0,17,0,0,17,8,0,0,0,9,0,0,0,9,0,0,9
UCL115140,10,0,0,0,10,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,0,27,3,0,3,30,3,0,33,7,0,0,0,9,0,0,0,9,0,0,10,7,0,0,0,6,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,14,0,0,0,16,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,14,0,0,0,16,3,0,19,3,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0,22,0,0,0,26,3,0,24,3,6,0,0,13,0,0,0,13,4,0,13,3,0,0,0,3,0,0,0,3,0,0,3
UCL115141,3,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,19,3,4,0,25,0,0,0,25,3,0,25,10,3,0,0,14,0,0,0,14,0,0,14,8,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,21,0,0,0,21,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,21,0,0,0,21,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,20,0,0,0,20,0,0,20,16,0,0,0,13,0,0,0,13,0,0,13,0,3,0,0,9,0,0,0,9,0,0,9
UCL115142,4,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,42,5,0,0,49,0,0,0,49,0,0,50,5,0,0,0,9,0,0,0,9,0,0,9,13,0,0,0,13,0,0,0,13,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,25,0,0,0,25,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,24,0,0,0,26,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,0,26,0,0,0,28,0,0,28,15,0,0,0,15,0,0,0,15,0,0,15,25,4,0,0,25,0,0,0,29,3,0,28
UCL115143,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,17,0,0,0,18,0,0,20,3,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,6,0,0,0,6,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,8,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,13,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,13,4,0,11,3,0,0,0,9,0,0,0,9,0,0,9,10,0,0,0,10,0,0,0,10,3,0,12
UCL115144,3,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,13,0,0,3,19,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL115145,10,0,0,0,10,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,38,0,0,0,38,0,0,41,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,13,0,0,13,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,16,0,0,0,16,0,0,16,11,0,0,0,11,0,0,0,11,0,0,11,6,0,0,0,6,0,0,0,6,0,0,6
UCL115146,13,0,0,0,13,7,0,19,0,0,0,0,0,0,0,0,0,0,0,0,42,3,0,0,46,0,0,0,46,8,0,60,6,0,0,0,6,0,0,0,6,0,0,6,11,0,0,0,17,0,0,0,17,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,23,0,0,0,23,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,22,0,0,0,22,0,0,26,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,26,0,0,0,26,0,0,25,9,0,0,0,9,0,0,0,9,5,0,14,11,0,0,0,13,0,0,0,8,0,0,13
UCL115147,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,0,16,0,0,0,14,3,0,20,3,0,0,0,3,0,0,0,3,0,0,3,3,3,0,0,4,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,7,0,0,0,8,0,0,12,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,11,3,0,0,8,0,0,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,12,0,0,0,15,0,0,15,6,0,0,0,4,0,0,0,4,0,0,4,6,0,0,0,11,0,0,0,11,0,0,11
UCL115148,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,0,21,0,0,0,21,0,0,19,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,12,0,0,0,12,0,0,8,3,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,4,0,0,0,4,0,0,3
UCL115149,5,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,28,7,0,3,38,0,0,0,37,3,0,39,3,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,10,0,0,0,11,0,0,0,11,0,0,11,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,11,0,0,0,15,0,0,0,15,0,0,15,0,0,0,0,3,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,19,0,0,0,18,0,0,22,6,0,0,0,6,0,0,0,6,0,0,5,12,0,0,0,10,0,0,0,10,0,0,15
UCL115150,15,0,0,0,15,8,0,24,0,0,0,0,0,0,0,0,0,0,0,0,48,11,0,0,55,0,0,0,58,9,4,73,16,0,0,0,15,0,0,0,16,0,0,16,5,3,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,25,7,0,0,25,0,0,0,31,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,24,7,0,0,30,0,0,0,32,3,0,35,3,0,0,0,9,0,0,0,9,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0,29,5,0,0,34,0,0,0,39,8,0,49,20,0,0,0,21,0,0,0,21,0,0,21,12,4,0,0,22,0,0,0,21,3,0,25
UCL115151,7,0,0,0,4,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,12,0,0,0,16,4,0,20,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,5,0,0,5,3,0,0,0,4,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,11,0,0,13,0,0,0,0,5,0,0,0,5,0,0,5,6,0,0,0,6,0,0,0,6,0,0,6
UCL115152,4,0,0,0,4,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,3,18,0,0,0,18,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,10,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,10,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,0,0,0,10,6,0,17,3,0,0,0,3,0,0,0,3,0,0,3,8,0,0,0,5,0,0,0,5,0,0,5
UCL115153,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,54,9,0,5,69,0,0,0,69,0,0,69,16,0,0,0,13,0,0,0,13,0,0,13,12,3,0,0,16,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,32,0,0,0,32,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,32,0,0,0,32,0,0,35,3,0,0,0,3,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,0,34,0,0,0,34,0,0,39,10,0,0,0,15,0,0,0,15,0,0,15,6,3,0,0,14,0,0,0,14,0,0,11
UCL115154,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,64,4,0,0,71,0,0,0,71,0,0,71,17,0,0,0,15,0,0,0,15,0,0,17,15,0,0,0,14,0,0,0,14,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,27,0,0,0,27,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,27,0,0,0,27,3,0,29,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,30,0,0,0,30,3,0,33,18,0,0,0,19,0,0,0,19,3,0,19,13,3,0,0,23,0,0,0,23,0,0,23
