UCL_CODE_2016,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
UCL121083,46,3,0,49,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,37,11,0,0,43,0,0,0,45,6,0,51,13,0,0,0,13,0,0,0,13,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,49,11,0,0,57,0,0,0,57,12,0,64,8,0,0,0,6,0,0,0,6,0,0,6,6,0,0,0,12,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,17,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,17,0,0,0,17,0,0,21,5,0,0,0
UCL121084,16,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,19,0,0,0,16,3,0,20,4,0,0,0,4,0,0,0,4,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,21,0,0,0,24,5,0,29,0,0,0,0,3,0,3,3,3,0,0,4,6,0,0,0,6,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0,3,3,8,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7,0,3,3,13,3,0,17,4,0,0,0
UCL121085,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,12,0,0,0,12,0,0,12,0,3,0,0,7,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,3,14,0,0,0,21,0,0,23,3,0,0,0,3,0,0,0,3,0,0,3,8,0,0,0,8,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,11,0,0,0,11,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,11,0,0,0,11,0,0,9,0,0,0,0
UCL121086,19,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19,0,0,0,19,0,0,19,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,22,0,0,0,23,0,0,23,3,0,0,0,3,0,0,0,3,0,0,3,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,10,3,0,0,0
UCL121087,34,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,4,0,31,0,0,0,34,0,0,38,13,0,0,0,9,0,0,0,9,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,31,9,6,0,45,0,0,0,46,3,0,49,5,0,0,0,7,0,0,0,7,0,0,7,11,3,0,0,14,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,19,0,0,0,19,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,19,0,0,0,19,0,0,19,0,0,0,0
UCL121088,36,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,0,36,0,0,0,36,0,0,36,13,0,0,0,15,0,0,0,15,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0,0,47,0,0,0,47,3,0,48,3,0,0,0,3,0,0,0,3,0,0,4,12,0,0,0,13,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,20,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,20,0,0,16,4,0,0,0
UCL121089,25,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,21,0,3,0,25,0,0,0,30,3,0,34,6,0,0,0,6,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,29,0,3,0,30,0,0,0,35,7,0,41,4,0,0,0,6,0,0,0,9,4,0,11,15,0,0,0,19,0,0,0,19,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,0,29,0,0,0,29,4,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,25,0,0,0,31,3,0,30,7,0,0,0
UCL121090,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,19,0,0,0,19,0,0,19,5,0,0,0,5,0,0,0,11,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,21,3,3,0,28,0,0,0,26,0,0,32,0,0,0,0,3,0,0,0,3,0,0,3,17,0,0,0,22,0,0,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,24,0,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,24,0,0,0,24,0,0,24,3,0,0,0
UCL121091,63,8,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,3,3,3,62,0,0,0,62,8,0,70,13,0,0,0,13,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,70,3,3,3,76,0,0,0,77,8,0,86,11,0,0,0,13,0,0,0,13,0,0,13,12,0,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,26,0,0,0,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,31,0,0,0,31,0,0,31,9,0,0,0
UCL121092,32,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,36,0,0,0,32,0,0,38,9,3,0,0,16,0,0,0,16,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,41,9,0,0,45,0,0,0,51,6,0,57,5,0,0,0,5,0,0,0,8,0,0,8,9,0,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,21,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,26,0,0,0,25,0,0,25,3,3,0,0
UCL121093,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,11,3,0,3,13,0,0,13,3,0,0,0,4,0,0,0,4,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,16,3,0,3,17,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,7,0,0,7,3,0,0,0
UCL121094,35,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,35,0,0,0,35,0,0,35,9,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,35,3,0,0,40,0,0,0,40,0,0,40,7,0,0,0,9,0,0,0,9,0,0,9,6,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,12,0,0,0,12,0,0,12,4,0,0,0
UCL121095,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,13,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,18,0,0,0,18,0,0,15,0,0,0,0,4,0,0,0,7,0,0,3,0,3,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,9,0,0,0,14,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,9,0,0,0,14,0,0,13,0,0,0,0
UCL121096,30,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,0,0,28,0,0,0,28,3,0,32,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,23,5,0,0,31,0,0,0,31,3,0,38,3,0,0,0,3,0,0,0,3,0,0,3,13,5,0,0,14,0,0,0,14,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,20,0,0,0,20,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,21,0,0,0,21,0,0,24,0,0,0,0
UCL121097,34,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,0,34,0,0,0,34,0,0,34,3,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,30,9,0,0,37,0,0,0,37,0,0,40,7,0,0,0,7,0,0,0,7,0,0,14,9,3,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,22,0,0,0,22,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,22,0,0,0,22,0,0,17,0,0,0,0
UCL121098,16,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,20,0,0,0,20,3,0,19,5,0,0,0,5,3,0,3,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,22,3,0,3,21,3,0,25,5,0,0,0,5,0,0,0,5,0,0,6,3,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,13,0,0,0,13,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,13,0,0,0,13,3,0,11,0,0,0,0
UCL121099,30,3,0,37,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,31,3,0,0,35,0,0,0,34,6,0,37,5,0,0,0,5,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0,0,40,0,0,0,42,8,0,44,6,3,0,0,8,0,0,0,8,0,0,8,10,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,17,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,17,0,0,0,17,0,0,18,0,0,0,0
UCL121100,37,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,37,0,0,0,37,0,0,43,7,3,0,0,11,0,0,0,11,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,45,3,0,0,48,0,0,0,48,4,0,55,3,0,0,0,3,0,0,0,3,0,0,3,17,0,0,0,15,0,0,0,15,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,17,0,0,0,17,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19,0,0,0,19,0,0,19,3,3,0,0
UCL121101,28,0,0,33,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,16,9,3,0,33,0,0,0,30,0,0,37,0,11,0,0,9,0,0,0,9,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,21,21,3,0,40,0,0,0,40,3,0,46,9,0,0,0,11,0,0,0,11,0,0,11,3,3,0,0,8,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,16,0,0,0,19,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,16,0,0,0,19,0,0,17,0,0,0,0
UCL121102,28,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,28,0,0,0,28,0,0,28,4,0,3,4,9,0,0,0,12,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,27,3,5,3,38,0,0,0,42,0,0,41,5,0,0,0,4,0,0,0,4,0,0,4,5,0,0,0,7,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,15,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,18,0,0,0,19,0,0,19,0,0,0,0
UCL121103,28,0,0,28,0,3,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,3,3,0,0,6,0,0,0,6,0,0,6,22,3,3,0,29,0,0,0,29,0,0,29,7,0,0,0,7,0,0,0,7,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,32,3,3,0,39,0,0,0,39,3,0,46,3,0,0,0,7,0,0,0,7,0,0,9,3,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,15,0,0,0,15,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,13,0,0,0,13,0,0,13,9,0,0,0
UCL121104,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,9,0,0,0,9,0,0,13,0,0,0,0,3,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,8,0,0,0,12,4,0,16,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,4,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,4,0,0,6,0,3,0,0
UCL121105,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,23,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,19,9,0,0,25,0,0,0,29,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,8,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,11,0,0,0,10,0,0,10,3,0,0,0
UCL121106,20,0,0,20,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,20,0,0,0,25,0,3,3,25,0,0,25,8,0,0,0,8,0,0,0,8,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,36,0,3,3,35,3,0,37,8,0,0,0,8,0,0,0,8,0,0,8,10,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,13,0,0,13,6,0,0,0
UCL121107,21,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,0,21,0,0,0,21,3,0,24,11,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,27,0,3,0,36,0,0,0,36,3,0,41,12,0,0,0,12,0,0,0,12,0,0,12,7,3,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,23,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,23,0,0,0,23,0,0,23,0,0,0,0
