UCL_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
UCL112007,97,3,3,3,0,107,83,5,3,0,0,92,77,7,3,0,0,83,165,5,3,5,0,177,292,7,10,0,0,310,932,30,11,0,0,975,931,22,11,3,3,975,749,4,0,6,3,765,222,3,0,5,0,224,121,0,0,0,0,120,60,0,0,0,0,63,142,9,7,0,0,159,3874,92,51,20,7,4043
UCL112008,87,5,0,0,0,101,54,10,0,0,0,60,60,3,0,0,0,63,102,8,3,0,0,106,184,4,3,0,0,191,498,23,4,0,0,528,603,23,0,3,0,631,485,8,3,0,0,497,136,0,0,0,0,145,77,0,0,0,0,75,45,0,0,0,0,45,91,3,0,0,0,95,2425,88,19,6,0,2536
UCL112009,151,3,7,0,0,160,82,8,9,0,0,101,79,6,3,0,0,87,190,15,5,0,0,218,211,18,3,0,0,227,620,53,13,0,0,688,738,40,3,0,0,783,490,12,3,0,0,504,134,0,0,0,0,135,71,0,0,0,0,71,24,3,0,0,0,30,96,3,0,0,0,100,2892,161,49,4,3,3115
UCL112010,12,0,0,0,0,15,5,0,0,0,0,5,5,0,0,0,0,5,23,0,3,0,0,20,41,0,0,0,0,41,77,0,0,0,0,81,67,0,0,0,0,65,48,0,0,0,0,48,11,0,0,0,0,11,9,0,0,0,0,9,10,0,0,0,0,10,18,0,0,0,0,19,331,0,6,0,0,334
UCL112011,144,4,0,0,0,156,79,5,0,0,0,87,82,3,0,0,0,88,153,6,8,0,0,169,192,9,5,0,0,205,642,25,10,3,3,680,700,29,11,0,3,738,659,4,0,0,0,668,178,0,3,0,0,188,96,0,0,0,0,95,40,0,0,0,0,40,122,0,0,0,0,123,3096,88,34,7,7,3233
UCL112012,138,3,0,0,0,144,79,0,0,0,0,79,74,0,0,0,0,74,195,3,3,0,0,199,263,14,4,0,0,283,768,31,12,0,3,813,954,27,7,0,3,988,959,4,0,0,4,973,336,3,0,0,0,339,225,0,0,0,0,227,95,0,0,0,0,94,140,7,0,0,3,148,4224,94,31,3,13,4370
UCL112013,185,23,14,0,0,222,78,24,20,0,0,119,64,17,6,0,0,81,102,19,20,4,0,139,189,31,26,0,0,248,510,86,53,6,0,654,753,116,63,0,3,932,1025,62,32,0,0,1121,379,17,9,0,0,401,239,13,6,0,0,259,112,12,11,0,0,133,144,24,9,0,0,185,3764,446,259,9,11,4491
UCL112014,124,7,0,3,0,130,55,4,0,3,0,65,72,6,0,0,0,80,153,3,3,6,0,162,254,13,3,10,3,281,850,20,3,12,4,894,810,19,0,4,0,831,551,7,3,0,3,562,147,0,0,0,0,150,73,0,0,0,0,77,37,0,0,0,0,41,117,3,0,0,0,122,3246,86,9,34,15,3397
UCL112015,206,9,7,0,0,221,112,0,3,0,0,121,101,0,3,0,0,109,190,0,22,0,0,215,373,3,11,3,0,394,1207,22,39,4,0,1274,1343,18,20,4,0,1393,1039,4,5,11,0,1061,344,0,3,3,0,350,246,3,4,0,0,252,110,0,3,0,4,119,200,8,5,3,0,211,5475,72,123,31,9,5717
UCL113001,60,22,3,0,0,86,24,13,3,0,0,46,13,8,0,0,0,31,38,16,3,4,0,57,61,31,9,0,0,95,131,78,13,4,0,219,159,75,21,0,0,253,222,59,0,0,0,286,67,18,3,0,0,92,51,11,0,0,0,65,32,8,3,0,0,39,29,9,0,0,3,48,899,343,65,3,6,1314
UCL113002,61,3,6,0,0,68,31,3,6,0,0,33,21,0,0,0,0,22,41,0,4,0,0,50,62,3,3,0,0,64,157,11,14,0,0,177,165,6,3,0,0,178,164,10,3,0,0,175,43,0,0,0,0,40,39,0,0,0,0,39,15,0,0,0,0,15,44,0,0,0,3,50,836,44,30,0,10,919
UCL113003,145,6,0,0,0,147,160,0,0,0,0,166,151,0,0,0,0,157,289,3,0,0,0,294,296,3,0,0,0,300,477,0,0,0,0,483,237,3,0,0,0,234,134,0,0,0,0,134,37,0,0,0,0,37,27,0,0,0,0,27,27,0,0,0,0,27,106,0,0,0,0,106,2092,14,0,3,7,2115
UCL113004,32,0,0,0,0,29,15,0,0,0,0,12,13,0,0,0,0,13,28,0,3,0,0,29,42,5,4,0,0,46,118,0,3,0,0,118,140,0,0,0,0,145,149,0,0,0,0,152,34,0,0,0,0,41,22,0,0,0,0,22,11,0,0,0,0,14,40,0,0,0,0,41,640,8,14,0,3,662
UCL113005,86,18,10,0,0,117,44,9,4,0,0,60,28,7,6,0,0,39,85,13,9,0,0,112,82,11,9,3,0,108,226,34,33,0,0,294,272,27,14,0,3,312,279,9,10,0,0,298,91,3,9,0,0,100,63,0,3,0,0,63,31,0,0,0,0,33,70,3,3,0,0,73,1355,149,104,3,13,1619
UCL113006,72,9,3,0,0,81,51,0,0,0,0,54,61,0,0,0,0,62,97,4,3,0,0,108,185,3,0,0,0,189,492,10,4,0,0,510,338,6,0,3,0,352,177,4,0,0,0,183,55,0,0,0,0,54,27,0,0,0,0,29,7,0,0,0,0,5,65,0,3,0,0,69,1626,41,20,3,8,1701
UCL113007,64,3,0,0,0,64,31,0,0,0,0,29,34,0,3,0,0,40,59,0,3,0,0,62,105,4,7,0,0,123,380,18,12,0,0,412,405,8,13,0,0,427,318,4,3,0,0,328,94,3,0,0,0,92,60,0,0,0,0,58,35,0,0,0,0,38,68,0,3,0,0,69,1643,39,43,0,9,1730
UCL113008,53,0,0,0,0,51,38,0,0,0,0,37,25,0,3,0,0,28,67,3,0,0,0,65,117,0,0,0,0,120,278,0,0,0,3,288,157,0,0,0,0,162,77,0,0,0,0,77,16,0,0,0,0,17,11,0,0,0,0,11,12,0,0,0,0,12,42,0,0,0,0,42,894,11,3,0,6,913
UCL113009,75,16,4,0,0,96,28,8,0,0,0,37,27,0,0,0,0,27,42,7,0,0,0,51,54,7,0,0,0,61,139,25,8,0,0,172,146,35,10,3,0,197,287,62,8,0,0,360,199,23,3,0,0,225,180,8,0,0,0,195,84,6,3,0,0,94,49,3,0,0,0,55,1316,208,42,4,3,1568
UCL113010,73,3,3,0,0,76,49,0,0,0,0,49,58,3,0,0,0,64,101,3,0,0,0,105,151,7,0,0,0,163,537,7,3,0,0,549,486,4,0,0,0,495,325,3,0,0,0,333,102,0,0,0,0,107,66,3,0,0,0,64,23,0,0,0,0,27,87,0,0,0,0,87,2072,33,4,3,3,2111
UCL113011,58,3,0,0,0,61,38,0,0,0,0,39,29,6,0,0,0,35,72,3,0,0,0,76,117,4,0,0,0,125,283,3,0,0,0,290,207,0,0,0,0,210,160,0,0,0,0,164,66,0,0,0,0,70,44,0,0,0,0,41,19,0,0,0,0,19,51,0,0,0,0,54,1146,27,3,0,4,1176
UCL113012,112,0,0,0,0,114,52,0,0,0,0,54,41,0,0,0,0,39,69,0,0,0,0,74,115,0,0,0,0,117,328,4,0,0,0,332,430,3,0,0,0,433,526,0,3,0,0,530,186,0,0,0,0,186,124,0,0,0,0,125,56,0,0,0,0,56,89,0,0,0,0,93,2136,15,7,0,3,2159
UCL113013,35,3,0,0,0,37,25,0,0,0,0,26,26,0,0,0,0,22,51,4,0,0,0,53,54,0,0,0,0,59,165,3,3,0,0,173,258,7,4,0,0,265,309,6,0,0,4,319,143,0,0,0,0,142,69,0,0,0,0,68,38,0,0,0,3,41,44,0,0,0,0,46,1213,24,13,3,11,1262
UCL113014,30,0,0,0,0,29,21,0,0,0,0,27,19,0,0,0,0,18,52,0,0,0,0,52,67,3,3,0,0,68,253,3,3,0,0,258,297,9,0,0,0,302,272,7,0,0,0,279,90,4,0,0,0,93,43,0,0,0,0,45,16,0,0,0,0,20,56,0,0,0,0,55,1216,23,6,0,0,1247
UCL113015,64,11,5,0,3,81,22,3,3,0,0,27,25,12,0,0,0,39,37,6,0,0,0,44,48,14,7,0,0,67,110,42,8,0,0,172,161,48,5,0,0,220,283,41,7,0,0,337,126,17,3,0,0,143,94,7,0,0,0,101,42,7,3,0,0,47,44,7,0,0,0,52,1051,221,49,3,4,1327
UCL113016,52,9,0,0,0,55,33,4,0,0,0,34,34,3,0,0,0,36,58,6,0,0,0,65,91,14,0,0,0,105,333,39,0,0,0,376,370,14,3,0,0,388,267,4,0,0,0,277,52,0,0,0,0,55,40,0,0,0,0,42,17,0,0,0,0,18,47,5,0,0,0,57,1386,99,3,3,3,1496
UCL113017,66,0,0,0,0,66,12,0,0,0,0,18,17,0,0,0,0,22,42,0,0,0,0,45,54,3,0,0,0,64,239,27,8,0,0,270,323,16,11,0,0,350,435,15,4,0,0,450,183,0,0,0,0,183,93,0,0,0,0,97,43,0,0,0,0,43,59,3,0,0,0,65,1577,66,21,0,3,1669
UCL113018,79,0,0,0,0,78,40,0,0,0,0,40,27,0,0,0,0,33,50,0,0,0,0,50,89,0,0,0,0,94,232,0,0,0,0,235,223,7,0,0,0,231,162,0,0,0,0,164,45,3,0,0,0,48,23,0,0,0,0,20,11,0,0,0,0,11,50,0,0,0,0,50,1022,11,3,0,3,1041
UCL113019,82,3,0,0,0,84,67,0,3,0,0,76,53,3,0,0,0,52,127,0,4,0,0,132,162,9,3,0,0,174,457,15,3,0,4,479,315,6,6,0,0,321,186,3,0,0,0,187,57,0,0,0,0,57,43,0,0,0,0,43,19,0,0,0,0,19,74,0,0,0,0,72,1630,45,20,6,4,1701
UCL113020,82,0,0,0,0,88,34,0,0,0,0,34,32,3,0,0,0,38,66,4,0,0,0,72,99,5,0,0,0,102,181,7,4,0,3,198,237,4,4,0,0,246,209,0,0,0,0,212,69,0,0,0,0,71,44,0,0,0,0,42,31,0,0,3,0,35,64,3,0,0,0,64,1149,34,9,7,3,1197
UCL114001,22,11,0,0,0,38,9,3,0,0,0,13,12,0,0,0,0,11,17,4,0,0,0,23,26,6,0,0,0,32,71,22,0,0,0,93,98,10,0,0,0,113,110,3,0,0,0,113,37,0,0,0,0,37,25,0,0,0,0,25,9,0,0,0,0,11,16,3,0,0,0,14,448,60,3,0,3,518
UCL114002,28,3,0,0,0,32,15,0,0,0,0,13,7,0,0,0,0,7,11,0,0,0,0,11,21,3,0,0,0,29,59,4,0,0,3,70,71,16,0,0,0,88,139,12,0,3,0,150,73,3,0,0,0,73,32,0,0,0,0,33,16,3,0,0,0,21,24,3,0,0,0,31,497,46,0,4,3,551
UCL114003,55,3,3,0,0,64,19,3,0,0,0,20,4,0,0,0,0,6,14,3,0,5,0,22,25,12,3,0,0,39,58,9,5,0,3,76,58,18,12,0,0,92,129,25,9,0,0,165,79,21,9,0,5,104,90,16,3,0,0,108,50,3,3,0,0,59,53,10,3,0,0,57,635,119,54,6,8,820
UCL114004,35,10,0,0,3,47,11,4,0,0,0,19,21,0,0,0,0,25,22,0,3,0,0,26,39,3,0,3,0,49,79,0,4,3,0,90,83,9,0,0,0,86,92,0,3,0,0,93,35,0,0,0,0,37,13,0,0,0,0,13,13,0,0,0,0,13,27,0,0,0,0,25,468,25,8,13,4,517
UCL114005,32,0,4,0,0,36,40,0,3,0,0,41,35,0,3,0,0,38,64,0,0,0,0,64,92,0,3,0,0,95,316,0,6,0,0,324,168,0,0,0,0,170,72,0,0,0,0,72,16,0,0,0,0,19,8,0,0,0,0,5,9,0,0,0,0,9,32,0,0,0,0,32,878,0,20,5,0,902
UCL114006,28,0,0,0,0,28,28,0,0,0,0,34,27,0,0,0,0,27,66,0,0,0,0,66,101,0,0,0,0,96,208,0,0,0,0,215,106,0,0,0,0,103,88,0,0,0,0,88,16,0,0,0,0,16,20,0,0,0,0,20,5,0,0,0,0,8,33,0,0,0,0,31,716,4,3,4,4,732
UCL114007,20,0,0,0,0,22,27,0,0,0,0,30,34,0,0,0,0,34,64,0,0,0,0,64,80,0,0,0,0,80,166,3,0,0,0,170,98,0,0,0,0,98,52,0,0,0,0,53,10,0,0,0,0,10,10,0,0,0,0,10,3,0,0,0,0,3,30,0,0,0,0,30,594,3,3,0,0,600
UCL114008,29,0,0,0,0,27,23,0,0,0,0,19,14,0,0,0,0,13,67,0,0,0,0,65,61,3,0,0,0,69,160,0,0,0,0,168,113,0,0,0,0,115,64,0,0,0,0,64,15,0,0,0,0,15,13,0,0,0,0,15,4,0,0,0,0,4,26,0,0,0,0,31,586,15,4,3,0,607
UCL114009,27,0,0,0,0,27,29,0,0,0,0,34,49,0,0,0,0,53,81,0,3,0,0,82,117,3,0,0,0,121,198,0,3,0,3,205,134,0,0,0,0,137,72,0,0,0,0,72,25,0,0,0,0,25,16,0,0,0,0,12,5,0,0,0,0,5,40,0,0,0,0,40,807,3,4,0,3,825
UCL114010,40,0,0,0,0,44,32,0,0,0,0,33,31,0,0,0,0,34,107,3,0,0,0,112,119,0,0,0,0,118,173,0,0,0,0,182,85,0,0,0,0,86,59,0,0,0,0,62,28,0,0,0,0,28,11,0,0,0,0,11,8,0,0,0,0,8,44,0,0,0,0,43,742,3,6,0,9,751
UCL114011,19,0,0,0,0,25,24,0,0,0,0,24,29,0,0,0,0,29,73,0,0,0,0,74,125,0,0,0,0,131,236,0,0,0,3,236,119,0,0,0,0,119,62,0,0,0,0,68,25,0,0,0,0,25,12,0,0,0,0,15,7,0,0,3,0,8,41,0,0,0,0,43,779,5,3,9,3,796
UCL114012,25,0,0,0,0,30,23,0,0,0,0,23,30,0,0,0,0,36,73,0,0,0,0,74,86,0,0,0,0,89,128,0,0,0,3,129,62,0,0,0,0,62,38,0,0,0,0,34,11,0,0,0,0,11,4,0,0,0,0,4,7,0,0,0,0,7,18,0,0,0,0,23,515,3,0,0,6,531
UCL114013,33,0,0,0,0,40,11,0,0,0,0,11,19,0,0,0,0,19,43,0,0,0,0,47,70,0,0,0,0,70,185,3,3,0,3,193,176,0,0,0,0,184,138,0,0,0,0,133,42,0,0,0,0,38,24,0,0,0,0,23,10,0,0,0,0,10,38,0,0,0,0,39,789,3,6,3,9,816
UCL114014,28,0,0,0,0,27,5,0,0,0,0,6,12,0,3,0,0,12,17,0,6,0,0,22,33,0,4,0,0,35,87,4,15,0,0,107,90,7,17,0,0,106,227,4,36,0,0,270,189,7,24,0,0,215,168,10,13,0,0,191,41,0,3,0,0,47,37,0,3,0,0,45,932,34,117,5,3,1085
UCL114015,32,0,0,0,0,34,24,0,0,0,0,30,29,0,0,0,0,27,84,0,0,0,0,87,114,0,0,0,7,120,291,3,0,0,3,301,156,3,0,3,0,164,93,0,0,0,0,100,21,0,0,0,0,21,19,0,0,0,0,19,4,0,0,0,0,4,40,3,0,0,0,43,917,5,10,4,8,945
UCL114016,19,0,3,0,0,24,10,0,0,0,0,10,24,0,4,0,0,22,46,4,0,0,0,49,72,0,0,0,0,74,203,0,3,0,0,213,138,3,0,0,0,142,89,3,0,0,0,89,22,0,0,0,0,24,22,0,0,0,0,22,9,0,0,0,0,15,29,0,3,0,0,30,685,11,11,0,0,718
UCL114017,39,12,0,0,0,49,22,3,0,0,0,26,9,6,0,0,0,11,13,6,0,0,0,23,20,0,0,0,0,18,68,16,3,0,0,93,83,25,4,0,0,110,124,34,7,0,0,168,84,22,0,0,0,107,78,14,0,0,0,87,49,3,0,0,0,55,29,6,0,0,0,34,604,152,18,0,0,776
UCL114018,37,0,0,0,0,37,25,0,0,0,0,25,27,0,0,0,0,29,44,0,0,0,0,48,48,0,0,0,0,54,178,3,0,0,0,181,275,0,0,0,0,279,349,0,0,0,0,354,152,0,0,0,0,152,123,0,0,0,0,122,43,0,0,0,0,43,69,0,0,0,0,69,1368,3,4,3,0,1377
UCL114019,39,4,0,0,0,49,24,7,0,0,0,29,10,7,0,0,0,20,29,13,6,0,0,52,41,18,3,0,0,57,113,25,9,0,3,151,118,10,4,4,0,135,134,5,0,0,0,141,54,0,0,0,0,52,35,4,0,0,0,44,19,0,0,0,0,19,19,3,3,0,0,24,638,83,31,3,12,769
UCL114020,17,0,0,0,0,20,10,0,0,0,0,11,21,0,0,0,0,23,46,0,0,0,0,44,58,0,3,0,0,61,194,5,3,0,0,202,123,3,3,0,0,127,73,0,0,0,0,70,18,0,0,0,0,18,23,0,0,0,0,20,12,0,0,0,0,12,36,3,0,0,0,43,624,12,18,3,0,663
UCL114021,37,0,0,0,0,45,22,0,0,0,0,26,15,0,0,0,0,12,25,0,0,0,0,28,35,3,3,0,0,39,118,6,3,0,0,131,213,0,0,0,0,220,212,5,0,0,0,218,91,4,0,0,0,89,60,0,0,0,0,65,26,0,0,0,0,25,37,3,0,0,0,38,890,25,9,0,3,928
UCL114022,43,0,3,0,0,47,31,0,0,0,0,31,20,0,4,0,0,23,50,3,0,0,0,51,62,3,0,0,0,58,171,8,4,0,0,182,245,8,0,0,0,250,243,0,0,0,5,248,64,0,0,0,0,63,32,0,0,0,0,32,10,0,0,0,0,10,42,0,0,0,0,46,1007,23,17,0,9,1054
UCL114023,31,0,0,0,0,38,25,0,4,0,0,25,18,0,3,8,0,25,31,0,0,0,0,30,36,0,3,0,0,43,102,7,3,0,0,107,73,3,3,0,0,81,54,0,0,0,0,54,17,0,0,0,0,17,10,0,0,0,0,10,3,0,0,0,0,3,24,0,0,0,0,24,416,13,12,6,0,452
UCL114024,19,0,0,0,3,27,13,0,0,0,0,17,16,0,0,0,0,16,30,0,0,0,0,29,48,0,0,0,0,52,139,0,0,0,0,139,146,3,0,0,0,148,110,0,0,0,0,107,18,0,0,0,0,18,17,0,0,0,0,17,10,0,0,0,0,11,36,0,0,0,0,39,606,6,6,4,3,620
UCL114025,39,0,0,0,0,39,26,0,0,0,0,30,28,0,0,0,0,28,75,0,0,0,0,75,99,0,0,0,0,101,319,3,0,0,0,323,222,0,0,0,0,220,126,0,0,0,0,128,43,0,0,0,0,47,25,0,0,0,0,25,16,0,0,0,0,16,40,0,0,0,0,43,1070,7,5,0,3,1087
