UCL_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
UCL112007,18,11,145,164,41,395,8,198,18,995,65,167,363,294,141,238,57,200,18,1546,334,854,649,530,398,368,194,418,76,3813,395,708,401,390,435,273,174,312,49,3134,427,565,339,392,548,263,232,318,40,3126,314,456,244,254,438,214,186,282,29,2412,90,88,75,42,70,71,67,61,14,583,22,12,14,8,12,6,10,11,8,99,3,0,0,3,0,0,0,0,3,11,1663,2855,2230,2079,2077,1832,930,1788,255,15716
UCL112008,7,8,84,95,33,247,15,120,10,629,50,62,214,174,67,137,42,140,18,899,198,301,375,326,235,189,136,203,37,2001,213,287,234,322,243,174,183,210,26,1885,230,309,251,339,306,149,181,262,34,2063,175,337,139,241,203,105,172,188,37,1589,46,62,32,40,47,40,51,33,10,356,7,12,3,3,6,3,6,4,3,46,0,3,0,0,0,0,0,0,0,4,932,1382,1335,1535,1134,1040,777,1162,173,9471
UCL112009,12,8,71,71,26,289,18,161,14,677,52,80,188,213,112,206,52,187,16,1102,172,450,361,315,239,244,106,259,31,2179,216,563,310,294,288,183,119,230,27,2221,248,478,301,335,407,205,138,318,36,2464,181,456,223,248,316,141,125,270,16,1967,55,94,37,54,63,28,42,52,8,444,17,8,3,0,4,4,3,5,0,48,0,0,0,0,0,0,0,0,3,4,947,2131,1502,1525,1449,1298,607,1494,150,11100
UCL112010,0,0,11,7,3,21,3,3,0,51,6,7,21,14,7,15,3,3,0,77,28,38,46,26,20,23,11,16,3,204,31,52,41,28,15,19,12,24,0,221,49,37,23,24,34,20,20,29,0,227,29,29,31,12,27,5,16,23,4,171,11,7,3,4,3,5,3,10,3,45,3,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,151,165,172,114,106,103,72,108,13,1007
UCL112011,20,8,84,94,24,306,15,166,8,727,58,88,251,223,107,199,46,172,14,1156,219,454,608,399,246,236,117,270,36,2584,268,425,373,359,253,167,138,246,40,2262,239,357,333,364,291,170,190,263,32,2241,191,292,211,256,274,150,151,220,27,1771,42,71,49,31,58,42,40,35,11,377,4,10,3,3,6,3,4,5,4,46,0,0,0,0,0,0,0,0,0,6,1038,1710,1905,1724,1258,1273,700,1374,186,11176
UCL112012,19,18,147,150,43,337,20,215,17,974,58,176,340,291,127,226,49,175,13,1459,341,1015,697,453,402,332,231,303,44,3807,432,880,503,405,485,231,274,305,52,3564,416,634,385,336,545,253,250,380,67,3276,287,522,248,233,384,164,216,303,26,2386,83,123,54,42,98,50,64,68,13,596,19,12,3,8,11,7,7,8,13,80,3,0,3,0,0,0,0,0,0,12,1672,3384,2379,1924,2097,1594,1117,1758,237,16153
UCL112013,15,19,123,230,36,456,33,226,8,1142,69,138,262,228,125,210,43,145,17,1237,267,781,541,428,322,287,121,289,42,3079,461,986,530,414,545,278,136,256,57,3681,523,991,505,515,729,355,183,359,47,4211,401,721,382,386,488,310,159,298,35,3166,120,152,66,62,131,70,50,66,22,737,9,20,3,4,12,10,10,3,11,82,4,4,0,0,0,0,0,0,0,7,1865,3801,2408,2278,2396,1972,730,1645,240,17335
UCL112014,10,11,94,122,27,343,26,230,20,891,70,148,313,200,96,206,58,304,14,1413,270,709,544,391,298,287,177,568,47,3301,299,559,370,286,341,238,181,404,44,2716,358,566,321,343,449,225,223,399,34,2920,266,492,278,223,392,187,197,287,33,2355,73,102,58,42,72,55,50,65,12,524,17,12,10,3,0,5,10,14,6,75,0,0,0,0,0,0,3,0,3,10,1367,2591,1997,1621,1673,1536,929,2268,216,14212
UCL112015,24,14,227,241,41,636,29,272,18,1501,90,294,598,415,211,398,92,288,35,2415,468,1240,935,664,542,414,191,505,68,5034,578,1158,672,515,571,326,246,469,51,4578,631,957,518,494,768,352,287,442,50,4498,473,710,441,365,601,282,295,352,40,3548,120,183,95,54,120,60,74,85,21,808,22,19,8,3,16,9,7,12,3,87,3,0,0,0,0,0,0,3,0,7,2398,4574,3497,2756,2867,2475,1219,2424,288,22481
UCL113001,3,4,35,46,5,140,3,85,3,327,27,30,89,84,40,103,22,61,0,459,87,200,171,139,81,110,40,147,12,988,142,297,166,162,134,84,47,112,19,1168,174,279,194,200,188,117,75,176,22,1422,159,288,158,173,200,121,87,135,28,1344,51,69,34,22,53,40,37,43,11,360,6,7,3,0,3,3,0,4,4,25,0,3,0,0,0,3,0,0,8,14,647,1174,862,826,702,721,314,763,105,6114
UCL113002,5,3,27,38,13,106,5,48,3,251,15,13,52,45,17,57,8,45,8,260,59,61,117,84,65,71,21,59,12,557,84,80,98,88,83,82,49,77,20,666,103,101,115,127,116,100,46,106,18,833,117,132,94,114,112,87,52,75,22,809,30,37,21,22,21,22,22,21,0,197,4,6,0,0,0,3,0,0,0,23,0,0,0,0,0,0,0,0,3,7,406,442,527,526,432,545,209,435,80,3601
UCL113003,3,8,43,49,10,154,10,87,7,378,22,70,131,124,42,92,40,56,12,592,84,298,254,199,130,143,145,120,24,1393,134,219,194,204,142,95,143,110,18,1252,161,238,197,249,215,105,162,187,24,1530,178,213,162,191,167,95,176,169,24,1372,44,56,29,33,33,10,30,32,12,279,3,3,3,0,5,3,0,0,10,33,0,0,0,0,0,0,0,0,8,11,633,1109,1012,1049,750,699,716,754,135,6846
UCL113004,0,6,24,30,3,59,0,25,0,150,7,20,33,33,13,28,9,18,3,158,68,111,99,58,40,39,23,47,8,493,85,109,68,54,61,29,17,42,0,469,111,78,61,54,80,49,34,64,3,522,60,61,47,37,43,41,34,63,8,394,18,20,4,15,15,17,11,17,5,123,4,4,3,0,3,0,0,4,0,21,0,0,0,0,0,0,0,0,0,6,361,406,338,272,255,266,136,273,27,2334
UCL113005,4,3,44,49,14,206,4,89,10,418,31,35,85,79,13,80,14,55,12,407,94,182,172,142,74,108,38,111,10,936,123,194,191,152,130,124,47,116,18,1087,134,241,182,209,186,169,76,184,25,1400,179,279,155,151,201,128,75,165,25,1361,64,66,31,36,44,45,14,41,9,357,3,6,0,3,3,0,3,7,6,42,0,0,0,0,0,0,0,0,4,7,635,1023,853,818,662,853,274,766,122,6009
UCL113006,3,7,32,46,17,134,7,99,3,353,23,37,110,102,48,88,28,69,6,518,77,182,197,157,130,102,75,127,13,1050,118,215,166,197,185,125,82,124,20,1226,125,194,142,234,208,100,98,144,17,1258,104,190,106,170,150,99,79,141,14,1049,19,37,24,23,43,11,29,25,12,222,13,4,0,0,4,0,3,3,0,39,3,0,0,0,0,0,0,0,3,8,490,867,775,927,781,669,398,730,92,5725
UCL113007,6,11,92,66,21,221,14,113,8,558,63,66,158,81,61,103,30,224,8,800,196,353,314,206,192,148,100,457,36,2014,239,298,211,136,203,132,120,282,28,1656,263,256,202,173,240,149,124,293,33,1723,195,170,160,111,190,107,117,189,17,1249,64,40,37,20,51,24,40,49,16,337,16,0,0,0,3,0,3,8,4,41,0,0,3,0,0,0,0,0,0,4,1051,1193,1180,792,975,891,555,1612,149,8386
UCL113008,4,5,20,19,8,75,3,61,10,201,16,16,42,52,20,51,11,50,3,268,26,82,97,95,56,55,43,97,15,569,57,78,56,109,74,44,35,84,13,544,47,80,73,110,77,55,67,102,12,622,49,89,56,113,59,42,47,76,11,539,14,22,12,24,20,14,15,11,9,149,3,0,0,4,0,3,0,3,4,16,3,0,0,0,0,0,0,0,0,5,216,369,365,538,313,338,233,475,66,2914
UCL113009,0,7,68,89,15,90,9,65,4,353,23,63,131,114,43,73,26,43,3,519,94,302,180,114,100,61,53,49,17,974,175,319,186,139,174,67,65,61,18,1199,247,387,194,153,207,91,76,72,27,1453,192,344,141,102,182,73,75,67,21,1196,45,44,26,12,39,18,20,17,4,220,3,11,3,3,0,3,3,3,3,29,0,0,0,0,0,0,0,0,0,0,779,1473,928,722,760,476,324,384,90,5938
UCL113010,15,10,70,58,11,131,23,105,9,431,20,34,146,96,80,100,58,130,9,676,85,185,337,175,171,139,197,191,12,1505,95,143,272,162,177,102,210,206,27,1403,118,101,227,176,161,116,234,224,28,1380,69,122,141,102,118,72,149,158,5,937,10,14,6,17,10,6,25,20,8,123,0,3,0,0,0,0,0,3,3,14,0,0,0,0,0,0,0,0,0,8,417,610,1199,785,735,667,895,1049,105,6475
UCL113011,0,0,47,46,15,65,8,82,5,264,16,30,91,57,42,43,18,61,8,370,59,108,179,98,117,91,109,80,18,850,59,97,139,111,116,69,103,85,7,784,95,119,141,116,138,68,121,99,17,921,68,119,100,93,109,43,109,105,9,756,14,25,21,20,23,14,18,19,3,157,9,3,0,0,3,0,0,3,3,19,0,0,0,0,0,0,0,0,4,4,312,494,716,538,561,395,495,538,77,4130
UCL113012,4,13,76,69,14,105,12,86,10,383,19,58,159,135,58,78,35,127,15,686,97,301,277,164,152,104,118,186,20,1418,139,305,261,161,191,93,106,135,24,1416,179,310,267,161,274,118,123,153,27,1620,147,289,170,121,194,84,119,122,20,1268,41,89,22,10,45,25,19,38,3,301,3,14,3,3,3,0,0,0,3,31,0,0,0,0,0,0,0,0,0,3,624,1372,1239,830,937,605,550,842,126,7126
UCL113013,3,3,48,41,6,109,3,61,6,277,19,26,131,53,29,72,22,59,0,414,94,210,245,115,101,92,169,87,17,1131,113,186,175,105,108,68,145,86,12,999,121,129,152,109,116,94,150,133,10,998,89,101,76,67,94,55,72,83,11,646,24,27,18,6,11,13,18,22,5,155,17,3,0,0,0,0,3,0,0,31,0,0,0,0,0,0,0,0,0,3,482,682,844,490,468,505,583,542,59,4661
UCL113014,3,0,59,24,10,94,12,54,4,262,19,25,111,48,31,48,26,63,4,376,63,133,246,84,86,87,176,99,14,984,64,106,173,94,102,50,198,103,16,905,73,124,193,94,112,61,207,110,13,986,41,91,106,64,76,39,131,76,8,628,14,9,15,7,14,8,15,12,8,98,0,0,0,0,0,3,3,0,0,7,0,0,0,0,0,0,0,0,0,4,281,488,900,423,426,384,773,517,66,4250
UCL113015,4,3,32,77,13,143,8,72,7,355,17,23,89,100,30,77,11,59,9,408,85,152,204,137,90,60,33,86,10,857,171,227,217,141,135,88,38,97,23,1137,204,239,180,156,191,107,66,127,12,1282,136,217,115,113,143,110,59,102,19,1015,46,75,28,16,61,27,12,34,8,303,5,10,0,0,3,3,0,5,0,24,0,0,0,0,0,0,0,0,3,4,673,940,862,740,661,613,223,586,92,5387
UCL113016,7,0,30,30,13,111,3,100,6,307,20,39,135,94,56,105,43,76,5,589,72,144,247,112,136,101,99,156,13,1073,104,131,166,132,136,89,108,143,11,1031,102,115,173,148,147,80,160,150,11,1094,66,112,114,96,131,51,136,113,11,827,17,21,13,13,26,11,18,11,0,131,3,3,0,0,3,0,0,3,3,15,0,0,0,0,0,0,0,0,0,0,388,567,883,626,643,558,574,754,73,5059
UCL113017,6,7,54,61,24,114,23,102,3,397,20,57,155,114,64,80,51,72,5,618,93,236,302,135,119,99,235,110,21,1350,111,179,248,123,153,84,277,113,27,1315,143,151,212,137,196,86,323,123,24,1392,81,114,112,65,98,48,191,77,13,793,23,18,10,10,17,4,26,15,0,127,3,3,0,0,0,3,5,0,0,18,0,0,0,0,0,0,0,0,0,0,486,758,1097,642,666,515,1121,613,99,6003
UCL113018,0,0,43,32,7,79,5,38,3,210,10,15,81,58,20,32,10,40,3,270,45,60,122,72,56,68,25,74,5,534,67,95,130,138,67,60,47,81,11,696,101,86,130,137,107,78,49,96,22,800,42,90,77,93,98,54,52,71,10,589,5,17,8,16,22,12,9,11,0,109,0,3,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,4,276,373,579,551,369,390,207,410,64,3218
UCL113019,5,8,36,40,12,164,9,94,9,380,23,53,90,88,42,108,30,110,4,547,103,192,168,139,100,151,68,132,12,1057,99,176,159,158,125,135,70,141,12,1069,142,201,149,199,165,131,107,180,12,1293,105,220,134,148,146,108,83,158,9,1124,34,30,22,22,38,24,30,42,9,256,9,4,5,0,5,0,3,0,4,28,0,0,0,0,0,3,0,0,0,6,522,884,767,794,641,827,393,863,74,5765
UCL113020,7,0,21,57,3,134,9,53,3,284,20,21,76,45,14,47,10,55,5,295,73,135,172,93,69,69,20,80,3,712,120,173,158,127,110,97,46,112,14,949,122,173,162,158,132,115,61,131,13,1059,122,178,128,118,119,122,56,116,10,970,27,34,19,21,31,19,21,22,7,203,10,5,3,3,9,0,0,0,3,29,5,0,0,0,0,0,0,0,5,8,505,716,743,630,487,603,221,556,61,4516
UCL114001,3,0,11,23,4,51,0,42,4,137,0,16,26,26,11,14,5,9,0,103,18,54,53,18,24,26,21,28,4,244,56,116,69,47,68,30,17,35,5,444,42,106,58,64,60,33,13,43,8,435,46,103,50,54,67,24,23,43,6,423,17,25,7,8,20,7,10,7,0,98,7,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,4,4,186,424,276,247,259,185,88,202,34,1896
UCL114002,3,0,21,32,4,69,3,40,0,179,12,18,50,33,16,24,8,21,0,177,25,49,63,36,23,29,16,31,0,278,59,80,84,57,56,32,26,41,3,437,87,100,86,64,69,47,34,51,7,540,47,75,50,53,48,33,27,40,5,381,8,8,11,10,4,3,13,4,0,65,3,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,239,337,372,286,218,244,128,228,18,2064
UCL114003,3,9,11,24,6,66,11,30,3,164,15,21,47,80,23,48,8,36,5,289,133,245,171,186,64,109,24,92,13,1041,188,260,138,97,82,66,16,71,12,922,159,243,98,79,86,57,32,57,14,840,122,212,72,78,97,66,39,67,6,746,45,62,8,7,9,7,9,13,9,166,7,3,0,0,3,0,0,3,0,14,0,0,0,0,0,0,0,0,3,6,675,1055,549,547,365,413,130,385,72,4189
UCL114004,0,0,16,22,0,22,4,22,0,84,3,3,23,21,5,9,4,23,0,94,13,38,68,40,26,29,7,27,3,257,33,55,58,51,32,31,19,41,6,331,48,87,71,72,63,58,47,72,7,531,57,79,57,64,63,62,47,77,8,511,21,17,11,14,8,10,6,9,3,98,5,3,3,0,0,0,0,5,0,13,0,0,0,0,0,0,0,0,3,3,180,281,308,280,201,228,134,280,35,1933
UCL114005,5,9,23,25,17,65,3,76,3,222,18,18,51,57,21,36,14,105,3,336,35,62,121,63,64,53,51,183,9,638,47,74,65,77,66,50,54,144,9,593,57,74,58,100,78,39,66,168,9,653,53,68,57,71,76,58,65,133,11,581,16,21,10,16,19,12,9,27,3,129,6,0,0,0,4,0,0,3,4,14,0,0,0,0,0,0,0,0,0,4,229,318,382,405,347,316,268,840,56,3166
UCL114006,3,4,18,41,6,68,5,41,3,188,8,28,36,46,22,37,12,40,8,237,40,108,107,59,56,40,25,61,3,509,54,80,67,71,52,44,33,59,5,464,93,98,75,78,99,59,49,65,4,622,81,104,52,58,76,51,47,42,3,516,39,23,18,9,27,14,11,14,0,155,4,3,3,3,0,0,0,3,6,19,0,0,0,0,0,0,0,0,0,0,317,451,377,367,345,315,178,319,43,2700
UCL114007,0,0,18,13,3,20,0,34,0,96,5,21,33,33,11,14,10,39,6,169,18,52,55,46,40,21,28,70,3,332,39,82,50,43,47,39,27,65,6,399,47,57,66,58,57,42,36,81,9,437,47,55,53,51,54,32,33,64,3,399,17,12,10,4,13,14,12,10,3,90,17,0,0,0,0,3,4,0,0,24,0,0,0,0,0,0,0,0,0,0,186,274,285,246,227,186,147,366,26,1944
UCL114008,3,3,26,23,7,53,3,28,0,148,5,11,57,30,6,26,12,38,0,191,31,38,70,25,30,26,17,89,3,330,44,46,54,42,36,22,32,74,10,358,59,67,65,55,61,35,38,118,6,512,53,70,46,47,57,36,52,101,3,461,27,14,18,12,12,17,11,13,3,123,4,4,0,0,0,0,0,0,8,16,0,0,0,0,0,0,0,0,0,0,232,261,329,236,210,214,175,456,33,2143
UCL114009,9,3,32,18,7,81,4,54,6,204,13,31,52,46,34,43,16,58,6,299,50,89,88,78,46,53,27,81,5,518,50,87,87,71,76,58,37,64,14,539,84,101,75,76,73,72,49,99,10,638,67,85,75,60,76,46,41,93,6,550,24,26,23,13,17,11,13,19,3,158,9,3,6,3,0,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,306,427,427,359,328,364,188,475,51,2934
