UCL_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
UCL114022,3,0,0,0,0,0,6,3,12,105,148,30,285,12,15,30,310,254,5,571
UCL114023,0,3,0,0,0,0,4,5,13,61,70,6,138,8,12,22,161,211,7,386
UCL114024,0,3,0,0,0,3,3,4,12,67,61,13,138,10,10,21,158,122,3,293
UCL114025,0,0,0,3,0,5,12,0,18,120,98,11,233,17,26,43,273,252,7,532
UCL114026,0,0,0,0,0,0,3,0,9,65,89,9,159,9,10,21,176,88,5,272
UCL114027,0,0,0,0,0,0,0,0,0,57,52,6,107,3,14,16,129,77,3,201
UCL114028,0,3,0,0,0,3,5,3,10,38,51,8,91,7,7,16,110,110,3,223
UCL114029,0,7,0,0,0,4,0,0,4,77,72,5,150,7,13,24,169,98,0,275
UCL114030,0,0,0,0,0,0,4,3,7,75,70,9,153,10,8,13,166,128,6,303
UCL114031,0,3,0,0,0,3,14,7,23,86,73,12,172,15,17,31,203,220,7,426
UCL114032,0,3,0,0,0,3,3,6,8,48,68,7,119,15,12,28,146,111,4,260
UCL114033,0,0,0,0,0,0,0,0,3,20,20,0,42,3,0,4,42,25,0,66
UCL114034,0,3,0,0,0,3,0,0,3,73,62,8,147,4,5,8,159,72,0,231
UCL114035,0,0,0,0,0,0,3,5,8,77,121,6,209,23,15,33,242,179,9,431
UCL115001,0,0,0,0,0,0,0,0,0,20,20,3,37,9,3,10,43,32,3,77
UCL115002,0,0,0,0,0,0,0,0,0,33,13,0,49,0,3,3,50,20,0,67
UCL115003,0,0,0,0,0,0,0,0,0,19,15,3,41,0,7,7,45,31,0,75
UCL115004,0,0,0,0,0,0,7,0,7,11,12,3,20,0,7,4,28,29,0,52
UCL115005,0,0,0,0,0,0,0,0,0,16,33,4,54,0,0,0,57,17,0,76
UCL115006,0,0,0,0,0,0,0,0,0,42,29,5,75,7,3,11,81,36,0,124
UCL115007,0,0,0,0,0,0,0,0,0,3,11,0,18,0,0,0,18,13,3,30
UCL115008,0,4,0,0,0,4,0,0,3,18,16,3,40,0,0,0,35,20,0,56
UCL115009,0,0,0,0,0,0,0,0,0,3,7,0,20,0,3,4,24,21,0,44
UCL115010,0,0,0,0,0,0,0,0,0,14,14,0,33,8,0,8,39,34,0,73
UCL115011,0,0,0,0,0,0,0,0,0,13,10,0,26,0,0,0,26,22,0,49
UCL115012,0,0,0,0,0,0,3,3,5,57,51,6,114,7,9,16,126,115,7,249
UCL115013,0,0,0,0,0,0,0,0,0,54,67,5,120,5,9,11,130,75,3,214
UCL115014,0,0,0,0,0,0,0,0,0,11,19,4,29,3,0,3,31,17,0,52
UCL115015,0,0,0,0,0,0,0,0,0,15,21,0,29,0,0,0,29,27,0,53
UCL115016,0,0,0,0,0,0,3,0,4,5,12,0,16,0,0,0,16,31,0,50
UCL115017,3,3,0,0,0,3,0,0,3,53,48,5,112,3,10,9,122,90,0,211
UCL115018,0,0,0,0,0,0,3,0,4,34,37,0,74,15,7,23,94,71,3,170
UCL115019,0,0,0,0,0,0,0,0,0,8,8,0,15,0,0,0,18,32,0,50
UCL115020,0,0,0,0,0,0,0,0,0,33,33,4,69,0,0,0,72,43,3,116
UCL115021,0,0,0,0,0,0,4,0,4,12,16,0,28,3,0,6,37,29,0,66
UCL115022,0,0,3,0,3,3,7,4,12,34,9,0,43,4,4,10,50,50,5,110
UCL115023,0,0,0,0,0,0,0,0,0,21,14,0,40,3,3,6,43,20,0,58
UCL115024,0,0,0,0,0,0,3,0,6,20,16,3,33,0,0,3,36,22,0,59
UCL115025,0,0,0,0,0,0,0,0,0,41,38,3,77,8,6,15,91,41,0,136
UCL115026,0,0,0,0,0,0,0,0,0,31,36,7,73,0,0,3,72,29,0,105
UCL115027,0,0,0,0,0,0,0,0,0,26,39,3,64,5,9,15,79,34,0,115
UCL115028,0,0,0,0,0,0,4,0,4,11,14,0,21,4,0,4,26,39,3,65
UCL115029,0,0,0,0,0,0,0,0,0,33,33,3,62,0,3,6,67,28,0,101
UCL115030,0,0,0,0,0,0,0,0,0,19,27,0,46,0,0,0,46,31,0,75
UCL115031,0,0,0,0,0,0,0,0,0,45,21,0,72,0,0,3,75,13,0,86
UCL115032,0,0,0,0,0,0,0,0,0,22,17,0,37,3,4,4,45,27,3,74
UCL115033,0,4,0,0,0,4,0,0,3,52,31,6,89,3,3,8,92,46,0,138
UCL115034,0,0,0,0,0,0,0,0,3,29,19,0,50,0,6,12,57,66,3,126
UCL115035,0,0,0,0,0,0,0,0,0,18,9,0,25,0,0,0,27,12,0,38
UCL115036,0,0,0,0,0,0,0,0,0,15,16,0,34,3,3,4,44,48,0,85
UCL115037,0,0,0,0,0,0,0,6,6,48,29,10,78,3,4,6,82,52,4,139
UCL115038,0,0,0,0,0,0,0,0,0,19,16,0,43,3,0,3,42,22,0,70
UCL115039,0,0,0,0,0,0,7,0,5,21,36,8,65,11,5,21,84,73,3,159
UCL115040,0,0,0,0,0,0,0,4,4,21,7,0,33,0,4,9,38,26,4,67
UCL115041,0,0,0,0,0,0,3,0,3,25,34,0,60,7,3,7,65,61,3,135
UCL115042,0,0,0,0,0,0,5,3,7,28,19,10,53,5,5,12,66,94,7,163
UCL115043,0,0,0,0,0,0,0,0,0,15,15,3,31,0,3,7,40,31,0,68
UCL115044,0,0,0,0,0,0,0,0,0,15,26,3,44,0,0,4,50,37,0,80
UCL115045,0,0,0,0,0,0,0,5,8,41,28,9,73,3,10,10,84,73,5,162
UCL115046,0,0,0,0,0,0,3,0,3,12,11,0,26,0,0,3,26,30,0,56
UCL115047,0,0,0,0,0,0,0,0,3,15,24,0,41,4,0,6,48,31,0,76
UCL115048,0,3,0,0,0,3,0,0,3,16,22,3,42,0,3,3,45,22,0,69
UCL115049,0,0,0,0,0,0,3,0,3,3,13,3,20,3,3,6,26,28,0,53
UCL115050,0,0,0,0,0,0,0,0,0,12,8,0,26,0,3,3,28,13,0,40
UCL115051,0,0,0,0,0,0,0,3,3,25,30,3,56,0,4,8,60,56,3,120
UCL115052,0,3,0,0,0,3,3,0,3,28,38,3,68,5,3,11,77,72,0,154
UCL115053,0,0,0,0,0,0,0,0,0,40,21,0,61,0,4,4,67,16,0,80
UCL115054,0,0,0,0,0,0,3,0,0,34,36,6,83,3,0,6,86,66,0,154
UCL115055,0,0,0,0,0,0,0,0,3,8,10,3,18,0,0,0,22,31,0,49
UCL115056,0,0,0,0,0,0,0,3,6,26,23,0,49,3,7,8,60,29,3,92
UCL115057,0,3,0,0,0,3,0,3,8,34,32,6,73,6,3,4,81,31,3,107
UCL115058,0,0,0,0,0,0,0,0,0,17,11,3,32,3,6,7,37,42,0,80
UCL115059,0,0,0,0,0,0,0,0,0,24,14,0,36,0,0,0,36,22,0,56
UCL115060,0,0,0,0,0,0,0,0,0,14,17,0,36,0,0,0,41,15,0,53
UCL115061,0,0,0,0,0,0,3,0,3,33,39,3,77,3,3,5,82,34,0,123
UCL115062,0,0,0,0,0,0,3,5,10,23,35,5,67,10,8,18,79,77,9,164
UCL115063,0,0,0,0,0,0,0,0,0,52,27,0,79,4,0,3,84,23,0,103
UCL115064,0,0,0,0,0,0,4,0,4,17,25,6,53,0,4,9,60,80,0,135
UCL115065,0,0,0,0,0,0,0,0,0,19,5,3,23,0,0,0,23,3,0,29
UCL115066,0,0,0,0,0,0,0,0,0,12,11,3,23,0,0,0,20,17,0,44
UCL115067,0,0,0,0,0,0,0,0,0,13,10,0,25,4,0,3,32,45,0,77
UCL115068,0,0,0,0,0,0,7,0,4,26,34,11,65,4,7,11,73,63,0,141
UCL115069,0,0,0,0,0,0,0,0,0,14,19,3,46,4,4,13,55,44,0,100
UCL115070,0,0,0,0,0,0,0,0,3,8,6,3,18,0,0,0,18,20,5,42
UCL115071,0,0,0,0,0,0,0,0,0,18,26,0,50,4,3,7,56,40,3,100
UCL115072,0,0,0,0,0,0,3,3,7,24,27,0,53,0,8,7,54,55,3,110
UCL115073,0,0,0,0,0,0,0,0,4,15,16,0,34,0,3,5,36,53,5,85
UCL115074,0,0,0,0,0,0,3,0,3,17,29,4,47,6,3,7,49,64,4,112
UCL115075,0,0,0,0,0,0,3,0,3,20,38,0,61,0,6,5,69,43,3,113
UCL115076,0,0,0,0,0,0,3,0,3,31,42,4,76,3,3,7,87,37,0,127
UCL115077,0,0,0,0,0,0,0,0,0,8,6,0,17,3,0,3,23,19,0,43
UCL115078,0,0,0,0,0,0,0,0,0,3,14,0,22,3,0,3,27,33,0,59
UCL115079,0,0,0,0,0,0,0,0,0,24,22,3,46,3,0,3,50,33,0,82
UCL115080,0,0,0,0,0,0,0,0,0,14,16,3,34,0,3,3,37,49,0,85
UCL115081,0,0,0,0,0,0,0,0,0,27,11,0,39,0,0,3,44,15,0,58
UCL115082,0,0,0,0,0,0,0,0,0,14,8,0,27,0,3,3,28,23,0,50
UCL115083,0,0,0,0,0,0,0,0,0,3,9,0,19,0,3,3,21,16,0,37
UCL115084,0,0,0,0,0,0,0,0,0,54,44,7,111,8,0,11,117,92,0,209
UCL115085,0,0,0,0,0,0,0,0,0,5,5,0,12,3,0,3,17,44,0,64
UCL115086,0,0,0,0,0,0,0,0,3,0,13,3,19,0,5,5,19,33,0,57
UCL115087,0,0,0,0,0,0,0,0,0,17,17,3,40,0,3,3,39,29,0,77
UCL115088,0,0,0,0,0,0,0,0,0,9,7,0,20,0,0,0,20,10,0,33
UCL115089,0,0,0,0,0,3,0,0,5,21,34,4,57,9,9,14,75,81,0,157
UCL115090,0,0,0,0,0,0,0,0,0,11,14,4,28,3,4,7,36,34,0,69
UCL115091,0,0,0,0,0,0,0,0,0,28,44,3,70,0,0,0,76,48,0,121
UCL115092,0,0,0,0,0,0,0,0,3,23,37,3,64,5,3,14,76,52,0,126
UCL115093,0,0,0,0,0,0,0,0,4,13,18,0,32,3,0,6,40,61,0,104
UCL115094,0,0,0,0,0,0,5,3,7,29,47,3,78,3,7,8,84,94,3,176
UCL115095,0,0,0,0,0,0,3,0,7,18,29,3,51,3,3,8,54,77,0,140
UCL115096,0,0,0,0,0,0,0,0,5,23,30,0,55,0,0,0,60,25,0,86
UCL115097,0,0,0,0,0,0,4,4,4,17,32,5,47,3,4,10,56,69,6,135
UCL115098,0,0,0,0,0,0,0,0,3,8,16,3,29,0,0,0,29,17,0,44
UCL115099,0,0,0,0,0,0,0,3,3,22,16,7,36,3,0,3,41,31,3,75
UCL115100,0,0,0,0,0,0,3,3,6,17,36,7,59,4,0,8,69,63,3,131
UCL115101,0,3,0,0,0,3,3,3,7,30,87,9,126,7,8,14,138,82,3,226
UCL115102,0,0,0,0,0,0,0,0,0,15,3,0,21,0,0,0,21,7,0,28
UCL115103,0,0,0,0,0,0,6,0,6,19,31,3,54,4,5,5,58,78,0,139
UCL115104,0,0,0,0,0,0,3,3,6,29,48,3,83,4,4,15,96,94,8,197
UCL115105,0,0,0,0,0,0,10,0,11,46,34,8,84,4,11,15,102,126,3,229
UCL115106,0,0,0,0,0,0,0,0,3,16,18,3,38,5,3,7,46,43,0,85
UCL115107,0,4,0,0,0,4,4,3,11,24,30,3,55,11,3,11,68,51,5,127
UCL115108,0,0,0,0,0,0,0,0,0,59,107,3,170,8,4,9,178,90,0,267
UCL115109,0,0,0,0,0,3,0,0,3,40,55,3,99,15,7,16,116,71,0,188
UCL115110,0,0,0,0,0,0,0,0,3,4,24,0,34,0,4,3,37,35,0,74
UCL115111,0,0,0,0,0,0,0,0,3,25,28,3,55,0,3,3,54,29,0,89
UCL115112,0,0,0,0,0,0,0,0,0,50,48,6,101,3,7,14,120,43,0,160
UCL115113,0,0,0,0,0,0,0,0,0,17,9,3,33,0,0,3,36,26,0,54
UCL115114,0,0,0,0,0,0,5,0,7,16,13,0,31,4,3,15,48,47,3,95
UCL115115,0,0,0,0,0,3,4,4,6,43,30,3,75,7,10,20,97,79,4,177
UCL115116,0,0,0,0,0,0,3,0,4,93,49,6,150,6,5,6,156,86,0,240
UCL115117,0,0,0,0,0,0,0,0,0,13,17,0,31,3,0,3,30,10,0,46
UCL115118,0,0,0,0,0,0,0,0,6,47,56,7,115,7,4,13,125,72,4,201
UCL115119,0,0,0,0,0,0,4,0,5,63,54,3,116,4,5,13,132,69,3,202
UCL115120,0,0,0,0,0,0,0,0,0,34,27,0,59,0,0,0,66,49,0,111
UCL115121,0,0,0,0,0,0,0,0,3,54,40,3,100,3,4,5,105,46,0,152
UCL115122,0,0,0,0,0,0,0,0,0,9,9,3,24,0,0,0,21,7,0,33
UCL115123,0,0,0,0,0,0,0,0,0,11,14,0,29,0,0,3,31,27,0,62
UCL115124,0,4,0,0,0,4,0,0,3,24,52,3,74,3,3,6,85,40,0,123
UCL115125,0,0,0,0,0,0,0,0,0,10,11,4,18,4,3,4,28,7,0,31
UCL115126,0,0,0,0,0,0,0,0,6,16,33,3,55,3,0,3,58,73,4,135
UCL115127,0,4,0,0,0,4,3,0,9,84,64,5,153,6,9,15,173,89,0,260
UCL115128,0,0,0,0,0,0,0,0,0,37,45,4,88,3,7,12,93,102,4,197
UCL115129,0,0,0,0,0,0,0,0,0,18,18,0,37,0,0,0,42,15,0,54
UCL115130,0,0,0,0,0,0,0,0,0,11,16,3,27,0,5,5,32,24,0,60
UCL115131,0,0,0,0,0,0,6,0,8,28,56,3,87,6,6,11,97,97,3,198
UCL115132,0,0,0,0,0,0,0,0,0,28,31,3,58,9,8,14,76,70,0,144
UCL115133,0,0,0,0,0,0,3,0,3,31,20,0,45,3,0,3,51,20,0,75
UCL115134,0,0,0,0,0,0,0,3,6,47,28,3,78,4,5,9,85,45,3,136
UCL115135,0,0,0,0,0,0,3,0,3,25,20,0,43,0,3,3,47,37,0,82
UCL115136,0,0,0,0,0,0,0,0,0,6,5,0,12,0,0,0,10,18,0,30
UCL115137,0,0,0,0,0,0,0,0,0,13,14,3,29,0,0,4,33,24,3,58
UCL115138,0,0,0,0,0,0,0,0,0,15,25,3,47,0,0,3,49,36,3,87
UCL115139,0,0,0,0,0,0,0,0,5,22,34,0,54,5,3,14,66,54,4,119
UCL115140,0,0,0,0,0,0,3,0,3,32,41,0,71,3,10,11,82,62,3,152
UCL115141,0,0,0,0,0,0,0,0,0,14,11,0,24,0,0,3,28,12,0,45
UCL115142,0,0,0,0,0,0,0,0,0,17,29,3,52,4,3,3,55,40,0,90
UCL115143,0,0,0,0,0,0,0,0,3,13,22,3,34,0,0,3,39,26,0,65
UCL115144,0,0,0,0,0,0,7,7,16,26,19,0,43,10,3,11,56,64,9,136
UCL115145,0,0,0,0,0,0,0,0,0,13,11,0,29,0,0,0,30,11,0,39
UCL115146,0,0,0,0,0,0,0,0,3,20,24,3,44,3,3,10,52,39,0,97
UCL115147,0,0,0,0,0,0,0,0,0,9,9,0,20,3,3,8,27,31,0,56
UCL115148,0,0,0,0,0,0,5,3,9,11,16,0,32,9,10,14,44,37,3,88
UCL115149,0,0,0,0,3,3,3,0,9,17,12,3,33,3,3,7,35,56,0,87
UCL115150,0,0,0,0,0,4,9,3,18,63,49,4,117,21,11,31,155,154,6,308
UCL115151,0,0,0,0,0,0,3,3,3,13,15,0,33,0,3,3,33,27,3,64
UCL115152,0,0,0,0,0,0,0,0,3,16,13,3,30,7,6,11,44,36,0,79
UCL115153,0,3,0,0,0,3,0,0,4,38,26,3,65,4,0,6,76,37,3,114
UCL115154,0,0,0,0,0,0,0,0,0,26,17,0,42,0,0,0,46,30,0,80
UCL115155,0,0,0,0,0,0,0,0,0,19,6,0,26,0,0,0,26,6,0,32
UCL115156,3,6,0,0,0,6,8,0,16,48,71,7,128,11,5,18,143,158,3,297
UCL115157,0,0,0,0,0,0,0,0,0,40,33,10,81,3,0,4,89,38,0,122
UCL115158,0,0,0,0,0,0,5,0,7,51,61,10,128,4,9,14,139,85,8,229
UCL115159,0,0,0,0,0,0,0,0,0,18,18,3,41,4,0,4,46,23,0,69
UCL115160,0,0,0,0,0,0,0,0,0,4,8,0,15,0,0,3,19,12,0,36
UCL115161,0,0,0,0,0,0,0,0,0,20,7,0,27,3,0,3,30,17,0,44
UCL121001,0,0,0,0,0,0,0,0,0,3,10,0,11,0,0,3,19,9,0,33
UCL121002,0,0,0,0,0,0,0,0,0,8,6,0,12,0,0,0,12,25,0,41
UCL121003,0,0,0,0,0,0,0,0,0,3,10,0,10,0,3,0,12,7,0,25
UCL121004,0,0,0,0,0,0,0,0,0,7,10,0,11,3,0,3,17,13,0,28
UCL121005,0,0,0,0,0,0,0,0,0,6,8,0,9,0,0,0,9,12,0,21
UCL121006,0,0,0,0,0,0,3,0,3,3,3,0,8,0,0,0,7,15,0,21
UCL121007,0,0,0,0,0,0,0,0,0,14,7,0,21,0,0,0,26,9,0,33
UCL121008,0,0,0,0,0,0,0,0,0,9,4,0,16,3,3,6,20,14,0,32
UCL121009,0,0,0,0,0,0,3,0,3,7,0,0,7,3,3,6,10,32,0,46
UCL121010,0,0,0,0,0,0,0,0,3,16,17,0,31,3,0,3,33,28,0,63
UCL121011,0,0,0,0,0,0,0,0,3,9,26,0,28,3,7,8,36,50,5,91
UCL121012,0,0,0,0,0,0,0,0,0,9,0,0,13,0,0,0,13,8,0,17
UCL121013,0,0,0,0,0,3,6,3,11,9,5,6,21,0,6,9,30,41,3,70
UCL121014,0,0,0,0,0,0,0,0,0,21,3,0,19,0,0,0,19,12,0,29
UCL121015,0,0,0,0,0,0,0,0,0,3,7,0,13,0,0,0,11,11,0,27
UCL121016,0,0,0,0,0,0,0,0,0,11,10,3,21,3,0,5,19,25,0,42
UCL121017,0,0,0,0,0,0,0,0,0,4,3,0,9,0,0,0,9,6,0,17
UCL121018,0,0,0,0,0,0,0,0,0,4,4,0,16,0,0,0,13,10,0,20
UCL121019,0,0,0,0,0,0,0,0,0,5,6,0,17,0,0,0,16,15,0,29
UCL121020,0,0,0,0,0,0,0,0,0,10,9,0,18,0,0,0,17,15,3,38
UCL121021,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,3,6,5,0,19
UCL121022,0,0,0,0,0,0,0,0,4,10,15,3,22,0,0,0,24,36,0,66
UCL121023,0,0,0,0,0,0,0,0,0,5,3,0,10,0,0,3,16,15,0,29
UCL121024,0,0,0,0,0,0,0,0,0,9,5,0,12,0,0,0,9,5,0,15
UCL121025,0,0,0,0,0,0,0,0,0,13,28,0,44,0,0,4,42,14,0,62
UCL121026,0,0,0,0,0,0,0,0,0,14,8,0,23,3,0,3,28,8,0,34
UCL121027,0,0,0,0,0,0,0,0,0,11,5,0,17,0,3,3,21,4,0,29
UCL121028,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,9,10,0,22
UCL121029,0,0,0,0,0,0,0,0,0,4,5,0,12,4,0,4,14,15,0,34
UCL121030,0,0,0,0,0,3,0,0,3,3,3,3,7,0,3,3,10,28,0,37
UCL121031,0,0,0,0,0,0,4,0,4,11,9,0,21,0,0,3,25,33,0,53
UCL121032,0,0,0,0,0,0,0,0,0,7,12,6,23,0,0,0,23,16,0,39
UCL121033,0,0,0,0,0,0,0,0,0,8,4,0,16,3,0,3,19,18,0,35
UCL121034,0,0,0,0,0,0,0,0,0,13,4,0,14,0,0,0,21,8,0,25
UCL121035,0,0,0,0,0,0,0,0,0,10,16,0,28,0,3,3,26,30,0,61
UCL121036,0,0,0,0,0,0,0,0,0,3,8,3,10,0,0,0,12,9,0,21
UCL121037,0,0,0,0,0,0,3,0,3,11,10,0,18,0,3,3,17,15,0,31
UCL121038,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,5,9,0,18
UCL121039,0,0,0,0,0,0,0,0,0,4,7,0,15,0,0,0,15,8,0,22
UCL121040,0,0,0,0,0,0,0,0,0,9,9,0,14,0,0,0,18,8,0,20
UCL121041,0,0,0,0,0,0,0,0,0,6,3,0,6,0,0,0,6,5,0,9
UCL121042,0,0,0,0,0,0,0,0,0,0,10,0,9,4,0,4,16,11,0,23
UCL121043,0,0,0,0,0,0,0,0,0,5,11,0,15,0,0,0,19,14,0,30
UCL121044,0,0,0,0,0,0,0,0,0,11,5,0,19,0,0,0,23,9,0,29
UCL121045,0,0,0,0,0,0,0,0,0,5,14,0,21,0,3,3,21,8,0,30
UCL121046,0,0,0,0,0,0,0,0,0,10,3,0,13,0,0,0,13,13,0,26
UCL121047,0,0,0,0,0,0,0,0,0,8,7,0,13,0,3,3,18,10,0,26
UCL121048,0,0,0,0,0,0,0,0,4,6,3,0,11,0,0,0,15,13,0,29
UCL121049,0,0,0,0,0,0,0,0,0,3,4,0,6,0,0,0,11,9,0,20
UCL121050,0,0,0,0,0,0,0,0,0,18,12,0,27,3,3,4,35,26,3,66
UCL121051,0,0,0,0,0,0,0,0,0,3,10,0,12,3,3,3,15,24,0,43
