UCL_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
UCL112003,68,3,0,4,76,13,0,91,801,165,7,0,973,22,3,27,996,85,0,1078,1345,283,32,6,1667,13,5,17,1683,87,0,1769,129,21,11,0,163,0,0,0,163,10,0,172,3,0,0,11,19,0,0,0,21,3,0,23,2276,469,51,25,2822,40,6,47,2869,178,0,3045,14,3,3,0,19,4,0,4,21,3,0,21,57,10,0,4,67,4,0,6,69,8,0,74,70,7,3,3,84,9,0,5,95,9,0,102,2345,476,49,30,2907,44,8,51,2959,186,0,3146,816,116,19,25,978,26,4,23,1005,93,0,1100,0,0,0,0,0,0,0,0,0,6,0,8,3165,594,69,60,3887,65,13,82,3964,290,0,4257
UCL112004,34,0,0,0,34,3,0,34,677,71,12,5,764,5,5,9,775,34,0,812,1176,150,20,8,1355,4,0,4,1363,18,0,1387,65,4,15,0,87,0,0,0,87,3,0,88,3,3,0,11,16,0,0,0,16,0,0,19,1918,230,54,29,2230,11,5,14,2244,60,3,2314,15,0,0,0,15,3,0,3,13,4,0,20,35,7,0,0,44,0,0,0,44,4,0,44,48,7,0,0,56,3,0,3,57,8,0,65,1966,238,54,29,2285,14,5,18,2303,65,3,2375,514,60,3,3,574,3,0,5,580,71,3,653,3,0,0,0,3,0,0,0,3,0,0,3,2483,301,58,30,2867,16,3,25,2885,135,9,3030
UCL112005,24,0,0,0,24,0,0,26,496,38,14,3,554,20,0,24,575,37,0,615,835,115,13,9,971,21,0,22,991,78,0,1074,89,5,28,0,126,0,0,0,126,4,0,133,11,3,0,7,16,0,0,0,16,0,0,17,1426,162,56,25,1667,42,3,46,1708,127,0,1836,3,5,0,0,11,11,0,11,22,5,0,31,37,5,3,4,41,0,0,0,45,13,0,56,37,13,3,4,55,16,0,16,70,17,0,86,1465,177,55,28,1723,54,3,53,1776,147,0,1926,533,95,12,32,670,58,12,70,740,207,0,949,3,0,0,0,10,0,0,0,10,0,7,16,2005,269,69,58,2399,113,14,123,2524,351,9,2886
UCL112006,50,0,0,0,50,13,0,60,1392,186,8,11,1601,26,22,47,1646,121,4,1766,2089,408,31,39,2572,34,11,42,2612,110,3,2731,178,20,35,0,239,0,0,3,238,4,0,244,30,0,0,18,39,0,0,0,39,3,4,49,3689,619,74,68,4447,61,35,89,4543,240,11,4788,27,15,0,3,48,26,6,33,75,0,0,78,83,11,3,0,102,31,11,35,138,6,0,143,111,33,3,3,150,51,14,66,216,12,0,226,3796,651,81,70,4598,115,48,162,4757,246,11,5013,996,186,17,29,1235,40,11,52,1292,321,6,1612,4,0,0,3,10,0,0,0,10,0,19,26,4803,840,100,102,5837,155,61,216,6051,564,29,6651
UCL112007,26,0,0,0,26,3,0,22,1445,116,8,8,1575,26,3,27,1602,92,5,1699,1741,182,15,13,1951,5,8,16,1970,33,0,2009,201,17,20,0,244,3,4,9,252,0,0,250,12,0,0,15,29,0,0,0,29,4,0,40,3406,318,39,31,3801,34,12,52,3849,130,7,3990,29,14,3,0,43,7,0,7,46,0,0,47,40,0,0,5,48,0,0,0,48,0,0,48,68,15,3,5,90,7,0,7,99,0,0,97,3475,333,40,41,3892,43,12,55,3951,133,7,4088,779,70,27,16,886,55,0,55,949,138,0,1090,17,0,0,0,17,0,0,0,17,0,9,19,4272,406,66,55,4798,100,18,109,4909,278,16,5199
UCL112008,25,0,0,0,25,3,0,29,722,80,8,12,823,13,6,23,847,39,0,882,979,124,13,12,1139,16,7,22,1163,35,0,1197,95,17,9,3,124,3,0,3,134,10,0,136,14,8,0,14,35,0,0,0,35,3,0,34,1806,233,37,44,2122,33,11,49,2170,82,0,2254,18,8,0,0,26,3,3,7,37,5,0,45,57,9,3,0,66,3,3,8,68,3,0,76,75,15,3,0,90,7,10,17,103,13,0,116,1883,248,37,44,2212,47,21,63,2272,100,0,2370,519,94,16,18,647,26,3,35,676,114,4,791,5,0,0,0,5,0,0,0,5,0,5,8,2402,340,53,63,2855,69,23,97,2954,208,6,3174
UCL112009,18,0,0,0,18,3,0,21,778,121,4,6,913,10,7,22,933,48,0,984,1100,202,8,6,1319,15,4,22,1338,67,4,1412,87,12,12,3,113,4,0,7,120,3,0,119,7,3,0,10,20,0,3,3,27,0,0,27,1977,335,29,23,2367,31,18,50,2413,120,7,2537,16,12,0,0,27,12,0,12,42,0,0,42,48,14,0,0,63,10,0,10,70,7,0,75,62,24,0,0,90,21,0,21,107,7,0,116,2041,362,29,23,2454,50,16,70,2526,127,7,2651,511,160,8,11,683,28,20,43,730,157,0,890,0,0,0,0,0,0,0,0,4,4,7,14,2551,521,38,36,3140,79,42,120,3260,278,18,3558
UCL112010,0,0,0,0,0,0,0,0,89,8,0,0,97,0,0,0,100,4,0,104,146,12,6,4,175,3,0,3,178,0,0,178,31,0,0,0,31,0,0,0,31,0,0,33,0,0,0,3,3,0,0,0,3,0,4,6,267,25,8,12,303,4,0,4,309,8,4,317,3,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,4,267,25,8,12,313,4,0,4,312,8,4,322,67,8,0,0,76,0,3,3,75,18,0,92,0,0,0,0,0,0,0,0,0,0,0,0,335,35,8,15,387,4,3,9,396,23,4,421
UCL112011,27,0,0,0,27,6,0,36,732,113,24,0,880,16,3,17,895,56,0,957,1336,162,19,11,1528,18,13,33,1560,69,4,1636,115,9,17,0,141,9,0,9,153,20,3,168,7,0,3,27,31,0,0,0,33,7,0,39,2188,288,70,37,2582,46,15,63,2645,143,9,2796,24,10,0,0,34,5,0,5,36,3,0,44,46,19,0,6,61,0,0,0,61,16,0,84,64,23,0,5,98,5,0,5,100,20,0,120,2257,314,70,43,2680,51,15,64,2747,165,9,2920,827,119,19,19,988,61,0,69,1051,271,4,1333,0,0,0,0,4,0,0,0,8,0,18,19,3087,434,89,68,3672,113,19,136,3803,440,24,4273
UCL112012,24,3,0,3,27,9,0,31,1449,153,22,19,1634,43,13,54,1695,72,6,1770,2084,190,27,20,2315,16,0,16,2337,92,9,2429,210,21,30,3,258,3,0,3,263,0,0,265,26,3,0,26,56,0,0,0,56,0,0,56,3762,360,77,66,4268,63,12,75,4348,160,18,4524,50,9,0,0,56,3,0,3,62,9,0,72,99,3,3,0,105,10,3,12,116,4,0,120,150,12,3,0,158,13,3,14,177,15,0,188,3910,377,79,66,4430,79,13,96,4524,177,18,4711,919,145,28,33,1115,52,5,58,1172,216,0,1388,0,3,0,5,13,0,0,0,13,0,0,11,4834,519,103,100,5555,128,21,148,5705,392,20,6113
UCL112013,22,3,0,3,20,4,0,32,1489,220,15,3,1727,29,13,33,1763,111,0,1879,2090,316,30,18,2450,44,5,49,2496,83,0,2583,109,32,36,0,177,0,0,0,174,9,0,186,28,3,0,18,46,0,0,0,46,4,0,55,3709,573,81,37,4400,70,18,84,4486,203,5,4693,41,10,0,0,50,7,0,7,60,4,0,62,71,5,0,4,78,7,0,7,93,7,0,95,113,19,0,4,135,21,0,21,150,10,0,165,3819,590,81,38,4526,86,18,107,4635,216,5,4854,845,178,19,17,1057,42,23,60,1119,184,8,1317,8,0,0,9,15,0,0,0,15,3,3,21,4665,770,98,64,5605,126,35,165,5771,404,16,6191
UCL112014,15,0,0,0,15,0,0,17,1040,110,17,6,1176,19,3,26,1204,62,0,1262,1404,200,24,19,1644,16,8,23,1667,52,3,1727,141,21,21,0,182,0,0,0,183,8,0,192,33,0,0,21,52,0,0,0,52,6,0,58,2614,332,64,45,3050,40,9,55,3101,134,9,3245,31,7,0,3,37,14,0,15,59,14,0,68,56,14,0,0,67,10,0,10,80,3,0,87,88,13,3,3,108,26,4,25,136,18,0,154,2702,348,64,46,3157,63,17,80,3240,151,9,3400,693,122,10,14,829,37,13,49,879,184,6,1065,7,5,0,7,16,0,0,0,16,3,5,24,3397,465,71,67,4005,101,23,128,4132,341,13,4491
UCL112015,48,0,0,0,48,6,0,55,2059,226,37,11,2337,38,16,52,2388,131,3,2518,2679,245,27,20,2976,17,5,25,3003,66,0,3066,271,33,35,3,335,0,0,0,335,13,0,348,29,3,0,10,46,0,0,0,46,3,3,51,5043,507,101,41,5690,59,24,83,5771,204,8,5983,63,4,0,0,72,10,0,6,77,9,4,89,103,10,0,3,113,0,0,0,112,3,4,117,166,14,0,3,183,10,3,12,196,10,3,209,5208,519,101,41,5877,63,26,95,5967,216,8,6194,1100,138,46,19,1305,75,11,81,1391,316,7,1711,7,0,0,3,9,0,0,0,9,3,14,29,6313,661,146,66,7192,137,38,177,7368,539,32,7937
UCL113001,13,0,0,0,14,0,0,17,307,57,0,11,373,5,0,5,382,17,0,399,493,116,6,4,621,11,6,19,637,33,3,677,41,0,9,0,47,0,0,0,47,3,0,53,0,0,0,8,11,0,0,0,11,0,0,11,844,172,13,22,1054,20,6,26,1076,58,3,1135,8,3,0,0,15,5,0,5,14,0,0,20,10,4,0,0,19,3,0,3,22,0,0,22,21,11,0,0,32,6,0,6,36,0,0,40,862,180,13,22,1085,26,6,29,1112,54,3,1173,246,54,12,12,324,17,4,22,345,58,3,405,0,0,0,0,0,0,0,0,0,0,5,5,1104,242,29,39,1415,40,9,52,1462,115,8,1589
UCL113002,4,0,0,0,4,0,0,4,195,32,3,3,229,3,3,3,238,6,0,243,249,104,4,0,361,4,9,19,378,40,0,425,22,0,0,0,22,0,0,0,22,0,0,30,4,0,0,0,4,0,0,0,4,0,0,9,470,137,9,4,628,6,13,21,649,49,0,697,9,0,0,0,11,5,0,5,14,3,0,18,15,6,0,0,18,3,0,8,26,0,0,26,21,5,0,0,25,15,0,12,43,5,0,45,498,144,9,4,651,24,14,32,687,55,0,747,152,49,3,18,231,42,3,45,273,79,11,363,0,0,0,0,0,0,0,0,0,0,3,4,651,197,14,28,882,61,20,77,963,135,18,1111
UCL113003,3,0,0,0,3,3,0,4,418,40,5,7,473,14,0,17,485,49,0,535,543,42,9,9,613,16,3,22,634,35,0,669,58,6,6,0,75,0,0,3,80,6,0,85,7,0,0,12,16,0,4,4,22,0,0,22,1025,89,24,28,1173,37,7,43,1220,92,0,1310,15,0,0,0,14,5,3,9,30,0,0,30,19,3,0,0,28,6,0,7,30,0,0,27,33,4,0,0,41,9,5,16,54,0,0,59,1061,97,24,31,1214,47,10,56,1272,89,0,1369,252,58,7,18,335,32,12,39,372,94,5,473,7,0,0,0,7,0,0,0,7,0,11,13,1317,154,38,50,1560,76,23,97,1656,190,9,1855
