SED_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
SED20401,39,290,3,71,46,4,0,5,3,463,12,76,7,8,17,0,0,3,0,119,259,1728,104,312,478,182,17,64,20,3162,0,4,0,17,5,8,0,0,0,34,96,181,38,175,197,67,3,26,5,795,148,209,63,419,368,129,14,50,13,1415,121,121,265,604,500,215,45,111,18,2008,11,10,5,41,64,38,6,9,3,187,20,28,12,111,106,48,3,22,3,349,3,20,8,18,33,11,0,7,0,109,15,37,8,49,51,27,11,35,18,257,818,3228,541,1885,1976,756,108,343,100,9754,5,19,3,3,5,3,0,0,0,36,27,147,3,3,7,0,0,4,3,204,229,774,54,72,182,60,12,23,13,1425,11,59,0,0,3,3,0,0,0,76,72,443,17,89,56,9,0,6,7,697,32,101,17,9,23,3,0,3,0,189,736,2930,337,450,698,310,92,140,43,5743,5,7,4,15,7,8,0,0,0,47
SED20508,59,305,3,69,41,6,0,0,0,501,9,57,3,7,9,0,0,0,0,86,263,1628,63,236,298,115,8,44,24,2691,0,3,0,11,3,0,0,0,0,21,99,219,41,152,162,50,9,15,5,759,98,159,55,332,276,79,5,33,10,1047,108,114,290,659,443,224,25,124,21,2001,21,10,7,46,44,31,3,18,3,182,14,10,11,94,82,36,3,22,6,284,8,27,5,14,16,3,0,0,0,82,19,39,12,72,43,39,3,26,19,277,793,3034,496,1734,1467,600,50,289,102,8559,8,34,3,0,3,0,0,0,0,53,18,192,0,3,7,0,0,3,0,219,167,522,17,34,52,10,5,3,11,819,7,40,0,5,7,0,0,0,0,65,99,446,20,83,55,12,8,9,3,729,25,79,3,8,9,0,0,0,3,134,622,2575,189,333,402,190,34,111,47,4493,0,5,4,14,6,3,0,0,0,29
SED20604,60,288,3,71,28,4,5,0,5,462,20,99,3,7,7,3,0,0,0,135,271,1564,38,231,259,87,9,44,22,2525,0,5,0,10,7,0,0,0,3,24,88,195,28,155,163,39,3,19,3,705,156,195,75,474,302,91,9,47,15,1362,190,173,349,748,612,313,36,178,16,2608,32,12,12,53,90,50,3,36,5,297,27,7,13,85,118,53,13,39,4,359,12,21,6,9,21,8,3,3,0,80,43,50,13,59,83,45,11,53,25,380,1000,2977,546,1936,1712,708,85,436,98,9494,4,17,0,3,0,0,0,0,0,27,19,117,0,0,5,0,0,0,0,143,190,448,12,31,28,12,0,12,4,742,12,21,4,0,3,0,0,0,0,48,118,426,13,81,32,4,4,10,6,696,34,115,8,10,9,5,0,0,0,188,575,2281,129,319,350,145,49,95,33,3971,0,3,3,12,10,0,0,0,4,34
SED20704,65,412,3,72,50,8,0,3,3,616,9,83,4,8,9,0,0,0,0,119,260,1977,65,218,340,109,4,49,20,3046,0,0,0,9,0,0,0,4,0,23,73,182,30,151,136,36,0,12,3,628,96,162,41,364,228,67,4,41,6,1019,144,133,297,718,521,271,31,154,27,2307,21,9,10,48,71,64,3,27,3,259,32,18,21,99,101,45,11,44,7,374,10,22,3,12,22,4,0,9,0,81,25,44,17,61,52,52,3,42,21,312,817,3514,494,1795,1581,664,63,397,97,9422,4,26,0,0,0,0,0,0,0,27,16,149,4,0,4,0,0,0,6,180,155,586,11,36,54,12,5,9,5,869,9,37,0,7,10,0,0,0,0,61,113,584,21,102,63,13,5,6,3,909,17,105,4,12,14,0,0,8,4,160,615,3105,159,322,470,174,35,113,35,5025,0,3,4,18,4,0,0,4,0,35
SED20804,52,310,14,72,50,5,0,10,3,510,11,80,0,4,7,0,0,0,0,103,237,1506,41,211,247,102,8,69,24,2432,0,3,0,7,4,0,0,0,0,18,49,192,34,137,117,52,4,14,5,599,93,175,44,324,182,68,6,53,11,949,142,115,279,627,423,179,24,173,23,1994,15,9,13,45,50,45,5,36,0,217,20,12,20,89,63,45,8,32,4,287,9,28,3,8,14,7,3,10,4,82,32,50,22,53,43,31,9,35,23,291,731,2950,485,1599,1248,547,67,445,97,8160,0,31,0,0,0,3,0,0,0,37,19,165,3,6,7,0,0,4,0,208,156,526,26,33,53,12,0,16,9,838,4,42,0,3,3,0,0,0,0,57,111,477,28,90,60,11,0,12,7,791,25,94,5,11,12,0,0,0,0,150,492,2411,142,310,313,154,36,146,36,4043,0,3,0,10,8,0,0,0,0,27
SED20906,96,388,8,52,74,16,0,0,6,633,26,59,3,5,18,0,0,0,0,113,634,2332,97,367,701,258,12,69,45,4509,3,0,0,3,7,3,0,0,0,12,128,245,34,141,216,71,5,17,5,860,115,191,62,238,320,108,3,20,7,1068,67,75,147,279,272,111,18,46,15,1029,3,13,3,33,35,11,0,8,3,114,32,38,10,83,85,20,0,8,0,272,18,35,11,14,30,17,0,3,4,127,21,46,11,29,49,31,8,15,27,238,1424,4430,400,1300,1998,689,40,199,132,10611,13,41,3,0,3,0,0,0,0,60,64,384,4,8,13,0,3,0,7,485,638,1374,59,67,274,89,19,28,37,2578,34,79,3,7,12,3,0,0,0,135,186,581,17,63,96,19,5,6,11,989,52,80,3,9,21,0,0,0,3,170,1693,4347,340,528,1030,493,90,154,99,8775,3,4,3,3,7,3,0,0,0,22
SED21001,115,514,10,71,81,24,0,4,7,818,22,84,3,10,19,0,0,0,0,136,675,2939,123,407,858,333,12,80,66,5490,3,0,0,6,0,0,0,0,0,13,113,217,38,138,206,74,3,23,4,819,111,146,70,243,249,110,3,30,12,977,74,73,113,244,241,93,10,32,10,885,9,10,7,15,41,19,0,6,0,113,22,22,6,41,89,22,3,5,4,217,22,52,9,18,20,12,0,3,6,144,9,45,15,35,39,25,3,11,22,199,1464,5429,431,1327,2123,794,36,216,163,11991,12,55,3,5,8,0,0,3,0,79,77,591,9,4,16,10,0,7,6,727,752,1986,117,131,424,162,27,65,54,3717,38,103,0,8,12,4,0,0,0,176,232,773,26,85,114,48,5,9,8,1297,42,128,8,14,22,0,0,0,0,217,1779,5566,448,628,1277,601,101,216,126,10736,4,4,3,9,0,3,0,0,0,22
SED21106,125,504,8,45,71,24,0,3,9,780,24,78,0,5,12,5,0,0,0,124,1039,3025,90,383,731,357,9,39,51,5729,0,3,0,4,3,0,0,3,0,13,146,252,36,115,187,82,6,13,13,856,154,193,45,178,266,105,3,16,5,962,95,75,112,201,211,81,3,27,8,822,17,9,4,29,30,15,3,3,0,107,34,36,9,59,88,28,3,3,5,261,11,47,9,17,31,11,0,0,7,136,25,65,5,26,52,23,0,4,36,244,2153,5680,338,1112,1836,783,28,112,160,12190,19,40,3,3,12,0,0,0,0,76,131,588,4,4,23,5,0,0,16,767,1027,1830,39,72,197,106,0,18,46,3334,67,126,0,11,18,3,0,3,7,227,236,726,20,62,103,31,3,9,6,1201,43,99,3,10,14,7,0,3,3,186,2677,5875,273,564,1067,683,43,103,140,11417,4,3,0,8,4,0,0,3,0,21
SED21203,20,100,0,57,20,5,0,3,0,205,3,13,0,0,7,0,0,0,0,21,120,749,60,255,242,107,18,81,26,1661,0,0,0,7,10,0,0,0,0,23,35,59,28,116,101,34,5,20,7,399,47,97,46,359,160,91,11,40,22,876,47,60,100,467,203,115,30,96,13,1142,6,9,4,34,29,16,7,19,0,124,9,13,10,85,52,23,5,17,4,217,4,12,7,11,14,5,3,6,5,52,6,32,11,76,44,27,5,42,24,269,315,1409,284,1523,926,448,90,343,104,5440,0,14,0,4,0,0,0,0,0,21,8,90,7,3,8,0,0,0,3,118,97,481,61,118,98,63,83,78,19,1089,4,23,4,6,9,0,0,0,0,48,26,160,10,64,31,9,11,3,3,314,6,20,3,3,7,0,0,0,0,41,324,1346,264,429,417,219,250,268,59,3575,3,0,3,7,7,0,0,3,0,33
SED21303,154,747,16,81,123,28,3,4,5,1157,45,176,3,11,29,8,0,0,3,278,887,3953,252,682,1038,483,13,145,75,7532,3,4,0,8,3,0,0,0,4,18,109,216,45,140,147,86,8,17,7,773,143,216,99,252,225,115,5,40,13,1117,116,109,194,275,259,133,20,36,15,1155,9,11,5,32,41,11,0,5,0,122,24,29,17,68,74,27,3,10,3,258,8,52,8,17,26,9,3,3,3,135,20,62,9,33,47,21,0,17,35,241,2007,7906,710,1760,2309,995,62,318,203,16285,17,62,3,3,3,0,0,3,0,92,126,1169,14,8,36,14,3,0,4,1382,779,2815,134,208,423,127,31,77,66,4661,22,112,6,10,16,9,3,0,11,192,266,1160,38,109,163,41,13,14,8,1800,67,246,9,27,44,10,3,0,3,407,1950,7295,663,1061,1609,831,145,373,155,14074,6,7,3,6,8,4,0,3,4,38
SED21401,46,289,0,45,67,12,0,3,8,470,15,54,0,8,12,0,0,0,0,85,538,2016,123,303,721,342,10,51,59,4164,0,3,0,5,0,3,0,0,0,14,66,162,28,99,178,73,0,27,10,638,109,119,39,193,217,119,4,32,11,843,87,64,137,240,190,113,6,46,16,898,9,3,3,26,34,19,0,7,0,100,30,15,16,56,98,44,4,14,3,271,20,36,6,11,36,15,0,5,0,138,28,61,5,52,49,42,5,7,33,283,1175,3675,381,1087,1781,844,39,203,155,9342,15,28,0,0,10,0,0,0,0,48,58,433,7,3,14,5,3,3,0,530,550,1290,77,75,292,121,25,33,39,2496,23,85,7,0,17,7,0,3,0,141,121,436,9,55,80,19,3,9,11,747,29,70,3,6,16,10,0,0,0,129,1489,3815,401,473,1039,633,101,166,128,8243,3,3,0,3,3,3,0,0,0,21
SED21503,42,306,5,62,40,11,0,0,3,470,5,72,4,3,15,0,0,0,0,102,325,1828,85,330,506,233,15,88,33,3435,0,0,0,3,3,0,0,0,0,10,93,158,29,144,183,60,9,16,8,703,85,144,56,306,265,116,8,40,11,1028,86,72,169,476,326,140,12,69,19,1365,3,10,10,28,38,34,0,13,0,138,20,17,19,60,108,32,4,19,3,290,13,26,4,15,34,17,0,3,3,114,16,41,7,57,50,29,7,18,28,248,809,3388,399,1573,1718,730,55,300,118,9091,4,27,0,3,0,3,0,0,0,37,21,311,7,12,12,3,3,3,3,370,307,940,67,114,208,132,34,97,21,1914,17,55,0,11,8,3,3,3,0,102,89,430,8,76,62,21,10,8,7,705,26,81,7,7,18,0,0,0,3,141,835,3149,316,512,757,399,123,265,68,6420,3,8,4,3,3,0,0,0,0,26
SED21608,29,293,11,65,29,10,0,3,0,440,17,75,0,19,14,0,0,0,3,129,202,1449,67,224,291,94,3,42,25,2401,4,0,0,4,6,0,0,0,0,17,81,150,34,140,150,34,9,18,7,616,85,154,56,351,262,80,6,32,10,1035,108,126,244,656,507,232,32,173,15,2091,16,14,19,37,78,43,0,36,0,243,16,17,22,88,53,40,0,23,0,254,4,11,5,22,19,10,0,3,3,80,27,43,7,55,38,47,3,41,18,282,680,2743,465,1671,1504,602,60,372,92,8198,3,17,0,0,0,0,0,0,0,27,28,171,3,0,4,0,0,3,0,212,156,479,21,33,64,23,7,12,7,806,6,39,0,4,0,3,0,3,0,53,84,422,17,88,43,13,7,6,4,691,25,97,0,18,17,0,0,0,9,173,494,2300,168,333,396,148,42,90,51,4020,10,0,4,6,6,0,3,0,0,24
SED21706,115,474,6,59,83,23,0,5,12,782,18,91,3,6,20,0,0,0,0,140,729,2812,104,394,817,305,8,71,58,5306,3,4,0,8,0,3,0,0,0,14,110,225,34,115,170,63,3,21,8,757,95,162,51,237,238,90,9,24,13,910,63,70,107,245,180,99,6,43,5,814,7,7,7,27,16,16,0,5,0,91,20,22,12,47,93,30,3,12,4,236,14,47,7,11,32,12,4,3,3,137,17,45,0,33,31,14,3,6,22,165,1584,5231,362,1242,1928,731,38,222,156,11498,11,36,0,4,4,3,0,3,0,57,106,588,11,5,19,6,0,3,8,746,885,1874,98,102,361,160,27,71,49,3630,44,99,0,8,21,10,0,3,0,179,225,738,30,71,126,36,3,16,11,1257,46,120,4,10,24,3,0,3,3,221,1992,5250,398,596,1225,630,93,238,123,10540,5,3,0,8,3,4,0,0,0,29
SED21805,24,243,3,78,36,4,3,0,0,404,11,71,0,3,12,3,0,0,0,103,294,1568,74,260,429,155,19,47,22,2866,0,3,0,8,8,4,0,0,0,27,113,202,31,178,225,54,8,33,10,853,186,255,78,498,417,151,14,37,25,1663,173,151,319,742,635,264,53,148,24,2503,13,16,11,68,54,45,8,21,3,234,34,23,15,103,159,58,11,28,3,438,9,22,0,18,33,17,8,10,4,115,28,37,12,71,68,53,9,26,32,335,971,3005,563,2063,2138,828,124,363,130,10198,3,23,0,3,0,0,0,0,0,37,14,103,3,0,3,0,0,0,0,132,185,549,27,43,97,36,13,17,10,970,5,28,6,3,4,3,0,0,0,54,68,349,12,86,43,9,4,6,3,590,22,91,3,8,12,6,0,0,0,147,714,2480,243,370,585,255,87,113,44,4895,3,3,4,7,8,3,3,0,0,36
SED21906,118,531,10,51,96,23,0,4,7,843,25,93,3,5,14,0,0,0,3,148,870,3280,138,471,868,385,12,107,66,6195,3,8,0,0,0,0,0,0,0,17,148,260,42,120,211,62,7,11,10,875,130,219,55,252,232,110,4,31,7,1038,79,84,173,261,197,96,9,28,11,922,6,8,8,21,43,18,0,12,0,117,31,40,18,55,83,40,0,3,4,270,16,49,9,22,26,16,0,7,0,141,26,76,9,24,53,22,0,6,40,257,1838,6144,492,1407,2052,865,39,249,162,13244,23,57,0,3,5,3,0,0,0,88,93,620,3,4,16,4,0,4,5,758,788,2198,96,163,367,148,34,76,54,3925,41,104,3,10,25,5,0,3,3,199,223,815,24,73,121,45,8,7,10,1316,45,128,8,11,13,3,0,0,3,209,2316,6445,419,734,1303,766,95,275,179,12534,4,12,4,4,4,0,0,3,0,26
SED22005,31,203,8,55,33,10,0,6,0,348,10,45,3,3,9,0,0,0,0,73,312,1904,141,389,665,326,34,162,50,3994,3,4,0,10,5,0,0,6,0,30,73,142,56,123,161,67,15,36,10,676,123,161,111,314,258,131,10,49,14,1180,83,68,170,411,246,116,20,105,17,1247,4,8,9,29,39,30,8,19,0,147,21,20,19,73,86,24,11,28,4,292,14,30,4,35,37,16,0,9,4,139,11,34,24,53,58,33,4,40,35,293,837,3379,579,1606,1847,844,113,517,154,9869,5,32,3,0,3,0,0,3,0,44,39,286,3,5,8,0,0,0,4,358,383,1263,131,164,370,197,71,133,42,2753,10,66,8,4,13,9,0,6,0,111,69,345,9,72,58,18,12,12,0,588,20,57,6,12,17,3,0,3,0,122,881,3442,512,596,1039,579,268,462,106,7886,7,9,7,11,5,0,3,11,0,51
SED22105,26,193,6,109,25,10,3,4,3,374,14,50,0,4,14,3,0,0,0,79,250,1801,106,460,586,215,39,154,36,3656,4,3,3,15,9,5,0,0,3,41,113,190,45,249,242,70,7,37,6,962,214,303,125,805,452,169,23,111,12,2208,214,180,402,1036,745,340,83,286,34,3318,24,11,11,76,99,67,14,41,3,350,40,10,14,163,132,66,23,54,9,505,10,40,14,31,41,16,4,16,8,177,31,60,20,98,92,55,15,50,54,485,1000,3328,791,3201,2614,1092,221,795,181,13230,0,17,0,0,4,0,0,0,0,27,8,110,10,7,7,0,0,3,4,140,273,820,111,203,301,129,103,91,34,2070,9,57,3,4,11,6,5,0,0,103,50,286,18,126,38,18,12,7,4,565,13,70,3,8,22,0,3,4,0,133,699,2926,414,658,890,407,326,355,72,6749,3,7,11,19,11,10,6,0,3,65
SED22201,50,319,4,63,46,6,0,3,0,505,15,73,0,6,12,0,0,0,0,106,322,1732,73,267,495,169,12,51,21,3141,0,5,0,9,3,3,0,0,0,19,80,194,48,190,194,58,6,22,4,806,141,203,74,356,294,120,5,32,16,1239,120,135,259,588,504,203,33,97,15,1958,8,9,9,46,66,33,5,18,0,193,21,10,17,90,125,38,0,15,3,325,4,28,4,9,15,13,0,3,0,80,23,37,16,50,58,33,0,23,24,268,894,3267,520,1718,1926,709,64,264,90,9459,8,27,0,4,3,0,0,0,0,39,29,162,7,0,3,0,0,0,5,200,239,730,37,49,156,48,15,16,15,1302,11,49,3,3,7,0,0,0,3,70,112,462,27,81,63,15,3,9,0,777,30,103,3,17,25,3,0,0,0,188,779,2920,235,380,695,303,55,123,50,5534,3,7,5,13,6,8,0,0,0,37
SED22305,15,94,3,61,20,3,0,3,0,199,0,18,0,5,6,0,0,0,0,36,160,929,83,288,387,172,33,147,33,2229,3,0,0,10,4,4,0,0,0,22,38,96,58,97,122,40,14,47,11,525,71,129,83,352,235,114,19,89,18,1110,53,66,149,521,239,129,48,169,17,1387,11,3,3,35,42,26,5,25,3,152,14,13,9,100,73,27,18,29,3,284,5,21,7,24,23,15,3,13,4,124,6,31,9,64,36,38,18,42,26,271,424,1654,439,1628,1312,620,153,608,118,6949,3,11,0,0,4,3,0,3,0,22,8,77,6,0,4,3,0,3,0,110,138,463,86,104,170,84,74,91,10,1224,5,25,8,0,14,6,3,5,0,72,25,148,16,66,31,4,8,7,0,300,5,27,0,5,14,4,0,0,0,56,435,1657,349,429,622,331,223,388,57,4503,5,0,6,11,4,4,4,7,0,39
SED22404,48,255,5,67,31,8,0,3,0,428,10,32,4,6,4,0,0,0,0,63,263,1140,80,229,270,86,7,69,22,2150,0,3,0,4,5,0,0,0,0,15,103,208,45,162,166,54,3,29,12,775,144,177,70,346,259,75,11,55,15,1160,165,83,320,607,384,193,21,182,19,1977,28,7,19,42,63,37,5,25,4,235,26,26,20,109,65,44,3,39,6,335,5,12,3,7,19,3,0,8,0,67,45,53,29,78,74,54,8,58,31,430,911,2296,602,1698,1382,567,63,473,109,8092,4,17,0,3,0,3,0,0,0,26,20,108,0,0,11,0,0,0,0,142,142,330,8,33,37,12,0,18,8,597,3,29,0,3,3,0,0,0,0,42,85,346,14,95,40,14,0,9,3,610,17,45,9,10,9,0,0,5,0,87,610,1757,169,311,330,124,36,141,43,3518,3,6,0,3,5,0,0,0,0,21
SED22501,66,484,14,87,60,11,0,3,0,738,22,98,0,13,17,8,0,3,0,160,471,2389,99,310,571,178,10,44,33,4102,0,3,0,6,3,0,0,0,0,17,111,234,29,172,243,61,4,20,8,881,135,193,61,289,286,103,9,16,13,1100,88,108,162,394,418,132,10,39,17,1371,3,6,11,32,69,21,0,5,0,156,24,17,15,90,120,37,0,15,0,322,12,32,4,10,31,17,0,3,0,109,25,36,18,50,64,28,0,4,12,240,1143,4491,427,1497,1993,614,40,155,106,10470,12,52,0,3,5,0,0,0,0,68,70,424,3,4,18,0,0,0,0,518,420,1059,36,52,137,33,6,16,17,1782,30,74,0,3,8,5,0,0,0,129,175,731,27,110,83,26,4,16,7,1173,47,127,4,20,23,5,0,3,0,236,1376,4074,294,478,805,304,48,110,74,7577,4,7,0,5,3,0,0,0,0,21
SED22607,149,582,9,59,78,10,3,8,10,905,28,103,0,8,21,0,0,0,3,167,841,3135,120,454,852,317,21,93,64,5905,0,5,3,4,3,0,0,0,0,16,105,222,36,124,218,55,5,13,8,780,141,221,58,250,289,102,4,20,15,1106,88,102,141,293,314,111,11,59,10,1125,9,8,7,33,44,16,0,9,0,130,22,30,11,69,102,42,0,11,7,293,9,49,3,7,25,5,3,7,4,122,18,54,15,41,48,29,0,17,33,254,1753,5834,422,1423,2207,754,49,262,176,12883,14,62,0,5,6,3,0,0,0,90,78,530,4,3,19,3,0,0,4,641,672,1811,66,116,323,105,18,77,35,3218,36,107,5,8,7,4,0,4,4,187,258,843,21,77,115,22,8,18,13,1374,62,142,8,11,22,0,0,3,3,261,1964,5749,369,699,1305,570,130,253,135,11171,0,5,3,7,3,7,0,0,0,35
SED22704,43,228,7,47,22,0,0,3,0,350,13,52,0,4,8,0,0,0,0,81,234,1129,48,156,207,55,5,52,14,1896,0,4,0,8,3,0,0,0,0,17,122,197,40,141,129,46,8,19,8,706,134,210,65,375,225,55,9,64,12,1154,164,125,296,615,466,209,33,194,16,2114,30,19,20,41,64,55,4,47,5,278,33,15,31,105,70,44,5,42,3,346,7,16,6,11,20,12,0,8,3,93,49,59,30,76,49,41,11,62,24,401,920,2260,534,1595,1301,509,72,506,97,7800,3,11,0,3,0,0,0,0,0,16,27,70,0,0,4,0,0,3,3,103,143,245,10,19,39,7,3,12,8,486,4,24,0,3,0,0,0,0,0,34,74,321,12,57,22,0,3,4,0,501,20,73,0,5,13,0,0,3,0,115,532,1605,115,213,250,88,29,98,26,2949,7,3,3,5,3,0,0,4,0,30
