SED_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SED10016,31,203,151,146,232,326,145,296,13,1550,37,180,133,123,251,423,116,293,272,1822,980,4730,4109,3759,6707,9215,3752,7138,571,40961
SED10017,51,181,146,163,363,316,183,236,9,1645,55,121,92,110,226,235,92,123,260,1304,1245,3584,3469,3666,6127,5487,3034,4136,601,31340
SED10018,34,152,129,135,253,210,110,166,7,1184,36,106,86,77,162,198,63,128,181,1045,1160,4099,3920,3911,5982,6003,2991,4176,437,32681
SED10019,30,128,97,129,204,187,84,161,10,1033,67,131,64,91,137,116,49,94,273,1031,1040,3360,2996,3856,4879,3664,1899,3518,623,25834
SED10020,28,177,99,133,241,215,99,154,7,1156,32,121,113,103,175,146,66,109,242,1113,1049,4106,3341,4275,5782,4504,2218,3810,534,29620
SED10021,38,161,156,165,206,237,106,182,13,1260,38,170,143,120,188,402,138,322,298,1823,1320,3803,4176,3881,6472,10428,5150,9488,601,45331
SED10022,24,152,105,87,208,192,122,153,6,1059,44,126,87,91,172,164,67,141,300,1198,1058,3191,2819,3313,4795,4668,2409,5519,747,28514
SED10023,46,171,139,172,240,300,117,251,16,1446,52,131,139,135,203,347,133,263,293,1693,1274,4385,4035,3947,5574,7997,3804,7075,621,38712
SED10024,27,191,169,127,137,230,103,190,16,1189,48,184,142,117,149,336,98,252,237,1567,907,5023,4095,3490,4518,7300,3403,7162,501,36393
SED10025,21,156,162,134,238,282,123,210,17,1336,46,150,152,107,265,384,121,248,294,1769,1205,3707,4032,3425,6703,9453,4097,7260,637,40522
SED10026,36,136,133,139,327,258,141,299,25,1497,44,93,76,69,159,185,75,139,275,1119,1175,3356,2952,3607,6519,5739,3116,6024,669,33152
SED10027,46,182,149,160,311,311,135,174,20,1483,46,146,131,130,330,369,112,150,387,1808,967,3547,3470,3356,7438,7685,2866,4208,776,34310
SED10028,31,170,125,113,195,192,99,151,12,1084,36,182,147,120,257,339,84,189,288,1638,924,4843,3989,3399,6670,8837,3411,5393,560,38034
SED10029,12,221,168,137,295,245,110,112,26,1332,67,255,233,203,589,398,114,128,624,2617,648,3322,2896,2823,7697,5730,2143,2531,1073,28883
SED10030,38,167,149,140,281,240,139,154,18,1327,49,119,93,99,223,257,81,151,271,1343,1132,3640,3382,3662,6228,6099,2680,4002,590,31413
SED10031,28,165,106,154,258,250,133,216,16,1313,67,147,114,97,178,184,84,199,284,1355,1312,3765,3412,4030,6388,5817,2937,5809,692,34166
SED10032,23,158,159,122,316,224,105,134,27,1269,60,226,227,194,483,413,110,147,649,2494,923,3528,3999,3539,9064,8075,2863,3484,1152,36628
SED10033,40,196,128,180,263,379,200,357,19,1750,62,159,136,174,312,380,130,297,316,1955,1098,3942,3481,3812,6144,7431,3530,6846,702,36988
SED10034,39,199,172,192,280,376,167,246,17,1684,30,133,123,122,234,302,95,208,236,1485,1312,4340,4308,4107,7031,8356,4199,5887,520,40061
SED10035,34,149,168,151,360,369,168,245,22,1662,58,155,188,139,336,479,169,310,481,2326,1568,4559,5219,4082,10178,12762,5911,8831,1036,54140
SED10036,37,150,121,125,321,298,145,186,25,1401,41,151,130,153,414,462,140,178,437,2112,1111,3506,3347,3500,8502,8608,3376,4899,825,37674
SED10037,34,180,169,138,260,295,154,216,18,1464,42,174,138,123,239,344,106,181,284,1634,1203,4722,4414,4094,7023,8784,3721,5681,582,40230
SED10038,40,187,155,159,226,247,115,174,11,1314,30,104,99,91,158,198,56,142,243,1127,1318,4619,4028,3944,6416,6173,3187,4720,522,34924
SED10039,35,149,122,131,219,210,134,172,10,1171,48,128,88,67,157,161,70,144,215,1062,1214,4066,3499,3674,5438,5103,2941,4259,506,30702
SED10040,21,169,175,141,288,277,119,162,16,1376,50,201,288,185,435,425,112,131,565,2386,1115,4181,5659,4350,9790,9288,3136,4181,1015,42718
SED10041,20,167,137,123,151,189,100,157,12,1061,28,168,144,112,187,343,104,237,235,1560,1082,4791,3851,3406,5234,8165,3692,6896,463,37581
SED10042,38,178,133,140,256,261,145,156,10,1313,41,111,74,106,209,206,60,132,257,1202,1119,3678,3237,3603,5666,5318,2571,3734,548,29476
SED10043,26,189,177,137,287,278,128,133,22,1387,72,233,231,195,394,368,106,121,689,2415,809,3707,4047,3480,7219,6462,2304,2910,1248,32190
SED10044,21,167,146,142,226,229,113,206,17,1264,41,154,126,113,229,384,134,279,276,1729,1192,4069,3964,3726,6238,9508,4366,8210,591,41861
SED10045,23,155,116,127,207,196,110,170,14,1108,55,142,108,100,141,176,56,122,310,1204,1051,4045,3375,4347,5469,4266,2060,4127,660,29400
SED10046,25,167,151,124,289,261,106,150,24,1293,61,227,167,169,583,438,118,159,590,2506,853,3277,3155,3401,8678,7265,2566,3471,1107,33762
SED10047,26,144,112,128,320,330,137,221,13,1434,61,206,128,164,555,502,158,272,552,2600,1149,3335,3109,3790,9525,8188,3441,5000,1025,38557
SED10048,32,140,105,118,332,275,131,167,14,1315,71,167,161,166,522,440,152,171,460,2309,1103,3531,3444,3912,10147,8292,3462,4127,909,38933
SED10049,37,193,137,156,334,288,150,284,16,1589,32,134,89,89,215,250,89,165,246,1309,1235,4027,3614,3800,6636,6099,3528,5141,550,34627
SED10050,26,212,159,144,191,233,128,180,12,1281,39,186,163,150,209,414,143,346,246,1902,1323,4355,4438,3990,5487,9354,4747,8873,559,43123
SED10051,38,159,164,164,245,258,121,220,15,1390,43,140,134,130,229,335,93,203,340,1655,1152,3699,3820,3780,6666,8505,3511,5837,677,37645
SED10052,13,177,161,154,251,308,136,227,16,1432,49,147,121,121,213,332,102,196,257,1531,1131,3954,3898,3773,6180,7763,3601,5824,552,36672
SED10053,45,140,104,137,249,288,170,228,27,1379,49,133,82,107,221,238,97,190,328,1457,1537,3619,2987,4025,7985,7565,4180,6527,726,39150
SED10054,17,111,113,105,310,288,126,146,16,1246,54,154,132,160,577,464,150,172,543,2404,960,3242,3236,3731,10529,7772,2891,3609,1071,37045
SED10055,26,175,154,153,360,416,185,283,20,1770,68,160,134,138,463,433,132,248,347,2130,1179,3943,3625,3955,8980,9433,3912,6307,799,42138
SED10056,32,138,104,122,252,231,136,223,24,1262,78,162,124,124,243,262,90,143,371,1597,1411,3839,3237,3962,6584,6249,3165,6650,911,36007
SED10057,27,121,109,102,177,193,80,135,17,968,51,108,75,67,126,111,49,60,271,925,1143,3372,2941,3477,4194,3496,1657,2890,589,23764
SED10058,33,138,137,132,239,190,117,163,9,1153,30,121,76,98,161,171,56,143,263,1116,1232,4179,3682,4093,6588,6456,3369,5025,519,35141
SED10059,42,200,140,164,300,276,143,192,29,1486,49,156,179,116,232,398,155,275,361,1914,1307,4060,4444,3893,8087,10558,5646,8605,824,47423
SED10060,31,138,107,102,179,157,116,200,20,1039,58,171,139,129,172,393,138,366,250,1811,1227,3627,3605,3177,5796,9926,5371,10304,527,43564
SED10061,37,144,109,106,246,202,118,186,23,1158,49,121,93,81,167,148,71,159,308,1202,1258,3834,3061,3850,6143,4681,2522,6072,765,32192
SED10062,24,142,162,117,274,259,99,201,10,1288,47,155,189,122,303,324,86,146,355,1730,1072,4044,4200,3655,7086,7671,3248,4883,695,36557
SED10063,39,151,122,115,225,250,156,265,17,1333,47,108,66,90,167,188,90,153,311,1218,1317,3508,3067,3757,6023,5656,3415,6160,694,33596
SED10064,29,135,115,94,187,150,102,121,10,946,51,113,70,89,127,96,45,106,281,979,1119,3402,3147,3785,4490,3324,1761,3450,676,25145
SED10065,36,163,172,150,328,342,149,177,20,1537,47,200,251,185,524,530,164,199,472,2578,1223,4230,4862,4208,11279,12299,3926,5023,915,47959
SED10066,38,144,125,122,268,285,164,223,20,1392,49,134,127,135,316,337,145,261,325,1829,1261,3579,3403,3561,7867,7588,3766,5655,666,37336
SED10067,37,206,135,199,225,267,133,237,13,1444,64,207,170,161,178,381,133,305,263,1861,1064,4784,4152,4008,4403,7029,3309,6578,567,35899
SED10068,26,167,114,128,208,181,86,158,11,1080,41,129,60,89,93,108,46,93,225,884,1026,3691,2988,3889,4999,4400,2098,3593,507,27203
SED10069,31,150,123,120,221,222,128,208,17,1214,43,132,80,101,175,184,68,120,235,1147,1144,3634,3115,3525,5148,4750,2464,3621,544,27956
SED10070,33,149,124,132,320,304,124,197,13,1383,40,177,161,157,443,442,107,161,424,2106,905,3283,3220,3377,8863,7866,2787,3830,808,34935
SED10071,37,171,164,138,386,319,171,251,16,1649,40,128,148,143,404,457,124,243,376,2060,1241,4024,3992,4045,10374,10798,4119,5981,785,45353
SED10072,35,142,209,165,311,297,146,202,14,1518,68,179,248,165,370,435,97,186,523,2263,1233,3703,5374,4000,9025,9321,3573,5054,984,42264
SED10073,33,169,210,166,301,306,154,186,13,1536,41,195,189,138,380,464,128,206,430,2176,1311,4638,4791,3956,9736,10905,4049,5299,846,45527
SED10074,31,163,131,124,303,301,144,189,14,1395,48,152,165,131,411,447,120,197,380,2061,1167,3579,3680,3573,9257,9581,3503,4737,746,39827
SED10075,47,167,155,166,332,326,117,208,16,1530,62,125,117,115,242,270,87,153,245,1403,1351,3927,3838,4160,7230,6270,3033,4153,564,34520
SED10076,41,120,104,117,177,145,77,134,17,928,58,141,76,85,129,142,49,84,259,1009,1023,3548,2924,3257,4356,3679,1968,2948,564,24262
SED10077,31,172,187,135,290,290,136,166,19,1422,66,279,326,183,411,464,118,180,618,2649,1113,4555,5887,4249,9472,10788,3578,5174,1098,45910
SED10078,40,155,155,144,324,277,133,165,24,1413,36,141,203,131,267,310,107,166,338,1709,1190,3665,4812,4175,8361,9244,4370,5902,667,42384
SED10079,36,154,121,138,260,248,121,163,4,1255,43,108,95,89,192,217,63,105,223,1130,1125,3607,3375,3588,5493,5301,2431,3637,460,29008
SED10080,34,135,201,146,251,262,139,211,13,1389,82,206,488,158,265,508,163,392,485,2743,1486,3850,8220,3726,8101,12454,6054,12492,934,57319
SED10081,37,160,111,132,289,271,132,233,15,1390,51,129,81,96,221,223,83,160,318,1369,1202,3476,2990,3842,6371,5838,3115,5946,714,33492
SED10082,30,214,155,148,228,221,97,167,22,1285,52,151,96,105,159,226,74,170,229,1256,1200,4518,3876,3897,5257,6334,2755,4841,499,33188
SED10083,53,174,155,163,239,276,134,177,10,1378,38,132,128,93,241,197,86,145,237,1291,1146,3802,3584,3903,6346,5928,2779,3882,548,31924
SED10084,25,184,130,148,177,203,67,165,14,1112,48,153,113,138,164,203,77,184,302,1380,1028,4212,3508,4657,5201,4614,2173,4120,616,30132
SED10085,36,142,111,138,255,248,129,236,13,1313,40,117,78,103,178,184,80,169,295,1249,1263,3642,3231,3581,5274,4964,3648,6674,716,32978
SED10086,21,196,126,138,206,235,98,171,9,1211,65,236,213,171,197,455,152,411,336,2232,1093,4000,4134,3699,4824,8979,4534,10233,681,42163
SED10087,27,129,111,138,281,285,147,205,15,1336,57,120,78,72,207,216,82,168,285,1285,1284,3817,3259,3884,7313,6264,3383,5822,664,35697
SED10088,52,239,170,179,246,324,185,231,14,1641,54,187,168,157,308,392,142,275,316,1991,1158,4633,4448,4240,6720,8169,4014,6585,630,40606
SED10089,44,201,125,159,298,269,154,213,17,1484,38,139,77,89,191,181,76,108,244,1159,1391,4629,3970,4272,7090,6477,3118,4025,603,35581
SED10090,24,176,139,116,191,220,131,191,19,1191,34,173,154,114,211,389,126,293,306,1798,1178,4201,4151,3609,6150,9891,4530,8464,586,42760
SED10091,43,170,159,145,255,288,163,280,22,1514,67,155,111,127,234,320,109,257,279,1664,1189,3947,3495,3734,5918,6531,3250,6083,674,34816
SED10092,34,185,141,141,301,274,110,160,12,1355,39,136,110,86,229,234,92,128,320,1366,1247,4442,3802,3751,7045,6173,2951,3976,657,34043
SED10093,21,153,111,167,324,248,126,198,17,1364,42,121,104,93,258,265,72,156,282,1392,1167,3556,3339,3837,6450,5734,2566,4024,640,31315
SED19494,3,7,12,16,24,19,11,15,0,109,8,26,16,12,28,33,9,21,85,248,148,298,377,371,584,638,279,475,158,3331
SED19797,4,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,6,13,43,4,9,10,22,12,4,7,4,130
SED20106,33,114,125,144,214,226,127,187,8,1180,48,164,153,129,210,373,110,325,258,1772,1227,3243,3497,3500,6628,9837,4805,8796,513,42057
SED20207,37,149,142,149,358,292,129,159,16,1427,52,178,160,147,388,451,119,183,402,2080,1272,4182,4024,4253,9208,10232,3945,5267,797,43172
SED20302,45,156,127,125,223,236,123,165,11,1207,66,153,95,104,251,246,98,176,294,1487,1344,3828,3264,3767,5581,5513,2688,4053,654,30684
SED20401,33,141,128,148,266,263,114,173,9,1282,41,131,116,119,301,280,105,153,261,1508,1062,3590,3066,3393,6567,6095,2903,3401,506,30579
SED20508,23,163,112,101,179,163,64,120,8,933,48,116,79,73,116,152,55,117,199,952,1042,3632,3146,3261,4046,4470,2093,3198,433,25318
SED20604,29,133,86,131,218,220,123,138,18,1090,65,102,57,77,167,188,71,128,234,1100,1283,3408,2927,3723,5248,5122,2946,4452,566,29677
SED20704,51,150,102,127,209,156,113,150,11,1067,37,113,66,79,142,151,61,132,185,964,1338,4125,3089,3670,5357,4547,2626,3768,526,29027
SED20804,29,129,87,125,178,172,96,122,11,953,51,128,67,94,165,141,58,113,185,1005,1036,3373,2879,3415,4727,4252,2305,3063,431,25474
SED20906,24,153,133,124,162,176,86,147,5,1008,24,118,109,91,160,247,89,147,198,1191,844,3713,3088,3215,4684,6074,2824,4258,406,29110
SED21001,24,177,158,117,205,164,89,152,6,1095,44,169,147,110,197,212,71,123,242,1304,920,4570,3836,3523,5261,6204,2863,4541,456,32180
SED21106,19,157,96,111,126,122,72,152,4,850,38,174,121,140,116,248,89,284,203,1420,865,3897,3143,3321,3653,6015,3204,6707,455,31256
SED21203,22,134,109,85,208,180,76,80,16,913,45,175,147,123,317,230,76,95,493,1702,633,2762,2694,2556,5201,4166,1545,1910,888,22361
SED21303,26,146,131,160,272,218,137,160,16,1274,35,143,127,109,194,244,98,167,287,1407,1173,4332,4146,4603,7177,7960,4223,5560,585,39756
SED21401,25,158,92,112,196,174,95,124,12,980,39,159,110,90,193,239,63,151,268,1321,706,3711,2986,2922,4735,5650,2327,3704,525,27259
SED21503,19,135,144,129,220,193,103,117,8,1075,35,149,98,91,237,243,59,100,285,1297,926,3703,3304,3183,5534,5652,2360,3068,584,28315
SED21608,34,123,107,110,184,167,88,117,10,943,45,113,83,86,159,158,59,130,233,1072,1109,3448,2896,3305,4578,4445,2304,3421,572,26081
SED21706,23,142,115,108,164,138,89,102,9,888,29,185,147,78,163,228,81,143,220,1277,875,4508,3517,3260,4666,5833,2915,4687,485,30747
SED21805,49,158,127,129,293,284,143,159,16,1355,48,136,106,134,402,390,134,202,293,1844,1180,3408,3063,3684,6895,6845,3330,4107,587,33096
SED21906,23,189,136,139,183,174,112,148,14,1118,36,184,130,123,167,293,121,197,258,1507,885,3998,3644,3637,5154,6874,3435,5429,540,33600
SED22005,21,178,189,138,340,248,98,146,10,1363,43,172,186,137,460,357,88,123,404,1974,854,3922,3840,3358,7465,6534,2379,2955,730,32039
SED22105,52,210,153,183,438,370,181,193,15,1802,69,187,151,216,653,524,181,217,496,2692,1366,4136,3914,5029,11427,9225,4140,4634,953,44825
SED22201,21,135,124,137,272,232,109,182,7,1223,28,133,96,101,276,231,95,149,223,1328,934,3676,2916,3173,5641,5629,2896,3624,450,28953
SED22305,20,116,127,112,299,214,90,100,12,1101,77,188,173,199,589,401,147,109,541,2435,730,2927,2841,3215,7554,5429,2182,2245,960,28081
SED22404,41,173,137,120,223,228,108,168,16,1206,83,164,105,126,188,258,94,175,280,1474,1123,3415,2959,3301,4028,4620,2249,4014,633,26341
SED22501,24,165,118,144,189,198,91,151,9,1089,34,134,86,101,141,209,68,181,179,1129,1027,4118,3478,3617,4639,5907,3013,4625,425,30852
SED22607,25,110,109,129,193,152,88,157,13,979,25,137,110,80,174,207,83,186,255,1251,1045,3989,3592,3529,5783,7111,3524,5446,540,34553
SED22704,38,131,78,101,158,199,96,156,12,979,63,126,89,93,182,185,66,136,268,1211,1205,3258,2803,3201,4530,4680,2445,4345,652,27117
SED22802,39,180,144,149,261,271,152,189,17,1403,59,134,106,105,250,288,113,175,221,1461,1057,3731,3030,3161,5353,5541,2871,3830,510,29075
SED22901,27,138,97,131,243,204,111,141,9,1104,45,129,104,110,312,244,82,124,221,1378,842,3467,2837,3193,5919,5769,2568,3135,445,28169
SED23007,34,162,196,146,333,223,127,107,10,1351,58,208,242,173,465,356,107,167,487,2261,1054,3921,4601,4009,8427,7590,3151,3924,855,37541
SED23101,20,146,123,113,170,185,89,125,9,988,31,119,106,98,191,243,63,123,200,1170,705,3739,3052,2978,4853,5537,2251,3056,390,26563
SED23205,32,157,100,121,190,180,98,100,15,993,55,139,87,104,266,286,95,162,250,1440,945,3329,2682,3310,5157,5002,2566,3232,497,26724
SED23308,20,145,118,116,206,206,87,119,24,1031,37,121,76,88,152,167,56,111,237,1045,1126,4072,3342,3527,5148,5291,2840,3770,509,29625
SED23402,29,145,130,142,270,283,141,221,14,1378,42,178,111,140,299,331,125,225,252,1702,1054,4093,3460,3675,6259,6487,3290,4855,581,33748
SED23502,35,127,95,110,137,159,70,129,12,880,59,108,88,85,123,173,43,120,221,1023,1277,3147,2680,3105,3518,3468,1845,3639,546,23221
SED23602,25,113,77,102,133,164,79,116,18,827,47,112,76,90,120,127,51,139,235,996,1066,3240,2566,2854,3323,3599,1992,4410,552,23604
SED23702,44,193,156,173,286,323,130,219,12,1527,53,142,117,129,263,332,100,207,282,1637,1145,4164,3439,3946,6141,6499,3426,4733,634,34140
SED23806,21,140,100,102,143,121,78,112,7,832,37,143,123,98,126,212,68,234,192,1236,1010,4389,3629,3281,4602,6660,3492,6443,452,33955
SED23901,27,129,123,113,137,164,82,136,3,916,40,131,78,111,177,205,72,122,207,1139,967,3923,3285,3381,5006,6118,2968,4402,439,30489
SED24006,19,134,98,73,116,115,67,105,5,740,48,177,140,111,123,217,65,175,246,1301,807,4546,3264,3151,3940,5576,2641,5515,469,29903
SED24105,8,180,167,138,326,275,102,151,22,1367,43,168,208,151,585,380,116,158,432,2243,746,3413,3200,3132,7749,6149,2344,2920,762,30412
SED24207,34,174,163,138,331,226,107,110,22,1297,55,212,138,180,482,392,81,134,511,2192,1043,3788,3344,3868,8567,7524,2706,3354,1004,35195
SED24308,32,131,76,125,208,186,94,105,9,957,61,111,80,115,220,236,80,130,294,1321,1022,3367,2670,3147,5296,5020,2085,3082,587,26280
SED24408,42,94,81,106,167,191,78,127,12,905,51,80,68,72,123,125,31,103,214,872,1120,3144,2616,3094,3868,4231,2064,4488,524,25145
SED24504,24,126,88,128,133,176,95,184,11,962,40,135,96,90,143,198,75,153,212,1141,1107,3599,3080,3324,3827,4771,2439,4237,492,26875
SED24606,6,128,76,92,116,109,69,99,7,697,36,169,112,88,129,221,68,216,224,1269,763,3808,3127,2858,3937,5715,2913,5882,445,29451
SED24703,50,179,192,161,256,224,120,147,17,1342,82,267,291,137,269,361,125,237,418,2187,1695,6543,6712,4554,8606,12033,5044,7651,994,53839
SED24808,23,138,104,131,274,297,131,199,12,1318,46,134,92,138,338,351,115,159,345,1718,1190,3548,2953,3651,7084,6872,3123,4259,698,33372
SED24904,17,100,80,83,217,204,71,114,13,906,65,107,86,102,170,206,53,122,297,1209,1009,3097,2451,3137,4943,4619,2241,4138,647,26279
SED25003,30,144,116,140,315,224,114,151,19,1250,43,161,109,134,414,273,91,140,349,1716,986,3697,3308,3714,7973,6508,2705,3296,751,32927
SED25102,44,158,121,123,209,252,113,223,7,1248,56,160,100,110,214,272,99,205,202,1425,1100,3983,3152,3499,4778,5467,2894,4170,438,29478
SED25205,32,159,103,130,210,202,103,145,17,1101,42,142,115,106,202,279,92,163,226,1360,1021,3872,3193,3399,5434,6404,3315,4422,486,31541
SED25302,29,135,110,149,133,175,85,158,11,976,37,174,115,107,162,216,97,191,195,1305,908,3951,3146,3432,3789,4908,2548,4540,437,27652
SED25402,22,146,86,96,208,194,79,145,7,983,43,83,64,62,141,148,61,128,251,981,1176,3601,2817,3141,5076,4158,2502,3530,516,26503
SED25501,18,123,120,104,157,151,74,98,6,836,34,143,117,97,224,278,65,120,269,1353,735,3822,2964,2835,5155,5941,2240,3077,478,27241
SED25605,11,151,144,106,270,211,68,99,17,1090,30,146,156,123,367,313,92,128,325,1672,670,3242,3045,2965,6147,5571,2123,2871,595,27233
SED25704,39,131,83,112,224,203,97,146,5,1037,58,114,63,86,137,166,60,148,287,1124,1202,3296,2585,3293,4290,4343,2358,4714,625,26699
SED25802,36,179,129,136,262,248,113,210,19,1334,71,136,97,85,164,206,83,157,278,1282,1210,3778,3139,3373,4708,4742,2627,4563,623,28768
SED25905,28,179,131,146,298,289,148,157,21,1386,46,156,113,121,385,361,93,184,364,1824,867,3596,2907,3539,7072,6187,2697,3322,706,30891
SED26005,26,176,133,167,353,307,166,175,18,1523,58,198,152,181,561,423,142,174,410,2289,1056,4389,3474,4222,8858,7717,3290,4186,765,37964
SED26102,27,144,90,122,153,135,70,110,10,856,60,139,116,103,131,181,61,125,231,1150,1019,3662,2817,3243,3397,3924,1804,3087,516,23464
SED26207,31,148,101,125,198,185,67,132,18,1002,47,128,96,88,196,228,73,139,258,1254,941,3354,2866,2891,5144,5738,2469,3916,579,27902
SED26303,23,150,111,140,219,220,86,112,14,1083,26,116,121,112,196,240,84,151,240,1281,1047,3841,3691,4252,5947,6923,3606,4988,533,34822
SED26406,19,134,138,120,228,183,86,123,18,1043,26,133,151,116,231,267,78,129,288,1423,1007,4285,3755,3461,6344,6997,3120,3844,600,33396
SED26504,21,95,75,73,144,183,64,133,6,804,69,127,71,77,146,151,56,119,232,1052,1155,2962,2599,3156,3995,3956,2146,3794,570,24335
SED26603,30,148,128,139,273,224,121,138,23,1224,60,132,135,123,244,312,96,125,367,1589,1095,3553,3938,3848,7272,7255,3269,4107,725,35060
SED26708,27,133,81,84,157,151,60,138,13,838,60,141,99,95,139,174,69,135,289,1206,1226,3606,2957,3313,3909,4138,2345,5351,634,27478
SED26806,20,139,122,150,241,208,125,172,5,1185,47,146,132,115,218,365,159,300,305,1785,1120,3431,3426,3628,7612,10213,5445,8326,573,43777
SED26903,19,123,144,115,232,194,78,115,15,1034,51,132,158,126,292,267,86,138,319,1569,882,3439,3622,3409,6551,5980,2568,3027,634,30117
SED27003,37,140,101,142,266,223,141,157,10,1216,43,121,110,114,226,321,146,275,277,1620,1212,3498,3344,3795,7041,9297,5537,8374,583,42686
SED27101,39,142,136,140,231,215,110,152,13,1180,34,139,89,102,239,242,74,142,215,1275,958,3616,3230,3433,5785,6301,2913,3775,478,30488
SED27208,35,131,99,79,152,151,71,105,17,847,64,112,82,74,157,156,69,111,238,1054,1149,3158,2673,3158,4035,4107,2040,3781,553,24644
SED27305,22,145,126,140,267,261,98,187,14,1256,30,121,107,119,273,312,98,168,215,1452,845,3700,2999,3201,5699,6073,2549,3722,420,29211
SED27406,21,147,108,92,124,132,84,108,11,815,27,165,78,116,128,245,95,213,171,1249,893,3745,3017,3111,3773,5667,2944,5277,385,28813
SED27504,36,158,119,120,274,255,118,154,23,1258,62,110,93,88,194,210,82,160,327,1338,1215,3459,2767,3500,5481,5269,2765,4122,669,29239
SED27608,30,199,121,154,200,195,79,146,9,1132,31,152,93,91,120,186,65,144,186,1062,1362,5031,3847,3884,5296,5924,3011,4608,488,33450
SED27708,24,182,104,117,183,186,77,119,12,999,53,126,64,83,166,170,68,137,251,1119,1358,3961,3046,3605,4615,4588,2590,4213,641,28611
SED27807,25,175,188,139,319,265,86,105,18,1314,64,225,258,182,541,378,86,105,565,2398,740,3279,3620,3231,7005,5568,1941,2255,997,28639
SED27907,29,139,120,127,251,222,126,150,10,1182,43,116,70,99,233,246,73,119,276,1276,950,3186,2892,3306,6004,5850,2775,3629,584,29178
SED28007,26,158,124,151,287,278,110,153,17,1316,47,161,119,156,385,352,103,147,371,1838,1047,4179,3505,3826,8270,7791,2997,3992,818,36432
SED28107,42,183,134,122,375,269,112,110,23,1370,53,172,174,178,455,440,116,190,587,2361,1266,4128,4192,4539,10894,9757,3417,4403,1109,43703
