SED_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
SED10083,309,10,5,16,328,68,0,397,3,0,0,0,3,0,0,0,3,0,0,5,1443,181,33,26,1677,28,11,42,1718,128,3,1854,283,48,3,5,337,7,0,7,343,20,0,365,385,34,10,5,432,7,0,7,441,20,0,463,9,0,0,0,9,0,0,0,9,0,0,9,0,0,0,3,0,3,0,3,3,0,3,9,679,78,10,12,784,16,0,16,797,45,3,842,9,3,0,0,16,0,0,0,17,0,0,19,17,0,0,0,19,5,0,5,23,0,0,23,34,3,0,0,34,6,0,6,40,0,0,38,709,85,10,7,817,20,0,20,838,42,3,884,146,12,3,3,170,6,4,12,182,38,0,218,0,0,0,0,0,0,0,0,0,0,0,3,859,99,20,15,987,23,4,29,1018,81,5,1106,454,55,3,3,516,8,0,8,526,22,3,553,519,53,7,3,591,6,0,12,597,28,0,630
SED10084,232,10,4,15,241,65,0,311,0,0,0,0,0,0,0,0,0,0,8,4,1206,214,22,17,1456,34,15,50,1504,113,8,1626,252,45,10,0,309,4,3,6,321,15,0,332,368,75,5,3,444,14,4,11,461,15,0,479,8,6,3,0,16,0,0,0,20,0,0,17,0,0,0,5,7,0,0,0,7,0,0,7,623,127,17,14,785,21,5,21,810,28,0,838,5,0,0,0,10,3,0,3,12,0,0,14,15,3,0,0,13,0,0,0,16,0,0,19,24,3,0,0,24,3,0,3,24,3,0,34,644,128,17,14,809,22,5,30,837,33,0,873,99,24,0,3,125,5,0,5,133,57,0,192,0,0,0,0,0,0,0,0,0,3,4,5,747,156,25,18,933,27,5,30,968,97,5,1073,389,63,6,0,464,9,0,11,471,30,0,500,468,83,3,7,552,9,3,12,565,23,0,592
SED10085,399,4,0,6,406,69,0,478,3,0,0,3,8,0,0,0,8,0,9,17,1618,174,43,42,1884,30,7,37,1920,120,12,2051,356,24,8,0,388,4,3,11,400,16,0,409,484,60,9,8,567,8,0,8,574,21,0,591,13,3,6,0,17,0,0,0,17,0,0,23,5,0,0,11,14,0,0,0,15,3,0,21,856,89,28,24,988,12,3,13,1005,35,0,1045,9,0,0,0,14,3,0,3,18,0,0,18,16,3,0,0,22,0,0,0,25,0,0,26,28,4,0,0,39,3,0,3,37,0,0,40,881,97,28,24,1027,20,3,20,1046,37,0,1088,187,23,10,9,220,7,0,6,226,51,0,281,3,0,0,0,3,0,0,0,3,0,6,12,1077,113,33,33,1253,21,4,25,1276,92,5,1378,472,56,3,4,537,10,4,12,548,15,0,563,557,73,19,6,648,8,4,10,663,22,0,684
SED10086,402,13,0,13,421,29,0,450,5,0,0,0,7,0,0,0,7,0,0,8,1439,156,6,25,1624,39,4,41,1669,76,0,1747,253,16,0,0,274,5,0,5,278,13,0,298,315,44,0,3,364,3,0,3,366,4,0,373,7,0,0,0,7,0,0,0,7,0,0,7,6,0,0,7,8,0,0,0,8,0,0,8,577,61,4,11,650,8,0,8,663,26,0,689,10,0,0,0,8,3,0,3,10,0,0,10,19,6,0,0,23,0,0,0,20,0,0,20,24,5,0,0,30,4,0,4,38,0,0,38,603,68,4,11,688,11,0,11,701,26,0,719,244,25,0,4,279,3,0,3,284,29,0,316,0,0,0,0,0,0,0,0,0,0,0,3,853,93,3,13,969,21,0,17,984,50,0,1039,370,41,0,4,418,13,4,16,430,17,0,449,385,66,3,3,454,6,0,6,458,13,0,471
SED10087,253,17,0,17,262,74,0,340,3,0,0,3,5,0,0,0,4,0,0,3,1636,140,38,18,1834,32,9,38,1874,127,3,2008,459,38,4,0,499,4,0,4,505,25,0,531,434,45,7,3,486,3,0,3,492,15,0,505,10,5,4,0,17,0,0,0,17,0,0,19,10,0,0,8,18,0,0,0,18,4,0,15,907,89,10,11,1015,8,0,8,1027,40,0,1068,9,3,0,0,12,3,0,3,19,3,0,22,11,3,0,0,12,0,0,0,19,0,0,20,24,4,0,0,28,3,0,7,37,0,0,36,932,94,10,11,1047,16,0,13,1061,45,0,1110,137,11,3,5,152,8,0,10,167,54,0,218,5,0,0,0,3,0,0,0,3,0,3,5,1069,104,13,17,1208,25,3,26,1232,94,3,1332,543,55,10,3,605,3,0,7,612,20,0,634,571,54,3,7,636,0,4,6,637,21,0,663
SED10088,328,16,0,16,345,39,0,381,0,0,0,0,3,0,0,0,3,0,6,7,2153,162,23,27,2368,48,8,55,2421,93,3,2523,507,42,3,0,552,4,3,8,557,18,0,581,622,62,9,3,694,9,0,9,705,5,0,714,12,0,4,0,19,0,0,0,19,0,0,19,0,0,0,4,3,0,0,0,3,0,0,3,1138,107,13,10,1266,16,3,18,1282,26,0,1313,11,0,0,0,9,0,0,0,10,0,0,11,22,0,0,0,23,3,0,3,26,0,0,26,32,0,0,3,33,3,0,3,39,0,0,36,1165,106,13,10,1297,16,3,22,1322,29,0,1349,160,21,3,6,190,3,0,4,195,25,0,215,3,0,0,0,7,0,0,0,7,0,0,7,1332,133,20,14,1497,18,4,28,1522,51,0,1573,700,62,7,3,772,13,3,18,793,38,0,829,734,99,9,3,852,9,3,12,860,23,0,886
SED10089,293,13,3,20,307,88,0,401,3,0,0,0,4,0,0,0,4,0,4,14,1485,179,25,25,1708,51,11,64,1773,147,6,1927,293,32,3,0,330,4,0,8,338,18,0,356,409,45,8,3,461,12,0,13,477,15,0,489,14,0,0,0,16,0,0,0,18,3,0,17,0,0,0,3,4,0,0,0,4,0,0,5,707,82,19,4,814,14,3,18,836,42,0,876,6,0,0,0,6,0,0,0,8,0,0,8,19,0,0,0,26,5,3,7,27,4,0,28,27,0,0,0,27,5,3,5,33,4,0,37,732,79,20,4,840,23,6,26,864,42,0,909,132,15,7,0,151,8,0,11,166,49,0,217,3,0,0,0,3,0,0,0,3,0,0,3,865,95,22,10,998,27,7,36,1035,97,3,1126,464,46,13,0,524,16,0,16,542,40,0,583,527,54,10,0,584,15,0,15,606,25,0,633
SED10090,474,12,0,12,486,32,0,522,0,0,0,0,3,0,0,0,3,0,0,3,1856,180,17,22,2079,50,11,66,2144,92,4,2235,357,52,0,0,414,5,0,8,425,28,0,456,350,46,3,0,401,7,0,5,410,15,0,425,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,3,12,0,0,0,12,0,0,10,720,98,3,9,829,17,4,17,845,46,0,891,13,3,0,0,16,0,0,0,14,0,0,14,19,0,0,0,22,0,0,0,22,0,0,27,38,3,0,0,39,0,0,0,40,0,0,42,755,101,3,12,869,19,4,19,888,47,0,940,229,20,0,3,256,7,3,4,264,20,0,284,0,0,0,0,0,0,0,0,0,0,0,3,986,120,3,13,1125,20,4,29,1149,71,8,1223,469,65,3,3,543,13,5,23,564,42,0,608,482,62,5,9,560,14,4,18,571,19,0,588
SED10091,420,10,0,8,428,53,0,482,0,0,0,3,8,0,0,0,8,0,7,17,1902,180,43,32,2157,34,3,30,2195,104,12,2310,469,24,12,3,508,4,0,4,507,18,0,528,562,50,10,6,634,3,0,4,638,8,0,649,12,0,7,0,25,0,0,0,25,4,0,23,3,0,0,6,7,0,0,0,7,0,0,7,1046,81,29,18,1170,14,0,14,1181,32,0,1218,16,3,0,0,21,0,0,0,21,4,0,22,12,4,0,0,10,0,0,0,16,0,0,13,24,3,0,0,32,0,0,0,30,4,0,33,1070,86,29,18,1203,14,0,11,1213,36,7,1255,190,24,3,0,216,5,0,4,223,43,0,263,7,0,0,3,5,0,0,0,5,0,3,6,1265,111,31,20,1423,15,3,18,1443,71,7,1522,624,45,11,4,683,7,0,7,689,24,0,711,575,77,5,6,664,10,0,10,674,19,0,690
SED10092,298,17,14,23,324,112,0,442,0,0,0,3,3,0,0,0,3,0,4,10,1185,159,27,18,1389,37,18,52,1441,181,11,1626,269,26,6,0,299,3,0,6,305,12,0,318,302,52,6,0,359,5,0,5,364,24,0,388,7,0,0,0,3,0,0,0,3,0,0,3,0,0,0,5,5,0,0,0,5,0,0,3,574,80,13,4,664,13,0,14,679,34,0,713,4,3,0,0,7,0,0,0,8,3,0,11,12,3,0,0,16,4,0,4,24,0,0,20,21,3,3,3,26,4,0,4,30,4,0,32,592,82,12,4,693,16,0,16,707,37,0,749,156,29,3,8,196,4,6,11,206,88,3,300,0,0,0,0,0,0,0,0,0,0,3,8,753,109,18,12,892,15,11,25,920,127,10,1056,346,51,8,0,404,6,8,12,421,31,0,449,406,70,7,3,485,11,0,11,489,21,0,513
SED10093,407,22,3,26,428,80,4,513,0,0,0,0,0,0,0,0,0,0,5,7,1548,175,44,32,1797,42,9,54,1853,155,6,2013,334,39,4,0,381,5,0,5,388,29,0,413,413,49,6,0,472,11,0,11,481,28,0,511,8,0,6,0,17,4,0,4,20,0,0,20,5,0,0,6,11,0,0,0,16,3,0,17,766,90,14,7,878,21,0,21,899,61,0,960,14,0,0,0,17,4,0,3,24,4,0,23,23,0,0,0,23,0,0,0,21,4,0,29,38,3,0,0,40,4,0,3,43,5,0,51,809,86,14,7,921,22,0,24,944,69,0,1011,197,39,10,6,248,9,0,6,263,57,0,318,0,0,0,0,0,0,0,0,0,0,6,8,1008,129,24,16,1171,27,3,35,1207,121,6,1332,463,42,4,3,508,8,0,11,524,37,3,557,483,60,7,4,552,5,3,13,561,42,0,602
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,134,4,3,4,141,14,0,152,0,0,0,5,5,0,0,0,5,0,3,3,629,76,5,6,714,20,9,29,746,52,7,796,152,24,3,0,175,7,3,8,182,11,0,193,141,19,3,0,163,7,3,6,169,4,0,176,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,288,42,6,0,342,8,5,13,359,18,0,370,4,0,0,0,4,0,0,0,6,0,0,8,4,4,0,0,5,0,0,0,6,0,0,6,7,4,0,0,10,0,0,0,9,0,0,9,298,43,6,0,353,10,6,18,368,18,0,382,49,7,0,0,58,5,0,5,60,10,0,73,0,0,0,0,0,0,0,0,0,0,0,0,347,50,6,5,414,16,6,20,430,25,0,459,181,26,0,0,207,4,0,4,211,19,0,228,180,16,0,4,203,4,0,3,208,5,0,212
SED20207,544,17,5,18,560,113,0,680,0,0,0,5,5,0,0,0,5,4,6,14,2091,262,24,44,2418,79,12,94,2509,189,11,2716,393,47,0,0,440,15,0,22,460,20,0,487,415,69,3,3,492,9,5,7,501,13,0,512,6,3,4,0,20,0,0,0,20,3,0,18,3,0,0,5,10,0,0,0,10,0,0,16,821,117,6,12,957,28,9,32,994,37,3,1032,25,3,0,0,26,0,0,0,29,0,0,32,39,0,0,0,37,7,0,4,43,0,0,49,57,5,0,0,62,8,0,8,73,0,0,77,882,123,11,14,1024,31,7,41,1064,43,3,1107,216,37,4,5,261,16,7,19,281,62,0,348,0,0,0,0,0,0,0,0,3,0,3,3,1097,161,15,17,1289,48,16,58,1347,109,3,1456,593,60,4,3,660,13,4,19,674,38,0,713,505,74,5,6,589,13,3,20,611,17,0,627
SED20302,363,15,3,20,385,53,0,437,0,0,0,3,3,0,0,0,3,0,9,11,1547,203,32,32,1818,45,7,47,1866,116,9,1986,300,33,4,0,342,11,0,11,347,21,0,370,394,49,9,4,460,7,0,7,466,19,0,489,18,0,6,0,26,3,0,3,28,0,0,28,3,3,0,4,7,0,0,0,8,0,0,8,721,92,16,10,837,23,0,23,856,36,0,896,5,0,0,0,11,0,0,0,11,0,0,11,13,6,0,0,19,0,0,0,19,4,0,23,23,9,0,0,30,3,0,3,29,4,0,33,743,97,16,10,862,21,0,21,890,41,0,927,153,21,5,4,188,3,0,4,197,39,0,233,3,0,0,0,3,0,0,0,3,0,7,11,902,121,26,16,1062,27,0,25,1083,79,7,1171,425,42,6,0,472,8,0,8,477,20,4,500,492,74,10,10,581,15,0,15,596,28,0,624
SED20401,275,3,0,5,281,44,0,328,3,0,0,4,3,0,0,0,3,0,0,10,1151,141,21,15,1329,16,3,19,1348,86,3,1435,192,23,6,9,228,3,3,5,231,15,0,248,371,34,9,3,417,4,0,7,421,13,0,439,5,0,0,0,9,0,0,0,9,0,0,9,0,0,0,4,3,0,0,0,3,0,0,3,565,62,15,13,655,4,7,12,667,33,0,701,4,3,0,0,11,3,0,3,14,0,0,14,7,0,0,0,6,0,0,0,6,0,0,6,13,3,0,0,16,3,0,3,20,0,0,22,582,64,15,15,671,7,6,19,689,32,0,721,135,25,3,0,162,4,0,4,172,26,0,200,0,0,0,0,0,0,0,0,0,0,4,3,715,90,21,16,839,17,8,22,861,62,4,920,308,35,6,8,355,11,6,12,364,23,0,389,500,41,8,3,555,9,3,9,565,21,0,586
SED20508,251,3,0,4,254,23,0,284,0,0,0,3,3,0,0,0,3,0,0,3,1190,175,20,22,1414,19,7,29,1440,66,8,1511,216,39,7,0,257,0,0,0,260,20,0,279,363,61,8,3,427,9,3,7,435,17,0,454,10,0,0,0,9,0,0,0,13,0,0,10,0,4,0,8,7,0,0,0,7,0,0,9,587,98,9,8,709,12,3,11,718,43,0,759,9,3,0,0,10,0,0,0,14,0,0,14,12,0,0,0,13,0,0,0,12,0,0,12,20,6,0,0,24,0,0,3,29,0,0,29,609,101,9,8,729,8,3,16,748,43,0,788,110,14,3,3,129,7,0,7,130,22,0,151,5,0,0,0,5,0,0,0,5,0,0,5,717,117,14,10,864,12,3,18,882,58,0,943,308,57,3,3,371,4,0,8,383,17,0,405,492,66,5,10,577,3,0,3,582,19,0,599
SED20604,238,7,0,8,244,53,0,302,3,0,0,0,3,0,0,0,4,0,4,9,1276,163,36,33,1505,23,0,27,1533,122,6,1663,312,28,10,3,350,0,0,0,355,12,0,364,386,47,5,6,446,3,0,3,450,20,0,469,8,3,5,0,12,0,0,0,12,4,0,16,3,0,0,9,12,0,0,0,12,0,0,12,713,73,17,19,827,0,0,3,828,34,0,867,3,0,0,0,6,4,0,4,10,4,0,6,8,0,0,0,12,0,0,0,11,0,0,15,13,0,0,0,13,4,0,3,17,3,0,25,723,73,23,22,840,6,3,8,849,43,0,886,91,20,5,4,116,5,0,8,127,40,0,167,0,0,0,0,3,0,0,0,3,0,6,8,818,96,28,27,963,11,3,19,976,76,6,1063,480,39,9,6,537,0,0,0,540,18,0,563,505,54,8,4,576,5,0,7,579,30,0,610
SED20704,282,9,5,19,295,61,0,360,4,0,0,0,4,0,0,0,4,0,3,7,1275,166,36,20,1488,29,9,31,1523,100,3,1622,272,33,5,0,310,5,0,4,314,6,4,326,456,56,10,6,522,3,0,7,530,11,0,539,10,3,3,0,12,0,0,0,12,0,0,18,0,0,0,5,3,0,0,0,5,0,0,12,740,86,18,14,857,7,0,15,863,23,0,895,9,4,0,0,11,3,0,3,12,0,0,12,12,0,0,0,15,3,0,3,17,4,0,24,21,7,0,0,27,3,0,3,28,4,0,34,761,90,18,14,878,16,0,17,898,28,0,929,132,27,3,0,169,3,3,4,175,36,0,208,0,0,0,0,0,0,0,0,0,0,3,3,898,122,18,11,1050,20,6,22,1068,62,7,1140,379,53,5,3,443,8,0,11,448,19,4,469,595,75,12,4,683,4,3,6,691,23,0,715
SED20804,247,8,5,5,257,59,0,318,0,0,0,0,0,0,0,0,0,0,0,3,988,171,22,34,1214,16,10,27,1238,110,3,1352,204,39,3,0,246,3,0,6,250,24,0,273,288,50,7,4,343,11,0,12,351,21,0,374,18,3,0,0,25,0,0,0,25,0,0,25,4,0,0,3,13,0,0,0,13,0,0,13,517,85,11,11,621,12,3,13,639,45,0,682,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,14,0,0,12,13,0,0,0,12,0,0,0,14,0,0,18,525,88,11,11,634,12,3,15,654,45,0,701,91,14,3,4,115,3,3,3,123,34,0,153,0,0,0,0,0,0,0,0,0,0,0,4,617,101,12,14,751,12,5,18,773,76,3,858,299,29,4,0,335,0,4,3,339,17,0,362,366,66,5,3,446,0,0,0,453,24,3,476
SED20906,281,8,0,8,289,30,0,320,5,0,0,0,5,0,0,0,5,0,0,6,1614,146,12,24,1800,43,6,51,1847,70,3,1927,348,29,5,0,385,12,0,13,398,23,0,422,471,49,5,11,535,6,0,13,544,13,0,561,8,0,4,0,6,0,0,0,10,0,0,10,6,0,0,7,12,0,0,0,12,0,0,16,832,80,15,14,942,21,3,21,966,34,7,1002,16,0,0,0,11,0,0,3,14,0,0,14,28,0,0,0,24,0,0,0,24,0,0,24,39,0,0,0,41,0,0,3,42,0,0,42,869,82,15,18,978,23,4,24,1008,34,7,1046,158,11,0,0,174,0,0,0,175,13,0,192,0,0,0,0,0,0,0,0,0,0,3,3,1030,97,15,21,1157,27,4,28,1179,49,6,1239,491,51,8,0,550,15,4,21,568,26,0,600,568,53,3,7,630,17,0,17,643,31,0,670
SED21001,319,8,0,9,332,24,0,358,4,0,0,0,6,0,0,0,6,0,0,6,1587,157,22,19,1790,37,14,52,1837,88,0,1928,309,29,0,0,346,11,3,16,355,14,0,373,497,61,3,0,559,9,0,12,575,26,0,598,7,0,0,0,12,0,0,0,15,0,0,13,0,0,0,5,4,3,0,3,11,5,0,12,824,89,4,3,926,27,4,26,949,43,0,993,6,0,0,0,8,0,0,0,9,0,0,9,20,0,0,0,20,5,0,5,24,0,0,24,27,0,0,0,26,6,0,6,31,0,0,33,846,95,9,3,952,28,4,33,989,44,0,1031,164,17,6,3,185,7,4,7,195,21,0,215,0,0,0,0,0,0,0,0,0,0,0,0,1013,114,7,5,1140,33,9,40,1181,64,0,1244,448,46,10,0,504,15,6,14,524,46,0,566,674,71,5,0,749,19,0,15,767,31,0,795
SED21106,380,6,0,4,386,15,0,401,3,0,0,0,3,0,0,0,3,0,5,3,1612,132,11,18,1773,27,3,32,1797,67,4,1873,294,31,3,0,333,6,0,9,340,12,0,354,464,45,0,0,507,6,0,6,511,13,0,520,6,3,7,0,15,0,0,0,13,0,0,13,7,0,0,3,9,0,0,0,14,0,0,14,775,80,8,3,865,12,0,11,875,23,0,905,9,3,0,0,10,3,0,3,10,0,0,10,22,0,0,0,17,3,0,3,22,0,0,22,27,3,0,0,26,7,0,7,37,0,0,37,801,80,8,3,890,16,0,18,909,23,0,941,190,24,0,3,210,9,0,11,221,8,0,232,3,0,0,0,3,0,0,0,3,0,0,3,988,102,7,6,1104,28,0,33,1135,37,3,1176,431,51,0,3,484,12,0,13,498,15,0,518,601,60,3,4,667,8,0,9,673,23,0,695
SED21203,692,54,20,73,763,517,11,1294,6,0,0,12,20,0,0,0,20,0,10,32,907,339,14,63,1325,102,35,132,1455,620,29,2099,131,25,3,0,161,8,3,8,172,31,0,204,146,50,7,3,208,8,9,9,220,24,3,246,0,3,3,0,6,0,0,0,6,0,0,7,6,4,0,8,16,0,0,0,16,0,0,19,286,88,12,14,395,15,8,20,412,64,7,481,5,4,0,0,10,3,0,3,11,4,0,15,8,10,0,3,23,0,3,6,31,9,0,41,14,14,0,3,34,8,3,10,43,14,0,54,297,101,10,19,428,20,10,31,456,77,6,533,240,116,6,13,380,23,16,43,423,327,4,753,6,0,0,4,10,0,0,0,10,0,15,19,539,223,16,39,810,45,33,77,885,402,25,1306,206,53,0,3,258,11,3,16,277,34,0,319,246,74,4,8,333,11,0,11,346,56,3,406
