SED_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
SED10016,679,17,4,24,699,67,0,772,5987,439,52,25,6505,114,11,126,6633,237,4,6877,6746,621,42,47,7450,98,6,102,7557,113,4,7672,425,45,49,3,524,3,0,3,526,10,0,534,95,5,0,80,173,0,3,3,180,4,14,198,13245,1112,145,150,14649,212,21,240,14887,362,25,15273,151,12,0,0,168,18,0,18,184,10,0,192,320,38,3,3,367,19,4,27,390,9,0,400,476,50,0,8,533,38,4,44,573,19,0,592,13723,1157,147,159,15186,250,29,283,15461,382,25,15869,3640,344,33,83,4100,77,16,90,4194,286,6,4485,17,5,0,11,31,0,0,3,31,0,23,62,17377,1507,181,244,19312,324,49,371,19685,670,58,20413
SED10017,114,3,0,3,115,19,0,136,2361,213,54,20,2641,69,8,79,2723,161,0,2887,4185,477,79,31,4778,60,4,63,4842,207,0,5047,416,50,68,7,537,4,6,13,544,11,0,558,40,4,0,59,109,0,0,0,109,4,3,114,7007,743,197,119,8061,138,14,156,8217,386,3,8604,55,21,0,3,82,29,0,29,108,19,0,131,148,32,8,9,197,23,5,27,227,26,0,247,203,52,8,12,277,53,5,57,335,47,0,381,7210,795,203,126,8337,197,19,219,8554,429,3,8991,2428,319,58,69,2872,135,19,159,3030,608,5,3642,29,6,0,5,36,0,0,0,36,0,27,64,9664,1120,264,203,11250,327,42,377,11622,1042,41,12699
SED10018,267,8,0,5,276,40,0,321,2498,365,48,12,2920,58,12,77,2995,190,5,3191,5222,580,78,30,5900,78,16,95,5997,155,3,6154,427,49,47,3,525,3,5,11,537,15,0,552,40,0,0,33,70,0,0,0,70,9,0,81,8188,993,169,75,9419,146,36,178,9596,367,5,9974,47,26,0,0,73,0,0,0,74,3,0,81,186,15,0,3,202,5,0,5,207,10,0,219,239,36,0,3,277,7,0,7,288,18,0,298,8425,1029,170,74,9702,155,36,183,9883,386,5,10274,1675,212,50,21,1957,64,3,73,2023,318,4,2343,10,3,0,3,22,0,0,0,22,3,24,46,10109,1245,221,110,11674,215,37,252,11931,704,31,12661
SED10019,30,0,0,0,30,7,0,34,1791,292,24,21,2127,46,19,61,2188,153,0,2345,2566,602,46,40,3249,51,18,72,3325,213,5,3538,200,74,48,0,322,0,0,5,326,21,0,346,48,10,4,39,98,8,0,8,109,17,9,133,4613,977,114,101,5803,109,39,148,5945,404,8,6364,69,17,3,0,92,47,5,49,141,30,3,172,118,19,12,6,147,33,6,35,184,17,3,203,182,33,13,8,241,74,11,89,329,44,3,374,4796,1009,125,110,6038,180,46,234,6270,447,13,6735,1588,374,55,51,2074,95,17,115,2189,613,0,2802,10,9,0,0,26,0,0,0,26,5,17,50,6395,1398,182,165,8140,284,66,348,8486,1073,33,9591
SED10020,74,0,0,0,74,18,0,86,2162,347,20,20,2547,44,29,74,2623,197,8,2822,3284,638,49,57,4027,59,13,71,4103,201,0,4304,275,37,49,0,364,5,0,12,372,18,0,385,47,0,0,29,78,8,0,8,84,3,3,93,5769,1020,118,107,7012,114,48,163,7177,416,14,7608,43,22,0,3,68,26,6,35,103,3,0,104,129,22,10,0,161,34,14,47,212,20,0,229,178,49,10,3,231,63,18,80,311,23,0,335,5948,1062,125,111,7247,180,70,248,7492,436,14,7945,1580,303,33,48,1961,84,22,105,2064,457,8,2532,4,3,0,8,22,3,0,3,22,0,43,67,7528,1370,152,171,9230,259,91,356,9582,895,62,10537
SED10021,305,5,3,8,311,41,0,348,3451,363,37,13,3859,81,13,95,3952,204,3,4161,4195,385,17,33,4625,44,8,49,4676,79,4,4764,528,45,45,0,621,5,0,5,623,18,0,645,42,11,0,55,106,0,0,0,106,3,3,114,8216,801,99,101,9214,127,23,146,9358,307,11,9675,76,8,3,3,93,4,0,4,96,10,0,103,131,12,0,0,142,9,3,10,155,4,0,165,204,19,4,3,236,14,3,18,251,11,0,267,8417,819,106,100,9450,138,23,160,9607,323,11,9941,2078,166,37,12,2299,50,10,65,2363,145,0,2507,12,0,0,7,15,0,0,0,15,0,10,27,10511,992,139,118,11763,193,31,225,11986,466,24,12476
SED10022,43,0,0,0,43,6,0,51,2207,264,30,34,2537,34,8,40,2574,137,3,2715,3768,434,53,37,4289,40,7,46,4337,142,4,4481,289,25,49,8,373,5,0,5,380,20,0,400,45,5,4,86,140,3,3,3,143,4,0,153,6307,729,135,157,7334,82,11,99,7431,303,10,7743,41,17,0,6,63,17,0,17,83,17,0,99,72,18,5,3,102,6,4,14,121,3,0,128,113,33,4,9,171,30,4,31,202,24,0,226,6423,769,143,168,7503,113,19,131,7634,331,7,7972,1636,225,34,74,1969,122,26,153,2124,483,11,2618,18,0,0,9,28,0,0,0,28,6,24,53,8078,993,179,250,9501,237,46,281,9778,818,45,10645
SED10023,456,3,0,8,455,47,3,503,3492,269,44,15,3821,38,12,46,3865,130,0,3998,6086,429,80,53,6647,38,5,47,6690,109,0,6799,495,32,69,7,596,3,0,3,605,9,0,608,61,4,0,48,117,3,0,3,117,0,0,120,10130,738,186,125,11176,75,14,93,11272,248,3,11523,43,0,0,0,43,5,0,5,50,6,0,53,171,18,5,9,209,0,0,0,206,5,0,214,211,20,5,9,249,7,0,10,261,11,0,271,10340,756,196,129,11425,89,19,108,11531,260,3,11798,2079,162,27,42,2309,15,4,24,2335,135,3,2474,17,0,0,0,17,3,0,3,20,0,27,51,12433,919,222,178,13756,112,23,134,13889,401,33,14322
SED10024,735,20,5,24,759,79,0,838,5090,534,27,28,5678,104,26,130,5810,308,3,6124,6614,506,53,38,7207,106,14,121,7330,137,6,7480,369,46,37,3,454,6,0,6,453,6,0,460,65,4,0,67,137,0,0,0,137,12,4,152,12132,1096,111,135,13476,219,46,260,13732,467,16,14218,114,5,0,4,123,16,0,13,143,9,0,150,286,21,3,8,319,31,0,31,345,17,0,364,406,29,6,9,446,38,0,39,488,28,0,510,12537,1119,118,146,13917,254,44,300,14221,488,16,14731,3484,283,50,47,3861,115,15,130,3997,335,0,4327,12,4,0,8,25,0,0,0,25,3,16,39,16035,1409,164,196,17806,370,61,434,18239,832,33,19101
SED10025,396,15,3,19,409,41,0,457,3697,342,31,14,4078,83,13,94,4170,183,3,4354,4171,397,38,41,4643,78,9,91,4731,132,3,4864,463,48,40,7,549,4,0,4,555,15,0,570,41,4,3,34,80,3,0,3,84,4,4,94,8368,783,108,98,9363,166,21,188,9544,325,11,9882,69,8,0,0,77,3,0,3,81,13,0,92,198,14,3,6,218,24,6,33,250,3,0,259,265,22,3,6,295,33,6,35,335,13,0,352,8636,807,115,98,9658,197,26,226,9879,344,11,10235,2323,279,43,39,2684,43,17,58,2741,360,14,3113,3,7,0,18,27,0,0,0,27,4,15,40,10965,1087,157,155,12369,238,46,284,12648,707,39,13394
SED10026,44,0,0,0,44,3,0,54,2943,207,35,13,3198,45,8,45,3245,163,5,3411,4003,429,50,43,4529,51,24,70,4602,119,3,4720,392,45,63,3,502,6,4,7,507,3,0,517,43,4,0,47,98,0,0,0,98,5,0,107,7373,692,145,105,8318,96,29,132,8450,295,9,8750,79,21,3,0,102,24,0,27,129,10,0,140,112,12,3,12,137,11,0,14,147,6,0,152,196,27,10,12,241,42,3,43,284,15,0,295,7573,720,152,120,8561,138,35,172,8727,309,9,9049,1942,216,73,47,2276,113,14,133,2405,415,10,2825,29,0,0,0,27,0,0,0,27,0,14,47,9543,933,226,164,10863,249,47,299,11162,724,35,11925
