SED_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SED22305,0,18,4,0,3,22,35,30,86,729,530,67,1330,128,119,248,1576,1894,57,3525
SED22404,7,26,0,3,3,26,26,12,63,588,682,67,1333,42,59,100,1438,764,38,2239
SED22501,0,8,0,0,0,9,14,0,25,810,595,51,1457,28,36,66,1527,555,7,2091
SED22607,0,12,0,0,0,17,38,19,78,629,450,53,1135,61,60,126,1255,953,35,2245
SED22704,0,16,0,4,3,17,45,18,76,655,624,69,1356,76,64,137,1491,1172,35,2698
SED22802,5,25,0,0,0,25,16,12,48,791,678,80,1543,38,37,76,1619,749,19,2384
SED22901,7,27,0,3,3,26,14,10,48,784,589,60,1434,42,55,93,1526,839,18,2379
SED23007,4,25,0,5,4,34,37,21,88,796,607,93,1502,142,136,284,1779,1726,53,3557
SED23101,0,10,0,0,0,10,18,4,33,660,489,42,1190,36,42,81,1276,922,13,2214
SED23205,9,20,0,4,4,23,39,31,94,975,832,90,1894,111,108,217,2109,1461,55,3623
SED23308,0,20,4,3,4,19,26,17,64,824,753,94,1663,77,59,135,1803,1071,34,2907
SED23402,5,25,0,0,0,25,23,10,52,924,740,68,1732,60,70,135,1861,843,26,2732
SED23502,3,16,0,3,4,21,22,15,59,480,613,75,1175,57,63,118,1288,912,37,2233
SED23602,3,21,0,0,3,21,20,12,58,438,559,62,1054,66,61,123,1176,835,30,2038
SED23702,4,22,3,0,7,30,16,16,59,974,910,95,1979,67,91,161,2133,1045,32,3208
SED23806,3,12,0,0,0,12,8,5,32,548,369,46,966,27,39,58,1022,594,16,1633
SED23901,4,9,0,0,3,16,26,13,55,763,539,60,1356,49,65,108,1470,1039,23,2525
SED24006,0,9,5,0,3,13,11,5,31,746,501,48,1297,46,40,85,1377,841,15,2234
SED24105,4,10,3,0,3,17,30,18,64,833,637,69,1542,93,87,179,1716,1443,41,3201
SED24207,0,26,4,3,8,29,50,28,104,1041,764,100,1901,130,142,274,2178,1682,48,3918
SED24308,3,15,5,3,8,19,51,33,108,771,816,93,1678,123,130,255,1937,1773,56,3767
SED24408,4,13,0,0,3,14,31,19,63,448,507,51,1003,43,56,96,1102,885,29,2018
SED24504,3,13,0,0,0,13,19,7,39,531,571,49,1149,39,37,78,1227,636,19,1880
SED24606,5,9,0,0,0,9,7,7,25,569,397,38,1003,26,28,53,1060,564,14,1637
SED24703,0,14,0,3,4,19,25,16,61,562,369,44,978,60,66,123,1105,1019,29,2151
SED24808,3,20,3,5,6,24,57,26,110,1063,847,109,2016,147,157,306,2325,1958,58,4344
SED24904,3,15,3,0,8,21,53,26,102,655,591,69,1313,86,79,162,1475,1231,51,2762
SED25003,7,31,0,0,0,31,22,14,63,937,639,71,1653,71,72,137,1789,1048,28,2867
SED25102,4,25,0,0,0,25,13,6,45,708,667,42,1422,34,48,86,1502,667,20,2190
SED25205,0,4,0,0,0,6,17,6,29,868,635,51,1558,29,41,70,1631,825,16,2468
SED25302,8,19,0,0,0,19,15,9,39,670,650,57,1378,36,50,86,1459,702,16,2178
SED25402,4,10,3,3,6,14,44,21,79,700,743,84,1518,141,136,281,1805,1326,46,3173
SED25501,3,16,0,0,0,16,8,17,40,728,438,59,1225,37,53,89,1317,930,22,2271
SED25605,3,16,0,0,0,20,10,6,37,724,491,63,1278,70,49,123,1400,1192,22,2609
SED25704,0,12,0,4,5,12,33,20,69,546,563,48,1158,61,65,131,1286,949,47,2279
SED25802,6,20,0,0,3,19,39,10,65,658,678,93,1428,77,82,160,1590,1155,25,2776
SED25905,5,17,0,3,7,22,21,21,70,836,591,67,1501,66,69,140,1640,1131,33,2800
SED26005,0,9,4,0,5,15,22,17,59,1109,707,91,1906,86,79,161,2070,1143,28,3237
SED26102,3,20,0,0,0,27,29,12,71,566,715,64,1351,55,55,110,1462,949,36,2457
SED26207,4,24,3,0,3,24,28,11,58,784,532,70,1382,38,54,92,1473,1021,30,2517
SED26303,3,11,0,0,0,11,13,10,33,583,498,48,1132,35,34,70,1199,826,20,2040
SED26406,3,17,0,0,0,17,12,9,33,614,465,57,1133,49,38,92,1222,855,23,2100
SED26504,3,14,0,0,0,14,27,26,66,486,581,76,1143,74,49,129,1269,883,38,2196
SED26603,3,14,0,0,4,25,27,17,73,758,556,64,1375,69,58,125,1509,1316,46,2863
SED26708,8,13,4,0,3,17,30,23,70,506,594,64,1163,52,41,95,1253,823,39,2114
SED26806,0,5,0,0,0,10,13,3,22,544,333,31,908,33,40,75,987,671,12,1668
SED26903,8,22,3,3,8,27,49,18,93,658,593,43,1298,85,66,153,1449,1539,40,3028
SED27003,3,5,0,0,0,5,36,22,64,513,373,44,928,66,77,143,1076,1149,28,2251
SED27101,5,13,0,0,0,16,25,4,45,795,591,55,1445,45,50,99,1543,916,18,2471
SED27208,3,6,3,0,3,13,41,25,81,463,550,69,1088,65,59,125,1216,1148,36,2394
SED27305,5,14,0,0,0,14,17,9,36,716,484,58,1263,28,37,60,1323,552,18,1892
SED27406,5,14,0,0,3,16,9,4,28,670,495,50,1209,42,41,80,1293,673,6,1975
SED27504,10,29,3,3,3,33,39,23,102,750,739,103,1592,72,104,182,1772,1276,47,3100
SED27608,3,20,4,0,0,20,12,8,46,718,648,71,1438,56,49,105,1539,637,10,2186
SED27708,4,22,0,3,4,28,31,17,71,605,724,79,1413,47,67,121,1531,930,36,2501
SED27807,3,16,0,3,6,25,66,42,131,855,675,107,1638,201,181,385,2020,2259,70,4348
SED27907,8,24,4,0,4,21,15,8,55,993,679,101,1774,64,63,131,1903,1028,32,2954
SED28007,3,23,0,0,0,25,17,17,57,941,629,78,1650,86,104,184,1839,959,25,2817
SED28107,3,16,0,0,0,19,37,24,72,1155,694,124,1965,127,106,234,2196,1297,42,3541
SED28203,4,16,3,0,4,23,48,24,97,677,573,72,1316,90,81,169,1486,1733,50,3276
SED28301,3,8,0,0,0,8,28,8,38,586,492,41,1124,30,39,70,1188,755,14,1961
SED28408,0,16,4,0,5,25,34,19,77,707,682,72,1454,86,116,204,1661,1109,37,2801
SED28507,7,20,0,0,3,23,40,35,94,1005,706,89,1802,116,123,238,2039,1531,67,3640
SED28607,6,21,0,0,0,18,23,13,55,851,540,50,1440,54,66,115,1559,1080,27,2667
SED28704,0,29,0,0,0,30,20,19,71,1087,841,106,2029,70,77,147,2182,1072,30,3276
SED28803,3,25,0,3,3,28,29,20,75,982,705,78,1769,92,114,201,1973,1489,37,3492
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED30001,11,23,0,3,3,25,10,13,51,1018,758,97,1868,86,87,173,2043,986,25,3052
SED30002,0,13,5,0,5,17,15,14,43,871,524,75,1468,106,62,167,1630,781,16,2427
SED30003,0,5,0,0,0,10,0,0,8,658,403,38,1101,24,23,52,1152,464,6,1616
SED30004,0,11,0,0,0,8,8,6,24,624,350,56,1032,31,29,62,1091,469,16,1574
SED30005,3,17,0,0,0,15,13,11,39,943,730,73,1743,83,76,156,1903,772,18,2694
SED30006,4,12,3,0,3,18,12,16,44,595,568,52,1216,74,72,149,1365,911,28,2309
SED30007,0,3,0,0,0,4,9,6,18,472,214,30,717,22,19,49,762,396,11,1174
SED30008,3,13,0,0,0,17,17,11,39,713,586,65,1365,59,85,145,1504,1000,26,2537
SED30009,3,14,0,0,0,10,11,0,26,650,575,48,1275,50,75,119,1395,579,6,1975
SED30010,4,13,0,0,0,10,10,7,25,751,405,42,1196,54,25,78,1275,524,9,1808
SED30011,7,10,0,3,5,21,27,16,59,503,513,53,1063,150,102,252,1313,1173,28,2517
SED30012,8,23,5,0,11,28,32,29,94,1313,811,113,2237,227,145,377,2613,1683,56,4343
SED30013,4,12,0,0,0,12,17,16,44,459,379,48,890,92,52,141,1033,696,24,1758
SED30014,8,8,0,0,0,8,14,8,37,723,696,53,1466,57,73,127,1600,810,23,2433
SED30015,0,5,7,0,7,11,21,16,49,374,377,40,793,103,66,175,966,797,23,1783
SED30016,7,17,5,0,5,25,49,28,102,847,682,84,1615,166,120,285,1897,1216,51,3168
SED30017,0,8,0,0,0,12,32,21,61,344,309,31,683,83,39,124,807,751,35,1589
SED30018,3,18,0,0,0,19,18,8,50,587,633,75,1292,76,70,145,1432,849,21,2298
SED30019,3,12,0,4,3,13,12,9,37,818,523,60,1396,56,53,112,1504,748,15,2271
SED30020,4,13,0,0,0,13,12,3,27,753,447,35,1234,24,42,65,1301,605,20,1922
SED30021,3,9,0,0,0,9,10,4,23,696,325,51,1071,43,36,77,1149,462,6,1618
SED30022,4,9,0,0,0,13,20,8,36,814,541,57,1414,60,51,114,1526,591,17,2137
SED30023,8,12,0,0,0,16,14,9,35,538,427,67,1033,72,62,129,1165,781,22,1966
SED30024,0,15,0,0,0,15,36,20,74,572,447,61,1080,109,58,165,1246,1218,44,2502
SED30025,8,27,0,3,4,32,23,11,64,1025,773,101,1902,139,135,271,2176,1349,23,3544
SED30026,6,14,0,3,3,11,19,16,51,667,599,63,1327,60,63,120,1449,793,26,2276
SED30027,7,16,0,0,0,15,24,21,65,478,398,56,930,98,71,164,1095,755,32,1893
SED30028,5,9,0,0,0,9,7,3,18,689,417,40,1143,29,38,64,1209,478,15,1702
SED30029,8,12,0,0,0,12,3,11,27,595,401,35,1037,26,26,58,1091,479,14,1585
SED30030,3,12,0,3,3,13,18,7,38,916,764,72,1749,76,95,167,1921,934,14,2874
SED30031,3,14,5,4,7,22,13,20,50,573,399,44,1013,178,94,265,1287,735,30,2051
SED30032,4,16,0,0,0,18,13,10,35,532,569,61,1167,77,63,138,1307,832,17,2159
SED30033,0,12,0,0,0,17,10,0,24,578,355,51,985,42,41,83,1061,605,11,1677
SED30034,4,9,0,0,0,11,9,11,33,422,237,43,702,52,39,97,791,414,21,1224
SED30035,0,10,0,3,3,8,24,19,59,419,533,42,995,96,87,182,1178,1177,42,2394
SED30036,10,13,3,3,4,22,26,15,65,514,582,60,1157,125,100,224,1377,1235,24,2643
SED30037,3,12,0,0,6,14,24,8,50,549,381,67,989,94,64,155,1146,756,18,1919
SED30038,3,13,0,4,6,16,30,33,75,856,581,69,1506,140,104,245,1748,1499,48,3303
SED30039,0,4,0,0,0,4,3,3,13,486,253,29,767,32,32,65,832,398,9,1238
SED30040,7,17,0,0,0,19,25,8,52,854,547,74,1476,115,97,214,1686,1224,23,2936
SED30041,0,11,3,0,4,13,16,10,42,766,514,78,1356,164,105,271,1626,1282,24,2935
SED30042,4,14,0,0,0,14,13,6,36,888,647,82,1619,82,79,160,1776,913,16,2705
SED30043,0,11,0,0,0,11,18,13,36,655,714,68,1434,59,71,127,1561,785,20,2367
SED30044,0,13,3,0,3,15,19,13,54,623,528,64,1214,114,89,202,1414,768,22,2207
SED30045,6,16,4,0,4,23,28,16,64,535,428,56,1011,98,65,164,1174,895,25,2101
SED30046,0,13,4,0,4,13,17,7,40,658,463,52,1174,97,57,154,1335,828,18,2176
SED30047,8,18,0,0,0,13,9,8,37,882,490,63,1436,68,49,116,1551,803,18,2371
SED30048,4,21,0,0,3,21,31,12,65,576,421,38,1039,130,106,239,1278,762,22,2059
SED30049,3,8,0,0,0,11,6,8,21,569,370,43,978,36,33,70,1050,614,15,1686
SED30050,4,16,0,0,0,16,21,5,45,689,665,56,1414,58,80,142,1558,757,20,2326
SED30051,4,11,0,3,4,10,24,21,52,367,420,52,841,139,78,219,1063,1202,28,2297
SED30052,9,12,0,0,0,17,20,9,40,740,578,65,1384,72,67,135,1522,759,25,2301
SED30053,11,12,0,0,5,20,11,8,33,501,313,60,871,96,64,159,1030,684,24,1744
SED30054,0,9,0,0,3,10,5,0,13,610,355,44,1006,39,29,61,1074,393,3,1470
SED30055,3,13,0,3,4,16,31,16,65,829,621,90,1540,127,109,235,1778,1151,21,2948
SED30056,0,3,0,0,0,3,8,0,12,472,227,23,725,26,20,44,768,312,3,1082
SED30057,0,7,0,0,3,9,29,27,62,427,169,44,644,67,38,102,740,562,42,1347
SED30058,3,12,0,0,0,9,5,8,22,632,368,36,1038,50,31,75,1114,497,16,1624
SED30059,7,25,0,0,0,22,15,5,47,798,702,74,1577,55,70,124,1700,789,18,2511
SED30060,10,18,0,0,3,27,36,22,81,794,542,69,1406,160,99,259,1666,1184,41,2894
SED30061,0,7,0,0,0,12,18,4,31,722,409,51,1184,87,67,157,1341,810,17,2166
SED30062,12,22,5,4,10,24,24,27,79,1039,798,110,1950,139,156,298,2242,1335,42,3624
SED30063,7,10,3,3,3,11,22,17,50,417,414,44,878,85,60,142,1024,1000,35,2052
SED30064,10,20,0,3,3,24,13,11,45,507,677,70,1258,64,65,126,1385,849,22,2251
SED30065,0,9,0,0,0,9,18,13,35,556,670,43,1273,54,79,138,1406,673,19,2103
SED30066,3,8,0,0,0,8,10,21,41,863,495,54,1407,61,67,128,1538,920,37,2496
SED30067,8,16,0,0,0,16,19,10,41,788,531,74,1388,88,72,161,1548,787,19,2360
SED30068,0,13,3,0,3,18,34,11,61,610,555,60,1221,130,109,239,1466,1314,21,2794
SED30069,7,24,0,0,4,25,24,11,60,746,574,68,1384,97,80,183,1568,1148,30,2743
SED30070,6,15,0,0,0,15,13,11,43,619,445,35,1103,56,48,102,1205,729,20,1956
SED30071,4,11,0,6,4,14,26,16,60,690,560,66,1311,142,103,247,1558,1112,28,2697
SED30072,0,3,0,0,0,3,19,9,28,794,485,61,1337,42,61,101,1434,751,18,2202
SED30073,0,4,0,0,0,8,3,3,13,554,342,38,938,43,37,81,1021,471,4,1496
SED30074,6,17,0,3,4,19,22,19,67,431,435,58,928,73,64,136,1063,842,33,1937
SED30075,0,6,0,0,0,7,22,20,51,804,675,67,1550,91,118,210,1760,1150,32,2949
SED30076,8,14,0,0,0,14,14,8,42,832,457,58,1348,59,57,116,1466,661,17,2139
SED30077,5,5,0,0,0,8,14,8,31,640,356,54,1050,47,31,73,1121,620,22,1764
SED30078,0,15,0,0,0,15,6,11,27,702,440,41,1179,67,45,110,1297,789,21,2099
SED30079,3,7,3,0,3,12,16,8,38,634,385,63,1089,81,69,151,1240,1033,28,2298
SED30080,4,15,0,0,0,18,9,8,37,657,518,61,1239,74,72,140,1377,789,16,2188
SED30081,0,18,0,0,4,18,23,13,54,917,534,69,1519,160,100,252,1778,1000,21,2798
SED30082,0,15,0,0,0,15,26,13,53,618,543,49,1211,93,84,179,1391,941,34,2357
SED30083,3,8,0,0,0,8,13,3,28,730,551,35,1323,78,61,139,1456,905,11,2366
SED30084,3,14,3,0,3,20,14,13,41,691,466,53,1203,130,92,225,1428,861,19,2311
SED30085,4,10,0,0,3,8,24,14,53,386,261,39,692,49,40,87,775,627,20,1420
SED30086,9,29,3,3,7,34,33,23,88,1095,683,103,1888,176,144,323,2203,1619,42,3871
SED30087,5,15,3,0,3,20,8,7,40,619,530,69,1224,112,73,177,1400,652,17,2069
SED30088,8,16,0,3,4,20,39,43,100,897,634,80,1611,226,160,390,1999,1949,62,4013
SED30089,0,12,0,4,4,17,6,5,28,642,353,38,1030,55,43,94,1129,598,17,1750
SED39494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED39797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED40001,3,5,0,0,0,5,9,0,12,347,202,27,579,23,16,39,612,364,10,982
