SED_CODE_2016,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
SED21503,1857,58,3,1920,28,0,0,0,28,0,0,3,29,0,0,35,48,11,0,0,57,6,3,10,67,7,0,76,72,10,0,0,83,10,3,11,95,11,0,106,1687,194,13,25,1919,28,6,39,1960,68,3,2025,533,71,4,13,626,17,13,27,650,101,3,754,0,0,0,0,3,0,0,0,3,0,5,9,2227,262,20,37,2549,45,21,68,2613,164,5,2785,277,38,3,3,324,11,0,10,331,11,0,344,572,68,8,0,648,3,3,8,657,20,0,682,12,0,3,0,15,0,0,0,16,0,0,17,3,0,0,10,22,0,0,0,22,4,0,20,871,109,11,19,1006,13,3,15,1024,41,0,1057,10,0,0,0,12,0,0,0,15,0,0,13,34,3,0,0,32,3,0,3,37,3,0,40,44,9,0,0,47,3,0,4,51,6,0,57,914,113,11,19,1050,19,4,17,1074,45,0,1114,226,33,10,5
SED21608,1936,101,0,2038,12,0,0,0,12,0,0,3,18,0,0,17,44,8,0,0,52,4,0,3,63,5,0,70,61,8,0,0,68,6,0,6,77,12,0,82,1684,224,35,34,1974,26,11,36,2015,109,0,2126,521,59,15,12,599,28,0,25,626,103,9,736,0,0,4,0,4,0,0,0,4,0,6,11,2204,285,55,44,2580,54,16,67,2644,212,13,2870,329,61,6,0,393,5,3,10,407,26,4,434,604,66,16,5,692,5,5,8,699,35,0,731,9,0,3,0,17,4,0,4,20,0,0,20,5,4,0,10,21,0,0,0,21,0,0,19,948,129,23,19,1124,14,3,21,1140,63,4,1208,10,3,0,0,11,0,0,0,11,0,0,15,22,0,0,0,23,3,0,5,28,3,0,34,27,10,0,0,37,3,0,5,39,7,0,47,976,133,23,19,1157,20,9,22,1177,70,4,1252,208,29,7,3
SED21706,2354,81,3,2439,20,3,0,0,24,7,0,7,34,0,0,32,74,6,0,0,77,0,4,3,82,4,0,88,98,8,0,0,105,12,4,16,118,3,0,121,2163,193,24,23,2404,58,11,66,2476,84,3,2558,586,60,6,14,666,18,3,19,683,55,0,738,3,0,0,0,3,0,0,0,3,0,5,11,2757,256,28,40,3072,70,12,85,3160,134,10,3303,476,50,4,0,532,13,4,22,551,18,0,573,787,63,3,3,859,14,0,18,872,18,0,888,20,4,0,0,21,0,0,0,21,0,0,21,11,3,0,3,17,0,0,0,17,0,0,17,1292,118,5,9,1424,29,8,31,1463,41,0,1499,19,0,0,0,19,3,0,0,22,3,0,27,23,0,0,0,24,0,0,0,30,4,0,32,43,0,0,0,45,3,3,3,50,8,0,60,1340,119,5,9,1473,32,9,39,1511,43,0,1556,269,21,4,5
SED21805,2050,85,3,2136,31,0,0,3,35,0,0,0,41,0,0,41,66,8,0,0,70,0,0,4,74,0,0,79,95,9,0,3,105,6,0,9,113,0,0,118,1884,194,24,30,2123,37,7,44,2164,86,3,2257,637,69,12,16,732,23,3,20,756,72,3,835,4,0,0,0,4,0,0,0,4,0,15,19,2527,266,33,43,2862,56,8,63,2930,154,18,3104,373,45,3,3,425,6,0,6,435,21,0,453,597,64,5,4,667,7,0,4,674,27,0,702,12,0,9,0,23,0,0,0,23,3,0,26,9,0,0,0,7,0,0,0,7,0,0,7,995,105,20,10,1128,17,0,14,1143,46,0,1189,22,3,0,0,27,3,0,3,28,0,0,32,37,4,0,0,41,0,0,0,47,0,0,47,62,8,0,0,65,6,0,6,72,0,0,77,1051,108,20,14,1191,20,0,20,1215,50,0,1266,265,42,3,4
SED21906,2332,61,3,2395,23,0,0,0,30,0,0,0,31,4,0,33,67,7,0,0,79,3,3,7,82,0,0,82,90,11,0,0,102,4,3,10,114,4,0,111,2059,273,23,34,2389,41,8,56,2442,61,3,2513,516,98,3,28,642,11,3,12,656,65,0,718,3,0,0,7,12,0,0,0,12,0,0,15,2570,370,23,74,3040,54,13,67,3109,129,3,3240,359,43,0,5,405,13,3,20,422,8,3,433,661,70,4,11,742,12,0,13,758,22,0,786,13,3,0,0,22,0,0,0,22,3,0,19,5,4,0,4,15,0,0,0,18,0,0,18,1042,122,3,19,1184,33,3,33,1219,41,3,1260,9,0,0,0,11,0,0,0,11,0,0,11,30,3,0,0,30,0,0,0,34,0,0,34,40,5,0,0,43,0,0,0,42,0,0,42,1077,128,3,19,1225,34,3,34,1260,41,3,1307,259,44,0,7
SED22005,1952,80,3,2033,33,13,0,0,40,14,0,14,52,5,0,60,54,5,0,3,69,5,3,6,73,4,0,75,85,17,0,3,106,16,3,17,127,13,0,142,1737,230,27,24,2012,53,10,69,2079,94,4,2177,579,110,13,21,731,27,9,33,760,248,0,1003,0,0,0,5,8,0,0,0,8,0,9,16,2317,346,42,48,2753,84,20,100,2850,336,11,3198,352,61,8,0,418,11,3,12,430,28,0,460,472,71,9,4,555,9,3,11,567,19,0,586,11,5,4,0,14,0,0,0,14,0,0,16,8,0,0,7,15,0,0,0,15,0,0,15,840,133,17,10,1003,17,3,24,1019,49,0,1072,15,3,0,3,19,4,0,8,27,0,0,29,19,3,0,0,30,3,7,11,39,0,0,38,42,12,0,3,50,11,5,13,66,3,0,68,879,142,17,10,1047,30,8,34,1088,55,0,1139,214,41,3,14
SED22105,3914,133,7,4047,93,15,3,0,111,14,0,14,130,9,0,134,157,15,0,5,174,5,3,9,187,4,0,194,250,32,3,8,288,26,3,23,312,10,0,331,3493,504,59,65,4124,84,19,102,4224,143,9,4376,1526,236,22,32,1812,47,8,50,1863,225,7,2101,11,0,0,7,15,0,0,0,16,3,23,46,5028,741,77,104,5954,129,30,157,6113,373,38,6520,727,87,6,6,827,20,3,19,845,39,3,892,812,126,16,12,964,20,0,21,986,25,7,1017,27,5,9,0,42,0,0,0,42,3,0,44,7,6,0,10,28,3,0,6,36,3,4,40,1572,225,29,25,1859,43,4,51,1907,72,7,1987,42,3,0,0,47,12,0,12,63,8,0,63,71,8,0,3,82,11,0,9,91,3,0,91,118,10,0,3,129,19,0,24,153,10,0,160,1690,233,29,30,1986,63,5,73,2054,80,7,2147,578,95,8,12
SED22201,1938,44,0,1981,17,3,0,0,22,0,0,0,19,0,0,19,43,9,0,0,54,0,3,0,58,0,0,58,62,17,0,0,75,0,3,3,77,0,0,77,1752,184,26,19,1980,35,5,38,2017,44,0,2067,587,55,18,5,665,22,0,24,687,65,0,757,3,0,0,0,6,0,0,0,6,0,7,11,2342,243,46,28,2654,53,10,61,2716,114,10,2833,288,41,0,6,329,9,0,9,344,26,0,368,608,50,7,5,666,5,3,14,676,8,0,685,11,0,3,0,17,0,0,0,17,0,0,17,6,4,0,0,6,0,0,0,6,0,0,6,912,90,13,8,1021,17,3,24,1042,34,0,1077,13,3,0,0,12,6,0,6,17,0,0,18,27,0,0,0,24,0,0,0,26,0,0,26,32,3,0,0,40,6,0,5,44,0,0,45,947,89,13,13,1060,19,6,27,1083,38,0,1122,217,30,4,3
SED22305,1339,94,3,1441,60,16,0,0,74,12,0,12,89,10,0,96,78,26,4,3,116,14,5,23,133,4,0,139,137,42,4,3,185,27,5,36,223,20,0,241,1151,294,13,26,1481,66,13,84,1562,113,3,1681,843,274,13,44,1176,87,30,116,1288,438,6,1732,6,0,0,6,11,0,0,0,11,5,21,37,1998,571,24,80,2663,151,45,199,2864,555,27,3447,253,40,4,3,305,7,3,7,312,29,0,342,258,72,0,6,340,12,8,14,360,18,0,377,7,0,0,0,16,0,0,0,17,7,0,18,4,7,0,9,22,4,0,4,29,0,0,26,526,126,10,17,684,18,8,27,712,54,7,771,24,11,0,0,39,13,0,13,53,12,0,60,24,10,0,3,43,3,10,15,59,0,0,58,52,19,0,3,78,20,10,32,104,12,0,121,580,146,8,22,759,41,20,58,819,66,7,889,363,126,9,18
SED22404,1772,61,0,1841,9,0,0,0,14,3,0,3,17,0,0,17,39,7,0,0,43,8,0,8,53,9,0,57,50,7,6,0,59,11,0,11,71,9,0,77,1529,218,40,24,1812,28,0,34,1843,69,0,1915,461,62,11,18,553,13,3,17,567,75,4,640,6,5,0,6,10,0,0,0,10,0,9,17,1993,279,48,52,2378,42,4,43,2424,146,14,2578,290,44,5,3,345,6,3,4,348,18,0,372,592,81,8,3,692,4,0,5,692,19,0,713,12,0,8,0,20,3,0,3,19,3,0,20,13,4,0,6,18,0,0,0,18,7,0,25,907,133,21,12,1076,14,3,14,1084,45,5,1133,3,0,0,0,8,5,0,5,13,0,0,13,26,3,0,0,28,6,0,6,39,4,0,41,33,3,0,0,42,6,0,6,50,4,0,49,941,130,21,14,1111,17,3,20,1136,47,5,1189,210,42,7,12
SED22501,2476,68,3,2544,16,0,0,0,16,0,0,0,17,0,0,17,53,3,0,0,56,4,3,9,63,0,0,63,71,3,0,0,74,3,3,6,76,0,0,76,2267,194,24,26,2509,32,6,38,2551,68,3,2621,494,36,0,11,544,10,3,14,560,15,0,576,4,0,0,5,10,0,0,0,10,0,0,10,2759,236,24,43,3057,46,8,57,3121,90,3,3207,407,45,7,3,458,3,3,7,461,17,0,479,834,61,3,9,907,14,0,12,924,16,0,934,15,0,4,0,26,0,0,0,26,0,0,26,5,0,0,8,12,0,0,0,12,0,0,14,1261,111,15,14,1407,15,5,21,1421,29,0,1455,12,0,0,0,10,0,0,0,15,0,0,15,24,0,0,0,24,0,0,0,24,0,0,24,33,0,0,0,33,3,0,3,35,0,0,35,1299,110,15,14,1438,17,5,21,1459,29,0,1492,233,20,3,7
SED22607,2152,55,0,2208,15,4,0,0,20,5,0,8,27,3,0,31,57,7,0,0,61,0,0,0,64,9,0,69,74,14,0,0,85,5,0,9,91,8,0,103,1948,197,26,17,2190,47,11,55,2249,57,0,2311,463,61,6,19,551,27,3,29,578,57,0,638,0,0,0,3,3,3,0,3,9,4,6,19,2414,257,36,40,2750,73,11,81,2832,125,8,2959,384,41,8,0,429,11,0,12,446,13,0,456,680,46,0,7,728,15,0,16,741,10,3,751,13,3,4,0,18,3,0,3,24,0,0,22,4,0,0,4,7,0,0,0,7,0,0,9,1074,95,10,13,1187,27,3,29,1216,24,3,1242,6,5,0,0,11,9,3,9,17,0,0,17,31,3,0,0,32,0,0,0,33,4,0,37,36,5,0,0,47,5,3,7,53,4,0,56,1116,97,10,13,1236,34,6,39,1275,26,3,1305,206,22,11,6
SED22704,1671,56,4,1728,11,3,0,3,17,6,0,6,22,0,0,27,31,9,0,0,43,0,0,3,50,0,3,47,47,10,0,6,63,4,0,5,70,0,3,70,1450,199,37,32,1716,21,3,21,1739,57,7,1805,540,68,23,21,646,15,3,21,668,108,0,772,7,0,0,3,9,0,0,0,9,3,11,20,1996,265,62,52,2368,36,9,43,2416,165,14,2600,339,24,3,6,371,4,0,4,379,19,0,404,520,64,23,0,615,10,0,13,625,25,3,653,24,0,3,0,28,0,0,0,28,0,0,27,12,0,0,3,17,0,0,0,17,0,0,20,892,89,30,11,1029,12,0,19,1047,53,6,1097,16,0,0,0,15,3,0,3,19,3,0,22,20,3,0,0,24,0,0,0,20,4,0,25,29,4,0,0,38,3,0,3,41,3,0,42,924,92,30,11,1063,14,3,20,1082,57,6,1140,217,34,12,7
SED22802,1995,55,4,2053,14,0,0,0,14,0,0,0,14,0,0,14,55,0,0,0,55,6,0,6,58,3,0,63,69,0,0,0,69,6,0,6,71,3,0,78,1824,156,37,26,2043,26,0,28,2071,56,4,2130,619,67,7,12,714,8,4,11,723,39,3,764,3,0,0,0,9,0,0,0,9,0,6,12,2444,228,44,38,2761,34,4,41,2800,93,9,2908,321,41,7,0,366,6,0,9,373,13,0,393,686,63,15,15,773,12,3,13,788,20,0,805,18,0,0,0,19,0,0,0,19,0,0,22,14,0,0,5,23,0,0,0,23,0,0,23,1035,107,16,21,1180,17,5,23,1196,36,3,1237,8,0,0,0,11,0,0,0,6,0,0,6,40,0,0,0,44,3,0,3,43,3,0,50,51,0,0,0,49,3,0,3,55,3,0,55,1081,110,16,21,1230,22,5,20,1254,38,3,1290,306,39,3,4
SED22901,1619,73,6,1700,21,0,0,0,24,5,0,5,30,0,0,30,71,11,0,5,87,3,3,5,89,0,0,87,90,10,0,5,111,3,3,6,114,0,0,115,1489,161,18,23,1695,31,10,40,1739,72,6,1816,530,70,10,7,613,14,10,22,634,50,0,686,0,0,0,0,0,0,0,0,0,0,7,7,2016,231,30,30,2308,47,17,66,2370,125,12,2510,264,27,3,4,299,7,3,6,308,15,0,328,511,54,8,3,573,7,4,7,580,19,0,602,22,0,0,0,26,0,0,0,23,3,0,30,6,0,0,4,8,0,0,0,9,0,0,9,802,83,8,16,907,11,3,16,925,43,0,968,11,8,0,0,16,3,0,3,24,0,0,22,35,3,0,0,38,0,0,0,34,0,0,37,42,7,0,3,53,5,0,5,60,0,0,59,847,95,10,18,963,19,3,22,988,44,0,1032,235,33,8,0
SED23007,1663,97,3,1763,35,9,0,0,40,13,3,17,56,9,0,69,71,22,0,0,92,7,9,15,106,3,0,106,100,23,0,3,128,22,9,35,166,12,0,177,1467,236,16,16,1733,75,20,89,1824,111,3,1941,537,140,10,22,708,56,12,63,773,160,0,931,9,7,0,0,19,0,0,0,19,0,8,26,2007,384,23,45,2458,123,31,153,2611,268,16,2898,305,30,0,0,343,8,0,14,356,26,3,382,314,71,3,3,390,10,0,10,397,27,0,423,6,0,0,0,6,0,0,0,6,0,0,6,3,3,0,7,18,0,0,0,18,4,0,22,627,103,7,11,749,18,7,26,779,51,3,830,8,11,0,0,17,8,3,9,24,3,0,33,29,15,0,0,42,5,0,5,51,4,0,54,37,22,0,0,61,10,3,14,71,9,0,81,667,126,7,11,813,37,5,43,849,55,3,912,226,49,8,10
SED23101,1979,77,0,2055,33,8,0,0,37,5,0,5,42,0,0,42,69,8,0,0,76,10,0,11,88,3,0,86,102,13,0,0,116,10,0,14,129,3,0,128,1811,204,20,14,2055,50,11,60,2112,81,0,2189,588,46,16,9,663,22,3,27,685,57,0,742,3,0,0,0,3,0,0,0,3,0,3,10,2399,254,37,25,2718,73,14,84,2803,134,3,2940,359,43,7,0,398,19,4,18,419,20,0,440,689,77,3,4,774,6,0,10,784,14,0,798,8,3,0,0,12,0,0,0,16,0,0,16,6,0,0,9,13,0,0,0,13,3,0,17,1057,121,14,15,1205,21,5,31,1233,38,0,1278,6,6,0,0,15,3,0,3,20,0,0,16,40,7,0,0,46,3,0,3,50,0,0,49,54,11,0,0,61,5,0,5,70,3,0,68,1111,127,12,15,1270,28,5,37,1300,43,0,1347,282,20,3,8
SED23205,1506,82,3,1587,10,7,0,3,23,0,0,0,23,0,0,20,44,3,0,6,53,5,3,9,61,3,0,65,57,10,0,9,69,5,3,9,78,4,0,83,1309,198,22,23,1552,25,3,32,1579,95,3,1678,425,56,12,13,507,22,0,24,531,81,4,618,6,0,0,5,14,0,0,0,14,0,3,13,1745,258,35,37,2071,44,7,54,2127,177,7,2302,235,39,0,0,272,15,0,10,281,18,0,301,470,61,3,3,533,7,0,11,544,19,0,563,16,3,10,0,27,0,0,0,27,0,0,27,0,4,0,0,8,3,0,3,8,0,0,8,720,101,9,3,838,20,4,26,862,39,0,899,8,3,0,0,12,6,0,6,10,0,0,10,33,3,0,3,33,3,0,3,38,0,0,40,36,4,0,3,44,3,0,10,51,0,0,57,754,104,12,9,883,23,6,28,914,40,0,951,178,41,10,11
SED23308,1781,67,6,1850,9,3,0,0,11,0,0,0,11,0,0,11,47,6,0,3,52,0,0,0,57,4,0,64,56,14,0,6,72,0,0,0,71,4,0,73,1586,183,27,13,1811,32,11,41,1853,69,6,1920,417,47,9,11,486,17,9,27,506,73,0,581,0,0,0,3,0,0,0,0,0,0,4,8,2001,230,38,25,2296,47,15,60,2363,134,4,2503,260,38,7,0,302,7,3,7,313,21,0,338,560,42,4,0,612,3,0,3,619,17,4,633,11,0,4,0,20,0,0,0,20,0,0,20,8,0,0,3,10,0,0,0,12,0,0,12,851,78,16,3,949,15,5,15,970,39,3,1011,4,0,0,0,6,0,0,0,5,0,0,5,24,3,0,0,26,0,0,0,28,0,0,29,29,3,0,0,31,0,0,4,35,0,0,40,877,84,16,4,984,13,9,20,1006,42,3,1045,162,13,0,8
SED23402,2465,83,0,2555,25,5,0,0,33,9,0,9,43,6,0,43,74,6,0,0,88,3,0,3,88,4,0,98,100,15,6,0,121,7,0,7,131,5,0,137,2268,223,31,28,2560,33,5,44,2601,90,5,2695,773,72,11,18,880,20,8,28,903,82,4,988,0,0,0,4,8,0,0,0,8,0,3,11,3045,301,49,50,3440,50,14,67,3509,177,15,3697,480,44,0,3,529,3,0,0,537,29,0,563,802,78,6,7,890,3,9,14,901,29,0,933,19,4,4,0,26,0,0,0,26,0,0,28,9,3,0,3,16,0,0,0,16,0,0,16,1312,127,8,17,1468,7,7,13,1478,61,0,1539,15,3,0,0,20,3,0,3,23,8,0,26,28,6,0,0,35,3,0,3,36,0,0,42,43,7,0,0,54,3,0,3,62,8,0,66,1359,136,13,16,1517,13,7,16,1540,68,0,1610,311,34,6,4
SED23502,1510,100,5,1612,7,3,0,0,15,0,0,0,11,3,0,15,19,0,0,3,29,3,0,5,32,0,0,32,32,3,0,3,37,0,0,3,41,3,0,44,1278,171,45,26,1521,24,7,28,1551,100,5,1656,411,58,13,13,495,23,3,25,514,91,0,609,3,0,0,3,10,0,0,0,11,0,9,18,1697,234,53,44,2025,43,7,55,2077,193,7,2279,253,28,7,0,291,3,8,7,298,12,0,312,477,78,15,10,579,3,6,5,587,43,0,628,17,5,9,4,33,0,0,0,33,7,0,39,3,0,0,5,9,0,0,0,10,0,0,10,752,110,27,18,915,11,8,19,930,59,0,991,5,3,0,0,8,0,0,0,8,3,0,11,3,0,0,0,6,0,0,0,9,0,0,9,6,5,0,0,12,0,0,0,18,3,0,20,761,115,27,18,931,7,8,17,944,63,0,1011,144,26,3,6
SED23602,1590,58,6,1651,5,0,0,0,7,0,0,0,11,4,0,12,30,12,3,0,38,7,4,14,56,0,0,54,37,11,3,0,49,11,4,17,66,7,0,73,1378,167,40,22,1611,24,23,48,1655,64,6,1722,476,57,17,16,564,17,3,19,580,71,0,648,9,3,0,0,12,0,0,0,12,0,6,18,1866,227,55,39,2185,38,23,67,2249,134,12,2392,315,28,9,3,353,0,3,5,353,20,0,377,502,79,7,5,595,10,5,10,607,26,3,636,8,3,3,0,19,0,0,0,19,0,0,24,9,5,0,9,28,0,0,0,28,0,0,28,837,112,21,19,987,9,8,17,1010,50,3,1059,9,3,0,0,11,0,0,0,10,0,0,10,13,4,0,0,10,7,0,7,17,0,0,20,14,3,0,0,27,7,0,7,32,0,0,34,853,120,20,23,1017,17,10,23,1040,48,3,1092,200,25,9,9
SED23702,2185,82,6,2276,10,0,0,0,7,3,0,3,12,0,0,11,65,8,0,0,72,4,0,4,79,6,0,78,73,7,0,0,80,3,0,3,90,5,0,96,1960,178,42,43,2232,38,4,44,2273,91,6,2368,640,60,11,14,729,6,0,10,739,68,0,804,5,0,0,0,7,0,0,0,7,0,4,10,2611,239,53,65,2965,50,7,52,3018,155,19,3190,391,21,7,8,419,8,0,10,429,12,0,437,751,66,12,5,826,15,3,12,845,24,0,868,20,0,16,0,35,0,0,0,35,3,0,40,5,0,0,9,21,0,0,0,21,0,0,23,1164,89,29,23,1304,19,3,25,1325,35,7,1370,14,0,0,0,14,4,0,4,15,0,0,15,28,8,0,0,36,0,0,0,37,0,0,36,45,10,0,0,48,0,0,0,54,0,0,57,1207,95,30,23,1355,23,3,28,1382,37,7,1426,273,32,11,7
SED23806,2078,72,6,2159,13,3,0,3,16,7,0,7,23,3,0,27,57,0,0,0,57,11,0,11,68,0,0,66,68,6,0,3,77,19,0,19,92,3,0,97,1911,179,16,18,2122,45,6,50,2171,77,6,2253,605,39,4,0,659,18,10,34,690,68,4,756,0,0,0,3,6,0,0,0,6,0,0,8,2515,221,28,19,2782,62,18,81,2864,146,13,3023,416,52,4,3,471,13,4,14,484,21,0,513,678,56,5,7,741,4,0,7,751,11,0,765,9,4,5,0,15,0,0,0,15,0,0,15,9,0,0,3,14,0,0,0,14,0,0,16,1107,117,9,14,1247,17,3,21,1267,41,0,1308,9,0,0,0,9,0,0,0,11,3,0,12,37,3,0,0,39,5,0,5,46,0,0,45,42,3,0,0,45,9,0,9,52,4,0,57,1151,118,9,14,1292,21,3,27,1324,43,0,1362,280,24,0,0
